HEROP_ID,GEOID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP
050US46099,46099,109435,42636,66395,8722,16625,10743,11807,53012,10084,4971,4425,11596,20.61,71.6,10.6,98.06,0.25,0.43,1.02,0.3,0.01,0.35,24.18,28.73,8.71,4.74,6.06
050US46101,46101,6692,2709,3523,565,1100,573,420,2528,614,384,395,1106,14.84,62.66,16.53,94.65,0.06,0.18,5.02,0.06,0.04,0.16,31.8,30.83,15.95,3.91,11.96
050US46103,46103,70361,27611,43327,6418,10741,7230,8809,35775,6329,2824,2353,5921,22.8,75.23,8.42,92.08,1.28,1.77,5.18,0.47,0.04,0.95,21.19,30.01,12.21,8.31,8.88
050US46105,46105,4700,2021,2664,356,694,414,343,1826,520,289,303,712,16.11,61.19,15.15,98.83,0,0.34,0.94,0.13,0,0.11,36.26,28.17,19.36,2.01,13.41
050US46107,46107,3674,1516,1900,303,587,337,196,1355,373,209,199,648,14.51,61.11,17.64,99.37,0,0.19,0.57,0,0.05,0,39.23,30.65,21.03,2.03,13.06
050US46109,46109,10911,4188,5376,916,1927,1058,651,4011,1027,532,541,1957,15.66,62.82,17.94,80.38,0.02,0.1,19.42,0.09,0,0.09,44.9,32.79,26.49,7.53,11.6
050US46111,46111,3213,1397,1745,255,424,322,200,1169,398,199,182,586,16.25,57.52,18.24,99.53,0.03,0.16,0.03,0.4,0,0,30.47,27.45,35.12,3.13,17.18
050US46113,46113,11323,2620,5397,1558,2930,1383,1053,4934,762,321,243,575,21.51,83.21,5.08,6.33,0.04,1.55,93.39,0.01,0.03,0.2,52.72,47.26,44.68,19.32,11.98
050US46115,46115,9201,3670,5198,658,1315,803,705,3639,1045,536,510,1498,16.39,60.99,16.28,98.96,0,0.09,0.85,0.08,0,0.12,38.23,27.23,20.03,3.58,11.88
050US46117,46117,2533,964,1420,254,450,259,189,1162,215,101,101,250,17.69,73.67,9.87,96.09,0,0.39,3.75,0,0,0.16,32.08,34.07,13.05,5.5,10.58
050US46119,46119,1990,803,1080,171,322,216,140,831,219,97,86,264,17.89,66.53,13.27,98.99,0.05,0.35,0.75,0.15,0,0.05,28.31,32.46,21.78,2.24,14.82
050US46121,46121,7328,2310,3681,1013,1739,751,639,3174,570,268,181,383,18.97,80.87,5.23,21.67,0.14,0.44,77.62,0.03,0,0.55,41.37,44.54,43.54,11.45,18.74
050US46123,46123,7268,3010,3943,660,1163,650,536,2788,765,427,398,1067,16.32,63.44,14.68,92.01,0.01,0.14,7.83,0.15,0,0,38.05,31.07,23.49,2.38,14.88
050US46125,46125,9255,3930,4865,653,1297,719,532,3250,1019,531,558,1947,13.52,56.19,21.04,99.6,0,0.22,0.33,0.04,0,0.02,38.69,26.4,15.41,2.87,11.48
050US46127,46127,10938,4298,5993,1039,1741,914,823,4440,1052,597,509,1560,15.88,66.01,14.26,98.77,0.12,0.48,0.52,0.34,0,0.26,34.39,30.95,13.21,4.5,8.61
050US46129,46129,7011,2939,3728,552,1066,625,437,2686,731,377,346,1253,15.15,61.39,17.87,93.87,0.01,0.34,5.86,0.13,0.01,0.11,37.78,28.95,14.79,6.88,13.1
050US46135,46135,18952,7131,11159,1463,2765,1764,2003,8618,1753,908,903,2542,19.88,67.78,13.41,96.93,0.41,0.5,2.06,0.26,0.01,0.33,31.12,27.71,10.05,3.18,7.11
050US46137,46137,2308,755,1161,317,505,271,190,957,208,110,68,143,19.97,77.08,6.2,41.59,0,0.78,58.15,0.04,0,0.22,42.24,43.5,43.68,6.09,20.53
050US47001,47001,67346,25837,41329,4402,10325,5864,5190,29817,7605,4253,3511,7433,16.41,66.14,11.04,95.1,3.85,0.63,0.24,0.63,0.01,0.18,37.8,27.59,14.55,6.74,4.73
050US47003,47003,27916,10803,16025,2002,4417,2454,2068,11550,2975,1551,1480,3941,16.2,64.37,14.12,89.05,10.78,0.61,0.05,0.06,0,0.06,51.51,28.48,14.14,5.48,7.96
050US47005,47005,14901,6489,8447,921,2282,1206,1024,5994,1567,849,816,2472,14.97,61.72,16.59,97.24,2.47,0.58,0.06,0.13,0.02,0.08,53.63,26.72,16.46,8.36,14.05
050US47007,47007,9478,3299,5595,665,1451,1186,1002,4654,869,418,384,1037,23.09,71.43,10.94,96.28,3.38,0.95,0.08,0.14,0,0.13,60.38,30.03,24.21,8.94,9.7
050US47009,47009,77770,30529,47681,4925,11952,6713,6436,35752,7820,4212,3994,9115,16.91,67.67,11.72,96.26,3.32,0.54,0.13,0.17,0,0.12,42.89,26.97,12.68,7.44,7.7
