origin,count within 60,count within 30,minutes
3870,4,0,36.08
3871,4,0,46.82
3873,1,0,58.67
3878,4,4,0.0
3885,4,0,58.19
3894,2,2,0.0
3901,4,4,22.8
3903,4,0,49.34
3904,4,4,29.2
3905,4,0,41.87
3906,5,0,55.79
3908,4,0,44.69
4001,1,0,53.36
4002,1,0,57.25
4005,4,2,0.0
4006,2,0,51.74
4009,1,1,0.0
4011,1,1,0.0
4021,1,0,38.27
4032,1,0,58.26
4038,1,0,41.1
4040,1,0,41.92
4043,4,2,0.0
4046,4,2,29.5
4050,6,0,57.52
4057,1,1,27.25
4063,2,0,31.38
4064,2,0,33.08
4072,2,2,20.4
4073,2,2,0.0
4074,8,0,55.04
4076,1,0,48.74
4079,1,0,55.16
4083,2,2,0.0
4086,1,1,29.03
4090,2,0,48.51
4092,12,5,0.0
4096,1,0,49.14
4101,13,11,0.0
4102,13,11,0.0
4103,13,12,0.0
4105,12,1,0.0
4106,12,7,20.85
4107,11,0,33.86
4109,11,0,31.36
4110,11,0,36.97
4259,1,0,48.09
4265,1,0,32.68
4284,1,0,45.92
4330,3,3,0.0
4343,4,0,31.42
4344,3,0,42.37
4346,3,0,56.56
4347,3,0,31.35
4351,4,0,40.48
4355,1,0,49.26
4364,1,1,0.0
4401,4,4,0.0
4411,1,0,42.8
4412,4,4,0.0
4429,1,0,46.45
4438,1,0,56.7
4444,1,0,51.71
4461,1,1,24.89
4468,1,1,0.0
4469,1,0,30.41
4473,1,0,40.01
4474,4,0,39.09
4489,1,1,25.01
4496,1,1,0.0
4530,1,0,53.94
4535,1,0,56.56
4539,1,0,43.97
4543,1,1,0.0
4551,1,0,41.84
4553,1,1,22.32
4555,1,0,44.51
4573,1,0,49.58
4605,1,1,0.0
4631,1,1,0.0
4652,1,1,0.0
4667,1,0,42.3
4730,1,1,0.0
4733,1,0,57.01
4736,1,1,0.0
4740,1,0,55.1
4743,1,1,0.0
4745,1,0,53.8
4756,1,1,0.0
4757,1,0,43.54
4761,1,0,55.61
4769,1,1,0.0
4773,1,0,54.94
4776,1,1,0.0
4777,1,0,37.77
4781,1,0,46.03
4841,2,1,0.0
4843,2,1,24.77
4847,1,0,54.55
4854,1,1,25.18
4856,2,1,0.0
4858,1,0,37.44
4861,2,0,40.5
4901,1,1,0.0
4926,1,0,52.32
4937,1,0,41.19
4962,1,0,31.54
4963,1,0,49.96
4975,1,0,41.64
4976,1,1,0.0
5001,3,2,0.0
5033,1,1,0.0
5037,1,0,44.6
5052,2,0,38.08
5055,2,0,45.46
5059,2,0,41.64
5060,1,1,0.0
5084,2,0,48.91
5089,1,1,0.0
5143,1,0,53.14
5150,1,1,27.69
5151,1,0,57.98
5156,1,1,0.0
5201,1,1,0.0
5257,1,0,33.43
5261,1,0,56.08
5262,1,0,49.35
5301,3,3,0.0
5345,1,0,41.54
5352,5,0,46.44
5353,1,1,0.0
5359,1,0,59.81
5401,5,5,0.0
5403,5,5,0.0
5404,5,5,0.0
5405,5,5,8.16
5408,5,2,24.27
5439,5,3,11.0
5446,5,1,24.65
5452,3,0,48.76
5455,1,0,52.52
5456,1,0,36.35
5478,1,1,0.0
5481,1,0,43.3
5482,5,0,34.49
5488,1,0,58.85
5491,1,1,0.0
5495,5,0,34.44
5602,2,0,54.24
5641,2,2,0.0
5649,2,0,38.1
5651,2,0,39.35
5654,2,2,26.47
5655,1,0,42.12
5657,1,0,55.05
5661,1,1,0.0
5678,2,2,27.48
5679,2,0,40.46
5681,1,0,41.98
5701,3,3,0.0
5736,3,3,22.14
5759,4,0,44.61
5763,3,0,54.03
5765,3,0,43.9
5773,1,1,0.0
5777,3,0,44.38
5819,2,2,0.0
5824,2,0,50.39
5825,2,0,42.89
5828,2,0,48.62
5829,2,0,45.4
5836,1,0,38.35
5843,1,1,0.0
5850,2,0,59.08
5855,2,2,0.0
5857,2,0,39.67
6001,1,1,0.0
6002,16,5,29.99
6010,13,8,0.0
6013,5,0,46.82
6016,5,0,31.47
6018,2,2,21.34
6019,1,0,40.38
6020,1,0,37.52
6022,1,0,54.51
6023,18,1,22.74
6024,2,2,0.0
6029,3,2,0.0
6032,18,0,34.29
6033,4,1,0.0
6037,17,4,0.0
6039,1,0,48.93
6040,5,1,0.0
6042,6,2,16.35
6043,2,0,42.56
6051,22,8,0.0
6052,19,10,0.0
6053,21,7,0.0
6057,7,0,43.62
6058,2,0,34.85
6062,18,10,0.0
6066,4,2,0.0
6067,18,1,0.0
6068,2,0,56.96
6069,1,1,0.0
6070,1,0,56.4
6071,5,0,39.9
6073,3,0,39.03
6074,5,1,0.0
6078,2,0,38.93
6082,3,2,0.0
6084,2,0,40.09
6085,11,0,30.32
6088,4,0,50.16
6089,1,0,37.5
6092,1,0,47.69
6095,12,0,38.57
6096,2,0,51.98
6103,21,16,10.1
6105,22,16,0.0
6106,23,16,0.0
6107,23,6,20.93
6108,20,1,23.17
6109,25,7,19.82
6110,26,10,18.98
6111,29,5,0.0
6112,19,16,0.0
6114,23,16,0.0
6117,19,12,20.54
6118,20,1,0.0
6119,24,16,10.94
6120,19,16,0.0
6160,22,16,6.9
6226,8,5,0.0
6231,3,0,58.18
6234,6,3,28.59
6235,5,0,46.87
6237,8,0,36.71
6238,5,0,58.52
6239,5,3,0.0
6241,6,1,0.0
6243,6,1,26.42
6249,8,3,0.0
6250,5,0,31.64
6254,16,0,47.28
6255,4,0,38.78
6256,5,0,33.3
6259,3,0,46.75
6260,3,2,0.0
6262,9,0,33.9
6263,6,4,27.01
6264,5,0,47.09
6266,8,5,28.08
6268,5,0,52.42
6269,5,0,52.86
6277,4,0,36.93
6280,8,5,25.12
6281,7,0,48.21
6320,13,9,0.0
6330,9,0,48.3
6331,2,0,37.4
6332,5,2,18.27
6333,10,0,39.42
6334,8,0,43.8
6335,12,0,42.32
6336,11,0,45.07
6339,12,0,58.66
6340,12,3,0.0
6350,1,0,54.77
6351,2,1,0.0
6353,17,0,52.85
6354,5,2,0.0
6355,4,0,43.83
6357,10,1,0.0
6359,6,1,0.0
6360,8,8,0.0
6365,9,0,37.46
6371,1,0,51.35
6373,2,0,39.11
6374,3,2,0.0
6375,12,9,27.38
6376,1,1,26.91
6377,5,1,26.89
6378,6,0,31.7
6379,6,5,0.0
6380,9,8,22.87
6382,17,0,42.93
6384,1,0,49.72
6385,13,9,17.45
6387,6,1,25.68
6389,8,8,22.45
6401,5,2,0.0
6403,2,0,52.54
6405,17,3,0.0
6409,1,0,36.12
6410,10,0,39.21
6413,2,0,48.21
6416,14,1,29.02
6417,1,0,58.03
6418,7,2,12.93
6419,2,0,44.09
6422,10,2,0.0
6426,1,0,33.75
6437,5,0,46.71
6442,1,0,45.39
6443,2,2,0.0
6444,16,4,17.06
6450,13,2,0.0
6451,6,2,14.11
6455,12,7,28.59
6457,12,7,0.0
6460,8,2,0.0
6461,10,2,15.27
6467,19,2,7.18
6470,8,0,37.54
6471,8,0,31.97
6472,5,0,44.74
6473,21,2,0.0
6475,1,1,0.0
6477,21,3,0.0
6478,2,0,54.42
6479,21,2,0.0
6480,7,0,50.08
6481,11,7,17.65
6483,2,0,32.02
6484,5,0,32.94
6489,22,2,0.0
6492,8,1,0.0
6498,1,0,32.36
6510,28,21,9.39
6511,28,19,0.0
6512,26,6,22.22
6513,27,14,0.0
6514,24,13,0.0
6515,25,16,0.0
6516,24,7,0.0
6517,24,13,21.12
6518,23,4,0.0
6519,27,18,0.0
6524,5,0,50.17
6525,24,2,23.72
6604,7,6,0.0
6605,10,6,0.0
6606,7,6,0.0
6607,9,6,10.93
6608,9,7,0.0
6610,9,5,0.0
6611,7,1,27.93
6612,5,0,36.28
6614,10,3,0.0
6615,9,4,20.98
6702,13,11,0.0
6704,12,12,0.0
6705,14,7,0.0
6706,13,11,0.0
6708,12,8,0.0
6710,12,8,0.0
6712,13,4,26.35
6716,18,5,0.0
6752,2,0,32.17
6754,1,0,55.43
6755,2,0,45.08
6756,7,0,49.34
6757,1,1,0.0
6759,7,0,48.59
6762,11,3,23.29
6770,11,1,27.32
6776,2,1,0.0
6777,1,0,57.87
6779,12,6,24.64
6782,12,0,46.97
6783,1,0,52.1
6784,1,0,43.88
6785,1,1,28.42
6786,10,0,30.33
6787,7,0,55.23
6790,7,7,0.0
6791,7,0,39.16
6794,1,0,50.98
6795,8,0,37.04
6801,9,7,0.0
6804,10,1,0.0
6807,13,6,21.86
6810,9,8,0.0
6811,9,7,0.0
6812,7,1,27.08
6820,7,4,26.45
6824,9,3,21.9
6825,10,5,0.0
6830,14,5,0.0
6831,13,5,0.0
6840,12,2,0.0
6850,11,3,0.0
6851,8,5,15.46
6853,10,1,20.03
6854,10,2,0.0
6855,10,2,13.97
6856,12,2,9.04
6870,9,7,18.33
6878,13,6,21.62
6880,10,3,0.0
6883,5,0,41.66
6890,10,3,25.02
6896,9,0,44.45
6897,7,2,0.0
6901,11,4,0.0
6902,10,4,0.0
6903,5,0,31.22
6905,10,4,0.0
6906,10,4,10.71
6907,7,4,15.36
7001,22,4,0.0
7002,25,3,22.06
7003,23,7,17.04
7004,6,0,35.6
7005,3,0,35.27
7006,11,1,19.2
7008,13,1,27.62
7009,14,2,16.04
7010,106,1,7.85
7011,25,6,10.95
7012,26,2,0.0
7013,20,5,15.02
7014,31,3,14.65
7016,18,3,19.38
7017,24,15,9.21
7018,27,13,0.0
7020,102,1,0.0
7021,13,1,15.69
7022,92,1,13.45
7023,14,2,5.61
7024,84,9,18.14
7026,24,12,25.71
7027,18,4,20.51
7028,23,6,18.9
7029,32,13,8.82
7030,97,21,16.47
7031,22,4,14.91
7032,23,13,0.0
7033,26,5,18.46
7034,5,2,19.42
7035,5,0,48.78
7036,26,7,0.0
7039,13,1,29.24
7040,28,9,13.15
7041,28,6,18.5
7042,25,7,14.35
7043,24,3,22.67
7044,23,2,0.0
7045,2,1,27.58
7046,8,1,27.88
7047,88,3,26.38
7050,24,7,10.37
7052,27,4,0.0
7054,8,1,0.0
7055,27,4,15.96
7057,26,2,24.58
7058,2,1,0.0
7059,4,0,38.73
7060,12,3,20.04
7062,10,3,14.57
7063,11,3,18.76
7064,12,9,18.08
7065,23,5,16.41
7066,23,4,0.0
7067,22,4,20.01
7068,11,1,28.79
7069,9,0,33.02
7070,28,1,27.35
7071,24,4,25.07
7072,27,2,27.67
7073,20,1,29.25
7074,9,2,26.7
7075,25,2,24.55
7076,15,2,0.0
7077,15,9,11.91
7078,21,2,21.25
7079,30,6,16.21
7080,18,1,0.0
7081,29,5,0.0
