origin,count within 30,minutes
6114,15,6.66
6117,10,6.26
6118,11,10.16
6119,13,6.67
6120,15,0.0
6160,15,4.01
6226,2,0.0
6231,2,21.44
6232,8,16.16
6234,1,22.27
6235,1,12.54
6237,3,10.27
6238,8,17.58
6239,2,12.8
6241,2,14.7
6242,3,24.04
6243,4,16.92
6247,1,19.93
6248,5,23.78
6249,2,16.27
6250,1,9.5
6254,4,11.85
6255,5,11.17
6256,2,9.72
6259,2,13.53
6260,3,0.0
6262,5,11.05
6263,2,15.58
6264,2,12.31
6266,2,9.02
6268,2,16.09
6269,2,15.03
6277,5,11.76
6278,1,24.69
6279,6,23.8
6280,2,7.24
6281,3,16.4
6282,2,18.32
6320,5,0.0
6330,2,18.26
6331,1,22.64
6332,2,23.38
6333,4,13.74
6334,4,9.73
6335,3,19.83
6336,4,12.04
6339,4,19.12
6340,5,10.21
6350,2,24.65
6351,2,18.37
6353,4,14.66
6354,1,22.27
6355,4,15.69
6357,4,0.0
6359,2,18.8
6360,5,0.0
6365,1,14.29
6370,3,25.25
6371,3,14.11
6374,3,22.9
6375,4,9.99
6376,3,10.4
6378,3,13.77
6379,3,5.54
6380,4,8.15
6382,4,12.2
6384,1,29.26
6385,4,4.74
6387,1,22.04
6389,5,6.18
6401,19,0.0
6403,13,13.85
6405,11,13.67
6409,5,20.29
6410,15,13.33
6412,3,24.85
6413,1,25.16
6414,7,12.75
6415,1,21.88
6416,14,9.59
6417,3,27.22
6418,19,4.51
6419,2,26.54
6420,4,18.69
6422,4,17.24
6424,6,18.04
6426,5,19.74
6437,10,22.28
6438,2,20.58
6441,2,19.07
6442,3,25.25
6444,8,7.9
6447,12,22.34
6450,22,3.98
6451,19,0.0
6455,6,9.11
6456,4,15.2
6457,13,0.0
6460,17,12.24
6461,17,9.98
6467,13,9.3
6468,7,20.53
6469,2,26.92
6470,2,18.47
6471,10,15.41
6472,14,9.67
6473,16,0.0
6475,3,17.62
6477,17,9.5
6478,8,17.2
6479,12,11.09
6480,12,8.6
6481,10,7.1
6482,3,20.97
6483,19,8.88
6484,17,9.45
6488,5,20.9
6489,15,13.7
6492,16,9.88
6498,1,22.71
6510,16,3.04
6511,13,0.0
6512,12,8.61
6513,13,8.08
6514,15,7.41
6515,18,0.0
6516,17,0.0
6517,12,8.95
6518,16,8.56
6519,17,0.0
6524,13,13.05
6525,19,5.89
6604,14,0.0
6605,15,0.0
6606,14,0.0
6607,17,4.32
6608,17,4.52
6610,17,0.0
6611,17,8.44
6612,9,12.53
6614,16,5.68
6615,17,0.0
6702,7,4.69
6704,5,0.0
6705,7,0.0
6706,9,8.6
6708,7,6.69
6710,5,4.61
6712,16,12.8
6716,6,8.8
6750,1,20.67
6751,3,23.46
6752,2,25.86
6756,1,14.74
6758,1,29.18
6759,2,15.73
6762,4,13.1
6763,3,22.26
6770,12,12.49
6776,2,21.35
6778,4,17.54
6779,6,7.9
6782,5,13.24
6784,2,29.65
6786,6,9.38
6787,5,13.97
6790,3,0.0
6791,3,12.24
6795,6,12.32
6796,2,24.92
6798,2,22.41
6801,2,9.0
6804,2,13.11
6807,4,11.04
6810,4,0.0
6811,4,5.31
6812,4,12.72
6820,5,8.41
6824,9,10.79
6825,11,6.03
6830,8,11.62
6831,3,21.34
6840,6,0.0
6850,9,7.15
6851,9,8.17
6853,6,8.78
6854,9,0.0
6855,9,6.18
6856,9,4.6
6870,4,6.52
6877,3,18.98
6878,4,7.62
6880,9,11.99
6883,5,21.74
6890,9,10.99
6896,4,16.94
6897,8,14.78
6901,4,0.0
6902,4,0.96
6903,3,14.05
6905,3,6.19
6906,4,4.35
6907,3,7.14
7001,24,6.29
7002,48,11.55
7003,43,9.82
7004,19,14.02
7005,6,11.92
7006,18,12.12
7008,22,11.04
7009,24,9.23
7010,80,7.57
7011,64,3.0
7012,62,5.01
7013,65,4.52
7014,72,3.97
7016,29,8.82
7017,39,4.05
7018,40,0.0
7020,79,7.63
7021,18,10.54
7022,80,9.16
7023,19,8.8
7024,82,3.8
7026,63,5.53
7027,25,10.48
7028,38,9.01
7029,77,3.6
7030,89,9.39
7031,72,4.88
7032,71,0.0
7033,36,6.78
7034,15,13.0
7035,14,14.78
7036,34,9.55
7039,17,8.85
7040,27,5.19
7041,30,6.56
7042,39,7.74
7043,45,9.89
7044,23,7.58
7045,6,17.33
7046,6,8.0
7047,85,9.04
7050,35,3.16
7052,30,0.0
7054,12,10.42
7055,66,0.0
7057,65,4.08
7058,15,15.12
7059,10,13.85
7060,17,0.0
7062,16,5.83
7063,12,4.03
7064,20,5.94
7065,24,9.46
7066,17,10.88
7067,20,9.71
7068,17,9.21
7069,15,7.52
7070,71,6.32
7071,72,8.1
7072,75,6.26
7073,70,5.85
7074,79,8.46
7075,70,8.05
7076,14,10.61
7077,24,4.65
7078,18,10.04
7079,33,5.26
7080,13,7.15
7081,25,7.54
7082,10,16.18
7083,44,0.0
7086,89,5.97
7087,88,7.19
7088,37,4.93
7090,23,12.49
7092,17,11.84
7093,88,9.71
7094,83,0.0
7095,23,0.0
7102,70,3.78
7103,54,5.01
7104,48,7.39
7105,76,5.18
7106,40,3.06
7107,49,5.54
7108,44,4.2
7109,47,8.4
7110,62,7.54
7111,39,0.0
7112,46,4.36
7114,68,0.0
7201,55,0.0
7202,46,5.32
7203,27,9.04
7204,36,5.83
7205,45,4.77
7206,45,5.11
7208,40,4.12
7302,82,4.7
7304,81,0.0
7305,76,4.34
7306,85,4.05
7307,84,7.68
7310,81,8.11
7311,80,7.27
7401,12,12.72
7403,6,21.66
7405,4,22.83
7407,58,7.06
7410,64,8.24
7416,1,24.54
7417,31,13.13
7419,2,24.85
7420,6,21.45
7423,45,7.09
7424,45,8.65
7430,5,13.97
7432,41,11.13
7435,2,23.64
7436,9,16.47
7438,1,28.86
7439,1,21.49
7440,15,15.0
7442,7,17.18
7444,11,17.9
7446,6,13.83
7450,37,8.78
7452,46,9.9
7456,4,22.74
7457,4,21.78
7458,7,14.35
7460,1,29.17
7461,2,21.67
7463,28,10.87
7465,2,27.1
7470,19,10.49
7481,38,12.37
7495,5,9.15
7501,59,1.6
7502,51,3.74
7503,58,4.75
7504,60,4.33
7505,61,0.0
7506,48,7.7
7508,46,5.52
7512,48,6.41
7513,60,4.16
7514,59,4.48
7522,54,2.99
7524,55,4.75
7601,69,9.15
7603,73,9.78
7604,70,8.81
7605,83,5.37
7606,70,11.85
7607,72,6.82
7608,71,9.98
7620,47,16.39
7621,68,10.89
7624,42,16.1
7626,55,14.38
