origin,count within 30,minutes
4479,1,21.11
4481,2,18.15
4487,1,14.93
4489,27,3.78
4490,1,28.56
4492,1,18.46
4493,4,0.0
4495,6,15.61
4496,6,0.0
4535,1,28.48
4574,1,25.78
4605,1,0.0
4606,1,28.26
4607,2,19.47
4619,3,0.0
4622,2,15.58
4623,2,16.71
4626,2,26.12
4630,2,0.0
4631,1,0.0
4640,1,21.0
4643,2,0.0
4648,3,13.58
4649,1,26.3
4652,2,0.0
4654,2,0.0
4655,2,23.99
4658,2,0.0
4666,1,24.8
4667,1,11.86
4668,1,0.0
4669,1,27.95
4671,3,29.08
4680,2,9.35
4684,1,18.7
4691,4,21.19
4694,4,17.82
4730,6,0.0
4732,2,0.0
4733,3,21.78
4734,1,26.23
4736,5,0.0
4739,4,0.0
4740,2,15.58
4742,4,0.0
4743,5,0.0
4745,6,0.0
4746,5,18.5
4747,6,0.0
4750,3,22.22
4756,3,0.0
4757,2,13.22
4758,2,25.96
4760,6,24.98
4761,6,19.72
4763,8,21.86
4765,4,0.0
4766,3,13.96
4769,5,0.0
4772,5,23.05
4773,2,26.34
4776,6,12.18
4777,6,0.0
4779,3,28.24
4781,4,10.65
4783,2,28.67
4785,2,0.0
4786,4,0.0
4787,2,15.31
4849,1,24.52
4851,1,0.0
4853,2,0.0
4863,4,0.0
4901,5,21.51
4910,1,0.0
4911,1,12.89
4912,1,28.72
4915,1,0.0
4917,5,0.0
4918,5,11.0
4920,1,0.0
4921,2,25.36
4923,1,26.03
4924,2,25.89
4926,5,6.93
4927,1,27.89
4928,2,13.29
4929,1,15.58
4930,2,0.0
4932,2,26.41
4933,1,10.6
4937,5,25.64
4939,1,16.56
4940,1,29.22
4943,1,23.65
4944,1,28.48
4945,2,0.0
4947,1,0.0
4950,1,0.0
4951,2,18.88
4952,1,16.04
4953,2,0.0
4955,1,28.08
4956,1,17.0
4957,1,21.45
4958,1,24.92
4962,5,24.11
4963,5,23.85
4964,1,20.47
4965,2,10.33
4966,1,21.56
4967,1,16.31
4969,1,15.88
4970,1,0.0
4971,1,25.8
4973,1,23.21
4974,1,19.82
4975,5,24.69
4976,1,20.03
4979,1,27.8
4981,7,22.83
4983,1,0.0
4986,1,27.21
4987,1,27.87
4988,1,15.87
4989,4,21.1
4992,2,27.7
5031,1,28.17
5032,6,0.0
5033,10,0.0
5036,2,0.0
5037,1,26.6
5038,1,0.0
5039,6,29.1
5040,7,0.0
5041,8,12.32
5042,3,19.48
5043,6,24.89
5045,6,21.94
5046,2,25.08
5050,6,17.85
5051,9,0.0
5056,2,18.22
5058,7,27.28
5060,6,0.0
5061,7,13.13
5068,1,26.85
5069,10,17.25
5077,2,18.85
5079,1,20.53
5081,10,0.0
5083,1,24.64
5086,7,28.06
5089,8,23.9
5101,10,0.0
5141,2,19.08
5142,10,12.23
5143,12,0.0
5146,9,16.56
5148,4,0.0
5149,11,0.0
5150,12,0.0
5151,8,14.38
5152,1,13.06
5153,10,9.93
5154,9,11.44
5155,1,10.2
5156,12,0.0
5158,9,10.81
5161,3,14.01
5250,1,0.0
5252,1,19.19
5253,1,28.21
5254,1,16.72
5255,2,20.44
5260,1,24.66
5261,1,26.36
5262,1,23.38
5301,3,29.81
5340,1,23.06
5343,1,21.35
5346,1,27.4
5350,1,27.46
5352,2,14.54
5359,1,26.87
5401,9,0.0
5403,9,0.0
5404,9,0.0
5405,9,3.18
5408,8,9.43
5439,9,4.76
5440,5,0.0
5441,1,19.05
5443,2,0.0
5444,1,26.86
5445,7,25.68
5446,9,8.59
5447,4,11.51
5450,4,0.0
5452,8,17.12
5454,2,0.0
5455,3,14.35
5456,2,23.46
5457,3,17.9
5458,1,11.57
5459,5,14.06
5461,8,24.18
5463,1,19.83
5464,5,23.84
5465,1,26.11
5468,4,21.71
5471,4,24.28
5472,2,14.23
5474,4,14.43
5476,4,0.0
5478,5,0.0
5481,1,18.79
5482,8,13.38
5483,4,20.47
5485,4,17.26
5486,9,0.0
5487,2,26.19
5488,4,0.0
5491,3,26.04
5494,3,13.4
5495,8,10.92
5602,7,13.42
5640,6,22.01
5641,8,0.0
5647,10,0.0
5648,6,29.03
5649,7,8.87
5650,8,24.93
5651,8,0.0
5652,4,28.95
5653,4,29.15
5654,8,12.45
5655,4,16.6
5656,4,19.81
5657,6,15.94
5658,9,13.61
5661,7,0.0
5663,3,24.6
5664,2,26.22
5667,8,0.0
5672,5,0.0
5675,3,17.33
5676,2,27.34
5677,5,23.01
5678,7,10.39
5679,9,11.8
5680,6,16.55
5681,8,13.89
5701,6,0.0
5730,2,20.39
5732,5,6.4
5733,5,0.0
5734,1,15.35
5735,5,0.0
5736,5,9.49
5738,4,27.44
5740,3,23.21
5742,6,24.08
5743,1,14.07
5744,5,27.6
5747,1,16.75
5748,1,10.05
5751,4,19.31
5753,4,26.27
5758,2,17.39
5759,5,10.21
5760,2,13.85
5761,1,15.71
5762,2,22.28
5763,5,15.21
5764,2,15.68
5765,6,14.66
5767,1,0.0
5769,1,16.43
5770,2,0.0
5772,2,16.52
5773,4,21.33
5774,2,11.85
5775,1,0.0
5776,1,24.24
5777,5,16.57
5778,2,17.0
5819,5,0.0
5821,4,20.3
5822,1,16.18
5824,3,0.0
5825,1,17.22
5826,2,23.03
5827,2,26.0
5828,6,0.0
5829,3,28.21
5832,1,27.46
5833,2,11.54
5836,3,12.39
5839,1,21.99
5841,2,22.56
5842,2,18.98
5843,8,0.0
5845,1,16.34
5846,2,0.0
5850,3,16.3
5851,2,18.94
5853,2,19.02
5855,1,24.51
5857,1,28.62
5858,1,22.28
5860,1,0.0
5862,1,26.3
5866,2,23.05
5872,3,20.6
5873,5,13.33
5902,2,9.21
5903,2,0.0
5904,4,20.54
5906,2,16.95
5907,2,25.32
6001,69,20.08
6002,82,0.0
6010,113,0.0
6013,43,18.38
6016,75,0.0
6018,8,22.24
6019,36,23.66
6020,78,19.28
6021,9,17.69
6022,13,21.68
6023,126,9.12
6024,8,21.34
6026,51,15.81
6027,5,26.86
6029,72,6.79
6031,6,29.94
6032,94,10.37
6033,104,11.31
6035,48,17.87
6037,117,8.36
6039,3,21.43
6040,71,0.0
6042,84,0.0
6043,49,11.57
6051,135,0.0
6052,136,0.0
6053,125,0.0
6057,9,14.53
6058,9,16.73
6059,9,16.93
