origin,count within 30,minutes
3885,4,17.36
3887,2,27.67
3890,1,29.5
3894,1,0.0
3901,2,20.92
3902,3,12.52
3903,4,15.68
3904,4,9.87
3905,3,13.68
3906,1,28.26
3907,3,13.07
3908,4,18.94
3909,4,0.0
3910,3,7.72
3911,3,4.07
4002,2,19.98
4005,6,0.0
4006,2,16.05
4008,1,21.35
4009,1,0.0
4010,1,29.58
4011,1,0.0
4015,1,24.7
4021,4,19.96
4022,1,22.98
4027,1,16.73
4032,5,18.2
4037,2,23.15
4038,4,12.89
4039,6,20.76
4040,2,13.34
4042,1,27.13
4043,3,14.46
4046,2,16.12
4051,1,27.4
4055,1,14.3
4057,2,7.78
4062,4,16.23
4063,6,5.68
4064,6,0.0
4066,1,24.98
4069,1,26.96
4072,6,5.0
4074,6,12.81
4079,1,20.41
4083,2,27.86
4084,1,29.61
4086,1,7.74
4088,2,19.22
4090,3,17.97
4092,6,0.0
4093,6,20.83
4096,5,16.06
4097,4,26.33
4101,6,0.0
4102,6,0.0
4103,6,0.0
4105,4,15.83
4106,6,6.58
4107,4,10.22
4110,5,15.74
4210,2,7.08
4220,1,28.95
4221,1,27.81
4222,3,24.1
4224,1,24.37
4227,1,26.76
4234,1,15.61
4236,2,12.48
4237,1,26.85
4238,1,28.15
4239,1,26.98
4240,2,0.0
4250,3,15.96
4252,3,16.74
4256,3,23.61
4257,1,9.74
4258,3,22.46
4260,4,19.76
4263,2,28.0
4265,6,27.17
4267,1,29.44
4268,1,0.0
4270,1,16.47
4271,1,14.31
4274,3,25.83
4275,1,20.29
4276,1,0.0
4280,3,12.53
4281,1,9.42
4282,2,24.88
4287,1,22.11
4289,1,17.98
4290,1,23.1
4294,1,23.94
4330,5,0.0
4342,1,29.19
4343,4,14.55
4344,4,13.3
4345,4,16.95
4346,4,14.88
4347,4,8.86
4351,4,12.23
4353,4,24.1
4354,4,29.99
4355,4,24.82
4358,5,17.34
4359,4,20.21
4360,1,19.79
4363,4,18.24
4364,4,21.88
4401,4,0.0
4406,1,29.37
4412,4,11.48
4419,5,25.98
4422,1,24.27
4426,1,0.0
4427,5,26.35
4428,4,25.56
4429,5,23.8
4430,1,20.45
4431,2,27.08
4434,1,19.92
4441,1,0.0
4442,1,17.4
4443,1,18.39
4444,4,21.7
4448,1,23.05
4449,4,27.01
4450,4,18.48
4455,1,16.17
4456,4,19.59
4457,1,0.0
4460,2,24.61
4461,4,25.1
4462,1,0.0
4463,1,27.3
4468,4,23.54
4469,4,21.95
4471,1,28.71
4472,2,22.75
4473,4,19.37
4474,4,22.42
4475,1,27.72
4476,1,16.09
4479,1,23.34
4481,1,20.06
4485,1,23.3
4489,4,16.31
4493,1,19.44
4495,1,21.46
4530,2,12.53
4535,1,24.7
4537,1,23.53
4538,1,28.32
4539,1,13.84
4541,1,27.75
4543,1,0.0
4548,1,29.95
4551,1,21.82
4553,1,9.73
4554,1,25.61
4555,1,13.63
4556,1,15.19
4558,1,25.21
4562,1,26.81
4564,1,24.11
4568,1,25.63
4572,2,15.59
4573,1,14.8
4578,2,16.85
4579,2,25.8
4605,1,0.0
4609,1,0.0
4614,1,0.0
4616,1,22.12
4617,1,29.02
4619,1,0.0
4626,1,29.08
4629,1,9.15
4630,1,12.15
4640,1,21.0
4644,1,2.46
4646,1,24.31
4648,1,13.58
4650,1,26.22
4654,1,0.0
4655,1,23.99
4660,1,26.47
4662,1,29.5
4671,1,29.08
4673,1,19.3
4675,1,23.74
4676,1,15.3
4684,2,12.28
4691,1,24.57
4694,1,17.82
4730,1,0.0
4734,1,26.23
4736,3,0.0
4739,1,26.67
4740,1,16.26
4742,3,17.35
4743,1,0.0
4745,1,26.6
4750,2,0.0
4757,1,13.22
4758,1,25.96
4760,1,24.98
4761,1,19.72
4763,1,29.94
4766,1,22.25
4769,2,0.0
4772,1,29.84
4779,1,28.24
4781,1,10.65
4783,1,28.67
4786,2,20.7
4787,1,15.31
4841,1,11.91
4843,1,10.16
4847,1,20.62
4849,2,24.52
4854,1,17.67
4856,1,0.0
4858,1,21.88
4859,1,27.54
4861,2,18.43
4862,1,23.14
4864,2,20.63
4901,6,0.0
4910,1,21.36
4911,1,27.67
4912,1,26.38
4915,1,0.0
4917,4,19.78
4918,4,21.83
4921,1,25.36
4922,1,25.41
4924,2,16.47
4926,5,14.48
4927,2,22.31
4928,1,27.2
4929,1,11.38
4930,1,24.76
4933,1,18.08
4937,6,12.1
4938,1,0.0
4940,1,8.23
4943,1,20.85
4944,2,19.12
4950,1,20.04
4952,1,16.04
4953,1,17.0
4955,2,13.89
4956,1,21.8
4957,2,15.23
4962,5,8.85
4963,5,15.32
4965,2,13.43
4967,1,0.0
4969,1,20.46
4971,1,28.56
4973,1,23.21
4974,1,19.82
4975,7,13.26
4976,1,0.0
4978,2,27.91
4981,1,22.83
4984,1,15.79
4989,5,21.04
4992,1,5.9
5001,4,0.0
5032,1,20.86
5037,2,21.84
5041,1,19.24
5042,1,28.65
5043,3,23.28
5048,3,16.02
5050,2,17.85
5052,5,11.72
5053,2,23.46
5055,4,15.87
5059,4,14.93
5060,1,0.0
5061,1,13.13
5065,1,28.03
5068,3,24.76
5069,1,25.74
5075,1,29.9
5081,1,20.68
