GEOID10,ZCTA5CE10,AFFGEOID10,minDistZ_mi
"04851","04851",8600000US04851,28.7566726018767
"60958","60958",8600000US60958,20.0736728598505
"46799","46799",8600000US46799,15.1642011906452
"20818","20818",8600000US20818,4.5559653535286
"50314","50314",8600000US50314,0.849982586173448
"70517","70517",8600000US70517,5.30284949064086
"40383","40383",8600000US40383,4.41665867623922
"49878","49878",8600000US49878,25.4560764662943
"04739","04739",8600000US04739,25.9411354247762
"38844","38844",8600000US38844,20.5465720493018
"63775","63775",8600000US63775,2.079871289866
"01340","01340",8600000US01340,11.6374293050511
"49248","49248",8600000US49248,13.5523302411577
"02343","02343",8600000US02343,3.62533443939597
"49780","49780",8600000US49780,18.6093061003486
"07720","07720",8600000US07720,1.49826514999556
"87830","87830",8600000US87830,50.9727367669462
"49722","49722",8600000US49722,18.0672101578247
"27053","27053",8600000US27053,17.0804973095643
"65802","65802",8600000US65802,3.39142984942634
"65742","65742",8600000US65742,13.5705402413985
"58801","58801",8600000US58801,11.2529514763335
"07079","07079",8600000US07079,1.69311231455731
"07870","07870",8600000US07870,5.71870942596337
"03447","03447",8600000US03447,16.3562728503979
"07723","07723",8600000US07723,3.00913907902663
"02873","02873",8600000US02873,15.590232801391
"57754","57754",8600000US57754,21.4829194835355
"10605","10605",8600000US10605,1.55837886624488
"37738","37738",8600000US37738,15.7014911446426
"11207","11207",8600000US11207,0.121342417845525
"37620","37620",8600000US37620,7.25860407306874
"79346","79346",8600000US79346,30.8232578410863
"75488","75488",8600000US75488,20.2371060355526
"05488","05488",8600000US05488,10.8014442161122
"57641","57641",8600000US57641,58.3017319642236
"24605","24605",8600000US24605,9.25985077738911
"23310","23310",8600000US23310,33.4250214175113
"24426","24426",8600000US24426,5.78261927119146
"98422","98422",8600000US98422,5.23848311246307
"99114","99114",8600000US99114,75.3328357002098
"25514","25514",8600000US25514,4.59058868298302
"28533","28533",8600000US28533,14.3080838312225
"28032","28032",8600000US28032,5.48539618195329
"45142","45142",8600000US45142,14.0387925787529
"58368","58368",8600000US58368,64.6691684065462
"58622","58622",8600000US58622,45.4877370361234
"58007","58007",8600000US58007,46.922744830221
"43467","43467",8600000US43467,15.0125458568665
"43008","43008",8600000US43008,9.50764391454466
"44615","44615",8600000US44615,1.88412333362717
"45745","45745",8600000US45745,17.1564482346661
"44682","44682",8600000US44682,9.04809270210125
"44507","44507",8600000US44507,0.797294714774142
"43142","43142",8600000US43142,11.1400291217704
"43736","43736",8600000US43736,10.909153657618
"43750","43750",8600000US43750,4.83016094273412
"44011","44011",8600000US44011,4.56152886394622
"74016","74016",8600000US74016,18.740084262741
"74003","74003",8600000US74003,5.48954087856815
"74464","74464",8600000US74464,2.01593751056558
"73441","73441",8600000US73441,28.2176980196789
"97525","97525",8600000US97525,15.872248879465
"97064","97064",8600000US97064,27.958092881497
"97355","97355",8600000US97355,20.9982782922525
"97434","97434",8600000US97434,22.9574757076985
"16617","16617",8600000US16617,7.7641471561596
"97886","97886",8600000US97886,25.9833568871749
"16340","16340",8600000US16340,9.02270545129009
"17097","17097",8600000US17097,22.14740579591
"15557","15557",8600000US15557,11.4312183492517
"15420","15420",8600000US15420,9.12599836857524
"16652","16652",8600000US16652,4.44928721004119
"19559","19559",8600000US19559,16.9158411888699
"18430","18430",8600000US18430,28.6057926324269
"15301","15301",8600000US15301,0.806739499632655
"17965","17965",8600000US17965,2.07232671950434
"15901","15901",8600000US15901,0.465037355426174
"17829","17829",8600000US17829,18.3010658854194
"19564","19564",8600000US19564,7.18442606512151
"15077","15077",8600000US15077,9.97241925167509
"17920","17920",8600000US17920,12.8787821781817
"17822","17822",8600000US17822,0.0199452855753359
"19107","19107",8600000US19107,0.189497557381193
"02876","02876",8600000US02876,5.45700885230813
"29646","29646",8600000US29646,2.85752464383595
"29003","29003",8600000US29003,11.1451438664636
"29014","29014",8600000US29014,12.7440807416697
"29135","29135",8600000US29135,1.9736517214179
"10456","10456",8600000US10456,0.359029526605364
"13343","13343",8600000US13343,12.9144419027603
"14456","14456",8600000US14456,12.2146411020057
"11417","11417",8600000US11417,0.992798207883062
"13440","13440",8600000US13440,0.396849914538909
"13856","13856",8600000US13856,2.70293467857054
"11104","11104",8600000US11104,1.12979658550423
"10024","10024",8600000US10024,0.465177876696389
"12456","12456",8600000US12456,10.3443408679789
"10535","10535",8600000US10535,9.06709171050882
"11212","11212",8600000US11212,0.730993632837167
"11694","11694",8600000US11694,0.567656729986407
"11415","11415",8600000US11415,1.17284379964559
"28777","28777",8600000US28777,18.3284873676286
"27827","27827",8600000US27827,9.73144326336047
"27891","27891",8600000US27891,10.0507213536692
"28465","28465",8600000US28465,15.2334617384448
"38053","38053",8600000US38053,4.58405504770795
"37727","37727",8600000US37727,14.7271240731147
"11209","11209",8600000US11209,0.606239505392737
"37148","37148",8600000US37148,12.0121267449567
"10703","10703",8600000US10703,1.41953941233269
"79714","79714",8600000US79714,10.4350210080552
"75551","75551",8600000US75551,28.8409816435327
"78851","78851",8600000US78851,87.5817883887296
"28607","28607",8600000US28607,2.5861339793094
"58239","58239",8600000US58239,64.7010649535646
"98244","98244",8600000US98244,28.9708892235531
"99141","99141",8600000US99141,99.4649307749942
"26836","26836",8600000US26836,7.57223871517474
"86054","86054",8600000US86054,60.9902486273845
"82835","82835",8600000US82835,42.6255537249235
"35654","35654",8600000US35654,7.17849083815513
"35242","35242",8600000US35242,4.67357665908356
"02139","02139",8600000US02139,0.740853199507422
"63853","63853",8600000US63853,11.874414063043
"70139","70139",8600000US70139,0.278019016923238
"47654","47654",8600000US47654,16.5104372185681
"50673","50673",8600000US50673,16.8499967348617
"02180","02180",8600000US02180,1.71329326267444
"04952","04952",8600000US04952,9.15282623715688
"01199","01199",8600000US01199,0.0883133938912475
"92662","92662",8600000US92662,3.23110158616861
"99174","99174",8600000US99174,30.9717352987034
"24577","24577",8600000US24577,15.3511799310663
"07662","07662",8600000US07662,2.09450002463792
"88028","88028",8600000US88028,27.9551398028209
"11360","11360",8600000US11360,3.0191643132874
"14854","14854",8600000US14854,6.3641256696796
"87025","87025",8600000US87025,27.3214539165877
"16253","16253",8600000US16253,17.5387881131602
"84329","84329",8600000US84329,75.3479169540947
"15715","15715",8600000US15715,6.24653396667604
