"GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","a15_24P","und45P","ovr65P","disbP"
"00976",2018,58893,81.04,9.66,0.14,0.13,0.02,9.01,99.2,NA,13.3,55.86,18.68,NA
"00979",2018,15897,71.5,14.73,1.29,1.75,0,10.73,93.39,NA,10.32,44.54,22.49,NA
"00982",2018,14241,55.47,22.63,1.78,0.62,0,19.49,99.38,NA,12.15,50.4,23.87,NA
"00983",2018,34798,49.7,25.32,1.53,0.05,0.05,23.36,99.2,NA,15.77,55.15,21.99,NA
"00985",2018,31845,49.24,24.95,2.32,0.13,0,23.36,99.65,NA,14.07,52.55,23.77,NA
"00987",2018,57181,53.22,20.6,2.05,0.05,0,24.08,99.37,NA,13.92,58.12,16.68,NA
"01001",2018,17621,92.48,1.96,0.03,3.05,0,2.47,5.52,8.52,7.33,48.56,24.11,14.3
"01002",2018,30066,75.77,6.24,0.41,10.95,0.11,6.52,7.34,4.84,44.35,71.54,11.87,8.6
"01003",2018,11238,74.31,5.08,0.52,16.22,0,3.87,5.55,22.88,98.95,99.59,0.04,2
"01005",2018,4991,95.15,2.3,0,0.78,0.48,1.28,1.24,3.87,13.44,45.46,15.41,9.4
"01007",2018,14967,94.73,0.57,0,3.31,0,1.39,1.39,5.27,14.92,51.6,14.76,9.5
"01008",2018,1197,98.83,0,0.33,0,0,0.84,1.67,10.12,9.94,39.52,23.98,10.5
"01009",2018,249,100,0,0,0,0,0,0,5.56,20.48,47.79,38.96,0
"01010",2018,3739,95.16,3.61,0,0.45,0,0.78,2.62,5.83,9.52,44.08,18.91,10.8
"01011",2018,1448,98.34,0.28,0,0.14,0,1.24,0.76,11.29,8.98,49.1,18.09,18.1
"01012",2018,560,99.11,0,0,0,0.89,0,0.54,9.28,7.5,46.07,24.11,10
"01013",2018,23065,83.38,5.06,0.03,2.29,0,9.24,27.64,19.99,16.1,61.08,14.77,14.5
"01020",2018,30097,88.91,3.56,0.2,2.03,0,5.3,16.36,12.37,10.22,51.1,19.14,17
"01022",2018,2499,72.39,18.57,0,2,0,7.04,7.44,5.22,25.81,59.62,23.77,20.3
"01026",2018,954,96.54,1.78,0,0.52,0,1.15,1.36,2.54,7.02,42.87,24.63,12.7
"01027",2018,17848,92.72,2.02,0.02,2.09,0,3.15,4.44,4.66,9.5,49.69,18.85,14
"01028",2018,16200,89.06,4.62,0.19,4.57,0,1.57,3.72,5.28,11.59,48.75,21.67,13
"01029",2018,651,97.08,2.46,0,0,0,0.46,0,8.28,7.83,47.93,17.36,14.3
"01030",2018,11123,95.74,1.33,0.12,1.67,0,1.14,5.43,5.17,11.2,47.34,17.87,10.8
"01031",2018,1197,94.4,0.58,0,0,0,5.01,4.01,9.24,11.36,54.05,16.79,15.6
"01032",2018,533,100,0,0,0,0,0,5.82,3.49,6.38,39.96,16.89,9.2
"01033",2018,6333,97.57,0,0,0.28,0,2.15,5.72,6.58,10.72,45.86,17.78,9.4
"01034",2018,2179,97.43,0,0,0.37,0,2.2,2.02,4.58,11.06,48.23,17.39,9.1
"01035",2018,5310,89,6.37,0.55,1.45,0,2.64,4.01,4.02,8.91,44.75,28.08,10.4
"01036",2018,5191,96.94,0.23,0.17,0.62,0,2.04,3.93,6.11,11.67,40.2,23.71,13.5
"01037",2018,798,94.86,1.13,0,0.38,0,3.63,7.02,0,18.3,51,14.91,4.9
"01038",2018,2867,96.44,0.45,0.03,1.33,0,1.74,1.81,1.5,10.6,41.09,23.93,11.5
"01039",2018,1042,95.78,1.82,0,0,0,2.4,4.22,4.53,8.25,35.41,20.35,16.8
"01040",2018,40376,86.58,4.45,0.39,1.32,0.07,7.17,52.14,21.2,14.65,62.13,13.92,16.7
"01050",2018,2422,93.64,1.94,0.5,0,0.37,3.55,0.91,5.53,10.86,50.5,16.85,11.8
"01053",2018,1702,94.3,3.88,0,0.65,0,1.18,4.88,6.05,8.05,40.19,26.79,15.8
"01054",2018,1983,95.26,0.76,0.25,1.97,0,1.77,1.26,3.54,9.58,44.63,25.52,9
"01056",2018,21336,93.09,1.93,0.06,1.06,0,3.86,8.55,17.34,10.97,50.64,17.09,14.7
"01057",2018,8745,96.39,0.69,0,1.09,0,1.84,1.69,7.19,11.76,47.12,18.52,12.2
"01060",2018,15779,87.39,2.87,0.22,4.37,0,5.16,7.39,6.1,24.1,60.63,15.33,11.3
"01062",2018,10495,88.75,1.31,0.05,5.06,0,4.83,10.8,6.93,10.38,52.02,17.77,12.6
"01063",2018,592,69.93,1.86,0,19.09,0,9.12,6.76,NA,100,100,0,4.9
"01066",2018,9,100,0,0,0,0,0,0,0,0,0,100,0
"01068",2018,1840,97.93,0.33,0.43,0.22,0,1.09,3.26,5.06,14.95,46.79,14.73,9.7
"01069",2018,8698,91.91,1.97,0,2.46,0,3.67,5.05,8.39,10.44,47.69,18.4,16.6
"01070",2018,604,92.72,0.5,0.17,2.32,0,4.3,4.14,2.9,14.24,40.89,25.83,13.7
"01071",2018,1270,96.3,1.5,0.31,0,0,1.89,1.81,4.42,13.94,45.67,18.35,10.3
"01072",2018,1536,93.16,1.04,0.2,0.46,0,5.14,5.34,2.63,12.76,47.4,17.25,9.9
"01073",2018,6140,96.91,0,0,2.04,0,1.06,0.21,5.39,13.53,49.27,18.68,10.4
"01074",2018,548,95.07,0,0,0,0,4.93,4.93,11.84,18.07,59.49,3.83,0
"01075",2018,17763,90.01,2.22,0.03,4.23,0,3.51,6.48,5.47,22.75,55.84,18.65,12.4
"01077",2018,9727,98.09,0.04,0,1.37,0,0.5,1.75,7.51,9.15,47.1,21.45,16.1
"01079",2018,658,100,0,0,0,0,0,11.4,0,3.34,43.92,17.78,19
"01080",2018,2802,88.62,2.36,0,0,0,9.03,6.53,9.51,19.88,70.2,9.35,16.8
"01081",2018,1941,98.51,0.15,0.15,0,0,1.18,5.31,5.88,12.21,54.82,17.1,11.2
"01082",2018,10586,95.2,0.94,0,0.51,0,3.34,6.21,8.89,9.55,52.99,19.68,16.3
"01083",2018,2986,95.08,0,0,4.92,0,0,0,2.73,12.59,54.42,12.63,9.6
"01084",2018,174,88.51,0,0,0,0,11.49,13.22,2.33,10.92,34.48,29.89,10.3
"01085",2018,41942,92.36,1.86,0.09,2.88,0,2.81,9.1,9.35,19.89,56.77,16.52,14.8
"01086",2018,372,91.94,6.18,0,0,0,1.88,4.3,NA,100,100,0,0
"01088",2018,416,98.8,0,0,0,0,1.2,1.2,7.44,18.75,51.44,13.22,20.4
"01089",2018,28666,85.4,2.98,0.81,4.6,0,6.21,9.81,10.89,13.64,56.44,15.05,12.2
"01092",2018,1425,99.93,0.07,0,0,0,0,4.7,2.73,17.47,57.26,12.21,11
"01093",2018,283,100,0,0,0,0,0,0,1.46,19.43,39.58,23.67,9.5
"01094",2018,282,100,0,0,0,0,0,0,13.88,6.03,26.24,52.13,26.2
"01095",2018,14690,92.95,3.03,0,1.18,0,2.84,5.12,6.04,11.7,47.05,21.4,10.8
"01096",2018,2695,99,0,0,0.45,0.56,0,0.85,6.31,12.06,49.98,19.81,8.9
"01097",2018,59,86.44,0,0,0,0,13.56,0,25,13.56,77.97,5.08,30.5
"01098",2018,1196,98.49,0.33,0,0,0,1.17,0.84,5.78,11.37,42.47,22.24,12
"01103",2018,2389,55.09,12.85,0.67,2.26,0,29.13,63.58,27.91,12.6,61.03,11.8,27.9
"01104",2018,23876,67.08,11.26,0.5,1.55,0.03,19.58,60.47,25.29,15.69,63.08,12.83,23
"01105",2018,11957,58.31,23.33,0.21,0.37,0,17.79,65.28,33.83,13.73,67.71,11.23,29.3
"01106",2018,16022,90.28,0.62,0.04,6.69,0,2.37,5.1,4.03,11.23,49.12,21.81,8.1
"01107",2018,11582,60.89,13.21,0.75,0.43,0,24.72,78.3,41.26,18.94,72.69,9.37,25.2
"01108",2018,27850,62.89,16.65,0.59,4.92,0.14,14.8,45.28,26.49,16.1,67.33,9.4,17.9
"01109",2018,29903,49.54,38.14,0.57,1.14,0.04,10.56,39.87,22.56,26.76,68.57,10.6,18.9
