"GEOID","year","totWrkE","eduP","hghRskP","hltCrP","retailP"
"01532",2018,8440,0.66,67.18,0.24,3.98
"01534",2018,3561,0.98,48.64,0.42,2.86
"01535",2018,2580,1.51,20.35,1.98,1.59
"01536",2018,4158,2,58.35,1.8,2.5
"01537",2018,1256,0.08,32.88,2.79,3.18
"01540",2018,6168,1.2,28.55,1.57,2.16
"01541",2018,1924,0,56.08,0,4.42
"01542",2018,1295,1,30.97,0.69,0.69
"01543",2018,4871,1.44,42.19,2.75,3
"01545",2018,19208,1.27,56.27,1.01,3.12
"01550",2018,8288,0.36,22.27,0.77,2.12
"01560",2018,2294,0.57,57.5,0,4.53
"01561",2018,164,0,113.41,0,0
"01562",2018,6494,0.28,33.37,1.94,1.88
"01564",2018,4237,0.87,58.13,0.76,7.15
"01566",2018,2869,0.35,48.31,1.64,4.04
"01568",2018,4225,0.71,50.67,0.57,4.66
"01569",2018,7648,1.01,45.07,0.92,2.85
"01570",2018,8535,0.57,30.59,1.45,1.45
"01571",2018,5869,2.52,39.65,0.2,2.64
"01581",2018,9664,0.25,64.05,0.08,4.62
"01583",2018,2853,0.28,46.97,0.88,2.77
"01585",2018,2375,0,35.71,0.93,3.12
"01588",2018,5081,0.81,51.78,1.08,5.69
"01590",2018,5280,0.66,42.46,3.73,4
"01602",2018,12589,1.5,40.46,1.16,2.26
"01603",2018,8447,1.25,25.78,0.44,1.4
"01604",2018,18155,0.78,32.17,1.06,1.69
"01605",2018,12172,1.12,23.9,1.36,1.35
"01606",2018,10128,1.65,39.82,1.2,1.44
"01607",2018,4213,2.9,27.11,1.64,1.78
"01608",2018,1378,0,26.63,0,1.96
"01609",2018,8710,1.27,35.12,0.61,2.04
"01610",2018,9873,2.05,19.57,0.23,0.72
"01611",2018,1262,1.9,35.18,0.95,0
"01612",2018,2546,1.73,52,2.44,1.57
"01701",2018,18963,1.02,56.38,0.86,3.46
"01702",2018,21967,0.92,32.57,0.39,1.21
"01718",2018,500,0,94.6,0,4.4
"01719",2018,3222,0.43,78.06,0.34,7.39
"01720",2018,11784,0.31,72.4,0.23,6.59
"01721",2018,10170,0.91,67.29,0.47,3.31
"01730",2018,7041,1.42,68.91,0.85,7.61
"01731",2018,359,0,69.08,1.39,3.06
"01740",2018,2772,0.43,72.66,0,6.82
"01741",2018,2438,0.29,75.59,0,4.96
"01742",2018,8183,0.53,80.12,0.26,2.15
"01745",2018,300,0,62.33,0,2.33
"01746",2018,7974,2.06,63.12,0.83,4.13
"01747",2018,3112,2.41,61.63,2.83,2.99
"01748",2018,9066,1.5,72.95,0,3.06
"01749",2018,11237,1.21,47.37,0.5,3.56
"01752",2018,23210,1.33,44.29,0.25,4.06
"01754",2018,6199,0.87,56.2,0.97,2.87
"01756",2018,3501,1.11,60.75,0,0.94
"01757",2018,15811,0.61,45.39,0.44,1.99
"01760",2018,19729,0.9,71.54,0.4,2.99
"01770",2018,2259,0.44,71.71,0.49,1.81
"01772",2018,4985,1.28,70.93,0,2.41
"01773",2018,2352,0.34,82.14,0,4.89
"01775",2018,3808,1,68.64,0,5.02
"01776",2018,9077,1.04,78.73,0.4,5.12
"01778",2018,7173,0.33,78.87,0.18,3.32
"01801",2018,22883,0.93,45.37,0.44,2.27
"01803",2018,13936,0.74,58.84,1.27,4.01
"01810",2018,18240,0.75,71.79,0.48,5.93
"01821",2018,18734,1.22,48.64,0.64,2.81
"01824",2018,13829,1.11,62.93,0.69,6.41
"01826",2018,16795,0.54,42.97,1.5,3.88
"01827",2018,1833,1.47,63.83,0,5.4
"01830",2018,13552,1.05,34.3,0.97,1.84
"01832",2018,12238,1.65,38.79,0.29,1.83
"01833",2018,4892,0.65,56.93,1.43,2.37
"01834",2018,3697,1.62,37.33,1.51,0.38
"01835",2018,7364,1.25,39.42,0.42,2.16
"01840",2018,2073,1.11,17.99,0,0.72
"01841",2018,21964,1.04,13.61,0.2,0.41
"01843",2018,12327,0.95,20.91,0.1,1.83
"01844",2018,27369,1.56,34.82,1.02,2.18
"01845",2018,15968,1.66,60.44,1.2,3.15
"01850",2018,7979,2.08,23.31,0.89,2.08
"01851",2018,15728,0.6,32.32,0.22,2.05
"01852",2018,17104,1.36,32.62,0.7,2.67
"01854",2018,13578,1.88,25.75,0.91,2.16
"01860",2018,3661,1.88,56.51,0.41,1.88
"01862",2018,5393,0.85,49.77,0.2,4.93
"01863",2018,4786,0.96,54.78,1.92,3.59
"01864",2018,8778,0.68,61.54,1.41,4.94
"01867",2018,13539,0.44,66.86,1.03,2.95
"01876",2018,17096,1.14,49.02,1.09,4.69
"01879",2018,7300,1.18,51.3,0.93,4.58
"01880",2018,15016,1.76,54.47,1.29,1.85
"01886",2018,12676,0.62,66.88,0.78,7.69
"01887",2018,13680,0.74,52.68,0.31,2.86
"01890",2018,11118,0.58,79.66,0.31,4.45
"01901",2018,707,0,20.37,0,1.27
"01902",2018,24035,0.99,22.53,0.2,0.47
"01904",2018,9325,2.25,29,1.37,1.77
"01905",2018,12751,1.47,19.68,1.18,0.56
"01906",2018,14901,2.23,40.9,0.77,1.36
"01907",2018,7788,0.33,63.39,1.84,2.29
"01908",2018,1978,1.72,54.4,1.47,1.72
"01913",2018,9909,0.38,49.16,1.04,3.96
"01915",2018,22922,1.46,45.8,0.65,2.13
"01921",2018,4223,2.53,67.09,1.07,4.36
"01922",2018,1625,0.25,49.97,2.15,1.91
"01923",2018,14526,0.94,47.5,1.15,1.84
"01929",2018,1915,0.63,68.62,0,2.72
"01930",2018,15251,0.56,41.79,0.31,1.75
"01937",2018,19,0,0,0,0
"01938",2018,7363,0,53.54,0.94,1.91
"01940",2018,7077,0.52,54.6,1.03,1.99
"01944",2018,2555,0.86,66.14,1.45,3.05
"01945",2018,10126,0.11,66.92,0.64,1.3
"01949",2018,4325,0,55.28,2.2,1.53
"01950",2018,9834,0.65,65.19,0.84,4.12
"01951",2018,2156,1.02,62.94,0,4.82
"01952",2018,4687,0.17,36.12,2.54,1.09
"01960",2018,27272,0.73,42.96,0.72,1.66
"01966",2018,3655,1.01,52.56,0.55,1.56
"01969",2018,3447,0.49,55.27,2.52,2.7
"01970",2018,24106,1.51,41.37,0.43,1.52
"01982",2018,3865,1.14,59.4,0,1.27
"01983",2018,2981,2.99,67.7,0.7,4.03
"01984",2018,2578,1.47,56.48,0.39,3.18
"01985",2018,2410,0.33,61.29,0.37,4.27
"02019",2018,10052,0.55,48.95,1.21,2.11
"02021",2018,12273,1.72,63.33,0.51,2.9
"02025",2018,3922,0.43,68.15,0.61,0
"02026",2018,13505,0.98,52.08,0.44,1.74
"02030",2018,2688,4.5,82.44,0.45,1.75
"02032",2018,2519,1.63,69.43,0,3.02
"02035",2018,9174,0.89,56.46,0.87,3.38
"02038",2018,18030,0.95,60.82,0.79,2.04
"02043",2018,10643,0.37,66.88,0.79,1.49
"02045",2018,5921,1.13,49.42,0.59,0.79
"02047",2018,27,0,0,0,0
"02048",2018,13797,1,51.39,1.33,2.97
"02050",2018,13437,0.8,45.06,1.78,1.3
"02052",2018,6075,1.35,73.19,0.94,2.14
"02053",2018,7610,2.43,60.79,0.87,2.13
"02054",2018,4295,0.93,55.51,1.37,2.35
"02056",2018,5055,2.85,67.36,0.51,2.75
"02061",2018,5575,1.15,64.07,0.88,1.61
"02062",2018,16538,1.09,53.2,0.48,3.21
"02066",2018,9393,0.99,55.19,0.6,2.41
"02067",2018,9667,0.94,70.64,0,2.4
"02071",2018,512,2.93,31.25,0,0
"02072",2018,15743,1.54,44.3,0.49,1.83
"02081",2018,9726,0.76,58.39,0.88,2.31
"02090",2018,7739,0.94,64.8,1.38,2.04
"02093",2018,6224,1.61,54.13,0.42,2.92
"02108",2018,2212,0.81,86.89,0,0.59
"02109",2018,2655,0,96.05,0,1.58
"02110",2018,1362,0.29,104.48,0,0.66
"02111",2018,3788,0.32,56.23,0,1.16
"02113",2018,5899,0,96.46,0,2.59
"02114",2018,8937,0.25,83.89,0.03,2.39
"02115",2018,13563,1,49.19,0.03,2.59
"02116",2018,14301,0.69,80.93,0,1.56
"02118",2018,14943,0.64,71.55,0.13,1.58
"02119",2018,12551,3.67,34.88,0.76,1.44
"02120",2018,6946,1.02,37.47,0.33,2.92
"02121",2018,12597,2.49,21.68,0.74,0.6
"02122",2018,13533,2.81,23.07,2.31,1.15
"02124",2018,27168,3.74,33.36,1.25,0.8
"02125",2018,17802,1.71,45.01,0.44,1.69
"02126",2018,14476,1.49,28.08,1.4,0.9
"02127",2018,24055,1.31,74.67,0.98,1.8
"02128",2018,26402,1.55,25.22,0.47,0.81
"02129",2018,11593,0.78,79.36,0.2,1.79
"02130",2018,23820,1.7,52.97,0.36,2.04
"02131",2018,18598,1.62,41.52,0.53,1.84
"02132",2018,15314,1.78,55.3,1.48,1.94
"02134",2018,12598,0.67,55.41,0.06,3
"02135",2018,29006,0.48,60.28,0.22,3.2
"02136",2018,17606,2.95,32.97,3.09,0.73
"02138",2018,20728,0.45,64.98,0.27,2.53
"02139",2018,24281,0.9,66.85,0.05,3.52
"02140",2018,12891,0.91,67.19,0.08,5.24
"02141",2018,8664,0.92,73.27,0.13,3.96
