"GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","a15_24P","und45P","ovr65P","disbP"
"26129",2018,20928,96.56,0.37,1.08,0.63,0,1.37,2.12,14.49,10.2,44.3,24.89,23.3
"26131",2018,5968,96.05,0.55,0.87,0.25,0.13,2.14,1.46,7.39,7.84,30.81,34.28,18.8
"26133",2018,23232,96.19,1.1,0.84,0.3,0,1.57,1.8,11.79,11.94,51.43,20.23,18.2
"26135",2018,8277,96.87,0.64,0.63,0.05,0.05,1.76,1.52,16.68,9.79,42.23,26.85,23.3
"26137",2018,24397,95.63,0.55,0.43,0.43,0,2.97,1.69,7.87,12.09,50.33,20.19,18
"26139",2018,284034,89.38,1.49,0.31,2.67,0.02,6.13,9.66,7.35,17.99,61.66,14.13,10.2
"26141",2018,12797,96.53,0.55,0.33,0.47,0,2.12,1.31,10.88,9.39,38.16,29.94,19.8
"26143",2018,23877,96.64,0.15,0.92,0.31,0,1.98,1.78,10.1,8.57,36.57,31.15,26.3
"26145",2018,192778,74.91,18.66,0.3,1.27,0.01,4.86,8.38,10.51,13.83,54.54,18.19,16.6
"26147",2018,159566,93.51,2.13,0.17,0.68,0.02,3.49,3.31,9.51,12.35,51.74,17.72,16.9
"26149",2018,60897,91.08,2.2,0.35,0.5,0.05,5.82,7.73,12.89,12.5,56.29,16.94,15.4
"26151",2018,41376,96.71,0.58,0.33,0.34,0.01,2.03,3.67,12.14,11.62,49.92,20.45,17.8
"26153",2018,8069,86.7,0.51,6.9,0.38,0,5.5,1,9.89,10.25,41.44,25.7,21.7
"26155",2018,68493,96.64,0.58,0.25,0.29,0.03,2.21,2.91,7.56,12.84,53.11,17.36,15.4
"26157",2018,53250,96.33,1.18,0.31,0.34,0.01,1.83,3.34,10.66,11.84,50.76,19.31,18.9
"26159",2018,75272,85.93,3.32,1.01,0.68,0.04,9.02,11.41,12.84,12.39,54.24,17.05,15
"26161",2018,365961,73.72,11.78,0.33,9.06,0.05,5.06,4.65,4.75,22.28,63.58,12.92,9.1
"26163",2018,1761382,53.22,38.9,0.32,3.26,0.03,4.28,5.86,14.09,13.39,58.58,14.7,16
"26165",2018,33111,95.96,0.72,0.46,0.59,0.02,2.26,1.91,10.52,11.27,53.39,18.14,15.9
"27001",2018,15834,94.8,0.56,2.18,0.36,0.09,2.01,1.35,8.99,8.23,37.65,31.96,17.9
"27003",2018,347431,84.24,5.9,0.66,4.31,0.03,4.86,4.41,6.1,12.19,58.5,13.02,10
"27005",2018,33773,87.73,0.55,7.43,0.61,0.02,3.65,2,7.35,11.34,53.2,19.81,13.4
"27007",2018,46117,73.09,1.14,20.7,0.81,0.06,4.2,2.31,8.65,17.45,61.97,15.15,13.5
"27009",2018,39779,92.23,3.32,0.08,1.1,0,3.26,2.27,7.65,11.87,62.23,13.49,12.8
"27011",2018,5016,99.06,0.04,0.06,0,0,0.84,1.59,9.78,9.95,45.85,25.54,15.6
"27013",2018,66322,91.1,3.47,0.34,2.27,0.04,2.78,3.48,5.86,25.24,65.92,13.12,9.6
"27015",2018,25211,95.75,0.74,0.24,0.56,0,2.71,4.27,7.43,13.15,52.71,20.43,10.4
