ID,address,city,state,zip,Longitude,Latitude,Match Score
100,Clarksville Pain Clinic 482 Warfield Boulevard,Clarksville,TN,37043,-87.28779006819663,36.56222871422494,96.44
101,"Accessible Recovery Services 9400 McKnight Road, Suite 103",Pittsburgh,PA,15237,-80.02589912154977,40.57662102420664,99.22
102,1525 River Oaks Rd. W. ,Harahan,LA,70123,-90.2032055380768,29.961607432906366,100
103,1101 Moulton And Parsons Drive ,Saint James,MN,56081,-94.6213881739515,43.97066999877367,100
104,"KAV Health Group 950 E Alex Bell, #100",Centerville,OH,45459,-84.13902481499328,39.64337728528017,87.03
105,4353 East Street Route 73 Suite 150,Waynesville,OH,45068,-84.08837999999997,39.53368500000005,85
106,5050 Poplar Ave. Suite 718 Unit #1,Memphis,TN,38157,-89.89375832951322,35.11199168167665,100
107,370 NE 33rd Place ,Pendleton,OR,97850,-118.74966071860378,45.675729315576945,98.33
108,"Witham Health Services 2705 N. Lebanon Street, Suite 265",Lebanon,IN,46052-8621,-86.47550255044901,40.078401471678205,96.88
109,"Comprehensive Medical Care of the Bronx 1931 Williamsbridge Road, Lower Level",Bronx,NY,10461,-73.85370699999999,40.852756000000056,95.5
110,"Valley Family Practice an Internal Medicine 812 Amherst Street, Suite 101",Winchester,VA,22601,-78.17789373834515,39.1880019377862,99.04
111,Unlimited Bounds Human Servioces 1 N. Charles Street,Baltimore,MD,21201,-76.61516659735469,39.29011870608206,95.17
112,4835 Hollywood Boulevard ,Fort Lauderdale,FL,33021,-80.19253336833442,26.01041239034877,96.74
113,130 W VAN DORN ,Holly Springs,MS,38635,-89.44903747948109,34.76757979321512,98.84
114,Agency for Community Treatment Services 2214 E. Henry Ave,Tampa,FL,33610,-82.43293377684098,27.999699403531828,94.17
115,"1 Lile Court, Suite 103 ",Little Rock,AR,72205,-92.37794748152524,34.74554199946372,100
116,3900 North Buffalo Road ,Orchard Park,NY,14127,-78.74543784347857,42.77726620698533,100
117,1395 El Rito Drive ,Gulf Breeze,FL,32563,-87.08297326559345,30.388011862704545,100
118,OVP Health Care 9613 Millard Hwy,Pikeville,KY,41501,-82.42127119676275,37.37052403267955,96.98
119,1890 Alabama Highway 157 Suite #220,Cullman,AL,35058,-86.80562497433537,34.2010699977172,100
120,Smiley's Family Medicine Clinic - University of Minnesota Physicians 2020 E 28th Street,Minneapolis,MN,55407,-93.2427290516173,44.95198827001848,93.63
121,Curtis Orthopedics 919 Medical Center Drive,Bessemer,AL,35022,-86.99107282533342,33.37116343273013,96.79
122,MATClinics 40 S. Dundalk Ave Suite 400,Dundalk,MD,21222,-76.52370997542697,39.256988521319286,99.56
123,2950 E. Flamingo Road Suite E,Las Vegas,NV,89121,-115.11048001009529,36.1150847124473,100
124,5966 Scottsvile Road ,Bowling Green,KY,42104,-86.40574742406862,36.91400070065361,98.34
125,SaVida Health 50 Union Street,West Springfield,MA,1089,-72.61974343686353,42.10423151129123,97.39
