RegionType,State,Name,FIPSCode,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
County,HI,Honolulu County,15003,,1.8,1.8,1.7,1.8,1.9,1.9,2,2,2,2,1.9,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.3,1.3,1.3,1.2,1.1,1.1,1.1,1,1,1,0.9,1,0.9,1,1.1,1,0.9,1,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.6,0.6
County,HI,Maui County,15009,,3,3.2,3.1,3.2,2.7,2.5,2.5,2.5,2.3,2.5,2.4,2.4,2.3,2.5,2.4,1.9,1.9,1.4,1.3,1.2,1.4,1.3,1,1.1,1.2,1.1,1.1,1.1,0.9,1.2,1.5,1.6,1.6,1.6,1.4,1.5,1.4,1.4,1.3,1.3,1.4,1.2,1.1,1.1,1.1,1.5,1.6,1.3,1.2,1.2,1.4,1.3,1.2,1.2,1.2,1.1,0.9,1,0.8
County,ID,Ada County,16001,,1,1,0.8,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.5,0.5,0.6,0.4,0.3,0.3,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.3,0.4,0.4,0.4,0.3,0.2,0.3,0.3,0.4,0.5,0.4,0.3,0.3,0.3,0.4
County,ID,Canyon County,16027,,1.7,1.4,1.4,1.6,1.3,1.2,1.2,1.2,1.1,1,0.9,1,1.3,1.3,1.2,1.5,1.3,1.3,1.1,1.3,1.1,1,1,0.9,1.3,0.8,0.7,0.7,0.7,0.5,0.4,0.5,0.7,0.5,0.5,0.5,0.7,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.7,0.7,0.8,0.6,0.4,0.4,0.5,0.6,0.3,0.4,0.4,0.4,0.5,0.5,0.4
County,ID,Kootenai County,16055,,1.7,1.7,1.5,1.7,1.8,1.9,1.5,1.3,1.1,1.2,1.5,1.3,1.6,1.4,1.3,1.1,1.1,1.1,1.2,1,0.9,0.8,0.8,0.6,0.4,0.6,0.6,0.6,0.7,0.7,0.8,1,1.1,1.1,1.2,1,0.9,0.6,0.3,0.3,0.5,0.5,0.3,0.4,0.5,0.6,0.4,0.5,0.5,0.5,0.3,0.4,0.6,0.6,0.4,0.7,0.8,0.8,0.6
County,IL,Champaign County,17019,,1,0.9,1.2,1.2,1.1,1.1,1.3,1.1,1.6,1.1,1,1,1.1,1.1,1,0.9,0.9,0.7,0.8,0.9,0.6,0.7,0.9,0.7,0.6,0.4,0.4,0.5,0.6,0.4,0.4,0.4,0.5,0.5,0.7,0.7,0.7,0.7,0.6,0.7,0.6,0.5,0.6,0.8,0.9,1,0.9,1,1,0.8,0.7,0.7,0.8,0.8,0.6,0.8,0.8,0.8,0.6
County,IL,Cook County,17031,,3.6,3.4,3.4,3.4,3.4,3.3,3.3,3.2,3.1,3.1,3.1,3,2.9,2.8,2.7,2.7,2.8,2.7,2.6,2.5,2.5,2.5,2.4,2.4,2.5,2.2,2,2,2,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.7,1.7,1.6,1.6,1.6,1.5,1.6,1.6,1.5,1.5,1.6,1.6,1.5,1.4,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.2
County,IL,DuPage County,17043,,1.8,1.7,1.6,1.7,1.7,1.7,1.6,1.6,1.5,1.6,1.6,1.7,1.5,1.4,1.3,1.3,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.3,1.1,1,1,1.1,1,0.9,0.9,0.9,0.9,0.9,1,0.9,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.7
County,IL,Kane County,17089,,2.4,2.3,2.2,2.4,2.4,2.2,2.3,2.4,2.3,2.3,2.2,2.1,2,1.8,1.6,1.6,1.7,1.7,1.7,1.6,1.7,1.6,1.3,1.5,1.5,1.2,1.2,1.3,1.2,1.2,1.5,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1,1,1,1,1,1,0.8,0.8,0.8,0.6,0.7,0.6,0.7,0.8,0.8,0.8,1
County,IL,Kendall County,17093,,2.9,3,3.1,3,3,3.1,2.7,2.6,2.6,2.6,3.1,3.2,3.1,2.7,2.7,2.4,2.5,2.5,2.3,2.2,2.3,2,1.9,2,2.5,2.3,2.1,2,2,1.8,1.7,1.3,1.4,1.5,1.3,1.3,1.3,1.7,2,1.6,1.6,1.6,1.3,1.6,1.4,1.8,1.7,1.9,1.8,1.6,1.4,1.4,1.2,1.3,1.1,1.2,0.8,0.9,0.9
County,IL,Lake County,17097,,2.3,2.1,2.2,2.1,2.2,2.3,2.2,2.2,2.2,2,2,1.9,2,1.9,1.8,1.7,1.8,1.9,1.9,1.8,1.9,1.8,1.7,1.7,1.7,1.5,1.3,1.4,1.5,1.5,1.5,1.5,1.3,1.3,1.4,1.5,1.4,1.3,1.2,1.1,1,0.9,0.9,0.9,0.9,1.1,1.1,1.1,1,0.9,0.7,0.7,0.8,0.9,0.8,0.9,0.7,0.8,0.7
County,IL,McHenry County,17111,,2.5,2.3,2.3,2.5,2.3,2.1,2.1,1.9,1.9,2,2,1.9,2,2,2,2.1,1.9,1.9,1.8,1.8,1.8,1.5,1.7,1.7,1.7,1.5,1.4,1.7,1.6,1.8,1.9,1.9,1.7,1.6,1.3,1.3,1.4,1.4,1.2,1.2,1.3,1.1,1,1.1,1,1.1,1.1,1.1,1,0.9,0.7,0.8,0.7,0.6,0.7,0.7,1,1,1
County,IL,McLean County,17113,,1.2,1.2,1.1,1.2,1.2,1.3,1.2,1.3,1.5,1.5,1.6,1.4,1.3,1.4,1.1,1.1,1.1,1,0.9,1,1.1,1.1,1.1,1.2,1.2,1,0.8,0.9,0.7,0.8,0.9,0.9,0.9,1.2,1,1.1,1.4,1.2,1.4,1.4,1.1,1.1,1.3,1.1,1.1,1.1,1.4,1.2,0.9,0.9,0.8,0.7,0.7,0.4,0.3,0.4,0.5,0.4,0.6
