"","name1","name2","street1","street2","city","state","zip","zip4","category","countyGEOID","countyName","source","geom","Longitude","Latitude"
"22031","MIKHAIL GENDEL FAMILY PRACTICE, LLC",NA,"16220 Frederick Road, Suite 200",NA,"Gaithersburg","MD","20877",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-77.1769360812274, 39.1219310411818),-77.1769360812274,39.1219310411818
"22041","SPECTRUM BEHAVIORAL HEALTH - ARNOLD",NA,"1511 RITCHIE HWY, SUITE 202",NA,"ARNOLD","MD","21012",NA,"naltrexone/vivitrol","24003","Anne Arundel","vivitrolWeb",c(-76.5013840219478, 39.0273190098942),-76.5013840219478,39.0273190098942
"22051","FRESH START RECOVERY CENTER",NA,"15886 Gaither Drive, Suite B",NA,"Gaithersburg","MD","20877",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-77.1913709757811, 39.1165721971152),-77.1913709757811,39.1165721971152
"22061","Kolmac Outpatient Recovery Centers - Gaithersburg",NA,"15800 Gather Drive Suite 210",NA,"Gaithersburg","MD","20877",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-77.1904300233305, 39.1147689982852),-77.1904300233305,39.1147689982852
"22071","HOPE HOUSE - CROWNSVILLE",NA,"26 Marbury Drive",NA,"Crownsville","MD","21032",NA,"naltrexone/vivitrol","24003","Anne Arundel","vivitrolWeb",c(-76.5977477452707, 39.0232299822491),-76.5977477452707,39.0232299822491
"22081","WAYNE MEMORIAL BEHAVIORAL HEALTH",NA,"600 Maple Avenue, Suite 6",NA,"Honesdale","PA","18431",NA,"naltrexone/vivitrol","42127","Wayne","vivitrolWeb",c(-75.2686469607375, 41.5749799979734),-75.2686469607375,41.5749799979734
"22091","Primary & Alternative Medical Center: Jean Welsh, MD",NA,"12162 Tech Rd",NA,"Silver Spring","MD","20904",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-76.9666918537105, 39.0550898169582),-76.9666918537105,39.0550898169582
"22101","POSITIVE TOUCH BEHAVIORAL HEALTH SERVICES",NA,"221 Courtyard Drive",NA,"Hillsborough","NJ","08844",NA,"naltrexone/vivitrol","34035","Somerset","vivitrolWeb",c(-74.6129479655155, 40.5493493086458),-74.6129479655155,40.5493493086458
"22111","Urgent Care of Mercer County",NA,"2222 Rt. 33, Suite H",NA,"Hamilton","NJ","08690",NA,"naltrexone/vivitrol","34021","Mercer","vivitrolWeb",c(-74.6425209728268, 40.2225349844538),-74.6425209728268,40.2225349844538
"22121","AFFORDABLE HEALTHCARE NURSE PRACTITIONER CLINICS",NA,"1120 New Hampshire Ave. Suite 501",NA,"Silver Spring","MD","20904",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-77.0014128911491, 39.0940992380799),-77.0014128911491,39.0940992380799
"22131","KOLMAC OUTPATIENT RECOVERY CENTERS - ANNAPOLIS",NA,"820 Bestgate Rd Suite 2C",NA,"Annapolis","MD","21401",NA,"naltrexone/vivitrol","24003","Anne Arundel","vivitrolWeb",c(-76.5403209796829, 38.9940140205408),-76.5403209796829,38.9940140205408
"22141","CIGANEK LLC",NA,"633 RAILROAD AVENUE",NA,"CENTREVILLE","MD","21617",NA,"naltrexone/vivitrol","24035","Queen Anne's","vivitrolWeb",c(-76.0562112536541, 39.038420086279),-76.0562112536541,39.038420086279
"22151","OUTPATIENT ADDICTION SERVICES (OAS) – MEDICATION ASSISTED TREATMENT PROGRAM (MATP)",NA,"981 Rollins Avenue",NA,"Rockville","MD","20852",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-77.1165134558066, 39.0584234562974),-77.1165134558066,39.0584234562974
"22161","Allbryn Mental Health",NA,"307 North Main Street",NA,"Athens","PA","18810",NA,"naltrexone/vivitrol","42015","Bradford","vivitrolWeb",c(-76.5217291640685, 41.9671706305664),-76.5217291640685,41.9671706305664
"22171","NOVUS HEALTHCARE",NA,"307 Medical Court",NA,"Martinsburg","WV","25401",NA,"naltrexone/vivitrol","54003","Berkeley","vivitrolWeb",c(-77.9711632327975, 39.4729298583572),-77.9711632327975,39.4729298583572
"22181","MATClinics-Annapolis",NA,"107 Ridgely Ave 12",NA,"Annapolis","MD","21401",NA,"naltrexone/vivitrol","24003","Anne Arundel","vivitrolWeb",c(-76.5037497303001, 38.9897301555563),-76.5037497303001,38.9897301555563
"22191","Sander G Genser, MD Office",NA,"8905 Wandering Trail Drive",NA,"Potomac","MD","20854",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-77.183531549379, 39.0681004473326),-77.183531549379,39.0681004473326
"22201","OUTREACH RECOVERY - ANNAPOLIS",NA,"2568A Riva Rd Suite 203",NA,"Annapolis","MD","21401",NA,"naltrexone/vivitrol","24003","Anne Arundel","vivitrolWeb",c(-76.5519180970974, 38.9773437562294),-76.5519180970974,38.9773437562294
"22211","MARYLAND WELLNESS AND RECOVERY",NA,"11125 Rockville Pike Suite 302",NA,"North Bethesda","MD","20895",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-77.109013212004, 39.0395201616359),-77.109013212004,39.0395201616359
"22221","OPTIMAL MEDICAL CARE INC.",NA,"11119 Rockville Pike 316",NA,"Rockville","MD","20852",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-77.1088436233838, 39.0391778755118),-77.1088436233838,39.0391778755118
"22231","GLICK PSYCHIATRY",NA,"7474 Greenway Center Dr. Suite 700B",NA,"Greenbelt","MD","20770",NA,"naltrexone/vivitrol","24033","Prince George's","vivitrolWeb",c(-76.882524582037, 38.9915874176619),-76.882524582037,38.9915874176619
"22241","ACE URGENT CARE",NA,"7347 Hanover Parkway, Suite B",NA,"Greenbelt","MD","20770",NA,"naltrexone/vivitrol","24033","Prince George's","vivitrolWeb",c(-76.8745584212591, 38.9889294742555),-76.8745584212591,38.9889294742555
"22251","Trinity of Bradford County",NA,"100 Henry Street",NA,"Sayre","PA","18840",NA,"naltrexone/vivitrol","42015","Bradford","vivitrolWeb",c(-76.5323369654512, 41.9972389899181),-76.5323369654512,41.9972389899181
"22261","1ST MEDICAL OF ANNAPOLIS - SILVER SPRING",NA,"831 University Blvd East Suite 36A",NA,"Silver Spring","MD","20903",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-76.9928642961604, 38.9944143890199),-76.9928642961604,38.9944143890199
"22271","THE COUNSELING CENTER MONMOUTH JUNCTION",NA,"1100 Cornwall Road Suite 111",NA,"Monmouth Junction","NJ","08852",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.5293029185988, 40.4157042412163),-74.5293029185988,40.4157042412163
"22281","PAIN MEDICINE AND REHABILITATION",NA,"5913 W Cedar Lane",NA,"Bethesda","MD","20814",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-77.1040337995593, 39.0054187112619),-77.1040337995593,39.0054187112619
"22291","THE MIND AND BODY CONSORTIUM - DOVER",NA,"156 South State Street, unit 1",NA,"Dover","DE","19901",NA,"naltrexone/vivitrol","10001","Kent","vivitrolWeb",c(-75.5247053151017, 39.158654885828),-75.5247053151017,39.158654885828
"22301","LIZA RODRIGUEZ, MD OFFICE",NA,"141 Main Street",NA,"South Bound Brook","NJ","08880",NA,"naltrexone/vivitrol","34035","Somerset","vivitrolWeb",c(-74.5235499993542, 40.5522070129179),-74.5235499993542,40.5522070129179
"22311","THE COUNSELING CENTER – MIDDLESEX",NA,"127 Union Ave Suite 1",NA,"Middlesex","NJ","08846",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.522462028322, 40.5672428480198),-74.522462028322,40.5672428480198
"22321","OUTREACH RECOVERY - BOWIE",NA,"4201 Northview Drive, Suite 104",NA,"Bowie","MD","20716",NA,"naltrexone/vivitrol","24033","Prince George's","vivitrolWeb",c(-76.7362392492295, 38.9477524948063),-76.7362392492295,38.9477524948063
"22331","1ST MEDICAL OF ANNAPOLIS - Edgewater",NA,"20 Mayo Road, Suite 201",NA,"Edgewater","MD","21037",NA,"naltrexone/vivitrol","24003","Anne Arundel","vivitrolWeb",c(-76.5622371419157, 38.9397148783039),-76.5622371419157,38.9397148783039
"22341","SAFEWAY",NA,"190 John Hunn Brown Rd.",NA,"Dover","DE","19901",NA,"naltrexone/vivitrol","10001","Kent","vivitrolWeb",c(-75.5088980381884, 39.158730990793),-75.5088980381884,39.158730990793
"22351","Lifestream Health Center",NA,"4000 Mitchelville Rd. Suite B322",NA,"Bowie","MD","20716",NA,"naltrexone/vivitrol","24033","Prince George's","vivitrolWeb",c(-76.7231229956835, 38.9456734475427),-76.7231229956835,38.9456734475427
"22361","TWIN LAKES CENTER FOR DRUG REHABILITATION",NA,"9457 LINCOLN HWY",NA,"BEDFORD","PA","15522",NA,"naltrexone/vivitrol","42009","Bedford","vivitrolWeb",c(-78.4664661523265, 40.0170167116528),-78.4664661523265,40.0170167116528
"22371","SAVIDA HEALTH- DOVER",NA,"938 S. Bradford St",NA,"Dover","DE","19901",NA,"naltrexone/vivitrol","10001","Kent","vivitrolWeb",c(-75.5239806862195, 39.1475241766998),-75.5239806862195,39.1475241766998
"22381","UNIVERSITY MEDICAL & TREATMENT CENTER",NA,"33 CLYDE ROAD SUITE 105",NA,"SOMERSET","NJ","08873",NA,"naltrexone/vivitrol","34035","Somerset","vivitrolWeb",c(-74.5100754194474, 40.4870398531142),-74.5100754194474,40.4870398531142
"22391","HEALTH RELEAF - EDGEWATER",NA,"3179 Braverton Street Ste 202",NA,"Edgewater","MD","21037",NA,"naltrexone/vivitrol","24003","Anne Arundel","vivitrolWeb",c(-76.5652064311157, 38.9317553811389),-76.5652064311157,38.9317553811389
"22401","URGIMED Urgent Care",NA,"400 Route 10",NA,"Randolph","NJ","07869",NA,"naltrexone/vivitrol","34027","Morris","vivitrolWeb",c(-74.5604870349916, 40.8642969936432),-74.5604870349916,40.8642969936432
"22411","SECOND CHANCE CLINIC",NA,"9800 Falls Rd Suite 7",NA,"Potomac","MD","20854",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-77.2114238409379, 39.0162837314496),-77.2114238409379,39.0162837314496
"22421","FIRST CLINIC LLC - POTOMAC",NA,"9800 Falls Rd Ste 3",NA,"Potomac","MD","20854",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-77.2114238409379, 39.0162837314496),-77.2114238409379,39.0162837314496
"22431","PENN HIGHLANDS - Bright Horizons",NA,"1033 TURNPIKE AVE",NA,"CLEARFIELD","PA","16830",NA,"naltrexone/vivitrol","42033","Clearfield","vivitrolWeb",c(-78.4511830929904, 41.0345452237104),-78.4511830929904,41.0345452237104
"22441","HEAD2TOE HEALTH BETHESDA",NA,"4938 St. Elmo Avenue",NA,"Bethesda","MD","20814",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-77.0982630351085, 38.9877770044784),-77.0982630351085,38.9877770044784
"22451","EXCEL TREATMENT CENTER",NA,"58 N Sussex Street",NA,"Dover","NJ","07801",NA,"naltrexone/vivitrol","34027","Morris","vivitrolWeb",c(-74.5587532383197, 40.8861640798329),-74.5587532383197,40.8861640798329
"22461","COVENANT PSYCHIATRIC MENTAL HEALTH SERVICES",NA,"3415 Hamilton Street, Suite 6",NA,"West Hyattsville","MD","20782",NA,"naltrexone/vivitrol","24033","Prince George's","vivitrolWeb",c(-76.9612285573786, 38.9550177189312),-76.9612285573786,38.9550177189312
"22471","MID-ATLANTIC PAIN SPECIALISTS - VINELAND OFFICE (MAIN)",NA,"2466 E. Chestnut Ave., Bldg. 2",NA,"Vineland","NJ","08360",NA,"naltrexone/vivitrol","34011","Cumberland","vivitrolWeb",c(-74.981062292051, 39.4768587986559),-74.981062292051,39.4768587986559
"22481","B.E.S.T. – MILFORD",NA,"542 Route 6 N. 209",NA,"Milford","PA","18337",NA,"naltrexone/vivitrol","42103","Pike","vivitrolWeb",c(-74.8794202578026, 41.3518781517738),-74.8794202578026,41.3518781517738
"22491","DAYTON MEDICAL GROUP",NA,"12 Stults Road, Suite 121",NA,"Dayton","NJ","08810",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.4922460217459, 40.3573888262534),-74.4922460217459,40.3573888262534
"22501","FIRST CLINIC LLC - BLADENSBURG",NA,"5632 Annapolis Rd",NA,"Bladensburg","MD","20710",NA,"naltrexone/vivitrol","24033","Prince George's","vivitrolWeb",c(-76.9200977203064, 38.9395093121284),-76.9200977203064,38.9395093121284
"22511","COMPLETE CARE - MILLVILLE",NA,"1200 North High Street",NA,"Millville","NJ","08332",NA,"naltrexone/vivitrol","34011","Cumberland","vivitrolWeb",c(-75.0397651805729, 39.4103361942853),-75.0397651805729,39.4103361942853
"22521","LEESBURG TREATMENT SERVICES",NA,"209 Gibson St NW Suite 202A",NA,"Leesburg","VA","20175",NA,"naltrexone/vivitrol","51107","Loudoun","vivitrolWeb",c(-77.5675196934341, 39.119389648139),-77.5675196934341,39.119389648139
"22531","MEDCENTER - MILLVILLE",NA,"608 North High Street",NA,"Millville","NJ","08332",NA,"naltrexone/vivitrol","34011","Cumberland","vivitrolWeb",c(-75.0393159943816, 39.4024100151856),-75.0393159943816,39.4024100151856
"22541","Aquila Recovery",NA,"5100 Wisconsin Avenue Northwest, Suite 307",NA,"Washington","DC","20016",NA,"naltrexone/vivitrol","11001","District of Columbia","vivitrolWeb",c(-77.0838608299773, 38.9563029999641),-77.0838608299773,38.9563029999641
"22551","UNITY PLACE OF ATLANTIC COUNTY",NA,"121 South Whitehorse Pike",NA,"Hammonton","NJ","08037",NA,"naltrexone/vivitrol","34001","Atlantic","vivitrolWeb",c(-74.7845780878932, 39.6449337716366),-74.7845780878932,39.6449337716366
"22561","ATLANTICARE BEHAVIORAL HEALTH - HAMMONTON",NA,"120 S WHITE HORSE PIKE",NA,"HAMMONTON","NJ","08037",NA,"naltrexone/vivitrol","34001","Atlantic","vivitrolWeb",c(-74.7831439947632, 39.6439031649584),-74.7831439947632,39.6439031649584
"22571","Premier Psychiatry Center",NA,"44355 Premier Plaza, 120",NA,"Ashburn","VA","20147",NA,"naltrexone/vivitrol","51107","Loudoun","vivitrolWeb",c(-77.4658899556221, 39.0616144468363),-77.4658899556221,39.0616144468363
"22581","INSIGHT INTO ACTION THERAPY - Ashburn",NA,"44340 Premier Plaza Suite 230",NA,"Ashburn","VA","20147",NA,"naltrexone/vivitrol","51107","Loudoun","vivitrolWeb",c(-77.4656840122611, 39.061963343556),-77.4656840122611,39.061963343556
"22591","PLUMSTEAD PHARMACY",NA,"28 Brindletown Rd",NA,"New Egypt","NJ","08533",NA,"naltrexone/vivitrol","34029","Ocean","vivitrolWeb",c(-74.5308445182306, 40.0649849186022),-74.5308445182306,40.0649849186022
"22601","VERITAS HEALTH",NA,"4325 49th Street Northwest, Suite 200",NA,"Washington","DC","20016",NA,"naltrexone/vivitrol","11001","District of Columbia","vivitrolWeb",c(-77.0965533783178, 38.945170114257),-77.0965533783178,38.945170114257
"22611","KELLY GOODMAN, NP & ASSOCIATES, PC",NA,"4701 Sangamore Road Suite S207",NA,"Bethesda","MD","20816",NA,"naltrexone/vivitrol","24031","Montgomery","vivitrolWeb",c(-77.1195310247687, 38.9497310011413),-77.1195310247687,38.9497310011413
"22621","GARDEN STATE SPECIALTY MEDICINE - NEW BRUNSWICK",NA,"317 George St",NA,"New Brunswick","NJ","08901",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.4358187244593, 40.4846142081971),-74.4358187244593,40.4846142081971
"22631","CENTER FOR GREAT EXPECTATIONS",NA,"303 George St Suite 104",NA,"New Brunswick","NJ","08901",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.4427320242127, 40.4925929896965),-74.4427320242127,40.4925929896965
"22641","THE WASHINGTON PAIN CENTER",NA,"3301 New Mexico Ave NW 346",NA,"Washington","DC","20016",NA,"naltrexone/vivitrol","11001","District of Columbia","vivitrolWeb",c(-77.0851187021868, 38.9336539660272),-77.0851187021868,38.9336539660272
"22651","REGIONAL ADDICTION PREVENTION",NA,"1949 4th St NE",NA,"Washington","DC","20002",NA,"naltrexone/vivitrol","11001","District of Columbia","vivitrolWeb",c(-77.000258721877, 38.9169292193451),-77.000258721877,38.9169292193451
"22661","NEPA COMMUNITY HEALTH CARE",NA,"25066 STATE ROUTE 11",NA,"HALLSTEAD","PA","18822",NA,"naltrexone/vivitrol","42115","Susquehanna","vivitrolWeb",c(-75.7409185589705, 41.9655763887367),-75.7409185589705,41.9655763887367
"22671","MARY’S CENTER",NA,"2333 ONTARIO STREET",NA,"WASHINGTON","DC","20009",NA,"naltrexone/vivitrol","11001","District of Columbia","vivitrolWeb",c(-77.0398083967342, 38.9209801512402),-77.0398083967342,38.9209801512402
"22681","NEIGHBORHOOD MEDICAL CARE",NA,"290 Madison Avene, Suite 2A",NA,"Morristown","NJ","07960",NA,"naltrexone/vivitrol","34027","Morris","vivitrolWeb",c(-74.4514239739866, 40.7850010044803),-74.4514239739866,40.7850010044803
"22691","SAFEWAY",NA,"1330 Chain Bridge Road",NA,"McLean","VA","22101",NA,"naltrexone/vivitrol","51059","Fairfax","vivitrolWeb",c(-77.1762025808803, 38.939234846709),-77.1762025808803,38.939234846709
"22701","Center for Wellness Ways",NA,"1340 OLD CHAIN BRIDGE RD STE 402",NA,"MCLEAN","VA","22101",NA,"naltrexone/vivitrol","51059","Fairfax","vivitrolWeb",c(-77.1759871659689, 38.9380936505916),-77.1759871659689,38.9380936505916
"22711","BARNES KASSON FAMILY HEALTH CLINIC",NA,"2872 Turnpike Street",NA,"Susquehanna","PA","18847",NA,"naltrexone/vivitrol","42115","Susquehanna","vivitrolWeb",c(-75.5938933862342, 41.946663759624),-75.5938933862342,41.946663759624
"22721","JASBIR KASURI, MD OFFICE",NA,"340 Us Highway 1",NA,"Edison","NJ","08817",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.4024820413452, 40.5019580062954),-74.4024820413452,40.5019580062954
"22731","COMPLETE PRIMARY CARE",NA,"1810 Park Ave",NA,"South Plainfield","NJ","07080",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.4009018849586, 40.5969202754073),-74.4009018849586,40.5969202754073
"22741","Medcenter - East Brunswick",NA,"51 West Prospect Street, Suite 101",NA,"East Brunswick","NJ","08816",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.3978578291823, 40.4550978869456),-74.3978578291823,40.4550978869456
"22751","DIAMOND COUNSELING CENTER",NA,"1 Ethel Road Bldg. 1, Suite 101 B",NA,"Edison","NJ","08817",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.3962630882842, 40.5378299954058),-74.3962630882842,40.5378299954058
"22761","SPINE & JOINT PAIN CENTER – SCOTCH PLAINS",NA,"1814 E 2ND St. 2nd FL.",NA,"Scotch Plains","NJ","07076",NA,"naltrexone/vivitrol","34039","Union","vivitrolWeb",c(-74.3973799199253, 40.6485519780095),-74.3973799199253,40.6485519780095
"22771","SCOTCH PLAINS MEDICAL CENTER",NA,"1814 E 2ND ST",NA,"SCOTCH PLAINS","NJ","07076",NA,"naltrexone/vivitrol","34039","Union","vivitrolWeb",c(-74.3973799199253, 40.6485519780095),-74.3973799199253,40.6485519780095
"22781","SAFEWAY",NA,"1688 Anderson Rd",NA,"McLean","VA","22101",NA,"naltrexone/vivitrol","51059","Fairfax","vivitrolWeb",c(-77.2021849719818, 38.9225689828966),-77.2021849719818,38.9225689828966
"22791","SAFEWAY",NA,"3713 Lee Highway",NA,"Arlington","VA","22207",NA,"naltrexone/vivitrol","51013","Arlington","vivitrolWeb",c(-77.1057732203536, 38.8963164011466),-77.1057732203536,38.8963164011466
"22801","TYSONS PSYCHIATRY",NA,"8357-B GREENSBORO DR",NA,"MCLEAN","VA","22102",NA,"naltrexone/vivitrol","51059","Fairfax","vivitrolWeb",c(-77.2352970099241, 38.9271100046705),-77.2352970099241,38.9271100046705
"22811","SAFEWAY",NA,"413 Elden St",NA,"Herndon","VA","20170",NA,"naltrexone/vivitrol","51059","Fairfax","vivitrolWeb",c(-77.3765149793478, 38.9669760125535),-77.3765149793478,38.9669760125535
"22821","SAFEWAY",NA,"2500 N Harrison St",NA,"Arlington","VA","22207",NA,"naltrexone/vivitrol","51013","Arlington","vivitrolWeb",c(-77.139209889406, 38.8972116722246),-77.139209889406,38.8972116722246
"22831","VIRGINIA HOSPITAL CENTER - GEORGE MASON DR",NA,"1701 North George Mason Drive",NA,"Arlington","VA","22205",NA,"naltrexone/vivitrol","51013","Arlington","vivitrolWeb",c(-77.1287276489327, 38.8894633990198),-77.1287276489327,38.8894633990198
"22841","SAFEWAY",NA,"11120 South Lakes Drive",NA,"Reston","VA","20191",NA,"naltrexone/vivitrol","51059","Fairfax","vivitrolWeb",c(-77.3289845592013, 38.9399290359299),-77.3289845592013,38.9399290359299
"22851","RESTORATIVE MANAGEMENT CORP. – PORT JERVIS",NA,"123 Pike Street",NA,"Port Jervis","NY","12771",NA,"naltrexone/vivitrol","36071","Orange","vivitrolWeb",c(-74.6919167017061, 41.3757619826941),-74.6919167017061,41.3757619826941
"22861","ASTRA: DR. NATASHA FUKSINA - FLORHAM PARK",NA,"135 Columbia Turnpike",NA,"Florham Park","NJ","07392",NA,"naltrexone/vivitrol","34027","Morris","vivitrolWeb",c(-74.3870621055305, 40.7867985036162),-74.3870621055305,40.7867985036162
"22871","GK HEALTH - Old Bridge",NA,"69 County Road 516",NA,"Old Bridge","NJ","08857",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.3541246553168, 40.4101775453262),-74.3541246553168,40.4101775453262
"22881","DR. DUBEY'S HOLISTIC MEDICINE",NA,"55 WASHINGTON AVENUE",NA,"ENDICOTT","NY","13760",NA,"naltrexone/vivitrol","36007","Broome","vivitrolWeb",c(-76.0479280054792, 42.1027959846439),-76.0479280054792,42.1027959846439
"22891","SAFEWAY",NA,"2304 Hunterswoods Plaza",NA,"Reston","VA","20191",NA,"naltrexone/vivitrol","51059","Fairfax","vivitrolWeb",c(-77.3623590345319, 38.9359557623676),-77.3623590345319,38.9359557623676
"22901","Summit Behavioral Health - Florham Park",NA,"83 Hanover Road",NA,"Florham Park","NJ","07932",NA,"naltrexone/vivitrol","34027","Morris","vivitrolWeb",c(-74.3753105096406, 40.7955183651279),-74.3753105096406,40.7955183651279
"22911","SAFEWAY",NA,"6118 Arlington Blvd",NA,"Falls Church","VA","22044",NA,"naltrexone/vivitrol","51059","Fairfax","vivitrolWeb",c(-77.1448730384674, 38.8696269965124),-77.1448730384674,38.8696269965124
"22921","POTOMAC HEALTH SERVICES",NA,"611 South Carlin Springs Road, Suite 501",NA,"Arlington","VA","22204",NA,"naltrexone/vivitrol","51013","Arlington","vivitrolWeb",c(-77.1269738195122, 38.8592685986587),-77.1269738195122,38.8592685986587
"22931","SAFEWAY",NA,"7397 Lee Hwy",NA,"Falls Church","VA","22042",NA,"naltrexone/vivitrol","51059","Fairfax","vivitrolWeb",c(-77.1988129323342, 38.8758461591208),-77.1988129323342,38.8758461591208
"22941","OASIS BEHAVIORAL HEALTH - OLD BRIDGE",NA,"499 MARLBORO ROAD, SUITE 1",NA,"OLD BRIDGE","NJ","08857",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.3426111966105, 40.3953301396199),-74.3426111966105,40.3953301396199
"22951","ADDICTION CENTER OF BROOME COUNTY",NA,"30 West State Street",NA,"Binghamton","NY","13901",NA,"naltrexone/vivitrol","36007","Broome","vivitrolWeb",c(-75.9051691069757, 42.1093883514912),-75.9051691069757,42.1093883514912
"22961","1ST MEDICAL OF ANNAPOLIS - OXON HILL",NA,"5620 St. Barnabas Rd. Suite 340",NA,"Oxon Hill","MD","20745",NA,"naltrexone/vivitrol","24033","Prince George's","vivitrolWeb",c(-76.9663759679377, 38.8118864543791),-76.9663759679377,38.8118864543791
"22971","SAFEWAY",NA,"3043 Nutley Street",NA,"Fairfax","VA","22031",NA,"naltrexone/vivitrol","51059","Fairfax","vivitrolWeb",c(-77.2613120066288, 38.8712620124553),-77.2613120066288,38.8712620124553
"22981","INOVA BEHAVIORAL HEALTH SERVICES - FAIRFAX",NA,"8221 WILLOW OAKS CORP DR STE 4-425",NA,"FAIRFAX","VA","22031",NA,"naltrexone/vivitrol","51059","Fairfax","vivitrolWeb",c(-77.2334585180877, 38.8639708589103),-77.2334585180877,38.8639708589103
"22991","KROLL MEDICAL GROUP",NA,"25 Kilmer Dr. Building 3 Suite 215",NA,"Morganville","NJ","07751",NA,"naltrexone/vivitrol","34025","Monmouth","vivitrolWeb",c(-74.3094479018477, 40.3411267921844),-74.3094479018477,40.3411267921844
"23001","The Counseling Center at Clark",NA,"60 Walnut Avenue, Suite 200",NA,"Clark","NJ","07066",NA,"naltrexone/vivitrol","34039","Union","vivitrolWeb",c(-74.3017869695564, 40.628500981549),-74.3017869695564,40.628500981549
"23011","Garden State Specialty Medicine",NA,"96 W. Main St",NA,"Freehold","NJ","07728",NA,"naltrexone/vivitrol","34025","Monmouth","vivitrolWeb",c(-74.2794120657627, 40.2564947261738),-74.2794120657627,40.2564947261738
"23021","AP HEALTHCARE SERVICES",NA,"1030 Saint Georges Avenue, Suite 103a",NA,"Avenel","NJ","07001",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.2934700261305, 40.5741740113935),-74.2934700261305,40.5741740113935
"23031","TAYLOR MILLS FAMILY MEDICAL",NA,"224 Taylors Mills Road Suite 112",NA,"Manalapan","NJ","07726",NA,"naltrexone/vivitrol","34025","Monmouth","vivitrolWeb",c(-74.3057697984883, 40.3021236277663),-74.3057697984883,40.3021236277663
"23041","RELEVANCE BEHAVIORAL HEALTH",NA,"61 West Main St",NA,"Freehold","NJ","07728",NA,"naltrexone/vivitrol","34025","Monmouth","vivitrolWeb",c(-74.2772875047649, 40.2580400138433),-74.2772875047649,40.2580400138433
"23051","Veritas",NA,"540 Bordentown Avenue, Suite 4500",NA,"South Amboy","NJ","08879",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.2861867390043, 40.4751222536318),-74.2861867390043,40.4751222536318
"23061","PARK PRIMARY CARE ASSOCIATES",NA,"453 Amboy Avenue",NA,"Woodbridge","NJ","07095",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.2837279915269, 40.5563308673707),-74.2837279915269,40.5563308673707
"23071","RECOVERY CENTERS OF AMERICA-SOUTH AMBOY",NA,"901 Ernston Rd",NA,"South Amboy","NJ","08879",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.2800839591214, 40.461880900181),-74.2800839591214,40.461880900181
"23081","Bridging the Gap Services - Clinton",NA,"7902 Old Branch Avenue, Suite 204",NA,"Clinton","MD","20735",NA,"naltrexone/vivitrol","24033","Prince George's","vivitrolWeb",c(-76.8982942946713, 38.7817872077142),-76.8982942946713,38.7817872077142
"23091","Steven Somogyi, MD Office",NA,"613 Amboy Ave, Ste L 101",NA,"Perth Amboy","NJ","08861",NA,"naltrexone/vivitrol","34023","Middlesex","vivitrolWeb",c(-74.2763235858998, 40.5214061590477),-74.2763235858998,40.5214061590477
"23101","SAFEWAY",NA,"7414 Little River Turnpike",NA,"Annandale","VA","22003",NA,"naltrexone/vivitrol","51059","Fairfax","vivitrolWeb",c(-77.2017839817339, 38.8323799980955),-77.2017839817339,38.8323799980955
