"","name1","name2","street1","street2","city","state","zip","zip4","category","countyGEOID","countyName","source","geom","Longitude","Latitude"
"73","Central Kansas Foundation","McPherson","208 South Main Street",NA,"McPherson","KS","67460",NA,"buprenorphine","20113","McPherson","SAMHSA",c(-97.667298, 38.367793),-97.667298,38.367793
"74","Valley Hope","Overland Park","10114 West 105th Street",NA,"Overland Park","KS","66212","5746","buprenorphine","20091","Johnson","SAMHSA",c(-94.7031595, 38.9389596),-94.7031595,38.9389596
"75","Gateway to Prevention and Recovery Inc",NA,"220 North Main Street",NA,"Seminole","OK","74868",NA,"buprenorphine","40133","Seminole","SAMHSA",c(-96.668163, 35.2250201),-96.668163,35.2250201
"76","Compass Health Inc","Pathways Comm Behavioral Hlthcare","1800 Community Drive",NA,"Clinton","MO","64735",NA,"buprenorphine","29083","Henry","SAMHSA",c(-93.7686592, 38.3924426),-93.7686592,38.3924426
"77","Awakenings KC",NA,"5300 West 94th Terrace","Suite 200","Overland Park","KS","66207","2504","buprenorphine","20091","Johnson","SAMHSA",c(-94.6472417, 38.9583085),-94.6472417,38.9583085
"78","Western Arkansas Counseling and","Guidance Center Inc","3113 South 70th Street",NA,"Fort Smith","AR","72903",NA,"buprenorphine","05131","Sebastian","SAMHSA",c(-94.3550677, 35.3525176),-94.3550677,35.3525176
"79","Carl Albert","Community Mental Health Center","117 Rogers Drive",NA,"Holdenville","OK","74848",NA,"buprenorphine","40063","Hughes","SAMHSA",c(-96.3782756, 35.087173),-96.3782756,35.087173
"80","ReDiscover","Treatment Options Program","8800 Blue Ridge Boulevard",NA,"Kansas City","MO","64138",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.4988903, 38.962863),-94.4988903,38.962863
"81","Mission Treatment Centers Inc","OKC Hefner","948 West Hefner Road",NA,"Oklahoma City","OK","73114",NA,"buprenorphine","40109","Oklahoma","SAMHSA",c(-97.5308009, 35.5797222),-97.5308009,35.5797222
"82","KC CARE Research Medical Center",NA,"2340 East Meyer Boulevard","Building 1 Suite 200","Kansas City","MO","64132",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.5573653, 39.0100512),-94.5573653,39.0100512
"83","ReDiscover",NA,"1579 NE Rice Road",NA,"Lees Summit","MO","64081","5849","buprenorphine","29095","Jackson","SAMHSA",c(-94.35913, 38.9405565),-94.35913,38.9405565
"84","Central Kansas Foundation","Junction City","839 North Eisenhower Drive",NA,"Junction City","KS","66441",NA,"buprenorphine","20061","Geary","SAMHSA",c(-96.849131, 39.030651),-96.849131,39.030651
"85","Red Rock Behavioral Health Services",NA,"4300 North Lincoln Boulevard",NA,"Oklahoma City","OK","73105","5107","buprenorphine","40109","Oklahoma","SAMHSA",c(-97.5026904, 35.5154758),-97.5026904,35.5154758
"86","Preferred Family Healthcare Inc",NA,"8333 East Blue Parkway",NA,"Kansas City","MO","64133",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.484737, 39.003921),-94.484737,39.003921
"87","Kansas City Metro Methadone Prog",NA,"3901 Rainbow Boulevard","Mail Stop 4015","Kansas City","KS","66160",NA,"buprenorphine","20209","Wyandotte","SAMHSA",c(-94.6104903, 39.0571845),-94.6104903,39.0571845
"88","Drug Recovery Inc","DBA Catalyst Behavioral Services","3033 North Walnut Avenue","West Building","Oklahoma City","OK","73105",NA,"buprenorphine","40109","Oklahoma","SAMHSA",c(-97.5080153, 35.5001801),-97.5080153,35.5001801
"89","Swope Health Services",NA,"3801 Blue Parkway",NA,"Kansas City","MO","64130","2807","buprenorphine","29095","Jackson","SAMHSA",c(-94.5398225, 39.0349625),-94.5398225,39.0349625
"90","Carl Albert","Community Mental Health Center","1101 East Monroe Avenue","P.O. Box 579","McAlester","OK","74501",NA,"buprenorphine","40121","Pittsburg","SAMHSA",c(-95.7512023, 34.9343339),-95.7512023,34.9343339
"91","Cope Inc",NA,"2701 North Oklahoma Avenue",NA,"Oklahoma City","OK","73105",NA,"buprenorphine","40109","Oklahoma","SAMHSA",c(-97.5102148, 35.4970652),-97.5102148,35.4970652
"92","Veterans Affairs Medical Center","Substance Treatment and Recovery","921 NE 13th Street","Unit 116-C","Oklahoma City","OK","73104",NA,"buprenorphine","40109","Oklahoma","SAMHSA",c(-97.4958905, 35.483272),-97.4958905,35.483272
"93","KC CARE Health Center",NA,"3515 Broadway Boulevard",NA,"Kansas City","MO","64111",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.5900535, 39.0633446),-94.5900535,39.0633446
"94","ReDiscover","Alt Care","3211 Woodland Avenue",NA,"Kansas City","MO","64109",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.562131, 39.0675359),-94.562131,39.0675359
"95","ReDiscover","Women and Children","3211 Woodland Avenue",NA,"Kansas City","MO","64109",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.562131, 39.0675359),-94.562131,39.0675359
"96","Central Kansas Foundation","Abilene","306 North Cedar Street",NA,"Abilene","KS","67410",NA,"buprenorphine","20041","Dickinson","SAMHSA",c(-97.21649, 38.917548),-97.21649,38.917548
"97","Oklahoma Treatment Services LLC",NA,"2202 Peaceable Road",NA,"McAlester","OK","74501",NA,"buprenorphine","40121","Pittsburg","SAMHSA",c(-95.7448636, 34.9073319),-95.7448636,34.9073319
"98","Veterans Affairs Medical Center","Substance Abuse Treatment Prog","4801 Linwood Boulevard",NA,"Kansas City","MO","64128",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.5288796, 39.0672945),-94.5288796,39.0672945
"99","ReDiscover","Transitions Clinic","1000 East 24th Street",NA,"Kansas City","MO","64108",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.572189, 39.084993),-94.572189,39.084993
"100","Truman Medical Center Behav Hlth","Recovery Health Services","1000 East 24th Street","Suite 2-E","Kansas City","MO","64108","2026","buprenorphine","29095","Jackson","SAMHSA",c(-94.572189, 39.084993),-94.572189,39.084993
"101","Mission Treatment Centers Inc",NA,"1737 Linwood Boulevard",NA,"Oklahoma City","OK","73106",NA,"buprenorphine","40109","Oklahoma","SAMHSA",c(-97.5407466, 35.4751831),-97.5407466,35.4751831
"102","Compass Health Inc","Pathways Comm Behavioral Hlthcare","17571 North Dam Access Road",NA,"Warsaw","MO","65355","6396","buprenorphine","29015","Benton","SAMHSA",c(-93.3863845, 38.2648759),-93.3863845,38.2648759
"103","DRD Kansas City Medical Clinic","DBA BHG Kansas City Treatment Ctr","723 East 18th Street",NA,"Kansas City","MO","64108",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.5745131, 39.0912635),-94.5745131,39.0912635
"104","Heartland Center for Behavioral Change",NA,"1534 Campbell Street",NA,"Kansas City","MO","64108",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.5730419, 39.0943051),-94.5730419,39.0943051
"105","North Oklahoma Cnty MH Center Inc","DBA Northcare","2617 General Pershing Boulevard",NA,"Oklahoma City","OK","73107","6437","buprenorphine","40109","Oklahoma","SAMHSA",c(-97.561505, 35.474605),-97.561505,35.474605
"106","BHG XXX LPC","BHG Kansas City North","1125 North 5th Street",NA,"Kansas City","KS","66101",NA,"buprenorphine","20209","Wyandotte","SAMHSA",c(-94.6206669, 39.1167833),-94.6206669,39.1167833
"107","Comprehensive Mental Health Servs","George W Norman Jr Recovery Ctr","4231 South Hocker Drive",NA,"Independence","MO","64055",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.4079615, 39.0430533),-94.4079615,39.0430533
"108","Comprehensive Mental Health Servs","Residential","4231 South Hocker Drive",NA,"Independence","MO","64055",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.4079615, 39.0430533),-94.4079615,39.0430533
"109","Kansas City Psychiatric and","Psychological Services LLC","4731 South Cochise Drive","Suite 206","Independence","MO","64055",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.362744, 39.0322662),-94.362744,39.0322662
"110","Rightway Medical OKC South",NA,"1613 SE 66th Street","Suite A","Oklahoma City","OK","73149",NA,"buprenorphine","40109","Oklahoma","SAMHSA",c(-97.4832343, 35.3986231),-97.4832343,35.3986231
"111","KC CARE Northeast Location",NA,"4601 Independence Avenue",NA,"Kansas City","MO","64124",NA,"buprenorphine","29095","Jackson","SAMHSA",c(-94.527867, 39.1053168),-94.527867,39.1053168
"112","HOPE Community Services Inc",NA,"6100 South Walker Avenue",NA,"Oklahoma City","OK","73139",NA,"buprenorphine","40109","Oklahoma","SAMHSA",c(-97.521097, 35.4050979),-97.521097,35.4050979
"113","Able Recovery 1 LLC",NA,"4901 South Pennsylvania Avenue",NA,"Oklahoma City","OK","73119","4945","buprenorphine","40109","Oklahoma","SAMHSA",c(-97.5483775, 35.4166248),-97.5483775,35.4166248
"114","Ozark Guidance Center",NA,"117 Sawgrass Point",NA,"Harrison","AR","72601",NA,"buprenorphine","05009","Boone","SAMHSA",c(-93.1076765, 36.2297936),-93.1076765,36.2297936
"115","VA Eastern Kansas Healthcare System","Addiction Treatment Program LVN","4101 South 4th Street","Unit A-6","Leavenworth","KS","66048",NA,"buprenorphine","20103","Leavenworth","SAMHSA",c(-94.8943288, 39.2797604),-94.8943288,39.2797604
"116","Central Kansas Foundation","Salina","617 East Elm Street",NA,"Salina","KS","67401","8537","buprenorphine","20169","Saline","SAMHSA",c(-97.6023998, 38.8455821),-97.6023998,38.8455821
"117","Tri County Mental Health Services","Main Office","3100 NE 83rd Street","Suite 1001","Kansas City","MO","64119",NA,"buprenorphine","29047","Clay","SAMHSA",c(-94.5176, 39.2065),-94.5176,39.2065
"118","Compass Health Inc","Pathways Comm Behavioral Hlthcare","703 North Devasher Road",NA,"Warrensburg","MO","64093",NA,"buprenorphine","29101","Johnson","SAMHSA",c(-93.700456, 38.772495),-93.700456,38.772495
"119","Compass Health Inc","Pathways Comm Behavioral Hlthcare","1278 West U.S. Highway 40",NA,"Odessa","MO","64076",NA,"buprenorphine","29107","Lafayette","SAMHSA",c(-93.9770035, 39.008685),-93.9770035,39.008685
"120","Preferred Family Healthcare Inc",NA,"7 Westowne Street",NA,"Liberty","MO","64068",NA,"buprenorphine","29047","Clay","SAMHSA",c(-94.4391519, 39.2461896),-94.4391519,39.2461896
"121","Midwest Institute for Addiction",NA,"1512 NE 96th Street","Suite A","Liberty","MO","64068","7174","buprenorphine","29047","Clay","SAMHSA",c(-94.453942, 39.2678439),-94.453942,39.2678439
"122","Compass Health Inc",NA,"860 Lynn Street",NA,"Lebanon","MO","65536","3810","buprenorphine","29105","Laclede","SAMHSA",c(-92.6678283, 37.6959075),-92.6678283,37.6959075
"123","Valley Hope","Atchison","1816 North 2nd Street",NA,"Atchison","KS","66002",NA,"buprenorphine","20005","Atchison","SAMHSA",c(-95.115211, 39.581081),-95.115211,39.581081
"124","Compass Health Inc","Pathways Comm Behavioral Hlthcare","1700 West Main Street",NA,"Sedalia","MO","65301","3635","buprenorphine","29159","Pettis","SAMHSA",c(-93.2475987, 38.7142028),-93.2475987,38.7142028
"125","Compass Health Inc","Pathways Comm Behavioral Hlthcare","741 North Business Route 5",NA,"Camdenton","MO","65020",NA,"buprenorphine","29029","Camden","SAMHSA",c(-92.7333706, 38.0006847),-92.7333706,38.0006847
"126","Counseling Associates",NA,"316 Highway 65 North",NA,"Marshall","AR","72650",NA,"buprenorphine","05129","Searcy","SAMHSA",c(-92.642106, 35.9120632),-92.642106,35.9120632
"127","Family Guidance Center",NA,"901 Felix Street",NA,"Saint Joseph","MO","64501",NA,"buprenorphine","29021","Buchanan","SAMHSA",c(-94.8492258, 39.7667532),-94.8492258,39.7667532
"128","St Kolbe Puckett Center for Healing",NA,"210 North 7th Street",NA,"Saint Joseph","MO","64501",NA,"buprenorphine","29021","Buchanan","SAMHSA",c(-94.8521869, 39.7677049),-94.8521869,39.7677049
"129","Family Counseling Center Inc",NA,"219 East Second Street",NA,"Mountain Grove","MO","65711","1749","buprenorphine","29229","Wright","SAMHSA",c(-92.2612036, 37.1300103),-92.2612036,37.1300103
"130","St Joseph Metro Treatment Center","Metro Treatment of Missouri LP","3935 Sherman Avenue",NA,"Saint Joseph","MO","64506",NA,"buprenorphine","29021","Buchanan","SAMHSA",c(-94.798177, 39.780968),-94.798177,39.780968
"131","Preferred Family Healthcare Inc",NA,"1702 Buckingham Drive",NA,"Saint Joseph","MO","64506","3605","buprenorphine","29021","Buchanan","SAMHSA",c(-94.7933, 39.782158),-94.7933,39.782158
