HEROP_ID,ZCTA,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_54,Age55_59,Age60_64,AgeOv65,A15_24P,Ovr65P,Und45P,WhiteP,BlackP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,UnempP,PovP,VacantP
860US85268,85268,2678,1393,1752,124,325,215,162,1035,389,227,244,334,14.08,12.46,55.41,98.36,0.11,0.93,0.3,0,0.3,12.46,4.5,3.49,27.8
860US85255,85255,2106,738,1333,127,378,267,113,1071,272,102,68,87,18.06,4.15,74.84,97.7,0.29,0.32,0.67,0.05,0.98,8.26,2.06,7.68,12.71
860US85257,85257,25434,10486,16519,1177,3083,2579,2472,11701,3256,1763,1337,3119,19.86,12.26,62.75,94.43,0.47,2.39,0.73,0.03,1.94,19.2,3.79,6.8,7.15
860US85261,85261,465,334,293,24,47,42,59,234,42,24,15,80,21.7,17.14,65.52,94.98,0.85,0.62,0.69,0.04,2.82,18.57,4.04,8.98,44.01
860US85252,85252,761,547,479,40,77,68,97,382,69,39,24,130,21.7,17.14,65.52,94.98,0.85,0.62,0.69,0.04,2.82,18.57,4.04,8.98,44.01
860US85271,85271,1865,753,1187,108,261,207,219,936,192,96,75,197,22.85,10.54,70,90.94,0.81,2.3,0.6,0.02,5.32,26.31,3.82,9.17,8.98
860US85281,85281,37053,14749,29010,1785,3045,5693,10893,26168,2139,1060,887,1957,44.76,5.28,83.66,88.04,1.83,1.15,1.57,0.09,7.32,19.6,6.21,20.74,8.1
860US85282,85282,41603,15191,28194,2283,6289,4361,5517,22927,4273,2010,1524,2297,23.75,5.52,75.71,93.65,1.81,0.51,1.16,0.07,2.79,10.69,3.93,7.62,4.69
860US85287,85287,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85201,85201,25275,10443,15420,2110,3567,2311,3128,12025,2351,1238,1080,2903,21.52,11.49,70.04,89.02,2.42,0.93,0.58,0.04,7.01,24.38,5.56,11.22,10.24
860US85283,85283,27748,9105,17087,2592,5594,2586,2515,15260,2254,742,520,786,18.38,2.83,84.5,79.27,1.57,5.87,1.41,0.06,11.82,16.05,4.65,10.17,7.38
860US85280,85280,1695,706,1202,92,250,158,304,1044,146,56,39,68,27.24,4,81.79,93.13,2.78,0.64,1.01,0.03,2.41,9.98,4.65,8.8,7.1
860US85285,85285,1897,790,1344,103,280,177,340,1168,164,62,44,76,27.24,4,81.79,93.13,2.78,0.64,1.01,0.03,2.41,9.98,4.65,8.8,7.1
860US85284,85284,1735,525,972,145,401,181,62,796,167,67,63,95,14,5.47,77.37,92.97,0.19,0.86,0.9,0.07,5.01,13.43,3.89,4.95,8.51
860US85205,85205,10522,6176,3638,214,472,270,224,1375,553,669,1214,6024,4.69,57.25,19.6,98.17,0.05,0.16,0.21,0.01,1.39,32.83,5.65,7.85,14.91
860US85207,85207,8281,3487,4551,650,1313,674,627,3326,755,438,466,1330,15.7,16.07,63.88,96.5,0.29,0.49,0.2,0.02,2.51,38.39,6.04,9.44,15.44
860US85277,85277,552,267,290,37,72,34,24,174,50,38,53,128,10.68,23.19,51.3,96.77,0.2,0.7,0.34,0,2,15.65,3.78,9.66,20.92
860US85203,85203,22353,8284,12964,2065,3967,2180,2133,10268,2162,1021,859,2011,19.3,9,72.92,94.94,0.48,1.02,0.33,0.03,3.2,18.82,4.67,6.88,11.64
860US85213,85213,11246,4260,5837,939,2207,955,533,4546,928,492,520,1613,13.23,14.34,68.4,96.97,0.18,0.42,0.37,0.02,2.03,21.1,3.77,5.46,15
860US85204,85204,24631,9403,13624,2672,4233,2174,2371,11093,1935,928,969,2801,18.45,11.37,73.07,91.9,0.88,0.62,0.5,0.07,6.03,25.91,6.15,8.92,11.48
860US85206,85206,7440,4575,3402,203,366,193,191,1084,534,741,1169,3343,5.16,44.94,22.22,98.48,0.22,0.11,0.12,0.01,1.06,26.58,5.55,6.33,23.86
860US85210,85210,19658,7170,12119,2141,3463,1587,2230,10527,1352,631,497,1047,19.42,5.33,82.06,88.8,1.32,0.75,1.08,0.07,7.99,20.78,6.74,8.86,7.17
860US85202,85202,25560,10651,16934,2404,4090,1871,3390,15253,1574,629,451,1149,20.58,4.49,85.08,92.26,1.71,0.64,1.32,0.16,3.92,10.6,3.5,6.24,10.87
860US85211,85211,1799,936,1053,141,190,143,269,853,105,83,77,351,22.91,19.51,65.8,76.1,2.53,1.06,0.16,0.19,19.96,41.22,4.85,28.02,14.86
860US85275,85275,814,444,365,50,66,32,48,209,55,49,71,314,9.79,38.56,39.92,95.42,0.35,0.43,0.25,0,3.54,37.47,5.92,6.45,16.44
860US85274,85274,1615,750,1167,111,245,158,378,1104,72,31,20,32,33.23,2,90.37,90.9,2.18,0.82,0.87,0.27,4.96,8.16,2.1,13.77,9.34
860US85225,85225,17969,6271,10427,1857,3291,1771,1810,8639,1540,712,596,1334,19.93,7.42,76.72,81.75,2.68,1.31,0.8,0.03,13.42,30.64,5.53,13.62,7.63
860US85224,85224,9428,3270,5815,1059,1729,732,1013,5108,653,264,222,391,18.51,4.15,83.75,85.17,1.68,1.09,1.25,0.05,10.77,18.63,3.71,9.88,8.08
860US85233,85233,6658,1985,3557,909,1452,576,505,3175,421,181,150,369,16.25,5.55,83.15,88.84,1.22,0.38,0.44,0.04,9.08,27.57,4.43,9.15,4.46
860US85234,85234,4385,1442,2409,528,865,331,320,1996,294,157,186,358,14.84,8.17,77.31,93.82,0.54,0.34,0.35,0.04,4.91,25.07,3.71,6.87,7.73
860US85296,85296,2173,702,1209,261,442,184,166,1024,156,75,78,139,16.12,6.4,79.43,90.86,0.74,0.66,0.35,0.04,7.35,25.5,3.75,8.8,8.39
860US85299,85299,648,187,346,93,138,61,56,313,45,16,12,30,18.08,4.64,84.06,86.36,0.95,0.46,0.57,0.09,11.56,34.42,3.73,11.43,4.99
860US85208,85208,7853,4229,4053,513,914,474,455,2321,700,582,754,2067,11.84,26.33,47.72,95.52,0.37,0.57,0.15,0,3.4,38.69,6.54,12.22,23.51
860US85209,85209,3977,1895,2151,294,509,244,241,1248,357,306,401,863,12.2,21.7,51.57,94.27,0.48,0.4,0.16,0,4.68,33.53,6.47,10.52,19.11
860US85212,85212,5865,1678,3634,687,998,519,1053,3370,221,121,143,326,26.8,5.56,86.16,84.67,7.3,0.77,0.85,0.14,6.26,25.8,7.41,11.03,NA
860US85216,85216,493,351,208,3,8,4,3,20,32,60,100,271,1.5,54.95,6.17,99.38,0.08,0.08,0.08,0,0.39,21.28,6.08,3.68,22.88
860US85246,85246,637,213,382,59,126,70,59,326,62,19,16,29,20.27,4.58,80.2,91.26,1.89,0.81,1.08,0.09,4.88,14.53,6.1,7.1,6.28
860US85244,85244,1390,455,678,176,279,178,128,594,102,48,43,148,22.03,10.62,75.47,46.67,12.49,4.49,0.79,0,35.56,69.65,7.23,29.92,8.56
860US85086,85086,1713,544,1025,120,344,190,89,873,161,77,54,84,16.28,4.89,78.05,97.13,0.4,0.29,0.23,0,1.95,24.38,3.73,6.25,6.88
860US85085,85085,373,131,229,33,66,32,28,189,32,16,14,23,16.09,6.28,77.08,96.56,0.41,0.42,0.42,0,2.2,24.71,4.6,5.44,7.03
860US85083,85083,1832,641,1126,161,322,156,139,929,157,78,70,115,16.09,6.29,77.08,96.56,0.41,0.42,0.42,0,2.2,24.71,4.61,5.44,7.03
860US85310,85310,270,93,165,23,49,24,19,137,24,12,10,16,16.13,6.08,77.15,96.65,0.41,0.4,0.38,0,2.16,24.75,4.45,5.56,6.98
860US85027,85027,11793,4204,7236,1277,2120,825,1059,6126,861,415,383,610,15.97,5.17,80.75,96.56,0.4,0.44,0.55,0.02,2.03,20.43,5.46,5.76,7.71
860US85024,85024,3631,1290,2185,414,685,237,313,1880,238,122,109,183,15.15,5.04,82.05,96.81,0.36,0.39,0.58,0.03,1.82,18.32,5.87,6.81,8.15
860US85054,85054,2369,891,1478,181,390,203,223,1203,206,98,100,190,17.97,8.03,74.91,97.91,0.11,0.48,0.22,0.03,1.25,28.06,5.42,7.18,6.84
860US85050,85050,2506,932,1559,189,417,220,231,1269,221,105,105,200,17.98,7.97,74.81,97.88,0.12,0.48,0.2,0.03,1.29,28.3,5.39,7.23,6.57
860US85139,85139,4531,1286,2404,461,1055,516,355,1964,445,185,134,287,19.22,6.34,76.81,36.89,2.29,43.2,0.15,0,17.47,55.42,8.91,33.3,7.99
860US85337,85337,2135,721,1235,239,415,221,234,1038,183,81,63,117,21.32,5.47,79.23,69.3,3.94,11.95,0.63,0.14,14.03,49.07,6.01,18.1,12.02
860US85226,85226,2045,761,1174,178,311,144,147,724,190,160,190,289,14.26,14.14,59.35,65.38,0.6,25.75,0.09,0.03,8.15,30.81,7.18,19.04,12.79
860US85295,85295,1107,356,628,116,233,122,86,536,98,41,31,52,18.81,4.73,79.94,83.15,1.24,1.67,0.3,0.03,13.61,32.65,4.6,14.4,11.09
860US85286,85286,1776,645,1033,162,311,158,129,744,168,108,114,170,16.13,9.58,68.49,84.37,1.03,2.02,0.22,0.04,12.33,29.87,5.13,13.39,12.93
860US85248,85248,3582,1150,1997,335,661,334,286,1428,317,221,237,383,17.29,10.69,67.69,42.69,0.38,51.12,0.06,0.02,5.74,41.94,9.51,30.25,9.51
860US85249,85249,891,288,505,93,188,98,70,431,79,33,25,42,18.81,4.73,79.94,83.15,1.24,1.67,0.3,0.03,13.61,32.65,4.6,14.4,NA
860US85236,85236,7,2,4,1,1,1,1,3,1,0,0,0,18.81,4.73,79.94,83.15,1.24,1.67,0.3,0.03,13.61,32.65,4.6,14.4,11.09
860US85297,85297,725,233,411,76,153,80,57,351,64,27,20,34,18.81,4.73,79.94,83.15,1.24,1.67,0.3,0.03,13.61,32.65,4.6,14.4,NA
860US85298,85298,1072,345,608,112,226,118,84,519,95,40,30,51,18.81,4.73,79.94,83.15,1.24,1.67,0.3,0.03,13.61,32.65,4.6,14.4,11.09
860US85142,85142,2564,835,1454,263,536,279,197,1229,229,98,76,133,18.56,5.17,79.12,83.61,1.21,1.64,0.31,0.03,13.19,33.08,4.67,14.22,10.95
860US85127,85127,59,19,33,6,12,6,5,28,5,2,2,3,18.81,4.73,79.94,83.15,1.24,1.67,0.3,0.03,13.61,32.65,4.6,14.4,11.09
860US85121,85121,23,10,14,2,3,1,2,8,2,2,3,4,12.29,16.55,52.02,86.12,0.73,2.53,0.1,0.04,10.49,26.78,5.92,11.93,14.95
860US85147,85147,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85070,85070,1059,242,523,139,250,111,100,462,67,33,29,77,19.91,7.24,80.35,6.08,0.22,92.18,0.04,0,1.47,49.82,12.17,40.41,1.36
860US85256,85256,3504,1369,1950,320,546,309,304,1434,296,194,211,503,17.49,14.36,65.63,54.94,0.3,41.09,0.31,0.01,3.35,34.32,7.27,20.71,13.16
860US85702,85702,595,491,284,19,23,19,39,184,41,26,44,259,9.72,43.6,37.89,74.31,7.22,2.62,0.28,0,15.57,48.53,16.91,39.3,12
860US85701,85701,5796,2798,3255,504,851,500,577,2534,474,273,250,910,18.58,15.7,67.1,52.74,7.24,4.75,0.77,0.06,34.45,57.32,8.29,39.79,15.25
860US85775,85775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85745,85745,19774,7206,11727,1447,3194,1817,1586,9055,1995,980,811,2292,17.21,11.59,69.26,72.57,4.71,3.37,0.84,0.03,18.48,33.19,6.38,15.21,6.71
860US85705,85705,43725,21580,26964,2880,4962,3485,5668,20502,3761,2164,2369,7088,20.93,16.21,64.82,87.05,2.9,1.45,0.88,0.03,7.69,34.74,7.38,18.11,11.85
860US85719,85719,36868,16111,27823,1503,2460,5004,9210,24143,1955,1318,1322,4168,38.55,11.3,76.23,87.71,3.62,0.92,1.68,0.05,6.02,19.31,5.54,22.51,7.36
860US85721,85721,14,4,13,0,0,5,6,13,0,0,0,0,77.43,2.79,94.77,87.95,2.11,1.14,2.71,0.1,5.99,12.24,8.39,48.98,5.35
860US85733,85733,1089,531,752,44,77,71,200,629,64,43,44,189,24.89,17.4,68.8,92.7,1.2,0.47,2.01,0.04,3.59,9.02,4.86,15.91,7.69
860US85716,85716,28786,15120,19013,1548,2295,1845,4553,14732,2164,1461,1516,5069,22.23,17.61,64.53,92.33,1.55,0.67,1.01,0.04,4.4,19.46,5.86,14.32,8.77
860US85717,85717,839,409,579,34,59,55,154,484,49,33,34,146,24.89,17.4,68.8,92.7,1.2,0.47,2.01,0.04,3.59,9.02,4.86,15.91,7.69
860US85722,85722,424,207,293,17,30,28,78,245,25,17,17,74,24.89,17.4,68.8,92.7,1.2,0.47,2.01,0.04,3.59,9.02,4.86,15.91,7.69
860US85713,85713,30914,11290,17483,2874,5005,2819,3046,13394,2626,1547,1624,3843,18.97,12.43,68.81,62.04,8.57,3.14,0.54,0.03,25.68,45.66,10.05,22.41,7.47
860US85754,85754,1828,558,1004,149,342,185,173,775,179,89,73,222,19.58,12.15,69.22,52.38,1.01,0.94,0.65,0.13,44.89,64.98,5.99,27.15,3.84
860US85703,85703,1301,808,742,111,109,82,194,579,86,50,62,305,21.24,23.45,61.38,70.8,9.52,4.64,1.38,0,13.66,46.33,16.53,23.95,19.91
860US85724,85724,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85712,85712,25094,12301,15832,1384,2175,1624,3176,11797,2146,1351,1371,4871,19.13,19.41,61.19,93.03,1.46,0.84,0.9,0.05,3.73,21.99,5.16,12.87,8.3
860US85711,85711,37398,16608,24495,2451,4340,3384,5157,18604,3620,2163,1873,4346,22.84,11.62,67.9,88.81,3.25,0.69,1.16,0.06,6.04,20.06,5.73,11.19,8.45
860US85726,85726,1650,607,1050,128,249,168,209,848,139,79,74,131,22.85,7.96,74.3,77.52,3.63,1.29,0.78,0.03,16.74,30.26,7.65,13.72,2.92
860US85714,85714,11356,3506,6408,1156,2059,1216,1123,5108,1046,527,462,998,20.6,8.79,73.29,51.04,6.41,2.54,0.52,0.02,39.47,57.9,8.48,22.38,5.77
860US85725,85725,1799,584,977,200,326,166,180,783,145,75,73,198,19.26,11.02,72.71,39.42,2.48,10.69,0.4,0.09,46.91,71.83,18.32,39.81,6.77
860US85723,85723,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85746,85746,13434,4750,7724,1254,2393,1085,961,5902,1205,665,654,1361,15.23,10.13,71.08,72.06,1.07,8.5,0.48,0.04,17.84,33.37,6.91,9.34,7.35
860US85751,85751,1009,403,557,45,102,72,60,358,110,68,64,262,13.15,25.99,50.1,94.63,0.79,0.6,1.01,0.12,2.85,24.55,4.38,8.18,4.8
860US85715,85715,11242,4592,7105,533,1788,1149,794,5232,1399,693,517,1080,17.29,9.61,67.18,96.31,1.03,0.24,0.7,0.02,1.69,7.5,5.13,3.13,9.9
860US85710,85710,45717,18398,28737,2252,6614,4839,3467,20100,6167,3090,2383,5112,18.17,11.18,63.36,94.72,1.5,0.43,0.95,0.07,2.32,16.02,5.47,5.4,9.05
860US85732,85732,1460,820,1031,41,118,119,232,713,175,112,91,210,24.04,14.39,59.68,94.8,1.59,0.21,0.65,0.08,2.67,12.96,2.97,10.51,12.8
860US85708,85708,3031,633,1981,426,529,299,747,2034,33,4,4,1,34.51,0.04,98.63,78.06,13.69,0.76,2.32,0.4,4.77,10.13,19.88,11.14,0.69
860US85730,85730,20602,7059,12553,1873,3926,1961,1969,10793,1720,699,589,1002,19.08,4.86,80.54,89.23,4.69,0.51,1.28,0.13,4.16,17.07,5.95,6.81,6.58
860US85706,85706,33939,11523,19322,3862,6592,3261,3418,16048,2784,1324,1111,2218,19.68,6.54,78.09,67.59,2.22,1.81,0.67,0.04,27.66,43.08,9.19,15.46,7.8
860US85707,85707,2137,447,1397,301,373,211,527,1434,23,2,2,1,34.51,0.04,98.63,78.06,13.69,0.76,2.32,0.4,4.77,10.13,19.88,11.14,0.69
860US85756,85756,5442,1463,2993,571,1248,634,444,2591,472,199,140,220,19.82,4.03,81.05,59.6,2.17,2.46,0.47,0.01,35.28,44.66,10.5,12.77,2.62
860US85734,85734,2047,540,1100,230,499,251,164,1008,162,55,42,52,20.27,2.56,84.8,55.7,2.58,2.29,0.66,0.01,38.76,44.27,11.04,13.98,2.6
860US85748,85748,8702,2757,5312,677,1783,865,484,4442,882,330,246,343,15.5,3.94,79.31,91.97,3.34,0.32,1.27,0.05,3.05,12.7,5.13,4.98,5.39
860US85750,85750,6280,2754,4009,294,990,538,303,2716,900,410,362,608,13.41,9.68,63.69,96.95,0.58,0.32,0.87,0.09,1.18,4.23,4.51,2.11,19.5
860US85749,85749,15985,5008,9594,990,3426,1849,707,7803,1938,675,480,674,15.99,4.22,76.44,96.37,0.92,0.26,0.76,0.04,1.66,8.21,4.38,3.62,8.04
860US85619,85619,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85747,85747,1773,550,1071,186,362,171,207,998,116,36,32,44,21.34,2.48,87.15,87.65,5.53,0.45,1.08,0.11,5.18,17.32,6.24,5.62,3.57
860US85641,85641,6939,2231,4168,657,1350,658,762,3591,547,236,210,350,20.46,5.04,80.66,85.66,3.47,0.9,0.61,0.09,9.26,27.5,7.25,9.68,5.05
860US85731,85731,997,448,614,58,154,115,83,475,117,56,39,98,19.87,9.87,68.9,94.54,2,0.48,1.01,0.11,1.85,17.18,6.05,7.66,17.08
860US85744,85744,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85629,85629,3585,1311,2088,281,670,358,246,1580,361,200,174,319,16.85,8.91,70.58,86.99,0.65,1.6,0.23,0.04,10.49,35.12,8.47,10.96,NA
860US85614,85614,8607,6178,3360,78,207,120,117,695,491,800,1447,4888,2.76,56.79,11.39,97.93,0.32,0.31,0.12,0.01,1.31,18.07,12.32,3.65,26.73
860US85645,85645,1954,733,1129,149,368,198,112,844,203,113,97,180,15.9,9.2,69.64,88.09,0.34,1.64,0.24,0.03,9.67,34.52,8.35,10.02,NA
860US85757,85757,6757,2035,3823,729,1526,572,480,3241,547,221,192,300,15.56,4.44,81.34,71.17,1.24,8.14,0.42,0.04,18.99,34,8.25,15.94,3.93
860US85736,85736,450,171,259,34,85,46,23,192,48,27,23,42,15.38,9.35,69.14,88.69,0.17,1.66,0.24,0.02,9.22,34.21,8.28,9.53,16.05
860US85735,85735,2304,799,1345,188,453,239,144,1037,266,111,88,161,16.6,7,72.85,87.73,2.06,3.82,0.55,0.04,5.8,37.28,9.08,13.74,9.52
860US85601,85601,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85622,85622,403,207,203,20,50,28,14,117,35,29,39,112,10.32,27.83,46.55,92.45,0.18,1.14,0.19,0.01,6.02,25.98,9.01,7.12,22.04
860US85633,85633,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85709,85709,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85743,85743,7176,2512,4254,593,1361,692,475,3304,798,335,266,518,16.26,7.22,73.27,84.71,4.32,3.17,0.59,0.04,7.18,33.7,8.41,13.18,8.3
860US85653,85653,2042,701,1194,168,403,212,130,925,237,96,75,137,16.74,6.71,73.29,87.61,2.26,4.03,0.58,0.04,5.47,37.6,9.15,14.16,8.8
860US85654,85654,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85741,85741,5634,2074,3456,569,1029,413,396,2934,453,180,168,300,14.36,5.33,80.43,94.24,0.96,0.65,0.74,0.04,3.37,10.2,3.57,4.9,10.14
860US85704,85704,19219,7768,11861,1187,3042,1669,1150,8703,2207,1110,930,2041,14.66,10.62,67.29,95.11,0.97,0.48,0.92,0.02,2.5,9.33,4.02,4.57,12.26
860US85740,85740,214,98,135,11,30,19,14,95,26,14,11,25,15.55,11.79,63.95,94.69,1.27,0.42,0.97,0,2.66,11.67,4.59,6.58,19.83
860US85738,85738,250,115,158,13,35,23,16,112,31,17,13,30,15.55,11.79,63.95,94.69,1.27,0.42,0.97,0,2.66,11.67,4.59,6.58,19.83
860US85737,85737,3571,1336,2135,330,627,315,246,1784,308,145,133,243,15.72,6.8,76.77,94.57,0.74,0.75,0.53,0.02,3.4,18.42,5.68,7.94,12.91
860US85742,85742,3773,1407,2313,376,666,264,260,1939,293,137,123,239,13.89,6.34,79.01,94.47,0.8,0.72,0.68,0.03,3.29,13.24,3.83,5.06,10.43
860US85755,85755,1440,551,880,140,238,95,95,720,106,64,54,118,13.2,8.22,76.23,94.91,0.51,0.86,0.55,0.02,3.14,18.86,4.48,5.58,11.14
860US85658,85658,4468,1663,2784,416,710,286,318,2275,331,197,170,370,13.53,8.27,76.1,93.16,1.15,1.09,0.53,0.03,4.04,20.5,4.28,5.76,10.84
860US85739,85739,1558,576,892,130,274,175,111,725,156,78,70,124,18.38,7.93,72.46,90.58,0.45,0.77,0.22,0.01,7.98,32.73,8.85,12.43,15.67
860US85652,85652,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85752,85752,43,16,27,4,7,3,3,22,3,2,2,4,13.02,8.22,76.38,94.91,0.51,0.86,0.56,0.03,3.13,18.52,4.33,5.34,10.94
860US85718,85718,13977,6340,8854,581,1710,1033,862,5740,1825,1046,908,2168,13.56,15.51,57.46,96.83,0.56,0.31,0.81,0.03,1.46,8.1,3.93,4.11,12.09
860US85728,85728,775,364,477,29,86,54,47,293,106,60,53,147,13.08,18.95,52.64,97.45,0.71,0.14,0.92,0,0.78,6.54,3.12,4.35,10.73
860US85321,85321,5978,2045,3425,519,1098,565,419,2457,734,337,276,557,16.46,9.32,68.15,76.78,0.37,12.16,0.25,0.02,10.42,42.36,3.63,13.67,4.84
860US85341,85341,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85634,85634,3115,903,1571,361,781,319,251,1352,240,94,95,193,18.3,6.18,80.03,3.08,0.12,96.22,0.08,0,0.5,58.5,13.26,50.23,22.31
860US85639,85639,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85173,85173,4874,1645,2690,478,963,487,389,2039,558,225,201,408,17.98,8.37,71.43,67.01,0.26,1.01,0.51,0,31.21,52.1,3.16,9.33,6.96
860US85118,85118,2945,1380,1591,164,391,208,161,984,306,192,245,663,12.51,22.5,52.27,93.94,0.21,0.79,0.26,0.01,4.79,41.28,8.33,11.33,15.88
860US85140,85140,325,124,184,22,58,28,17,130,34,19,21,42,14.04,12.99,64.49,91.9,0.59,1.23,0.59,0.05,5.66,39.54,6.21,11,8.84
860US85132,85132,7094,2061,4750,346,855,574,818,3771,699,312,297,814,19.62,11.48,70.08,70.44,8.25,3.39,0.39,0.04,17.49,40.9,2.98,16.05,9.48
860US85143,85143,71,28,40,5,13,6,4,28,7,4,4,9,14.04,12.99,64.49,91.9,0.59,1.23,0.59,0.05,5.66,39.54,6.21,11,8.84
860US85119,85119,6019,3123,3182,277,644,365,313,1795,619,423,578,1682,11.25,27.95,45.13,98,0.05,0.58,0.09,0,1.28,40.85,10.03,11.68,18.64
860US85631,85631,5589,1532,3170,745,1234,579,622,2788,471,165,95,91,21.5,1.62,85.3,75.75,0.54,0.68,0.3,0,22.73,37.25,7.45,3.05,2.42
860US85128,85128,10735,3493,5875,1038,2036,1215,974,4768,970,449,374,1100,20.39,10.25,73.05,55.27,5.58,24.03,0.45,0.01,14.66,51.75,12.02,27.42,7.74
860US85131,85131,6723,2166,3574,726,1426,725,617,2939,589,269,238,537,19.97,7.98,75.72,43.56,7.67,4.74,0.67,0,43.36,59.09,11.65,34.28,11.56
860US85191,85191,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85141,85141,84,20,65,3,6,6,12,52,8,4,4,8,20.47,8.94,72.42,69.44,9.75,4.28,0.1,0.02,16.4,43.76,2.71,15.97,8.61
860US85194,85194,2218,614,1385,171,375,316,248,1192,178,77,72,153,25.48,6.9,78.35,65.69,7.68,14.29,0.27,0.06,12.01,49.27,6.98,18.74,9.39
860US85193,85193,3204,1160,1783,296,618,316,261,1336,328,170,152,304,18,9.49,70.24,61.43,7.03,5.01,0.38,0.01,26.14,46.83,9.25,26.8,16.22
860US85122,85122,17100,6092,9559,1633,3390,1613,1382,7502,1592,829,659,1494,17.51,8.74,73.25,71.57,3.94,2.63,0.39,0.03,21.44,40.54,6.82,16.77,9.15
860US85138,85138,876,251,469,89,201,99,68,382,86,37,26,55,19.09,6.24,76.69,41.35,2.33,39.15,0.13,0,17.04,54.77,8.67,29.92,8
860US85172,85172,263,78,140,26,61,29,19,111,27,11,8,17,18.41,6.63,75.61,43.4,2.68,33.49,0.16,0,20.27,53.93,8.29,32.04,9.13
860US85145,85145,379,164,216,33,62,32,28,145,44,27,23,44,15.93,11.71,63.71,73.13,0.88,4.21,0.16,0,21.62,32.6,7.61,26.46,26.55
860US85137,85137,3117,1071,1845,256,603,302,200,1373,361,176,147,200,16.1,6.41,71.62,88.52,0.16,0.41,0.16,0.01,10.74,32.28,3.18,9.11,4.92
860US85623,85623,4405,1465,2539,454,888,389,379,1958,461,194,163,287,17.44,6.51,74.92,72.29,0.15,0.51,0.11,0.04,26.91,44.01,5.09,8.27,7.46
860US85618,85618,726,242,419,75,146,64,62,323,76,32,27,47,17.44,6.51,74.92,72.29,0.15,0.51,0.11,0.04,26.91,44.01,5.09,8.27,7.46
860US85640,85640,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85646,85646,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85648,85648,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US86332,86332,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85362,85362,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85332,85332,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860US85366,85366,1947,901,1229,184,247,187,289,991,161,86,84,195,24.43,10.02,73,71.58,2.48,3.01,0.45,0.08,22.39,53.08,13.67,24.69,20.49
860US85365,85365,17880,6123,11258,1593,2645,1816,2838,9012,1540,810,738,1541,26.03,8.62,74.11,85.91,3.43,1.17,0.94,0.14,8.41,25.62,5.85,8.72,NA
860US85364,85364,40571,16174,22985,3580,6753,3576,3578,17578,3642,1957,1938,5124,17.63,12.63,68.79,80.8,3.13,1.33,0.87,0.07,13.8,33.84,6.96,13.98,12.01
860US85367,85367,1565,930,916,69,151,97,80,436,177,154,195,382,11.37,24.42,41.99,92.65,0.86,1.07,0.46,0.08,4.88,34.72,6.8,8.91,31.08
