"GEOID","TotPop","TotUnits","Age18_64","Age0_4","Age5_14","Age15_19","Age20_24","Age15_44","Age45_49","Age50_54","Age55_59","Age60_64","AgeOv65","Age15_24P","Und45P","Ovr65P","WhiteP","BlackP","HispP","AmIndP","AsianP","PacIsP","OtherP","DisbP","NoHsP","ChildrenP","PovP","UnempP","VacantP"
"19079",16438,7082,9294,1057,2375,1128,789,6367,1125,1023,790,739,2962,11.66,59.61,18.02,96.71,0.23,1.42,0.2,1.46,0.01,1.39,28,12.66,25.44,6.25,2.53,5.51
"19081",12100,5164,6720,737,1824,961,482,4530,930,755,590,564,2170,11.93,58.6,17.93,97.7,0.09,2.49,0.1,0.31,0.02,1.8,23,14.21,26.53,6.03,2.66,7.15
"19083",18812,8318,10280,1076,2469,1737,946,7161,1320,1106,938,856,3886,14.26,56.91,20.66,97.14,0.62,2.42,0.13,0.32,0.05,1.8,32,14.32,24.7,7.96,4.43,8.3
"19085",15666,6602,8792,942,2407,1119,703,6052,1095,907,806,691,2766,11.63,60.01,17.66,98.69,0.08,0.72,0.22,0.16,0.01,0.86,28,14.99,26.22,7.14,4.31,7.38
"19087",20336,8246,12328,1216,2862,1536,1229,8693,1440,1352,975,808,2990,13.6,62.8,14.7,94.78,1.49,1.26,0.24,1.88,0.02,1.61,29,13.86,24.68,8.76,4.38,7.52
"19089",9932,4327,5318,596,1513,741,445,3706,663,531,489,435,1999,11.94,58.55,20.13,99.06,0.11,0.55,0.15,0.17,0,0.5,31,20.69,26.33,9.32,3.41,8.16
"19091",10381,4645,5622,562,1473,832,440,3830,711,619,536,471,2179,12.25,56.5,20.99,98.63,0.11,0.96,0.06,0.23,0.1,0.97,31,13.66,24.85,8.28,3.48,7.53
"19093",7837,3506,4133,433,1146,586,311,2774,583,474,373,348,1706,11.45,55.54,21.77,99.02,0.1,0.47,0.06,0.24,0,0.57,33,15.03,25.49,8.8,3.91,8.36
"19095",15671,6545,8852,972,2464,1070,617,6051,1172,880,717,734,2681,10.77,60.54,17.11,98.7,0.17,0.97,0.06,0.3,0.03,0.77,23,12.99,26.41,4.98,2.27,5.84
"19097",20296,8949,11517,1193,3065,1498,937,7815,1450,1239,1101,925,3508,12,59.48,17.28,98.96,0.1,0.6,0.12,0.09,0.11,0.73,31,18.51,25.97,10.27,3.72,9.73
"19099",37213,15659,22077,2313,5214,2442,1961,15031,2718,2409,1880,1685,5963,11.83,60.62,16.02,97.58,0.83,1.01,0.22,0.44,0.05,0.94,25,13.19,24.65,6.47,3.08,6.19
"19101",16181,7241,10004,877,2268,1213,819,5983,1876,1546,817,583,2231,12.56,56.41,13.79,96.02,0.64,1.84,0.17,1.7,0.04,1.47,24,11.92,24.39,10.92,4.1,8.18
"19103",111006,45831,80429,6428,12263,10933,18701,63801,7494,6024,3952,2779,8265,26.7,74.31,7.45,90.13,2.9,2.51,0.28,4.12,0.04,2.56,20,6.34,20.1,14.98,3.92,3.82
"19105",20221,8126,12148,1128,2834,1378,1123,8358,1527,1248,1032,895,3199,12.37,60.93,15.82,96.68,1.79,1.05,0.32,0.22,0,1,27,14.67,24.1,8.59,3.94,6.97
"19107",11400,5013,6168,678,1687,864,504,4275,796,623,545,495,2301,12,58.25,20.18,99,0.07,0.54,0.11,0.23,0.02,0.59,31,16.02,25.71,10.08,3.86,8.52
"19109",17163,7605,9274,931,2520,1390,640,6206,1231,1062,851,908,3454,11.83,56.27,20.12,98.76,0.11,0.81,0.15,0.35,0.01,0.64,28,14.42,25.84,10.16,3.79,8.3
"19111",38052,16612,22482,2269,5280,2638,2049,14831,2966,2653,2108,1648,6297,12.32,58.81,16.55,94.24,2.8,2.37,0.26,0.39,0.06,2.3,35,16.41,24.37,9.7,5.79,8.73
"19113",191701,80551,119814,13425,27165,13891,13327,85221,13955,12147,8939,7384,23465,14.2,65.63,12.24,93.9,2.57,1.42,0.22,1.37,0.05,1.95,26,9.42,25.26,6.5,3.54,4.72
"19115",12183,5133,7091,880,1930,874,654,5021,831,692,589,528,1712,12.54,64.28,14.05,93.91,0.25,12.62,0.18,0.2,0.02,5.46,28,20.34,27.74,9.34,4.29,11.96
"19117",9422,4239,5209,569,1400,678,431,3423,641,549,517,502,1821,11.77,57.23,19.33,98.44,0.13,0.87,0.11,0.3,0.01,1.03,36,20.88,25.39,13.68,4.94,10.1
"19119",11763,4758,6259,788,1895,917,592,4406,850,645,468,500,2211,12.83,60.27,18.8,99.13,0.09,0.36,0.14,0.15,0.01,0.48,24,21.29,27.99,7.04,2.39,6.94
"19121",14019,5661,8089,987,2134,1031,613,5483,1094,894,686,613,2128,11.73,61.37,15.18,98.57,0.09,0.75,0.27,0.18,0.02,0.9,24,12.42,27.12,6.74,4.22,5.92
"19123",22335,9551,12943,1482,3210,1717,1443,9140,1641,1292,1018,902,3650,14.15,61.93,16.34,97.2,0.64,0.85,0.19,0.86,0.03,1.11,31,17.38,25.71,9.84,4.47,7.03
"19125",32052,12755,18826,2015,4638,2591,2140,13218,2276,1892,1546,1366,5101,14.76,62,15.91,97.46,0.42,0.8,0.19,1.03,0.04,0.9,30,16.02,25.35,7.63,3.41,5.79
"19127",39311,16324,22928,2557,5554,2889,2128,15359,3003,2623,2077,1685,6453,12.76,59.7,16.42,90.44,0.93,8.96,0.35,0.78,0.06,7.51,29,17.71,25.26,10.24,4.4,6.04
"19129",14547,5671,8819,923,2257,1100,629,5822,1182,1117,770,640,1836,11.89,61.88,12.62,97.97,0.28,1.23,0.27,0.29,0.01,1.2,32,16.81,26.75,8.25,4.85,6.12
"19131",10874,4594,5643,662,1704,785,393,3807,715,580,541,519,2346,10.83,56.77,21.57,99.27,0.17,0.58,0.07,0.17,0.02,0.3,26,15.56,26.53,10.71,3.09,6.53
"19133",10020,4660,5295,531,1336,671,414,3421,715,553,567,499,2398,10.83,52.77,23.93,98.34,0.08,0.7,0.76,0.12,0.04,0.7,35,18.31,23.22,9.41,3.78,9.64
"19135",8016,3588,4418,512,1153,558,383,2945,549,492,419,380,1566,11.74,57.51,19.54,98.4,0.2,0.5,0.36,0.4,0,0.64,40,17.78,25.35,9.03,3.73,10.03
"19137",11771,5399,6445,713,1677,820,494,4317,845,785,568,481,2385,11.16,56.98,20.26,98.2,0.08,1.3,0.35,0.25,0.01,1.13,39,18.17,24.99,9.07,4.97,9.5
"19139",41722,16786,25104,2888,6346,3102,2468,17585,3116,2673,2059,1656,5399,13.35,64.28,12.94,90.72,0.7,11.92,0.31,0.83,0.02,7.44,33,19.69,26.89,8.87,3.94,5.59
"19141",15102,6509,8169,889,2087,1198,753,5596,1113,831,693,702,3191,12.92,56.76,21.13,98.05,0.34,1.77,0.17,0.51,0.01,0.93,25,19.33,24.78,7.26,2.97,7.8
"19143",7003,3012,3851,411,1070,514,334,2686,470,375,356,309,1326,12.11,59.5,18.93,98.04,0.11,1.78,0.26,0.2,0.01,1.39,24,18.94,26.07,7.03,3.3,7.77
"19145",16976,7302,9664,946,2148,1254,936,6649,1260,1030,847,732,3364,12.9,57.39,19.82,96.11,1.66,1.56,0.49,0.48,0.01,1.27,36,14.54,23.26,12.49,5.96,8.13
"19147",10147,4631,5544,550,1355,914,587,3859,690,560,465,505,2163,14.79,56.8,21.32,98.62,0.09,0.76,0.19,0.31,0.04,0.8,26,16.33,24.05,10.55,2.11,11.06
"19149",24849,9880,13847,1641,3962,2101,1135,9805,1925,1449,1171,932,3964,13.02,62.01,15.95,98.16,0.29,1.32,0.14,0.27,0.06,1.13,23,12.64,28.32,5.99,1.95,5.14
"19151",8662,3988,4579,424,1325,633,280,2942,640,537,461,452,1881,10.54,54.16,21.72,98.49,0.24,0.89,0.17,0.17,0.01,0.92,29,13.36,25.42,9.1,3.26,9.3
"19153",374601,156447,236549,27955,53155,25121,25448,171068,27105,23501,17076,12989,41752,13.5,67.32,11.15,88.34,4.84,4.4,0.27,2.63,0.06,3.93,28,11.67,25.71,7.94,4.74,4.69
"19155",87704,35761,52919,5796,12914,6672,5393,37108,6499,5510,4278,3627,11972,13.76,63.64,13.65,95.98,0.77,3.3,0.37,0.48,0.02,2.4,34,15.96,26.01,8.4,4.1,5.36
"19157",18815,8556,11236,1038,2420,1626,1593,7803,1284,1171,932,850,3317,17.11,59.85,17.63,96.74,0.55,1.2,0.23,1.07,0.05,1.4,31,13.26,22.65,9.83,4.95,13.53
"19159",5469,2789,2842,320,698,430,243,1846,365,323,307,298,1312,12.31,52.37,23.99,99.07,0.11,0.24,0.22,0.16,0,0.44,34,17.19,24.04,14.26,4.1,19.51
"19161",11529,5460,6136,644,1588,830,508,4050,834,692,540,567,2614,11.61,54.49,22.67,98.53,0.26,0.96,0.09,0.14,0.02,0.99,29,15.84,24.1,9.92,3.12,13.08
"19163",158668,65649,97976,10989,23685,11698,10363,68776,12227,10527,7786,6001,18677,13.9,65.2,11.77,88.54,6.11,4.06,0.32,1.58,0.02,3.46,28,13.68,26.48,10.5,5.18,5.05
"19165",13173,5459,7008,773,1998,997,454,4765,958,761,610,620,2688,11.01,57.21,20.41,98.68,0.1,0.67,0.29,0.27,0,0.66,25,13.41,26.39,6.01,2.61,5.24
"19167",31589,11260,18269,2092,4826,3492,2973,13889,2074,1536,1267,1152,4753,20.47,65.87,15.05,97.33,0.2,2.56,0.13,0.59,0.01,1.75,19,19.64,27.12,6.44,1.83,5.04
"19169",79981,30630,56863,4136,8391,9090,16288,45740,4849,3894,2795,2306,7870,31.73,72.85,9.84,91.14,1.83,1.55,0.16,5.1,0.03,1.77,18,6.47,19.06,14.06,4.39,4.07
"19171",18103,7583,9905,1255,2639,1354,825,6744,1222,1064,923,866,3390,12.04,58.76,18.73,90.38,0.25,3.75,6.09,0.18,0.02,3.1,28,15.76,26.56,10.53,3.95,7.45
"19173",6958,3199,3737,386,949,527,327,2482,468,414,379,324,1556,12.27,54.86,22.36,97.71,0.03,3.81,0.1,0.3,0.06,1.85,35,16.7,23.93,12.1,3.92,11.72
"19175",12309,5657,7145,725,1599,969,650,4737,860,880,642,569,2297,13.15,57.36,18.66,98.44,0.23,1.02,0.17,0.25,0,0.91,31,12.68,23.29,11.4,3.88,7.34
"19177",7809,3581,4384,435,1144,543,359,2806,577,497,438,421,1491,11.55,56.15,19.09,98.62,0.06,0.77,0.18,0.28,0.06,0.86,36,17.29,24.77,12.68,3.66,11.17
"19179",36051,15873,21239,2143,4797,2646,2304,14312,2705,2252,1838,1589,6415,13.73,58.95,17.79,96.28,0.93,2.22,0.28,0.65,0.02,1.86,42,18.5,23.29,13.22,6.7,6.86
"19181",40671,15289,24871,2778,6246,3317,2587,17378,3099,2676,2064,1615,4815,14.52,64.92,11.84,98.08,0.27,1.08,0.17,0.38,0.04,1.1,23,9.97,27.01,5.07,3.48,3.8
"19183",20670,8543,11587,1382,3059,1420,969,7927,1465,1307,983,853,3694,11.56,59.84,17.87,97.04,0.29,2.73,0.19,0.25,0.03,2.23,30,17.51,26.07,7.57,2.65,5.7
"19185",6730,3357,3523,338,941,469,258,2299,443,373,398,337,1601,10.8,53.16,23.79,98.78,0.06,0.71,0.12,0.15,0.06,0.89,40,16.05,23.86,13.98,3.95,15.97
"19187",40235,16969,23398,2536,5499,3277,2998,16519,2851,2364,1845,1631,6990,15.6,61.03,17.37,93.39,3.39,2.35,0.3,0.66,0.02,2.26,30,15.76,24.47,9.99,4.33,6.43
"19189",11723,5065,6681,654,1617,1026,676,4531,964,708,548,483,2218,14.52,58.02,18.92,97.37,0.18,2.02,0.23,0.72,0.01,1.5,28,12.74,24.09,8.38,3,6.24
"19191",21310,8208,13065,1088,2821,2259,2300,9718,1386,1151,943,858,3345,21.39,63.95,15.7,97.85,0.51,0.8,0.08,0.82,0,0.75,22,15.94,22.99,7.97,4.47,5.77
"19193",103877,41394,61609,7942,15778,7959,7348,44708,7407,6057,4409,3698,13878,14.74,65.87,13.36,87.48,2.02,9.11,1.69,2.41,0.04,6.4,30,18.56,27.33,10.3,4.16,5.42
"19195",7909,3534,4456,448,1097,544,349,2972,607,483,400,370,1532,11.29,57.11,19.37,98.37,0.28,1.57,0.09,0.14,0.01,1.13,30,14.01,24.29,8.34,3.79,7.24
"19197",14334,6559,7789,816,2015,1002,609,5125,1091,876,703,670,3038,11.24,55.5,21.19,95.93,0.17,4.93,0.18,0.2,0,3.53,29,15.6,24.47,7.05,3.71,9.44
"20001",14385,6449,8162,850,2046,1298,842,5601,1015,899,722,659,2593,14.88,59.07,18.03,94.8,1.63,1.93,0.78,0.26,0,2.53,37,16.86,25.23,14.87,4.35,10.45
"20003",8110,3596,4361,503,1225,617,346,2962,490,460,435,409,1626,11.87,57.83,20.05,97.41,0.32,1.09,0.74,0.22,0.02,1.31,39,18.12,26.18,12.76,3.66,10.43
"20005",16774,6818,9578,1068,2488,1609,1198,6911,1061,966,825,732,2723,16.73,62.4,16.23,91.62,5.32,1.95,0.55,0.34,0.06,2.16,29,15.33,26.67,13.28,6.21,7.96
"20007",5307,2740,2840,268,783,413,171,1813,408,338,299,257,1141,11,53.97,21.5,97.06,0.38,2.02,0.58,0.09,0,1.88,35,14.21,24.99,10.09,2,18.43
"20009",28205,12888,15832,1793,4162,2378,1541,11010,2025,1617,1326,1229,5043,13.89,60.15,17.88,92.98,1.15,8.31,0.51,0.23,0.01,5.13,30,17.74,25.99,12.91,5.3,11.6
"20011",15379,7135,8614,945,2233,1351,891,5962,1040,947,812,636,2804,14.58,59.43,18.23,94.06,3.08,1.29,0.84,0.36,0.05,1.65,42,15.79,25.76,13.55,3.86,13.65
"20013",10724,4815,5807,684,1570,867,499,3944,765,663,539,470,2089,12.74,57.8,19.48,86.87,1.56,2.32,8.82,0.21,0.01,2.55,37,15.41,26.37,12.91,5.79,10.32
"20015",59482,23176,34962,4131,9821,4887,3106,25141,4625,3633,2517,2131,7483,13.44,65.72,12.58,94.94,1.38,2.25,0.91,0.4,0.03,2.37,30,12.67,28.64,7.31,3.58,7.12
"20017",3030,1529,1731,182,409,218,118,1141,217,203,171,139,568,11.09,57.16,18.75,96.9,1.02,1.75,0.56,0.13,0,1.39,31,12.88,24.13,8.57,2.73,18.51
"20019",4359,2169,2279,195,618,328,146,1386,247,287,253,312,1061,10.87,50.45,24.34,93.83,0.3,1.35,3.58,0.07,0.05,2.23,49,18.97,23.38,12.21,4.77,17.2
"20021",22605,10031,13189,1561,3342,1723,1258,9064,1493,1405,1240,1075,3425,13.19,61.79,15.15,92.27,0.61,1.29,3.45,0.23,0.04,3.44,44,19.65,26.5,14.33,5.47,11.52
"20023",3165,1636,1571,149,454,221,88,1029,230,188,159,114,842,9.76,51.56,26.6,97.91,0.13,2.59,0.09,0.32,0.03,1.55,37,14.49,23.76,9.44,2.77,16.87
"20025",2390,1111,1234,146,355,191,59,803,160,161,122,122,521,10.46,54.56,21.8,95.77,0.25,4.02,1.13,0.08,0,2.76,29,12.56,26.57,12.65,2.58,11.88
"20027",8822,4084,4791,475,1291,640,387,3136,694,567,448,380,1831,11.64,55.57,20.75,97.72,0.57,0.83,0.41,0.15,0,1.16,34,12.99,24.94,10.15,3.48,11.43
"20029",10268,4838,5588,506,1306,960,590,3794,634,637,500,507,2384,15.1,54.6,23.22,98.3,0.34,0.6,0.25,0.25,0,0.86,34,14.47,22.36,10.76,4.27,13.95
"20031",8865,3876,5048,525,1323,737,372,3451,716,559,475,377,1439,12.51,59.77,16.23,96.95,0.25,1.55,0.52,0.34,0.01,1.94,33,13.06,26.82,6.61,4.44,9.98
"20033",1967,1088,1024,111,248,106,59,579,134,138,128,121,508,8.39,47.69,25.83,97.97,0.05,1.78,0.25,0.05,0.2,1.68,35,8.68,22.11,10.19,0.21,19.85
"20035",36291,15673,21077,2312,5357,3132,2235,14805,2494,2174,1831,1548,5770,14.79,61.93,15.9,90.13,2.7,3.59,1.96,1.53,0.01,3.68,39,14.56,26.02,12.93,7.82,10.43
"20037",38242,17221,23557,2446,4693,3440,4449,17465,2399,2158,1728,1443,5910,20.63,64.34,15.45,93.29,1.83,2.38,0.94,1.11,0.09,2.83,36,15.46,22.95,15.95,4.9,9.97
"20039",3472,1821,1742,157,477,255,94,1145,251,198,186,149,909,10.05,51.24,26.18,97.87,0.52,0.98,0.09,0.14,0.12,1.38,32,13.59,23.65,11.6,1.05,17.96
"20041",19344,8686,10769,1103,2875,1417,806,7303,1403,1146,1009,906,3599,11.49,58.32,18.61,96.44,0.58,2.3,0.49,0.3,0.01,2.19,31,13.64,25.72,7.54,3.2,9.01
"20043",8249,3489,4827,525,1177,825,537,3400,597,527,374,315,1334,16.51,61.85,16.17,94.85,2,1.16,1.21,0.25,0,1.69,30,19.82,25.31,11.89,6.99,9.06
"20045",99962,40250,71624,5568,11428,10539,19286,58117,6106,5043,3321,2442,7937,29.84,75.14,7.94,86.09,4.24,3.27,2.56,3.12,0.06,3.99,23,7.64,20.41,15.85,4.63,4.38
"20047",3449,1754,1883,202,482,266,129,1262,241,188,165,192,717,11.45,56.42,20.79,92.52,0.32,9.71,0.49,0.32,0,6.35,35,18.8,24.62,10.37,2.69,17.05
"20049",3261,1860,1703,138,434,223,126,1001,226,225,208,204,825,10.7,48.24,25.3,95.06,0.21,2.18,0.95,0.18,0.06,3.59,41,20.01,22.48,13.77,4.67,24.09
"20051",27507,12078,17404,1582,3328,2706,3619,13253,1945,1446,1058,956,3939,22.99,66.03,14.32,96.1,0.67,2.37,0.21,0.82,0.02,2.21,26,12.83,22.41,12.91,4.15,7.33
"20053",6525,3228,3800,274,795,484,321,2573,507,406,341,300,1329,12.34,55.82,20.37,93.67,3.56,3.59,0.48,0.25,0.02,2.05,31,15.17,21.39,7.2,3.47,23.14
"20055",40523,13763,23813,4248,7555,3523,3017,19148,2483,1843,1387,1030,2829,16.14,76.38,6.98,69.05,1.25,43.3,0.96,2.87,0.08,25.86,27,32.6,34.25,14.23,4.88,5.92
"20057",32458,11650,18798,3035,5466,2683,2552,14779,1914,1567,1148,983,3566,16.13,71.72,10.99,74.85,1.62,37.68,0.63,2.05,0.12,20.85,31,30.13,31.1,12.4,4.88,6.85
"20059",24784,10229,14488,1688,3902,1938,1504,10452,1653,1409,1222,982,3476,13.89,64.73,14.03,95.05,1.21,2.62,0.94,0.31,0,2.5,33,14.69,27.52,7.69,3.48,7.6
"20061",27947,11959,17032,2635,4410,2139,2890,13405,1694,1270,1041,858,2634,17.99,73.17,9.42,64.13,22.03,8.45,0.75,3.16,0.41,9.93,31,13.99,29.63,12.08,6.32,12.55
"20063",3068,1423,1569,182,464,235,87,999,221,200,150,156,696,10.5,53.62,22.69,97.95,0.1,1.24,0.16,0.1,0,1.69,25,15.52,26.17,10.32,1.85,12.51
"20065",2946,1553,1585,133,366,220,101,1002,231,150,172,195,697,10.9,50.95,23.66,94.91,3.22,0.78,0.34,0.27,0.03,1.26,38,16.38,22.54,11.51,2.67,18.67
"20067",7909,3027,4555,688,1440,714,435,3420,578,450,328,242,763,14.53,70.15,9.65,77,0.21,34.67,0.86,0.37,0,21.56,21,28.46,32.76,10.06,4.74,9.42
"20069",5904,2181,3292,459,1060,511,323,2443,410,330,276,177,749,14.13,67.11,12.69,92.31,0.19,9.81,0.46,0.1,0.07,6.94,23,26.39,31.55,9.08,3.18,6.24
"20071",1534,712,830,103,251,117,67,603,103,82,67,54,271,11.99,62.39,17.67,93.09,0.2,11.54,0.26,0.07,0.13,6.39,34,16.28,28.23,11.58,2.5,15.45
"20073",7673,4273,4103,420,1021,562,318,2660,510,513,420,379,1750,11.47,53.45,22.81,96.53,0.14,1.72,0.83,0.1,0,2.38,50,19.09,23.72,12.51,4.28,24.32
"20075",2670,1211,1423,184,433,209,122,1006,189,135,115,118,490,12.4,60.79,18.35,81.65,0.49,20.6,0.49,0.56,0,16.82,39,23.34,28.35,15.66,1.97,12.96
"20077",6536,3270,3405,369,915,480,280,2196,469,390,328,350,1519,11.63,53.24,23.24,97.23,0.23,1.07,0.83,0.14,0.02,1.58,36,16.25,24.66,11.55,3.76,15.2
"20079",32869,13378,18802,2167,4794,2642,1942,13295,2355,1949,1482,1315,5512,13.95,61.63,16.77,91.04,1.59,7.97,0.52,0.52,0.03,6.33,29,14.73,26.03,6.41,3.68,5.96
"20081",4307,1639,2432,392,775,374,268,1841,293,236,174,139,457,14.91,69.84,10.61,85.07,0.19,23.57,0.58,0.63,0,13.54,23,25.19,32.92,11.61,2.9,9.64
"20083",2085,945,1085,101,364,185,52,763,149,120,96,96,396,11.37,58.9,18.99,97.31,0.91,2.69,0.24,0,0,1.53,30,13.08,28.97,11.52,1.39,15.77
"20085",12657,5094,7192,874,2030,990,538,4908,922,819,658,557,1889,12.07,61.72,14.92,90.21,0.53,1.49,6.84,0.17,0.02,2.25,30,12.29,28.25,8.81,3.44,7.2
"20087",18426,7491,11022,1178,2873,1498,779,7429,1455,1253,1027,853,2358,12.36,62.3,12.8,96.7,0.37,1.28,0.92,0.17,0.01,1.83,30,11.12,27.39,6.72,3.4,8.82
"20089",3791,2103,1976,173,474,256,97,1167,319,260,208,207,983,9.31,47.85,25.93,98.79,0.03,0.71,0.34,0.05,0.03,0.79,38,12.4,21.95,11.65,2.32,19.4
"20091",451086,181612,283849,33641,68670,29883,24083,202034,36038,30729,20528,14377,45069,11.96,67.47,9.99,91.11,2.61,3.98,0.33,2.83,0.03,3.12,20,5.09,27.08,3.44,2.31,3.88
"20093",4531,1657,2473,400,898,385,247,1859,295,246,178,151,504,13.95,69.68,11.12,80.34,0.55,26.55,0.86,0.31,0.09,17.94,26,24.19,34.3,11.71,2.93,6.94
"20095",8673,3852,4598,528,1379,664,307,3115,574,514,410,456,1697,11.2,57.9,19.57,97.45,0.21,1.44,0.58,0.24,0.02,1.52,31,15.3,27.42,10.61,1.42,12.49
"20097",3278,1643,1792,181,454,246,176,1137,255,240,159,153,699,12.87,54.06,21.32,97.19,0.21,2.04,0.61,0.27,0,1.71,38,14.82,24.01,10.75,3.36,16.92
"20099",22835,10306,12999,1412,3376,1803,1266,8953,1521,1463,1229,921,3960,13.44,60.18,17.34,89.28,4.66,3.07,1.95,0.32,0.01,3.8,43,17.01,25.73,12.65,3.57,10.79
"20101",2155,1065,1166,114,308,167,75,772,153,142,115,110,441,11.23,55.41,20.46,97.73,0,1.44,0.05,0.09,0.05,2.13,29,11.54,25.43,8.18,1.92,14.55
"20103",68691,24401,43591,4775,10451,4914,3856,31472,5354,4305,3152,2416,6766,12.77,67.98,9.85,84.18,10.42,3.81,0.74,1.06,0.13,3.59,29,13.49,26.69,6.65,3.36,5.45
"20105",3578,1853,1896,185,475,253,125,1196,300,224,181,175,842,10.56,51.87,23.53,98.3,0.11,1.03,0.48,0.11,0,1.01,34,15.03,23.48,9.72,2.4,17.49
"20107",9570,4720,5423,603,1339,675,420,3420,707,674,587,490,1750,11.44,56.03,18.29,97.5,0.63,0.91,0.48,0.14,0.04,1.25,38,19.06,25.05,11.04,5.5,19.34
"20109",3046,1423,1640,195,430,230,138,1110,218,181,131,149,632,12.08,56.96,20.75,96.72,0.59,1.64,0.16,0.2,0,2.33,32,13.27,25.41,7.34,3.76,12.65
"20111",35935,14757,22502,2473,5098,3417,4095,17304,2325,1917,1497,1138,4183,20.9,69.22,11.64,83.27,2.27,16.72,0.47,2.04,0.01,11.95,29,18.15,25.74,14.53,5.99,7.22
"20113",29554,11830,16942,1747,4238,2598,1965,12020,2146,1768,1381,1145,5109,15.44,60.92,17.29,96.53,0.81,1.94,0.34,0.32,0.06,2,27,14.05,25.39,6.65,4.11,5.28
"20115",13361,5882,7230,730,1941,1027,660,4831,901,772,709,653,2824,12.63,56.15,21.14,97.06,0.47,1.92,0.59,0.19,0.01,1.69,35,15.61,24.75,8.3,2.87,13.06
"20117",10965,4999,5813,543,1578,871,472,3929,813,631,560,497,2414,12.25,55.18,22.02,98.14,0.23,0.76,0.36,0.19,0.02,1.08,34,14.95,24.97,9.18,3.47,10.82
"20119",4631,1968,2433,368,776,328,213,1769,306,208,172,201,831,11.68,62.9,17.94,91.1,0.39,10.9,0.54,0.22,0,7.75,27,19.69,29.52,9.34,2.91,12.2
"20121",28351,10984,17053,1944,4522,2209,1308,11946,2180,1764,1471,1146,3378,12.41,64.94,11.91,95.96,1.54,1.59,0.52,0.17,0.01,1.81,31,12.5,27.94,5.54,2.49,5.64
"20123",6932,3340,3753,352,965,685,285,2533,493,460,350,297,1482,13.99,55.54,21.38,97.61,0.52,0.88,0.4,0.3,0.03,1.17,29,11.86,24.48,9.52,4.19,14.67
"20125",36252,17207,20540,2189,5144,2908,1952,13832,2547,2272,2036,1599,6633,13.41,58.38,18.3,85.77,6.07,3.08,3.19,0.47,0.02,4.49,42,18.75,25.04,12.56,4.73,13.39
"20127",6104,3160,3280,347,895,440,198,2096,481,384,338,280,1283,10.45,54.69,21.02,97.49,0.34,2.23,0.33,0.23,0.02,1.61,32,15.27,25.25,8.98,2.9,19.65
"20129",3496,1519,1983,283,566,283,174,1409,213,208,172,158,487,13.07,64.59,13.93,88.39,0.2,14.1,1.14,1.06,0,9.21,27,18.11,29.35,10.5,3.77,14.02
"20131",10717,4340,5301,765,1707,824,402,3808,673,526,443,436,2359,11.44,58.6,22.01,98.35,0.49,0.71,0.23,0.1,0.06,0.82,29,16.27,28.52,9.11,1.88,8.78
"20133",16997,7461,9656,1018,2489,1430,935,6686,1141,1056,825,802,2980,13.91,59.97,17.53,94.9,0.87,2.91,0.98,0.32,0.02,2.94,37,16.55,25.66,12.97,4.94,9.68
"20135",3454,1835,1826,177,430,251,93,1174,269,205,174,188,837,9.96,51.56,24.23,98.23,0.06,1.51,0.23,0.09,0,1.39,33,15.57,22.9,8.73,1.8,17.38
"20137",5953,2673,3476,285,754,387,347,2419,408,360,302,260,1165,12.33,58.09,19.57,93.35,4.05,2.37,0.44,0.42,0.02,1.75,32,15.15,22.04,10.45,4,15.23
"20139",16712,7018,9545,1082,2600,1211,703,6422,1217,1045,895,803,2648,11.45,60.46,15.84,97.27,0.22,1.53,0.65,0.17,0.1,1.69,36,14.46,27.04,8.35,3.52,7.52
"20141",4452,2419,2248,205,643,312,146,1452,323,241,242,202,1144,10.29,51.66,25.7,98.61,0.07,0.38,0.22,0.2,0.02,0.9,35,15.15,23.81,10.38,3.69,19.8
"20143",6163,2755,3493,349,893,486,211,2341,472,381,350,291,1086,11.31,58.14,17.62,97.53,0.54,1.3,0.37,0.13,0.02,1.43,32,13.84,25.7,8.56,4.38,11.8
"20145",7233,3114,4145,407,923,608,340,2785,591,451,392,344,1340,13.11,56.89,18.53,90.96,5,4.16,0.95,0.57,0,2.52,48,15.2,24.17,11.77,11.99,12.04
"20147",6001,3088,3219,332,840,423,216,2030,445,421,310,312,1311,10.65,53.36,21.85,98.25,0.25,0.67,0.3,0.45,0,0.75,33,15.64,24.51,9.97,2.15,19.17
"20149",18209,7311,10392,1351,3024,1475,925,7449,1321,1107,815,691,2451,13.18,64.93,13.46,96.32,0.66,2.26,0.59,0.32,0.01,2.1,27,10.79,29.47,9.75,3.09,7.39
"20151",9647,4633,5432,570,1292,898,515,3732,776,535,454,437,1851,14.65,57.99,19.19,95.28,0.98,3.09,0.35,0.55,0.03,2.83,31,13.75,24.51,9.4,4.62,14.46
"20153",2966,1565,1495,134,406,225,61,924,231,188,174,151,758,9.64,49.36,25.56,98.52,0.3,0.81,0.3,0.1,0,0.78,37,15.33,24.04,12.54,2.01,18.91
"20155",64790,27625,38320,4138,8763,4934,4044,26423,4813,4051,3211,2773,10618,13.86,60.69,16.39,91.56,2.88,5.65,0.58,0.45,0.04,4.53,34,17.26,24.47,10.92,4.59,7.7
"20157",5835,3113,3010,264,741,402,156,1846,444,379,325,313,1523,9.56,48.86,26.1,98.56,0.26,0.94,0.21,0.19,0,0.79,33,11.37,22.31,9.09,2.44,17.86
