"GEOID","TotPop","TotVetPop","TotUnits","WhiteP","BlackP","AmIndP","AsianP","PacIsP","OtherP","HispP","A15_24P","Und45P","Ovr65P","Age0_4","Age5_14","Age15_19","Age20_24","Age15_44","Age45_49","Age50_54","Age55_59","Age60_64","AgeOv65","Age18_64","DisbP","NoHsP","VetP","UnempP","PovP","MedInc","PciE","GiniCoeff","VacP","ChildrenP"
"20189",5724,397,2300,87.09,0.28,0.86,0.26,0.02,11.5,19.01,13.12,63.26,13.14,485,967,442,309,2169,405,387,319,240,752,3221,9.2,17.56,10.14,3.46,11.96,26354,25109,0.4115,13.74,30.59
"20191",24132,2201,10865,94.09,0.95,1.17,0.23,0.02,3.54,2.75,11.92,55.25,15.69,1608,3541,1689,1188,8185,1780,2114,1745,1373,3786,14032,15.3,8.62,12.41,6.17,13.49,24769,23246,0.4026,14.79,26.16
"20193",7900,564,3537,95.05,0.62,0.46,0.48,0.08,3.32,2.85,17.66,58.3,15.39,518,990,747,648,3098,528,603,571,376,1216,4840,15.2,10.25,9.39,2.53,10.34,25981,25942,0.4581,11.31,23.34
"20195",3001,343,1695,97.27,0.43,0.2,0.23,0.07,1.8,0.73,9.66,43.02,23.43,135,330,196,94,826,238,298,277,194,703,1699,11.7,9.69,14.87,1.21,6.66,23032,22434,0.371,27.79,19.96
"20197",7053,614,3223,96.53,0.41,0.51,0.14,0,2.41,1.52,9.85,52.73,15.75,465,1041,427,268,2213,580,646,535,462,1111,4150,11.9,4.39,11.71,4.24,6.82,28339,23532,0.3407,18.03,25.41
"20199",1485,100,785,93.94,0.13,0.47,0.07,0,5.39,4.31,11.78,49.49,20.4,82,206,119,56,447,116,131,105,95,303,808,11.1,10.04,8.92,0.67,8.43,24375,23692,0.3975,23.69,25.19
"20201",5799,561,2973,97.12,0.43,0.24,0.33,0,1.88,1.41,9.86,48.18,23.16,339,732,361,211,1723,425,461,398,378,1343,3128,16.7,10.43,12.43,3.27,9.87,23744,22060,0.3887,16.82,22.9
"20203",2234,170,1049,88.27,0.85,0.49,0.13,0,10.25,14.55,9.27,55.06,17.95,165,340,135,72,725,138,180,170,115,401,1225,7.5,21.66,10.74,3.86,9.36,27285,24533,0.3643,13.44,27.22
"20205",9409,763,4697,95.6,0.33,1.05,0.38,0.05,2.58,1.25,10.96,51.98,19.27,611,1245,603,428,3035,633,778,686,608,1813,5303,20.7,19.25,10.74,7.11,15.19,19789,19454,0.3886,19.59,24.37
"20207",3309,349,2017,95.53,0.36,1.12,0.06,0,2.93,0.85,8.52,45.6,22.67,178,387,147,135,944,237,284,290,239,750,1901,20.6,9.95,13.22,8.01,23.22,19601,21615,0.47,24.44,19.89
"20209",157505,10572,66810,54.64,25.23,0.82,2.51,0.11,16.69,15.89,13.98,65.5,10.67,13712,23825,11153,10859,65623,10620,10560,9063,7297,16805,96265,14.3,21.42,9.38,11.41,23.4,22164,19216,0.4391,14.15,28.21
"21001",18656,1360,8525,94.85,2.7,0.19,0.24,0.03,1.99,1.04,16.16,57.58,15.32,1169,2259,1609,1405,7315,1398,1281,1225,1150,2859,11591,18.1,27.66,9.4,9.74,20.64,16710,16824,0.4545,15.12,22.55
"21003",19956,1576,9263,97.02,0.82,0.29,0.16,0,1.71,0.81,12.8,58.02,14.69,1346,2654,1421,1133,7578,1474,1428,1293,1252,2931,12138,18.2,25.5,10.4,11.95,19.73,19111,17827,0.4317,13.85,24.49
"21005",21421,1579,9138,95.5,2.02,0.14,0.49,0.02,1.82,0.74,11.83,59.98,12.04,1433,3042,1469,1065,8374,1776,1538,1462,1217,2579,13396,14.7,12.64,9.82,7.02,11.46,27778,24846,0.3846,8.42,25.42
"21007",8249,755,3896,94.65,2.89,0.17,0.18,0.01,2.1,0.67,11.5,53.58,17.58,431,1055,543,406,2934,581,656,590,552,1450,4971,16.5,18.23,11.67,7.86,13.21,21896,24778,0.4606,13.27,22.16
"21009",42173,2583,19166,92.47,3.87,0.21,0.43,0.08,2.94,1.57,11.97,57.09,15.41,2756,5649,2812,2238,15672,3136,3193,2720,2547,6500,25457,18.4,21.24,8.07,6.98,19.92,20022,19613,0.4417,12.09,24.22
"21011",11591,624,5398,96.41,1.31,0.25,0.15,0.06,1.82,0.76,11.53,57,14.72,820,1561,760,577,4226,887,850,819,722,1706,7019,23.7,25.43,7.12,12.18,30.38,14915,15985,0.4706,18.1,24.73
"21013",28691,1725,13195,95.55,2.24,0.17,0.27,0.05,1.71,0.44,13.07,55.49,15.71,1589,3445,1986,1764,10888,2212,2103,1988,1958,4508,17954,25.5,32.99,7.73,11.93,33.47,14621,15140,0.4967,17.54,21.71
"21015",118811,8550,46196,91.78,2.52,0.19,2.13,0.08,3.29,2.15,11.96,64.46,9.52,9019,19298,7927,6281,48269,9270,8509,7177,5956,11313,73919,10,8.35,9.97,5.96,8.28,31475,28640,0.3939,7.75,28.26
"21017",19985,1516,8956,88.09,5.99,0.21,0.32,0.01,5.38,4.13,11.84,56,15.26,1239,2694,1334,1033,7259,1584,1504,1361,1295,3049,12123,16.1,16.91,9.95,8.98,17.69,21861,22809,0.4649,11,24.08
"21019",49542,4537,21819,94.67,2.83,0.22,0.45,0.01,1.82,1.01,11.09,54.44,16.64,2906,5820,3003,2489,18247,3641,3949,3569,3168,8242,30707,20.1,14.2,11.71,9.52,19.19,20473,23049,0.4805,10.13,21.38
"21021",28432,2204,12329,88.23,7.46,0.19,0.76,0.02,3.33,1.73,14.86,56.01,16.21,1519,3456,2192,2032,10949,2069,2032,1966,1833,4608,17666,17.3,15.16,9.9,8.75,17.49,19567,23009,0.4672,9.62,21.66
"21023",8488,564,3852,97.79,0.34,0.2,0.06,0.01,1.6,0.64,12.36,58.08,13.65,569,1227,583,466,3134,698,638,581,482,1159,5177,17.3,22.33,8.86,6.86,18,23505,20788,0.4508,16.12,25.35
"21025",13878,651,6276,98.26,0.31,0.14,0.49,0.09,0.71,0.36,13.58,56.99,13.45,846,1653,1103,782,5410,1096,1072,1030,905,1866,8792,29.8,35.43,6.03,10.55,31.42,13698,15458,0.5052,15.6,23.2
"21027",20059,1565,10620,95.75,2.04,0.32,0.21,0.01,1.68,0.49,11.39,54.26,15.61,1221,2795,1299,985,6869,1570,1594,1495,1384,3131,12078,20.2,22.94,10.33,12.85,21.45,19558,17868,0.4088,30.27,24.18
"21029",74319,6152,29417,96.84,0.65,0.32,0.5,0.03,1.66,0.82,12.58,60.44,11.15,4647,10739,5296,4052,29535,6165,5795,4785,4366,8287,47249,14.7,15.92,11.04,8.42,10.19,27318,23952,0.377,5.53,25.27
"21031",12690,876,5884,96.95,0.38,0.28,0.16,0,2.23,1.77,12.08,56.32,15.8,799,1630,778,755,4718,957,960,871,750,2005,7759,17.6,25.85,8.99,9.53,22.66,19634,17607,0.4356,14.14,23.06
"21033",12984,1039,6291,92.76,5.14,0.15,0.25,0.02,1.68,0.57,11.54,52.76,17.82,788,1559,841,657,4504,934,979,959,947,2314,7785,21.3,15.97,10.3,9.55,21.38,18240,20039,0.4541,19.06,22.22
"21035",37191,2679,18035,91.98,3.74,0.23,1.77,0.03,2.25,1.62,24.04,61.22,15.11,1942,3610,3307,5635,17217,2263,2249,2173,2117,5620,24859,13.3,13.79,8.81,9,18.18,18603,21269,0.4583,16.84,18.05
"21037",90336,6240,39497,94.33,2.53,0.14,0.83,0.02,2.14,1.09,14.96,60.27,12.79,5783,11291,6538,6973,37369,6769,6874,5883,4810,11557,58179,13,12.28,8.97,7.33,12.44,27456,27063,0.4298,10.79,22.8
"21039",5104,386,2447,97.2,0.76,0.55,0.27,0,1.21,1,11.03,52.96,18.91,323,627,309,254,1753,370,373,359,334,965,2985,15,16.34,9.8,6.86,15.08,20843,20790,0.3952,14.79,22.61
"21041",10811,781,4694,92.08,1.51,0.26,0.55,0.02,5.58,4.69,12.55,59.93,12.9,805,1446,742,615,4228,833,794,674,636,1395,6698,18.7,25.73,9.62,13.15,27.78,20794,20547,0.4582,9.08,25.14
"21043",27720,1881,12290,97.77,0.53,0.24,0.18,0.02,1.26,0.68,13.53,57.59,14.86,1747,3552,2032,1718,10665,2025,2006,1805,1801,4119,17097,19.4,25.24,8.87,8.87,20.36,17120,18992,0.455,15.28,23.46
"21045",15955,1102,7483,97.18,0.53,0.2,0.19,0.03,1.87,1.38,11.81,55.71,16.13,995,2086,1018,867,5807,1131,1134,1113,1116,2573,9617,19.7,34.09,9.09,7.63,27.39,16296,15660,0.4482,17.65,23.6
"21047",73955,7182,29452,71.52,21.24,0.58,1.02,0.39,5.24,3.52,17.6,70.02,10.27,7243,11129,4967,8047,33410,4059,3896,3644,2981,7593,45287,14,15.58,15.69,9.93,21.28,22498,18718,0.4365,11.38,28.5
