"","marks","mx","my"
"460","MOUD - Buprenorphine",338607.45836494,4186380.42480076
"461","MOUD - Naltrexone",370655.285599662,4696058.63355463
"462","MOUD - Buprenorphine",433083.85861356,4576569.99159741
"463","MOUD - Buprenorphine",445688.672872539,4593896.27930742
"464","MOUD - Buprenorphine",395938.4331498,4654082.48128241
"465","MOUD - Methadone",277153.232550216,4408595.82650424
"466","MOUD - Buprenorphine",407933.672696402,4610973.72185889
"467","MOUD - Naltrexone",333428.049580513,4481823.04258264
"468","MOUD - Buprenorphine",305729.441672217,4578779.17188116
"469","MOUD - Buprenorphine",226486.428919018,4295282.17493852
"470","MOUD - Buprenorphine",334340.737940381,4701694.69718301
"471","MOUD - Buprenorphine",272318.477377356,4230872.90008518
"472","MOUD - Buprenorphine",445038.426648145,4612628.54399721
"473","MOUD - Buprenorphine",319929.775090216,4685682.08603564
"474","MOUD - Buprenorphine",396966.579131592,4560808.63006239
"475","MOUD - Buprenorphine",400444.092969874,4607375.37679946
"476","MOUD - Buprenorphine",392837.477020056,4596032.90200384
"477","MOUD - Buprenorphine",249570.736239445,4260101.01747204
"478","MOUD - Buprenorphine",362122.848336431,4688410.12152174
"479","MOUD - Naltrexone",423346.575018955,4582825.70270323
"480","MOUD - Methadone",420214.835916689,4681543.53179558
"481","MOUD - Buprenorphine",421280.995268528,4664985.30644261
"482","MOUD - Buprenorphine",391177.816613844,4620213.94348136
"483","MOUD - Buprenorphine",344353.081771222,4687204.97942367
"484","MOUD - Buprenorphine",366941.059095957,4612632.93500291
"485","MOUD - Naltrexone",386804.582044355,4554397.12540145
"486","MOUD - Methadone",253336.481791304,4632245.95769925
"487","MOUD - Buprenorphine",370724.174508629,4641021.15112538
"488","MOUD - Methadone",410922.955989654,4688235.52415127
"489","MOUD - Buprenorphine",453369.307407089,4618879.08242849
"490","MOUD - Naltrexone",414941.950314431,4690450.49270538
"491","MOUD - Naltrexone",426012.356286839,4551452.61507982
"492","MOUD - Naltrexone",436862.820887731,4653827.17774324
"493","MOUD - Naltrexone",363955.256878546,4528562.2099069
"494","MOUD - Methadone",381036.645545742,4542971.04100539
"495","MOUD - Buprenorphine",439266.38269315,4617936.49504963
"496","MOUD - Buprenorphine",153599.709248542,4427303.29776941
"497","MOUD - Naltrexone",376385.376799667,4254228.59896658
"498","MOUD - Naltrexone",317339.220492961,4519179.27774385
"499","MOUD - Buprenorphine",375947.8792112,4341586.25014156
"500","MOUD - Buprenorphine",380580.311995282,4244695.49211771
"501","MOUD - Naltrexone",343401.375701606,4425813.08947439
"502","MOUD - Naltrexone",329674.888168037,4467737.00043982
"503","MOUD - Buprenorphine",388106.542525983,4488246.63900755
"504","MOUD - Buprenorphine",419281.161586031,4566162.07301218
"505","MOUD - Buprenorphine",265714.72536335,4369608.1107374
"506","MOUD - Methadone",153920.350699796,4414722.49603984
"507","MOUD - Buprenorphine",304700.997248876,4645063.15313263
"508","MOUD - Naltrexone",222624.439574879,4263296.51890873
"509","MOUD - Buprenorphine",239251.301712923,4515532.28866844
"510","MOUD - Naltrexone",360370.88234244,4144272.84682371
"511","MOUD - Buprenorphine",285424.277259808,4138223.86079267
"512","MOUD - Buprenorphine",203458.542565436,4513931.04094074
"513","MOUD - Buprenorphine",279147.325059419,4697848.74834224
"514","MOUD - Buprenorphine",366791.66857711,4384829.86834521
"515","MOUD - Buprenorphine",311120.869342268,4647753.19135374
"516","MOUD - Buprenorphine",332393.900782924,4613785.26661921
"517","MOUD - Naltrexone",405780.477836523,4197872.26904035
"518","MOUD - Buprenorphine",201287.232905019,4359792.90041346
"519","MOUD - Naltrexone",323215.171293359,4620791.57412112
"520","MOUD - Buprenorphine",245901.489483992,4245981.69400433
"521","MOUD - Buprenorphine",430780.26402082,4445194.32437269
"522","MOUD - Buprenorphine",325485.145981562,4676192.91910356
"523","MOUD - Buprenorphine",307885.827234305,4240151.17001289
"524","MOUD - Buprenorphine",170395.406096,4564661.13196684
"525","MOUD - Buprenorphine",179342.631492435,4483376.68010243
"526","MOUD - Buprenorphine",256646.361782772,4683173.93908547
"527","MOUD - Buprenorphine",345569.473151272,4304198.71925034
"528","MOUD - Methadone",419520.337090459,4372973.51782349
"529","MOUD - Buprenorphine",454722.979496567,4289243.16808768
"530","MOUD - Buprenorphine",317834.34617707,4253085.67035546
"531","MOUD - Buprenorphine",427413.400705916,4506277.49108593
"532","MOUD - Buprenorphine",331250.808283304,4321840.9431129
"533","MOUD - Buprenorphine",437996.574430845,4312922.07111924
"534","MOUD - Naltrexone",289567.74412379,4521645.37753241
"535","MOUD - Buprenorphine",274700.899520485,4566084.89009461
"536","MOUD - Naltrexone",324566.203434855,4472858.39862195
"537","MOUD - Buprenorphine",233617.40339488,4307794.25285525
"538","MOUD - Buprenorphine",355991.650797113,4564578.80350223
"539","MOUD - Buprenorphine",169297.84835476,4521148.56789675
"540","MOUD - Naltrexone",251453.062711823,4520715.62780155
"541","MOUD - Buprenorphine",287388.257898019,4216867.27579653
"542","MOUD - Buprenorphine",430100.905568378,4516444.82893715
"543","MOUD - Methadone",255494.070965034,4602792.4434779
"544","MOUD - Methadone",384256.831886046,4397911.43559561
"545","MOUD - Naltrexone",405368.327044321,4517536.44358068
"546","MOUD - Buprenorphine",258939.506558724,4389044.06129277
"547","MOUD - Buprenorphine",205117.835671519,4521170.82866676
"548","MOUD - Naltrexone",304385.046513867,4547247.9309869
"549","MOUD - Methadone",202756.289253139,4565090.84227987
"550","MOUD - Buprenorphine",342007.252869944,4207646.4002931
"551","MOUD - Buprenorphine",248434.962017915,4360636.54519488
"552","MOUD - Naltrexone",288283.210792999,4334455.43665513
"553","MOUD - Buprenorphine",360228.265573661,4540279.96428766
"554","MOUD - Buprenorphine",346559.047059896,4593756.3523229
"555","MOUD - Naltrexone",263607.541338662,4374895.14354449
"556","MOUD - Buprenorphine",399329.878054752,4198367.38107345
"557","MOUD - Naltrexone",288856.314031568,4394081.81324647
"558","MOUD - Naltrexone",247494.077775703,4206618.50763507
"559","MOUD - Buprenorphine",127553.969082975,4469894.72101852
"560","MOUD - Buprenorphine",216177.812596105,4226434.30515678
"561","MOUD - Naltrexone",306278.328870759,4449231.45107625
"562","MOUD - Buprenorphine",319057.887241973,4164752.30766364
"563","MOUD - Methadone",396603.999048303,4515136.83920571
"564","MOUD - Buprenorphine",247707.554322503,4507019.32323095
"565","MOUD - Buprenorphine",289325.587526926,4544741.18758721
"566","MOUD - Buprenorphine",344642.72813615,4258577.42818091
"567","MOUD - Naltrexone",135214.660957908,4420406.73758558
"568","MOUD - Naltrexone",444664.481219601,4428876.09981097
"569","MOUD - Buprenorphine",423147.04097068,4399148.27616825
"570","MOUD - Buprenorphine",263852.013648831,4638550.4687132
"571","MOUD - Buprenorphine",248937.709042986,4488641.28974259
"572","MOUD - Buprenorphine",293430.601406012,4247735.29770718
"573","MOUD - Buprenorphine",267608.445716468,4526975.91052249
"574","MOUD - Methadone",385986.010226562,4224519.46811687
"575","MOUD - Naltrexone",204692.812113822,4561442.1168399
"576","MOUD - Buprenorphine",315914.049204862,4557546.31666618
"577","MOUD - Methadone",242091.8914619,4401872.1181651
"578","MOUD - Naltrexone",295004.875399374,4215907.36505307
"579","MOUD - Buprenorphine",316653.418624082,4302006.72845506
"580","MOUD - Buprenorphine",285626.695653674,4347700.31814223
"581","MOUD - Buprenorphine",280523.465408054,4379817.468755
"582","MOUD - Buprenorphine",419572.133343055,4338107.19922006
"583","MOUD - Methadone",393037.639937101,4187476.09764949
"584","MOUD - Buprenorphine",190737.846881293,4326280.66719321
"585","MOUD - Buprenorphine",193043.895657092,4563358.43187909
"586","MOUD - Buprenorphine",427002.722140547,4351787.81339532
"587","MOUD - Buprenorphine",368985.241893241,4317523.43877976
"588","MOUD - Methadone",438551.68906668,4468014.00563155
"589","MOUD - Naltrexone",390849.415563443,4428432.59699949
"590","MOUD - Naltrexone",222126.376669484,4527802.99989641
"591","MOUD - Buprenorphine",452251.133611743,4424575.28417472
"592","MOUD - Methadone",327467.367004769,4313787.8762353
"593","MOUD - Buprenorphine",236650.148152028,4632294.32790618
"594","MOUD - Buprenorphine",189442.205804092,4408315.85046726
"595","MOUD - Buprenorphine",239229.197725948,4220939.14031029
"596","MOUD - Buprenorphine",280248.479360847,4595748.7276227
"597","MOUD - Buprenorphine",171369.544830074,4553511.70300808
"598","MOUD - Naltrexone",341685.774846695,4316327.51012621
"599","MOUD - Buprenorphine",438180.403616374,4325677.53455211
"600","MOUD - Buprenorphine",314117.278533398,4294764.23027118
"601","MOUD - Buprenorphine",184339.901700735,4595221.10277568
"602","MOUD - Methadone",396319.901868945,4319302.85609946
"603","MOUD - Naltrexone",299307.955924309,4659897.53429217
"604","MOUD - Buprenorphine",287760.219695245,4515792.2437689
"605","MOUD - Naltrexone",193398.822969654,4463230.04187423
"606","MOUD - Buprenorphine",401368.171098824,4216358.14777109
"607","MOUD - Buprenorphine",334448.784195727,4139571.50692913
"608","MOUD - Naltrexone",224804.055983524,4694889.0770578
"609","MOUD - Naltrexone",387051.318697544,4521996.62837572
"610","MOUD - Buprenorphine",289525.192047382,4152388.71952035
"611","MOUD - Buprenorphine",243447.42071434,4595728.1239641
"612","MOUD - Buprenorphine",202849.611855544,4537632.46771867
"613","MOUD - Buprenorphine",239285.407638928,4395597.96657449
"614","MOUD - Buprenorphine",232945.068380007,4319761.52796462
"615","MOUD - Buprenorphine",243504.953676344,4356549.22429873
"616","MOUD - Buprenorphine",320463.831997885,4517151.5402631
"617","MOUD - Buprenorphine",389413.212429207,4147155.98117585
"618","MOUD - Buprenorphine",415863.045877754,4416354.83996735
"619","MOUD - Buprenorphine",244940.102551838,4538251.20285616
"620","MOUD - Buprenorphine",218541.205020351,4579105.85173763
"621","MOUD - Naltrexone",347106.654721774,4125208.71964538
"622","MOUD - Buprenorphine",263799.169734061,4573368.98710628
"623","MOUD - Naltrexone",393445.201186929,4246429.13555347
"624","MOUD - Naltrexone",219205.566294468,4589658.40242602
"625","MOUD - Buprenorphine",341264.534142626,4398533.83179652
"626","MOUD - Buprenorphine",396324.235337315,4527766.52053419
"627","MOUD - Buprenorphine",303883.516356916,4639890.69214336
"628","MOUD - Buprenorphine",371116.666477673,4355396.53011396
"629","MOUD - Buprenorphine",146211.955861979,4480625.04503313
"630","MOUD - Methadone",257640.995656499,4333733.9679596
"631","MOUD - Naltrexone",203338.575073435,4395576.08895746
"632","MOUD - Methadone",333336.25892098,4529133.45141268
"633","MOUD - Buprenorphine",393185.016646351,4402850.40555353
"634","MOUD - Methadone",319170.484221552,4305249.99144472
"635","MOUD - Naltrexone",255418.855862543,4529189.5599079
"636","MOUD - Buprenorphine",391721.962459897,4149321.93529267
"637","MOUD - Naltrexone",450215.507170712,4581367.01093925
"638","MOUD - Buprenorphine",384560.755408426,4196184.61231928
"639","MOUD - Naltrexone",409114.175991403,4561122.04534018
"640","MOUD - Buprenorphine",403822.200527497,4324818.17905773
"641","MOUD - Naltrexone",352841.361554846,4562650.33448752
"642","MOUD - Buprenorphine",420905.369930778,4500093.64832025
"643","MOUD - Methadone",359427.049354818,4404950.18285444
"644","MOUD - Methadone",267189.319490638,4302873.74340654
"645","MOUD - Buprenorphine",358165.417559926,4517116.11280638
"646","MOUD - Buprenorphine",408785.713394703,4252575.39402386
"647","MOUD - Buprenorphine",197429.013645974,4541451.08353387
"648","MOUD - Buprenorphine",439930.703849987,4418856.83379757
"649","MOUD - Naltrexone",375720.534850323,4472282.46047584
"650","MOUD - Buprenorphine",250923.764182307,4616225.97384131
"651","MOUD - Buprenorphine",436411.82524632,4284460.95755423
"652","MOUD - Buprenorphine",244609.761999629,4233511.3409112
"653","MOUD - Naltrexone",320612.873823978,4681674.77172572
"654","MOUD - Naltrexone",327045.512740391,4219366.00065029
"655","MOUD - Buprenorphine",192571.825296343,4420354.95386292
"656","MOUD - Buprenorphine",317364.693339309,4155088.99868993
"657","MOUD - Buprenorphine",266741.503836491,4394153.13488896
"658","MOUD - Buprenorphine",334985.925249927,4442990.65973191
"659","MOUD - Naltrexone",254606.865937961,4607585.63273464
"660","MOUD - Buprenorphine",279443.626366594,4535404.21370613
"661","MOUD - Buprenorphine",309784.621143046,4650409.68747861
"662","MOUD - Buprenorphine",283693.369346827,4465867.00137614
"663","MOUD - Buprenorphine",119296.667774658,4448698.32908637
"664","MOUD - Buprenorphine",176508.226145252,4462122.32183703
"665","MOUD - Buprenorphine",192104.965826997,4324957.26387608
"666","MOUD - Methadone",191529.976923677,4521244.26795352
"667","MOUD - Buprenorphine",234675.472728466,4464143.94270345
"668","MOUD - Methadone",195538.953513899,4465047.99265381
"669","MOUD - Buprenorphine",209603.148217739,4489654.78109386
