"","GEOID","totPop19","engProf19"
"162","05101",7461,0
"163","05103",22382,0.00201054418729336
"164","05105",9775,0
"165","05107",17217,0.000580821281291747
"166","05109",10182,0.0130622667452367
"167","05111",22365,0.00143080706460988
"168","05113",18915,0.0115781126090404
"169","05115",59777,0.0216471218027
"170","05117",7747,0
"171","05119",366675,0.0162050862480398
"172","05121",16628,0.00360837142169834
"173","05123",24234,0.00437401997194025
"174","05125",112433,0.0105929753719993
"175","05127",9635,0.0146341463414634
"176","05129",7525,0.00252491694352159
"177","05131",119180,0.0354673602953516
"178","05133",15718,0.0829622089324342
"179","05135",16295,0.001472844430807
"180","05137",11905,0.000503989920201596
"181","05139",36818,0.00684447824433701
"182","05141",15862,0.00239566258983735
"183","05143",216280,0.0380941372295173
"184","05145",73880,0.00916350839198701
"185","05147",6154,0
"186","05149",20093,0.0540486736674464
"187","06001",1559905,0.0793157275603322
"188","06003",995,0.021105527638191
"189","06005",36902,0.0119505717847271
"190","06007",213433,0.0251038967732263
"191","06009",43612,0.00763551316151518
"192","06011",19878,0.148556192775933
"193","06013",1076802,0.0643925252739129
"194","06015",25963,0.0165235142317914
"195","06017",179893,0.0158260743886644
"196","06019",906810,0.116206261510129
"197","06021",25927,0.0994330234890269
"198","06023",128705,0.0150421506545977
"199","06025",165621,0.20650762886349
"200","06027",16979,0.029919312091407
"201","06029",817372,0.104630449782963
"202","06031",139049,0.102740760451352
"203","06033",60464,0.0374437681926436
"204","06035",29390,0.0164001361007145
"205","06037",9470085,0.133616012950253
"206","06039",143822,0.130452920971757
"207","06041",247779,0.0379451043066604
"208","06043",16684,0.00935027571325821
"209","06045",82148,0.0450771777766957
"210","06047",250071,0.137380983800601
"211","06049",8463,0.0417109771948482
"212","06051",13810,0.0378711078928313
"213","06053",401907,0.182858223419846
"214","06055",132570,0.0803122878479294
"215","06057",95067,0.00736322803917237
"216","06059",2980221,0.0983403579801632
"217","06061",364992,0.0198004339821147
"218","06063",17852,0.00845843602957652
"219","06065",2253840,0.0819854115642637
"220","06067",1425477,0.064076796749439
"221","06069",56493,0.0905598923760466
"222","06071",1995247,0.0793956838426521
"223","06073",3106393,0.0678333359623203
"224","06075",835425,0.11249603495227
"225","06077",690215,0.0883623218852097
