FIPS,Fuel Type
480291810032,Electricity
480291810033,Electricity
480291810041,Electricity
480291810042,Electricity
480291810051,Electricity
480291810052,Electricity
480291810053,Electricity
480291811001,Gas
480291811002,Gas
480291811003,Gas
480291811004,Gas
480291812001,Gas
480291812002,Gas
480291812003,Gas
480291812004,Electricity
480291812005,Gas
480291813011,Electricity
480291813012,Electricity
480291813021,Electricity
480291813022,Electricity
480291813023,Gas
480291813031,Electricity
480291813032,Electricity
480291814021,Electricity
480291814022,Electricity
480291814031,Electricity
480291814032,Electricity
480291814033,Electricity
480291814041,Electricity
480291814042,Electricity
480291815031,Gas
480291815032,Electricity
480291815041,Electricity
480291815042,Electricity
480291815043,Gas
480291815044,Electricity
480291815051,Gas
480291815052,Gas
480291815053,Gas
480291815054,Gas
480291815061,Gas
480291815062,Electricity
480291815063,Electricity
480291816011,Electricity
480291816012,Electricity
480291816021,Electricity
480291816022,Electricity
480291816023,Electricity
480291816024,Electricity
480291817031,Electricity
480291817032,Electricity
480291817033,Gas
480291817041,Electricity
480291817042,Electricity
480291817043,Electricity
480291817044,Gas
480291817051,Electricity
480291817052,Electricity
480291817053,Electricity
480291817111,Electricity
480291817112,Electricity
480291817113,Electricity
480291817121,Electricity
480291817122,Electricity
480291817131,Electricity
480291817132,Electricity
480291817133,Gas
480291817134,Electricity
480291817151,Gas
480291817152,Electricity
480291817153,Electricity
480291817154,Electricity
480291817161,Electricity
480291817162,Electricity
480291817163,Electricity
480291817164,Electricity
480291817181,Gas
480291817182,Electricity
480291817183,Electricity
480291817201,Electricity
480291817202,Electricity
480291817211,Electricity
480291817212,Electricity
480291817221,Electricity
480291817222,Electricity
480291817223,Electricity
480291817231,Electricity
480291817232,Electricity
480291817233,Electricity
480291817241,Electricity
480291817242,Electricity
480291817251,Electricity
480291817252,Electricity
480291817261,Electricity
480291817262,Electricity
480291817263,Electricity
480291817271,Electricity
480291817272,Electricity
480291817281,Electricity
480291817282,Electricity
480291817291,Electricity
480291817301,Electricity
480291817302,Electricity
480291817311,Electricity
480291817312,Electricity
480291817313,Electricity
480291817314,Electricity
480291818081,Electricity
480291818091,Electricity
480291818092,Electricity
480291818093,Electricity
480291818094,Electricity
480291818111,Electricity
480291818112,Gas
480291818131,Electricity
480291818132,Electricity
480291818133,Electricity
480291818141,Electricity
480291818142,Electricity
480291818151,Gas
480291818152,Electricity
480291818161,Electricity
480291818162,Electricity
480291818171,Electricity
480291818172,Electricity
480291818181,Electricity
480291818182,Gas
480291818183,Electricity
480291818191,Electricity
480291818192,Electricity
480291818201,Electricity
480291818202,Electricity
480291818211,Electricity
480291818212,Electricity
480291818221,Electricity
480291818222,Gas
480291818223,Electricity
480291818231,Electricity
480291818241,Electricity
480291818242,Electricity
480291818251,Electricity
480291818252,Electricity
480291818261,Electricity
480291818262,Electricity
480291818263,Electricity
480291818264,Electricity
480291819011,Electricity
480291819012,Electricity
480291819021,Electricity
480291819022,Gas
480291820011,Electricity
480291820012,Gas
480291820021,Gas
480291820022,Gas
480291820023,Gas
480291820031,Gas
480291820032,Electricity
480291821011,Electricity
480291821012,Electricity
480291821013,Electricity
480291821021,Electricity
480291821022,Electricity
480291821023,Electricity
480291821031,Electricity
480291821051,Electricity
480291821061,Gas
480291821062,Electricity
480291901001,Electricity
480291901002,Electricity
480291901003,Gas
480291901004,Gas
480291902001,Electricity
480291902002,Electricity
480291902003,Electricity
480291902004,Electricity
480291902005,Gas
480291904001,Gas
480291904002,Electricity
480291904003,Gas
480291905011,Gas
480291905012,Gas
480291905013,Electricity
480291905031,Gas
480291905032,Gas
480291905033,Electricity
480291905041,Gas
480291905042,Gas
480291906011,Gas
480291906012,Electricity
480291906013,Gas
480291906031,Gas
480291906032,Gas
480291906041,Electricity
480291906042,Gas
480291906043,Gas
480291907001,Electricity
480291907002,Electricity
480291907003,Electricity
480291908001,Electricity
480291908002,Gas
480291909011,Electricity
480291909012,Gas
480291909013,Electricity
480291909014,Electricity
480291909015,Gas
480291909021,Electricity
480291909022,Gas
480291909023,Gas
480291910031,Gas
480291910032,Electricity
480291910033,Gas
480291910034,Electricity
480291910035,Gas
480291910041,Electricity
480291910042,Electricity
480291910043,Gas
480291910051,Gas
480291910052,Electricity
480291910061,Electricity
480291910062,Gas
480291910063,Electricity
