ZCTA,YEAR,TotalPop,NonrelatedHousehold,NonrelatedGroupDwelling,GroupQuarters,GroupQuarterPercent,NonrelatedHousePercent
00136,2014-2018,595,32,5,0,0.0,5.38
00136,2014-2018,1170,0,9,0,0.0,0.0
00137,2014-2018,4041,82,22,70,1.73,2.03
00137,2014-2018,4634,6,31,5,0.11,0.13
00137,2014-2018,3659,0,46,58,1.59,0.0
00137,2014-2018,5123,17,0,140,2.73,0.33
00137,2014-2018,773,0,2,0,0.0,0.0
00137,2014-2018,830,3,3,7,0.84,0.36
00142,2014-2018,40737,381,106,1911,4.69,0.94
00143,2014-2018,6253,40,0,220,3.52,0.64
00143,2014-2018,3215,26,23,0,0.0,0.81
00143,2014-2018,7762,88,0,0,0.0,1.13
00143,2014-2018,1875,0,0,1254,66.88,0.0
00143,2014-2018,3392,0,16,114,3.36,0.0
00143,2014-2018,711,0,0,3,0.42,0.0
00144,2014-2018,20555,86,61,1214,5.91,0.42
00145,2014-2018,11301,99,0,148,1.31,0.88
00145,2014-2018,4625,22,45,0,0.0,0.48
00145,2014-2018,4642,38,0,7,0.15,0.82
00145,2014-2018,41579,384,68,383,0.92,0.92
00146,2014-2018,9935,10,23,153,1.54,0.1
00146,2014-2018,11271,30,186,16,0.14,0.27
00146,2014-2018,12083,65,0,28,0.23,0.54
00146,2014-2018,7598,0,24,1497,19.7,0.0
00146,2014-2018,363,0,0,0,0.0,0.0
00146,2014-2018,4024,0,25,18,0.45,0.0
00146,2014-2018,7632,53,88,5,0.07,0.69
00147,2014-2018,7665,109,27,0,0.0,1.42
00147,2014-2018,1823,95,0,0,0.0,5.21
00147,2014-2018,10798,215,71,259,2.4,1.99
00150,2014-2018,16549,121,43,128,0.77,0.73
00150,2014-2018,3144,41,12,5,0.16,1.3
00150,2014-2018,9246,27,12,52,0.56,0.29
00150,2014-2018,4581,41,19,19,0.41,0.9
00150,2014-2018,3431,0,50,8,0.23,0.0
00150,2014-2018,13482,81,0,128,0.95,0.6
00151,2014-2018,13899,74,36,25,0.18,0.53
00151,2014-2018,2159,10,35,0,0.0,0.46
00151,2014-2018,8794,0,43,0,0.0,0.0
00151,2014-2018,3919,12,0,10,0.26,0.31
00151,2014-2018,6741,0,45,75,1.11,0.0
00152,2014-2018,15645,64,83,179,1.14,0.41
00152,2014-2018,2539,45,0,0,0.0,1.77
00152,2014-2018,3176,21,0,0,0.0,0.66
00152,2014-2018,7749,0,44,1327,17.12,0.0
00152,2014-2018,6902,49,33,401,5.81,0.71
00152,2014-2018,400,0,0,0,0.0,0.0
00152,2014-2018,13630,16,41,168,1.23,0.12
00152,2014-2018,3242,0,6,5,0.15,0.0
00153,2014-2018,1298,16,11,0,0.0,1.23
00153,2014-2018,14985,39,77,185,1.23,0.26
00153,2014-2018,6311,85,0,192,3.04,1.35
00153,2014-2018,4764,46,0,12,0.25,0.97
00153,2014-2018,7786,0,51,358,4.6,0.0
00153,2014-2018,2289,0,0,5,0.22,0.0
00154,2014-2018,11484,139,0,69,0.6,1.21
00154,2014-2018,3443,28,12,37,1.07,0.81
00154,2014-2018,2314,16,0,54,2.33,0.69
00154,2014-2018,8586,17,0,36,0.42,0.2
00154,2014-2018,36666,93,43,134,0.37,0.25
00155,2014-2018,16894,134,28,207,1.23,0.79
00156,2014-2018,4401,8,41,19,0.43,0.18
00156,2014-2018,294,0,0,0,0.0,0.0
00156,2014-2018,11913,113,97,86,0.72,0.95
00156,2014-2018,8052,0,0,166,2.06,0.0
00156,2014-2018,5618,26,0,6,0.11,0.46
00156,2014-2018,7762,121,0,27,0.35,1.56
00156,2014-2018,13939,17,47,64,0.46,0.12
00157,2014-2018,16971,37,79,330,1.94,0.22
00157,2014-2018,11682,112,0,1095,9.37,0.96
00158,2014-2018,18982,53,20,515,2.71,0.28
00158,2014-2018,7676,32,14,2495,32.5,0.42
00158,2014-2018,4574,0,15,188,4.11,0.0
00158,2014-2018,9775,120,37,113,1.16,1.23
00159,2014-2018,9385,39,0,10,0.11,0.42
00160,2014-2018,23854,119,124,1338,5.61,0.5
00160,2014-2018,19336,154,119,798,4.13,0.8
00160,2014-2018,37468,195,245,324,0.86,0.52
00160,2014-2018,28820,204,149,1472,5.11,0.71
00160,2014-2018,19729,195,56,656,3.33,0.99
00160,2014-2018,8583,189,0,53,0.62,2.2
00160,2014-2018,3639,0,77,168,4.62,0.0
00160,2014-2018,21142,252,28,4657,22.03,1.19
00161,2014-2018,23040,233,127,4579,19.87,1.01
00161,2014-2018,2241,0,19,0,0.0,0.0
00161,2014-2018,4870,21,9,507,10.41,0.43
00170,2014-2018,32570,31,61,643,1.97,0.1
00170,2014-2018,39149,174,269,2670,6.82,0.44
00171,2014-2018,813,0,0,0,0.0,0.0
00171,2014-2018,5794,0,12,0,0.0,0.0
00172,2014-2018,22684,60,84,183,0.81,0.26
00172,2014-2018,17576,84,84,74,0.42,0.48
00173,2014-2018,14053,61,18,328,2.33,0.43
00173,2014-2018,2061,0,0,76,3.69,0.0
00174,2014-2018,5236,0,0,31,0.59,0.0
00174,2014-2018,5186,20,26,0,0.0,0.39
00174,2014-2018,19350,106,22,1783,9.21,0.55
00174,2014-2018,588,0,12,0,0.0,0.0
00174,2014-2018,14634,51,0,56,0.38,0.35
00174,2014-2018,5951,0,0,90,1.51,0.0
00174,2014-2018,17178,0,18,100,0.58,0.0
00174,2014-2018,19868,181,217,37,0.19,0.91
00175,2014-2018,39776,111,89,579,1.46,0.28
00175,2014-2018,10600,0,0,24,0.23,0.0
00175,2014-2018,6068,0,0,23,0.38,0.0
00175,2014-2018,28862,350,75,194,0.67,1.21
00176,2014-2018,35763,205,36,383,1.07,0.57
00177,2014-2018,4301,0,13,0,0.0,0.0
00177,2014-2018,9486,10,32,157,1.66,0.11
00177,2014-2018,4775,0,0,5,0.1,0.0
00177,2014-2018,7098,44,0,5,0.07,0.62
00177,2014-2018,18940,12,22,180,0.95,0.06
00177,2014-2018,13970,55,41,55,0.39,0.39
00180,2014-2018,40350,118,309,324,0.8,0.29
00180,2014-2018,27059,190,36,65,0.24,0.7
00181,2014-2018,35609,146,65,1571,4.41,0.41
00182,2014-2018,33016,294,27,36,0.11,0.89
00182,2014-2018,25955,99,63,104,0.4,0.38
00182,2014-2018,31101,129,189,25,0.08,0.41
00182,2014-2018,3345,24,6,0,0.0,0.72
00183,2014-2018,26695,156,40,716,2.68,0.58
00183,2014-2018,23419,161,124,144,0.61,0.69
00183,2014-2018,8649,35,13,31,0.36,0.4
00183,2014-2018,6749,186,18,0,0.0,2.76
00183,2014-2018,13166,114,16,138,1.05,0.87
00184,2014-2018,5560,0,9,90,1.62,0.0
00184,2014-2018,48827,313,58,912,1.87,0.64
00184,2014-2018,25454,96,19,127,0.5,0.38
00184,2014-2018,50019,346,304,454,0.91,0.69
00184,2014-2018,30589,160,128,1199,3.92,0.52
00185,2014-2018,16267,19,25,173,1.06,0.12
00185,2014-2018,30574,333,412,191,0.62,1.09
00185,2014-2018,34939,81,170,905,2.59,0.23
00185,2014-2018,29561,181,68,3530,11.94,0.61
00186,2014-2018,6839,0,0,29,0.42,0.0
00186,2014-2018,10223,104,0,1326,12.97,1.02
00186,2014-2018,9131,16,0,44,0.48,0.18
00186,2014-2018,15642,62,19,142,0.91,0.4
00186,2014-2018,25048,18,62,191,0.76,0.07
00187,2014-2018,30807,111,105,661,2.15,0.36
00187,2014-2018,12345,23,0,19,0.15,0.19
00188,2014-2018,26648,97,58,420,1.58,0.36
00188,2014-2018,24194,53,55,11,0.05,0.22
00188,2014-2018,23658,90,60,280,1.18,0.38
00189,2014-2018,22677,56,12,279,1.23,0.25
00190,2014-2018,1759,0,0,75,4.26,0.0
00190,2014-2018,49172,551,324,584,1.19,1.12
00190,2014-2018,17142,224,186,13,0.08,1.31
00190,2014-2018,25465,265,176,102,0.4,1.04
00190,2014-2018,28165,365,189,355,1.26,1.3
00190,2014-2018,14950,0,83,264,1.77,0.0
00190,2014-2018,3495,17,0,53,1.52,0.49
00191,2014-2018,17378,39,97,328,1.89,0.22
00191,2014-2018,41731,340,160,3286,7.87,0.81
00192,2014-2018,8270,18,21,0,0.0,0.22
00192,2014-2018,3276,26,35,154,4.7,0.79
00192,2014-2018,27457,17,68,599,2.18,0.06
00192,2014-2018,3713,28,12,0,0.0,0.75
00193,2014-2018,30049,125,86,359,1.19,0.42
00193,2014-2018,174,0,0,174,100.0,0.0
00193,2014-2018,13901,22,30,169,1.22,0.16
00194,2014-2018,13484,51,0,18,0.13,0.38
00194,2014-2018,5370,55,32,13,0.24,1.02
00194,2014-2018,20488,49,66,118,0.58,0.24
00194,2014-2018,9779,27,0,1124,11.49,0.28
00195,2014-2018,17990,136,33,333,1.85,0.76
00195,2014-2018,3755,44,0,5,0.13,1.17
00195,2014-2018,9227,51,28,61,0.66,0.55
00196,2014-2018,52564,291,118,565,1.07,0.55
00196,2014-2018,7212,10,8,68,0.94,0.14
00196,2014-2018,6298,44,0,56,0.89,0.7
00197,2014-2018,43155,108,198,1806,4.18,0.25
00198,2014-2018,8020,39,0,182,2.27,0.49
00198,2014-2018,6551,20,0,169,2.58,0.31
00198,2014-2018,5208,15,7,1554,29.84,0.29
00198,2014-2018,4581,62,10,10,0.22,1.35
00201,2014-2018,17016,65,322,20,0.12,0.38
00202,2014-2018,23134,50,0,324,1.4,0.22
00202,2014-2018,8449,68,0,85,1.01,0.8
00202,2014-2018,25360,78,154,1003,3.96,0.31
