ZCTA,moudMinDis,bupMinDis,metMinDis,nalMinDis
92630,1.907574571,1.907574571,13.45414723,2.101635208
92637,1.318941319,1.325706833,12.8676694,1.318941319
92646,0.477196093,0.826270178,4.089017607,0.477196093
92647,0.429990885,0.429990885,6.784071603,0.958159583
92648,0.964553635,0.964553635,7.476414462,1.404148325
92649,1.594243762,3.256653239,7.855759501,1.594243762
92651,1.061215621,1.061215621,12.06742175,1.32541294
92653,0.763893264,0.763893264,15.51673361,0.8333991
92655,1.020832287,1.020832287,4.801305094,1.764360947
92656,0.318876395,0.318876395,13.9730786,1.458318029
92657,0.974173077,2.990365772,7.181132294,0.974173077
92660,0.341826576,0.341826576,2.931497201,1.721154921
92661,0.925376819,0.925376819,4.169156782,1.071569724
92662,0.490059728,0.490059728,4.080276629,1.619370079
92663,0.095377388,0.117416448,2.727652098,0.095377388
92672,0.349139394,0.349139394,26.14941694,0.550016852
92673,2.522848837,3.163752555,25.74535975,2.522848837
92675,2.405547798,3.144937577,24.564725,2.405547798
92676,6.66808992,6.66808992,14.00062698,8.453604678
92677,0.565913609,0.638688631,17.57333764,0.565913609
92678,5.993426224,7.029673494,22.0649207,5.993426224
92679,0.213088592,1.540718676,19.47611116,0.213088592
92683,0.507887025,0.507887025,4.245557986,2.102109781
92688,1.490642734,1.490642734,18.72944687,2.004030226
92691,0.346487719,0.879992782,16.30257224,0.346487719
92692,0.555419746,2.018250661,17.70815479,0.555419746
92694,3.135685439,3.135685439,21.67564209,3.158804036
92701,0.563045076,0.563045076,1.500610869,1.310522042
92703,1.168703108,2.001955931,4.788986721,1.168703108
92704,1.516524881,1.516524881,5.350675106,1.553132543
92705,0.389081835,0.650074247,1.639888031,0.389081835
92706,1.166915771,1.166915771,3.5452766,1.758800826
92707,0.552417599,0.683477508,3.806216864,0.552417599
92708,0.161855517,0.161855517,5.608546669,0.420508545
92780,0.687924327,0.687924327,1.577647476,1.025841442
92782,0.76478208,0.76478208,3.650203761,1.999565803
92801,1.121871919,1.121871919,3.034842774,1.676964784
92802,1.45558792,1.45558792,4.231937353,2.20925336
92804,0.977523577,0.977523577,1.435142746,3.298091992
92805,0.789392923,0.789392923,3.477516495,1.771692713
92806,2.017438121,2.017438121,4.36779426,2.42171516
92807,0.347704731,0.347704731,9.248872402,2.998438573
92808,0.768859026,3.301621825,11.38392147,0.768859026
92821,3.921941643,3.921941643,5.378539683,4.248198727
92823,3.158809057,3.158809057,9.32263755,3.72494621
92831,1.890848834,1.89160295,1.890848834,3.63636491
92832,0.558998864,0.558998864,0.559966554,2.826700979
92833,0.708248875,0.708248875,2.910221455,4.278145699
92835,0.927341167,0.927341167,2.656653197,5.123548341
92840,0.998451297,0.998451297,3.885231444,2.087288648
92841,1.345444831,1.614022031,1.345444831,3.132400256
92843,0.879763019,0.879763019,4.895614577,1.059832645
92844,0.445354088,0.445354088,3.288359104,1.195769269
92845,1.836119086,2.819937303,3.326255366,1.836119086
92860,0.611559483,0.611559483,13.91537189,0.781356564
92861,2.103479189,2.103479189,6.260755702,2.227396653
92865,0.960417556,1.671264899,6.055473854,0.960417556
92866,0.310339793,0.310339793,3.257486961,1.363161225
92867,1.761969941,1.954753117,5.901972624,1.761969941
92868,0.525893138,0.525893138,4.438322401,0.660707315
92869,1.831954989,1.831954989,5.433364029,3.668217074
92870,0.964990006,0.964990006,4.650335907,0.976159827
92879,1.207484471,1.207484471,16.47180424,2.970927968
92880,2.625469261,2.625469261,12.72205684,3.384943364
92881,2.262627211,2.262627211,19.05578435,2.450803858
92882,2.437956795,2.437956795,17.97438613,2.860323837
92883,1.54858853,2.295871943,22.52117365,1.54858853
92886,1.414788952,1.414788952,8.850582172,1.5284502
92887,1.638478411,1.638478411,13.19051162,1.988687503
93001,15.97282998,15.97282998,16.90421023,17.43459039
93003,0.654107286,0.654107286,0.676512656,0.676512656
93004,3.213954361,3.213954361,4.09036836,3.245389598
93010,1.213040803,1.213040803,8.309853624,1.610716187
93012,2.482824152,2.482824152,12.61863098,4.44705536
93013,10.71640933,10.71640933,18.44016758,10.94025969
93015,9.524931794,12.15052058,13.75016995,9.524931794
93021,1.405863348,6.652940405,7.459169345,1.405863348
93022,0.99250317,0.99250317,10.87555663,12.29233342
93023,7.524913339,7.524913339,20.60147186,21.01479652
93030,0.321617268,0.321617268,2.193766148,1.39312332
93033,3.488901604,3.488901604,4.222017933,6.017915109
93035,0.400040735,3.142724152,3.049221428,0.400040735
93036,1.610546681,1.610546681,4.604306701,1.763392743
93040,15.24390167,15.24390167,17.7291233,16.96443222
93041,3.892236684,3.892236684,4.573952367,5.963012114
93042,77.83954175,77.83954175,80.71340229,78.3334454
93043,1.676553194,1.676553194,1.825561741,1.803375812
93060,3.83257879,3.83257879,13.58753147,13.06187065
93063,2.56184084,2.93448536,7.462711326,2.56184084
93064,3.508826972,3.642363201,6.058618684,3.508826972
93065,0.914960099,0.914960099,1.084144734,1.084144734
93066,3.831303404,3.831303404,13.53120393,4.929596248
93067,3.751613507,3.751613507,11.69594009,3.984744699
93101,0.53960303,0.53960303,3.981157359,0.945877844
93103,0.933320461,0.933320461,5.548452816,2.47530146
93105,7.470595864,7.470595864,8.192423521,10.08747886
93108,2.935569595,2.935569595,9.727409937,3.052243373
93109,1.845162952,1.845162952,3.682165141,1.9397248
93110,0.672597357,0.935626993,0.672597357,3.073521657
93111,1.34757761,1.34757761,3.069947034,5.751959337
93117,9.515534567,9.515534567,22.64819549,9.515534567
93201,13.75322187,13.75322187,18.43181674,38.81502182
93202,2.970636879,2.970636879,27.36176395,26.24353248
93203,8.185009284,8.185009284,22.93268807,24.33317848
93204,4.644958725,4.644958725,55.04424508,50.8702952
93205,16.03342139,16.03342139,41.58336806,39.50255474
93206,13.60609992,13.60609992,32.17114469,26.79407449
93207,16.13240977,16.13240977,30.63121702,48.4595336
93208,15.609005,15.609005,30.86028548,55.38139641
93210,7.602742402,7.602742402,62.80496532,55.23892792
93212,1.031137521,1.031137521,18.48850584,25.55548856
93215,3.28121081,3.298349874,3.28121081,32.79339166
93218,16.24532904,16.24532904,16.38022389,37.69552329
93219,8.247175571,8.247175571,9.25733565,36.08057507
93220,5.13323163,5.13323163,17.29786305,14.72401401
93221,7.815833178,7.815833178,19.42313923,21.01877567
93222,21.94994813,21.94994813,44.34827237,42.55616799
93223,4.6122068,4.6122068,13.19732904,8.687716132
93224,31.50703837,31.50703837,40.43626718,33.60813448
93225,10.17302018,10.17302018,44.143148,41.37972702
93226,19.04222215,19.04222215,34.54800692,33.87202383
93230,4.329827147,4.329827147,21.06300773,20.27943071
93234,8.64549192,8.64549192,48.3754448,51.49706445
93235,7.108364233,7.108364233,18.58717154,11.20354074
93238,8.184077221,8.184077221,45.64226546,51.34400983
93239,12.34780802,12.34780802,45.94761858,50.60276822
93240,8.008256122,8.008256122,43.14728266,41.55875588
93241,0.432842953,0.432842953,9.691199662,10.92853939
93242,8.880644716,8.880644716,20.13818013,25.27377021
93243,6.774090556,6.774090556,37.94883775,34.18370837
93244,16.93377431,16.93377431,32.33253266,26.33194613
93245,3.169842674,3.169842674,33.38991353,34.50594264
93247,1.995583042,1.995583042,12.26716184,19.55231328
93249,29.59978238,29.59978238,44.26975421,57.19217829
93250,9.456151234,9.637290406,9.456151234,23.76401214
93251,27.79193127,27.79193127,46.56933368,40.82203137
93252,23.40725487,23.40725487,37.66464204,37.65607809
93254,36.591515,36.591515,42.79301144,36.591515
93255,25.01548263,25.01548263,67.55018639,65.7295837
93256,15.49982168,15.49982168,17.10162745,28.46577326
93257,6.680436931,6.680436931,12.234612,41.3503654
93258,7.486231165,7.486231165,9.48639506,24.00209588
93260,17.48505779,17.48505779,32.11677191,41.84955581
93261,8.682061448,8.682061448,8.707984458,34.00572312
93262,37.95173739,39.49994086,50.29140796,37.95173739
93263,2.012672387,2.012672387,21.0018574,15.70588229
93265,10.62917249,10.62917249,25.40421852,45.56138153
93266,13.48803613,13.48803613,36.34158244,38.74354337
93267,6.177661637,6.177661637,7.52706649,22.80422461
93268,26.92848043,27.32410365,33.04668223,26.92848043
93270,8.688460725,8.688460725,10.72427457,34.23840036
93271,28.06399673,28.06399673,37.29455133,40.7240572
93272,12.46277606,13.2680594,12.46277606,20.87232597
93274,2.423144026,2.826484269,2.423144026,10.13374644
93276,17.9256066,17.9256066,24.79414632,17.97545827
93277,2.277864831,2.277864831,9.258520062,3.560543552
93280,5.435198694,5.435198694,17.51923586,32.53811142
93283,17.04498491,17.04498491,52.61438174,50.5884433
93285,3.307291569,3.307291569,44.19978978,43.26161046
93286,14.97440526,14.97440526,28.59565277,21.68135286
