ZCTA,bupTime,bupCount,metTime,metCount,nalTime,nalCount
19107,0,964,0,28,0,144
19109,1,958,1,28,1,142
19111,0,861,9,28,4,142
19112,0,915,9,28,7,126
19113,10,580,15,24,11,74
19114,0,757,0,27,0,129
19115,0,767,6,26,6,126
19116,0,807,8,29,0,137
19118,0,808,8,30,0,114
19119,0,833,4,29,0,117
19120,0,885,5,28,6,145
19121,0,952,4,27,0,148
19122,0,923,0,26,0,139
19123,0,952,0,28,0,141
19124,0,915,5,29,0,147
19125,0,933,4,26,0,143
19126,0,915,2,31,3,151
19127,0,865,7,29,4,127
19128,0,822,9,28,0,112
19129,0,878,6,30,0,127
19130,0,970,4,29,3,147
19131,0,895,0,32,0,127
19132,0,927,5,28,0,138
19133,0,924,4,26,0,140
19134,0,954,6,27,0,144
19135,0,910,6,29,4,145
19136,0,852,0,28,0,137
19137,4,971,0,30,0,161
19138,0,908,3,30,0,148
19139,0,873,0,29,0,117
19140,0,905,6,28,0,138
19141,0,918,0,30,3,152
19142,0,853,5,27,5,116
19143,0,866,0,28,0,119
19144,0,853,0,30,0,129
19145,0,928,5,28,0,128
19146,0,923,0,28,0,126
19147,0,932,4,28,0,133
19148,0,931,7,28,0,130
19149,0,912,6,28,0,148
19150,0,820,6,29,4,115
19151,0,860,5,30,4,119
19152,0,842,6,27,5,140
19153,0,801,7,27,4,98
19154,0,766,6,27,0,126
19301,0,235,8,7,0,51
19310,18,27,19,3,19,7
19311,0,196,0,9,0,42
19312,0,240,5,8,0,53
19316,13,41,13,1,13,12
19317,0,184,21,8,0,35
19319,6,197,24,6,10,39
19320,0,52,0,3,0,20
19330,17,32,18,3,18,9
19333,0,355,0,12,0,67
19335,0,48,15,1,10,19
19341,0,70,20,2,0,26
19342,0,208,19,7,12,40
19343,0,59,21,2,15,24
19344,16,46,16,1,16,15
19345,5,136,19,5,5,40
19348,0,171,11,5,0,38
19350,0,155,11,8,11,32
19352,0,66,18,5,18,18
19355,0,186,14,5,0,49
19358,6,49,6,3,6,19
19362,19,12,32,0,26,1
19363,12,37,23,4,23,11
19365,13,23,13,3,13,7
19367,7,40,7,3,7,12
19372,0,52,7,1,0,21
19373,0,201,19,9,11,41
19374,4,164,4,6,4,34
19375,11,73,15,4,11,23
19380,0,137,23,2,0,36
19382,0,200,26,9,0,50
19383,4,163,25,8,4,42
19390,0,37,13,3,13,11
19401,0,428,0,10,0,66
19403,0,253,0,8,0,56
19405,0,594,5,22,5,87
19406,0,462,8,10,0,77
19422,0,377,10,16,0,77
19425,15,67,27,3,0,27
19426,0,137,8,5,8,43
19428,0,750,9,26,0,106
19435,7,41,13,4,12,15
19436,5,337,16,8,7,68
19437,8,283,14,8,8,54
19438,0,111,21,4,0,33
19440,0,112,21,6,8,35
19442,8,102,21,6,8,35
19444,0,783,11,28,6,113
19446,0,177,18,7,8,42
19453,5,113,12,5,5,35
19454,0,286,16,8,6,59
19456,0,142,8,5,8,41
19457,11,69,11,5,11,21
19460,0,104,15,5,0,36
19462,0,676,9,22,0,114
19464,0,44,0,3,0,11
19465,0,36,10,1,0,11
19468,0,78,17,5,15,28
19472,9,41,15,4,13,15
19473,7,88,15,4,15,31
19474,8,119,15,3,11,31
