"GEOID","minDisHosp","timeDrive","countDrive"
28045030400,12.43,19.16,6
28075010400,9.68,17.01,7
28095950700,2.79,3.88,2
28105950100,5.95,9.47,2
28121021001,9.16,25.07,9
28027950100,13.24,22.96,2
28033070721,2.58,5.75,19
28035000800,1.59,4.85,4
28001000200,8.46,18.47,2
28023950400,1.3,0,1
28033071200,16.84,31.09,0
28049001500,0.69,3.75,16
28053950300,24.97,30.18,0
28081950902,1.69,11.22,2
28087000404,12.35,24.89,1
28109950502,9.93,0,2
28089030600,6.44,17.7,2
28091950600,11.44,22.15,1
28095950400,0.27,0,2
28063950100,3.21,3.24,2
28067950402,3.85,11.24,1
28071950402,12.39,34.45,0
28101050500,21.31,29.67,1
28105950700,10.79,16.12,1
28075000700,2.87,3.85,7
28073020400,1.9,0,4
28107950100,15.42,37.09,0
28109950600,1.2,11.34,6
28075010600,12.67,17.57,7
28113950500,4.39,7.41,5
28159950500,11.2,26.51,2
28011950400,19.88,33.87,0
28017950200,9.68,24.68,1
28005950200,16.42,47.26,0
28045030500,5.4,16.51,2
28073020100,13.6,28.74,1
28033070221,7.44,15.77,9
28033070822,2.83,4.36,19
28035001100,2.37,6.43,4
28047002000,2.38,6.47,6
28059040300,3.91,11.04,4
28121020401,7.75,16.37,15
28121020900,16.8,38.66,0
28085950100,8.43,18.56,1
28093950401,3.79,7.02,1
28101050400,22.95,33.36,0
28137950302,9.87,20.26,1
28025950100,8.77,0,1
28145950100,10.88,23.29,1
28041950200,7.79,0,1
28043950500,0.82,0,1
28053950200,21.32,35.89,0
28081950201,10.71,19.51,2
28099010400,2.52,4.96,2
28115950102,7.04,17.02,2
28049003600,2.11,5.68,15
28067950700,2.22,6.57,1
28137950200,5.38,25.36,1
28149950902,6.82,16.7,2
28159950200,9.83,17.48,2
28009950100,18.14,34.65,0
28109950300,1.77,0,2
28047003206,4.98,6.42,6
28151001700,10.23,15.8,4
28105950601,4.6,11.69,1
28003950300,2.47,0,1
28035000500,3.49,8.1,4
28035010300,6.67,15.43,3
28151000900,0.97,2.62,3
28039950102,5.68,15.6,1
28081950102,16.74,33.62,0
28081950602,1.98,9.67,3
28113950700,8.22,31.13,0
28121020802,3.8,10.65,14
28115950500,11.79,19.22,1
28121020209,7.04,12.85,14
28127950400,11.56,16.11,3
28147950100,9.5,24.15,1
28045030601,15.27,33.56,0
28047003000,6.99,18.71,5
28047003502,14.21,26.11,1
28049010801,3.64,10.21,15
28049011400,0.65,2.9,15
28059041900,0.57,0,2
28067950100,9.76,18.19,1
28071950100,12.67,19.98,1
28091950200,11.37,20.76,1
28079040700,10.91,19.05,1
28081951100,8.73,23.55,2
28003950200,4.69,9.03,1
28043950200,8.98,16.45,1
28033070520,4.31,8.77,19
28075001101,1.38,5.36,7
28017950400,4.46,9.49,1
28071950501,12.37,14.4,1
28073020302,0.84,0,4
28087000102,9.25,12.4,2
28089030105,1.77,7.01,15
28059041100,8.3,16.2,3
28075010700,0.66,0,7
37085070901,16.42,26.33,2
37025042102,5.4,15.89,4
37027030100,0.67,0,3
37031970503,0.82,1.8,1
37031980100,31.83,43.44,0
37035010600,2.06,5.19,5
37001020502,5.67,21.06,1
37001021000,7.34,19.01,1
37013930200,8.09,10.42,2
37013930800,26.21,43.65,0
37015960300,17.74,24.04,1
37071032600,1.82,6.37,6
37071032900,4.34,7.96,5
37073970200,24.78,43.69,0
37075920100,24.49,50.9,0
37081010100,1.73,3.92,9
37081010401,0.94,5.64,9
37081011905,4.18,6.63,8
37063002300,3.03,7.3,8
37067000700,2.68,7.54,8
37067001902,2.19,7.11,9
37067003106,12.65,25.41,3
37067003908,3.19,9.6,8
37081012612,4.18,7.89,10
37081014408,3.13,8.13,7
37071030203,10.62,20.29,3
37071031900,3.55,7.38,5
37085070902,13.88,20.67,2
37087920102,12.92,19.85,1
37155960900,0.3,0,1
37157040300,0.11,0,3
37159051202,4.39,13.2,2
37049960403,3.38,8.32,1
37051000702,1.63,3.35,6
37051002100,3.76,9.25,6
37051003309,5.64,10.96,6
37051003407,2.42,5.29,6
37055970502,45.19,78.14,0
37055990100,44.7,23.82,1
37057061300,2.77,5.28,5
37063000102,0.65,0,7
37063000301,1.85,3.49,7
37149920303,6.5,15.69,3
37153970900,2.67,10.19,3
37165010102,2.45,5.48,3
37171930101,9.35,16.68,1
37179020203,10.32,22.24,10
37183050300,3.84,10.6,8
37183051000,4.48,13.48,7
37183052404,3.93,10.15,8
37183052705,1.31,4.43,8
37183053203,6.72,18.77,2
37127010601,2.08,8.62,3
37063002023,7.6,15.12,9
37129012010,4.14,10.79,2
37179020313,4.25,13.32,12
37179020501,3.92,7.14,2
37181960500,2.58,10.66,2
37133000403,20.19,36.38,0
37133000800,1.34,4.99,3
37133002500,6.69,16.35,3
37133990100,25.35,26.39,2
37135011601,0.59,3.1,7
37139960200,3.42,10.5,1
37147000100,2.17,6.44,1
37149920200,7.27,17.03,2
37129010100,3.23,9.15,3
37129011606,4.16,12.61,2
37119005843,5.81,13.19,11
37119005915,4.44,11.38,15
37119006203,5.27,13.73,7
37087920900,4.58,5.57,1
37021003201,3.72,8.07,5
37025040702,3.61,9.68,4
37025040800,4.23,9.25,4
37025041901,2.11,7.64,4
37089931200,0.44,2.74,2
37097060601,2.17,7.02,3
37097061204,7.72,17.88,2
37081015703,3.47,9.29,6
37081016305,5.88,15.18,9
37083930200,2.11,3.82,2
37119001505,2.75,12.12,13
37119001702,2.67,9.8,13
37119980300,1.06,3.92,15
37125950900,5.05,12.96,1
37119001923,6.21,14.43,12
37119003017,5,12.05,11
37119003109,0.26,0,12
37191000500,4.34,6.09,1
37191001900,1.37,5.21,1
37195000100,2.25,4.78,1
37195001400,6.14,11.05,3
37199960400,14.6,35.51,0
37183053509,1.59,0,6
37183053718,8.78,18.74,12
37183054001,2.73,5.6,8
37019020511,13.87,34.01,0
37021001000,1.79,5.58,5
37101040700,1.5,0,1
37105030300,0.91,0,1
37107010400,2.44,4.83,1
37109070201,1.8,10.03,2
37183054018,3.32,6.58,8
37185950400,19.9,34.2,0
37189920500,2.56,5.98,2
37041930102,6.58,7.55,1
37047930500,12.91,29.06,1
37049960300,18.43,32.1,0
37119004303,6.8,15.94,14
37119005511,4.78,13.4,13
37119005522,2.92,10.69,13
37119005609,2.13,6.05,12
37119005713,4.58,17.07,11
37119005831,2.52,8.21,11
37063001503,1.53,7.13,7
37063001709,0.96,0,7
37063002021,7.26,16.51,8
37115010100,20.74,63.4,0
