COUNTYFP,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
447,2367,2164,226
2123,4,5,4
517,,,
13215,55,472,55
1331,,,
1613,,,
1631,6,5,6
17125,,,
2415,26,238,235
2439,24,24,24
177,,,
1853,7,61,7
265,,,
2111,,,
2167,1191,1114,127
2111,3,31,3
21133,18,5,18
2277,,,
2213,269,261,269
869,866,722,71
1229,,,
2767,141,111,141
27119,199,142,192
267,,,
2189,16,16,16
2689,,,
26141,4,4,4
3231,1372,124,1172
3897,,,
4715,,,
1339,,,
173,,,
17189,,,
193,,,
19163,54,459,394
2195,,,
21187,,,
2263,8,8,8
2211,16,11,16
8117,,,
127,,,
1331,85,59,85
39123,8,6,8
411,169,12,148
2769,,,
2717,,,
27145,419,378,376
2849,121,137,121
29171,,,
375,,,
3211,,,
3433,54,15,54
36113,2,193,131
3731,37,22,37
37113,1,6,1
3835,293,192,293
3955,64,64,64
4623,1,1,1
4793,144,1235,144
171,,,
1319,,,
4861,39,251,39
48185,,,
48239,,,
611,25,24,25
1629,,,
121,545,43,544
127,,,
129,,,
423,,,
193,,,
553,,,
113,81,37,81
1133,14,14,14
27,,,
211,,,
215,,,
222,,,
2261,,,
48389,,,
4917,,,
5193,17,2,
51171,2,1,17
5321,316,153,316
5355,11,11,11
569,,,
517,,,
641,973,854,973
677,2424,267,2317
81,466,332,431
159,5,5,5
197,7,57,688
48283,,,
4841,,,
48459,,,
4937,,,
5127,2,2,2
5111,,,
51147,1,1,1
51191,23,23,23
543,214,169,214
5441,,,
4217,632,561,555
543,,,
549,,,
22,,,
421,232,232,232
13113,22,14,22
13151,92,97,92
13191,,,
2327,,,
2427,279,272,257
5135,12,12,12
95,312,278,294
913,26,2,24
12115,1315,88,1213
511,,,
515,,,
5115,,,
55,2,,2
59,5,,5
821,,,
839,,,
859,582,539,547
137,,,
873,,,
811,42,261,42
8121,,,
8125,,,
577,,,
117,,,
5129,,,
1363,453,347,453
13159,,,
631,219,185,219
635,,,
675,1555,13252,1498
83,174,1,114
815,,,
133,,,
1235,44,33,44
1259,,,
1287,69,42,69
1219,187,177,183
12111,69,67,69
5149,212,212,212
621,32,4,32
625,54,468,53
661,397,363,397
619,65,43,65
13117,33,2,33
13169,33,33,33
13197,,,
1767,,,
17183,239,146,239
1359,297,246,297
1369,,,
1383,,,
1753,,,
13145,68,75,68
1323,,,
1337,,,
1353,32,32,32
1773,1,1,1
1797,76,672,573
1759,,,
1763,47,19,4
1393,,,
1651,,,
1665,,,
13111,55,5,51
13243,,,
13257,38,4,38
1711,8,8,8
1715,,,
1899,,,
1811,,,
13287,,,
13295,18,22,18
153,,,
169,,,
183,814,675,85
17149,,,
17159,49,27,49
1717,1374,169,1365
17115,347,268,322
17121,17,13,17
17131,,,
17135,,,
17145,,,
13233,14,1,14
13239,,,
1831,1,1,1
1837,,,
1841,,,
1855,,,
1865,,,
1875,18,2,18
1885,,,
1891,45,2,44
1819,122,46,122
1619,26,163,2
1621,,,
1645,,,
1729,24,23,24
18181,,,
197,,,
1917,99,9,99
1925,,,
1895,28,128,28
1897,5244,4385,4651
17173,,,
17177,24,14,24
1675,,,
175,,,
1913,51,467,445
19117,,,
19127,16,1,16
19131,,,
215,,,
219,,,
2111,45,,45
