"GEOID","bupTimeBike","bupCountBike60","bupCountBike30","metTimeBike","metCountBike60","metCountBike30","nalTimeBike","nalCountBike60","nalCountBike30"
10580,0,78,19,46.33,1,0,0,12,5
10583,0,152,33,40.18,5,0,21.81,17,2
10588,11.9,8,1,39.5,1,0,11.9,6,3
10589,0,16,3,58.11,4,0,38.46,10,0
10590,38.04,14,0,53.93,1,0,53.93,1,0
10591,0,83,14,41.32,2,0,0,15,3
10594,12.71,74,18,89.01,0,0,16.18,9,3
10595,0,73,24,74.62,0,0,12.9,7,5
10596,11.54,10,3,25.48,1,1,11.54,3,2
10597,19.35,12,4,81.88,0,0,60.34,0,0
10598,22.1,14,1,48,1,0,0,6,3
10601,0,104,47,62.57,0,0,0,16,3
10603,0,92,38,68.21,0,0,14.33,12,3
10604,0,88,25,71.86,0,0,11.26,13,3
10605,0,110,34,54.12,1,0,11.42,18,3
10606,0,101,37,58.04,1,0,7.79,15,3
10607,0,112,47,56.08,3,0,0,10,4
10701,0,418,43,7.79,15,4,0,36,5
10703,0,263,44,0,10,3,0,20,4
10704,0,509,119,14.02,20,5,14.02,42,11
10705,0,553,84,20.52,23,4,9.81,49,6
10706,16.13,127,33,22.81,4,3,22.81,11,2
10707,0,220,36,28.55,7,4,0,18,4
10708,0,409,69,15.44,14,5,14.96,39,8
10709,0,227,31,26.35,7,2,8.9,22,5
10710,16.6,218,48,22.61,7,3,16.6,18,3
10801,0,313,23,0,13,2,0,28,4
10803,0,398,51,12.34,14,2,12.34,40,7
10804,0,168,27,19.95,6,1,19.95,19,3
10805,11.75,308,14,11.75,13,2,11.75,29,4
10901,0,44,12,0,2,2,31.62,2,0
10910,42.92,5,0,103.86,0,0,42.92,1,0
10911,55.42,1,0,55.42,1,0,55.42,1,0
10913,14.19,60,20,24.46,2,1,0,12,7
10914,22.62,11,2,90.45,0,0,49.08,2,0
10915,32.48,27,0,117.1,0,0,55.89,5,0
10916,34.67,18,0,94.96,0,0,40.51,1,0
10917,15.23,6,5,105.01,0,0,29.62,1,1
10918,33.01,15,0,129.95,0,0,33.01,2,0
10919,23.36,27,10,131.1,0,0,43.61,5,0
10920,15.4,44,15,15.4,2,1,15.4,11,3
10921,0,11,1,160.01,0,0,35.73,1,0
10922,53.24,1,0,53.24,1,0,53.24,1,0
10923,7.71,32,3,51.71,1,0,47.26,4,0
10924,0,34,6,132.61,0,0,0,6,1
10925,50.72,3,0,114.94,0,0,70.22,0,0
10926,19.88,5,3,114.46,0,0,19.88,1,1
10927,0,33,3,41.66,2,0,41.66,7,0
10930,0,8,2,91.85,0,0,32.37,1,0
10931,28.42,21,8,28.42,2,2,58.74,1,0
10932,22.1,26,16,172.61,0,0,22.1,5,5
10933,37.96,17,0,199.88,0,0,53.5,5,0
10940,0,33,16,154.16,0,0,0,6,5
10941,0,32,10,130.24,0,0,33.75,6,0
10950,0,7,3,122.37,0,0,0,1,1
10952,0,54,23,21.38,3,2,15.26,8,1
10953,18.37,10,1,60.96,0,0,60.96,0,0
10954,0,60,22,36.36,4,0,18.52,11,2
10956,0,54,23,38.12,4,0,28.06,11,1
10958,0,24,1,169.16,0,0,43.04,6,0
10960,0,63,14,0,2,2,0,12,10
10962,0,36,10,32.3,2,0,14.19,11,4
10963,44.61,16,0,195.04,0,0,44.61,5,0
10964,13.3,28,7,40.16,2,0,31.6,10,0
10965,0,57,17,44.44,2,0,23.65,11,5
10968,0,38,14,25.15,2,1,25.15,11,6
10969,53.26,5,0,198.36,0,0,74.34,0,0
10970,0,38,3,50.74,2,0,33.32,1,0
10973,23.9,23,1,183.47,0,0,39.95,6,0
10974,41.77,11,0,41.77,2,0,72.1,0,0
10975,51.32,3,0,105.03,0,0,51.32,1,0
10976,7.29,42,14,29.73,2,1,18.25,11,6
10977,0,59,27,31.51,4,0,0,11,1
10980,15.18,20,3,63.25,0,0,58.95,1,0
10983,0,34,7,36.59,2,0,18.8,10,4
10984,15.7,24,3,60.31,0,0,48.01,1,0
10985,25.6,11,1,136.03,0,0,75.51,0,0
10986,26.4,3,1,74.47,0,0,74.47,0,0
10989,0,47,13,0,2,2,0,11,6
10990,0,4,3,149.12,0,0,67.43,0,0
10992,0,13,2,74.09,0,0,54.41,1,0
10993,0,26,3,50.04,1,0,50.04,5,0
10994,0,61,22,21.37,4,2,0,11,10
10998,47.23,1,0,209.16,0,0,68.83,0,0
11001,0,299,100,12.65,6,1,12.65,29,12
11003,0,309,88,24.93,8,1,13.38,32,11
11004,0,311,94,0,6,1,0,30,10
11005,4.53,282,84,10,6,1,10,27,7
11010,0,292,115,28.06,5,1,0,33,14
11020,0,233,85,17.74,4,1,12.62,24,7
11021,0,195,80,23.65,4,1,0,17,5
11023,9.05,177,38,31.75,4,0,9.05,16,2
11024,16.36,139,31,39.05,3,0,16.36,13,2
11030,0,186,50,32.55,3,0,18.01,19,3
11040,0,263,84,14.17,3,1,0,26,11
11042,0,261,93,8.32,4,1,8.32,25,10
11050,0,94,13,51.77,1,0,0,7,1
11096,8.68,119,23,66.48,0,0,11.02,12,3
11101,0,1490,527,19.55,57,17,9.85,140,42
11102,0,1438,296,24.47,53,6,8.71,136,23
11103,0,1422,112,21.07,54,1,10.62,137,17
11104,0,1425,280,17.9,60,5,6.68,133,24
11105,0,1356,90,25.65,51,1,11.77,131,13
11106,0,1434,315,24.2,55,6,0,135,25
11109,8.56,1400,514,21.48,59,13,15.38,130,48
11201,0,1394,425,0,47,22,0,123,45
11203,0,758,275,0,31,17,0,71,21
11204,0,492,249,15.04,20,6,0,41,15
11205,0,1303,260,9.06,44,15,0,116,23
11206,0,1370,386,0,49,22,7.81,118,41
11207,0,986,193,0,35,15,0,87,16
11208,0,720,123,10.18,31,9,0,71,14
11209,0,472,107,21.13,20,2,12.96,36,4
11210,0,629,284,14.4,27,11,0,56,17
11211,0,1425,569,6.86,52,22,10.9,127,51
11212,0,973,208,0,33,14,10.96,88,18
11213,0,1067,262,0,35,17,0,102,27
11214,0,381,186,24.39,16,2,11.26,34,11
11215,0,1092,291,0,38,15,9.52,97,24
11216,0,1206,255,7.49,41,17,0,111,25
11217,0,1321,431,7.31,44,22,0,120,40
11218,0,834,258,0,29,11,13.36,70,16
11219,0,620,209,11.03,25,6,9.99,55,13
11220,0,817,161,8.35,29,6,8.35,67,7
11221,0,1308,271,0,45,18,0,115,27
11222,0,1389,204,14.25,53,11,20.21,122,20
11223,0,423,190,22.06,18,1,0,37,10
11224,0,301,103,36.72,12,0,0,19,9
11225,0,1020,309,9.9,34,18,9.9,97,25
11226,0,878,288,9.93,31,13,10.73,75,24
11228,0,432,151,19.32,18,2,10.31,34,7
11229,0,447,172,27.59,18,4,0,37,13
11230,0,525,243,13.98,22,7,10.09,41,14
11231,0,1227,269,9.47,41,15,0,109,19
11232,0,914,229,0,31,9,0,84,19
11233,0,1143,263,8.97,38,16,0,105,26
11234,0,471,190,14.17,20,7,10.49,38,13
11235,0,351,111,33.21,15,0,0,27,9
11236,0,571,161,0,23,9,15.7,51,15
11237,0,1235,229,6.79,45,12,6.79,111,28
11238,0,1264,293,0,43,19,7.12,116,29
11239,0,584,122,12.21,25,9,12.38,55,14
11351,7.26,284,37,15.75,7,1,26.61,26,1
11354,0,333,79,9,10,3,20.57,28,10
11355,0,357,146,0,10,4,19.26,31,15
11356,0,226,26,20.97,6,1,28.17,23,1
11357,0,263,30,19.97,7,1,30.76,26,0
11358,0,321,76,13.16,7,3,17.75,29,7
11359,10.29,241,19,30.57,5,0,36.16,23,0
11360,0,267,34,26.33,7,1,30.06,25,0
11361,0,304,67,23.65,7,2,23.34,30,6
11362,0,304,81,13.68,7,1,13.68,34,7
11363,0,282,79,20.52,5,1,12.74,30,6
11364,0,327,126,18.18,7,4,11.46,32,10
11365,0,375,107,4.93,10,3,4.93,39,10
11366,0,385,106,0,12,5,0,38,10
