"COUNTYFP","cntT","cntBupT","cntMetT","cntNalT","avBupTime","avMetTime","avNalTime","pctBupT","pctMetT","pctNalT"
"06111",174,172,NA,169,5.68448275862069,NA,8.20586206896552,0.99,NA,0.97
"06113",41,41,31,40,5.39365853658537,21.3882926829268,11.0221951219512,1,0.76,0.98
"06115",14,11,11,1,15.4907142857143,16.0928571428571,41.3942857142857,0.79,0.79,0.07
"08001",97,97,95,95,4.91051546391753,11.9849484536082,7.45969072164948,1,0.98,0.98
"08003",4,4,4,4,8.615,9.4,8.615,1,1,1
"08005",147,147,145,146,4.40578231292517,10.7842857142857,5.70238095238095,1,0.99,0.99
"08007",4,3,0,0,22.51,82.285,107.01,0.75,0,0
"08009",2,2,0,2,12.5,90.4,12.5,1,0,1
"08011",1,1,0,1,0,63.53,0,1,0,1
"08013",68,67,65,67,3.68367647058824,11.9607352941176,6.25926470588235,0.99,0.96,0.99
"08014",18,18,18,18,7.41277777777778,17.1683333333333,8.04222222222222,1,1,1
"08015",5,4,NA,5,11.93,NA,6.616,0.8,NA,1
"08017",1,0,0,0,102.94,102.94,58.86,0,0,0
"08019",3,1,0,3,34.55,49.98,13.11,0.33,0,1
"08021",2,2,0,0,0,36.775,36.775,1,0,0
"08023",2,1,0,1,18.815,72.055,18.815,0.5,0,0.5
"08025",1,0,0,1,36.38,57.25,0,0,0,1
"08027",1,0,0,0,63.71,76.7,63.71,0,0,0
"08029",7,5,0,6,22.7614285714286,72.3257142857143,16.6714285714286,0.71,0,0.86
"08031",144,144,144,144,2.37284722222222,8.31368055555556,4.388125,1,1,1
"08033",1,1,0,0,0,135.22,79.9,1,0,0
"08035",61,60,52,59,7.77065573770492,20.4159016393443,9.4855737704918,0.98,0.85,0.97
"08037",14,13,NA,3,10.8792857142857,NA,40.2707142857143,0.93,NA,0.21
"08039",7,5,0,4,27.2857142857143,59.5814285714286,27.0885714285714,0.71,0,0.57
"08041",130,127,115,129,5.56523076923077,19.191,7.35861538461538,0.98,0.88,0.99
"08043",14,13,0,13,10.5228571428571,52.3564285714286,11.7964285714286,0.93,0,0.93
"08045",11,11,NA,8,9.62272727272727,NA,17.6136363636364,1,NA,0.73
"08047",1,0,0,1,49.78,60.92,0,0,0,1
"08049",3,1,0,2,35.32,131.476666666667,28.0033333333333,0.33,0,0.67
"08051",4,0,NA,2,121.955,NA,54.4125,0,NA,0.5
"08053",1,0,0,0,143.22,241.42,98.01,0,0,0
"08055",2,1,0,0,16.71,72.92,60.145,0.5,0,0
"08057",1,0,0,0,78.48,214.32,82.74,0,0,0
