"COUNTYFP","cntT","cntTimeDrive","avTimeDrive","pctTimeDrive"
"08075",6,5,12.8383333333333,0.83
"08077",29,27,11.711724137931,0.93
"08079",1,0,63.16,0
"08081",4,3,15.435,0.75
"08083",7,7,15.1271428571429,1
"08085",10,9,23.524,0.9
"08087",8,8,7.31875,1
"08089",7,5,17.7842857142857,0.71
"08091",1,0,45.96,0
"08093",5,0,67.734,0
"08095",2,2,0,1
"08097",4,3,15.5925,0.75
"08099",5,4,20.594,0.8
"08101",55,52,11.2794545454545,0.95
"08103",2,2,0,1
"08105",3,3,9.36333333333333,1
"08107",8,4,27.57375,0.5
"08109",2,1,40.95,0.5
"08111",1,0,64.14,0
"08113",4,0,116.395,0
"08115",1,1,0,1
"08117",5,5,16.282,1
"08119",6,4,26.345,0.67
"08121",2,0,59.435,0
"08123",77,74,14.6081818181818,0.96
"08125",2,2,0,1
"09001",210,210,8.72414285714286,1
"09003",224,223,8.80955357142857,1
"09005",51,50,13.9190196078431,0.98
"09007",36,29,16.3286111111111,0.81
"09009",189,187,9.26063492063492,0.99
"09011",66,65,12.7713636363636,0.98
"09013",29,29,11.9893103448276,1
"09015",25,24,14.9328,0.96
"10001",33,33,12.5030303030303,1
"10003",131,131,8.39175572519084,1
"10005",53,47,18.3341509433962,0.89
"11001",179,179,4.07519553072626,1
"12001",56,56,11.7119642857143,1
"12003",4,3,11.38,0.75
"12005",43,40,14.1046511627907,0.93
"12007",4,4,10.455,1
"12009",113,113,11.4373451327434,1
"12011",361,360,6.79819944598338,1
"12013",3,3,18.1366666666667,1
"12015",38,33,15.7081578947368,0.87
"12017",27,26,18.6637037037037,0.96
"12019",30,25,16.6296666666667,0.83
"12021",73,67,13.5260273972603,0.92
"12023",12,10,14.3275,0.83
"12027",9,9,11.8877777777778,1
"12029",3,0,66.8266666666667,0
"12031",173,173,11.6135838150289,1
"12033",71,69,10.3843661971831,0.97
"12035",20,20,15.9405,1
"12037",4,3,15.3975,0.75
"12039",9,9,13.05,1
"12041",5,0,47.048,0
"12043",4,1,34.9025,0.25
"12045",3,2,20.2566666666667,0.67
"12047",3,1,33.6166666666667,0.33
"12049",6,5,17.7683333333333,0.83
"12051",7,3,28.8757142857143,0.43
"12053",45,44,13.0762222222222,0.98
"12055",27,24,18.4992592592593,0.89
"12057",320,320,10.2226875,1
"12059",4,3,18.075,0.75
"12061",30,30,12.1776666666667,1
"12063",11,11,16.5072727272727,1
"12065",3,1,30.96,0.33
"12067",2,0,39.59,0
"12069",56,54,13.4282142857143,0.96
"12071",167,158,15.2623952095808,0.95
"12073",68,67,13.0651470588235,0.99
"12075",9,5,31.2911111111111,0.56
"12077",2,1,28.355,0.5
"12079",5,5,14.524,1
"12081",78,77,10.8188461538462,0.99
"12083",63,47,20.0533333333333,0.75
"12085",35,32,12.5371428571429,0.91
"12086",518,516,6.58905405405405,1
"12087",31,26,13.7635483870968,0.84
"12089",12,10,20.5158333333333,0.83
"12091",42,41,11.0592857142857,0.98
"12093",12,11,15.21,0.92
"12095",207,207,9.04816425120773,1
"12097",41,40,11.0065853658537,0.98
"12099",337,335,9.95670623145401,0.99
"12101",133,133,9.44526315789474,1
"12103",245,245,7.13697959183673,1
"12105",154,150,14.7252597402597,0.97
"12107",17,11,26.0047058823529,0.65
"12109",40,38,16.3625,0.95
"12111",44,44,10.0597727272727,1
"12113",25,24,11.7696,0.96
"12115",94,94,10.5402127659574,1
"12117",86,86,9.21593023255814,1
"12119",19,11,23.2810526315789,0.58
"12121",7,6,18.9428571428571,0.86
"12123",4,3,15.2775,0.75
"12125",3,3,5.28333333333333,1
"12127",113,112,10.4311504424779,0.99
"12129",4,0,43.5525,0
"12131",11,4,29.6836363636364,0.36
"12133",7,5,23.1942857142857,0.71
"13001",5,5,14.872,1
"13003",3,1,34.54,0.33
"13005",3,3,12.9733333333333,1
"13007",2,1,27.965,0.5
"13009",9,9,8.77,1
"13011",4,3,19.3525,0.75
"13013",18,18,12.7244444444444,1
"13015",15,13,18.212,0.87
"13017",5,5,8.236,1
"13019",6,6,18.325,1
"13021",44,44,8.44727272727273,1
"13023",3,3,6.96333333333333,1
"13025",3,1,32.8066666666667,0.33
"13027",5,4,14.398,0.8
"13029",7,3,32.4557142857143,0.43
"13031",12,11,14.1816666666667,0.92
"13033",6,4,22.3033333333333,0.67
"13035",3,3,8.23333333333333,1
"13037",2,0,39.325,0
"13039",10,8,16.136,0.8
"13043",3,3,8.47666666666667,1
"13045",17,16,13.9288235294118,0.94
"13047",11,11,13.5418181818182,1
"13049",2,0,41.37,0
"13051",71,71,8.77591549295775,1
"13053",5,5,14.33,1
"13055",6,0,37.7766666666667,0
"13057",26,24,20.88,0.92
"13059",30,30,8.595,1
"13061",1,0,33.74,0
