ZCTA,RUCA1,RUCA2,rurality
28461,4,4.0,Suburban
28462,7,7.0,Rural
28463,2,2.0,Suburban
28464,7,7.0,Rural
28465,4,4.0,Suburban
28466,7,7.0,Rural
28467,1,1.0,Urban
28468,1,1.0,Urban
28469,1,1.0,Urban
28470,1,1.0,Urban
28472,7,7.0,Rural
28478,3,3.0,Rural
28479,1,1.0,Urban
28480,1,1.0,Urban
28501,4,4.0,Suburban
28502,4,4.0,Suburban
28503,4,4.0,Suburban
28504,4,4.0,Suburban
28508,10,10.0,Rural
28509,10,10.1,Rural
28510,2,2.0,Suburban
28511,10,10.0,Rural
28512,4,4.0,Suburban
28513,1,1.0,Urban
28515,10,10.1,Rural
28516,4,4.0,Suburban
28518,10,10.0,Rural
28519,1,1.0,Urban
28520,5,5.0,Rural
28521,10,10.0,Rural
28522,5,5.0,Rural
28523,2,2.0,Suburban
28524,5,5.0,Rural
28525,5,5.0,Rural
28526,2,2.0,Suburban
28527,1,1.0,Urban
28528,5,5.0,Rural
28529,2,2.0,Suburban
28530,2,2.0,Suburban
28531,5,5.0,Rural
28532,4,4.0,Suburban
28533,4,4.0,Suburban
28537,10,10.1,Rural
28538,6,6.0,Rural
28539,2,2.0,Suburban
28540,1,1.0,Urban
28541,1,1.0,Urban
28542,1,1.0,Urban
28543,1,1.0,Urban
28544,1,1.0,Urban
28545,1,1.0,Urban
28546,1,1.0,Urban
28547,1,1.0,Urban
28551,6,6.0,Rural
28552,10,10.1,Rural
28553,5,5.0,Rural
28554,2,2.0,Suburban
28555,2,2.0,Suburban
28556,10,10.0,Rural
28557,4,4.0,Suburban
28560,1,1.0,Urban
28561,1,1.0,Urban
28562,1,1.0,Urban
28563,1,1.0,Urban
28564,1,1.0,Urban
28570,4,4.0,Suburban
28571,2,2.0,Suburban
28572,10,10.0,Rural
28573,2,2.0,Suburban
28574,2,2.0,Suburban
28575,4,4.0,Suburban
28577,10,10.0,Rural
28578,2,2.0,Suburban
28579,5,5.0,Rural
28580,6,6.0,Rural
28581,5,5.0,Rural
28582,6,6.0,Rural
28583,2,2.0,Suburban
28584,2,2.0,Suburban
28585,5,5.0,Rural
28586,2,2.0,Suburban
28587,10,10.1,Rural
28589,5,5.0,Rural
28590,1,1.0,Urban
28594,4,4.0,Suburban
28601,1,1.0,Urban
28602,1,1.0,Urban
28603,1,1.0,Urban
28604,10,10.0,Rural
28605,10,10.0,Rural
28606,5,5.0,Rural
28607,4,4.0,Suburban
28608,4,4.0,Suburban
28609,2,2.0,Suburban
28610,2,2.0,Suburban
28611,2,2.0,Suburban
28612,1,1.0,Urban
28613,1,1.0,Urban
28615,8,8.0,Rural
28616,7,7.0,Rural
28617,8,8.0,Rural
28618,5,5.0,Rural
28619,1,1.0,Urban
28621,7,7.0,Rural
28622,10,10.0,Rural
28623,10,10.0,Rural
28624,5,5.0,Rural
28625,2,2.0,Suburban
28626,8,8.0,Rural
28627,10,10.0,Rural
28628,1,1.0,Urban
28629,8,8.0,Rural
28630,1,1.0,Urban
28631,8,8.0,Rural
28633,1,1.0,Urban
28634,2,2.0,Suburban
28635,5,5.0,Rural
28636,2,2.0,Suburban
28637,1,1.0,Urban
28638,1,1.0,Urban
28640,7,7.0,Rural
28641,2,2.0,Suburban
28642,7,7.0,Rural
28643,8,8.0,Rural
28644,10,10.0,Rural
28645,1,1.0,Urban
28646,10,10.0,Rural
28647,2,2.0,Suburban
28649,5,5.0,Rural
28650,2,2.0,Suburban
28651,5,5.0,Rural
28652,10,10.0,Rural
28653,10,10.0,Rural
28654,5,5.0,Rural
28655,1,1.0,Urban
28656,4,4.0,Suburban
28657,10,10.0,Rural
28658,1,1.0,Urban
28659,4,4.0,Suburban
28660,2,2.0,Suburban
28661,2,2.0,Suburban
28662,10,10.0,Rural
28663,10,10.0,Rural
28664,7,7.0,Rural
28665,5,5.0,Rural
28666,1,1.0,Urban
28667,1,1.0,Urban
28668,10,10.0,Rural
28669,8,8.0,Rural
28670,8,8.0,Rural
28671,1,1.0,Urban
28672,10,10.0,Rural
28673,2,2.0,Suburban
28675,10,10.0,Rural
28676,8,8.0,Rural
28677,1,1.0,Urban
28678,2,2.0,Suburban
28679,10,10.2,Rural
28680,1,1.0,Urban
28681,2,2.0,Suburban
28682,2,2.0,Suburban
28683,9,9.0,Rural
28684,8,8.0,Rural
28685,6,6.0,Rural
28687,1,1.0,Urban
28688,2,2.0,Suburban
28689,2,2.0,Suburban
28690,1,1.0,Urban
28691,5,5.0,Rural
28692,10,10.2,Rural
28693,8,8.0,Rural
28694,7,7.0,Rural
28697,4,4.0,Suburban
28698,10,10.2,Rural
28699,2,2.0,Suburban
28701,2,2.0,Suburban
28702,10,10.0,Rural
28704,1,1.0,Urban
28705,10,10.0,Rural
28707,2,2.0,Suburban
28708,10,10.2,Rural
28709,2,2.0,Suburban
28710,2,2.0,Suburban
28711,1,1.0,Urban
28712,2,2.0,Suburban
28713,10,10.0,Rural
28714,2,2.0,Suburban
28715,1,1.0,Urban
28716,1,1.0,Urban
28717,10,10.0,Rural
28718,2,2.0,Suburban
28719,10,10.0,Rural
28720,10,10.0,Rural
28721,1,1.0,Urban
28722,2,2.0,Suburban
28723,4,4.0,Suburban
28724,2,2.0,Suburban
28725,4,4.0,Suburban
28726,1,1.0,Urban
28727,2,2.0,Suburban
28728,1,1.0,Urban
28729,1,1.0,Urban
28730,2,2.0,Suburban
28731,1,1.0,Urban
28732,1,1.0,Urban
28733,10,10.0,Rural
28734,8,8.0,Rural
28735,2,2.0,Suburban
28736,10,10.0,Rural
28737,4,4.0,Suburban
28738,1,1.0,Urban
28739,1,1.0,Urban
28740,10,10.0,Rural
28741,10,10.0,Rural
28742,2,2.0,Suburban
28743,2,2.0,Suburban
28744,7,7.0,Rural
28745,1,1.0,Urban
28746,10,10.0,Rural
28747,10,10.0,Rural
28748,2,2.0,Suburban
28749,10,10.0,Rural
28750,7,7.1,Rural
28751,2,2.0,Suburban
28752,4,4.0,Suburban
28753,2,2.0,Suburban
28754,1,1.0,Urban
28755,10,10.0,Rural
28756,2,2.0,Suburban
28757,1,1.0,Urban
28758,1,1.0,Urban
28759,2,2.0,Suburban
28760,1,1.0,Urban
28761,5,5.1,Rural
28762,2,2.0,Suburban
28763,8,8.0,Rural
28765,10,10.3,Rural
28766,2,2.0,Suburban
28768,2,2.0,Suburban
28770,1,1.0,Urban
28771,10,10.0,Rural
28772,10,10.2,Rural
28773,2,2.0,Suburban
28774,10,10.0,Rural
28775,8,8.0,Rural
28776,1,1.0,Urban
28777,7,7.0,Rural
28778,1,1.0,Urban
28779,4,4.0,Suburban
28781,8,8.0,Rural
28782,7,7.1,Rural
28783,10,10.0,Rural
28784,2,2.0,Suburban
28785,2,2.0,Suburban
28786,1,1.0,Urban
28787,1,1.0,Urban
28788,4,4.0,Suburban
28789,3,3.0,Rural
28790,2,2.0,Suburban
28791,1,1.0,Urban
28792,1,1.0,Urban
28793,1,1.0,Urban
28801,1,1.0,Urban
28802,1,1.0,Urban
28803,1,1.0,Urban
28804,1,1.0,Urban
28805,1,1.0,Urban
28806,1,1.0,Urban
28810,1,1.0,Urban
28813,1,1.0,Urban
28814,1,1.0,Urban
28815,1,1.0,Urban
28816,1,1.0,Urban
28901,10,10.0,Rural
28902,10,10.0,Rural
28903,10,10.0,Rural
28904,10,10.0,Rural
28905,10,10.0,Rural
28906,10,10.0,Rural
28909,10,10.0,Rural
29001,2,2.0,Suburban
29002,1,1.0,Urban
29003,7,7.0,Rural
29006,2,2.0,Suburban
29009,3,3.0,Rural
29010,7,7.0,Rural
29014,2,2.0,Suburban
29015,2,2.0,Suburban
29016,1,1.0,Urban
29018,10,10.0,Rural
29020,4,4.1,Suburban
29021,4,4.1,Suburban
29030,6,6.0,Rural
29031,5,5.0,Rural
29032,5,5.0,Rural
29033,1,1.0,Urban
29036,1,1.0,Urban
29037,5,5.0,Rural
29038,5,5.0,Rural
29039,5,5.0,Rural
29040,1,1.0,Urban
29041,3,3.0,Rural
29042,7,7.0,Rural
29044,2,2.0,Suburban
29045,1,1.0,Urban
29046,7,7.0,Rural
29047,5,5.0,Rural
29048,2,2.0,Suburban
29051,2,2.0,Suburban
29052,2,2.0,Suburban
29053,1,1.0,Urban
29054,2,2.0,Suburban
29055,2,2.0,Suburban
29056,10,10.0,Rural
29058,5,5.0,Rural
29059,10,10.1,Rural
29061,2,2.0,Suburban
29062,2,2.1,Suburban
29063,1,1.0,Urban
29065,2,2.0,Suburban
29067,10,10.0,Rural
29069,2,2.0,Suburban
29070,2,2.0,Suburban
29071,1,1.0,Urban
29072,1,1.0,Urban
29073,1,1.0,Urban
29074,2,2.0,Suburban
29075,2,2.0,Suburban
29078,1,1.0,Urban
29079,5,5.0,Rural
29080,2,2.0,Suburban
29081,5,5.0,Rural
29082,8,8.0,Rural
29101,5,5.0,Rural
29102,7,7.1,Rural
29104,1,1.0,Urban
29105,3,3.0,Rural
29107,6,6.0,Rural
29108,4,4.0,Suburban
29111,2,2.0,Suburban
29112,2,2.0,Suburban
29113,6,6.0,Rural
29114,2,2.0,Suburban
29115,4,4.0,Suburban
29116,4,4.0,Suburban
29117,4,4.0,Suburban
29118,4,4.0,Suburban
29122,2,2.0,Suburban
29123,2,2.0,Suburban
29125,2,2.0,Suburban
29126,3,3.0,Rural
29127,5,5.0,Rural
29128,2,2.1,Suburban
29129,9,9.0,Rural
29130,2,2.0,Suburban
29132,2,2.0,Suburban
29133,4,4.0,Suburban
29135,2,2.0,Suburban
29137,3,3.0,Rural
29138,6,6.0,Rural
29142,3,3.0,Rural
29143,2,2.0,Suburban
29145,5,5.0,Rural
29146,6,6.0,Rural
29147,1,1.0,Urban
29148,3,3.0,Rural
29150,1,1.0,Urban
29151,1,1.0,Urban
29152,1,1.0,Urban
29153,1,1.0,Urban
29154,1,1.0,Urban
29160,2,2.0,Suburban
29161,1,1.0,Urban
29162,2,2.0,Suburban
29163,3,3.0,Rural
29164,2,2.0,Suburban
29166,9,9.0,Rural
29168,1,1.0,Urban
29169,1,1.0,Urban
29170,1,1.0,Urban
29171,1,1.0,Urban
29172,1,1.0,Urban
29175,2,2.0,Suburban
29177,1,1.0,Urban
29178,5,5.0,Rural
29180,2,2.0,Suburban
29201,1,1.0,Urban
29202,1,1.0,Urban
29203,1,1.0,Urban
29204,1,1.0,Urban
29205,1,1.0,Urban
29206,1,1.0,Urban
29207,1,1.0,Urban
29208,1,1.0,Urban
29209,1,1.0,Urban
29210,1,1.0,Urban
29211,1,1.0,Urban
29212,1,1.0,Urban
29214,1,1.0,Urban
29215,1,1.0,Urban
29216,1,1.0,Urban
29217,1,1.0,Urban
29218,1,1.0,Urban
29219,1,1.0,Urban
29220,1,1.0,Urban
29221,1,1.0,Urban
29222,1,1.0,Urban
29223,1,1.0,Urban
29224,1,1.0,Urban
29225,1,1.0,Urban
29226,1,1.0,Urban
29227,1,1.0,Urban
29228,1,1.0,Urban
29229,1,1.0,Urban
29230,1,1.0,Urban
29240,1,1.0,Urban
29250,1,1.0,Urban
29260,1,1.0,Urban
29290,1,1.0,Urban
29292,1,1.0,Urban
29301,1,1.0,Urban
29302,1,1.0,Urban
29303,1,1.0,Urban
29304,1,1.0,Urban
29305,1,1.0,Urban
29306,1,1.0,Urban
29307,1,1.0,Urban
29316,1,1.0,Urban
29319,1,1.0,Urban
29320,1,1.0,Urban
29321,4,4.0,Suburban
29322,2,2.0,Suburban
29323,2,2.0,Suburban
29324,1,1.0,Urban
29325,4,4.0,Suburban
29329,1,1.0,Urban
29330,1,1.0,Urban
29331,2,2.0,Suburban
29332,6,6.0,Rural
29333,1,1.0,Urban
29334,1,1.0,Urban
29335,2,2.0,Suburban
29336,1,1.0,Urban
29338,1,1.0,Urban
29340,4,4.0,Suburban
29341,4,4.0,Suburban
29342,4,4.0,Suburban
29346,1,1.0,Urban
29348,2,2.0,Suburban
29349,1,1.0,Urban
29351,4,4.0,Suburban
29353,2,2.0,Suburban
29355,4,4.0,Suburban
29356,2,2.0,Suburban
29360,4,4.0,Suburban
29364,5,5.0,Rural
29365,1,1.0,Urban
29368,1,1.0,Urban
29369,1,1.0,Urban
29370,6,6.0,Rural
29372,2,2.0,Suburban
29373,2,2.0,Suburban
29374,2,2.0,Suburban
29375,1,1.0,Urban
29376,1,1.0,Urban
29377,1,1.0,Urban
29378,1,1.0,Urban
29379,4,4.0,Suburban
29384,6,6.0,Rural
29385,1,1.0,Urban
29386,2,2.0,Suburban
29388,2,2.0,Suburban
29395,2,2.0,Suburban
29401,1,1.0,Urban
29402,1,1.0,Urban
29403,1,1.0,Urban
29404,1,1.0,Urban
29405,1,1.0,Urban
29406,1,1.0,Urban
29407,1,1.0,Urban
29409,1,1.0,Urban
29410,1,1.0,Urban
29412,1,1.0,Urban
29413,1,1.0,Urban
29414,1,1.0,Urban
29415,1,1.0,Urban
29416,1,1.0,Urban
29417,1,1.0,Urban
29418,1,1.0,Urban
29419,1,1.0,Urban
29420,1,1.0,Urban
29422,1,1.0,Urban
29423,1,1.0,Urban
29424,1,1.0,Urban
29425,1,1.0,Urban
29426,2,2.0,Suburban
29429,2,2.0,Suburban
29431,2,2.0,Suburban
29432,5,5.0,Rural
29433,2,2.0,Suburban
29434,2,2.0,Suburban
29435,2,2.0,Suburban
29436,2,2.0,Suburban
29437,2,2.0,Suburban
29438,2,2.0,Suburban
29439,1,1.0,Urban
29440,4,4.0,Suburban
29442,4,4.0,Suburban
29445,1,1.0,Urban
29446,2,2.0,Suburban
29447,10,10.0,Rural
29448,2,2.0,Suburban
29449,2,2.0,Suburban
29450,2,2.0,Suburban
29451,1,1.0,Urban
29452,2,2.0,Suburban
29453,2,2.0,Suburban
29455,1,1.0,Urban
29456,1,1.0,Urban
29457,1,1.0,Urban
29458,2,2.0,Suburban
29461,1,1.0,Urban
29464,1,1.0,Urban
29465,1,1.0,Urban
29466,1,1.0,Urban
29468,2,2.0,Suburban
29469,2,2.0,Suburban
29470,2,2.0,Suburban
29471,10,10.0,Rural
29472,2,2.0,Suburban
29474,2,2.0,Suburban
29475,2,2.0,Suburban
29476,2,2.0,Suburban
29477,10,10.0,Rural
29479,2,2.0,Suburban
29481,2,2.0,Suburban
29482,1,1.0,Urban
29483,1,1.0,Urban
29484,1,1.0,Urban
29485,1,1.0,Urban
29486,1,1.0,Urban
29487,2,2.0,Suburban
29488,2,2.0,Suburban
29492,1,1.0,Urban
29493,2,2.0,Suburban
29501,1,1.0,Urban
29502,1,1.0,Urban
29503,1,1.0,Urban
29504,1,1.0,Urban
29505,1,1.0,Urban
29506,1,1.0,Urban
29510,6,6.0,Rural
29511,2,2.0,Suburban
29512,4,4.0,Suburban
29516,5,5.0,Rural
29518,8,8.0,Rural
29519,3,3.0,Rural
29520,7,7.0,Rural
29525,10,10.0,Rural
29526,1,1.0,Urban
29527,1,1.0,Urban
29528,1,1.0,Urban
29530,2,2.0,Suburban
29532,1,1.0,Urban
29536,7,7.0,Rural
29540,2,2.0,Suburban
29541,1,1.0,Urban
29543,8,8.0,Rural
29544,2,2.0,Suburban
29545,2,2.0,Suburban
29546,2,2.0,Suburban
29547,8,8.0,Rural
29550,4,4.0,Suburban
29551,4,4.0,Suburban
29554,10,10.0,Rural
29555,10,10.0,Rural
29556,7,7.0,Rural
29560,7,7.0,Rural
29563,8,8.0,Rural
29564,3,3.0,Rural
29565,10,10.3,Rural
29566,1,1.0,Urban
29567,8,8.0,Rural
29568,2,2.0,Suburban
29569,2,2.0,Suburban
29570,5,5.0,Rural
29571,7,7.0,Rural
29572,1,1.0,Urban
29574,7,7.0,Rural
29575,1,1.0,Urban
29576,1,1.0,Urban
29577,1,1.0,Urban
29578,1,1.0,Urban
29579,1,1.0,Urban
29580,5,5.0,Rural
29581,2,2.0,Suburban
29582,1,1.0,Urban
29583,2,2.0,Suburban
29584,5,5.0,Rural
29585,2,2.0,Suburban
29587,1,1.0,Urban
29588,1,1.0,Urban
29589,7,7.0,Rural
29590,3,3.0,Rural
29591,2,2.0,Suburban
29592,10,10.3,Rural
29593,2,2.0,Suburban
29594,5,5.0,Rural
29596,9,9.0,Rural
29597,1,1.0,Urban
29598,1,1.0,Urban
29601,1,1.0,Urban
29602,1,1.0,Urban
29603,1,1.0,Urban
29604,1,1.0,Urban
29605,1,1.0,Urban
29606,1,1.0,Urban
29607,1,1.0,Urban
29608,1,1.0,Urban
29609,1,1.0,Urban
29610,1,1.0,Urban
29611,1,1.0,Urban
29612,1,1.0,Urban
29613,1,1.0,Urban
29614,1,1.0,Urban
29615,1,1.0,Urban
29616,1,1.0,Urban
29617,1,1.0,Urban
29620,4,4.0,Suburban
29621,1,1.0,Urban
29622,1,1.0,Urban
29623,1,1.0,Urban
29624,1,1.0,Urban
29625,1,1.0,Urban
29626,1,1.0,Urban
29627,2,2.0,Suburban
29628,5,5.0,Rural
29630,1,1.0,Urban
29631,1,1.0,Urban
29632,1,1.0,Urban
29633,1,1.0,Urban
29634,1,1.0,Urban
29635,2,2.0,Suburban
29636,1,1.0,Urban
29638,6,6.0,Rural
29639,6,6.0,Rural
29640,1,1.0,Urban
29641,1,1.0,Urban
29642,1,1.0,Urban
29643,5,5.0,Rural
29644,2,2.0,Suburban
29645,2,2.0,Suburban
29646,4,4.0,Suburban
29647,4,4.0,Suburban
29648,4,4.0,Suburban
29649,4,4.0,Suburban
29650,1,1.0,Urban
29651,1,1.0,Urban
29652,1,1.0,Urban
29653,5,5.0,Rural
29654,3,3.0,Rural
29655,2,2.0,Suburban
29656,1,1.0,Urban
29657,1,1.0,Urban
29658,5,5.0,Rural
29659,2,2.0,Suburban
29661,1,1.0,Urban
29662,2,2.0,Suburban
29664,5,5.0,Rural
29665,4,4.0,Suburban
29666,5,5.0,Rural
29667,1,1.0,Urban
29669,1,1.0,Urban
29670,1,1.0,Urban
29671,2,2.0,Suburban
29672,4,4.0,Suburban
29673,1,1.0,Urban
29675,4,4.0,Suburban
29676,5,5.0,Rural
29677,2,2.0,Suburban
29678,4,4.0,Suburban
29679,4,4.0,Suburban
29680,2,2.0,Suburban
29681,2,2.0,Suburban
29682,2,2.0,Suburban
29683,1,1.0,Urban
29684,2,2.0,Suburban
29685,2,2.0,Suburban
29686,5,5.0,Rural
29687,1,1.0,Urban
29688,2,2.0,Suburban
29689,2,2.0,Suburban
29690,1,1.0,Urban
29691,4,4.0,Suburban
29692,5,5.0,Rural
29693,5,5.0,Rural
29695,5,5.0,Rural
29696,5,5.0,Rural
29697,1,1.0,Urban
29702,5,5.0,Rural
29703,2,2.0,Suburban
29704,1,1.1,Urban
29706,3,3.0,Rural
29707,1,1.0,Urban
29708,1,1.0,Urban
29709,2,2.0,Suburban
29710,3,3.0,Rural
29712,2,2.0,Suburban
29714,2,2.0,Suburban
29715,1,1.0,Urban
29716,1,1.0,Urban
29717,3,3.0,Rural
29718,2,2.0,Suburban
29720,4,4.0,Suburban
29721,4,4.0,Suburban
29722,4,4.0,Suburban
29724,2,2.0,Suburban
29726,2,2.0,Suburban
29727,3,3.0,Rural
29728,2,2.0,Suburban
29729,2,2.0,Suburban
29730,1,1.1,Urban
29731,1,1.1,Urban
29732,1,1.1,Urban
29733,1,1.1,Urban
29734,1,1.1,Urban
29741,3,3.0,Rural
29742,3,3.0,Rural
29743,3,3.0,Rural
29744,1,1.0,Urban
29745,2,2.0,Suburban
29801,1,1.0,Urban
29802,1,1.0,Urban
29803,1,1.0,Urban
29804,1,1.0,Urban
29805,2,2.0,Suburban
29808,10,10.0,Rural
29809,1,1.0,Urban
29810,3,3.0,Rural
29812,8,8.0,Rural
29813,8,8.0,Rural
29816,1,1.0,Urban
29817,10,10.0,Rural
29819,5,5.0,Rural
29821,2,2.0,Suburban
29822,1,1.0,Urban
29824,7,7.0,Rural
29826,3,3.0,Rural
29827,2,2.0,Suburban
29828,1,1.0,Urban
29829,1,1.0,Urban
29831,2,2.0,Suburban
29832,2,2.0,Suburban
29834,1,1.0,Urban
29835,5,5.0,Rural
29836,3,3.0,Rural
29838,2,2.0,Suburban
29839,2,2.0,Suburban
29840,5,5.0,Rural
29841,1,1.0,Urban
29842,2,2.0,Suburban
29843,10,10.0,Rural
29844,2,2.0,Suburban
29845,2,2.0,Suburban
29846,10,10.0,Rural
29847,2,2.0,Suburban
29848,5,5.0,Rural
29849,10,10.0,Rural
29850,1,1.0,Urban
29851,1,1.0,Urban
29853,3,3.0,Rural
29856,2,2.0,Suburban
29860,1,1.0,Urban
29861,1,1.0,Urban
29899,5,5.0,Rural
29901,4,4.0,Suburban
29902,4,4.0,Suburban
29903,4,4.0,Suburban
29904,4,4.0,Suburban
29905,4,4.0,Suburban
29906,4,4.0,Suburban
29907,4,4.0,Suburban
29909,2,2.0,Suburban
29910,1,1.0,Urban
29911,8,8.0,Rural
29912,2,2.0,Suburban
29913,2,2.0,Suburban
29914,5,5.0,Rural
29915,2,2.1,Suburban
29916,5,5.1,Rural
29918,2,2.0,Suburban
29920,5,5.0,Rural
29921,2,2.1,Suburban
29922,2,2.1,Suburban
29923,2,2.0,Suburban
29924,2,2.0,Suburban
29925,1,1.0,Urban
29926,1,1.0,Urban
29927,2,2.1,Suburban
29928,1,1.0,Urban
29929,8,8.0,Rural
29931,5,5.0,Rural
29932,2,2.0,Suburban
29933,2,2.0,Suburban
29934,2,2.0,Suburban
29935,4,4.0,Suburban
29936,2,2.0,Suburban
29938,1,1.0,Urban
29939,2,2.1,Suburban
29940,5,5.0,Rural
29941,5,5.0,Rural
29943,2,2.0,Suburban
29944,2,2.0,Suburban
29945,5,5.1,Rural
30002,1,1.0,Urban
30003,1,1.0,Urban
30004,1,1.0,Urban
30005,1,1.0,Urban
30006,1,1.0,Urban
30007,1,1.0,Urban
30008,1,1.0,Urban
30009,1,1.0,Urban
30010,1,1.0,Urban
30011,1,1.0,Urban
30012,1,1.0,Urban
30013,1,1.0,Urban
30014,1,1.0,Urban
30015,1,1.0,Urban
30016,1,1.0,Urban
30017,1,1.0,Urban
30018,2,2.0,Suburban
30019,1,1.0,Urban
30021,1,1.0,Urban
30022,1,1.0,Urban
30023,1,1.0,Urban
30024,1,1.0,Urban
30025,2,2.0,Suburban
30026,1,1.0,Urban
30028,1,1.0,Urban
30029,1,1.0,Urban
30030,1,1.0,Urban
30031,1,1.0,Urban
30032,1,1.0,Urban
30033,1,1.0,Urban
30034,1,1.0,Urban
30035,1,1.0,Urban
30036,1,1.0,Urban
30037,1,1.0,Urban
30038,1,1.0,Urban
30039,1,1.0,Urban
30040,1,1.0,Urban
30041,1,1.0,Urban
30042,1,1.0,Urban
30043,1,1.0,Urban
30044,1,1.0,Urban
30045,1,1.0,Urban
30046,1,1.0,Urban
30047,1,1.0,Urban
30048,1,1.0,Urban
30049,1,1.0,Urban
30052,1,1.0,Urban
30054,2,2.0,Suburban
30055,2,2.0,Suburban
30056,2,2.0,Suburban
30058,1,1.0,Urban
30060,1,1.0,Urban
30061,1,1.0,Urban
30062,1,1.0,Urban
30063,1,1.0,Urban
30064,1,1.0,Urban
30065,1,1.0,Urban
30066,1,1.0,Urban
30067,1,1.0,Urban
30068,1,1.0,Urban
30069,1,1.0,Urban
30070,1,1.0,Urban
30071,1,1.0,Urban
30072,1,1.0,Urban
30074,1,1.0,Urban
30075,1,1.0,Urban
30076,1,1.0,Urban
30077,1,1.0,Urban
30078,1,1.0,Urban
30079,1,1.0,Urban
30080,1,1.0,Urban
30081,1,1.0,Urban
30082,1,1.0,Urban
30083,1,1.0,Urban
30084,1,1.0,Urban
30085,1,1.0,Urban
30086,1,1.0,Urban
30087,1,1.0,Urban
30088,1,1.0,Urban
30090,1,1.0,Urban
30091,1,1.0,Urban
30092,1,1.0,Urban
30093,1,1.0,Urban
30094,1,1.0,Urban
30095,1,1.0,Urban
30096,1,1.0,Urban
30097,1,1.0,Urban
30098,1,1.0,Urban
30099,1,1.0,Urban
30101,1,1.0,Urban
30102,1,1.0,Urban
30103,4,4.0,Suburban
30104,3,3.0,Rural
30105,2,2.0,Suburban
30106,1,1.0,Urban
30107,2,2.0,Suburban
30108,5,5.0,Rural
30109,5,5.1,Rural
30110,5,5.1,Rural
30111,1,1.0,Urban
30112,4,4.1,Suburban
30113,2,2.0,Suburban
30114,1,1.0,Urban
30115,1,1.0,Urban
30116,4,4.1,Suburban
30117,4,4.1,Suburban
30118,4,4.1,Suburban
30119,4,4.1,Suburban
30120,1,1.0,Urban
30121,1,1.0,Urban
30122,1,1.0,Urban
30123,2,2.0,Suburban
30124,2,2.0,Suburban
30125,2,2.0,Suburban
30126,1,1.0,Urban
30127,1,1.0,Urban
30129,2,2.0,Suburban
30132,1,1.0,Urban
30133,1,1.0,Urban
30134,1,1.0,Urban
30135,1,1.0,Urban
30137,1,1.0,Urban
30138,2,2.0,Suburban
30139,5,5.0,Rural
30140,2,2.0,Suburban
30141,1,1.0,Urban
30142,1,1.0,Urban
30143,2,2.0,Suburban
30144,1,1.0,Urban
30145,2,2.0,Suburban
30146,1,1.0,Urban
30147,2,2.0,Suburban
30148,2,2.0,Suburban
30149,1,1.0,Urban
30150,5,5.1,Rural
30151,2,2.0,Suburban
30152,1,1.0,Urban
30153,2,2.0,Suburban
30154,1,1.0,Urban
30156,1,1.0,Urban
30157,1,1.0,Urban
30160,1,1.0,Urban
30161,1,1.0,Urban
30162,1,1.0,Urban
30164,1,1.0,Urban
30165,1,1.0,Urban
30168,1,1.0,Urban
30169,1,1.0,Urban
30170,5,5.0,Rural
30171,2,2.0,Suburban
30172,2,2.0,Suburban
30173,2,2.0,Suburban
30175,2,2.0,Suburban
30176,2,2.0,Suburban
30177,2,2.0,Suburban
30178,1,1.0,Urban
30179,1,1.0,Urban
30180,1,1.0,Urban
30182,5,5.1,Rural
30183,2,2.0,Suburban
30184,2,2.0,Suburban
30185,2,2.0,Suburban
30187,2,2.0,Suburban
30188,1,1.0,Urban
30189,1,1.0,Urban
30204,2,2.0,Suburban
30205,2,2.0,Suburban
30206,2,2.0,Suburban
30212,1,1.0,Urban
30213,1,1.0,Urban
30214,1,1.0,Urban
30215,1,1.0,Urban
30216,2,2.0,Suburban
30217,2,2.0,Suburban
30218,2,2.0,Suburban
30220,2,2.0,Suburban
30222,2,2.0,Suburban
30223,1,1.0,Urban
30224,1,1.0,Urban
30228,1,1.0,Urban
30229,1,1.0,Urban
30230,5,5.0,Rural
30233,2,2.0,Suburban
30234,2,2.0,Suburban
30236,1,1.0,Urban
30237,1,1.0,Urban
30238,1,1.0,Urban
30240,4,4.0,Suburban
30241,4,4.0,Suburban
30248,1,1.0,Urban
30250,1,1.0,Urban
30251,2,2.0,Suburban
30252,1,1.0,Urban
30253,1,1.0,Urban
30256,2,2.0,Suburban
30257,2,2.0,Suburban
30258,2,2.0,Suburban
30259,2,2.0,Suburban
30260,1,1.0,Urban
30261,4,4.0,Suburban
30263,1,1.0,Urban
30264,1,1.0,Urban
30265,1,1.0,Urban
30266,2,2.0,Suburban
30268,1,1.0,Urban
30269,1,1.0,Urban
30270,1,1.0,Urban
30271,1,1.0,Urban
30272,1,1.0,Urban
30273,1,1.0,Urban
30274,1,1.0,Urban
30275,1,1.0,Urban
30276,2,2.0,Suburban
30277,1,1.0,Urban
30281,1,1.0,Urban
30284,2,2.0,Suburban
30285,6,6.0,Rural
30286,4,4.0,Suburban
30287,1,1.0,Urban
30288,1,1.0,Urban
30289,2,2.0,Suburban
30290,1,1.0,Urban
30291,1,1.0,Urban
30292,2,2.0,Suburban
30293,2,2.0,Suburban
30294,1,1.0,Urban
30295,2,2.0,Suburban
30296,1,1.0,Urban
30297,1,1.0,Urban
30298,1,1.0,Urban
30301,1,1.0,Urban
30302,1,1.0,Urban
30303,1,1.0,Urban
30304,1,1.0,Urban
30305,1,1.0,Urban
