YEAR,COUNTYFP,TotalPop,TotalVetPop,MalePop,MaleVetPop,Male18To34,MaleVet18To34,Male35To54,MaleVet35To54,Male55To64,MaleVet55To64,Male65To74,MaleVet65To74,Male75Plus,MaleVet75Plus,FemalePop,FemaleVetPop,Female18To34,FemaleVet18To34,Female35To54,FemaleVet35To54,Female55To64,FemaleVet55To64,Female65To74,FemaleVet65To74,Female75Plus,FemaleVet75Plus,VetPercent
2014-2018,04007,42551,5381,20848,5071,4489,59,5164,513,4049,710,4270,2133,2876,1656,21703,310,4295,0,5308,73,4463,108,4382,77,3255,52,12.65
2014-2018,04009,27546,2058,15095,1899,5691,170,5115,588,1955,281,1403,525,931,335,12451,159,4046,15,3797,83,1930,45,1479,16,1199,0,7.47
2014-2018,04011,6865,624,3504,614,1190,78,1202,161,570,102,230,115,312,158,3361,10,1102,0,1136,4,510,6,298,0,315,0,9.09
2014-2018,04012,17288,2575,8804,2534,1620,47,1750,166,1302,387,2012,672,2120,1262,8484,41,1526,0,1819,7,1424,0,1871,34,1844,0,14.89
2014-2018,04013,3206767,253896,1568021,231617,515834,18770,545125,51172,229785,38552,166049,63046,111228,60077,1638746,22279,496869,3731,552547,7951,251330,5808,192683,2258,145317,2531,7.92
2014-2018,04015,169174,24455,85289,22706,18156,871,21734,2867,15806,3597,17149,8339,12444,7032,83885,1749,15858,255,21103,537,17180,400,17137,279,12607,278,14.46
2014-2018,04017,79025,7379,39415,6833,12047,451,12047,1218,6679,1211,5373,2314,3269,1639,39610,546,10651,113,11945,159,7305,136,5811,66,3898,72,9.34
2014-2018,04019,795543,84854,386010,76760,125992,7004,113499,15327,60264,12773,50383,21330,35872,20326,409533,8094,120600,1343,117098,2892,67838,1843,57871,1028,46126,988,10.67
2014-2018,04021,321428,34783,168906,32401,50852,2544,55463,7245,23434,4574,23985,10065,15172,7973,152522,2382,37996,254,46623,831,26153,536,26140,600,15610,161,10.82
2014-2018,04023,33689,1681,15861,1559,4703,75,4875,346,2627,255,2228,404,1428,479,17828,122,4682,0,5829,86,3082,0,2416,19,1819,17,4.99
2014-2018,04025,186809,26329,90365,24563,18740,1236,21876,3228,17744,3708,19251,8967,12754,7424,96444,1766,16860,161,23274,451,21465,524,20816,355,14029,275,14.09
2014-2018,04027,150963,15280,76375,14032,26823,2197,21915,2806,9715,1816,8856,2953,9066,4260,74588,1248,22535,319,22062,334,10484,231,10199,177,9308,187,10.12
2014-2018,05001,13948,1113,6595,1048,1667,58,2171,136,1276,219,924,322,557,313,7353,65,1841,24,2284,10,1367,9,953,22,908,0,7.98
2014-2018,05003,15756,1079,7487,987,1932,53,2393,178,1358,109,1109,406,695,241,8269,92,1864,0,2798,34,1431,34,1251,15,925,9,6.85
2014-2018,05005,33993,4906,16249,4499,3185,423,4192,398,2942,575,3205,1587,2725,1516,17744,407,3108,0,4403,225,3513,85,3630,48,3090,49,14.43
2014-2018,05007,189592,15583,92947,14469,29695,1290,34909,3639,13126,2163,9124,3779,6093,3598,96645,1114,29301,254,34492,464,14144,208,10594,113,8114,75,8.22
2014-2018,05009,28768,3213,14028,2920,3733,420,4475,489,2408,620,2034,807,1378,584,14740,293,3372,76,4707,94,2582,75,2232,38,1847,10,11.17
2014-2018,05011,8350,727,3935,632,996,3,1382,211,682,62,545,219,330,137,4415,95,1045,10,1495,21,736,48,571,12,568,4,8.71
2014-2018,05013,4165,459,2095,456,558,6,653,167,395,65,286,69,203,149,2070,3,461,3,633,0,383,0,301,0,292,0,11.02
2014-2018,05015,21754,2392,10807,2272,2571,62,3257,433,2039,442,1900,732,1040,603,10947,120,2420,16,3127,16,2238,42,1899,30,1263,16,11.0
2014-2018,05017,8367,525,4108,491,1166,15,1290,34,792,129,491,190,369,123,4259,34,867,0,1309,19,831,10,608,0,644,5,6.27
2014-2018,05019,18110,1458,8447,1417,3363,57,2295,327,1239,305,901,316,649,412,9663,41,3694,0,2588,32,1338,0,1059,9,984,0,8.05
2014-2018,05021,11745,1043,5734,969,1396,85,1941,231,1013,216,797,217,587,220,6011,74,1382,0,1816,34,1058,30,937,10,818,0,8.88
2014-2018,05023,20431,2455,10000,2296,2187,127,2837,251,1854,365,1672,648,1450,905,10431,159,1920,16,2969,28,1967,61,1934,25,1641,29,12.02
2014-2018,05025,6356,520,3108,506,760,10,1018,98,566,91,477,148,287,159,3248,14,741,0,1050,0,571,5,493,1,393,8,8.18
2014-2018,05027,18827,1480,8809,1307,3264,233,2405,153,1431,294,972,333,737,294,10018,173,3362,115,2867,2,1463,19,1187,26,1139,11,7.86
2014-2018,05029,16113,1715,7797,1436,2046,142,2566,268,1407,356,1056,330,722,340,8316,279,1957,22,2717,160,1489,26,1141,45,1012,26,10.64
2014-2018,05031,79446,5371,37893,4976,13964,376,12596,1187,5383,815,3648,1474,2302,1124,41553,395,14009,80,13225,154,6165,87,4509,57,3645,17,6.76
2014-2018,05033,46878,4503,22740,4311,6192,195,8056,1169,3941,897,2869,1082,1682,968,24138,192,6429,25,7990,89,4202,45,3085,14,2432,19,9.61
2014-2018,05035,35566,2458,16442,2221,5238,251,5592,411,2840,593,1776,615,996,351,19124,237,5705,47,6527,107,3169,23,2081,9,1642,51,6.91
2014-2018,05037,12915,895,6095,763,1592,104,2113,240,1080,140,900,152,410,127,6820,132,1673,37,2239,49,1166,16,971,30,771,0,6.93
2014-2018,05039,5736,564,2748,526,675,38,827,152,574,72,427,120,245,144,2988,38,605,0,904,0,571,15,477,18,431,5,9.83
2014-2018,05041,8833,526,4064,496,1053,11,1242,108,838,147,577,123,354,107,4769,30,1235,0,1418,11,891,2,669,17,556,0,5.95
2014-2018,05043,14468,1240,6900,1114,2481,94,1952,345,1131,111,775,343,561,221,7568,126,2461,0,2159,96,1193,0,872,0,883,30,8.57
2014-2018,05045,93431,7122,44940,6340,17775,580,14669,1801,6161,1119,4047,1599,2288,1241,48491,782,18564,86,15007,481,6767,55,4786,100,3367,60,7.62
2014-2018,05047,13590,1368,6572,1276,1755,59,2147,246,1173,321,855,319,642,331,7018,92,1707,53,2242,23,1205,3,988,0,876,13,10.07
2014-2018,05049,9652,1141,4738,1121,1005,63,1378,169,894,219,828,258,633,412,4914,20,930,12,1395,1,979,0,923,7,687,0,11.82
2014-2018,05051,78233,8780,37155,8127,9255,462,11034,1419,6855,1321,5768,2626,4243,2299,41078,653,9067,44,12101,254,7479,212,6829,96,5602,47,11.22
2014-2018,05053,13927,1544,6840,1421,1810,204,2385,397,1203,204,907,368,535,248,7087,123,1744,58,2466,18,1203,10,973,23,701,14,11.09
2014-2018,05055,33630,2984,16416,2833,4917,206,5827,679,2609,429,1896,890,1167,629,17214,151,4696,5,5892,81,2743,32,2170,19,1713,14,8.87
2014-2018,05057,16303,1149,7640,1106,2026,89,2553,264,1375,222,1026,329,660,202,8663,43,2120,0,2818,21,1538,2,1141,4,1046,16,7.05
2014-2018,05059,26503,2365,13631,2252,4007,125,4564,501,2311,597,1712,617,1037,412,12872,113,3000,0,4139,7,2334,28,2063,70,1336,8,8.92
2014-2018,05061,9938,785,4722,753,1214,17,1606,149,860,130,627,207,415,250,5216,32,1390,0,1687,32,843,0,703,0,593,0,7.9
2014-2018,05063,28367,2434,13589,2295,3873,169,4594,510,2385,363,1659,704,1078,549,14778,139,3834,24,4763,3,2520,70,1948,38,1713,4,8.58
2014-2018,05065,11093,1421,5819,1323,1344,74,1862,322,1011,159,924,448,678,320,5274,98,962,22,1462,29,1072,11,937,36,841,0,12.81
2014-2018,05067,13752,1128,6716,1052,2003,39,2283,281,1127,190,779,288,524,254,7036,76,2056,4,2108,28,1190,19,957,25,725,0,8.2
