<<<<<<< Updated upstream
G_ZCTA,ZCTA,pop,minDist_OTP
G19358,19358,855,2.01
G19372,19372,1667,1.75
G19374,19374,1146,1.02
G19383,19383,3139,10.22
G41230,41230,12328,19.11
G35586,35586,4164,18.72
G32425,32425,13480,28.59
G83443,83443,1107,123.28
G83833,83833,1492,31.24
G83235,83235,91,140.91
G83547,83547,286,109.98
G60503,60503,16973,4.89
G62079,62079,244,14.7
G62250,62250,461,48.45
G60458,60458,15288,5.52
G61751,61751,83,27.66
G60153,60153,23810,0.44
G47448,47448,7016,17.96
G47118,47118,3150,38.37
G46345,46345,177,5.41
G47464,47464,221,11.38
G46922,46922,29,36.14
G47335,47335,647,19.11
G50066,50066,225,29.91
G48076,48076,25220,3.45
G55051,55051,9413,49.6
G67055,67055,138,8.79
G45319,45319,378,6.59
G24521,24521,10196,17.88
G65803,65803,41023,3.61
G83821,83821,219,66.37
G83837,83837,3170,60.55
G83839,83839,1165,55.45
G98801,98801,43291,57.52
G83844,83844,1906,66.6
G98812,98812,5297,111.94
G98816,98816,6120,85.84
G98817,98817,111,85.76
G98822,98822,1909,80.44
G83856,83856,6391,48.49
G98826,98826,7248,61.96
G98827,98827,396,120.92
G98840,98840,4385,109.45
G28719,28719,8025,2.68
G68740,68740,1118,90.46
G98283,98283,403,60.84
G50143,50143,686,16.16
G55603,55603,529,64.85
G41240,41240,6610,0.98
G41250,41250,1259,9.74
G48370,48370,1913,13.36
G35593,35593,1691,16.99
G17355,17355,274,15.36
G17361,17361,6511,15.51
G35136,35136,2076,17.07
G55114,55114,2931,0.8
G40353,40353,22548,27.58
G46151,46151,31810,19.06
G38804,38804,17672,40.43
G55118,55118,28402,4.13
G40361,40361,18529,16.78
G30117,30117,35575,8.1
G30118,30118,2180,6.77
G40371,40371,3128,42.73
G38824,38824,7405,46.5
G47596,47596,82,21.62
G47361,47361,214,15.38
G50078,50078,171,39.95
G51364,51364,723,91.51
G50324,50324,4990,1.12
G50218,50218,151,18.67
G52757,52757,211,19.86
G66751,66751,822,70.51
G67512,67512,206,65.09
G67482,67482,117,83.91
G40359,40359,6572,23.98
G40744,40744,18151,5.37
G42025,42025,19582,24.99
G41366,41366,27,21.67
G40324,40324,47244,12.93
G83871,83871,2101,69.75
G83873,83873,1454,68.69
G97913,97913,4947,37.58
G98845,98845,293,63.03
G98847,98847,2267,58.47
G98862,98862,2277,91.54
G29718,29718,4308,23.64
G69129,69129,1165,129.93
G67450,67450,624,87.35
G23069,23069,2803,13.47
G49935,49935,5791,95.74
G43768,43768,497,29.26
G27925,27925,3991,32.11
G53911,53911,1293,15.17
G29571,29571,14140,19.61
G49945,49945,2659,166.02
G62059,62059,452,2.71
G40280,40280,685,3.34
G38748,38748,3488,69.32
G40311,40311,7349,30.43
G40322,40322,3265,36.66
G32129,32129,22149,5.57
G48122,48122,10419,6.43
G32133,32133,34,15.83
G40330,40330,19912,25.09
G30103,30103,16138,7.27
G40336,40336,12597,16.26
G30107,30107,14606,14.49
G48127,48127,35690,0.79
G30456,30456,1936,30.79
G35645,35645,14011,13.64
G99125,99125,603,52.18
G99138,99138,1094,58.68
G99139,99139,1339,72.86
G99143,99143,739,66.65
G99151,99151,132,74.68
G48154,48154,37581,2.24
G30121,30121,23373,3.19
G50231,50231,170,36.33
G55129,55129,25248,5.26
G55760,55760,3047,50.54
G89019,89019,2376,37.77
G89060,89060,9042,45.99
G79837,79837,278,73.18
G86504,86504,7003,76.19
G97002,97002,5795,14.04
G86515,86515,4672,84.1
G84003,84003,48791,11.1
G70003,70003,41084,8.02
G44215,44215,2323,16.49
G34113,34113,21409,6.72
G65018,65018,7554,27.72
G41010,41010,3681,28.58
G40004,40004,30301,25.23
G70114,70114,24115,2.32
G71465,71465,3142,41.34
G71227,71227,3915,23.53
G70578,70578,18089,21.84
G70554,70554,5638,41.03
G04275,04275,374,44.74
G04237,04237,175,36.68
G04410,04410,1150,19.13
G04363,04363,2572,16.62
G21240,21240,0,2.82
G01088,01088,416,5.49
G02110,02110,2449,0.55
G02048,02048,23761,5.98
G48035,48035,34519,1.91
G23086,23086,3685,22.06
G58731,58731,266,18.88
G37716,37716,27010,15.78
G49950,49950,1238,181.97
G38063,38063,16536,25.47
G44285,44285,25,11.99
G29628,29628,2505,23.93
G43967,43967,0,19.57
G62246,62246,9916,34.29
G43971,43971,1100,7.98
G43972,43972,121,20.69
G29630,29630,14972,10.8
G43973,43973,2281,33.41
G29634,29634,5129,8.02
G43985,43985,93,26.7
G37803,37803,32158,4.87
G99155,99155,1120,82.08
G99160,99160,156,90.25
G99163,99163,34632,65.01
G99171,99171,1068,39.87
G64850,64850,23730,12.24
G44143,44143,24241,4.58
G44145,44145,32378,9.69
G23507,23507,6715,2.34
G62459,62459,341,32.35
G34101,34101,0,6.28
G34102,34102,11454,1.54
G34103,34103,12802,4.21
G38008,38008,8773,30.63
G53931,53931,253,20.76
G62478,62478,389,26.48
G29824,29824,8253,21.67
G68001,68001,98,39.45
G44235,44235,1916,25.58
G62514,62514,181,7.47
G66002,66002,13245,24.58
G23125,23125,255,12.8
G53949,53949,5986,40.72
G43905,43905,107,14.29
G23139,23139,24199,18.53
G29944,29944,3985,32.16
G54501,54501,19858,49.88
G23832,23832,36849,7.71
G29945,29945,5232,25.08
G48215,48215,11979,2.1
G48030,48030,16592,1.72
G48551,48551,0,2.81
G48069,48069,2389,3.14
G48374,48374,15987,3.96
G48335,48335,23174,6.44
G49631,49631,6049,32.37
G56601,56601,34281,87.01
G56056,56056,84,82.85
G55973,55973,261,23
G17099,17099,1140,17.87
G39194,39194,21750,37.62
G38873,38873,3278,33.23
G23936,23936,8440,35.08
G84660,84660,41519,12.57
G84628,84628,523,33.89
G84533,84533,187,134.97
G58833,58833,80,111.49
G37807,37807,10738,20.71
G28425,28425,11634,20.6
G54559,54559,886,79.38
G34431,34431,7958,24.25
G65278,65278,119,26.16
G23884,23884,33,17.91
G28433,28433,5375,25.64
G28438,28438,1619,18.18
G28441,28441,3818,30.71
G48082,48082,16540,1.48
G35070,35070,258,14.5
G38676,38676,6271,24.58
G35072,35072,4901,35.67
G32087,32087,5979,26.86
G35074,35074,0,14.67
G46111,46111,185,12.33
G35077,35077,13547,12.97
G37732,37732,167,44.74
G62090,62090,1293,3.65
G29922,29922,803,28.25
G28358,28358,38760,6.15
G65101,65101,29998,34.7
G66058,66058,277,38.16
G23806,23806,1707,3.72
G28364,28364,15183,17.31
G68055,68055,314,62.35
G62622,62622,71,36.96
G23824,23824,6572,33.09
G44403,44403,3904,4.66
G29936,29936,13666,10.11
G44856,44856,263,17.57
G82223,82223,1261,113.64
G44418,44418,1531,7.72
G68072,68072,69,35.22
G34243,34243,32235,3.38
G28379,28379,24403,26.32
G28382,28382,7026,21.02
G23837,23837,4608,10.86
G68105,68105,23508,0.6
G41271,41271,190,4.22
G30363,30363,3559,4.9
G39179,39179,1339,29.96
G41301,41301,6511,33.8
G35594,35594,7208,17.94
G32428,32428,17179,30.54
G55612,55612,622,93.32
G30401,30401,13598,26.67
G32432,32432,0,32.24
G24574,24574,3882,14.39
G05152,05152,355,24.23
G20112,20112,26902,7.91
G20115,20115,6911,22.41
G24360,24360,6030,10.89
G23063,23063,4621,24.78
G23958,23958,3693,28.82
G22015,22015,44852,5.63
G23867,23867,2018,25.32
G23899,23899,323,14.08
G99348,99348,1361,38.92
G98328,98328,9637,25.32
G98580,98580,11195,9.91
G98925,98925,535,44.83
G98819,98819,209,113.22
G99170,99170,995,28.58
G23954,23954,2012,46.9
G26623,26623,1319,41.51
G26260,26260,1537,46.85
G24986,24986,5282,43.57
G32328,32328,3032,49.47
G30070,30070,484,7.03
G46117,46117,690,26.48
G30441,30441,1701,36.99
G41701,41701,16445,2.23
G55731,55731,5912,83.3
G32461,32461,34,15.73
G30442,30442,7617,27.88
G30445,30445,3929,11.66
G30448,30448,76,18.81
G41749,41749,3399,11.63
G55734,55734,5993,42.56
G41760,41760,5,9.78
G30451,30451,47,11.01
G44121,44121,33211,1.1
G54307,54307,1105,4.49
G44126,44126,16372,8.21
G54819,54819,2370,49.04
G35584,35584,387,10.91
G55455,55455,1108,1.17
G21051,21051,330,5.93
G25523,25523,3145,22.72
G21071,21071,595,8.31
G21077,21077,271,3.62
G25557,25557,1797,27.4
G21090,21090,10494,3.02
G21105,21105,0,18.56
G25621,25621,1896,21.27
G25653,25653,388,19.22
G25671,25671,1376,15.51
G07739,07739,5864,4.39
G21136,21136,34164,8.77
G60438,60438,28960,1.74
G39180,39180,32526,42.37
G30411,30411,4766,22.56
G41339,41339,10712,17.97
G25849,25849,302,10.17
G25870,25870,47,19.11
G25906,25906,457,2.87
G25916,25916,253,22.52
G25951,25951,5798,16.47
G25962,25962,3375,20.46
G39330,39330,2643,15.44
G55763,55763,534,36.29
G60465,60465,17473,2.34
G60467,60467,26628,6.92
G85724,85724,0,1.71
G97910,97910,589,73.57
G54911,54911,26928,0.85
G56113,56113,245,66.16
G48367,48367,4683,14.47
G59441,59441,59,78.38
G50664,50664,104,57.76
G52232,52232,186,35.92
G55753,55753,904,62.65
G81643,81643,561,18.47
G06160,06160,0,0.94
G76311,76311,8784,3.95
G78107,78107,409,39.72
G98559,98559,0,23.18
G23461,23461,430,5.87
G29730,29730,55937,2.28
G64847,64847,451,22.18
G37920,37920,40920,5.82
G64849,64849,174,11.84
G29733,29733,1852,2.34
G44136,44136,25776,13.38
G28244,28244,0,2.83
G62448,62448,5565,40.75
G54665,54665,8035,24.41
G54666,54666,2810,41.37
G54667,54667,4957,21.24
G38368,38368,2032,20.61
G24019,24019,26897,3.36
G34210,34210,17023,3.46
G28350,28350,128,8.42
G25801,25801,32315,7.73
G25810,25810,208,18.49
G35646,35646,4734,10.64
G41858,41858,7170,22.92
G35649,35649,89,8.94
G46595,46595,129,12.42
G30460,30460,2079,1.7
G60459,60459,28908,4.17
G60461,60461,4917,3.9
G48464,48464,2172,19.43
G35653,35653,11043,20.56
G21746,21746,2953,5.12
G08240,08240,2293,6.57
G39338,39338,3834,35.06
G48502,48502,1147,2.92
G51008,51008,134,56.91
G51011,51011,81,45.62
G55771,55771,1639,99.19
G42032,42032,234,30.47
G60474,60474,986,21.71
G32531,32531,5735,30.43
G35672,35672,6189,17.33
G08346,08346,695,6.56
G26757,26757,6569,23.33
G08352,08352,615,4.67
G08402,08402,6076,3.2
G26814,26814,429,39.25
G54451,54451,11481,41.31
G38019,38019,15978,30.16
G38021,38021,20,17.17
G65536,65536,29232,48.31
G11020,11020,5728,1.47
G13784,13784,106,14.37
G28017,28017,721,10.44
G05904,05904,255,15.3
G15625,15625,26,7.24
G16027,16027,274,5.75
G43151,43151,316,22.6
G97438,97438,1098,17.31
G97412,97412,459,25.06
G85344,85344,10741,27.98
G35962,35962,9516,19.55
G72576,72576,3915,25.18
G94019,94019,20314,13.93
G95459,95459,618,58.48
G81120,81120,2070,29.81
G80480,80480,1251,68.92
G06243,06243,131,7.34
G06373,06373,325,15.52
G34216,34216,874,11.93
G38069,38069,2286,32.95
G65078,65078,4037,25.92
G38077,38077,68,19.73
G68038,68038,1310,55.04
G29910,29910,41018,8.49
G68042,68042,86,19.73
G44307,44307,6751,2.7
G54487,54487,9587,38.38
G44311,44311,8447,1.57
G24137,24137,2674,23.51
G68527,68527,702,7.41
G44838,44838,261,14.02
G24142,24142,2870,13.12
G98284,98284,26961,21.6
G08243,08243,1955,10.44
G26582,26582,4560,18.39
G26586,26586,218,9.18
G26601,26601,4970,46.85
G26610,26610,1226,44.52
G08302,08302,45352,1.33
G62874,62874,415,13.35
G44703,44703,8081,0.51
G62879,62879,117,44.88
G28560,28560,27590,4.98
G38381,38381,1477,22.84
G65483,65483,4355,41.24
G44705,44705,19451,2.57
G68436,68436,506,62.49
G28583,28583,279,18.57
G68452,68452,64,68.69
G65542,65542,6119,55.12
G62896,62896,12167,11.29
G38401,38401,59009,3.06
G68456,68456,1210,34.69
G65548,65548,5654,22.79
G38425,38425,3776,20.13
G34684,34684,28784,11.85
G38451,38451,4204,10.18
G65552,65552,2070,59.31
G44802,44802,951,34.6
G82001,82001,36154,36.98
G24599,24599,1131,29.52
G67202,67202,1671,0.66
G19734,19734,12855,6.12
G81507,81507,14985,8.02
G90029,90029,37898,0.81
G92065,92065,36309,13.96
G33786,33786,1632,7.22
G32227,32227,3087,10.62
G39828,39828,14684,22.02
G33406,33406,26858,1.26
G32068,32068,57226,18.4
G83607,83607,24647,13.9
G40211,40211,23215,4.38
G70091,70091,332,66.07
G70438,70438,19009,29.39
G60043,60043,2512,3.31
G46301,46301,581,14.02
G29644,29644,21182,4.57
G54113,54113,3570,3.93
G62266,62266,87,27.67
G28090,28090,8473,13.93
G54114,54114,5271,50.46
G23231,23231,36657,6.86
G62273,62273,294,26.41
G37818,37818,5651,20.16
G28101,28101,826,3.16
G62281,62281,2712,18.92
G62285,62285,4436,18.04
G37825,37825,8288,33.28
G28108,28108,118,8.42
G50839,50839,45,56.11
G32465,32465,8179,31.28
G35640,35640,24570,16.94
G34661,34661,138,24.03
G68445,68445,105,34.87
G45363,45363,1698,9.13
G82944,82944,118,73.9
G24570,24570,6,14.41
G83011,83011,39,143.52
G83012,83012,226,145.7
G34748,34748,39230,17.47
G54820,54820,788,29.38
G28645,28645,46604,4.58
G24168,24168,361,24.75
G62961,62961,51,16.78
G44861,44861,65,27.41
G62963,62963,653,25.29
G28651,28651,7419,9.7
G44436,44436,3695,5.3
G24179,24179,18416,9.9
G24184,24184,4180,18.57
G28655,28655,54594,5.13
G66760,66760,0,19.62
G82301,82301,9176,156.76
G82321,82321,585,147.84
G82322,82322,197,174.48
G28657,28657,8701,19.14
G38568,38568,2144,65.74
G65626,65626,1654,15.89
G65630,65630,333,23.19
G82329,82329,366,118.7
G38571,38571,13905,59.88
G66767,66767,517,59.59
G21869,21869,1100,16.73
G51630,51630,237,57.94
G02724,02724,17686,0.87
G49726,49726,1104,83.91
G49660,49660,14336,68.5
G25043,25043,1392,30.36
G25067,25067,1184,14.54
G05902,05902,204,34.99
G26415,26415,3707,30.08
G54615,54615,10692,32.44
G53223,53223,28596,6.9
G24836,24836,630,23.42
G41810,41810,321,21.1
G30453,30453,10775,21.06
G21652,21652,138,11.9
G26411,26411,931,18.75
G08097,08097,3213,5.25
G26416,26416,8177,20.01
G26419,26419,1179,25.34
G21664,21664,439,12.47
G26425,26425,1134,24.6
G26426,26426,7751,10.28
G26444,26444,3601,19.95
G26451,26451,733,4.34
G26452,26452,9045,17.61
G21705,21705,0,0.74
G21733,21733,911,6.01
G26508,26508,33523,3.78
G28652,28652,0,18.97
G68634,68634,489,58.91
G82240,82240,10489,124.57
G24175,24175,7901,8.98
G54830,54830,2716,48.17
G69210,69210,2188,178.37
G69211,69211,423,233.16
G69218,69218,235,228.25
G45835,45835,519,20.69
G69301,69301,9836,152.36
G67553,67553,193,125.49
G12455,12455,1749,35.21
G12466,12466,2402,3.6
G16686,16686,13268,13.39
G16724,16724,107,21.66
G28666,28666,125,8.71
G54843,54843,11577,65.22
G38572,38572,11022,48.05
G07848,07848,5059,2.47
G25981,25981,443,29.66
G21216,21216,31409,0.18
G16830,16830,13371,3.32
G16833,16833,5322,11.75
G16840,16840,553,13.21
G16848,16848,376,24.78
G16866,16866,9959,16.92
G16868,16868,297,2.23
G16879,16879,432,13.86
G53001,53001,1825,17.85
G25139,25139,381,22.44
G82051,82051,40,76.15
G82718,82718,26340,194.64
G21675,21675,108,23.92
G92132,92132,0,4.45
G45351,45351,212,17.61
G45899,45899,110,29.04
G45372,45372,319,6.13
G44654,44654,21043,27.59
G45853,45853,1264,20.6
G73720,73720,146,47.2
G65457,65457,115,77.15
G68415,68415,651,48.09
G28551,28551,15104,11.27
G28554,28554,168,13.56
G68419,68419,261,10.22
G44693,44693,41,28.75
G65470,65470,955,54.71
G28904,28904,8759,11.68
G82834,82834,7487,140.79
G24528,24528,3347,26.53
G67071,67071,205,89.77
G82839,82839,1367,89.78
G67073,67073,427,47.66
G24531,24531,8347,16.88
G45334,45334,2117,17.99
G16730,16730,60,15.74
G16735,16735,5743,23.59
G12530,12530,117,17.07
G16802,16802,11611,2.87
G16821,16821,303,11.69
G12534,12534,17967,19.96
G16825,16825,230,6.09
G12547,12547,2899,5.18
G19055,19055,14095,1.32
G19074,19074,5890,4.15
G08310,08310,1270,9.81
G16915,16915,5977,37.71
G16920,16920,2046,19.46
G12722,12722,92,10.08
G08502,08502,11203,8.91
G26851,26851,1765,26.11
G08528,08528,86,9.88
G21863,21863,4741,12.56
G21867,21867,10,14.11
G08553,08553,598,10.48
G21890,21890,2799,11.39
G21913,21913,884,3.45
G21914,21914,771,5.54
G13333,13333,34,28.01
G13338,13338,1121,30.63
G97739,97739,12096,26.69
G97037,97037,881,70.55
G97601,97601,22451,39.47
G97836,97836,1842,42.53
G97038,97038,15587,21.29
G97214,97214,26207,0.25
G15561,15561,191,17.31
G15642,15642,44060,7.14
G18974,18974,41173,1.18
G15716,15716,867,1.25
G15370,15370,14781,12.16
G15449,15449,463,6.77
G15260,15260,0,0.58
G17982,17982,462,11.98
G82901,82901,29321,147.45
G82922,82922,229,120.41
G82925,82925,275,141.59
G28628,28628,494,6.85
G62949,62949,833,13.07
G28630,28630,20007,8.44
G62953,62953,313,12.62
G54806,54806,11513,60.3
G65608,65608,9103,38.12
G66736,66736,3730,55.84
G24151,24151,20327,24.95
G38504,38504,883,49.25
G82215,82215,101,127.1
G66741,66741,177,44.97
G28643,28643,3521,22.7
G67459,67459,241,82.86
G69142,69142,83,203.64
G08316,08316,384,12.95
G08320,08320,1091,5.23
G26679,26679,1870,30.78
G26704,26704,5424,24.82
G13134,13134,208,20.48
G17257,17257,29238,29.88
G17266,17266,494,25.02
G17306,17306,351,18.55
G17307,17307,5964,20.54
G13163,13163,473,15.59
G17317,17317,697,6.87
G13205,13205,17479,3.56
G13211,13211,6145,3.56
G13290,13290,0,1.47
G13309,13309,5823,18.88
G13341,13341,107,8.43
G17407,17407,2226,7.91
G13365,13365,8469,20.42
G17507,17507,30,8.6
G13410,13410,281,21.53
G24609,24609,7172,3.14
G24612,24612,229,4.48
G24614,24614,7458,24.01
G24620,24620,2594,22.63
G67207,67207,28313,0.3
G24635,24635,1430,29.71
G24639,24639,3102,10.52
G45428,45428,335,0.6
G68934,68934,107,83.9
G15560,15560,184,18.04
G18970,18970,725,1.96
G17850,17850,793,6.62
G29153,29153,14934,4.1
G29907,29907,14801,20.85
G29046,29046,143,16.61
G29940,29940,4046,20.25
G57379,57379,83,101.73
G57532,57532,2946,167.04
G57758,57758,91,156.56
G38012,38012,13941,24.82
G57788,57788,402,190.03
G37379,37379,27532,18.89
G37098,37098,6802,12.86
G38311,38311,849,16.21
G37032,37032,4836,14.79
G37821,37821,22121,1.19
G38341,38341,2513,32.38
G38254,38254,65,22.3
G69148,69148,161,138.26
G67475,67475,160,63.93
G69152,69152,807,220.21
G69154,69154,1151,142.83
G66209,66209,19829,2.38
G68157,68157,6420,4.46
G23890,23890,3708,17.3
G62707,62707,6924,3.69
G28444,28444,1962,36.72
G44607,44607,178,19.89
G38256,38256,2670,8.14
G44610,44610,160,23.87
G28712,28712,20017,20.36
G54893,54893,3711,64.95
G82435,82435,12004,67.29
G82440,82440,201,73.2
G82441,82441,221,86.3
G24273,24273,6366,35.84
G68858,68858,315,141.49
G68861,68861,91,135.45
G45378,45378,362,15.68
G83101,83101,3123,66.67
G83112,83112,439,95.12
G24589,24589,3135,35.47
G83113,83113,2360,96.18
G24590,24590,7745,16.66
G45388,45388,853,16.47
G45389,45389,478,11.76
G99204,99204,6538,1.22
G99301,99301,78767,17.21
G99328,99328,3709,60.89
G99350,99350,14017,23.04
G99359,99359,142,57.37
G99401,99401,304,80.49
G84034,84034,150,110.12
G89010,89010,487,115.02
G81324,81324,1289,69.35
G31833,31833,7188,15.16
G27516,27516,41551,10.71
G49677,49677,7254,43.79
G63860,63860,170,43.22
G29338,29338,26,9.72
G37213,37213,100,2.56
G29340,29340,21046,20.81
G33473,33473,11300,6.01
G63868,63868,687,31.49
G59833,59833,5656,13.66
G27520,27520,40611,4
G59837,59837,511,41.29
G29346,29346,293,8.96
G37219,37219,1134,1.74
G49835,49835,913,102.98
G36853,36853,7828,39.64
G57251,57251,173,109.52
G51363,51363,226,91.06
G52595,52595,424,25.58
G59250,59250,172,232.71
G31217,31217,16735,9.43
G36477,36477,3898,31.97
G59254,59254,2157,156.95
G47034,47034,100,25.96
G47035,47035,210,14.3
G36069,36069,1939,19.08
G36075,36075,2159,17.12
G39663,39663,2989,52.06
G52066,52066,60,31.36
G42718,42718,25597,35
G60630,60630,57344,4.13
G42721,42721,3570,29.13
G48861,48861,1398,18.16
G30820,30820,1112,39.5
G36567,36567,13935,16.53
G59417,59417,7653,61.44
G59419,59419,104,90.56
G63370,63370,13,43.02
G90291,90291,27525,0.36
G96117,96117,319,71.44
G96044,96044,931,30.4
G20018,20018,19943,2.07
G33139,33139,38606,6.37
G61834,61834,8778,30.49
G51647,51647,131,53.68
G55725,55725,121,100.71
G04268,04268,4969,21.52
G63565,63565,3433,58.25
G87419,87419,365,32.5
G43446,43446,88,17.62
G97367,97367,9431,45.72
G29635,29635,1225,17.7
G40363,40363,19,24.57
G26833,26833,2141,42.7
G76039,76039,35394,5.27
G86332,86332,1810,25.21
G92337,92337,38868,7.54
G94130,94130,3064,3.65
G44278,44278,17951,4.19
G74766,74766,1556,68.38
G97502,97502,28300,7.04
G15767,15767,14362,30.16
G15865,15865,1224,22.28
G04933,04933,24,20.13
G02215,02215,25619,1.5
G48041,48041,4489,4.84
G59421,59421,1696,99.73
G31510,31510,9914,24.38
G33136,33136,14839,4.92
G47546,47546,21137,36.24
G59425,59425,3506,113.16
G61321,61321,248,25.72
G33174,33174,34015,10.65
G31557,31557,3229,18.54
G36726,36726,4884,68.96
G37061,37061,4646,26.87
G57076,57076,373,42.88
G61328,61328,25,34.39
G59538,59538,2913,162.78
G49684,49684,40308,51.98
G37228,37228,1206,2.78
G63874,63874,370,36.38
G59840,59840,13690,46.33
G27524,27524,13916,15.6
G29353,29353,4199,21.65
G59843,59843,275,50.48
G29355,29355,928,12.95
G57455,57455,88,134.43
G57457,57457,92,100.6
G83525,83525,323,101.81
G98353,98353,46,8.04
G98355,98355,917,38.74
G29655,29655,6915,19.76
G29659,29659,89,23.54
G37830,37830,29454,19.46
G44046,44046,2473,16
G29661,29661,5885,16.34
G44049,44049,224,11.25
G28114,28114,7139,14.99
G29666,29666,6610,10.67
G37841,37841,8971,40.41
G29669,29669,12058,10.32
G47639,47639,4261,13.91
G66840,66840,748,33.95
G59221,59221,1870,137.07
G02421,02421,18984,4.04
G43433,43433,85,10.38
G08735,08735,3874,4.27
G29927,29927,9675,9.5
G97147,97147,321,20.1
G89301,89301,7901,167.33
G75071,75071,52939,3.33
G89311,89311,121,135.77
G89314,89314,299,170.35
G80212,80212,19652,3.13
G89316,89316,1272,190.1
G55395,55395,2898,34.8
G38620,38620,3118,52.93
G65586,65586,75,81.25
G63079,63079,24,47.62
G68635,68635,452,26.28
G07204,07204,13568,2.6
G07721,07721,3003,0.58
G87530,87530,1110,24.55
G13662,13662,16069,72.42
G10009,10009,57925,0.44
G55425,55425,10435,1.16
G39479,39479,5533,67.88
G59828,59828,5781,35.55
G59064,59064,272,33.05
G44054,44054,12613,4.59
G37847,37847,2535,37.36
G54149,54149,1285,50.59
G62305,62305,19357,3.07
G54151,54151,3318,83.17
G29671,29671,17642,11.12
G38305,38305,52662,4.28
G36480,36480,1564,31.52
G52601,52601,28777,50.72
G52621,52621,669,50.48
G59255,59255,3487,180.18
G52624,52624,268,55.85
G61027,61027,77,35.41
G36862,36862,5882,28.29
G63638,63638,2698,44.89
G56672,56672,2003,51.89
G47872,47872,8770,24.1
G47876,47876,354,3.96
G61430,61430,677,37.64
G61433,61433,107,29.89
G47881,47881,361,11.97
G63640,63640,29260,54.77
G31709,31709,15659,30.81
G43117,43117,212,11.78
G47884,47884,157,10.5
G33323,33323,21195,3.73
G20175,20175,33723,19.48
G59714,59714,20288,12.76
G57002,57002,1078,51.94
G63377,63377,2381,37.63
G57660,57660,103,78.57
G58001,58001,29,29.37
G36582,36582,24628,8.29
G63767,63767,701,17.13
G31787,31787,1566,19.07
G59739,59739,222,93.48
G71854,71854,36867,8.08
G89403,89403,15775,15.72
G71857,71857,4851,47.73
G80650,80650,1558,14.57
G81419,81419,3852,42.35
G32466,32466,6450,16.96
G33015,33015,66272,5.67
G30233,30233,23245,0.71
G31546,31546,8103,24.79
G30346,30346,4965,4.51
G46268,46268,25247,7.29
G46998,46998,167,26.62
G46379,46379,134,19.46
G50012,50012,4817,21.97
G41232,41232,785,9.17
G39428,39428,10578,57.6
G89002,89002,34953,4.87
G03580,03580,1306,24.66
G88250,88250,300,51.1
G88422,88422,61,117.63
G10522,10522,11027,5.26
G27201,27201,81,17.32
G58009,58009,12,37.53
G58076,58076,355,42.11
G45158,45158,373,7.63
G40962,40962,18220,22.31
G90063,90063,52951,1.84
G95631,95631,6800,34.04
G81611,81611,10653,92.41
G80456,80456,715,40.99
G06510,06510,2586,0.59
G43201,43201,33455,0.49
G27370,27370,15678,8.08
G49633,49633,3678,40.16
G43202,43202,21141,2.23
G37172,37172,29194,23.08
G59743,59743,103,72.78
G59745,59745,85,25.23
G53108,53108,3270,8.61
G53110,53110,18349,1.18
G33503,33503,204,16.04
G27526,27526,47425,15.02
G59846,59846,1174,31.05
G37306,37306,2322,26.52
G58452,58452,39,81.39
G27822,27822,8459,6.08
G29493,29493,164,48.78
G22922,22922,2058,25.4
G64123,64123,9580,3.16
G43608,43608,14570,1.67
G37614,37614,1942,9.31
G43610,43610,4343,1.24
G29506,29506,20823,7.58
G58630,58630,744,85.64
G22942,22942,8915,14.84
G58631,58631,1166,49.01
G64130,64130,19996,3.88
G37617,37617,13870,11.29
G58634,58634,365,111.56
G27841,27841,24,21.46
G53588,53588,4084,36.5
G59036,59036,1433,76.62
G62812,62812,10905,18.69
G54622,54622,2001,37.15
G68332,68332,122,30.59
G23930,23930,5148,35.86
G38917,38917,3260,82.4
G68822,68822,4580,158.9
G45051,45051,174,2.83
G29560,29560,13292,22.96
G37881,37881,2135,30.31
G60040,60040,5366,8.24
G47553,47553,8260,33.37
G51570,51570,972,28
G67206,67206,16106,2.73
G42261,42261,10769,20.26
G70352,70352,165,40.51
G20701,20701,0,0.63
G49263,49263,82,14.78
G49634,49634,81,67.87
G35481,35481,3669,32.37
G36033,36033,4426,56.85
G36768,36768,898,57.29
G33029,33029,47895,9.8
G32564,32564,2931,22.8
G30014,30014,38445,11.21
G83524,83524,952,95.34
G83278,83278,320,86.63
G45710,45710,5222,8.36
G45769,45769,7058,13.45
G37722,37722,5380,11.87
G49967,49967,469,111.18
G65613,65613,17757,27.67
G69221,69221,199,190.67
G45866,45866,142,27.93
G66758,66758,219,68.12
G53959,53959,13971,44.46
G82334,82334,441,136.42
G94508,94508,4298,16.97
G77401,77401,19283,2.32
G94513,94513,62991,8.19
G66415,66415,926,53.35
G54629,54629,2571,30.99
G38318,38318,290,25.43
G23942,23942,1353,46.3
G23944,23944,3585,40.62
G68342,68342,569,47.7
G38320,38320,10357,20.82
G66431,66431,576,22.04
G45132,45132,398,14.41
G54937,54937,19364,2.29
G45133,45133,23764,24.39
G29379,29379,17485,23.17
G57501,57501,16876,158.95
G63935,63935,9770,28.27
G54555,54555,4722,63.78
G86507,86507,2217,62.82
G71647,71647,2259,60.95
G40204,40204,14765,4.97
G96048,96048,713,40.68
G97834,97834,900,92.44
G74569,74569,1288,32.11
G35634,35634,9793,11.14
G71953,71953,13894,57.75
G81429,81429,46,56.58
G17884,17884,215,9.03
G29388,29388,15721,11.08
