ZCTA,GEOID,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
55075,055075,17,24,17
56647,056647,0,0,0
55431,055431,4,3,4
55155,055155,0,0,0
39365,039365,0,0,0
39439,039439,0,0,0
39565,039565,0,0,0
35545,035545,0,0,0
36051,036051,0,0,0
36471,036471,0,0,0
36067,036067,0,0,0
35446,035446,0,0,0
35580,035580,0,0,0
35034,035034,0,0,0
35960,035960,0,0,0
35254,035254,0,0,0
99733,099733,0,0,0
36280,036280,0,0,0
86556,086556,0,0,0
85932,085932,0,0,0
71646,071646,0,0,0
36524,036524,0,0,0
84536,084536,0,0,0
90742,090742,0,0,0
93560,093560,0,0,0
96108,096108,0,0,0
19944,019944,0,0,0
92553,092553,36,30,36
06377,06377,0,0,0
32577,032577,0,0,0
31601,031601,223,202,223
31821,031821,0,0,0
83285,083285,0,0,0
32132,032132,0,0,0
33142,033142,526,482,526
66118,066118,0,0,0
83120,083120,0,0,0
79601,079601,0,0,0
76433,076433,0,0,0
77445,077445,0,0,0
77859,077859,0,0,0
75975,075975,0,0,0
76446,076446,0,0,0
76951,076951,0,0,0
78358,078358,0,0,0
78873,078873,0,0,0
75926,075926,0,0,0
75760,075760,0,0,0
78147,078147,0,0,0
76661,076661,0,0,0
78339,078339,0,0,0
75555,075555,0,0,0
77474,077474,0,0,0
76711,076711,74,74,74
24630,024630,0,0,0
75936,075936,0,0,0
84031,084031,0,0,0
84649,084649,0,0,0
84540,084540,0,0,0
84075,084075,0,0,0
05084,05084,0,0,0
24502,024502,3,3,3
22203,022203,36,34,36
23882,023882,0,0,0
22035,022035,0,0,0
23665,023665,0,0,0
98404,098404,50,47,50
99140,099140,0,0,0
98361,098361,0,0,0
25286,025286,0,0,0
26351,026351,0,0,0
24927,024927,0,0,0
98039,098039,0,0,0
26301,026301,185,163,150
25524,025524,0,0,0
25208,025208,0,0,0
05907,05907,0,0,0
53218,053218,0,0,0
54627,054627,0,0,0
54546,054546,0,0,0
26684,026684,0,0,0
82073,082073,0,0,0
82730,082730,0,0,0
82335,082335,0,0,0
72749,072749,0,0,0
83111,083111,0,0,0
74346,074346,0,0,0
83414,083414,0,0,0
49946,049946,0,0,0
68658,068658,0,0,0
40351,040351,86,52,86
42320,042320,0,0,0
40472,040472,0,0,0
40374,040374,0,0,0
41567,041567,0,0,0
40051,040051,0,0,0
40078,040078,0,0,0
41535,041535,0,0,0
70655,070655,0,0,0
71438,071438,0,0,0
70535,070535,0,0,0
71377,071377,0,0,0
70001,070001,0,0,0
04644,04644,0,0,0
04497,04497,0,0,0
04457,04457,0,0,0
04953,04953,0,0,0
20779,020779,0,0,0
01561,01561,0,0,0
02457,02457,0,0,0
33412,033412,0,0,0
32409,032409,0,0,0
32399,032399,0,0,0
33158,033158,0,0,0
34679,034679,0,0,0
32448,032448,9,9,9
32732,032732,0,0,0
31020,031020,267,238,267
31553,031553,0,0,0
31324,031324,2,2,2
31064,031064,0,0,0
31006,031006,0,0,0
30250,030250,0,0,0
96790,096790,0,0,0
96853,096853,0,0,0
83847,083847,0,0,0
83313,083313,0,0,0
83445,083445,0,0,0
83638,083638,0,0,0
83227,083227,0,0,0
24501,024501,70,23,70
24592,024592,7,6,7
84773,084773,0,0,0
84054,084054,0,0,0
84066,084066,38,36,38
84027,084027,0,0,0
05254,05254,0,0,0
24167,024167,0,0,0
22727,022727,16,10,16
23842,023842,0,0,0
24073,024073,51,37,30
05439,05439,0,0,0
23708,023708,0,0,0
18915,018915,0,0,0
77990,077990,0,0,0
98601,098601,0,0,0
98952,098952,0,0,0
61955,061955,0,0,0
61731,061731,0,0,0
62077,062077,0,0,0
61625,061625,0,0,0
61236,061236,0,0,0
62362,062362,0,0,0
62334,062334,0,0,0
47536,047536,0,0,0
46135,046135,24,7,24
47201,047201,92,75,92
46958,046958,0,0,0
46070,046070,0,0,0
50223,050223,0,0,0
50577,050577,0,0,0
51101,051101,37,37,37
50032,050032,0,0,0
52337,052337,0,0,0
52531,052531,0,0,0
52591,052591,0,0,0
50057,050057,0,0,0
66213,066213,0,0,0
67850,067850,0,0,0
41004,041004,0,0,0
16665,016665,0,0,0
15323,015323,0,0,0
17929,017929,0,0,0
19474,019474,0,0,0
15082,015082,0,0,0
16239,016239,0,0,0
15075,015075,0,0,0
15621,015621,0,0,0
19076,019076,0,0,0
29654,029654,0,0,0
02802,02802,0,0,0
29691,029691,0,0,0
29038,029038,0,0,0
29540,029540,0,0,0
29488,029488,19,0,19
29812,029812,0,0,0
29080,029080,0,0,0
29128,029128,0,0,0
57197,057197,0,0,0
57018,057018,0,0,0
57567,057567,0,0,0
38483,038483,0,0,0
79530,079530,0,0,0
23947,023947,0,0,0
84021,084021,0,0,0
38655,038655,0,0,0
39175,039175,0,0,0
65020,065020,0,0,0
65625,065625,0,0,0
64735,064735,27,27,27
64443,064443,0,0,0
63109,063109,0,0,0
59086,059086,0,0,0
59223,059223,0,0,0
59711,059711,0,0,0
59001,059001,0,0,0
59868,059868,0,0,0
59826,059826,0,0,0
59058,059058,0,0,0
59832,059832,0,0,0
68950,068950,0,0,0
68751,068751,0,0,0
68303,068303,0,0,0
89820,089820,0,0,0
89438,089438,0,0,0
03043,03043,0,0,0
99709,099709,0,0,0
99754,099754,0,0,0
99626,099626,0,0,0
86505,086505,0,0,0
85629,085629,0,0,0
86018,086018,0,0,0
86046,086046,0,0,0
72031,072031,0,0,0
71638,071638,0,0,0
72441,072441,0,0,0
72325,072325,0,0,0
95949,095949,0,0,0
96069,096069,0,0,0
92840,092840,16,16,16
92332,092332,0,0,0
90062,090062,534,425,534
93306,093306,0,0,0
92281,092281,0,0,0
94121,094121,0,0,0
95526,095526,0,0,0
90249,090249,0,0,0
95053,095053,0,0,0
93626,093626,0,0,0
96021,096021,0,0,0
80424,080424,0,0,0
80540,080540,0,0,0
80449,080449,0,0,0
80294,080294,0,0,0
06422,06422,0,0,0
06350,06350,0,0,0
32571,032571,0,0,0
74942,074942,0,0,0
97761,097761,0,0,0
97869,097869,0,0,0
97005,097005,32,28,32
97636,097636,0,0,0
16323,016323,34,29,32
16933,016933,72,43,72
15701,015701,148,128,148
19457,019457,0,0,0
15778,015778,0,0,0
18353,018353,0,0,0
15434,015434,0,0,0
15219,015219,462,419,338
82725,082725,0,0,0
36830,036830,0,0,0
36720,036720,0,0,0
98047,098047,0,0,0
98565,098565,0,0,0
98385,098385,0,0,0
25541,025541,0,0,0
26164,026164,0,0,0
26137,026137,0,0,0
54946,054946,0,0,0
53901,053901,59,44,53
25672,025672,0,0,0
54765,054765,0,0,0
53195,053195,0,0,0
77518,077518,0,0,0
54874,054874,0,0,0
54214,054214,0,0,0
84313,084313,0,0,0
54654,054654,0,0,0
82601,082601,332,220,332
82201,082201,4,4,4
25008,025008,0,0,0
82838,082838,0,0,0
98320,098320,0,0,0
99786,099786,0,0,0
97828,097828,15,15,15
85322,085322,0,0,0
31815,031815,0,0,0
21052,021052,0,0,0
04746,04746,0,0,0
59831,059831,0,0,0
81149,081149,0,0,0
21718,021718,0,0,0
59460,059460,0,0,0
60482,060482,0,0,0
50566,050566,0,0,0
46045,046045,0,0,0
61323,061323,0,0,0
04435,04435,0,0,0
57012,057012,0,0,0
38588,038588,0,0,0
37064,037064,224,223,224
38450,038450,0,0,0
37874,037874,0,0,0
37357,037357,0,0,0
79032,079032,0,0,0
78621,078621,19,19,19
77430,077430,0,0,0
77583,077583,0,0,0
75560,075560,0,0,0
76450,076450,0,0,0
77535,077535,0,0,0
77713,077713,0,0,0
78861,078861,0,0,0
75089,075089,0,0,0
79916,079916,0,0,0
78060,078060,0,0,0
03770,03770,0,0,0
07102,07102,1654,1385,1654
07505,07505,387,326,362
07649,07649,0,0,0
87511,087511,0,0,0
87011,087011,0,0,0
88032,088032,0,0,0
10026,010026,704,673,704
14173,014173,0,0,0
14539,014539,0,0,0
11373,011373,535,518,518
10162,010162,0,0,0
11947,011947,0,0,0
13325,013325,0,0,0
10503,010503,0,0,0
11096,011096,0,0,0
11355,011355,0,0,0
28043,028043,45,28,45
28098,028098,0,0,0
27809,027809,0,0,0
27205,027205,10,10,10
28282,028282,0,0,0
44680,044680,0,0,0
58402,058402,0,0,0
58069,058069,0,0,0
58563,058563,0,0,0
58451,058451,0,0,0
45316,045316,0,0,0
43844,043844,0,0,0
45336,045336,0,0,0
74966,074966,0,0,0
74048,074048,0,0,0
74134,074134,17,18,17
73111,073111,18,8,18
73097,073097,0,0,0
96747,096747,0,0,0
83226,083226,0,0,0
32079,032079,0,0,0
20565,020565,0,0,0
58707,058707,0,0,0
13677,013677,0,0,0
07495,07495,0,0,0
10168,010168,0,0,0
15733,015733,0,0,0
97637,097637,0,0,0
82327,082327,0,0,0
85750,085750,0,0,0
95531,095531,90,65,77
96050,096050,0,0,0
96086,096086,0,0,0
81521,081521,0,0,0
80428,080428,0,0,0
78411,078411,0,0,0
75501,075501,198,123,198
27831,027831,0,0,0
05905,05905,0,0,0
24202,024202,0,0,0
98586,098586,54,0,54
44095,044095,0,0,0
74745,074745,0,0,0
24861,024861,0,0,0
48509,048509,0,0,0
55962,055962,0,0,0
55439,055439,0,0,0
55070,055070,0,0,0
55316,055316,0,0,0
06376,06376,0,0,0
95451,095451,0,0,0
80013,080013,0,0,0
32456,032456,0,0,0
06409,06409,0,0,0
95404,095404,288,266,288
83539,083539,0,0,0
52726,052726,0,0,0
32615,032615,0,0,0
67831,067831,0,0,0
67140,067140,0,0,0
70643,070643,0,0,0
60633,060633,0,0,0
46915,046915,0,0,0
20712,020712,0,0,0
42071,042071,0,0,0
01907,01907,0,0,0
70441,070441,0,0,0
01504,01504,0,0,0
49762,049762,0,0,0
49434,049434,0,0,0
49953,049953,0,0,0
49745,049745,0,0,0
04852,04852,0,0,0
55604,055604,0,0,0
39470,039470,0,0,0
01360,01360,0,0,0
68327,068327,0,0,0
03854,03854,0,0,0
03576,03576,0,0,0
88260,088260,0,0,0
11235,011235,223,214,223
28152,028152,0,0,0
68071,068071,0,0,0
39482,039482,0,0,0
73945,073945,0,0,0
74960,074960,0,0,0
07066,07066,0,0,0
08561,08561,0,0,0
16940,016940,0,0,0
29455,029455,0,0,0
29575,029575,0,0,0
29690,029690,0,0,0
28553,028553,0,0,0
35150,035150,0,0,0
36785,036785,0,0,0
35968,035968,0,0,0
36866,036866,0,0,0
99676,099676,0,0,0
99611,099611,0,0,0
99607,099607,0,0,0
