ZCTA,minDisMet,time_to_nearest_methadone,count_in_range_methadone,methadone_score,minDisBup,time_to_nearest_buprenorphine,count_in_range_buprenorphine,buprenorphine_score,minDisNalV,time_to_nearest_naltrexone,count_in_range_naltrexone,naltrexone_score
88260,,,0,0.0,0.73,0.0,6.0,1.0,,147.0,0,0.0
88262,,,0,0.0,11.82,33.0,0.0,0.0,,139.0,0,0.0
88263,,,0,0.0,17.18,25.0,4.0,0.17,,,0,0.0
88264,,,0,0.0,24.02,37.0,0.0,0.0,,115.0,0,0.0
88265,,,0,0.0,10.02,23.0,3.0,0.23,,,0,0.0
88267,,,0,0.0,21.85,53.0,0.0,0.0,,133.0,0,0.0
88268,,,0,0.0,17.5,26.0,4.0,0.13,,,0,0.0
88301,,,0,0.0,6.01,0.0,1.0,1.0,,99.0,0,0.0
88310,,78.0,0,0.0,1.5,0.0,4.0,1.0,,73.0,0,0.0
88311,,81.0,0,0.0,7.78,13.0,4.0,0.57,,76.0,0,0.0
88312,,,0,0.0,6.61,15.0,2.0,0.5,,105.0,0,0.0
88314,,,0,0.0,10.13,23.0,1.0,0.23,,,0,0.0
88316,,,0,0.0,19.38,47.0,0.0,0.0,,113.0,0,0.0
88317,,,0,0.0,14.37,50.0,0.0,0.0,,119.0,0,0.0
88318,,151.0,0,0.0,45.92,89.0,0.0,0.0,,111.0,0,0.0
88321,,101.0,0,0.0,36.55,68.0,0.0,0.0,43.99,74.0,0,0.0
88323,,,0,0.0,13.14,32.0,0.0,0.0,,92.0,0,0.0
88324,,,0,0.0,13.54,22.0,2.0,0.27,,71.0,0,0.0
88325,,98.0,0,0.0,6.28,24.0,4.0,0.2,,93.0,0,0.0
88330,,66.0,0,0.0,9.6,18.0,3.0,0.4,,62.0,0,0.0
88336,,,0,0.0,19.96,34.0,0.0,0.0,44.84,64.0,0,0.0
88337,,88.0,0,0.0,4.06,14.0,4.0,0.53,,84.0,0,0.0
88338,,,0,0.0,17.13,45.0,0.0,0.0,,76.0,0,0.0
88339,,,0,0.0,26.06,67.0,0.0,0.0,,160.0,0,0.0
88340,,,0,0.0,10.74,25.0,3.0,0.17,,109.0,0,0.0
88341,,,0,0.0,13.43,28.0,2.0,0.07,,,0,0.0
88342,38.3,56.0,0,0.0,32.72,46.0,0.0,0.0,38.06,49.0,0,0.0
88343,,,0,0.0,31.44,83.0,0.0,0.0,34.82,83.0,0,0.0
88344,,,0,0.0,42.18,112.0,0.0,0.0,,165.0,0,0.0
88345,,,0,0.0,2.5,0.0,2.0,1.0,,,0,0.0
88346,,,0,0.0,2.86,9.0,2.0,0.7,,84.0,0,0.0
88347,,,0,0.0,21.5,116.0,0.0,0.0,,,0,0.0
88348,,,0,0.0,17.15,30.0,2.0,0.0,48.14,68.0,0,0.0
88349,,133.0,0,0.0,11.56,60.0,0.0,0.0,,129.0,0,0.0
88350,,187.0,0,0.0,24.24,114.0,0.0,0.0,,183.0,0,0.0
88351,,,0,0.0,30.27,79.0,0.0,0.0,36.95,100.0,0,0.0
88352,,93.0,0,0.0,0.74,0.0,4.0,1.0,,88.0,0,0.0
88353,,,0,0.0,36.1,43.0,0.0,0.0,36.08,43.0,0,0.0
88354,,,0,0.0,26.57,87.0,0.0,0.0,,,0,0.0
88355,,,0,0.0,3.65,4.0,2.0,0.87,,,0,0.0
88401,,,0,0.0,0.59,0.0,5.0,1.0,,64.0,0,0.0
88410,,,0,0.0,,114.0,0.0,0.0,40.14,96.0,0,0.0
88411,,,0,0.0,30.0,62.0,0.0,0.0,,,0,0.0
88414,,,0,0.0,26.12,34.0,0.0,0.0,27.28,34.0,0,0.0
88415,,,0,0.0,42.96,70.0,0.0,0.0,2.01,0.0,1,1.0
88416,,,0,0.0,31.29,50.0,0.0,0.0,40.21,65.0,0,0.0
88417,,,0,0.0,19.4,50.0,0.0,0.0,18.67,50.0,0,0.0
88418,,,0,0.0,38.08,58.0,0.0,0.0,38.6,58.0,0,0.0
88419,,,0,0.0,44.15,113.0,0.0,0.0,38.79,113.0,0,0.0
88421,,,0,0.0,28.35,88.0,0.0,0.0,27.64,88.0,0,0.0
88422,,,0,0.0,33.8,60.0,0.0,0.0,44.93,89.0,0,0.0
88424,,,0,0.0,,93.0,0.0,0.0,24.98,47.0,0,0.0
88426,,,0,0.0,20.48,41.0,0.0,0.0,,146.0,0,0.0
