ZCTA,ZIPCODE,areaSqMi,totPopE,alcTotal,alcDens,alcPerCap
04051,4051,43.65,1071,0,0.0,0.0
04055,4055,31.12,3920,0,0.0,0.0
04056,4056,5.64,345,0,0.0,0.0
04057,4057,0.06,63,0,0.0,0.0
04061,4061,19.63,2978,0,0.0,0.0
04062,4062,46.99,18270,0,0.0,0.0
04063,4063,0.67,482,0,0.0,0.0
04064,4064,6.76,8327,1,0.15,0.0
04066,4066,1.8,687,0,0.0,0.0
04068,4068,31.65,1548,0,0.0,0.0
04069,4069,22.85,1677,0,0.0,0.0
04071,4071,37.1,5152,1,0.03,0.0
04072,4072,38.48,19342,1,0.03,0.0
04073,4073,37.4,16302,0,0.0,0.0
04074,4074,47.57,19713,0,0.0,0.0
04076,4076,38.75,2710,0,0.0,0.0
04079,4079,21.22,3868,1,0.05,0.0
04083,4083,9.99,4665,0,0.0,0.0
04084,4084,46.92,7766,0,0.0,0.0
04085,4085,12.06,2307,0,0.0,0.0
