ZIP,ZCTA,SVIS,SVI_THEME1,SVI_THEME2,SVI_THEME3,SVI_THEME4
57362,57362,0.3,0.21,0.64,0.01,0.64
57371,57371,0.07,0.19,0.65,0.02,0.05
57373,57373,0.22,0.2,0.64,0.01,0.44
57467,57467,0.15,0.23,0.64,0.03,0.2
57469,57469,0.5,0.29,0.88,0.2,0.64
57470,57470,0.19,0.25,0.63,0.03,0.29
57476,57476,0.1,0.2,0.41,0.03,0.15
57311,57311,0.13,0.28,0.58,0.08,0.09
57319,57319,0.42,0.34,0.6,0.33,0.54
57321,57321,0.4,0.4,0.65,0.12,0.54
57332,57332,0.21,0.32,0.6,0.12,0.2
57340,57340,0.15,0.28,0.58,0.08,0.12
57374,57374,0.48,0.5,0.71,0.12,0.59
57501,57501,0.51,0.31,0.52,0.34,0.81
57052,57052,0.38,0.39,0.81,0.01,0.49
57354,57354,0.37,0.38,0.81,0.0,0.48
57346,57346,0.37,0.34,0.31,0.25,0.65
57536,57536,0.17,0.13,0.42,0.21,0.3
57540,57540,0.37,0.34,0.31,0.25,0.65
57564,57564,0.14,0.07,0.48,0.04,0.42
57341,57341,0.96,0.96,0.91,0.63,0.93
57385,57385,0.34,0.32,0.49,0.21,0.49
57531,57531,0.11,0.41,0.15,0.01,0.15
57559,57559,0.11,0.41,0.15,0.01,0.15
57562,57562,0.11,0.41,0.15,0.01,0.15
57051,57051,0.33,0.27,0.48,0.11,0.64
57054,57054,0.06,0.12,0.23,0.15,0.12
57214,57214,0.34,0.27,0.48,0.11,0.66
57231,57231,0.27,0.26,0.69,0.01,0.43
57249,57249,0.34,0.27,0.48,0.11,0.66
57323,57323,0.41,0.39,0.65,0.12,0.58
57386,57386,0.43,0.53,0.27,0.31,0.54
57042,57042,0.58,0.52,0.39,0.29,0.8
57048,57048,0.53,0.5,0.72,0.15,0.67
57050,57050,0.06,0.11,0.22,0.15,0.11
57057,57057,0.06,0.12,0.23,0.15,0.12
57058,57058,0.57,0.56,0.74,0.13,0.72
57075,57075,0.06,0.12,0.15,0.01,0.24
57076,57076,0.25,0.26,0.45,0.14,0.36
57016,57016,0.06,0.12,0.14,0.01,0.24
57017,57017,0.24,0.31,0.26,0.27,0.34
57018,57018,0.17,0.14,0.57,0.21,0.21
57022,57022,0.18,0.12,0.34,0.16,0.44
57732,57732,0.35,0.25,0.42,0.19,0.71
57754,57754,0.56,0.52,0.51,0.34,0.72
57785,57785,0.38,0.26,0.64,0.08,0.71
57793,57793,0.25,0.14,0.38,0.12,0.64
57064,57064,0.11,0.12,0.37,0.12,0.21
57106,57106,0.36,0.32,0.49,0.33,0.43
57108,57108,0.12,0.08,0.27,0.23,0.26
57032,57032,0.05,0.1,0.38,0.13,0.06
57013,57013,0.36,0.33,0.6,0.09,0.57
57039,57039,0.29,0.21,0.65,0.03,0.58
57077,57077,0.26,0.2,0.61,0.05,0.52
57021,57021,0.51,0.37,0.83,0.22,0.66
57001,57001,0.28,0.27,0.51,0.03,0.57
