ZCTA,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
"1603","7713","92.18","7.82","0","22.07","55.06",1709.387953
"1604","16187","90.04","9.96","0.4","20.41","53.55",2514.269645
"1605","11672","91.3","8.7","0.14","14.96","68.98",2069.098299
"1606","8806","92.21","7.79","0","31.87","35.7",1485.458715
"1607","4084","90.94","9.06","2.84","23.55","61.63",1291.307884
"1608","2148","79.93","20.07","0","10.26","89.57",4799.66871
"1609","8610","89.69","10.31","0","20.23","62.33",2253.313826
"1610","8656","91.59","8.41","0.22","15.06","85.58",4074.771811
"1611","920","86.09","13.91","0","36.41","36.11",267.298095
"1612","1620","96.91","3.09","0","37.89","7.32",105.7881909
"1701","13413","96.9","3.1","0.37","38.2","21.31",790.5300518
"1702","15954","95.44","4.56","0","15.67","65.02",1972.217607
"1718","261","100","0","0","23","37.55",5621.071013
"1719","2376","95.24","4.76","0","30.24","28.55",231.0101717
"1720","8838","96.48","3.52","0.41","29.79","26.35",448.3047078
"1721","6917","96.65","3.35","0","26.74","18.38",560.7085817
"1730","5465","95.7","4.3","0","30.27","25.98",398.8801198
"1731","577","96.19","3.81","0","0.65","98.92",728.342552
"1740","1795","93.48","6.52","0","32.3","6.97",90.00452864
"1741","1915","95.2","4.8","0","44","5.76",125.3742636
"1742","7241","93.52","6.48","0","30.86","24.78",296.3311529
"1745","210","100","0","0","25.17","19.05",526.250098
"1746","5329","99.04","0.96","0","38.77","10.16",285.6829009
"1747","2318","97.63","2.37","0.91","42.69","17.41",447.8873508
"1748","6344","94.44","5.56","0","31.68","16.94",241.9057087
"1749","8037","95.63","4.37","2.89","33.83","25.77",697.2522023
"1752","17084","92","8","2.29","23.31","42.87",818.8034281
"1754","4605","92.29","7.71","0","35.09","23.25",883.9975028
"1756","2120","95.42","4.58","0.57","42.76","12.01",119.2879784
"1757","11625","95.78","4.22","0.31","30.38","31.67",780.4619884
"1760","14952","95.71","4.29","0.49","31.08","28.99",1009.109815
"1770","1637","95.05","4.95","0","34.25","6.68",103.6853577
"1772","3404","96.3","3.7","0.35","34.73","9.85",250.2245003
"1773","2243","95.41","4.59","0","31.3","24.63",164.6737797
"1775","2645","97.35","2.65","0","34.1","11.84",152.6899695
"1776","6498","97.8","2.2","0","31.68","7.55",268.0773388
"1778","5324","93.95","6.05","1.26","34.22","10.46",350.1163008
"1801","16885","93.31","6.69","0.56","33.79","37.96",1333.415515
"1803","10533","94.39","5.61","0.31","40.04","27.14",899.4431923
"1810","12952","96.31","3.69","0.06","32.64","18.45",420.1421152
"1821","11749","97.96","2.04","0","43.71","21.39",709.2099257
