ZCTA,year,totWrkE,eduP,hghRskP,hltCrP,retailP
22311,2018,11032,8.83,11.48,12.03,10.51
22312,2018,19390,5.18,12.42,13.24,8.85
22314,2018,21638,7.2,5.21,6.11,4.15
22315,2018,16092,7.64,7.12,8.06,7.8
22401,2018,15332,12.41,9.48,10.38,11.84
22405,2018,14985,8.13,11.04,11.65,12.95
22406,2018,12412,8.59,11.82,10.92,9.9
22407,2018,28968,8.91,12.64,10.8,13.62
22408,2018,15792,9.75,11.56,10.18,14.86
22427,2018,1461,10.75,21.7,11.02,14.31
22432,2018,74,0,0,22.97,0
22433,2018,171,5.26,6.43,11.11,13.45
22435,2018,1033,10.84,21.78,18.2,13.36
22436,2018,272,8.46,30.15,0,5.88
22437,2018,532,3.76,40.79,5.26,21.05
22438,2018,177,18.64,19.21,0,24.29
22443,2018,3667,8.73,21.38,4.28,12.65
22448,2018,137,5.11,2.92,11.68,11.68
22454,2018,811,4.07,23.18,12.82,20.47
22460,2018,747,13.92,28.38,8.3,13.52
22469,2018,496,10.89,6.85,3.02,4.44
22473,2018,2127,5.64,18.1,24.26,6.77
22476,2018,197,9.64,29.44,7.61,10.66
22480,2018,152,6.58,5.92,10.53,7.89
22482,2018,1145,9.87,10.74,18.69,10.92
22485,2018,12738,8.08,14.85,9.99,12.04
22488,2018,315,0,36.83,13.33,0
22503,2018,1616,5.07,8.35,23.89,11.2
22504,2018,202,26.73,28.71,13.86,15.84
22508,2018,6602,8.86,20.96,12.75,14.54
22509,2018,40,0,100,0,0
22511,2018,383,5.74,20.1,12.53,22.72
22514,2018,1131,13.62,24.31,8.58,15.83
22520,2018,2811,8.25,17.32,9.75,11.63
22529,2018,87,20.69,22.99,18.39,18.39
22530,2018,35,0,0,0,0
22534,2018,1402,9.06,32.24,8.7,16.76
22535,2018,220,10.91,24.09,4.55,22.73
22538,2018,58,0,0,50,15.52
22539,2018,853,10.55,17,7.85,17.23
22542,2018,1023,7.82,20.82,15.54,6.45
22546,2018,8181,8.54,16.2,12.05,14.3
22548,2018,60,0,0,56.67,0
22551,2018,9357,11.05,18.78,8.11,13.26
22553,2018,7295,8.18,11.69,11.45,14.9
22554,2018,27983,10.04,10.62,11.64,8.3
22556,2018,14845,10.12,11.16,10.7,11.87
22560,2018,2903,8.2,22.67,13.68,16.29
22567,2018,1454,2.82,35.83,11.42,25.31
22572,2018,2735,9.65,24.46,21.79,8.19
22576,2018,858,5.83,27.16,15.62,16.32
22578,2018,958,7.93,26.93,21.61,10.33
22579,2018,53,0,0,0,0
22580,2018,2280,11.71,18.2,11.18,16.67
22601,2018,14272,9.38,15.88,14.24,12.28
22602,2018,15562,11.05,20.54,13.78,10.63
22603,2018,6920,5.65,24.83,14,16.2
22610,2018,844,2.37,28.55,11.49,11.37
22611,2018,4330,13.09,20.37,11.45,10.48
22620,2018,1384,6,20.81,13.15,10.69
22623,2018,378,8.47,7.67,14.02,16.67
22624,2018,1400,9.21,20.36,6.14,13.5
22625,2018,1515,12.54,21.39,18.22,10.56
22627,2018,239,20.92,23.85,13.39,0
22630,2018,15397,12,21.02,10.05,11.2
22637,2018,1246,15.97,45.18,9.47,4.33
22639,2018,235,12.34,12.77,0,4.26
22640,2018,419,8.83,41.05,4.77,7.88
22641,2018,198,6.57,29.29,7.58,16.67
22642,2018,2601,9.3,24.64,9.69,10.84
22643,2018,117,31.62,5.98,30.77,0
22644,2018,1305,8.12,21.84,15.56,11.88
22645,2018,2192,10.45,17.97,14.6,13.14
22646,2018,62,0,0,29.03,0
22650,2018,268,8.21,38.43,11.57,7.09
22652,2018,580,9.66,29.14,11.38,8.62
22654,2018,454,8.37,13.44,35.02,3.74
22655,2018,11209,10.82,18.4,16.01,11.87
22656,2018,1600,9.88,21.12,11,15.06
22657,2018,4875,11.84,21.05,10.99,12.18
22660,2018,1089,0.73,24.24,24.33,6.8
22663,2018,841,5.11,33.17,5.83,14.51
22664,2018,3862,7.43,23.41,12.04,15.98
22701,2018,17586,9.79,21.27,13.86,12.62
22709,2018,544,6.99,30.7,6.25,23.71
22711,2018,0,NA,NA,NA,NA
22712,2018,5067,8.66,19.7,9.41,13.48
22713,2018,830,6.63,24.94,14.82,17.83
22714,2018,481,4.57,17.26,23.08,12.06
22715,2018,441,18.59,33.11,15.42,3.17
22716,2018,287,11.15,11.85,8.36,14.63
22718,2018,392,0,44.9,8.93,11.73
22719,2018,195,10.26,42.56,4.1,25.64
22720,2018,384,1.56,34.9,12.24,3.12
22722,2018,69,0,0,36.23,21.74
22723,2018,23,52.17,0,0,0
22724,2018,1240,5,10,9.11,23.39
22726,2018,387,4.39,39.02,18.86,2.33
22727,2018,2650,6.68,21.66,12.91,18
22728,2018,1782,10.04,26.21,6.45,13.58
22729,2018,90,2.22,47.78,16.67,0
22730,2018,84,0,0,0,28.57
22731,2018,10,40,0,30,30
22732,2018,61,34.43,0,0,39.34
22733,2018,453,18.1,27.81,16.11,6.4
22734,2018,1544,11.66,17.36,13.8,9.72
22735,2018,1618,7.11,9.27,16.25,17.55
22736,2018,212,3.3,25.47,8.49,13.68
22737,2018,1275,9.57,29.57,6.27,5.41
22738,2018,662,13.6,18.88,12.99,20.39
22740,2018,542,10.15,26.38,19.37,3.14
22741,2018,48,0,77.08,22.92,0
22742,2018,980,10.51,17.65,6.43,9.9
22743,2018,93,26.88,0,0,0
22747,2018,461,9.33,14.1,15.62,0.65
22749,2018,94,14.89,32.98,5.32,24.47
22801,2018,19226,20.19,17.47,11.89,10.13
22802,2018,15293,13.03,26.73,9.06,9.72
22807,2018,747,32.13,2.28,0,9.24
22810,2018,384,0,15.1,2.34,20.05
22811,2018,334,2.99,32.04,13.47,20.66
22812,2018,4394,16.61,18.84,12.84,16
22815,2018,4569,10,25.76,15.17,12.37
22820,2018,137,21.9,50.36,0,7.3
22821,2018,2590,9.92,36.83,9.23,13.13
22824,2018,3097,7.17,28.64,11.08,15.21
22827,2018,4927,8.93,28.41,11.04,16.18
22830,2018,779,7.45,27.21,8.86,17.46
22831,2018,618,8.41,31.39,17.96,8.58
22832,2018,622,12.38,37.14,10.45,15.92
22834,2018,614,17.1,28.34,11.56,13.52
22835,2018,5285,7.19,24.52,12.94,11.22
22840,2018,2176,14.84,19.72,10.39,11.35
22841,2018,1631,15.27,22.62,20.17,11.77
22842,2018,2511,9,28.51,14.81,15.01
22843,2018,1271,8.89,36.9,12.75,11.01
22844,2018,2407,12.05,24.93,14.37,10.59
22845,2018,9,0,100,0,0
22846,2018,1497,14.56,17.37,10.02,14.03
22847,2018,463,14.69,33.48,9.29,16.85
22849,2018,2193,7.57,27.27,14.87,9.67
22850,2018,553,10.67,27.85,10.67,9.58
22851,2018,2780,6.58,27.77,9.71,15.25
22853,2018,1927,6.18,34.87,15.41,10.38
22901,2018,18512,18.29,9.65,17.79,10.3
22902,2018,13895,16.62,11.78,17.3,11.33
22903,2018,19367,24.77,8.3,16.99,7.99
22904,2018,1094,39.85,2.83,1.74,8.32
22911,2018,9062,17.39,8.27,19.66,9.21
22920,2018,2029,12.52,22.38,12.81,7.24
22922,2018,952,9.35,19.33,17.54,12.29
22923,2018,2679,18.1,16.61,17.58,7.88
22931,2018,172,18.6,8.14,21.51,0
22932,2018,3806,18.63,10.96,16.26,5.12
22935,2018,451,11.97,20.84,0.22,11.31
22936,2018,2406,14.67,12.22,12.97,6.28
22937,2018,1013,14.51,16.19,20.34,17.37
22938,2018,687,13.39,17.32,6.99,13.97
22939,2018,2756,14.8,19.16,11.97,16.04
22940,2018,478,9.62,17.57,21.97,13.18
22942,2018,4053,9.1,15.2,16.28,19.49
22943,2018,155,16.77,12.26,8.39,0
22946,2018,98,14.29,9.18,40.82,26.53
22947,2018,1677,11.51,18.84,13.18,8.71
22948,2018,81,46.91,19.75,0,0
22949,2018,496,14.72,20.36,23.99,7.86
22952,2018,891,4.94,29.85,15.94,5.5
22958,2018,894,9.84,12.19,18.57,11.63
22959,2018,843,11.51,13.88,18.62,14.71
22960,2018,4601,10.24,26.12,11,7.74
22963,2018,7536,11.73,13.54,22.28,10.84
22964,2018,117,7.69,30.77,11.11,0
22967,2018,883,11.89,24.46,14.72,10.99
22968,2018,5847,11.84,15.61,14.4,15.43
22969,2018,541,15.16,28.84,10.72,11.09
22971,2018,827,14.39,29.63,16.32,1.21
22972,2018,272,0,3.31,18.75,4.04
22973,2018,2579,14.73,20.98,16.36,11.24
22974,2018,2201,10.54,15.86,14.99,15.9
22976,2018,416,16.35,44.47,3.37,2.16
22980,2018,15278,8.96,20.94,14.91,16.47
22989,2018,15,100,0,0,0
23002,2018,4949,7.5,22.41,14.97,10.49
23004,2018,429,14.45,34.73,10.26,14.92
23005,2018,8682,13.96,14.21,9.94,10.97
23009,2018,3231,10.74,23.21,10.55,6.9
23011,2018,356,22.47,17.98,0.56,20.22
23015,2018,1981,5,19.94,7.77,12.72
23021,2018,64,0,25,0,42.19
23022,2018,595,6.89,31.76,14.12,2.86
23023,2018,231,9.09,45.89,22.94,0
23024,2018,4015,6.85,22.22,16.79,9.86
23025,2018,111,18.92,52.25,28.83,0
23027,2018,436,11.01,22.94,0,16.51
23030,2018,2302,5.21,24.5,8.51,12.77
23032,2018,179,0,30.17,5.59,14.53
23035,2018,614,3.75,37.13,12.21,3.75
23038,2018,841,7.02,18.07,20.33,14.74
23039,2018,434,9.91,18.43,24.42,5.99
23040,2018,2208,8.88,18.07,10.91,25.36
23043,2018,759,14.76,22.53,3.69,16.6
23045,2018,72,0,76.39,0,0
23047,2018,1014,6.02,21.79,19.53,5.62
23050,2018,403,0,3.47,25.56,26.3
23055,2018,391,45.78,9.72,5.88,16.11
23056,2018,180,12.22,0,0,22.78
23059,2018,17969,9.78,11.27,15,8.6
23060,2018,21045,8.4,11.45,13.09,9.43
23061,2018,10294,7.7,25.8,12.77,11.55
23062,2018,986,16.02,17.95,3.04,13.79
23063,2018,2311,5.97,24.66,15.97,13.93
23064,2018,197,18.78,50.76,0,17.26
23065,2018,728,6.87,16.76,9.62,7.28
23066,2018,56,0,37.5,0,62.5
23068,2018,127,0,67.72,32.28,0
23069,2018,1503,4.59,18.96,14.5,6.12
23070,2018,184,0,29.89,36.41,5.43
23071,2018,673,7.58,18.42,2.97,12.93
23072,2018,5607,7.74,21.47,10.34,13.7
23075,2018,4902,3.57,11.28,16.03,13.06
23076,2018,216,0,13.43,23.61,8.8
23079,2018,117,14.53,28.21,17.95,21.37
23083,2018,1125,5.78,30.13,3.56,20.36
23084,2018,737,7.73,16.69,9.23,14.38
23085,2018,454,4.41,42.95,9.25,4.19
23086,2018,1766,13.53,23.9,14.27,17.5
23089,2018,2527,6.53,29.56,15.43,6.81
23091,2018,35,0,28.57,22.86,0
23092,2018,311,8.04,54.34,12.22,0
23093,2018,6579,7.84,23.59,15.03,11
23102,2018,1503,6.19,10.18,10.58,15.24
23103,2018,2440,6.23,13.24,14.75,14.92
23106,2018,562,5.87,37.9,11.03,8.19
23108,2018,163,10.43,33.74,6.75,25.77
23109,2018,899,11.68,32.59,13.68,11.23
23110,2018,309,13.59,24.27,20.39,5.5
23111,2018,19610,8.02,17.1,12.95,12.43
23112,2018,27952,10.41,12.98,14.97,11.58
23113,2018,11817,8.93,14.35,14.29,9.6
23114,2018,9807,12.75,10.18,15.25,10.36
23115,2018,99,14.14,0,10.1,48.48
23116,2018,16143,12.69,15.87,11.4,10.52
23117,2018,4640,7.41,25.24,13.84,13
23119,2018,129,0,22.48,33.33,30.23
23120,2018,4998,7.68,17.09,17.37,6.96
23123,2018,766,15.67,12.66,28.72,5.22
23124,2018,2334,7.16,23.65,10.15,9.13
23125,2018,114,36.84,35.96,27.19,0
23126,2018,63,0,22.22,7.94,0
23128,2018,371,5.12,22.37,4.04,17.25
23129,2018,258,3.1,1.16,4.26,11.63
23130,2018,105,0,0,19.05,45.71
23138,2018,196,13.78,24.49,42.86,0
23139,2018,12494,9.2,24.26,12.11,9.72
23140,2018,3363,7.37,20.25,9.9,17.34
23141,2018,3478,10.12,21.59,8.77,6.44
23146,2018,1682,7.61,23.72,13.38,8.74
23148,2018,750,8.67,29.87,13.33,8.4
23149,2018,1284,2.02,19.24,11.76,24.69
23150,2018,6352,8.31,19.65,15.82,8.61
23153,2018,685,9.93,26.57,29.05,8.76
23156,2018,638,7.21,36.52,11.29,7.05
23160,2018,7,28.57,28.57,14.29,0
23161,2018,53,47.17,26.42,0,0
23163,2018,51,27.45,0,39.22,0
23168,2018,3691,11.79,12.81,14.39,10.89
23169,2018,330,3.94,11.82,3.03,13.33
23173,2018,832,72,0,1.56,8.29
23175,2018,762,11.02,23.49,12.99,6.82
23176,2018,144,0,26.39,0,36.81
23177,2018,235,3.83,25.53,23.4,0
23180,2018,306,2.61,19.61,2.61,7.84
23181,2018,2668,8.96,28.71,11.43,14.73
23185,2018,21426,15.63,12.41,11.74,12.71
23187,2018,73,73.97,0,8.22,0
23188,2018,19500,14.64,12.25,13.14,12.02
23192,2018,3495,8.61,24.61,5.98,3.83
23219,2018,2374,11.75,7.25,11.42,6.44
23220,2018,19012,14.7,5.84,12.6,12.06
23221,2018,10072,12.83,8.38,15.54,7.74
23222,2018,11932,10.9,10.99,17.58,11.45
23223,2018,24713,8.29,9.9,18.81,13
23224,2018,18139,5.26,18.35,15.82,10.51
23225,2018,22554,11.87,11.24,16.22,10.3
23226,2018,9285,11.2,10.57,13.94,9.06
23227,2018,12598,9.9,10.57,15.84,14.56
23228,2018,20093,6.98,14.27,15.76,11.17
23229,2018,17051,9.25,10.67,13.93,11.82
23230,2018,4041,6.83,10.94,10.34,13.78
23231,2018,18261,7.8,17.85,12.06,10.54
23233,2018,17588,10.67,10.44,13.6,8.41
23234,2018,21416,6.23,21.83,11.93,11.78
23235,2018,17257,9.16,13.16,17.26,11.08
23236,2018,13120,10.18,15.11,15.16,8.83
23237,2018,11368,5.69,21.74,14.2,12.24
23238,2018,13662,11.26,10.18,14.5,10.12
23250,2018,0,NA,NA,NA,NA
23294,2018,10084,6.13,11.35,14.64,13.92
23301,2018,493,3.65,38.74,4.26,4.26
23302,2018,120,30,10.83,8.33,0
23303,2018,498,11.65,31.73,11.85,3.61
23304,2018,20,0,0,0,0
23306,2018,441,7.94,27.21,19.5,13.38
23307,2018,246,6.91,41.87,14.63,0
23308,2018,999,1.8,28.43,12.01,11.81
23310,2018,1893,8.24,24.14,11.57,8.14
23313,2018,41,0,0,26.83,17.07
23314,2018,4037,9.12,27.42,14.47,9.66
23315,2018,662,8.31,36.4,15.71,9.21
23316,2018,186,1.08,29.03,15.05,11.83
23320,2018,29040,10.04,13.02,12.44,10.81
23321,2018,15804,9.64,16.22,17.01,11.5
23322,2018,28835,12.64,15.16,11.86,8.66
23323,2018,18570,7.7,17.4,10.43,10.56
23324,2018,10212,8.4,18.73,15.09,12.5
23325,2018,8060,8.45,20,14.52,11.18
23336,2018,1133,9,17.12,9.44,15.18
23337,2018,248,34.68,21.37,0,5.24
23347,2018,284,3.17,46.13,10.92,15.49
23350,2018,1395,8.1,16.34,27.24,17.49
23354,2018,66,0,46.97,22.73,0
23356,2018,562,0,42.88,10.5,0
23357,2018,413,4.6,26.63,29.78,4.84
23358,2018,71,30.99,0,0,11.27
23359,2018,487,3.08,33.88,27.93,10.47
23389,2018,188,0,50.53,8.51,0
23395,2018,123,0,0,79.67,20.33
23398,2018,12,0,50,0,0
23401,2018,69,1.45,23.19,10.14,30.43
23405,2018,310,6.13,13.23,32.26,23.55
23407,2018,373,20.38,38.87,30.83,0
23408,2018,42,0,0,0,0
23409,2018,51,0,43.14,0,0
23410,2018,773,23.42,23.03,13.2,12.94
23413,2018,422,8.06,27.49,30.57,19.67
23414,2018,159,0,77.36,0,0
23415,2018,642,5.61,37.07,9.03,6.23
23416,2018,93,0,75.27,0,0
23417,2018,1240,8.47,15.56,11.85,12.34
23418,2018,446,21.3,20.18,12.56,7.17
23420,2018,1365,1.98,38.39,12.09,14.58
23421,2018,1538,4.55,49.93,7.61,15.86
23422,2018,71,0,46.48,19.72,0
23423,2018,104,0,23.08,9.62,24.04
23426,2018,0,NA,NA,NA,NA
23427,2018,88,12.5,36.36,9.09,11.36
23430,2018,8305,9.16,30.74,11.11,8.18
23432,2018,685,17.66,21.31,19.27,9.49
23433,2018,578,8.13,21.45,17.3,2.42
23434,2018,22254,8.65,22.29,15.09,10.69
23435,2018,15171,9.17,16.52,15.59,11.29
23436,2018,460,6.52,24.35,15.22,0.87
23437,2018,2032,7.28,25.74,14.37,9.15
23438,2018,764,11.78,25.79,15.31,6.54
23440,2018,238,15.13,31.51,1.68,0
23441,2018,40,0,32.5,32.5,0
23442,2018,441,2.27,46.03,4.08,10.43
23451,2018,21440,7.26,13.94,12.22,10.72
23452,2018,30128,8.44,15.4,13.38,11.24
23453,2018,17806,8.31,13.58,15.92,12
23454,2018,28739,9.12,10.7,12.9,11.31
23455,2018,23870,9.59,15.17,13.28,9.51
23456,2018,25392,10.71,11.42,12.02,13.84
23457,2018,2174,11.82,19.09,9.98,7.13
23459,2018,213,14.08,0,16.43,19.25
23460,2018,31,0,0,0,0
23461,2018,0,NA,NA,NA,NA
23462,2018,32462,8.02,12.59,12.74,13.71
23464,2018,37815,11.98,12.37,11.64,13.42
23480,2018,123,16.26,38.21,6.5,14.63
23486,2018,0,NA,NA,NA,NA
23487,2018,2844,11.15,21.13,9.35,10.79
23488,2018,187,0,26.74,32.09,3.21
23502,2018,10604,8.62,15.95,13.53,12.03
23503,2018,15662,6.67,20.59,10.73,11.75
23504,2018,9177,11.92,9.29,17.13,12.81
23505,2018,11927,8.72,12.89,14.04,14.54
23507,2018,3498,18.07,8.18,15.47,5.37
23508,2018,10003,19.33,7.92,10.88,9.48
23509,2018,6660,12.72,12.85,13.48,13.18
23510,2018,3206,10.95,4.9,17.06,8.2
23511,2018,596,2.18,3.02,0,2.85
23513,2018,14829,5.74,18.46,12.31,13.25
23517,2018,2348,16.57,7.41,15.76,5.83
23518,2018,13773,7.07,17.4,13.13,11.36
23523,2018,2648,11.71,20.35,21.07,7.63
23551,2018,0,NA,NA,NA,NA
23601,2018,12591,9.71,20.84,11.63,12.21
23602,2018,19318,8.73,20.97,15.36,11.85
23603,2018,1354,8.64,20.16,8.57,4.87
23604,2018,520,0,1.35,18.65,11.35
23605,2018,6766,4.82,25.08,17.17,12.75
23606,2018,13924,12.68,20.15,14.72,10.82
23607,2018,9053,10.66,20.91,15.56,14.57
23608,2018,19598,7.17,20.31,12.93,12.44
23651,2018,142,8.45,7.04,14.79,15.49
23661,2018,5799,10.61,22.73,16.14,8.83
23662,2018,5641,9.63,22.35,10.55,7.82
23663,2018,6234,10.56,16.88,13.27,14.18
23664,2018,4850,12.02,25.07,9.75,9.92
23665,2018,1097,11.3,9.3,5.38,12.4
23666,2018,25551,8.87,18.79,13.53,7.28
23669,2018,17801,10.36,18,10.6,11.27
23690,2018,1472,11.68,9.65,16.78,11.07
23691,2018,14,0,0,0,35.71
23692,2018,8250,9.73,16.48,11.1,9.3
23693,2018,11794,10.51,14.64,13.67,7.84
23696,2018,1781,11.06,17.8,10.95,6.63
23701,2018,10394,8.5,21.97,15.25,12.54
23702,2018,4611,7.94,22.16,15.83,12.69
23703,2018,12729,6.14,19.53,15.16,11.8
23704,2018,7133,10.63,15.07,18.37,11.15
23707,2018,6503,8.33,19.81,14.24,12.36
23708,2018,5,0,0,0,0
23709,2018,13,0,0,100,0
23801,2018,1107,2.08,2.35,11.29,7.59
23803,2018,16760,6.83,21.04,16.16,14.29
23805,2018,9361,8.92,18.89,15.79,13.08
23806,2018,598,28.26,0,3.51,21.4
23821,2018,766,2.48,16.58,20.63,17.75
23824,2018,2829,8.31,23.29,12.16,16.47
23827,2018,885,5.76,30.96,21.02,9.83
23828,2018,164,15.24,26.83,5.49,10.37
23829,2018,479,19.21,22.55,15.66,10.65
23830,2018,505,3.56,22.38,16.04,7.33
23831,2018,18331,8.25,15.93,13.23,10.12
23832,2018,19062,8.28,16.34,15.08,12.66
23833,2018,934,6.85,26.55,16.38,16.81
23834,2018,11352,8.7,15.47,10.38,17.12
23836,2018,6753,5.95,16.5,13.49,14.01
23837,2018,2105,9.83,22.23,14.49,14.11
23838,2018,8550,10.06,22.16,11.43,9.16
23839,2018,415,9.88,25.54,10.36,8.19
23840,2018,1668,7.67,18.94,8.93,17.09
23841,2018,1596,12.53,27.63,14.41,13.1
23842,2018,3536,12.05,23.44,10.46,14.82
23843,2018,277,5.42,25.27,22.74,7.22
23844,2018,251,7.57,11.16,29.88,4.38
23845,2018,268,0,52.61,5.6,10.45
23846,2018,600,5.33,39.83,12,7.33
23847,2018,5021,5.76,23.16,18.66,13.44
23850,2018,563,0,19.18,17.23,16.34
23851,2018,5684,9.92,24.38,16.06,11.17
23856,2018,411,10.95,31.14,28.47,10.46
23857,2018,301,0,27.91,13.29,15.61
23860,2018,11703,6.17,19.81,10.81,14.54
23866,2018,968,6.3,21.07,16.12,7.95
23867,2018,946,12.26,9.83,12.05,8.77
23868,2018,1971,14.31,13.55,22.88,9.08
23872,2018,1418,6.14,18.27,15.23,17.98
23874,2018,390,10,33.08,10.26,5.64
23875,2018,5405,7.09,15.1,10.79,12.53
23876,2018,136,12.5,19.85,8.82,5.88
23878,2018,531,3.2,40.68,20.34,2.07
23879,2018,359,3.9,15.32,18.38,15.32
23881,2018,904,5.75,21.35,10.4,10.29
23882,2018,635,15.28,22.52,11.18,14.8
23883,2018,900,5.11,33.22,13.89,8
23884,2018,9,0,0,0,0
23885,2018,1236,2.35,25.08,14.08,16.42
23887,2018,174,0,31.03,6.32,0
23888,2018,915,7.32,24.81,11.04,19.02
23889,2018,252,6.75,25.79,7.54,20.63
23890,2018,1531,11.56,27.69,17.37,6.47
23891,2018,0,NA,NA,NA,NA
23893,2018,117,0,62.39,15.38,0
23894,2018,221,14.93,32.13,22.17,0
23897,2018,133,14.29,17.29,7.52,0
23898,2018,1103,5.53,30.46,14.87,4.99
23899,2018,115,2.61,29.57,13.04,13.04
23901,2018,6652,19.45,16.22,13.6,11.73
23909,2018,139,25.9,0,5.76,35.25
23915,2018,309,6.47,23.62,11.65,5.18
23917,2018,1084,5.9,15.13,19.65,9.59
23919,2018,954,9.64,27.88,11.95,6.29
23920,2018,1667,8.88,13.08,16.26,14.46
23921,2018,633,14.69,9.48,11.22,16.11
23922,2018,892,6.95,21.75,24.78,7.4
23923,2018,1037,7.33,28.64,12.44,8.29
23924,2018,2583,5.3,20.79,19.09,9.79
23927,2018,1425,5.82,20.35,13.12,12.42
23930,2018,2092,10.18,29.68,13.1,10.99
23934,2018,127,15.75,22.05,13.39,0
23936,2018,2973,8.04,20.55,18.6,12.78
23937,2018,720,3.06,25.42,36.39,6.39
23938,2018,219,10.96,35.62,20.09,6.39
23942,2018,694,8.21,24.21,11.96,11.1
23943,2018,6,33.33,33.33,0,0
23944,2018,1324,8.38,31.12,11.33,11.48
23947,2018,1697,9.72,21.1,16.5,18.27
23950,2018,1506,2.92,23.9,12.42,23.04
23952,2018,47,0,46.81,17.02,0
23954,2018,587,13.97,17.55,9.2,12.1
23958,2018,1395,12.47,20.86,22.44,14.7
23959,2018,607,25.04,6.75,17.79,18.12
23960,2018,645,5.89,10.08,5.74,27.44
23962,2018,171,18.13,12.28,8.77,28.65
23963,2018,98,0,26.53,0,59.18
23964,2018,498,1,36.14,17.87,20.68
23966,2018,1265,12.96,23.79,18.18,13.91
23967,2018,524,3.44,32.82,11.64,13.55
23968,2018,257,15.18,9.73,21.79,15.18
23970,2018,3497,13.07,15.87,10.92,18.84
23974,2018,1781,13.03,26.78,17.41,12.86
23976,2018,15,100,0,0,0
24011,2018,351,10.26,7.41,28.49,8.83
24012,2018,13911,5.18,22.83,12.43,9.68
24013,2018,3421,6.99,15.23,12.04,15.32
24014,2018,8242,7.95,13.75,19.12,12.19
24015,2018,8456,10.32,15.09,16.83,15.28
24016,2018,4183,5.16,11.67,17.76,8.58
24017,2018,10375,6.42,18.72,17.09,11.14
24018,2018,18729,9.2,11.6,18.99,9.28
24019,2018,14266,9.83,14.86,17.43,12.58
24020,2018,299,56.86,3.34,0,11.71
24053,2018,1045,5.84,51.87,10.14,3.25
24054,2018,2744,4.45,31.67,13.3,14.5
24055,2018,4842,10.24,29.41,11.46,19.29
24058,2018,32,0,46.88,0,0
24059,2018,452,2.43,25.44,2.88,9.96
24060,2018,24620,40.44,7.23,6.66,9.62
24064,2018,2451,8.08,19.83,12.08,18.28
24065,2018,3581,4.36,27.59,25.91,9.3
24066,2018,2559,7.19,29.31,11.45,9.34
24067,2018,1280,8.28,25,12.11,13.2
24069,2018,914,1.97,41.03,19.91,7.99
24070,2018,870,14.71,19.2,22.18,2.3
24072,2018,594,9.09,24.41,14.48,15.32
24073,2018,15893,20.86,20.02,12.6,8.76
24076,2018,520,2.31,48.46,1.92,12.12
24077,2018,393,11.2,13.74,21.63,26.21
24078,2018,2918,9.87,24.57,17.34,15.01
24079,2018,786,5.6,32.06,19.47,2.42
24082,2018,305,7.54,23.93,29.51,7.54
24083,2018,1373,5.75,15.15,15.95,12.82
24084,2018,4473,13.06,29.47,14.38,11.33
24085,2018,806,3.97,31.27,14.14,17.62
24086,2018,40,27.5,35,0,0
24087,2018,1933,6.67,17.43,10.86,10.14
24088,2018,2273,25.69,24.73,9.81,11.79
24089,2018,844,5.57,28.91,16.23,20.38
24090,2018,2210,12.99,19.46,14.34,9.82
24091,2018,3593,10.85,32.73,17.03,11.36
24092,2018,1245,3.05,24.18,9.56,14.54
24093,2018,68,1.47,69.12,4.41,11.76
24095,2018,2511,4.38,24.65,11.63,12.39
24101,2018,2669,2.17,21.09,15.06,12.63
24102,2018,593,10.79,31.37,9.95,16.86
24104,2018,1312,8.61,25.76,7.7,15.17
24105,2018,134,0,45.52,13.43,26.87
24112,2018,12109,8.2,24.69,13.28,12.83
24120,2018,484,11.57,36.57,9.92,2.69
24121,2018,4103,8.8,24.91,13.16,10.29
24122,2018,861,3.25,27.99,10.34,11.85
24124,2018,1943,8.23,30.98,13.43,11.32
24127,2018,1490,3.42,32.01,13.29,10.74
24128,2018,1005,21.39,24.98,10.15,11.64
24130,2018,9,100,0,0,0
24131,2018,34,0,50,0,0
24132,2018,164,14.63,18.9,0,39.63
24133,2018,984,7.83,22.97,11.18,15.04
24134,2018,2283,9.72,34.95,12.18,9.15
24136,2018,1431,21.59,25.86,11.81,8.6
24137,2018,1187,7.16,31.68,8,8.93
24138,2018,992,12.2,36.9,17.64,7.46
24139,2018,166,0,33.13,8.43,4.22
24141,2018,10767,20.96,18.22,11.99,13.66
24142,2018,872,15.71,4.82,6.08,26.95
24147,2018,547,10.05,44.79,16.64,4.57
24148,2018,3193,7.08,25.65,16.57,11.56
24149,2018,1450,13.1,16.14,16.34,14.76
24150,2018,408,2.7,25.74,30.15,28.19
24151,2018,9091,8.55,28.57,11.93,10.28
24153,2018,17700,13.04,17.93,16.01,11.15
24161,2018,259,1.93,46.33,2.32,14.29
24162,2018,1127,4.44,40.91,6.57,8.96
24165,2018,453,19.65,34.44,13.02,8.83
24167,2018,164,56.1,20.73,12.8,10.37
24168,2018,98,5.1,25.51,2.04,56.12
24171,2018,3643,9.63,32.91,10.32,15.02
24174,2018,1249,6.81,22.9,8.73,16.33
24175,2018,3931,8.34,22.23,13.41,10.07
24176,2018,644,8.7,31.06,10.56,11.96
24179,2018,8715,6.8,19.25,15.77,13.85
24184,2018,1690,8.05,28.93,11.36,13.2
24185,2018,242,3.72,21.07,17.36,28.93
24201,2018,6810,7.17,19.91,13.77,10.37
24202,2018,4888,7.73,20.64,18.74,12.11
24210,2018,7502,9.01,16.13,16.84,15.8
24211,2018,4451,10.51,22.56,18.18,10.92
24216,2018,681,11.6,19.09,12.63,8.81
