COUNTYFP,year,totPopE,whiteP,blackP,amIndP,asianP,pacIsP,otherP,hispP,noHSP,age0_4,age5_14,age15_19,age20_24,age15_44,age45_49,age50_54,age55_59,age60_64,ageOv65,ageOv18,age18_64,a15_24P,und45P,ovr65P,disbP
10001,2018,174822,66.33,25.34,0.65,2.01,0.03,5.64,6.97,12.86,10991,22820,11886,13068,68707,10568,11725,11942,9608,28461,134211,105750,14.27,58.64,16.28,14.5
10003,2018,555133,64.52,24.97,0.26,5.51,0.03,4.71,9.74,8.54,32547,67492,37406,37221,223403,37169,39961,39392,33729,81440,433949,352509,13.44,58.26,14.67,11.0
10005,2018,219540,82.34,12.29,0.4,1.19,0.11,3.67,9.14,12.28,11316,23530,10506,10733,65306,12271,14759,16841,18289,57228,177909,120681,9.67,45.62,26.07,14.1
11001,2018,684498,40.97,46.94,0.29,3.9,0.05,7.84,10.92,9.41,44692,61291,37417,54117,350426,38274,38186,36453,33464,81712,562761,481049,13.37,66.68,11.94,11.8
12001,2018,263148,69.43,19.99,0.37,5.98,0.06,4.18,9.59,7.61,14162,25653,22826,41246,132660,12859,13778,14640,14592,34804,215778,180974,24.35,65.54,13.23,10.7
12003,2018,27785,82.9,13.71,0.24,0.74,0.03,2.38,2.43,15.47,1573,3880,1704,1969,10862,1850,2246,1778,1769,3827,21092,17265,13.22,58.72,13.77,17.3
12005,2018,182482,81.22,10.97,0.62,2.25,0.03,4.9,6.28,9.68,11389,21711,10136,11442,69801,11441,13105,13502,11373,30160,143076,112916,11.82,56.39,16.53,19.5
12007,2018,26979,77.6,19.84,0.39,0.59,0.0,1.59,3.96,21.7,1418,3185,1387,1501,10543,1633,1825,1714,1864,4797,21489,16692,10.7,56.14,17.78,19.9
12009,2018,576808,82.66,10.07,0.34,2.44,0.09,4.41,10.0,8.02,27189,59859,31681,31303,185896,35210,43806,48320,43445,133083,469997,336914,10.92,47.32,23.07,15.6
12011,2018,1909151,61.15,28.47,0.27,3.6,0.07,6.44,29.05,11.16,111571,225828,112757,114287,740227,135012,143153,133090,116289,303981,1500346,1196365,11.89,56.45,15.92,11.0
12013,2018,14444,80.3,12.55,1.09,0.81,0.0,5.26,5.79,21.94,656,1721,904,869,5661,918,1030,965,833,2660,11357,8697,12.27,55.65,18.42,22.0
12015,2018,176954,90.19,5.5,0.26,1.25,0.06,2.73,7.03,9.71,5386,12402,6878,7068,40298,8777,11128,14764,15153,69046,154789,85743,7.88,32.83,39.02,21.9
12017,2018,143087,92.71,2.92,0.31,1.75,0.0,2.3,5.5,11.93,5454,11885,6350,5753,34858,7352,9119,11412,11649,51358,121714,70356,8.46,36.48,35.89,21.4
12019,2018,207291,80.05,10.28,0.1,2.93,0.05,6.59,9.67,8.89,11571,28178,14590,11925,79159,14547,15348,15183,12374,30931,157913,126982,12.79,57.36,14.92,13.6
12021,2018,363922,88.11,6.97,0.28,1.24,0.01,3.4,27.5,13.59,16696,36303,18503,17710,107139,20720,22594,22936,25255,112279,299554,187275,9.95,44.0,30.85,11.4
12023,2018,69105,77.05,17.74,0.32,0.9,0.09,3.9,5.96,13.31,4129,8482,4274,4406,25479,4302,4640,4633,5016,12424,53954,41530,12.56,55.12,17.98,19.5
12027,2018,36399,83.69,12.14,0.24,0.53,0.13,3.27,31.19,27.33,1872,3973,2475,2161,14195,2054,2263,1997,2285,7760,29254,21494,12.74,55.06,21.32,14.1
12029,2018,16437,86.63,8.3,0.23,0.1,0.13,4.61,3.94,20.67,733,1770,897,667,5263,972,1329,1256,1382,3732,13386,9654,9.52,47.25,22.7,24.5
12031,2018,924229,60.28,29.63,0.23,4.66,0.07,5.13,9.32,10.45,62490,114774,54020,64238,386225,58422,62413,62214,54211,123480,714286,590806,12.8,60.97,13.36,13.5
12033,2018,311522,68.13,21.94,0.48,3.17,0.13,6.14,5.55,9.16,18844,35988,21626,26479,126823,17809,20121,21588,19877,50472,246269,195797,15.44,58.31,16.2,15.0
12035,2018,107139,82.63,10.57,0.16,2.52,0.01,4.1,10.11,7.98,4331,10835,6053,4472,30613,6196,6931,7924,8729,31580,88403,56823,9.82,42.73,29.48,16.0
12037,2018,11736,80.74,13.76,0.2,0.45,0.54,4.3,5.44,19.72,516,1115,505,634,4241,748,831,856,914,2515,9817,7302,9.71,50.03,21.43,21.8
12039,2018,46017,41.51,55.76,0.16,0.61,0.03,1.93,10.12,20.66,2699,5821,2433,2936,16934,2943,3323,3036,3647,7614,35931,28317,11.67,55.31,16.55,20.1
12041,2018,17615,91.42,6.3,0.18,0.22,0.0,1.88,5.67,14.07,851,1884,1507,1483,6601,1082,1188,1382,1110,3517,14053,10536,16.97,53.0,19.97,21.0
12043,2018,13363,79.53,13.93,3.98,0.4,0.0,2.16,20.88,24.4,439,1408,745,715,4578,670,1050,917,838,3463,11234,7771,10.93,48.08,25.91,20.4
12045,2018,16055,77.99,18.75,0.37,0.54,0.17,2.18,4.73,15.09,781,1350,801,946,6110,1123,1203,1234,1059,3195,13422,10227,10.88,51.33,19.9,18.6
12047,2018,14269,60.61,34.5,0.58,0.15,0.0,4.15,9.33,23.86,669,1597,813,1057,5637,929,1090,1248,748,2351,11552,9201,13.11,55.39,16.48,22.6
12049,2018,27228,81.4,7.75,0.17,0.78,0.08,9.83,43.46,24.23,1765,4191,1973,1976,10847,1686,1647,1477,1409,4206,20010,15804,14.5,61.71,15.45,10.1
12051,2018,40127,80.12,11.52,1.93,0.81,0.0,5.63,52.88,34.27,2840,6121,2960,2921,16484,2360,2727,2571,1737,5287,29334,24047,14.66,63.41,13.18,12.7
12053,2018,182696,89.4,5.09,0.31,1.27,0.01,3.92,12.87,12.6,8223,19212,9935,8786,55661,10849,12175,13076,13183,50317,148796,98479,10.25,45.48,27.54,19.1
12055,2018,102101,79.75,9.19,0.24,1.48,0.01,9.33,19.59,15.26,4835,9843,4569,4807,28049,4739,5522,6473,7108,35532,84428,48896,9.18,41.85,34.8,20.4
12057,2018,1378883,70.38,16.62,0.31,4.0,0.07,8.61,28.03,11.6,87034,175475,88614,92002,575843,93678,93710,85819,77648,189676,1063125,873449,13.1,60.8,13.76,11.5
12059,2018,19430,88.91,6.85,1.11,0.78,0.37,1.99,2.74,22.57,898,2206,1088,1177,7112,1347,1322,1378,1318,3849,15628,11779,11.66,52.58,19.81,24.0
12061,2018,150984,86.2,9.02,0.27,1.29,0.04,3.18,12.26,11.27,6447,14126,7661,7109,41992,8085,9699,10142,12758,47735,125595,77860,9.78,41.44,31.62,16.6
12063,2018,48472,68.97,27.11,0.64,0.32,0.12,2.84,4.77,19.3,2371,5018,2922,2791,18947,3259,3331,3546,3019,8981,39439,30458,11.79,54.33,18.53,19.6
12065,2018,14105,62.56,34.51,0.55,0.21,0.0,2.17,4.01,17.93,611,1320,517,747,4772,926,1109,959,1307,3101,11785,8684,8.96,47.52,21.99,16.4
12067,2018,8744,79.09,16.09,0.15,0.0,2.14,2.53,14.44,23.87,543,1013,574,468,3684,650,533,664,480,1177,6778,5601,11.92,59.93,13.46,17.2
12069,2018,335362,83.0,10.52,0.42,1.96,0.06,4.04,14.93,10.69,16662,37331,18031,16249,106056,20318,21755,21764,23325,88151,269793,181642,10.22,47.72,26.29,16.4
12071,2018,718679,84.76,8.6,0.19,1.58,0.06,4.81,20.75,12.0,33878,73290,37240,36430,226129,41429,45323,48381,52227,198022,588695,390673,10.25,46.38,27.55,13.6
12073,2018,288102,61.73,31.05,0.2,3.51,0.03,3.48,6.27,6.36,14957,29867,25901,47346,145747,14849,15515,15926,15541,35700,234088,198388,25.42,66.15,12.39,11.4
12075,2018,39961,87.61,8.67,0.3,0.63,0.0,2.8,8.18,15.73,2012,4541,2248,1989,12569,2277,2831,2958,3372,9401,32013,22612,10.6,47.85,23.53,19.9
12077,2018,8365,80.69,15.03,1.08,0.24,0.0,2.96,5.79,18.63,375,763,536,684,3536,616,569,624,577,1305,6972,5667,14.58,55.88,15.6,24.5
12079,2018,18474,57.65,38.75,0.38,1.05,0.01,2.16,5.23,19.31,921,1982,1139,982,6846,1225,1251,1339,1268,3642,14955,11313,11.48,52.77,19.71,19.1
12081,2018,373853,85.52,8.65,0.26,2.07,0.07,3.43,16.19,10.77,18190,39836,19579,18459,115792,22378,24522,26653,27555,98927,303374,204447,10.17,46.49,26.46,14.1
12083,2018,348371,81.86,12.6,0.28,1.54,0.08,3.65,12.74,12.66,17419,36549,17686,17685,106458,19707,21665,24078,23612,98883,283084,184201,10.15,46.05,28.38,18.1
12085,2018,157581,87.82,5.76,0.52,1.35,0.08,4.45,13.39,9.45,6439,14768,8009,7055,44135,9576,10939,11861,12452,47411,131354,83943,9.56,41.47,30.09,15.2
12086,2018,2715516,75.19,17.75,0.17,1.59,0.03,5.27,67.97,18.51,157507,302579,157350,175212,1101878,199433,204121,174395,152250,423353,2160999,1737646,12.25,57.52,15.59,10.1
12087,2018,76325,88.66,7.07,0.15,1.28,0.14,2.69,23.85,8.69,3550,6137,3417,3621,25889,5352,6225,6463,6446,16263,64797,48534,9.22,46.61,21.31,11.1
12089,2018,80578,90.67,6.06,0.34,1.02,0.0,1.91,4.04,8.63,4009,9134,4500,4015,27110,5043,5907,6341,6199,16835,64418,47583,10.57,49.96,20.89,16.0
12091,2018,200737,78.44,9.8,0.51,3.02,0.17,8.07,9.03,8.17,13322,24342,11067,14503,81378,11323,13366,14132,11871,31003,156179,125176,12.74,59.3,15.44,15.2
12093,2018,40572,86.6,8.7,0.82,0.94,0.21,2.73,25.18,24.97,2382,4831,2586,2489,15175,2401,2798,2456,2736,7793,31713,23920,12.51,55.18,19.21,15.2
12095,2018,1321194,63.89,20.98,0.22,5.16,0.08,9.68,30.91,11.51,82019,164705,88442,106036,602359,89094,87370,79201,66182,150264,1024120,873856,14.72,64.27,11.37,10.9
12097,2018,338619,72.87,11.51,0.45,2.7,0.11,12.36,52.98,13.24,21663,47142,24138,23131,144799,23138,22168,18926,17595,43188,254624,211436,13.96,63.08,12.75,14.4
12099,2018,1446277,74.02,18.56,0.17,2.69,0.04,4.52,21.85,11.8,74181,155839,81182,80323,499972,92886,98867,97722,89902,336908,1166266,829358,11.17,50.47,23.29,12.3
12101,2018,510593,87.62,5.57,0.35,2.52,0.07,3.87,14.55,10.95,26529,59000,29072,25880,172644,34110,35516,35034,32996,114764,406413,291649,10.76,50.56,22.48,16.2
12103,2018,957875,81.71,10.28,0.28,3.33,0.1,4.31,9.43,8.89,42635,88172,45352,49164,313272,61913,72770,76526,74092,228495,798558,570063,9.87,46.36,23.85,15.3
12105,2018,668671,77.79,15.21,0.33,1.7,0.05,4.93,21.53,15.18,39134,84684,42132,40950,246839,40332,41755,41060,41329,133538,518793,385255,12.42,55.43,19.97,15.4
12107,2018,72766,79.94,16.09,0.29,0.57,0.01,3.09,9.88,19.07,4177,8853,3938,3958,23322,3968,5091,5696,5389,16270,57140,40870,10.85,49.96,22.36,18.0
12109,2018,235503,88.63,5.41,0.36,2.78,0.07,2.75,6.69,5.41,11949,29960,15392,11530,80537,16693,17424,18033,15668,45239,183958,138719,11.43,51.99,19.21,11.3
12111,2018,305591,73.22,20.07,0.35,1.89,0.09,4.39,18.54,13.88,15920,34869,17731,16515,102594,18486,20641,22179,19793,71109,243532,172423,11.21,50.19,23.27,15.7
12113,2018,170442,85.58,6.07,0.53,1.89,0.26,5.67,5.4,8.44,9728,21297,10908,10022,66003,11634,12891,12214,10482,26193,132532,106339,12.28,56.93,15.37,15.9
12115,2018,412144,91.23,4.52,0.17,1.68,0.03,2.37,8.97,7.18,14882,33847,18040,17292,105480,22107,26342,30382,33263,145841,352163,206322,8.57,37.42,35.39,15.5
12117,2018,455086,77.23,11.66,0.21,4.39,0.07,6.44,20.69,5.71,24115,54600,28215,29175,184514,32309,33079,30329,28677,67463,358208,290745,12.61,57.84,14.82,10.3
12119,2018,120999,88.8,7.46,0.31,0.9,0.04,2.5,5.65,8.43,2142,5227,2795,2505,19809,3795,4658,6835,11262,67271,112147,44876,4.38,22.46,55.6,19.6
12121,2018,43924,82.84,13.18,0.15,0.13,0.07,3.62,9.02,18.53,2157,5902,2045,2851,15327,2595,3076,3076,2955,8836,34376,25540,11.15,53.24,20.12,19.5
12123,2018,22098,74.65,22.07,0.34,0.36,0.15,2.42,4.24,22.55,1028,2583,1002,1397,8388,1447,1418,1368,1644,4222,17862,13640,10.86,54.3,19.11,22.7
12125,2018,15239,73.69,21.88,0.73,0.56,0.03,3.12,5.51,23.09,849,1542,787,850,6338,1009,1127,1130,1033,2211,12353,10142,10.74,57.28,14.51,15.4
12127,2018,527634,82.39,10.8,0.4,1.77,0.03,4.6,13.38,10.02,25018,52342,29299,31769,176326,31616,36884,40265,39677,125506,433326,307820,11.57,48.08,23.79,17.0
12129,2018,31877,82.2,14.87,0.12,0.62,0.0,2.18,3.65,12.07,1553,3993,1788,1560,12444,2388,2509,2358,2200,4432,25048,20616,10.5,56.44,13.9,16.2
12131,2018,65858,86.68,4.69,0.61,0.98,0.14,6.9,6.12,11.52,3876,7306,3406,3061,22621,4268,4863,5137,5003,12784,52459,39675,9.82,51.33,19.41,16.6
12133,2018,24566,80.51,15.48,1.25,0.61,0.46,1.7,3.61,18.77,1256,2778,1475,1429,9501,1602,1847,1894,1425,4263,19691,15428,11.82,55.1,17.35,19.6
13001,2018,18454,76.04,18.22,0.39,0.75,0.0,4.59,9.77,25.55,1206,2593,1344,988,6682,1087,1362,1313,1159,3052,13845,10793,12.64,56.8,16.54,19.1
13003,2018,8265,72.2,17.96,0.73,0.0,0.0,9.12,24.57,30.88,527,1346,717,445,3345,507,542,529,416,1053,6001,4948,14.06,63.13,12.74,15.1
13005,2018,11228,80.81,15.27,0.0,0.27,0.22,3.44,8.37,18.47,809,1640,649,701,4382,596,718,721,662,1700,8359,6659,12.02,60.84,15.14,19.4
13007,2018,3189,56.76,38.76,0.22,2.98,0.63,0.66,4.2,21.73,139,328,216,191,1071,197,261,197,258,738,2559,1821,12.76,48.23,23.14,22.1
13009,2018,45286,53.82,42.09,0.31,1.52,0.0,2.26,2.2,15.59,2209,5055,4556,5406,20219,2420,2916,3041,2650,6776,36588,29812,22.0,60.69,14.96,15.8
13011,2018,18510,92.98,2.71,0.36,1.24,0.0,2.7,6.68,22.91,970,2438,1247,1034,6807,1332,1373,1432,1072,3086,14253,11167,12.32,55.19,16.67,16.3
13013,2018,76887,79.56,11.5,0.17,3.66,0.01,5.1,10.42,16.95,5413,11699,5045,4445,31852,5177,5038,4749,3772,9187,56441,47254,12.34,63.68,11.95,13.0
13015,2018,103620,83.99,10.72,0.25,1.0,0.0,4.04,8.33,16.97,6752,14335,7008,6462,40512,7508,7571,7611,5480,13851,78043,64192,13.0,59.45,13.37,14.2
13017,2018,17154,60.48,36.64,0.0,0.1,0.05,2.72,6.07,17.34,1087,2517,1230,920,6210,982,1245,1104,1228,2781,12809,10028,12.53,57.21,16.21,16.1
13019,2018,19025,84.45,11.95,0.48,0.18,0.0,2.94,4.86,21.95,1136,2638,1126,1075,6900,1258,1368,1387,1069,3269,14424,11155,11.57,56.11,17.18,19.8
13021,2018,153490,40.95,54.12,0.18,1.97,0.04,2.75,3.21,14.26,10633,21160,10656,11278,60505,9091,9790,9649,9905,22757,115472,92715,14.29,60.13,14.83,15.6
13023,2018,12775,69.69,28.1,0.07,0.22,0.0,1.92,2.82,12.4,702,1545,1486,1181,5203,714,927,748,788,2148,9981,7833,20.88,58.32,16.81,16.8
13025,2018,18561,93.74,3.53,0.19,0.99,0.02,1.54,2.11,20.03,1106,2546,1363,1014,6750,1283,1349,1446,1228,2853,14079,11226,12.81,56.04,15.37,21.6
13027,2018,15622,61.57,34.3,0.0,0.82,0.04,3.27,5.74,17.23,890,1864,1150,622,5419,1038,1145,966,1321,2979,12199,9220,11.34,52.32,19.07,17.4
13029,2018,35885,77.06,14.76,0.45,1.46,0.07,6.2,6.84,8.06,2585,6139,2704,1893,15134,2409,2206,2181,1578,3653,25363,21710,12.81,66.48,10.18,12.1
13031,2018,74782,65.56,28.18,0.35,1.41,0.25,4.25,3.87,13.13,4235,8348,9214,11513,38742,3866,4006,3575,3835,8175,59790,51615,27.72,68.63,10.93,13.3
13033,2018,22550,48.49,48.59,0.02,0.3,0.0,2.59,3.12,20.8,1646,3270,1691,1238,8241,1383,1530,1748,1433,3299,16659,13360,12.99,58.35,14.63,14.4
13035,2018,23750,68.59,28.88,0.04,0.44,0.25,1.8,3.16,20.8,1363,2682,1393,1583,9718,1613,1704,1770,1321,3579,18831,15252,12.53,57.95,15.07,15.8
13037,2018,6428,33.91,60.97,0.0,0.53,0.0,4.59,4.65,25.65,206,725,338,415,2887,364,471,360,481,934,5278,4344,11.71,59.4,14.53,16.7
13039,2018,52714,72.94,18.71,0.69,2.12,0.12,5.42,6.58,8.21,3892,7148,3525,5170,22927,3059,3224,3489,2539,6436,39775,33339,16.49,64.44,12.21,12.1
13043,2018,10827,67.93,23.76,0.64,2.28,0.0,5.39,11.56,23.42,629,1629,805,577,4033,613,670,786,622,1845,8111,6266,12.76,58.1,17.04,18.1
13045,2018,116022,75.23,18.96,0.84,0.75,0.09,4.12,6.76,16.3,7425,15575,9457,10736,49976,7483,7312,6821,6278,15152,88161,73009,17.4,62.9,13.06,14.7
13047,2018,66299,92.49,2.35,0.33,1.44,0.04,3.36,2.93,12.56,3634,8833,4361,3886,25102,4575,4607,4044,4385,11119,50902,39783,12.44,56.67,16.77,14.7
13049,2018,12983,66.89,25.86,1.89,0.82,0.12,4.41,8.5,26.74,670,1431,884,958,5193,828,1374,815,745,1927,10508,8581,14.19,56.18,14.84,20.2
13051,2018,287049,52.68,39.76,0.27,2.57,0.13,4.58,6.27,10.39,18665,34186,18561,23540,124968,16337,17336,18031,16123,41403,224581,183178,14.67,61.95,14.42,14.0
13053,2018,10767,69.75,21.02,0.34,3.63,0.33,4.93,15.35,7.18,892,1249,1389,2359,7149,358,253,184,273,409,8450,8041,34.81,86.28,3.8,10.9
13055,2018,24817,86.26,10.1,0.12,0.52,0.0,3.0,4.96,26.92,1375,3300,1501,1563,9302,1661,1647,1739,1592,4201,19203,15002,12.35,56.32,16.93,18.0
13057,2018,241910,86.42,6.81,0.36,1.87,0.05,4.49,10.32,8.62,14819,35424,16592,13528,93836,18976,17888,16299,13568,31100,180696,149596,12.45,59.56,12.86,9.9
13059,2018,124602,62.87,27.57,0.13,4.05,0.07,5.3,10.65,12.88,6777,11806,14042,22484,71124,5678,5357,5621,5432,12807,102948,90141,29.31,71.99,10.28,11.1
13061,2018,3001,30.06,67.84,0.0,1.37,0.0,0.73,0.0,20.23,147,363,132,169,987,162,178,246,237,681,2417,1736,10.03,49.88,22.69,20.7
13063,2018,278666,17.08,69.17,0.2,5.23,0.05,8.26,13.17,15.25,21404,44254,20197,20689,121340,18934,18128,16452,13811,24343,200334,175991,14.67,67.1,8.74,10.7
13065,2018,6743,65.83,27.61,0.06,0.43,0.0,6.07,5.12,29.17,565,975,387,318,2451,431,449,429,420,1023,4933,3910,10.46,59.19,15.17,15.3
13067,2018,745057,59.32,27.36,0.23,5.25,0.06,7.76,12.83,8.22,47657,101409,50048,48751,314030,55058,53033,48742,40011,85117,564850,479733,13.26,62.16,11.42,8.5
13069,2018,42961,67.95,28.06,0.18,0.76,0.0,3.04,11.47,22.61,2914,5827,2998,3315,17726,2929,2934,2379,2524,5728,32411,26683,14.69,61.61,13.33,18.9
13071,2018,45606,64.46,23.0,0.54,0.84,0.02,11.13,18.99,26.17,3195,6909,3224,2839,17714,2905,2928,2950,2301,6704,33551,26847,13.29,61.0,14.7,14.3
13073,2018,147295,74.34,16.68,0.3,4.07,0.0,4.61,6.44,7.38,9373,21700,10154,8726,59851,9879,9962,8923,8901,18706,109473,90767,12.82,61.73,12.7,11.5
13075,2018,17184,69.02,27.48,0.26,0.63,0.0,2.6,5.75,20.06,1128,2550,1122,1115,6448,1190,1125,1043,1035,2665,12739,10074,13.02,58.93,15.51,18.1
13077,2018,140516,76.74,17.6,0.22,1.92,0.02,3.5,6.8,11.23,8666,20322,9734,8272,54191,10863,10594,9232,8165,18483,105186,86703,12.81,59.2,13.15,10.7
13079,2018,12344,74.38,24.13,0.0,0.2,0.0,1.3,1.3,16.48,644,1530,729,662,4169,843,1042,1244,686,2186,9725,7539,11.27,51.39,17.71,17.3
13081,2018,22846,52.98,43.66,0.0,0.96,0.13,2.27,3.28,19.88,1464,3145,1714,1438,8308,1313,1479,1688,1435,4014,17167,13153,13.8,56.54,17.57,17.9
13083,2018,16227,94.95,0.63,0.0,1.65,0.15,2.62,2.22,20.87,767,1764,1398,1205,6327,1057,1062,1150,1161,2939,13160,10221,16.04,54.59,18.11,17.3
13085,2018,23861,96.3,0.96,0.05,0.62,0.0,2.06,4.37,13.99,1356,2721,1400,1397,8408,1572,1823,1547,1775,4659,18855,14196,11.72,52.32,19.53,14.8
13087,2018,26833,52.4,41.61,0.07,0.34,0.0,5.59,5.88,18.39,1802,3671,1896,1667,10159,1700,1856,1998,1426,4221,20236,16015,13.28,58.26,15.73,17.1
13089,2018,743187,34.52,53.97,0.76,6.1,0.04,4.62,8.58,11.03,52982,95077,43344,48365,323585,50588,49082,45546,40756,85571,568921,483350,12.34,63.46,11.51,10.3
13091,2018,20919,67.41,28.05,0.01,0.38,0.0,4.15,3.46,16.76,1106,2366,1115,1404,8014,1555,1499,1560,1279,3540,16737,13197,12.04,54.91,16.92,18.9
13093,2018,13905,45.14,49.08,0.06,0.11,0.0,5.62,6.89,24.84,563,1468,982,805,5248,989,964,1005,1111,2557,11371,8814,12.85,52.35,18.39,21.2
13095,2018,91049,26.97,69.03,0.21,0.93,0.04,2.82,2.73,17.49,6151,12299,6956,7777,37491,5058,5479,5479,5771,13321,68948,55627,16.18,61.44,14.63,15.6
13097,2018,141840,47.42,46.17,0.12,1.59,0.0,4.71,9.43,12.03,8958,21500,10890,9249,57918,11025,10393,9189,7272,15585,104450,88865,14.2,62.31,10.99,11.7
13099,2018,10348,45.76,51.36,0.09,0.55,0.0,2.24,2.21,19.88,664,1430,651,662,3573,744,630,534,845,1928,7770,5842,12.69,54.76,18.63,14.6
13101,2018,3994,73.76,3.58,2.05,0.0,0.0,20.61,24.64,28.5,186,495,334,147,1606,234,388,206,233,646,3133,2487,12.04,57.26,16.17,14.9
13103,2018,58689,81.95,13.55,0.13,0.94,0.04,3.39,4.23,12.0,3936,8963,4283,3442,23936,4144,4153,4009,3029,6519,42957,36438,13.16,62.76,11.11,12.6
13105,2018,19212,68.11,30.65,0.0,0.22,0.0,1.02,5.6,22.56,1120,2437,1020,1106,6584,1178,1348,1403,1352,3790,15013,11223,11.07,52.78,19.73,20.2
13107,2018,22499,61.94,34.21,0.05,0.28,0.0,3.52,4.46,20.8,1528,3172,1689,1278,8697,1279,1482,1646,1207,3488,16843,13355,13.19,59.54,15.5,18.8
13109,2018,10727,58.65,30.41,0.01,0.85,0.0,10.09,11.71,25.69,781,1635,632,450,3922,649,739,663,626,1712,7887,6175,10.09,59.08,15.96,16.7
13111,2018,24925,96.93,0.32,0.35,0.66,0.11,1.62,2.27,13.3,993,2489,1194,1160,6977,1417,1768,1980,2344,6957,20674,13717,9.44,41.96,27.91,24.5
13113,2018,111369,67.83,21.83,0.25,4.52,0.11,5.46,7.17,5.2,4911,15236,8848,6899,37892,8251,9336,9249,7405,19089,85298,66209,14.14,52.11,17.14,9.6
13115,2018,96824,78.22,14.32,0.18,1.59,0.0,5.69,10.76,19.02,5851,12909,7030,6947,37763,6115,6416,6194,5940,15636,74152,58516,14.44,58.38,16.15,15.3
13117,2018,219880,81.35,3.32,0.19,11.85,0.04,3.25,9.49,7.16,13618,37290,16329,10626,84217,19719,16891,12669,10455,25021,157730,132709,12.26,61.45,11.38,7.2
13119,2018,22514,85.89,9.55,0.07,0.88,0.0,3.61,4.46,19.99,1367,2653,1609,1520,8206,1520,1503,1613,1287,4365,17556,13191,13.9,54.3,19.39,19.5
13121,2018,1021902,44.88,44.14,0.38,6.87,0.03,3.71,7.27,7.93,62272,129017,69334,74616,462159,73205,68720,60339,52788,113402,791630,678228,14.09,63.94,11.1,10.1
13123,2018,29922,90.64,0.45,1.75,0.47,0.01,6.67,11.46,18.08,1570,3149,1736,1610,9409,2019,2024,2107,2655,6989,24018,17029,11.18,47.22,23.36,20.1
13125,2018,3009,88.43,9.14,0.5,0.0,0.07,1.86,1.63,22.65,134,403,251,159,1050,262,224,227,196,513,2305,1792,13.63,52.74,17.05,13.7
13127,2018,83974,67.88,26.15,0.43,1.28,0.07,4.2,6.64,12.08,4971,10681,5050,5014,30015,5196,5643,6042,5632,15794,65054,49260,11.98,54.38,18.81,15.7
13129,2018,56790,89.2,3.97,0.82,1.12,0.02,4.86,15.61,22.31,3516,8113,3876,3504,21909,4171,4125,3631,3295,8030,42572,34542,13.0,59.06,14.14,18.7
13131,2018,24926,66.31,28.74,0.53,0.57,0.37,3.49,11.13,19.72,1668,3488,1450,1371,8837,1638,1711,1894,1413,4277,18710,14433,11.32,56.14,17.16,20.8
13133,2018,16976,58.46,35.51,0.0,1.01,0.02,5.01,6.0,16.84,683,2081,826,723,4977,835,1034,1186,1466,4714,13718,9004,9.12,45.6,27.77,15.0
13135,2018,902298,49.67,27.24,0.39,11.4,0.03,11.28,20.9,12.33,61066,142176,67439,58778,380114,69259,65364,55147,45730,83442,654847,571405,13.99,64.65,9.25,6.9
13137,2018,44289,86.61,3.07,0.1,2.05,0.56,7.61,14.45,21.82,2654,5624,3139,3246,16781,2959,2796,2527,2881,8067,34246,26179,14.42,56.58,18.21,16.5
13139,2018,195961,84.93,7.42,0.24,1.71,0.02,5.68,28.14,21.62,13011,29210,13475,13149,77144,13681,12960,11702,10495,27758,145010,117252,13.59,60.91,14.17,11.0
13141,2018,8535,24.53,72.38,0.0,0.87,0.16,2.05,1.92,28.5,292,706,277,572,3103,601,654,616,719,1844,7327,5483,9.95,48.05,21.61,16.0
13143,2018,28956,92.39,4.65,0.31,0.76,0.0,1.89,1.57,19.28,1744,4053,1885,1571,10533,2323,2082,1675,2024,4522,21930,17408,11.94,56.4,15.62,18.3
13145,2018,33590,79.14,16.13,0.12,1.25,0.01,3.35,3.44,9.23,1576,4278,2379,1888,11728,2484,2671,2583,2409,5861,26243,20382,12.7,52.34,17.45,18.2
13147,2018,25631,77.34,18.45,0.04,0.97,0.03,3.17,3.71,19.57,1396,3087,1444,1316,8711,1553,1845,1872,1711,5456,20252,14796,10.77,51.48,21.29,20.2
13149,2018,11677,86.88,9.29,0.02,0.5,0.17,3.14,2.67,20.75,647,1551,767,686,4225,854,861,852,801,1886,8956,7070,12.44,55.01,16.15,19.4
13151,2018,221307,49.27,42.39,0.07,3.35,0.0,4.92,6.66,9.56,12905,33635,18237,14351,90238,17651,16748,14347,11475,24308,162890,138582,14.73,61.8,10.98,10.4
13153,2018,151682,61.27,30.48,0.41,2.9,0.01,4.93,6.58,9.13,10239,22206,10124,10192,62511,9684,10698,9669,8187,18488,112681,94193,13.39,62.6,12.19,13.2
13155,2018,9268,68.17,29.77,0.14,0.39,0.0,1.53,1.46,18.4,419,1279,791,573,3631,561,608,557,485,1728,7258,5530,14.72,57.5,18.64,20.5
13157,2018,65755,87.43,6.68,0.12,1.6,0.01,4.16,7.38,16.31,4262,9685,4275,3300,25237,4756,4576,4097,3667,9475,48982,39507,11.52,59.59,14.41,13.6
13159,2018,13784,75.3,20.9,0.06,0.26,0.0,3.48,3.91,21.39,787,1937,921,720,4826,934,980,1070,926,2324,10488,8164,11.91,54.77,16.86,17.6
13161,2018,14991,75.99,16.44,0.0,0.26,0.0,7.3,11.7,22.31,1027,2396,1226,637,5702,828,1007,770,964,2297,10945,8648,12.43,60.87,15.32,16.6
