"FIPS","SVIth1","SVIth2","SVIth3","SVIth4","SVIS"
38103,0.1666,0.3932,0.0051,0.0879,0.0611
39001,0.8876,0.9659,0.0341,0.595,0.7704
39031,0.7229,0.7033,0.2241,0.5998,0.6207
39041,0.0013,0.084,0.4655,0.0417,0.0166
39047,0.6446,0.8911,0.3181,0.1662,0.5016
39049,0.3392,0.2528,0.8373,0.6699,0.5124
39079,0.8592,0.9303,0.1172,0.6578,0.7726
39087,0.7013,0.8848,0.1503,0.341,0.5583
39097,0.3455,0.283,0.3598,0.5291,0.3382
39101,0.6806,0.5393,0.3263,0.7459,0.6414
39115,0.6713,0.8943,0.1843,0.3827,0.5659
39129,0.3761,0.3104,0.2544,0.3655,0.2818
39131,0.8656,0.9182,0.0965,0.7822,0.7994
39173,0.2153,0.029,0.4228,0.4995,0.1662
40003,0.2761,0.3438,0.5868,0.1808,0.2535
40007,0.5057,0.284,0.8399,0.2184,0.4554
40009,0.4892,0.4632,0.631,0.9468,0.7118
40011,0.4443,0.8208,0.8294,0.5543,0.6678
40025,0.3911,0.8841,0.772,0.0946,0.4475
40029,0.7815,0.9952,0.5116,0.39,0.8255
40039,0.5143,0.5721,0.8354,0.8427,0.7503
40041,0.7994,0.7873,0.6679,0.4117,0.7697
40043,0.2758,0.5543,0.5708,0.0675,0.2248
40057,0.6799,0.9723,0.8574,0.3553,0.8108
40063,0.9041,0.6963,0.5495,0.5514,0.8115
40069,0.8347,0.9707,0.5078,0.5342,0.8468
40073,0.3287,0.7418,0.7768,0.128,0.3806
40077,0.7417,0.958,0.6033,0.8797,0.8936
40079,0.8213,0.965,0.7791,0.6428,0.9032
40097,0.6338,0.9484,0.4947,0.6135,0.7519
40099,0.4818,0.9271,0.6692,0.6262,0.7092
40101,0.7688,0.9204,0.7459,0.9529,0.9338
40109,0.4494,0.5877,0.9121,0.6765,0.6818
40111,0.8287,0.9656,0.419,0.7434,0.8659
40115,0.8255,0.9866,0.703,0.9166,0.9576
40121,0.6653,0.9198,0.6307,0.7698,0.8264
40127,0.7924,0.8812,0.4059,0.6218,0.7863
40143,0.401,0.6033,0.8746,0.5963,0.6159
40151,0.3799,0.2455,0.4349,0.3473,0.314
41001,0.6041,0.5836,0.3235,0.9191,0.6854
41003,0.3736,0.007,0.6625,0.8886,0.349
41005,0.0889,0.0828,0.6632,0.4148,0.1895
41013,0.6529,0.7443,0.3989,0.3792,0.5729
