"","GEOID","totPop","age18_64","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","agOver65","Age15_24P","Und45P","Ovr65P","WhiteP","BlackP","HispP","AmIndP","AsianP","PacIsP","OtherP","NoHSP","DisbP"
"838",5049,11642,6639,635,1490,778,487,4019,766,837,798,744,2353,10.87,52.77,20.21,97.67,0.2,0.53,0.67,0.21,0,14600,27.84,53
"839",5115,54469,33626,3559,7908,4602,4145,24132,3655,3360,2712,2200,6943,16.06,65.36,12.75,93.73,2.61,2.06,0.68,0.64,0.03,127500,22.55,45
"840",5041,15341,8740,1149,2412,1321,933,6125,1050,953,832,647,2173,14.69,63.14,14.16,50.5,46.33,3.16,0.35,0.3,0.03,38700,35,53
"841",5051,88068,50657,4879,10482,5385,4413,31976,5956,5916,5202,5005,18652,11.13,53.75,21.18,88.85,7.8,2.56,0.61,0.5,0.03,196500,21.71,45
"842",38049,5987,3248,294,806,464,225,2082,477,378,331,314,1305,11.51,53.15,21.8,98.73,0.08,0.4,0.4,0.03,0,4500,23.07,37
"843",5091,40443,24402,3005,5910,2983,2742,17283,2757,2474,2074,1633,5307,14.16,64.78,13.12,74.02,22.99,1.58,0.63,0.37,0.02,80600,25.7,44
"844",5145,67165,41536,4214,9354,5700,5676,29630,4282,4156,3416,2860,9253,16.94,64.32,13.78,93.52,3.56,1.88,0.43,0.32,0.03,145200,27.12,42
"845",5039,9210,5236,565,1368,749,492,3496,712,610,494,401,1564,13.47,58.95,16.98,56.96,40.98,1.92,0.24,0.23,0,14700,33.16,53
"846",5075,17774,10421,1128,2368,1346,1115,7061,1092,1130,1035,865,3095,13.85,59.4,17.41,97.78,0.44,0.68,0.57,0.05,0.01,20500,36.75,59
"847",5137,11499,6808,629,1481,716,553,3978,817,838,840,782,2134,11.04,52.94,18.56,97.27,0.08,1.08,0.77,0.05,0.03,21000,31.96,62
"848",5095,10254,5618,709,1605,823,506,3762,700,634,555,515,1774,12.96,59.25,17.3,59.37,38.79,1.29,0.26,0.13,0.04,14800,36.22,54
"849",5087,14243,8378,915,2217,1019,735,5597,1007,994,801,664,2048,12.31,61.29,14.38,95.94,0.11,3.06,1.22,0.06,0.09,37900,32.18,45
"850",5089,16140,9337,810,2072,1032,622,5421,1111,1224,1126,1144,3232,10.25,51.44,20.02,97.52,0.12,0.76,0.76,0.2,0.05,22600,24.01,52
"851",40119,68190,47500,3704,7180,7068,13044,37965,3984,3223,2670,2115,7349,29.49,71.64,10.78,84.33,3.63,2.15,4.58,3,0.04,303600,13.27,29
"852",40015,30150,17057,1994,4847,2688,1619,12161,1986,1767,1584,1312,4499,14.29,63.02,14.92,65.55,2.92,6.28,24.28,0.17,0.02,213400,24.15,40
"853",40041,37077,21506,2268,5155,2494,1725,13256,2424,2574,2539,2360,6501,11.38,55.77,17.53,70.22,0.13,1.75,22.31,0.17,0.04,265300,24.63,52
"854",40095,13184,7512,821,1711,916,632,4719,823,886,831,817,2576,11.74,55,19.54,77.99,1.84,8.6,9.1,0.19,0.01,143500,28.99,52
"855",38043,2753,1453,137,346,210,82,922,226,161,156,143,662,10.61,51.04,24.05,99.49,0.18,0.58,0.11,0.07,0,400,28,32
"856",40055,6061,3634,283,671,414,395,2533,422,354,295,288,1215,13.35,57.53,20.05,81.46,8.78,7.44,2.47,0.26,0.02,42600,23.29,42
"857",40029,6031,3347,397,927,426,321,2272,384,383,294,296,1078,12.39,59.63,17.87,75.18,0.36,2.14,17.31,0.32,0,41200,31.36,62
"858",40133,24894,14167,1669,3657,2028,1451,9564,1694,1540,1366,1235,4169,13.98,59.81,16.75,70.74,5.59,2.22,17.39,0.22,0.05,151100,26.78,54
"859",40099,12623,7240,830,1612,947,674,4788,831,843,722,666,2331,12.84,57.28,18.47,80.76,1.9,3.15,11.57,0.32,0.03,68800,25.72,46
"860",40067,6818,3813,418,908,480,317,2530,460,408,362,360,1372,11.69,56.56,20.12,87.14,0.69,7.01,5.24,1.13,0.03,39600,30.7,53
"861",40141,9287,5008,577,1389,764,421,3412,591,522,501,500,1795,12.76,57.91,19.33,74.21,9.02,17.67,2.68,0.32,0.03,127800,32.65,49
"862",40091,19456,10815,1059,2501,1307,785,6432,1226,1338,1331,1331,4238,10.75,51.36,21.78,72.59,4.06,1.27,16.2,0.14,0.03,136400,28.41,59
"863",40023,15342,8694,975,2275,1145,787,5725,1010,1001,892,800,2664,12.59,58.5,17.36,68.55,10.94,1.6,14.96,0.16,0.02,82800,30.98,53
"864",40059,3562,1958,167,476,273,143,1249,294,215,205,183,773,11.68,53.12,21.7,95.87,0.03,5.64,0.93,0.08,0.03,11000,17.91,36
"865",38061,6631,3597,431,1057,543,281,2361,530,432,350,296,1174,12.43,58.05,17.7,65.99,0.09,1.31,29.98,0.21,0.05,24700,22.14,29
"866",38045,4701,2463,208,658,385,141,1607,342,282,247,257,1100,11.19,52.61,23.4,99.23,0.02,0.55,0.17,0.13,0,2100,24.69,27
"867",40053,5144,2746,261,747,430,189,1858,349,306,263,257,1103,12.03,55.72,21.44,95.31,0.08,1.85,2.45,0.14,0.02,10400,14.26,35
"868",40043,4743,2642,229,622,390,201,1678,309,335,322,253,995,12.46,53.32,20.98,92.16,0.13,2.68,4.64,0.06,0.02,14300,20.24,41
"869",40109,660448,410714,48227,92106,48766,51671,298312,46288,39991,30366,24442,80716,15.21,66.42,12.22,70.44,15.03,8.68,3.42,2.81,0.08,5484100,17.48,38
"870",40079,48109,28917,3294,7034,3812,3127,19935,3222,3113,2641,2255,6615,14.42,62.91,13.75,80.35,2.21,3.84,10.72,0.21,0.03,312700,29.65,49
"871",40105,10569,5984,688,1572,777,521,3972,730,654,594,530,1829,12.28,58.96,17.31,72.43,2.46,1.23,16.56,0.12,0,89100,23.77,47
"872",40139,20107,12264,1700,3061,1758,1824,9424,1278,1037,832,719,2056,17.81,70.55,10.23,76.73,0.71,29.86,1.24,0.56,0.1,417500,28.06,28
"873",54061,81866,58185,4044,8313,8274,13416,44333,5550,4706,3459,2696,8765,26.49,69.25,10.71,92.22,3.38,1.01,0.2,2.45,0.04,143200,16.38,30
"874",54005,25535,16146,1608,3236,1673,1694,10522,2232,1974,1341,1158,3464,13.19,60.18,13.57,98.53,0.65,0.46,0.12,0.07,0.02,15900,35.95,67
"875",54051,35519,21612,1900,4738,2270,1805,13712,2947,2749,1960,1718,5795,11.47,57.29,16.32,98.4,0.43,0.64,0.11,0.25,0.03,28900,20.29,41
"876",54001,15557,9560,825,2073,1179,966,6314,1160,1086,890,789,2420,13.79,59.21,15.56,97.36,0.49,0.47,0.71,0.26,0.02,18200,27.27,45
"877",32001,23982,14182,1920,3921,1707,1334,9927,1628,1464,1269,988,2865,12.68,65.75,11.95,84.2,1.6,8.66,4.78,2.71,0.23,161200,14.89,32
"878",54095,9592,5782,503,1306,619,427,3624,761,709,582,528,1579,10.9,56.64,16.46,99.35,0.02,0.43,0.05,0.08,0.01,4700,24.64,45
"879",54049,56598,34854,2899,6602,3971,4170,23064,4124,4016,3175,2645,10073,14.38,57.54,17.8,95.1,3.22,0.7,0.2,0.41,0.01,60700,20.47,43
"880",32510,52457,32349,3289,6968,3196,2946,21278,4022,3702,2949,2412,7837,11.71,60.12,14.94,85.3,1.8,14.23,2.4,1.77,0.14,457800,17.53,34
"881",54105,5873,3618,329,862,447,300,2485,389,389,328,328,763,12.72,62.59,12.99,98.55,0.29,0.31,0.2,0.1,0,5000,27.61,46
"882",54063,14583,9408,723,1694,842,857,6123,1079,1107,900,715,2242,11.65,58.56,15.37,92.67,5.98,0.49,0.23,0.16,0.01,14100,26.34,44
"883",32023,32485,18795,1937,4498,1880,1143,10820,2268,2298,2357,2323,5984,9.31,53.12,18.42,89.63,1.18,8.35,1.96,0.78,0.32,209600,20.75,46
"884",54043,22108,13995,1322,2909,1626,1412,9467,1677,1566,1164,1099,2904,13.74,61.96,13.14,99.04,0.06,0.55,0.17,0.06,0.01,15000,37.32,73
"885",54075,9131,5650,452,1117,495,475,3482,680,720,575,528,1577,10.62,55.32,17.27,98.38,0.78,0.43,0.07,0.14,0,5800,29.13,52
"886",32029,3399,2284,150,384,201,93,1205,342,359,299,214,446,8.65,51.16,13.12,93,0.29,5.12,1.44,1,0.15,14500,13.27,46
"887",54033,68652,41416,3924,8987,4782,3886,27559,5028,4870,3769,3137,11378,12.63,58.95,16.57,96.55,1.61,0.96,0.15,0.59,0.03,75500,21.55,44
"888",54069,47427,28431,2449,5778,3519,3319,18739,3778,3225,2377,2181,8900,14.42,56.86,18.77,94.5,3.57,0.5,0.09,0.78,0.03,50500,16.98,35
"889",54067,26562,16400,1439,3562,1857,1488,10677,2139,1949,1462,1360,3974,12.59,59.02,14.96,98.84,0.05,0.48,0.24,0.19,0.02,17800,30.01,59
"890",54023,11299,7009,714,1426,658,642,4403,855,852,726,595,1728,11.51,57.91,15.29,98.33,0.67,0.55,0.26,0.14,0.02,6800,29.23,38
"891",54015,10330,6272,628,1521,791,638,4269,788,688,547,475,1414,13.83,62.13,13.69,98.22,0.08,0.41,0.71,0.02,0,10100,36.28,65
"892",54059,28253,17898,1652,3845,2164,1790,12187,2350,2070,1429,1204,3516,13.99,62.59,12.44,96.39,2.34,0.48,0.24,0.21,0.02,23300,40.4,79
"893",54009,25447,15585,1278,2955,1734,1628,9936,2080,1868,1371,1297,4662,13.21,55.68,18.32,97.9,0.85,0.39,0.1,0.34,0.04,20600,20.29,38
"894",54029,32667,19848,1727,3864,1905,1672,12446,2765,2391,1683,1774,6017,10.95,55.21,18.42,96.42,2.3,0.74,0.12,0.35,0.01,26500,17.11,35
"895",54053,25957,16123,1523,3303,1751,1485,10415,2007,1853,1498,1425,3933,12.47,58.72,15.15,98.37,0.5,0.47,0.18,0.27,0.01,17600,27.57,49
"896",54055,62980,38741,3638,7250,4206,4345,25052,4906,4562,3509,3094,10969,13.58,57.07,17.42,92.56,5.82,0.45,0.19,0.46,0.01,60700,27.94,58
"897",32027,6693,4454,434,995,442,418,3268,451,387,397,241,520,12.85,70.18,7.77,77.69,5.35,19.33,3.42,0.63,0.22,86400,24.06,27
"898",54021,7160,4610,348,786,712,778,3243,472,470,393,350,1098,20.81,61.13,15.34,97.33,0.91,0.7,0.2,0.57,0.01,7100,29.97,50
"899",54031,12669,7831,755,1748,755,660,5069,903,923,746,641,1884,11.17,59.77,14.87,96.87,1.93,0.66,0.16,0.14,0,11400,29.72,47
"900",54037,42190,27400,2642,5661,3174,2798,18566,3346,3173,2317,1761,4724,14.16,63.69,11.2,91.02,6.09,1.74,0.28,0.6,0.04,84700,20.96,31
"901",54065,14943,9120,905,1896,827,739,5646,1196,1112,886,827,2475,10.48,56.53,16.56,98.3,0.6,0.83,0.17,0.12,0.01,12100,24.21,42
"902",32007,45291,27916,3842,8287,3891,2642,20818,3411,2705,2126,1426,2676,14.42,72.75,5.91,82.04,0.59,19.73,5.3,0.68,0.11,515900,20.86,26
"903",20077,6536,3405,369,915,480,280,2196,469,390,328,350,1519,11.63,53.24,23.24,97.23,0.23,1.07,0.83,0.14,0.02,10300,16.25,36
"904",20037,38242,23557,2446,4693,3440,4449,17465,2399,2158,1728,1443,5910,20.63,64.34,15.45,93.29,1.83,2.38,0.94,1.11,0.09,108100,15.46,36
"905",20001,14385,8162,850,2046,1298,842,5601,1015,899,722,659,2593,14.88,59.07,18.03,94.8,1.63,1.93,0.78,0.26,0,36400,16.86,37
"906",20111,35935,22502,2473,5098,3417,4095,17304,2325,1917,1497,1138,4183,20.9,69.22,11.64,83.27,2.27,16.72,0.47,2.04,0.01,429500,18.15,29
"907",20149,18209,10392,1351,3024,1475,925,7449,1321,1107,815,691,2451,13.18,64.93,13.46,96.32,0.66,2.26,0.59,0.32,0.01,38300,10.79,27
"908",20005,16774,9578,1068,2488,1609,1198,6911,1061,966,825,732,2723,16.73,62.4,16.23,91.62,5.32,1.95,0.55,0.34,0.06,36200,15.33,29
"909",20137,5953,3476,285,754,387,347,2419,408,360,302,260,1165,12.33,58.09,19.57,93.35,4.05,2.37,0.44,0.42,0.02,10400,15.15,32
"910",20193,8180,4833,548,1203,848,658,3500,633,426,351,322,1197,18.41,64.19,14.63,97.14,0.43,1.85,0.33,0.27,0.02,15000,7.27,27
"911",20091,451086,283849,33641,68670,29883,24083,202034,36038,30729,20528,14377,45069,11.96,67.47,9.99,91.11,2.61,3.98,0.33,2.83,0.03,1406700,5.09,20
"912",20075,2670,1423,184,433,209,122,1006,189,135,115,118,490,12.4,60.79,18.35,81.65,0.49,20.6,0.49,0.56,0,44900,23.34,39
"913",20141,4452,2248,205,643,312,146,1452,323,241,242,202,1144,10.29,51.66,25.7,98.61,0.07,0.38,0.22,0.2,0.02,4000,15.15,35
"914",20083,2085,1085,101,364,185,52,763,149,120,96,96,396,11.37,58.9,18.99,97.31,0.91,2.69,0.24,0,0,3200,13.08,30
"915",20195,3319,1731,168,404,294,107,1180,255,182,161,173,796,12.08,52.79,23.98,97.77,0.18,0.78,0.39,0.48,0.06,3900,15.71,35
"916",20029,10268,5588,506,1306,960,590,3794,634,637,500,507,2384,15.1,54.6,23.22,98.3,0.34,0.6,0.25,0.25,0,8800,14.47,34
"917",20013,10724,5807,684,1570,867,499,3944,765,663,539,470,2089,12.74,57.8,19.48,86.87,1.56,2.32,8.82,0.21,0.01,27300,15.41,37
"918",20087,18426,11022,1178,2873,1498,779,7429,1455,1253,1027,853,2358,12.36,62.3,12.8,96.7,0.37,1.28,0.92,0.17,0.01,33800,11.12,30
"919",20041,19344,10769,1103,2875,1417,806,7303,1403,1146,1009,906,3599,11.49,58.32,18.61,96.44,0.58,2.3,0.49,0.3,0.01,42400,13.64,31
"920",20101,2155,1166,114,308,167,75,772,153,142,115,110,441,11.23,55.41,20.46,97.73,0,1.44,0.05,0.09,0.05,4600,11.54,29
"921",20015,59482,34962,4131,9821,4887,3106,25141,4625,3633,2517,2131,7483,13.44,65.72,12.58,94.94,1.38,2.25,0.91,0.4,0.03,141200,12.67,30
"922",20023,3165,1571,149,454,221,88,1029,230,188,159,114,842,9.76,51.56,26.6,97.91,0.13,2.59,0.09,0.32,0.03,4900,14.49,37
"923",20199,1749,924,98,295,170,60,642,134,106,75,83,316,13.15,59.18,18.07,94.63,0.63,4.8,0.8,0.17,0,6600,15.98,22
"924",20019,4359,2279,195,618,328,146,1386,247,287,253,312,1061,10.87,50.45,24.34,93.83,0.3,1.35,3.58,0.07,0.05,9700,18.97,49
"925",20097,3278,1792,181,454,246,176,1137,255,240,159,153,699,12.87,54.06,21.32,97.19,0.21,2.04,0.61,0.27,0,5600,14.82,38
"926",20081,4307,2432,392,775,374,268,1841,293,236,174,139,457,14.91,69.84,10.61,85.07,0.19,23.57,0.58,0.63,0,58300,25.19,23
"927",20159,10761,6172,627,1487,1064,905,4422,704,576,507,504,1934,18.3,60.74,17.97,94.68,1.15,5.61,0.57,0.33,0.04,35200,16.62,35
"928",20129,3496,1983,283,566,283,174,1409,213,208,172,158,487,13.07,64.59,13.93,88.39,0.2,14.1,1.14,1.06,0,32200,18.11,27
"929",20165,3551,1866,172,459,226,123,1163,261,231,181,185,899,9.83,50.52,25.32,98.45,0.31,1.04,0.42,0.11,0,2500,17.17,37
"930",24045,84644,52856,5317,12013,6826,6808,37376,6161,5444,4315,3195,10823,16.11,64.63,12.79,72.58,23.29,2.18,0.22,1.75,0.02,182600,19.32,31
"931",24013,150897,92792,10110,24763,10750,6706,63639,12030,10678,7907,5503,16267,11.57,65.28,10.78,95.69,2.28,0.99,0.22,0.75,0.02,160100,14.7,25
"932",24031,873341,553426,60173,126505,51535,43684,377494,71146,61724,45652,32490,98157,10.9,64.6,11.24,64.78,15.14,11.52,0.29,11.3,0.05,7417100,9.68,23
"933",24035,40563,25030,2591,6050,2503,1510,16208,3085,2963,2561,1878,5227,9.89,61.26,12.89,89.05,8.78,1.09,0.22,0.57,0.02,56100,15.85,28
"934",24019,30674,18100,1650,4183,1954,1434,11605,2269,2074,1885,1585,5423,11.05,56.85,17.68,69.45,28.39,1.26,0.23,0.66,0,39200,25.78,40
"935",24025,218590,135465,15776,35337,14708,9911,93607,16912,15086,11520,8192,22160,11.26,66.21,10.14,86.77,9.27,1.91,0.23,1.52,0.06,484100,13.27,27
"936",24037,86211,54306,6237,13954,6429,5164,39668,6081,5311,4084,3051,7825,13.45,69.43,9.08,81.57,13.92,2,0.34,1.8,0.08,204400,14.65,26
"937",31039,10203,5364,665,1560,790,424,3785,666,574,449,439,2065,11.9,58.9,20.24,95.88,0.13,5.48,0.28,0.2,0.03,35800,21.29,23
"938",31069,2292,1243,83,305,156,60,736,166,148,145,159,550,9.42,49.04,24,98.34,0.13,1.44,0.26,0.26,0,2300,14.78,36
"939",31101,8875,5002,508,1277,661,306,3208,619,603,525,505,1630,10.9,56.26,18.37,96.75,0.08,4.23,0.71,0.17,0,20300,13.44,32
"940",31173,7171,3585,688,1513,661,377,2755,408,319,291,253,944,14.47,69.11,13.16,45.77,0.15,2.43,52.03,0.06,0,14300,19.63,30
"941",31139,7857,4231,470,1318,713,323,3080,511,428,387,313,1350,13.19,61.96,17.18,98.65,0.08,0.71,0.36,0.2,0.03,5600,15.42,29
"942",31147,9531,5047,495,1438,728,336,3328,625,601,522,472,2050,11.16,55.2,21.51,95.65,0.19,1.05,2.32,0.15,0,16200,18.17,33
"943",31151,13843,7984,863,1969,1256,1099,5816,904,782,628,503,2378,17.01,62.47,17.18,92.99,0.36,6.58,0.38,1.7,0.03,63300,18.78,26
"944",31163,3318,1736,172,472,230,90,1106,238,206,181,175,768,9.64,52.74,23.15,98.49,0.06,1.02,0.21,0.24,0.03,3300,17.96,33
"945",31057,2292,1244,122,295,173,75,786,196,163,120,96,514,10.82,52.49,22.43,96.95,0.04,3.23,0.79,0.48,0.04,4000,17.61,31
"946",31167,6455,3663,433,1113,568,297,2631,477,351,316,264,870,13.4,64.71,13.48,96.72,0.42,2.31,0.48,0.12,0,14600,13.8,24
"947",31033,9830,5550,628,1422,790,431,3842,750,607,468,420,1693,12.42,59.94,17.22,96.34,0.14,4.46,0.65,0.4,0.03,24300,13.25,30
"948",31013,12158,6968,797,1908,1031,588,4880,1068,776,550,409,1770,13.32,62.39,14.56,90.84,0.37,7.65,2.74,0.53,0.01,67100,11.93,27
"949",31183,886,479,69,135,76,35,305,75,58,41,54,149,12.53,57.45,16.82,99.1,0,0.56,0.23,0,0,600,9.19,20
"950",31095,8333,4504,440,1114,566,330,2867,648,541,417,417,1889,10.75,53.05,22.67,98.42,0.07,1.31,0.38,0.17,0.04,8000,15.8,37
"951",31131,15396,8521,986,2308,1104,638,5765,1061,966,803,682,2825,11.31,58.84,18.35,97.42,0.29,2.45,0.22,0.25,0.03,28100,14.39,31
"952",31111,34632,20304,2287,5087,2696,1893,13785,2661,2368,1754,1447,5243,13.25,61.1,15.14,94.7,0.54,5.43,0.51,0.37,0.02,134500,13.66,34
"953",31091,783,384,32,118,57,13,239,62,46,34,41,211,8.94,49.68,26.95,98.72,0,1.02,0.38,0.13,0,600,10.32,25
"954",31145,11448,6421,712,1586,939,622,4381,821,644,556,568,2180,13.64,58.34,19.04,97.55,0.16,2.45,0.38,0.17,0.02,20000,12.07,34
"955",31075,747,427,37,121,82,17,281,76,42,42,46,102,13.25,58.77,13.65,98.8,0,1.34,0.13,0.27,0,600,9.74,16
"956",31053,36160,20896,2225,5005,2883,2298,14662,2469,2135,1773,1549,6342,14.33,60.54,17.54,95.9,0.43,3.93,0.3,0.51,0.09,103600,16.5,29
"957",31029,4068,2186,227,573,307,158,1436,323,242,228,182,857,11.43,54.97,21.07,97.81,0.17,3.42,0.1,0.17,0.02,7100,13.62,29
"958",31153,122595,77105,10112,21267,9227,8278,58922,8370,7086,4836,3879,8123,14.28,73.66,6.63,89.18,4.36,4.37,0.42,1.9,0.09,507400,6.73,20
"959",31157,36951,21000,2404,5417,2800,2080,14257,2802,2303,1858,1547,6363,13.21,59.75,17.22,87.58,0.27,17.19,1.88,0.57,0.04,358400,20.38,34
"960",31177,18780,11269,1207,2902,1581,1139,7727,1509,1340,908,762,2425,14.48,63.02,12.91,98.12,0.34,1.08,0.2,0.29,0.11,19700,10.25,24
"961",31077,2714,1354,154,435,205,97,889,194,153,131,129,629,11.13,54.46,23.18,97.94,0.66,0.85,0.07,0.07,0,3400,16.77,28
"962",31181,4061,2117,210,571,247,115,1293,273,263,235,229,987,8.91,51.07,24.3,98.1,0.15,0.54,0.27,0.47,0.07,4100,16.43,35
"963",31055,463585,289569,34293,68291,34145,34163,212868,33469,28160,20072,15637,50795,14.73,68.05,10.96,80.96,11.5,6.67,0.61,1.71,0.05,2418500,12.7,27
"964",31025,24334,14542,1699,3908,1781,1102,9938,1883,1624,1292,990,3000,11.85,63.88,12.33,97.89,0.18,1.46,0.3,0.35,0.02,31300,10.62,26
"965",31031,6148,3427,380,949,451,263,2284,447,387,340,299,1062,11.61,58.77,17.27,94.19,0.07,0.93,3.25,0.42,0.02,12700,14.75,29
"966",31011,6259,3162,370,1084,486,192,2190,460,312,306,262,1275,10.83,58.22,20.37,99.25,0.05,0.89,0.05,0.03,0.03,3900,15.58,24
"967",31097,4488,2413,245,603,330,166,1592,337,262,223,237,989,11.05,54.37,22.04,93.54,0.11,2.87,0.4,2.67,0.02,14700,19.57,31
"968",31045,9060,5800,451,1014,1172,1399,4417,566,494,392,384,1342,28.38,64.92,14.81,93.34,0.81,2.43,2.88,0.31,0.06,24100,13.07,27
"969",31063,3099,1769,170,434,362,190,1258,208,191,165,149,524,17.81,60.08,16.91,98.29,0.1,0.97,0.26,0.26,0,3400,11.75,28
"970",31129,5057,2641,250,661,388,159,1687,345,305,301,276,1232,10.82,51.37,24.36,98.91,0.02,1.01,0.06,0.16,0,4300,15.53,33
"971",31099,6882,3893,424,1044,519,294,2706,493,427,367,274,1147,11.81,60.65,16.67,97.82,0.16,2.34,0.2,0.23,0.01,10900,11.52,28
"972",31051,6339,3447,405,1011,502,274,2354,485,381,291,261,1151,12.24,59.47,18.16,94.64,0.03,5.49,0.49,0.27,0,29000,17.87,23
"973",31093,6567,3582,397,1076,531,290,2485,413,447,333,291,1125,12.5,60.27,17.13,98.69,0.3,1.01,0.24,0.09,0.03,4400,12.78,29
"974",31103,983,546,60,140,52,48,330,65,64,61,60,203,10.17,53.92,20.65,99.39,0,3.87,0.2,0,0,400,17.77,29
"975",31113,774,427,40,110,71,24,281,77,49,47,34,136,12.27,55.68,17.57,98.58,0.13,0.9,1.03,0,0,200,9.16,36
"976",31027,9615,4860,582,1692,797,334,3461,635,514,414,390,1927,11.76,59.65,20.04,99.07,0.1,0.43,0.2,0.04,0.01,5600,16.49,22
"977",31115,712,383,45,110,47,20,226,51,54,46,41,139,9.41,53.51,19.52,98.88,0,1.69,0.28,0.14,0,500,8.21,29
"978",31143,5639,3014,326,790,437,202,2013,418,369,257,259,1207,11.33,55.49,21.4,98.92,0.02,1.08,0.28,0.09,0,3900,13.36,26
"979",31009,583,332,32,86,46,12,213,41,38,38,37,98,9.95,56.78,16.81,98.97,0,0.17,0.51,0,0,300,6.63,22
"980",31105,4089,2219,220,598,286,148,1376,294,258,242,241,860,10.61,53.66,21.03,96.99,0.22,3.33,0.66,0.1,0.02,8300,15.44,30
"981",31073,2143,1187,111,292,145,77,736,146,149,129,134,446,10.36,53.15,20.81,98.79,0,1.26,0.14,0.23,0,1800,11.07,29
"982",31083,3786,1999,183,554,259,110,1186,285,274,211,222,871,9.75,50.79,23.01,98.86,0.13,0.77,0.11,0.08,0.03,3100,14.24,35
"983",31137,9747,5399,606,1491,705,373,3589,748,611,506,432,1764,11.06,58.34,18.1,97.79,0.11,2.26,0.28,0.28,0,15000,10.89,24
"984",31081,9403,5234,629,1571,754,337,3585,765,567,463,387,1436,11.6,61.52,15.27,98.43,0.18,1.14,0.12,0.22,0,9900,10.43,20
"985",31023,8767,4771,599,1348,695,377,3294,618,531,452,372,1553,12.23,59.78,17.71,98.38,0.1,1.65,0.13,0.13,0.06,11100,16.58,33
"986",17077,59612,41555,3001,6236,6548,11172,33152,3456,3059,2312,1821,6575,29.73,71.11,11.03,80.79,13.02,2.42,0.31,3.03,0.06,170500,14.76,29
"987",17107,31183,19668,1689,3877,2538,2337,14124,2193,1831,1522,1256,4691,15.63,63.14,15.04,91.69,6.56,1.61,0.16,0.55,0.01,32500,19.6,29
"988",17067,20121,11500,1121,2852,1474,928,7542,1497,1381,1094,959,3675,11.94,57.23,18.26,98.68,0.2,0.52,0.18,0.23,0.02,14300,14.33,29
"989",17037,88969,59689,5551,11652,9237,13743,47546,5284,4359,3316,2550,8711,25.83,72.78,9.79,88.46,4.59,6.55,0.22,2.35,0.07,389700,12.49,23
"990",17119,258941,157581,16277,36740,18831,16869,110640,18675,16141,12808,10737,36923,13.79,63.2,14.26,90.23,7.31,1.52,0.27,0.6,0.02,411900,15.74,35
"991",17137,36616,22565,1993,4676,3134,2619,15705,2593,2390,1928,1624,5707,15.71,61.1,15.59,92.34,5.36,1.35,0.18,0.46,0.01,60700,20.11,34
"992",17155,6086,3592,361,885,433,276,2336,461,396,383,297,967,11.65,58.86,15.89,97.62,0.62,2.81,0.35,0.26,0,7000,16.15,29
"993",17203,35469,20744,2336,5452,2842,1922,14060,2841,2320,1846,1372,5242,13.43,61.6,14.78,98.47,0.25,0.68,0.17,0.31,0.01,28400,12.16,22
"994",17053,14241,7806,911,2100,986,661,5402,939,829,681,615,2764,11.57,59.08,19.41,98.18,0.25,1.24,0.1,0.32,0,16400,13.96,30
"995",17045,19704,11509,1130,2700,1387,1114,7817,1364,1267,1013,919,3494,12.69,59.11,17.73,97.12,1.84,0.78,0.19,0.19,0.01,13100,18.65,39
"996",17165,26733,15253,1541,3420,2283,1372,10378,1787,1721,1482,1338,5066,13.67,57.38,18.95,94.14,4.06,0.97,0.29,0.2,0.01,35100,23.86,50
"997",17147,16365,9721,1009,2324,1178,721,6417,1274,1103,913,796,2529,11.6,59.58,15.45,98.83,0.24,0.62,0.08,0.13,0.02,11900,11.33,26
"998",17095,55836,33750,3221,6913,3827,3839,22457,4203,3664,2988,2610,9780,13.73,58.37,17.52,89.86,6.29,3.4,0.19,0.69,0.01,166100,18.17,32
"999",17189,15148,8774,857,2237,1161,732,6032,1115,909,738,723,2537,12.5,60.25,16.75,98.58,0.33,0.71,0.22,0.18,0.03,10300,20.89,30
"1000",17105,39678,23701,2377,5659,2859,2288,16884,2879,2359,1879,1582,6059,12.97,62.81,15.27,92.32,5.17,2.66,0.17,0.31,0.01,80700,21.91,29
"1001",17079,10117,5830,579,1508,830,570,4076,719,631,487,450,1667,13.84,60.92,16.48,99.15,0.08,0.47,0.07,0.19,0.02,5200,17.43,31
"1002",49035,898387,552124,79832,146992,78298,83947,437309,57582,45904,33355,24733,72680,18.06,73.93,8.09,86.34,1.06,11.89,0.88,2.56,1.23,8234300,13.17,27
"1003",49053,90354,46821,8229,15095,8598,6755,35574,4519,4113,3654,3827,15343,16.99,65.19,16.98,93.57,0.21,5.23,1.47,0.45,0.42,389200,12.43,29
"1004",49005,91391,56259,9046,14717,10157,14933,48614,4559,3270,2555,2091,6539,27.45,79.19,7.15,92.23,0.38,6.33,0.58,1.98,0.2,441400,9.59,19
"1005",49023,8238,4252,920,1709,806,520,3406,456,380,293,265,809,16.1,73.26,9.82,96.56,0.15,2.63,1.02,0.34,0.05,15900,17.06,33
"1006",6045,86265,52517,5138,12699,6544,4673,33310,7312,7288,5056,3753,11709,13,59.29,13.57,80.76,0.62,16.48,4.76,1.2,0.15,1091700,19.17,42
"1007",6067,1223499,750022,88922,194344,87895,82218,548955,86193,74549,52353,42308,135875,13.9,68.02,11.11,64.02,9.96,16.01,1.09,11.03,0.59,17019700,16.73,37
