COUNTYFP,year,unempP,povP,pciE
08093,2018,5.4,5.5,35939.0
08095,2018,1.7,6.7,29236.0
08097,2018,4.3,7.2,56180.0
08099,2018,7.6,19.0,21612.0
08101,2018,8.4,19.0,24257.0
08103,2018,5.2,11.5,27057.0
08105,2018,9.5,17.1,22413.0
08107,2018,3.0,10.7,40727.0
08109,2018,6.9,17.7,22901.0
08111,2018,2.8,4.6,33984.0
08113,2018,2.6,8.9,45396.0
08115,2018,6.7,17.0,25048.0
08117,2018,3.5,10.1,38310.0
08119,2018,6.3,8.3,34392.0
08121,2018,2.7,10.7,26680.0
08123,2018,4.5,10.6,30626.0
08125,2018,2.6,14.5,25846.0
09001,2018,7.0,8.8,55613.0
09003,2018,6.5,11.1,39260.0
09005,2018,5.2,7.0,42443.0
09007,2018,4.7,6.9,45293.0
09009,2018,7.0,11.9,36678.0
09011,2018,6.2,10.2,38109.0
09013,2018,5.2,6.9,39668.0
09015,2018,6.3,10.5,31106.0
10001,2018,5.9,13.6,28100.0
10003,2018,6.3,11.4,35847.0
10005,2018,4.9,11.7,33983.0
11001,2018,7.4,16.8,53321.0
12001,2018,6.1,21.8,27896.0
12003,2018,5.5,14.6,24070.0
12005,2018,6.0,14.7,28017.0
12007,2018,5.9,20.3,20481.0
12009,2018,6.2,12.7,30987.0
12011,2018,6.6,13.5,31464.0
12013,2018,6.9,12.2,18921.0
12015,2018,7.3,11.1,30528.0
12017,2018,8.6,16.7,25983.0
12019,2018,7.5,10.6,29138.0
12021,2018,4.6,12.3,43256.0
12023,2018,9.5,17.4,23901.0
12027,2018,5.0,28.5,18311.0
12029,2018,5.5,23.1,20527.0
12031,2018,6.6,15.5,30012.0
12033,2018,6.5,13.9,26730.0
12035,2018,5.5,11.9,27689.0
12037,2018,7.5,20.7,25037.0
12039,2018,7.8,24.6,20158.0
12041,2018,6.1,17.9,21379.0
12043,2018,10.8,17.0,21020.0
12045,2018,7.4,13.9,21255.0
12047,2018,14.6,29.5,15097.0
12049,2018,6.0,26.7,18257.0
12051,2018,8.3,26.8,18900.0
12053,2018,7.4,14.3,24551.0
12055,2018,10.8,19.2,23722.0
12057,2018,6.1,15.3,31173.0
12059,2018,10.7,25.6,18574.0
12061,2018,7.1,12.2,35172.0
12063,2018,8.8,20.6,18882.0
12065,2018,4.9,14.1,23448.0
12067,2018,13.5,20.1,19870.0
12069,2018,6.5,12.5,27052.0
12071,2018,5.9,14.0,31924.0
12073,2018,7.8,20.4,29754.0
