COUNTYFP,year,totWrkE,eduP,hghRskP,hltCrP,retailP
12049,2018,10011.0,7.56,31.96,8.69,11.45
12051,2018,16808.0,6.82,42.25,7.88,9.39
12053,2018,66227.0,6.73,15.69,15.64,15.9
12055,2018,32793.0,7.82,17.53,17.11,16.69
12057,2018,665406.0,8.34,13.7,13.41,11.53
12059,2018,6567.0,7.45,24.84,12.24,13.49
12061,2018,56931.0,7.39,16.47,14.41,15.29
12063,2018,16418.0,9.0,15.97,18.0,13.59
12065,2018,5247.0,10.96,16.09,14.83,10.84
12067,2018,2456.0,13.88,23.37,7.29,12.83
12069,2018,135768.0,7.11,15.45,14.01,13.72
12071,2018,299106.0,6.58,16.17,13.78,14.74
12073,2018,145442.0,15.16,6.69,11.81,11.33
12075,2018,14954.0,8.59,26.27,12.95,14.24
12077,2018,2425.0,7.3,24.7,11.46,12.49
12079,2018,6169.0,13.05,20.7,13.96,13.58
12081,2018,156850.0,7.04,17.25,13.8,14.09
12083,2018,122825.0,7.08,17.72,15.33,16.0
12085,2018,65578.0,6.82,18.76,14.56,10.87
12086,2018,1301540.0,7.3,13.59,12.73,11.84
12087,2018,40392.0,5.21,13.52,9.25,11.68
12089,2018,36402.0,7.9,17.54,11.66,10.62
12091,2018,87493.0,6.64,13.23,10.9,12.14
12093,2018,14722.0,8.65,29.24,11.01,13.03
12095,2018,661930.0,7.11,12.01,11.99,11.73
12097,2018,155492.0,6.41,11.08,10.4,14.98
12099,2018,669887.0,7.17,13.81,13.17,13.08
12101,2018,208871.0,8.41,14.8,14.77,14.07
12103,2018,446120.0,6.93,13.52,15.44,12.79
12105,2018,273691.0,7.74,16.51,12.01,14.77
12107,2018,24985.0,8.29,26.45,15.21,13.49
12109,2018,108015.0,8.67,13.22,11.75,11.5
12111,2018,126185.0,6.62,15.66,16.24,16.41
12113,2018,72986.0,7.11,14.32,14.65,12.31
12115,2018,166424.0,5.9,14.4,16.05,13.86
12117,2018,226769.0,8.71,12.5,13.32,11.5
12119,2018,25437.0,6.48,14.88,13.89,16.15
12121,2018,16817.0,5.14,21.97,14.07,13.97
12123,2018,6486.0,8.88,24.75,11.19,13.72
12125,2018,3724.0,8.59,16.08,13.37,10.18
12127,2018,220015.0,8.05,16.22,13.75,13.85
12129,2018,13328.0,11.88,16.69,10.59,9.13
12131,2018,29404.0,6.31,18.03,9.86,11.87
12133,2018,8527.0,5.08,21.38,14.04,11.55
13001,2018,7296.0,10.62,36.92,10.14,12.27
13003,2018,3168.0,9.91,38.89,7.1,11.68
13005,2018,4146.0,9.24,32.75,15.41,11.36
13007,2018,1251.0,8.31,40.77,8.23,13.03
13009,2018,17708.0,15.98,18.25,15.28,13.03
13011,2018,7795.0,8.35,32.44,11.84,14.59
13013,2018,35632.0,7.72,23.97,9.98,16.35
13015,2018,47997.0,7.5,30.69,10.79,12.66
13017,2018,6313.0,9.71,30.79,11.34,10.96
13019,2018,7085.0,7.42,33.59,12.45,10.49
13021,2018,62200.0,11.02,12.78,16.84,13.44
13023,2018,4230.0,12.25,24.33,13.64,13.43
13025,2018,6729.0,12.65,27.27,7.85,12.66
13027,2018,5800.0,7.36,23.43,11.97,15.72
13029,2018,15755.0,9.73,23.82,11.1,10.0
13031,2018,33249.0,18.61,19.99,11.42,11.44
13033,2018,9028.0,9.4,39.52,12.32,9.47
13035,2018,8915.0,8.18,26.97,9.43,12.98
13037,2018,1622.0,8.38,31.38,17.26,10.85
13039,2018,21340.0,7.18,18.36,11.13,14.41
13043,2018,4272.0,6.74,24.25,7.42,19.41
13045,2018,50923.0,10.49,27.69,10.58,11.32
13047,2018,31719.0,8.13,24.86,11.13,13.32
13049,2018,4199.0,11.12,24.96,9.95,9.53
13051,2018,135574.0,8.91,15.65,14.55,12.44
13053,2018,2177.0,9.78,12.95,13.41,9.97
13055,2018,8946.0,7.41,43.52,9.68,9.47
13057,2018,122561.0,8.42,20.43,9.87,12.15
13059,2018,58766.0,22.4,11.94,10.12,12.31
13061,2018,876.0,5.14,39.61,13.36,20.32
13063,2018,126643.0,7.26,14.12,12.54,12.47
13065,2018,2257.0,10.46,36.11,13.38,9.35
13067,2018,389803.0,8.34,15.32,10.23,11.38
13069,2018,16627.0,9.76,30.58,13.06,12.29
13071,2018,18736.0,7.94,34.95,10.03,13.81
13073,2018,65411.0,9.45,18.91,16.52,11.39
13075,2018,7078.0,10.07,25.87,13.11,15.24
13077,2018,68690.0,8.98,20.7,9.79,11.4
13079,2018,4644.0,9.15,18.35,13.65,12.62
13081,2018,8798.0,9.96,21.1,9.84,16.16
13083,2018,7331.0,15.29,27.1,10.5,10.64
13085,2018,11230.0,10.88,24.73,9.36,13.08
13087,2018,9645.0,8.74,29.33,15.95,14.08
13089,2018,375217.0,10.45,11.02,12.97,10.74
13091,2018,7467.0,11.36,24.31,11.52,9.66
13093,2018,5038.0,13.32,33.01,7.9,6.21
13095,2018,35167.0,12.77,16.61,14.88,12.07
13097,2018,67891.0,8.33,18.62,10.79,12.1
13099,2018,3761.0,12.71,34.78,11.06,9.44
13101,2018,1675.0,8.06,37.31,6.15,15.28
13103,2018,28083.0,8.96,28.64,10.29,10.02
13105,2018,7626.0,8.72,37.5,11.3,11.91
13107,2018,8340.0,11.34,33.36,16.49,9.57
13109,2018,4297.0,7.42,31.35,11.71,10.64
13111,2018,9586.0,6.2,28.72,12.02,13.15
13113,2018,52689.0,9.95,14.63,9.42,9.59
13115,2018,41259.0,10.54,25.97,15.67,10.55
13117,2018,109504.0,8.86,16.8,8.47,11.8
13119,2018,8644.0,13.1,31.47,11.33,10.39
13121,2018,516732.0,8.89,10.08,9.79,9.63
13123,2018,12787.0,7.8,32.48,10.87,11.59
13125,2018,1364.0,7.92,32.48,16.35,6.74
13127,2018,38572.0,9.79,13.88,11.62,12.57
13129,2018,25667.0,6.42,42.09,10.15,9.96
