COUNTYFP,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
13003,3508,79.39,20.61,45.18,33.64,24.85,10.23585332
13005,4791,82.78,17.22,35.55,29.83,31.64,16.86476428
13007,1889,73.32,26.68,38.54,40.46,32.2,5.524106614
13009,20487,78.69,21.31,20,29.05,44.14,79.19275928
13011,7682,85.95,14.05,29.95,29.83,24.19,33.10422467
13013,27914,90.7,9.3,8.04,17.17,27.3,173.3405209
13015,40694,91.79,8.21,11.83,22.67,33.99,88.55778369
13017,7978,82.34,17.66,23.61,23.09,40.55,31.89656216
13019,8767,83.52,16.48,34.16,27.27,33.13,19.33721592
13021,70205,82.63,17.37,3.01,23.41,47.4,281.4986513
13023,5318,78.38,21.62,23.2,32.81,28.41,24.63530841
13025,8119,80.85,19.15,54.82,28.68,19.7,18.32687157
13027,7777,81.65,18.35,28.64,32.78,25.23,15.77189809
13029,13849,91.24,8.76,13.58,15.59,30.15,31.65134904
13031,30752,87.65,12.35,17.97,19.35,46.53,45.49495905
13033,10004,81.81,18.19,35.8,31.31,29.45,12.09628051
13035,9382,86.94,13.06,13.65,28.53,28.39,51.07542997
13037,2402,77.14,22.86,29.6,31.88,33.84,8.566858718
13039,21837,88.51,11.49,10.92,16.54,37.93,34.64548645
13043,4765,83.21,16.79,38.22,25.53,40.03,19.6043596
13045,45253,90.93,9.07,11.24,21.32,34.75,90.68275329
13047,27220,90.51,9.49,11.53,27.56,24.99,167.8571283
13049,4492,79.23,20.77,43.28,29.83,26.83,5.758359678
13051,124300,87.01,12.99,4.24,19.43,45.87,286.9866474
13053,3346,76.21,23.79,18.08,9.31,74,13.45201317
13055,10956,83.04,16.96,22.2,29.47,33.17,34.96685958
13057,89932,95.43,4.57,3.75,17.39,23.45,213.5740965
13059,52610,89.76,10.24,4.84,14.44,60.99,441.2927296
13061,1977,60.8,39.2,38.9,42.26,36.02,10.11754967
13063,105298,88.17,11.83,3.14,17.01,49.43,743.2527054
13065,2997,83.48,16.52,37.97,29.89,27.9,3.677336895
13067,297663,93.13,6.87,1.34,18.54,35.73,876.11161
13069,17219,83.04,16.96,34.67,27.19,34.1,29.07166875
13071,18567,82.8,17.2,31.66,26.58,38.75,33.94202836
13073,56178,83.38,16.62,6.3,20.23,20.95,193.6674226
13075,7386,84.39,15.61,33.09,26.86,32.78,32.35541498
13077,53747,95.46,4.54,3.51,20.09,27.86,121.8946513
13079,5353,86.62,13.38,40.11,31.74,22.43,16.475232
13081,10777,77.28,22.72,23.21,31.95,42.49,39.52543619
13083,7288,83.29,16.71,21.35,32.31,25.7,41.89014041
13085,11140,78.2,21.8,10.08,21.25,18.3,52.83950117
13087,12204,83.19,16.81,22.16,27.09,43.26,20.43642498
13089,309668,89.7,10.3,0.48,20.86,45.69,1156.667502
13091,9810,78.43,21.57,33.15,35.61,33.83,19.78012075
13093,6253,77.74,22.26,28.66,41.39,30.2,15.92598659
13095,40637,85.59,14.41,4.82,22.5,54.58,123.6511686
13097,52439,93.38,6.62,3.88,19.43,35.62,262.0702166
13099,4972,82.1,17.9,27.09,32.49,34.15,9.699624879
13101,1838,84.82,15.18,51.2,31.05,30.15,4.371972556
13103,22110,92.67,7.33,19.67,20.08,24.18,46.17890851
13105,9600,78.03,21.97,26.21,37.34,27.03,27.34294852
13107,9946,84.38,15.62,24.96,29.72,34.38,14.61425417
13109,4712,85.02,14.98,33.47,25.75,33.35,25.763587
13111,17028,61.43,38.57,10.41,29.17,21.85,43.99682326
13113,42106,94.41,5.59,2.41,25.31,18.57,216.6273136
13115,40505,87.97,12.03,8.86,26.34,39.75,79.44956839
13117,77798,94.7,5.3,4.18,12.38,16.35,346.4612305
13119,10604,78.32,21.68,29.79,28.28,34.23,40.54145485
13121,463844,86.24,13.76,0.57,17.01,48.49,880.5990394
13123,16991,68.54,31.46,19.42,23.12,25.16,39.86521673
13125,1526,72.41,27.59,42.4,38.52,23.98,10.6160301
13127,42682,79.14,20.86,10.07,23.16,37.81,101.7330621
13129,22455,90.38,9.62,13.71,23.1,36.01,63.10604625
13131,10848,83.31,16.69,28.63,28.19,34.44,23.86804313
13133,9468,73.98,26.02,17.85,29.05,28.68,24.42413396
13135,305549,94.49,5.51,1.55,15.48,33.79,709.6694942
13137,18365,82.74,17.26,17.11,29.2,23.22,66.34123054
13139,71903,88.91,11.09,10.62,20.74,31.38,182.9675525
13141,5371,55.69,44.31,40.27,36.05,26.85,11.40182648
13143,12403,89.72,10.28,19.87,30.26,31.66,43.95671656
13145,14020,86.72,13.28,7.95,28.08,13.99,30.22559642
13147,13107,76.44,23.56,24.73,36.04,23.81,56.39357016
13149,5187,86.54,13.46,31.42,30.19,30.23,17.5236337
13151,80124,92.14,7.86,3.42,16.46,28.44,251.4504503
13153,62266,90.17,9.83,7.89,19.11,35.6,165.5767355
13155,4074,80.78,19.22,26.53,42.21,25.8,11.49674747
13157,24876,88.58,11.42,15.25,21.96,22.46,73.23692434
13159,6385,79.67,20.33,20.88,26.29,25.34,17.33140745
13161,6500,81.08,18.92,34.02,31.62,31.84,19.64242546
13163,7272,77.13,22.87,28,36.94,34.05,13.81069372
13165,4652,73.28,26.72,27.15,32.67,29.77,13.39386131
13167,4109,81.8,18.2,27.38,45.9,31.78,13.56027458
13169,11796,89.1,10.9,21.36,30.07,19.89,29.94388572
13171,7569,84.13,15.87,13.85,31.16,30.53,41.24800466
13173,4398,84.67,15.33,28.56,19.71,36.04,22.37766554
13175,21497,79.93,20.07,27.17,27.85,37.31,26.62848888
