COUNTYFP,cntT,cntBupT,cntMetT,cntNalT,avBupTime,avMetTime,avNalTime,pctBupT,pctMetT,pctNalT
06067,317,316.0,313.0,316.0,4.93,10.99,7.38,1.0,0.99,1.0
06069,11,11.0,1.0,11.0,7.98,36.73,8.1,1.0,0.09,1.0
06071,369,352.0,315.0,347.0,7.46,19.16,9.69,0.95,0.85,0.94
06073,628,624.0,609.0,622.0,4.88,11.67,6.04,0.99,0.97,0.99
06075,197,196.0,196.0,196.0,1.91,5.85,4.22,0.99,0.99,0.99
06077,139,138.0,138.0,138.0,5.56,9.2,8.97,0.99,0.99,0.99
06079,54,53.0,41.0,49.0,5.83,25.14,11.22,0.98,0.76,0.91
06081,158,157.0,128.0,157.0,4.56,22.42,7.51,0.99,0.81,0.99
06083,90,89.0,72.0,88.0,5.51,17.0,9.97,0.99,0.8,0.98
06085,372,372.0,370.0,371.0,4.41,12.55,5.62,1.0,0.99,1.0
06087,53,53.0,47.0,52.0,3.99,17.69,8.59,1.0,0.89,0.98
06089,48,47.0,41.0,44.0,8.83,20.21,13.23,0.98,0.85,0.92
06091,1,1.0,0.0,0.0,0.0,100.27,60.29,1.0,0.0,0.0
06093,14,10.0,0.0,0.0,14.15,97.27,83.22,0.71,0.0,0.0
06095,96,96.0,95.0,95.0,4.53,11.79,6.68,1.0,0.99,0.99
06097,100,97.0,83.0,97.0,6.96,19.56,8.62,0.97,0.83,0.97
06099,94,94.0,88.0,90.0,5.71,15.32,12.55,1.0,0.94,0.96
06101,21,20.0,20.0,1.0,6.13,14.03,44.58,0.95,0.95,0.05
06103,11,9.0,2.0,4.0,20.05,41.85,36.98,0.82,0.18,0.36
06105,5,2.0,0.0,0.0,53.96,117.75,101.59,0.4,0.0,0.0
06107,78,77.0,63.0,50.0,8.98,18.81,24.89,0.99,0.81,0.64
06109,11,10.0,0.0,9.0,10.65,80.27,21.32,0.91,0.0,0.82
06111,174,172.0,,169.0,5.68,,8.21,0.99,,0.97
06113,41,41.0,31.0,40.0,5.39,21.39,11.02,1.0,0.76,0.98
06115,14,11.0,11.0,1.0,15.49,16.09,41.39,0.79,0.79,0.07
08001,97,97.0,95.0,95.0,4.91,11.98,7.46,1.0,0.98,0.98
08003,4,4.0,4.0,4.0,8.62,9.4,8.62,1.0,1.0,1.0
08005,147,147.0,145.0,146.0,4.41,10.78,5.7,1.0,0.99,0.99
08007,4,3.0,0.0,0.0,22.51,82.28,107.01,0.75,0.0,0.0
08009,2,2.0,0.0,2.0,12.5,90.4,12.5,1.0,0.0,1.0
