ZCTA,pop,minDist_SUT
76711,9772,0.63
24630,7177,5.34
75936,1095,13.11
84031,229,32.24
84649,996,12.07
84540,146,42.7
84075,28485,0.41
05084,266,7.06
24502,45406,2.94
22203,24213,0.03
23882,1651,14.25
22035,0,4.4
23665,6195,1.25
98404,35100,1.59
99140,422,25.37
98361,836,42.8
25286,1567,12.5
26351,4846,20.26
24927,153,12.94
98039,3260,2.26
26301,29028,1.21
25524,3440,15.38
25208,897,16.46
05907,142,14.77
53218,42780,0.66
54627,1720,12.69
54546,1213,20.39
26684,182,9.02
82073,48,0.25
82730,1531,28.7
82335,49,20.18
72749,122,0.18
83111,712,10.2
74346,7479,2.8
83414,382,29.94
49946,3829,6.47
68658,714,9.15
40351,21302,0.99
42320,8969,4.52
40472,1782,6.35
40374,1787,8.9
41567,179,4.33
40051,4264,10.22
40078,2301,2.69
41535,422,2.85
70655,3020,3.97
71438,2085,22.83
70535,18448,11.25
71377,115,22.51
70001,38876,0.94
04644,0,9.2
04497,283,26.94
04457,5787,3.91
04953,3226,2.53
20779,985,5.52
01561,294,6.46
02457,1715,4.91
33412,14918,6.72
32409,10191,10.55
32399,0,1.1
33158,6641,1.76
34679,103,4.19
32448,8480,7.79
32732,4809,8.18
31020,1688,9.19
31553,4369,21.53
31324,25643,13.95
31064,9071,14.52
31006,4476,21.79
30250,656,6.27
83847,1599,9.51
83313,3789,11.89
83445,7500,8.35
83638,6880,15.89
83227,119,23.55
24501,27543,2.17
24592,13393,3.73
84773,260,35.3
84054,20005,1.29
84066,12191,3.32
84027,471,22.11
05254,251,1.78
24167,285,5.46
22727,5594,10.1
23842,6784,7.63
24073,30478,5.34
05439,1484,2.11
23708,476,1.27
18915,645,0.24
77990,878,23.78
98601,3494,20.53
98952,2502,17.42
61955,189,4.82
61731,194,19.02
62077,240,7.5
61625,370,0.86
61236,123,2.89
62362,297,12.61
62334,138,5.9
47536,0,11.04
46135,20800,1.81
47201,44127,5.09
46958,594,4.83
46070,2320,11.18
50223,546,11.8
50577,440,15.13
51101,814,0.15
50032,277,3.55
52337,660,7.6
52531,5982,1.03
52591,2930,1.13
50057,266,10.08
66213,29063,2.78
67850,322,31.32
41004,4010,3.15
16665,294,3.5
15323,4633,6.96
17929,1563,3.7
19474,583,4.92
15082,163,5.37
16239,5188,1.62
15075,180,1.05
15621,91,5.35
19076,6534,2.69
29654,9306,18.64
02802,671,4.53
29691,11113,8.76
29038,2169,5.69
29540,5383,11.76
29488,22056,3.87
29812,11357,4.49
29080,2859,15.68
29128,5271,10.67
57197,936,1.07
57018,1455,15.58
57567,1483,52.93
38483,5568,12.71
79530,484,12.01
23947,4127,25.36
84021,3992,6.99
38655,42623,2.32
39175,4302,17.59
65020,16373,1.59
65625,8570,2.96
64735,13124,0.54
64443,1395,7.83
63109,26562,2.13
59086,879,28.05
59223,339,28.69
59711,8905,5.82
59001,1384,27.06
59868,1847,29.25
59826,419,21.05
59058,29,44.67
59832,729,38.18
68950,386,14.82
68751,92,24.68
68303,286,20.34
89820,5481,54.61
89438,108,35.07
03043,1673,6.69
86505,8002,36.62
85629,25362,1.73
86018,860,18.48
86046,5266,32.48
72031,7198,4.89
71638,3671,8.99
72441,76,10.87
72325,69,9.35
95949,20519,8.68
96069,828,19.71
92840,55186,1.17
92332,92,41.62
90062,34422,1.39
93306,73401,11.91
92281,2859,18.21
94121,43795,0.69
95526,210,25.44
90249,26587,0.25
95053,3678,1.72
93626,1983,12.88
96021,16228,5.06
80424,10120,7.59
80540,4552,14.83
