ZCTA,year,totPopE,whiteP,blackP,amIndP,asianP,pacIsP,otherP,hispP,noHSP,age0_4,age5_14,age15_19,age20_24,age15_44,age45_49,age50_54,age55_59,age60_64,ageOv65,ageOv18,age18_64,a15_24P,und45P,ovr65P,disbP
90506,2018,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
90601,2018,33058,52.41,1.18,1.15,7.89,0.0,37.38,70.84,12.84,1729,4004,2262,2411,14579,1944,2136,2028,1828,4810,25714,20904,14.14,61.44,14.55,10.2
90602,2018,25981,45.86,1.87,0.47,3.68,0.12,48.0,75.27,19.54,1716,3473,2331,2111,12139,1498,1583,1275,1303,2994,19760,16766,17.1,66.69,11.52,8.2
90603,2018,21299,65.01,0.87,0.65,5.34,0.19,27.94,55.53,8.19,1316,2780,1012,1510,7963,1356,1446,1544,1317,3577,16560,12983,11.84,56.62,16.79,10.5
90604,2018,42063,47.56,1.15,0.46,5.97,0.12,44.74,68.21,15.92,2751,5186,3098,3128,18107,2643,2881,2793,2417,5285,32178,26893,14.8,61.92,12.56,9.8
90605,2018,40957,45.66,0.89,0.81,4.13,0.6,47.91,76.47,21.07,2875,5859,3037,2773,17577,2750,2834,2479,1900,4683,30340,25657,14.19,64.24,11.43,8.8
90606,2018,32803,40.04,0.94,1.87,1.8,0.18,55.17,87.1,25.94,1850,4036,2385,2365,14368,2118,1812,2312,1974,4333,25413,21080,14.48,61.74,13.21,11.3
90620,2018,46842,55.35,2.21,0.95,31.21,1.01,9.27,33.4,13.05,2361,5977,2903,3275,19045,3186,3469,3387,2468,6949,36688,29739,13.19,58.46,14.83,10.0
90621,2018,35398,45.08,4.14,0.42,31.85,0.76,17.75,44.86,20.63,2729,4439,2094,3142,15879,2318,2506,2154,2017,3356,26857,23501,14.79,65.11,9.48,8.3
90623,2018,15813,38.39,5.67,0.63,47.19,0.65,7.47,17.38,8.08,712,1541,1016,1022,6167,950,1325,1113,1143,2862,13035,10173,12.89,53.25,18.1,8.7
90630,2018,49169,53.29,3.83,0.35,34.35,0.36,7.83,19.46,7.02,2224,6124,3434,3377,18522,4271,3996,3655,3042,7335,38281,30946,13.85,54.65,14.92,9.8
90631,2018,69502,59.05,0.98,0.69,12.36,0.0,26.91,56.49,15.72,4801,8746,4208,4987,28395,4541,4283,5315,3728,9693,53186,43493,13.23,60.35,13.95,9.6
90638,2018,49383,52.15,2.1,0.56,20.22,0.08,24.89,41.91,10.36,2682,5003,3825,4896,20487,2940,3320,3339,3305,8307,40038,31731,17.66,57.05,16.82,9.4
90640,2018,63177,56.99,1.33,0.62,13.42,0.06,27.58,77.97,27.28,4273,7675,4128,4657,26934,3808,3905,3620,3474,9488,48876,39388,13.91,61.54,15.02,12.5
90650,2018,105886,42.41,4.24,0.48,14.03,0.39,38.44,70.11,25.49,7213,13912,7378,8343,45810,7662,6693,6634,5599,12363,80782,68419,14.85,63.21,11.68,10.1
90660,2018,63380,53.74,0.84,0.73,2.81,0.07,41.81,90.65,28.73,3727,8249,4619,4749,26860,4259,4019,3838,3321,9107,48522,39415,14.78,61.27,14.37,9.6
90670,2018,16578,49.75,4.33,1.79,7.0,0.0,37.13,74.44,19.03,1114,2008,984,1291,6865,1175,850,1001,1119,2446,12819,10373,13.72,60.24,14.75,10.7
90680,2018,30321,54.77,1.38,1.48,27.65,0.69,14.04,47.47,28.06,2071,4141,2329,1921,13128,2343,1853,1604,1627,3554,22630,19076,14.02,63.78,11.72,11.7
90701,2018,16858,32.6,2.86,0.5,37.44,0.38,26.22,39.68,19.98,851,1997,1000,1079,7163,1008,1341,1030,983,2485,13304,10819,12.33,59.38,14.74,11.3
90703,2018,50963,21.3,7.34,0.4,59.57,0.44,10.95,14.18,7.34,2353,5347,3099,3117,17740,3418,3637,3644,3341,11483,40949,29466,12.2,49.92,22.53,8.0
90704,2018,3922,76.26,0.03,0.0,0.05,0.03,23.64,56.76,10.03,146,714,307,43,1415,251,232,332,287,545,2877,2332,8.92,58.01,13.9,3.1
90706,2018,77529,31.84,12.64,0.43,12.78,0.6,41.71,55.68,23.37,5840,11192,5601,5714,33376,5499,4822,4488,3745,8567,57127,48560,14.59,65.02,11.05,8.7
90710,2018,28185,39.75,13.01,0.4,20.16,2.04,24.64,45.16,21.76,1792,3805,1814,1691,11289,1704,2061,1828,1742,3964,21538,17574,12.44,59.91,14.06,10.4
90712,2018,31063,49.66,9.69,0.42,18.61,0.54,21.08,34.28,7.39,1922,3416,2202,1827,12697,2565,2182,2328,1755,4198,24334,20136,12.97,58.06,13.51,9.1
90713,2018,29061,60.97,5.32,0.26,12.36,1.89,19.2,28.68,8.04,2009,3192,1833,1887,11678,2031,2188,2132,1915,3916,22675,18759,12.8,58.08,13.48,9.3
90715,2018,20136,33.65,7.51,0.83,29.16,1.09,27.76,41.69,16.19,1189,2398,1193,1541,9036,1138,1329,1407,1132,2507,15761,13254,13.58,62.69,12.45,8.9
90716,2018,14344,21.79,5.44,0.55,10.32,0.0,61.9,76.82,38.51,1091,2168,1119,1268,6465,1103,898,561,587,1471,10357,8886,16.64,67.79,10.26,9.5
90717,2018,21696,57.51,4.82,0.77,15.43,0.23,21.25,34.9,13.98,1507,2119,1070,1360,8566,1543,1593,1740,1238,3390,17401,14011,11.2,56.19,15.62,11.0
90720,2018,22389,72.13,3.23,0.36,12.99,0.17,11.12,18.71,5.85,1131,3012,1486,1164,7620,1620,1771,1551,1811,3873,17274,13401,11.84,52.54,17.3,8.7
90723,2018,54776,52.1,10.19,0.36,2.87,0.83,33.64,80.83,36.71,3647,8981,4881,5007,25587,3700,3374,3192,1973,4322,39121,34799,18.05,69.77,7.89,8.5
90731,2018,61850,57.25,6.92,0.46,4.41,0.16,30.8,56.57,21.26,4318,8651,3502,4407,25740,4356,4383,3777,3201,7424,46730,39306,12.79,62.59,12.0,11.2
90732,2018,22273,67.56,4.87,0.17,11.85,0.31,15.25,29.38,8.63,1172,2306,1165,1019,7471,1508,1829,1675,1424,4888,18154,13266,9.81,49.16,21.95,10.4
90740,2018,24494,78.77,2.12,0.39,10.37,0.41,7.94,13.0,5.11,905,1781,789,661,5693,1367,1465,1901,1809,9573,21291,11718,5.92,34.21,39.08,18.2
90742,2018,699,91.85,0.0,3.43,1.43,0.86,2.43,11.16,3.85,7,29,20,46,249,59,55,56,76,168,653,485,9.44,40.77,24.03,4.1
90743,2018,267,88.76,2.25,0.0,5.62,3.37,0.0,5.62,0.0,0,36,0,9,71,9,17,39,32,63,231,168,3.37,40.07,23.6,8.6
90744,2018,57206,53.92,2.42,4.04,2.9,0.4,36.31,89.83,44.66,4910,9382,4520,4927,25891,3710,3306,2877,2303,4827,40057,35230,16.51,70.24,8.44,9.5
90745,2018,56821,30.27,7.34,0.69,36.3,2.94,22.47,44.1,21.66,3381,6435,3759,4155,23114,4119,3653,3969,3414,8736,44714,35978,13.93,57.95,15.37,11.3
90746,2018,26996,16.44,63.15,0.56,6.99,1.71,11.15,18.65,13.14,1090,3151,1571,1870,10097,1884,1935,1840,1485,5514,21841,16327,12.75,53.11,20.43,14.1
90747,2018,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
90755,2018,11555,52.64,11.51,0.35,23.83,0.2,11.46,33.3,15.41,828,1236,493,801,5006,929,793,779,726,1258,9188,7930,11.2,61.19,10.89,7.4
90802,2018,39453,58.96,14.22,1.66,8.23,0.65,16.27,35.48,12.35,2063,2832,1521,2530,20419,2882,2829,2354,2294,3780,33705,29925,10.27,64.16,9.58,11.7
90803,2018,32389,79.48,4.69,0.36,8.05,0.22,7.2,14.89,5.04,1132,1890,1062,1848,13407,2623,2562,2582,2076,6117,28681,22564,8.98,50.72,18.89,8.9
90804,2018,39344,57.02,12.34,0.92,15.0,0.22,14.5,43.3,22.55,2357,4439,2633,4263,20861,2848,2570,2070,1312,2887,31153,28266,17.53,70.3,7.34,7.9
90805,2018,96708,25.98,19.83,0.53,10.85,1.62,41.2,58.81,27.73,8219,15306,7077,7840,44058,6445,5238,4793,4538,8111,68557,60446,15.42,69.88,8.39,10.6
90806,2018,42817,46.86,16.32,1.23,20.17,1.15,14.27,51.76,33.67,3321,6080,3057,3621,19189,2837,3343,1770,2238,4039,31600,27561,15.6,66.77,9.43,8.6
90807,2018,32067,48.29,16.85,0.16,16.17,0.73,17.8,25.81,8.02,2041,3262,1631,1712,12422,2468,2266,2351,2200,5057,25739,20682,10.43,55.27,15.77,11.1
90808,2018,38860,72.18,5.59,0.96,9.8,0.28,11.19,23.52,5.91,2146,4655,1953,1888,13943,3038,3206,3083,2859,5930,30869,24939,9.88,53.38,15.26,8.9
90810,2018,38579,41.44,10.77,0.84,22.4,2.43,22.12,55.05,27.62,2481,5486,3383,3393,17445,2192,2675,1813,2228,4259,28596,24337,17.56,65.87,11.04,12.8
90813,2018,59000,51.72,12.42,1.72,12.94,0.26,20.94,65.16,43.5,5446,9635,4566,5384,28187,3288,2859,2985,2472,4128,41169,37041,16.86,73.34,7.0,11.5
90814,2018,18587,68.95,8.51,0.36,9.33,0.49,12.37,25.24,7.7,981,1434,706,1150,8899,949,1694,1272,1045,2313,15701,13388,9.99,60.87,12.44,9.2
90815,2018,41026,72.83,5.49,0.57,12.52,0.08,8.5,20.22,5.25,2117,4097,3684,4353,18015,3148,2627,2439,2501,6082,33396,27314,19.59,59.06,14.82,9.0
90822,2018,139,64.03,20.14,0.0,2.16,0.0,13.67,5.76,25.18,0,0,0,0,0,7,17,16,14,85,139,54,0.0,0.0,61.15,
90831,2018,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
91001,2018,37711,49.81,25.05,0.5,5.87,0.17,18.6,29.99,10.67,1924,4082,2221,2075,13287,3246,3191,2895,2715,6371,30238,23867,11.39,51.16,16.89,10.6
91006,2018,33012,30.59,1.2,0.22,58.48,0.56,8.95,13.88,7.56,1529,4119,2333,1593,11629,2672,2244,2969,2181,5669,25725,20056,11.89,52.34,17.17,7.0
91007,2018,34523,27.54,1.97,0.41,61.03,0.09,8.97,12.54,10.06,1523,4268,1898,1517,11545,2824,2728,2214,2230,7191,27415,20224,9.89,50.22,20.83,9.3
91008,2018,1141,61.7,1.58,1.05,33.13,0.0,2.54,11.83,6.94,31,78,49,46,319,63,91,63,73,423,1011,588,8.33,37.51,37.07,15.3
91010,2018,26601,55.0,7.42,0.97,15.29,0.03,21.29,55.34,19.06,1377,2977,1609,2009,10919,1741,1854,1807,1521,4405,21350,16945,13.6,57.42,16.56,11.7
91011,2018,20423,60.93,0.62,0.0,30.3,0.0,8.16,8.83,2.32,1162,2660,1680,987,6324,1390,1676,1798,1670,3743,15308,11565,13.06,49.68,18.33,6.6
91016,2018,41671,64.58,5.77,0.43,13.77,0.54,14.91,42.01,11.41,2205,5207,2425,2727,16975,3151,3204,2728,2578,5623,32847,27224,12.36,58.52,13.49,8.9
91020,2018,8720,61.33,1.67,0.41,25.65,0.19,10.73,24.97,9.63,225,977,673,353,3542,551,800,705,590,1330,7098,5768,11.77,54.4,15.25,10.9
91024,2018,11006,78.59,1.31,0.22,12.34,0.19,7.35,16.1,1.33,509,1286,407,308,3095,1068,860,832,937,2419,9000,6581,6.5,44.43,21.98,9.2
91030,2018,25794,55.22,3.08,0.28,30.0,0.08,11.34,19.54,3.82,1358,3753,1548,822,10340,2120,1672,1729,1225,3597,19563,15966,9.19,59.9,13.95,7.2
91040,2018,20207,80.91,1.08,0.39,10.91,0.0,6.71,22.52,9.98,1130,1583,1080,1079,6668,1672,1872,1645,1594,4043,16846,12803,10.68,46.42,20.01,13.5
91042,2018,26631,78.66,2.16,0.41,7.02,0.65,11.1,26.11,13.92,1123,2826,1146,1922,10157,1460,2399,2242,2309,4115,21932,17817,11.52,52.97,15.45,14.7
91046,2018,143,76.22,0.0,0.0,0.0,23.78,0.0,6.29,0.0,0,0,0,0,0,0,0,16,8,119,143,24,0.0,0.0,83.22,53.8
91101,2018,21394,50.44,6.8,0.66,24.4,0.22,17.48,29.25,8.64,1284,1382,633,1501,11086,1286,1244,1044,1029,3039,18456,15417,9.97,64.28,14.2,13.1
91103,2018,28425,38.62,17.52,0.25,7.53,0.07,36.01,53.73,22.04,1864,3396,1966,2182,12294,1766,1717,1784,1571,4033,22039,18006,14.59,61.76,14.19,10.0
91104,2018,37974,57.68,9.0,0.23,10.48,0.43,22.17,38.2,17.15,2841,4237,1841,2203,14565,2743,2937,3036,2099,5516,29760,24244,10.65,56.99,14.53,10.8
91105,2018,12191,64.99,5.67,0.13,18.73,0.0,10.48,14.17,3.86,814,1056,398,415,3760,848,933,830,752,3198,10049,6851,6.67,46.18,26.23,8.4
91106,2018,25375,51.13,7.37,0.26,23.01,0.13,18.11,28.46,6.6,1913,1881,1309,1633,13217,1512,1203,1161,1261,3227,21132,17905,11.59,67.04,12.72,9.1
91107,2018,32364,55.35,5.96,0.19,24.37,0.09,14.04,25.77,7.83,2067,2691,1600,1341,12666,2476,2291,2129,2090,5954,26511,20557,9.09,53.84,18.4,9.4
91108,2018,13538,33.06,1.96,0.0,58.48,0.35,6.15,4.43,2.17,540,1709,919,369,3848,1005,1109,1139,1165,3023,10495,7472,9.51,45.04,22.33,6.9
91201,2018,23619,78.45,1.99,0.54,8.51,0.36,10.15,20.01,19.76,1039,2246,1204,1284,9281,1698,1736,1837,1727,4055,19653,15598,10.53,53.2,17.17,16.7
91202,2018,23317,75.87,2.02,0.0,14.5,0.0,7.6,16.09,12.41,956,2078,914,1210,8907,1383,1723,1760,1756,4754,19820,15066,9.11,51.21,20.39,15.9
91203,2018,15000,69.28,2.07,0.48,17.46,0.06,10.65,17.5,14.71,739,1507,499,974,6752,920,1237,884,893,2068,12430,10362,9.82,59.99,13.79,13.1
91204,2018,18720,67.67,2.7,0.49,15.77,0.0,13.37,33.32,20.41,1085,1819,847,1169,8185,1298,1307,1127,1076,2823,15300,12477,10.77,59.24,15.08,13.9
91205,2018,37618,75.22,1.47,0.2,13.3,0.18,9.64,23.57,18.28,1834,3178,1649,2564,15313,2570,2937,2627,2503,6656,31617,24961,11.2,54.03,17.69,18.0
91206,2018,34386,73.8,1.63,0.17,17.65,0.05,6.69,13.26,11.48,2000,3023,1514,1647,13245,2307,2456,2554,2309,6492,28291,21799,9.19,53.13,18.88,13.1
91207,2018,11371,85.07,0.45,0.32,8.81,0.0,5.36,7.48,5.11,583,1099,833,618,3966,1283,797,920,743,1980,9201,7221,12.76,49.67,17.41,10.1
91208,2018,16049,76.66,0.6,1.6,13.98,0.0,7.17,12.63,3.14,818,2129,647,705,5445,1480,1461,974,1149,2593,12687,10094,8.42,52.29,16.16,8.8
91210,2018,689,71.7,1.45,0.0,25.25,0.0,1.6,5.08,0.0,34,125,36,17,378,53,90,0,0,9,512,503,7.69,77.94,1.31,1.3
91214,2018,30654,63.92,0.3,0.08,28.61,0.05,7.04,12.46,5.57,1213,4133,2222,1665,10752,2482,2490,2971,1993,4620,23933,19313,12.68,52.52,15.07,9.1
91301,2018,25631,83.23,3.01,0.0,7.51,0.0,6.25,10.67,3.59,1042,3278,1817,1402,8977,2186,2407,2034,1782,3925,19954,16029,12.56,51.88,15.31,9.0
91302,2018,26634,83.6,0.5,0.6,9.56,0.0,5.74,8.32,2.65,994,4178,1778,1558,8826,2035,1925,2089,2068,4519,20197,15678,12.53,52.56,16.97,8.0
91303,2018,31053,52.28,3.36,0.54,11.18,0.28,32.36,64.27,28.63,2225,4038,2075,2580,16096,1938,1661,1863,990,2242,23552,21310,14.99,72.0,7.22,7.8
91304,2018,53761,50.88,5.43,0.27,14.6,0.11,28.71,41.68,17.99,3276,6925,2589,4048,21740,3951,3849,3690,3015,7315,42011,34696,12.35,59.41,13.61,9.4
91306,2018,49158,45.5,3.69,0.43,17.17,0.21,32.99,49.26,22.98,2900,5697,2868,3507,21683,3290,3499,3275,2866,5948,38698,32750,12.97,61.6,12.1,9.3
91307,2018,26595,69.53,4.05,1.06,17.53,0.01,7.82,14.26,6.83,1207,3326,1869,1311,8780,2291,2277,2250,1794,4670,21073,16403,11.96,50.06,17.56,9.8
91311,2018,40420,63.79,4.33,0.53,16.71,0.25,14.39,26.04,7.82,1860,3756,2445,2403,15209,2979,2993,3401,3051,7171,33130,25959,11.99,51.52,17.74,10.3
91316,2018,29964,81.65,3.06,0.04,8.56,0.0,6.7,14.77,6.93,1836,3683,1304,1139,11210,2406,1871,1839,1890,5229,23637,18408,8.15,55.83,17.45,11.3
91320,2018,45520,80.97,1.14,0.14,11.79,0.08,5.88,16.74,4.99,2734,6610,3163,2159,15271,4274,3702,3528,2542,6859,33920,27061,11.69,54.08,15.07,7.9
91321,2018,34355,72.74,2.96,0.86,7.26,0.09,16.09,47.43,18.48,2167,4905,2548,2631,13527,2448,2452,2451,1750,4655,26048,21393,15.07,59.96,13.55,12.2
91324,2018,29617,56.29,6.84,0.25,18.26,0.16,18.2,31.63,11.3,1656,2710,1898,2979,13087,2032,1671,1995,1862,4604,24181,19577,16.47,58.93,15.55,11.1
91325,2018,34635,55.81,7.84,0.16,16.13,0.16,19.89,36.19,11.93,1605,3878,2417,4228,15941,2316,2199,2216,1793,4687,27903,23216,19.19,61.86,13.53,11.0
91326,2018,37035,52.29,4.95,0.64,32.29,0.36,9.48,14.6,7.64,1749,4277,2379,1629,11972,2922,3044,2823,2786,7462,29362,21900,10.82,48.6,20.15,8.9
91330,2018,3273,44.09,14.3,0.12,18.97,0.58,21.94,34.46,0.0,0,0,1774,1262,3264,9,0,0,0,0,3197,3197,92.76,99.73,0.0,4.2
91331,2018,105799,56.48,3.12,0.47,5.32,0.07,34.55,86.43,42.78,6495,15395,7844,9171,48294,6847,7079,6046,4970,10673,79208,68535,16.08,66.34,10.09,11.6
91335,2018,80524,58.22,4.27,0.88,13.22,0.1,23.31,51.0,23.03,4732,10049,5103,5890,34366,6051,5839,4821,4645,10021,62617,52596,13.65,61.03,12.44,10.5
91340,2018,36227,57.89,1.59,0.6,1.2,0.02,38.7,93.18,39.77,2495,5264,2629,2835,16357,2444,1880,2272,1756,3759,26683,22924,15.08,66.57,10.38,11.5
91342,2018,96487,73.75,3.6,0.97,5.3,0.06,16.32,76.5,28.63,6832,13289,7373,7346,41921,6706,6637,5621,4717,10764,71548,60784,15.25,64.3,11.16,12.6
91343,2018,66590,40.24,3.99,0.15,14.49,0.29,40.85,61.11,24.93,5395,9644,4669,6094,29634,4733,4288,3378,2712,6806,48792,41986,16.16,67.09,10.22,10.1
91344,2018,53266,59.73,4.57,0.65,16.66,0.2,18.18,30.58,10.38,2448,5548,3532,4016,19848,3916,4518,4223,3539,9226,42813,33587,14.17,52.27,17.32,12.9
91345,2018,19205,47.95,1.97,0.7,10.95,0.95,37.5,65.4,21.23,1138,1853,1598,1481,8090,1482,1232,1252,1267,2891,15102,12211,16.03,57.7,15.05,15.1
91350,2018,37350,73.69,3.07,0.48,11.95,0.01,10.8,28.01,6.31,2507,5486,2828,2058,14883,3031,2660,2567,1912,4304,27433,23129,13.08,61.25,11.52,9.9
91351,2018,32572,70.99,3.18,1.44,8.15,0.01,16.23,44.78,13.79,1972,4334,2663,2150,14102,2447,2572,2113,2012,3020,24452,21432,14.78,62.66,9.27,11.6
91352,2018,47438,71.3,1.29,0.64,5.91,0.06,20.79,72.94,34.38,2664,6468,3267,3708,20415,3235,3179,3208,2587,5682,36367,30685,14.7,62.29,11.98,11.4
91354,2018,32096,65.76,4.92,0.6,18.39,0.22,10.1,19.28,3.41,2216,5497,2154,1762,12040,2737,2852,2466,1615,2673,22929,20256,12.2,61.54,8.33,6.5
91355,2018,31455,71.57,3.47,0.17,12.05,0.1,12.64,21.34,4.47,1629,4174,2278,1736,12108,2625,2445,1797,2016,4661,24248,19587,12.76,56.94,14.82,11.1
91356,2018,30804,77.05,5.19,0.08,6.71,0.0,10.97,16.38,7.59,1684,3124,1680,1606,11816,1973,2476,2012,2155,5564,24880,19316,10.67,53.97,18.06,10.9
91360,2018,43342,82.62,1.21,0.63,8.01,0.14,7.39,21.7,9.3,1915,4786,3298,3257,15782,3077,3380,3192,2694,8516,34998,26482,15.12,51.87,19.65,12.1
91361,2018,20443,86.05,1.94,0.4,5.55,0.0,6.06,9.66,2.45,789,2093,1228,752,5848,1529,1683,1655,1729,5117,16655,11538,9.69,42.7,25.03,8.8
91362,2018,36062,83.22,1.48,0.48,9.64,0.15,5.04,18.12,7.01,1525,4551,2413,1914,11505,2601,3173,2943,2897,6867,28338,21471,12.0,48.75,19.04,10.5
91364,2018,27340,78.13,6.88,0.62,6.3,0.0,8.07,12.56,5.02,1764,2838,1272,1268,9605,1954,2035,1945,2006,5193,21867,16674,9.29,51.96,18.99,10.2
91367,2018,45282,72.9,4.81,0.16,13.37,0.15,8.61,11.46,5.28,2386,4272,2424,2353,18519,2965,3131,3488,3016,7505,37278,29773,10.55,55.6,16.57,10.6
91371,2018,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
91377,2018,13730,71.94,1.19,0.0,18.06,0.68,8.13,7.61,1.37,686,2107,814,556,4134,1388,1091,1408,925,1991,10330,8339,9.98,50.45,14.5,7.6
91381,2018,20371,62.76,2.96,0.12,23.88,0.0,10.27,16.83,4.13,1208,3142,1821,1004,7644,2193,1885,1527,820,1952,14658,12706,13.87,58.88,9.58,7.9
91384,2018,28842,69.05,6.07,1.3,7.92,0.32,15.35,37.78,16.55,1590,3619,2103,2331,13195,2087,2229,2392,1524,2206,22414,20208,15.37,63.81,7.65,8.9
91387,2018,43717,64.26,6.62,1.36,11.55,0.07,16.13,40.0,10.04,3984,6783,2812,3007,18064,2856,3262,2585,2030,4153,31176,27023,13.31,65.95,9.5,8.8
91390,2018,19053,79.95,1.45,0.36,7.3,0.16,10.79,24.22,8.65,1046,2324,1587,1032,6796,1607,1999,1764,1169,2348,14549,12201,13.75,53.36,12.32,9.1
91401,2018,41412,61.68,4.97,0.77,5.5,0.0,27.09,41.92,19.51,2898,4447,2246,2712,18931,2401,2843,2760,2602,4530,32598,28068,11.97,63.45,10.94,10.5
91402,2018,70686,39.87,3.5,0.57,14.16,0.07,41.84,72.91,36.13,5015,10373,5128,5366,32156,4467,4543,3918,3475,6739,52405,45666,14.85,67.26,9.53,13.0
91403,2018,25218,80.12,6.34,0.42,7.21,0.08,5.83,10.64,3.29,1395,2013,838,1106,11111,1987,1676,1603,1483,3950,21208,17258,7.71,57.57,15.66,8.9
91405,2018,55384,37.11,4.28,0.22,7.04,0.11,51.24,63.39,27.65,3915,7342,3831,4569,26016,3610,3688,3270,2443,5100,41937,36837,15.17,67.3,9.21,8.9
91406,2018,55215,42.18,4.84,0.37,9.26,0.05,43.3,56.13,23.23,4057,7189,3258,3582,24786,3704,3445,3621,2789,5624,42039,36415,12.39,65.26,10.19,8.9
91411,2018,25801,69.46,5.95,0.03,6.95,0.08,17.53,50.29,22.47,1727,3295,1425,1719,12204,1868,1368,1588,1027,2724,19894,17170,12.19,66.76,10.56,8.1
91423,2018,33737,79.09,6.26,0.05,6.71,0.1,7.79,13.7,3.63,1933,2547,1398,1984,15176,2308,2520,2438,1937,4878,28258,23380,10.02,58.26,14.46,7.6
91436,2018,15070,89.1,1.43,0.17,6.14,0.19,2.97,8.66,5.2,680,2028,754,542,4350,1099,1223,1267,947,3476,11729,8253,8.6,46.83,23.07,11.5
91501,2018,20300,74.85,3.41,0.68,9.51,0.0,11.55,13.41,8.63,969,2026,1080,971,8363,1227,1487,1491,1377,3360,16728,13368,10.1,55.95,16.55,11.5
91502,2018,11598,69.5,3.19,0.25,11.27,0.0,15.79,33.08,16.18,383,1005,755,851,5525,802,779,539,608,1957,9889,7932,13.85,59.61,16.87,18.4
91504,2018,26863,64.82,3.22,0.4,16.54,0.03,14.99,23.65,8.64,1911,2849,1633,1613,10761,2188,1798,2453,1298,3605,21080,17475,12.08,57.78,13.42,9.4
91505,2018,30680,69.92,2.96,0.87,12.44,0.04,13.77,25.3,6.96,1964,2996,1446,2220,13597,2452,2200,1932,1481,4058,24847,20789,11.95,60.49,13.23,8.7
91506,2018,18575,74.34,1.36,0.91,11.04,0.05,12.3,27.46,8.29,1039,1612,1117,920,7160,1373,1723,1482,1181,3005,15236,12231,10.97,52.82,16.18,10.1
91601,2018,37085,71.71,6.94,0.35,6.32,0.16,14.52,36.13,13.16,1424,2427,1038,3087,21291,2476,2057,2094,1746,3570,32549,28979,11.12,67.8,9.63,8.8
91602,2018,19358,72.07,6.88,0.55,8.28,0.25,11.96,15.3,4.79,990,1311,377,924,9296,1856,1508,1142,1143,2112,16830,14718,6.72,59.91,10.91,6.1
91604,2018,32117,80.21,4.58,0.34,8.15,0.24,6.5,9.54,2.24,1522,3206,1064,1634,13966,2879,2002,1968,1932,4642,26543,21901,8.4,58.21,14.45,7.9
91605,2018,52210,61.66,3.55,1.03,9.08,0.11,24.56,58.34,29.39,2361,6291,3913,4345,24829,3876,3240,3358,2726,5529,41290,35761,15.82,64.13,10.59,11.1
91606,2018,44476,69.27,4.01,0.29,5.45,0.52,20.46,53.7,24.91,2356,5455,2601,2912,20111,3306,2902,2940,2037,5369,34925,29556,12.4,62.78,12.07,10.0
91607,2018,30873,79.74,4.86,0.68,6.48,0.04,8.2,23.31,8.85,1858,2492,1058,1749,13973,1950,2008,1798,2040,4754,25868,21114,9.09,59.35,15.4,10.9
91608,2018,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
91701,2018,40034,68.29,4.67,0.37,9.47,0.01,17.18,35.12,6.55,2269,4855,2725,2670,15057,2702,3216,3359,2855,5721,31181,25460,13.48,55.41,14.29,9.6
91702,2018,62348,46.91,3.04,1.57,11.09,0.17,37.22,67.85,23.74,3922,7632,5629,8331,30946,3956,3854,3433,2679,5926,48449,42523,22.39,68.17,9.5,8.3
91706,2018,77342,38.04,2.19,1.38,18.77,0.66,38.95,74.42,33.18,4930,10442,5524,6049,34166,5219,5352,4238,3992,9003,58633,49630,14.96,64.05,11.64,8.3
91708,2018,3892,33.89,10.17,1.41,24.59,0.0,29.93,30.63,22.42,179,532,146,221,2008,300,269,270,112,222,3060,2838,9.43,69.86,5.7,2.8
91709,2018,79298,47.36,4.22,0.6,34.02,0.06,13.74,29.09,6.47,4971,10418,5043,5613,32233,6203,5825,6076,5045,8527,60452,51925,13.44,60.05,10.75,7.0
91710,2018,90582,50.81,5.87,0.46,12.52,0.57,29.77,52.72,21.78,5302,10407,5095,6315,40135,6479,7066,6151,4755,10287,71658,61371,12.6,61.65,11.36,8.3
91711,2018,36854,65.07,5.08,0.97,14.74,0.07,14.07,26.02,6.04,1714,3716,4198,3375,15353,2401,2355,2206,2037,7072,29981,22909,20.55,56.39,19.19,9.8
91722,2018,35708,50.53,2.18,0.29,13.35,0.09,33.55,65.39,17.88,2407,4573,2735,2538,15394,2580,2418,2011,1972,4353,26864,22511,14.77,62.66,12.19,10.1
91723,2018,18875,52.4,4.12,3.81,8.89,0.0,30.78,62.81,15.12,1288,2473,1560,1271,8423,1272,1390,937,857,2235,14157,11922,15.0,64.55,11.84,10.8
91724,2018,26091,53.41,3.63,0.96,16.62,0.06,25.32,51.88,11.64,1437,3000,1801,1483,10199,1809,2014,1997,1650,3985,20512,16527,12.59,56.1,15.27,11.3
91730,2018,71422,55.91,12.97,1.03,12.09,0.66,17.34,41.49,12.23,5266,9042,4981,5901,33649,4286,5128,4301,3243,6507,54253,47746,15.24,67.15,9.11,9.0
91731,2018,30139,40.44,0.41,0.97,28.05,1.07,29.06,65.47,42.92,1789,4061,2100,2594,12820,1877,1586,1955,1548,4503,22968,18465,15.57,61.95,14.94,12.2
