"ZCTA","minDisHosp","timeDrive","countDrive"
3103,2.91,0,8
3104,0.29,0,7
3106,5.57,12.09,6
3109,3.02,8.94,5
3110,6.18,11.64,6
3216,10.46,22.12,2
3217,6.02,16.38,1
3220,5.86,15.82,2
3221,16.27,28.52,1
3223,8.87,12.58,1
3224,11.4,23.86,3
3226,13.72,23.5,2
3229,9.27,20.46,2
3230,13.42,26.49,1
3231,7.95,16.12,2
3233,4.65,9.08,1
3234,15.5,21.49,2
3235,1.89,0,4
3237,10.97,21.86,2
3241,9.29,29.04,1
3242,18.14,28.84,2
3243,11.06,21.67,1
3244,14.17,28.7,1
3245,7.46,13.35,1
3246,4.33,0,2
3249,6.09,8.78,2
3253,10.08,15.97,1
3255,10.23,24.61,1
3256,13.45,22.22,3
3257,0.74,0,1
3258,12.58,15.4,2
3260,8.36,12.94,1
3263,19.61,26.7,2
3264,2.9,0,1
3266,14.24,18.96,1
3268,9.74,17.8,4
3269,8.15,17.77,2
3273,12.49,19.66,1
3275,10.58,16.99,4
3276,5.19,7.73,4
3278,17.07,22.88,1
3284,7.2,13.64,2
3285,16.35,25.6,1
3287,6.22,18.01,1
3290,18.56,29.46,1
3291,16.9,25.28,2
3293,20.4,26.68,1
3301,2.69,0,6
3303,12.01,12.72,3
3304,6.71,11.85,6
3307,14.51,17.28,2
3431,1.33,0,1
3440,10.77,21.11,2
3441,10.64,25.09,2
3442,4.49,14.45,2
3443,7.11,22.04,3
3444,9.1,18.08,1
3445,8.26,18.48,1
3446,8.35,16.34,1
3447,16.85,23.09,2
3448,8.7,14.5,1
3449,8.4,11.91,2
3450,11.38,23.18,2
3451,5.74,19.51,2
3452,10.2,12.57,2
3455,8.88,14.36,2
3456,18.04,26.65,1
3457,12.53,21.05,1
3458,2.27,0,3
3461,14.13,21.99,2
3462,9.29,17.4,3
3464,17.41,29.04,1
3465,13.47,14.39,2
3466,4.96,16.15,3
3467,9.9,21.53,3
3470,16.44,28.57,1
3561,1.64,0,2
3570,1.18,0,1
3574,16.87,12,1
3576,6.74,0,1
3580,16.85,16.2,1
3582,13.29,20.94,1
3583,10.65,15.97,1
3584,0.61,0,1
3585,10.54,22.34,1
3586,9.64,17.51,1
3588,12.69,20.09,1
3593,19.42,21.49,1
3595,17.53,24.79,2
3597,17.51,16.66,1
3598,11.63,18.16,2
3602,17.71,28.42,1
3603,9,14.01,2
3609,14.95,21.72,1
3740,5.2,17.83,2
3741,17.82,28.7,1
3743,2.72,0,3
3745,5.17,18.51,2
3746,10.1,19.24,3
3748,12.65,20.91,2
3750,5.74,17.82,3
3751,6.7,10.53,2
3753,13.84,19.71,3
3754,10.41,20.04,2
3755,7.04,11.4,4
3765,9.94,23.98,1
3766,3.39,0,4
3768,16.48,25.08,3
3770,10.06,18.74,3
3771,13.1,25.07,1
3773,9.78,16.66,2
3774,4.87,14.79,1
3780,10.42,28.1,1
3782,7.01,16.4,2
3784,1.39,0,4
3785,11.28,0,1
3801,1.26,0,5
3809,12.23,25.26,1
3810,7.64,24.36,2
3811,3.3,9.64,12
3812,10.89,21.89,1
3813,7.22,23.84,1
3814,17.96,23.3,1
3816,10.55,18.87,1
3818,11.55,13.89,1
3819,5.83,13.27,8
3820,2.48,0,5
3823,6,8.76,4
3824,8.84,12.3,5
3825,9.81,17.48,2
3826,1.97,9.84,10
3827,6.68,12,7
3832,16.45,26.68,1
3833,3.78,0,3
3835,10.14,14.14,2
3837,13.78,29.82,1
3838,8.69,19.84,1
3839,3.75,8.13,2
3840,4.71,11.55,6
3841,2.14,0,9
3842,7.93,19.7,7
3844,6.28,15.23,8
3845,4.41,12.03,1
3846,12.47,24.58,1
3847,1.82,9.09,1
3848,7.35,15.28,8
3849,15.51,23.11,1
3850,12.73,21.62,1
3851,13.75,24.52,1
3852,17.48,29.02,1
3853,7.75,13.51,1
3854,4.86,12.2,4
3855,11.96,26.62,1
3856,5.76,17.41,3
3857,8.26,21.24,4
3858,7.66,11.77,11
3860,2.23,0,1
3861,12.76,16.61,5
3862,7.29,16.52,6
3864,12.25,15.76,1
3865,4.99,7.5,11
3867,1.93,0,2
3868,2.51,7.29,2
3869,2.33,9.86,5
3870,5.12,15.55,3
3871,7.89,18.43,3
3872,10.81,23.73,1
3873,6.19,18.21,4
3874,6.21,9.67,10
3878,3.84,13.38,4
3884,13.13,29.63,1
3885,3.95,17.36,4
3887,13.2,27.67,2
3890,21.66,29.5,1
3894,3.52,0,1
3901,8.09,20.92,2
3902,7.55,12.52,3
3903,6.07,15.68,4
3904,5.29,9.87,4
3905,5.82,13.68,3
3906,13.44,28.26,1
3907,11.01,13.07,3
3908,9.07,18.94,4
3909,3.19,0,4
3910,3.76,7.72,3
3911,1.38,4.07,3
4002,13.19,19.98,2
4005,1.81,0,6
4006,7.52,16.05,2
4008,12.72,21.35,1
4009,1.41,0,1
4010,17.76,29.58,1
4011,5.96,0,1
4015,15.2,24.7,1
4021,12.69,19.96,4
4022,9.04,22.98,1
