COUNTYFP,year,essnWrkE,wrkPopE,essnWrkP
12073,2018,49878,145442,34.29
12075,2018,8656,14954,57.88
12077,2018,1392,2425,57.4
12079,2018,3337,6169,54.09
12081,2018,71748,156850,45.74
12083,2018,61104,122825,49.75
12085,2018,28983,65578,44.2
12086,2018,591679,1301540,45.46
12087,2018,19594,40392,48.51
12089,2018,17467,36402,47.98
12091,2018,39473,87493,45.12
12093,2018,9132,14722,62.03
12095,2018,279744,661930,42.26
12097,2018,78050,155492,50.2
12099,2018,288248,669887,43.03
12101,2018,91433,208871,43.77
12103,2018,181906,446120,40.78
12105,2018,137859,273691,50.37
12107,2018,14569,24985,58.31
12109,2018,38495,108015,35.64
12111,2018,66644,126185,52.81
12113,2018,32322,72986,44.29
12115,2018,76249,166424,45.82
12117,2018,80395,226769,35.45
12119,2018,11636,25437,45.74
12121,2018,10010,16817,59.52
12123,2018,3636,6486,56.06
12125,2018,2112,3724,56.71
12127,2018,103978,220015,47.26
12129,2018,5740,13328,43.07
12131,2018,12608,29404,42.88
12133,2018,5083,8527,59.61
13001,2018,4621,7296,63.34
13003,2018,1926,3168,60.8
13005,2018,2437,4146,58.78
13007,2018,652,1251,52.12
13009,2018,9584,17708,54.12
13011,2018,4570,7795,58.63
13013,2018,16660,35632,46.76
13015,2018,24350,47997,50.73
13017,2018,3656,6313,57.91
13019,2018,4476,7085,63.18
13021,2018,29857,62200,48.0
13023,2018,2492,4230,58.91
13025,2018,3945,6729,58.63
13027,2018,3009,5800,51.88
13029,2018,6816,15755,43.26
13031,2018,17053,33249,51.29
13033,2018,5514,9028,61.08
13035,2018,4660,8915,52.27
13037,2018,1011,1622,62.33
13039,2018,10361,21340,48.55
13043,2018,2443,4272,57.19
13045,2018,26663,50923,52.36
13047,2018,14717,31719,46.4
13049,2018,2575,4199,61.32
13051,2018,65672,135574,48.44
13053,2018,1101,2177,50.57
13055,2018,5703,8946,63.75
13057,2018,42777,122561,34.9
13059,2018,26549,58766,45.18
13061,2018,496,876,56.62
13063,2018,67232,126643,53.09
13065,2018,1319,2257,58.44
13067,2018,137516,389803,35.28
13069,2018,9490,16627,57.08
13071,2018,11474,18736,61.24
13073,2018,28364,65411,43.36
13075,2018,4037,7078,57.04
13077,2018,31243,68690,45.48
13079,2018,2631,4644,56.65
13081,2018,4599,8798,52.27
13083,2018,3934,7331,53.66
13085,2018,4734,11230,42.15
13087,2018,5434,9645,56.34
13089,2018,145471,375217,38.77
13091,2018,4398,7467,58.9
13093,2018,3209,5038,63.7
13095,2018,18622,35167,52.95
13097,2018,30817,67891,45.39
13099,2018,2181,3761,57.99
13101,2018,994,1675,59.34
13103,2018,14723,28083,52.43
13105,2018,4496,7626,58.96
13107,2018,5117,8340,61.35
13109,2018,2296,4297,53.43
13111,2018,5018,9586,52.35
13113,2018,19386,52689,36.79
13115,2018,22395,41259,54.28
13117,2018,30771,109504,28.1
13119,2018,4909,8644,56.79
13121,2018,159352,516732,30.84
13123,2018,7138,12787,55.82
13125,2018,847,1364,62.1
13127,2018,18899,38572,49.0
13129,2018,15190,25667,59.18
13131,2018,5963,10303,57.88
13133,2018,3253,6305,51.59
13135,2018,185261,450670,41.11
13137,2018,9719,18083,53.75
13139,2018,48803,91959,53.07
13141,2018,1166,1977,58.98
13143,2018,6943,12285,56.52
13145,2018,6910,15186,45.5
13147,2018,5454,9948,54.83
13149,2018,3248,4905,66.22
13151,2018,48115,104676,45.97
13153,2018,30570,68567,44.58
13155,2018,1892,3277,57.74
13157,2018,13879,29560,46.95
13159,2018,3157,5349,59.02
13161,2018,3354,5530,60.65
13163,2018,3862,5933,65.09
13165,2018,1975,3309,59.69
13167,2018,2806,4211,66.64
13169,2018,5939,12114,49.03
13171,2018,3984,7132,55.86
13173,2018,1877,3643,51.52
13175,2018,9958,17326,57.47
13177,2018,5804,13267,43.75
13179,2018,12555,22691,55.33
13181,2018,1930,3259,59.22
13183,2018,3676,6232,58.99
13185,2018,22218,46705,47.57
13187,2018,8088,15665,51.63
13189,2018,4884,8513,57.37
13191,2018,3263,5900,55.31
13193,2018,2936,4416,66.49
13195,2018,6512,12522,52.0
13197,2018,2013,3432,58.65
13199,2018,4944,8133,60.79
13201,2018,1342,2371,56.6
13205,2018,4646,8216,56.55
13207,2018,5313,11536,46.06
13209,2018,2052,3519,58.31
13211,2018,4021,8139,49.4
13213,2018,10761,16935,63.54
13215,2018,38072,79636,47.81
13217,2018,25043,46939,53.35
13219,2018,6878,18115,37.97
13221,2018,3712,6684,55.54
13223,2018,32419,76827,42.2
13225,2018,6043,10524,57.42
13227,2018,6650,13613,48.85
13229,2018,4444,7687,57.81
13231,2018,3945,7774,50.75
13233,2018,11142,18048,61.74
13235,2018,2019,3704,54.51
13237,2018,5297,9234,57.36
13239,2018,534,799,66.83
13241,2018,3311,6142,53.91
13243,2018,1420,2408,58.97
13245,2018,42303,80890,52.3
13247,2018,18310,39286,46.61
13249,2018,1211,2173,55.73
13251,2018,3069,5539,55.41
13253,2018,1594,2864,55.66
13255,2018,13860,25042,55.35
13257,2018,6440,10301,62.52
13259,2018,806,1498,53.81
13261,2018,6709,11841,56.66
13263,2018,1792,2536,70.66
13265,2018,386,580,66.55
13267,2018,4081,7801,52.31
13269,2018,1599,2987,53.53
13271,2018,3215,4919,65.36
13273,2018,1750,3332,52.52
13275,2018,9056,18645,48.57
13277,2018,10018,18126,55.27
13279,2018,5979,10541,56.72
13281,2018,1973,4267,46.24
13283,2018,1749,2523,69.32
13285,2018,16681,29824,55.93
13287,2018,1857,3120,59.52
13289,2018,1657,2647,62.6
13291,2018,4141,8119,51.0
13293,2018,5557,10005,55.54
13295,2018,15455,29376,52.61
13297,2018,19711,40399,48.79
13299,2018,7543,13200,57.14
13301,2018,1335,2165,61.66
13303,2018,4089,7504,54.49
13305,2018,6437,10612,60.66
13307,2018,588,1058,55.58
13309,2018,1211,1928,62.81
13311,2018,6151,12294,50.03
13313,2018,28178,47247,59.64
13315,2018,1391,2418,57.53
13317,2018,2593,4035,64.26
13319,2018,1983,3258,60.87
13321,2018,4990,8801,56.7
15001,2018,43153,86515,49.88
15003,2018,208814,470748,44.36
15005,2018,29,57,50.88
15007,2018,19409,36129,53.72
15009,2018,42533,83997,50.64
16001,2018,85899,221254,38.82
16003,2018,709,1517,46.74
16005,2018,17158,36974,46.41
16007,2018,1409,2514,56.05
16009,2018,2147,3429,62.61
16011,2018,10516,19674,53.45
16013,2018,6499,12435,52.26
16015,2018,1222,2858,42.76
16017,2018,9349,17690,52.85
16019,2018,22869,49395,46.3
16021,2018,2516,4401,57.17
16023,2018,482,967,49.84
16025,2018,199,382,52.09
16027,2018,49909,91663,54.45
16029,2018,1619,3011,53.77
16031,2018,5863,10138,57.83
16033,2018,335,463,72.35
16035,2018,1718,2939,58.46
16037,2018,871,1619,53.8
16039,2018,5304,9733,54.5
16041,2018,3314,5861,56.54
16043,2018,2827,5212,54.24
16045,2018,3744,6654,56.27
16047,2018,4125,6970,59.18
16049,2018,3380,6291,53.73
16051,2018,6299,12485,50.45
16053,2018,6487,10607,61.16
16055,2018,33270,70446,47.23
16057,2018,7802,19601,39.8
16059,2018,1481,3212,46.11
16061,2018,857,1515,56.57
16063,2018,1509,2494,60.51
16065,2018,7736,17962,43.07
16067,2018,5828,9339,62.4
16069,2018,9811,18892,51.93
16071,2018,1004,1700,59.06
16073,2018,2953,4964,59.49
16075,2018,5396,9859,54.73
16077,2018,1881,3218,58.45
16079,2018,2751,4866,56.54
16081,2018,2843,5698,49.89
16083,2018,21757,39657,54.86
16085,2018,2179,4118,52.91
16087,2018,2386,4024,59.29
17001,2018,16026,32501,49.31
17003,2018,1273,2218,57.39
17005,2018,4069,7481,54.39
17007,2018,14112,25748,54.81
17009,2018,1341,2448,54.78
17011,2018,9009,16029,56.2
17013,2018,1100,2047,53.74
17015,2018,3754,6595,56.92
17017,2018,3733,6130,60.9
17019,2018,40666,103515,39.29
17021,2018,8015,14965,53.56
17023,2018,4559,7773,58.65
17025,2018,3667,6093,60.18
17027,2018,9912,18709,52.98
17029,2018,12695,24987,50.81
17031,2018,1076808,2548996,42.24
17033,2018,4565,8000,57.06
17035,2018,3208,5270,60.87
17037,2018,24600,52449,46.9
17039,2018,3848,8119,47.39
17041,2018,5014,9382,53.44
17043,2018,169597,489858,34.62
17045,2018,5035,8306,60.62
17047,2018,1963,3043,64.51
17049,2018,9115,17344,52.55
17051,2018,5347,8627,61.98
17053,2018,3213,6264,51.29
17055,2018,8852,15528,57.01
17057,2018,8773,15077,58.19
