"","GEOID","count_in_range_buprenorphine","time_to_nearest_buprenorphine","buprenorphine_score"
"478","02645",4,15,0.388888888888889
"479","02646",4,15,0.355555555555556
"480","02647",8,5,0.733333333333333
"481","02648",10,12,0.6
"482","02649",12,0,1
"483","02650",2,23,0.155555555555556
"484","02651",0,42,0
"485","02652",0,60,0
"486","02653",2,28,0.0444444444444444
"487","02655",10,13,0.566666666666667
"488","02657",0,70,0
"489","02659",2,19,0.244444444444444
"490","02660",4,8,0.611111111111111
"491","02663",0,49,0
"492","02664",8,0,0.855555555555556
"493","02666",0,56,0
"494","02667",0,47,0
"495","02668",12,13,0.533333333333333
"496","02669",2,21,0.2
"497","02670",4,4,0.733333333333333
"498","02671",4,11,0.5
"499","02672",10,6,0.7
"500","02673",8,5,0.8
"501","02675",8,6,0.722222222222222
"502","02702",34,12,0.6
"503","02703",48,0,0.822222222222222
"504","02713",0,310,0
"505","02715",14,16,0.466666666666667
"506","02717",22,13,0.566666666666667
"507","02718",30,11,0.633333333333333
"508","02719",16,5,0.833333333333333
"509","02720",46,0,1
"510","02721",56,0,0.944444444444445
"511","02723",52,4,0.855555555555556
"512","02724",56,2,0.888888888888889
"513","02725",60,7,0.755555555555556
"514","02726",36,12,0.6
"515","02738",12,21,0.3
"516","02739",18,11,0.633333333333333
"517","02740",16,0,1
"518","02743",16,13,0.566666666666667
"519","02744",16,0,0.944444444444445
"520","02745",22,9,0.7
"521","02746",22,4,0.866666666666667
"522","02747",16,8,0.733333333333333
"523","02748",16,8,0.722222222222222
"524","02760",44,11,0.544444444444444
"525","02762",36,16,0.366666666666667
"526","02763",44,8,0.6
"527","02764",38,11,0.633333333333333
"528","02766",38,11,0.611111111111111
"529","02767",26,10,0.666666666666667
"530","02769",52,17,0.433333333333333
"531","02770",0,31,0
"532","02771",54,11,0.622222222222222
"533","02777",62,10,0.666666666666667
"534","02779",12,13,0.566666666666667
"535","02780",32,0,1
"536","02790",16,16,0.444444444444444
"537","02791",16,22,0.244444444444444
"538","02802",42,9,0.655555555555556
"539","02804",6,12,0.555555555555555
"540","02806",46,0,0.922222222222222
"541","02807",0,74,0
"542","02808",8,13,0.511111111111111
"543","02809",34,13,0.511111111111111
"544","02812",6,14,0.377777777777778
"545","02813",6,19,0.344444444444444
"546","02814",44,20,0.322222222222222
"547","02815",26,22,0.266666666666667
"548","02816",30,19,0.366666666666667
"549","02817",10,24,0.2
"550","02818",38,19,0.366666666666667
"551","02822",4,0,0.722222222222222
"552","02825",26,16,0.466666666666667
"553","02826",28,17,0.355555555555556
"554","02827",8,18,0.3
"555","02828",48,8,0.722222222222222
"556","02830",20,18,0.311111111111111
"557","02831",24,20,0.333333333333333
"558","02832",10,6,0.633333333333333
"559","02833",6,16,0.444444444444444
"560","02835",10,12,0.555555555555555
"561","02836",8,19,0.344444444444444
"562","02837",2,27,0.0666666666666667
"563","02838",44,5,0.755555555555556
"564","02839",20,20,0.288888888888889
"565","02840",6,0,0.911111111111111
"566","02841",6,8,0.722222222222222
"567","02842",8,0,1
"568","02852",18,20,0.288888888888889
"569","02857",50,9,0.7
"570","02858",24,17,0.355555555555556
"571","02859",20,25,0.155555555555556
"572","02860",42,0,1
"573","02861",54,8,0.711111111111111
"574","02863",42,8,0.733333333333333
"575","02864",40,12,0.577777777777778
"576","02865",42,7,0.766666666666667
"577","02871",16,13,0.566666666666667
"578","02872",0,45,0
"579","02873",10,10,0.566666666666667
"580","02874",10,13,0.466666666666667
"581","02875",6,18,0.322222222222222
"582","02876",36,12,0.5
"583","02878",24,11,0.588888888888889
"584","02879",4,0,0.711111111111111
"585","02881",8,11,0.488888888888889
"586","02882",6,7,0.544444444444445
"587","02885",58,6,0.755555555555556
"588","02886",42,11,0.633333333333333
"589","02888",42,6,0.766666666666667
"590","02889",38,11,0.6
"591","02891",16,0,0.8
"592","02892",6,19,0.311111111111111
"593","02893",40,12,0.6
"594","02894",8,16,0.422222222222222
"595","02895",42,0,0.811111111111111
"596","02896",30,11,0.511111111111111
"597","02898",10,0,0.733333333333333
"598","02903",54,4,0.866666666666667
"599","02904",44,0,1
"600","02905",48,0,0.966666666666667
"601","02906",54,0,0.944444444444445
"602","02907",48,0,0.966666666666667
"603","02908",48,0,1
"604","02909",48,0,0.944444444444445
"605","02910",42,0,0.944444444444445
"606","02911",42,0,0.955555555555556
"607","02912",54,3,0.888888888888889
"608","02914",54,0,0.922222222222222
"609","02915",54,0,0.922222222222222
"610","02916",54,6,0.766666666666667
"611","02917",42,8,0.7
"612","02919",48,0,1
"613","02920",42,0,1
"614","02921",38,10,0.666666666666667
"615","03031",8,18,0.3
"616","03032",10,17,0.433333333333333
"617","03033",8,24,0.133333333333333
"618","03034",10,16,0.433333333333333
"619","03036",4,30,0
"620","03037",0,34,0
"621","03038",10,24,0.2
"622","03042",2,26,0.0888888888888889
"623","03043",2,21,0.2
"624","03044",2,29,0.0222222222222222
