"","GEOID","count_in_range_buprenorphine","count_in_range_methadone","count_in_range_naltrexone.vivitrol","type_count"
"3808","13826",0,0,0,"0"
"3809","13827",2,0,2,"2"
"3810","13830",0,0,1,"1"
"3811","13832",0,0,1,"1"
"3812","13833",10,2,4,"3"
"3813","13834",0,0,1,"1"
"3814","13835",0,0,0,"0"
"3815","13838",0,0,1,"1"
"3816","13839",0,0,1,"1"
"3817","13841",0,0,0,"0"
"3818","13842",0,0,0,"0"
"3819","13843",0,0,1,"1"
"3820","13844",0,0,1,"1"
"3821","13845",4,0,4,"2"
"3822","13846",0,0,2,"1"
"3823","13847",0,0,0,"0"
"3824","13849",0,0,2,"1"
"3825","13850",12,2,6,"3"
"3826","13856",0,0,1,"1"
"3827","13859",0,0,2,"1"
"3828","13860",0,0,1,"1"
"3829","13861",0,0,1,"1"
"3830","13862",4,0,4,"2"
"3831","13863",0,0,0,"0"
"3832","13864",6,2,4,"3"
"3833","13865",10,2,6,"3"
"3834","13901",10,2,5,"3"
"3835","13902",10,2,5,"3"
"3836","13903",10,2,5,"3"
"3837","13904",10,2,5,"3"
"3838","13905",10,2,5,"3"
"3839","14001",26,4,13,"3"
"3840","14004",22,0,14,"2"
"3841","14005",6,2,4,"3"
"3842","14006",16,2,12,"3"
"3843","14008",0,0,0,"0"
"3844","14009",0,0,0,"0"
"3845","14011",8,2,5,"3"
"3846","14012",0,0,0,"0"
"3847","14013",6,2,3,"3"
"3848","14020",6,2,4,"3"
"3849","14024",2,0,1,"2"
"3850","14025",10,2,10,"3"
"3851","14026",70,10,43,"3"
"3852","14028",10,0,5,"2"
"3853","14030",0,0,1,"1"
"3854","14031",64,8,38,"3"
"3855","14032",34,4,16,"3"
"3856","14033",12,2,10,"3"
"3857","14034",2,0,2,"2"
"3858","14035",2,0,2,"2"
"3859","14036",6,2,4,"3"
"3860","14037",12,2,9,"3"
"3861","14039",2,0,2,"2"
"3862","14040",6,2,4,"3"
"3863","14041",2,0,1,"2"
"3864","14042",0,0,1,"1"
"3865","14043",60,10,38,"3"
"3866","14047",36,6,26,"3"
"3867","14048",8,0,6,"2"
"3868","14051",58,6,33,"3"
"3869","14052",26,2,20,"3"
"3870","14054",6,2,4,"3"
"3871","14055",0,0,1,"1"
"3872","14057",28,4,20,"3"
"3873","14058",8,2,4,"3"
"3874","14059",52,8,35,"3"
"3875","14060",0,0,0,"0"
"3876","14061",10,0,7,"2"
"3877","14062",8,0,6,"2"
"3878","14063",8,0,6,"2"
"3879","14065",0,0,0,"0"
"3880","14066",2,0,1,"2"
"3881","14067",16,0,8,"2"
"3882","14068",70,8,41,"3"
"3883","14069",6,2,6,"3"
"3884","14070",2,0,2,"2"
"3885","14072",62,10,36,"3"
"3886","14075",60,8,41,"3"
"3887","14080",10,2,8,"3"
"3888","14081",10,0,7,"2"
"3889","14082",2,0,2,"2"
"3890","14085",52,8,35,"3"
"3891","14086",60,10,38,"3"
"3892","14091",2,0,1,"2"
"3893","14092",20,2,10,"3"
"3894","14094",24,2,11,"3"
"3895","14098",2,0,1,"2"
"3896","14101",0,0,0,"0"
"3897","14102",18,2,17,"3"
"3898","14103",12,0,6,"2"
"3899","14105",12,0,6,"2"
"3900","14108",10,0,5,"2"
"3901","14109",20,2,10,"3"
"3902","14111",6,0,4,"2"
"3903","14112",36,6,26,"3"
"3904","14113",2,0,2,"2"
"3905","14120",74,10,43,"3"
"3906","14125",6,2,3,"3"
"3907","14126",10,0,5,"2"
"3908","14127",56,8,39,"3"
"3909","14129",2,0,1,"2"
"3910","14130",2,0,1,"2"
"3911","14131",24,2,12,"3"
"3912","14132",38,6,18,"3"
"3913","14134",0,0,1,"1"
"3914","14135",8,0,6,"2"
"3915","14136",12,0,9,"2"
"3916","14138",0,0,0,"0"
"3917","14139",12,2,9,"3"
"3918","14141",6,2,6,"3"
"3919","14143",6,2,3,"3"
"3920","14145",0,0,1,"1"
"3921","14150",80,10,46,"3"
"3922","14167",2,0,2,"2"
"3923","14168",6,0,4,"2"
"3924","14169",16,2,14,"3"
"3925","14170",14,2,13,"3"
"3926","14171",0,0,1,"1"
"3927","14172",6,0,2,"2"
"3928","14173",0,0,1,"1"
"3929","14174",16,2,8,"3"
"3930","14201",74,12,47,"3"
"3931","14202",74,12,47,"3"
"3932","14203",66,10,42,"3"
"3933","14204",66,10,42,"3"
"3934","14206",60,10,38,"3"
"3935","14207",72,12,44,"3"
"3936","14208",60,10,38,"3"
"3937","14209",66,10,42,"3"
"3938","14210",64,10,41,"3"
"3939","14211",60,10,38,"3"
"3940","14212",60,10,38,"3"
"3941","14213",72,12,46,"3"
"3942","14214",66,10,41,"3"
"3943","14215",60,10,38,"3"
"3944","14216",68,10,41,"3"
"3945","14217",70,10,41,"3"
"3946","14218",62,10,40,"3"
"3947","14219",62,10,40,"3"
"3948","14220",62,10,40,"3"
"3949","14221",76,10,46,"3"
"3950","14222",74,12,47,"3"
"3951","14223",70,10,41,"3"
"3952","14224",64,10,41,"3"
"3953","14225",60,10,38,"3"
"3954","14226",84,12,51,"3"
"3955","14227",60,10,38,"3"
"3956","14228",78,10,46,"3"
"3957","14261",84,12,51,"3"
"3958","14301",40,6,21,"3"
"3959","14302",34,6,18,"3"
"3960","14303",40,6,21,"3"
"3961","14304",52,8,27,"3"
"3962","14305",32,6,17,"3"
"3963","14411",2,0,1,"2"
"3964","14414",16,4,13,"3"
"3965","14415",4,0,3,"2"
"3966","14416",26,4,17,"3"
"3967","14418",2,0,1,"2"
"3968","14420",32,2,27,"3"
"3969","14422",6,2,3,"3"
"3970","14423",8,2,4,"3"
"3971","14424",18,0,13,"2"
"3972","14425",44,4,36,"3"
"3973","14427",2,0,1,"2"
"3974","14428",40,4,34,"3"
"3975","14432",22,0,19,"2"
"3976","14433",4,0,6,"2"
"3977","14435",4,0,2,"2"
"3978","14437",2,0,1,"2"
"3979","14441",4,0,3,"2"
"3980","14445",42,4,35,"3"
"3981","14450",36,4,31,"3"
"3982","14454",2,0,1,"2"
"3983","14456",22,0,15,"2"
"3984","14462",4,0,2,"2"
"3985","14464",6,0,5,"2"
"3986","14466",2,0,1,"2"
"3987","14467",44,4,36,"3"
"3988","14468",26,0,22,"2"
"3989","14469",4,0,3,"2"
"3990","14470",2,0,1,"2"
"3991","14471",0,0,0,"0"
"3992","14472",34,4,30,"3"
"3993","14475",14,2,11,"3"
"3994","14476",2,0,2,"2"
"3995","14477",2,0,1,"2"
"3996","14478",2,0,1,"2"
"3997","14479",2,0,1,"2"
"3998","14480",8,2,5,"3"
"3999","14481",4,0,2,"2"
"4000","14482",6,2,3,"3"
"4001","14485",8,2,5,"3"
"4002","14486",8,2,4,"3"
"4003","14487",2,0,1,"2"
"4004","14489",18,0,16,"2"
"4005","14502",18,2,21,"3"
"4006","14504",18,0,17,"2"
"4007","14505",0,0,3,"1"
"4008","14506",50,4,40,"3"
"4009","14507",4,0,2,"2"
"4010","14510",6,0,3,"2"
"4011","14511",18,4,11,"3"
"4012","14512",0,0,0,"0"
"4013","14513",14,0,13,"2"
"4014","14514",40,4,34,"3"
"4015","14516",2,0,2,"2"
"4016","14517",2,0,1,"2"
"4017","14519",34,2,29,"3"
"4018","14521",6,0,3,"2"
"4019","14522",18,0,16,"2"
"4020","14525",10,2,6,"3"
"4021","14526",42,4,35,"3"
"4022","14527",4,0,3,"2"
"4023","14529",2,0,1,"2"
"4024","14530",4,0,2,"2"
"4025","14532",20,0,18,"2"
"4026","14533",4,0,2,"2"
"4027","14534",42,4,35,"3"
"4028","14536",2,0,1,"2"
"4029","14537",16,0,15,"2"
"4030","14539",2,0,1,"2"
"4031","14541",6,0,4,"2"
"4032","14542",2,0,2,"2"
"4033","14543",42,4,34,"3"
"4034","14544",6,0,4,"2"
"4035","14545",4,0,2,"2"
"4036","14546",40,4,33,"3"
"4037","14548",18,0,16,"2"
"4038","14549",4,0,2,"2"
"4039","14550",2,0,1,"2"
"4040","14551",2,0,5,"2"
"4041","14555",2,0,2,"2"
"4042","14559",40,4,34,"3"
"4043","14560",0,0,0,"0"
"4044","14561",6,0,4,"2"
"4045","14564",48,4,39,"3"
"4046","14568",26,2,27,"3"
"4047","14569",2,0,2,"2"
"4048","14571",2,0,1,"2"
"4049","14572",2,0,1,"2"
"4050","14580",40,4,33,"3"
"4051","14585",12,2,8,"3"
"4052","14586",44,4,36,"3"
"4053","14588",4,0,3,"2"
"4054","14589",0,0,0,"0"
"4055","14590",0,0,0,"0"
"4056","14591",8,2,4,"3"
"4057","14592",2,0,1,"2"
"4058","14604",42,4,36,"3"
"4059","14605",42,4,36,"3"
"4060","14606",40,4,34,"3"
"4061","14607",42,4,36,"3"
"4062","14608",42,4,36,"3"
"4063","14609",42,4,36,"3"
"4064","14610",42,4,35,"3"
"4065","14611",40,4,34,"3"
"4066","14612",40,4,34,"3"
"4067","14613",40,4,34,"3"
"4068","14614",42,4,36,"3"
"4069","14615",40,4,34,"3"
"4070","14616",40,4,34,"3"
"4071","14617",40,4,34,"3"
"4072","14618",42,4,35,"3"
"4073","14619",40,4,34,"3"
"4074","14620",42,4,35,"3"
"4075","14621",40,4,34,"3"
"4076","14622",42,4,36,"3"
"4077","14623",42,4,35,"3"
"4078","14624",40,4,34,"3"
"4079","14625",42,4,35,"3"
"4080","14626",40,4,34,"3"
"4081","14627",40,4,33,"3"
"4082","14701",6,0,9,"2"
"4083","14706",6,0,4,"2"
"4084","14707",2,0,1,"2"
"4085","14708",0,0,0,"0"
"4086","14709",0,0,0,"0"
"4087","14710",4,0,4,"2"
"4088","14711",0,0,0,"0"
"4089","14712",4,0,4,"2"
"4090","14714",4,0,2,"2"
"4091","14715",2,0,1,"2"
"4092","14716",6,0,5,"2"
"4093","14717",0,0,0,"0"
"4094","14718",10,0,9,"2"
"4095","14719",0,0,0,"0"
"4096","14720",4,0,4,"2"
"4097","14721",4,0,2,"2"
"4098","14722",4,0,4,"2"
"4099","14723",0,0,0,"0"
"4100","14724",0,0,1,"1"
"4101","14726",0,0,0,"0"
"4102","14727",4,0,2,"2"
"4103","14728",6,0,6,"2"
"4104","14729",0,0,1,"1"
"4105","14731",2,0,2,"2"
"4106","14732",4,0,4,"2"
"4107","14733",4,0,4,"2"
"4108","14735",0,0,0,"0"
"4109","14736",12,4,22,"3"
"4110","14737",0,0,0,"0"
"4111","14738",4,0,4,"2"
"4112","14739",4,0,2,"2"
"4113","14740",6,0,6,"2"
"4114","14741",2,0,1,"2"
"4115","14742",4,0,4,"2"
"4116","14743",4,0,2,"2"
"4117","14744",0,0,0,"0"
"4118","14747",4,0,4,"2"
"4119","14748",6,0,4,"2"
"4120","14750",4,0,4,"2"
"4121","14752",6,0,5,"2"
"4122","14753",6,0,4,"2"
"4123","14754",6,0,3,"2"
"4124","14755",2,0,1,"2"
"4125","14756",4,0,4,"2"
"4126","14757",4,0,4,"2"
"4127","14760",6,0,4,"2"
"4128","14767",4,0,4,"2"
"4129","14769",6,0,5,"2"
"4130","14770",4,0,2,"2"
"4131","14772",6,0,5,"2"
"4132","14774",2,0,1,"2"
"4133","14775",0,0,0,"0"
"4134","14777",0,0,0,"0"
"4135","14778",6,0,4,"2"
"4136","14779",6,0,4,"2"
"4137","14781",4,0,4,"2"
"4138","14782",10,0,9,"2"
"4139","14783",6,0,5,"2"
"4140","14784",6,0,5,"2"
"4141","14787",4,0,3,"2"
"4142","14788",4,0,2,"2"
"4143","14801",0,0,0,"0"
"4144","14802",0,0,1,"1"
"4145","14803",0,0,1,"1"
"4146","14804",0,0,1,"1"
"4147","14805",4,0,3,"2"
"4148","14806",2,0,1,"2"
"4149","14807",2,0,2,"2"
"4150","14808",2,0,1,"2"
"4151","14809",0,0,1,"1"
"4152","14810",0,0,0,"0"
"4153","14812",0,0,0,"0"
"4154","14813",2,0,1,"2"
"4155","14814",2,0,2,"2"
"4156","14815",0,0,0,"0"
"4157","14816",2,0,2,"2"
"4158","14817",4,2,3,"3"
"4159","14818",4,0,3,"2"
"4160","14819",0,0,0,"0"
"4161","14820",0,0,0,"0"
"4162","14821",0,0,0,"0"
"4163","14822",0,0,1,"1"
"4164","14823",0,0,1,"1"
"4165","14824",2,0,2,"2"
"4166","14825",4,0,5,"2"
"4167","14826",2,0,1,"2"
"4168","14827",0,0,0,"0"
"4169","14830",2,0,2,"2"
"4170","14836",0,0,0,"0"
"4171","14837",2,0,1,"2"
"4172","14838",2,0,2,"2"
"4173","14839",0,0,1,"1"
"4174","14840",0,0,0,"0"
"4175","14841",4,0,3,"2"
"4176","14842",4,0,3,"2"
"4177","14843",0,0,1,"1"
"4178","14845",4,0,4,"2"
"4179","14846",0,0,0,"0"
"4180","14847",8,2,5,"3"
"4181","14850",6,2,4,"3"
"4182","14853",6,2,4,"3"
"4183","14854",8,2,5,"3"
"4184","14855",0,0,0,"0"
"4185","14856",0,0,1,"1"
"4186","14858",0,0,0,"0"
"4187","14859",2,0,3,"2"
"4188","14860",4,0,2,"2"
"4189","14861",2,0,2,"2"
"4190","14864",4,0,4,"2"
"4191","14865",4,0,4,"2"
"4192","14867",4,2,3,"3"
"4193","14869",4,0,3,"2"
"4194","14870",0,0,0,"0"
"4195","14871",4,0,3,"2"
"4196","14872",4,0,4,"2"
"4197","14873",0,0,0,"0"
"4198","14874",2,0,1,"2"
"4199","14877",0,0,0,"0"
"4200","14878",2,0,2,"2"
"4201","14879",0,0,0,"0"
"4202","14880",2,0,1,"2"
"4203","14881",4,2,3,"3"
"4204","14882",4,2,3,"3"
"4205","14883",0,0,0,"0"
"4206","14884",0,0,0,"0"
"4207","14885",0,0,0,"0"
"4208","14886",8,2,5,"3"
"4209","14889",0,0,0,"0"
"4210","14891",2,0,2,"2"
"4211","14892",4,0,5,"2"
"4212","14893",2,0,1,"2"
"4213","14894",6,0,6,"2"
"4214","14895",2,0,1,"2"
"4215","14897",2,0,1,"2"
"4216","14898",0,0,0,"0"
"4217","14901",6,0,6,"2"
"4218","14903",2,0,2,"2"
"4219","14904",6,0,6,"2"
"4220","14905",6,0,5,"2"
"4221","15001",14,4,21,"3"
"4222","15003",18,6,27,"3"
"4223","15004",2,4,12,"3"
"4224","15005",18,6,24,"3"
"4225","15006",8,2,14,"3"
"4226","15007",12,4,16,"3"
"4227","15009",18,6,22,"3"
"4228","15010",14,4,17,"3"
"4229","15012",0,4,3,"2"
"4230","15014",10,2,14,"3"
"4231","15015",18,4,23,"3"
"4232","15017",30,18,57,"3"
"4233","15018",8,6,11,"3"
"4234","15019",0,0,0,"0"
"4235","15020",6,6,10,"3"
"4236","15021",0,0,1,"1"
"4237","15022",0,4,3,"2"
"4238","15024",26,12,38,"3"
"4239","15025",22,16,36,"3"
"4240","15026",10,2,11,"3"
"4241","15027",22,6,28,"3"
"4242","15028",6,4,9,"3"
"4243","15030",18,10,26,"3"
"4244","15031",22,10,32,"3"
"4245","15033",0,4,3,"2"
"4246","15034",34,18,47,"3"
"4247","15035",46,22,60,"3"
"4248","15037",10,8,15,"3"
"4249","15038",6,10,12,"3"
"4250","15042",20,6,25,"3"
"4251","15043",8,2,9,"3"
"4252","15044",16,4,18,"3"
"4253","15045",30,16,40,"3"
"4254","15046",24,8,32,"3"
"4255","15047",10,4,11,"3"
"4256","15049",26,12,41,"3"
"4257","15050",8,2,9,"3"
"4258","15051",30,12,46,"3"
"4259","15052",10,4,15,"3"
"4260","15053",0,0,1,"1"
"4261","15054",4,0,3,"2"
"4262","15055",14,10,33,"3"
"4263","15056",24,8,33,"3"
"4264","15057",8,6,17,"3"
"4265","15059",10,4,15,"3"
"4266","15060",4,2,10,"3"
"4267","15061",16,6,20,"3"
"4268","15062",0,4,3,"2"
"4269","15063",0,4,3,"2"
"4270","15064",24,12,50,"3"
"4271","15065",14,4,17,"3"
"4272","15066",14,6,18,"3"
"4273","15067",4,4,16,"3"
"4274","15068",6,2,13,"3"
"4275","15071",32,16,50,"3"
"4276","15072",2,6,8,"3"
"4277","15074",16,6,19,"3"
"4278","15075",18,10,26,"3"
"4279","15076",12,2,16,"3"
"4280","15077",16,4,21,"3"
"4281","15078",0,2,1,"2"
"4282","15081",24,8,32,"3"
"4283","15082",10,6,22,"3"
"4284","15083",2,8,5,"3"
"4285","15084",2,0,8,"2"
"4286","15085",30,10,41,"3"
"4287","15086",20,6,25,"3"
"4288","15087",2,8,5,"3"
"4289","15088",18,14,29,"3"
"4290","15089",12,8,17,"3"
"4291","15090",18,4,23,"3"
"4292","15101",32,14,45,"3"
"4293","15102",22,12,32,"3"
"4294","15104",36,18,51,"3"
"4295","15106",44,20,64,"3"
"4296","15108",32,10,45,"3"
"4297","15110",34,18,46,"3"
"4298","15112",46,22,64,"3"
"4299","15116",32,16,47,"3"
"4300","15120",36,18,49,"3"
"4301","15122",34,18,45,"3"
"4302","15126",24,10,35,"3"
"4303","15129",20,10,32,"3"
"4304","15131",38,22,51,"3"
"4305","15132",28,12,40,"3"
"4306","15133",28,12,38,"3"
"4307","15135",12,4,22,"3"
"4308","15136",42,18,62,"3"
"4309","15137",46,22,60,"3"
"4310","15139",28,12,44,"3"
"4311","15140",42,18,58,"3"
"4312","15142",30,18,46,"3"
"4313","15143",24,6,32,"3"
"4314","15144",18,10,26,"3"
"4315","15145",36,18,50,"3"
"4316","15146",34,14,52,"3"
"4317","15147",34,14,50,"3"
"4318","15148",46,18,59,"3"
"4319","15201",36,16,55,"3"
"4320","15202",46,20,65,"3"
"4321","15203",44,18,64,"3"
"4322","15204",38,16,56,"3"
"4323","15205",46,18,66,"3"
"4324","15206",38,18,57,"3"
"4325","15207",36,18,49,"3"
"4326","15208",36,18,51,"3"
"4327","15209",40,16,60,"3"
"4328","15210",40,18,58,"3"
"4329","15211",42,16,61,"3"
"4330","15212",42,16,63,"3"
"4331","15213",44,18,66,"3"
"4332","15214",42,16,61,"3"
"4333","15215",32,16,48,"3"
"4334","15216",40,18,58,"3"
"4335","15217",38,18,57,"3"
"4336","15218",38,18,59,"3"
"4337","15219",44,18,66,"3"
"4338","15220",42,18,61,"3"
"4339","15221",36,18,54,"3"
"4340","15222",44,18,66,"3"
"4341","15223",38,16,57,"3"
"4342","15224",42,18,62,"3"
"4343","15225",40,18,58,"3"
"4344","15226",38,18,56,"3"
"4345","15227",34,18,51,"3"
"4346","15228",32,18,50,"3"
"4347","15229",38,18,53,"3"
"4348","15232",38,18,57,"3"
"4349","15233",42,16,63,"3"
"4350","15234",34,18,52,"3"
"4351","15235",34,18,54,"3"
"4352","15236",32,18,49,"3"
"4353","15237",32,16,45,"3"
"4354","15238",32,16,50,"3"
"4355","15239",24,14,45,"3"
"4356","15241",22,10,33,"3"
"4357","15243",32,18,50,"3"
"4358","15260",44,18,66,"3"
"4359","15290",42,16,63,"3"
"4360","15301",6,6,23,"3"
"4361","15310",0,0,0,"0"
"4362","15311",2,2,15,"3"
"4363","15312",2,2,13,"3"
"4364","15313",4,6,20,"3"
"4365","15314",2,8,15,"3"
"4366","15315",2,0,4,"2"
"4367","15316",0,0,1,"1"
"4368","15317",10,8,28,"3"
"4369","15320",2,2,8,"3"
"4370","15321",18,10,39,"3"
"4371","15322",0,0,3,"1"
"4372","15323",6,6,16,"3"
"4373","15324",2,4,15,"3"
"4374","15325",0,0,3,"1"
"4375","15327",2,0,4,"2"
"4376","15329",2,2,16,"3"
"4377","15330",4,6,22,"3"
"4378","15331",2,6,15,"3"
"4379","15332",10,8,17,"3"
"4380","15333",2,4,11,"3"
"4381","15334",0,0,0,"0"
"4382","15337",0,0,3,"1"
"4383","15338",2,0,7,"2"
"4384","15340",4,4,18,"3"
"4385","15341",0,0,4,"1"
"4386","15342",8,4,23,"3"
"4387","15344",0,0,3,"1"
"4388","15345",0,0,3,"1"
"4389","15346",0,0,3,"1"
"4390","15347",4,4,20,"3"
"4391","15348",2,4,11,"3"
"4392","15349",4,2,9,"3"
"4393","15350",8,8,25,"3"
"4394","15351",0,0,3,"1"
"4395","15352",0,0,1,"1"
"4396","15353",0,0,3,"1"
"4397","15357",0,0,3,"1"
"4398","15358",4,6,20,"3"
"4399","15359",0,0,3,"1"
"4400","15360",2,6,15,"3"
"4401","15361",8,4,22,"3"
"4402","15362",0,0,4,"1"
"4403","15363",8,4,24,"3"
"4404","15364",0,0,3,"1"
"4405","15366",2,4,15,"3"
"4406","15367",8,8,14,"3"
"4407","15368",2,4,11,"3"
"4408","15370",0,0,3,"1"
"4409","15376",6,4,16,"3"
"4410","15377",0,0,0,"0"
"4411","15378",4,4,19,"3"
"4412","15379",2,4,13,"3"
"4413","15380",0,0,0,"0"
"4414","15401",2,4,6,"3"
"4415","15410",0,0,0,"0"
"4416","15411",0,0,3,"1"
"4417","15412",0,4,3,"2"
"4418","15413",2,6,8,"3"
"4419","15417",2,6,8,"3"
"4420","15419",2,6,8,"3"
"4421","15420",2,6,7,"3"
"4422","15421",2,2,6,"3"
"4423","15422",2,4,5,"3"
"4424","15423",2,6,8,"3"
"4425","15424",0,0,1,"1"
"4426","15425",14,8,18,"3"
"4427","15427",2,6,8,"3"
"4428","15428",4,4,7,"3"
"4429","15429",2,4,8,"3"
"4430","15430",4,6,7,"3"
"4431","15431",4,6,8,"3"
"4432","15432",0,4,3,"2"
"4433","15433",2,2,5,"3"
"4434","15434",2,6,8,"3"
"4435","15435",2,4,5,"3"
"4436","15436",4,4,10,"3"
"4437","15437",2,2,6,"3"
"4438","15438",2,6,8,"3"
"4439","15440",0,0,1,"1"
"4440","15442",2,6,8,"3"
"4441","15443",2,2,5,"3"
"4442","15444",2,6,8,"3"
"4443","15445",2,4,6,"3"
"4444","15446",2,0,3,"2"
"4445","15447",0,0,0,"0"
"4446","15448",14,10,20,"3"
"4447","15449",2,4,6,"3"
"4448","15450",0,0,0,"0"
"4449","15451",6,4,10,"3"
"4450","15454",2,2,8,"3"
"4451","15455",4,4,7,"3"
"4452","15456",2,4,6,"3"
"4453","15458",2,4,9,"3"
"4454","15459",2,2,6,"3"
"4455","15460",4,2,9,"3"
"4456","15461",2,2,8,"3"
"4457","15462",2,0,3,"2"
"4458","15463",2,6,7,"3"
"4459","15464",0,0,2,"1"
"4460","15466",0,4,3,"2"
"4461","15467",4,2,9,"3"
"4462","15468",2,4,5,"3"
"4463","15469",0,0,1,"1"
"4464","15470",2,2,6,"3"
"4465","15472",2,4,6,"3"
"4466","15473",2,6,8,"3"
"4467","15474",6,4,10,"3"
"4468","15475",2,6,8,"3"
"4469","15476",2,2,8,"3"
"4470","15477",0,4,3,"2"
"4471","15478",6,6,11,"3"
"4472","15479",14,10,20,"3"
"4473","15480",2,6,9,"3"
"4474","15482",2,6,8,"3"
"4475","15483",0,4,3,"2"
"4476","15484",2,4,6,"3"
"4477","15486",4,6,10,"3"
"4478","15489",2,4,6,"3"
"4479","15490",2,0,3,"2"
"4480","15492",2,8,8,"3"
"4481","15501",0,0,7,"1"
"4482","15502",0,0,5,"1"
"4483","15510",0,0,7,"1"
"4484","15520",0,0,4,"1"
"4485","15521",2,2,3,"3"
"4486","15522",0,0,2,"1"
"4487","15530",0,0,5,"1"
"4488","15531",2,2,10,"3"
"4489","15532",0,0,8,"1"
"4490","15533",0,0,0,"0"
"4491","15534",0,0,0,"0"
"4492","15535",0,0,0,"0"
"4493","15536",0,0,0,"0"
"4494","15537",0,0,0,"0"
"4495","15538",0,0,0,"0"
"4496","15539",0,0,0,"0"
"4497","15540",0,0,2,"1"
"4498","15541",0,0,5,"1"
"4499","15542",0,0,8,"1"
"4500","15544",2,2,7,"3"
"4501","15545",12,2,6,"3"
"4502","15546",2,2,10,"3"
"4503","15547",2,2,11,"3"
"4504","15550",0,0,0,"0"
"4505","15551",0,0,4,"1"
"4506","15552",0,0,8,"1"
"4507","15554",0,0,0,"0"
"4508","15555",0,0,5,"1"
"4509","15557",0,0,5,"1"
"4510","15558",0,0,4,"1"
"4511","15559",0,0,0,"0"
"4512","15560",0,0,4,"1"
"4513","15561",2,2,8,"3"
"4514","15562",0,0,4,"1"
"4515","15563",2,2,7,"3"
"4516","15564",12,2,6,"3"
"4517","15601",12,4,16,"3"
"4518","15610",12,4,13,"3"
"4519","15611",20,8,26,"3"
"4520","15612",14,8,20,"3"
"4521","15613",4,2,11,"3"
"4522","15615",26,12,34,"3"
"4523","15616",12,4,16,"3"
"4524","15617",18,8,22,"3"
"4525","15618",0,2,2,"2"
"4526","15620",12,4,12,"3"
"4527","15621",12,4,15,"3"
"4528","15622",2,0,3,"2"
"4529","15623",12,4,17,"3"
"4530","15624",12,6,14,"3"
"4531","15625",16,8,21,"3"
"4532","15626",16,6,19,"3"
"4533","15627",12,4,12,"3"
"4534","15628",2,2,7,"3"
"4535","15629",4,2,7,"3"
"4536","15631",14,8,19,"3"
"4537","15632",16,6,20,"3"
"4538","15633",14,6,17,"3"
"4539","15634",14,4,19,"3"
"4540","15635",12,6,14,"3"
"4541","15636",18,8,23,"3"
"4542","15637",18,10,21,"3"
"4543","15638",12,4,15,"3"
"4544","15639",12,4,16,"3"
"4545","15640",12,6,15,"3"
"4546","15641",0,2,5,"2"
"4547","15642",36,12,50,"3"
"4548","15644",14,4,19,"3"
"4549","15646",2,2,7,"3"
"4550","15647",26,12,34,"3"
"4551","15650",14,6,15,"3"
"4552","15655",10,2,12,"3"
"4553","15656",4,2,7,"3"
"4554","15658",10,2,12,"3"
"4555","15660",12,8,14,"3"
"4556","15661",12,4,12,"3"
"4557","15662",14,6,16,"3"
"4558","15663",14,6,19,"3"
"4559","15665",18,8,24,"3"
"4560","15666",12,4,16,"3"
"4561","15668",18,8,31,"3"
"4562","15670",12,4,14,"3"
"4563","15671",12,4,11,"3"
"4564","15672",12,6,17,"3"
"4565","15673",4,2,7,"3"
"4566","15675",18,8,23,"3"
"4567","15676",12,4,16,"3"
"4568","15677",0,0,2,"1"
"4569","15678",16,8,19,"3"
"4570","15679",12,6,16,"3"
"4571","15680",0,2,6,"2"
"4572","15681",4,4,5,"3"
"4573","15683",14,8,18,"3"
"4574","15684",12,6,15,"3"
"4575","15686",2,2,3,"3"
"4576","15687",2,0,4,"2"
"4577","15688",12,6,16,"3"
"4578","15689",12,4,15,"3"
"4579","15690",0,2,5,"2"
"4580","15691",18,8,23,"3"
"4581","15692",20,8,31,"3"
"4582","15693",12,2,14,"3"
"4583","15695",12,8,19,"3"
"4584","15696",14,6,15,"3"
"4585","15697",14,6,19,"3"
"4586","15698",12,6,16,"3"
"4587","15701",6,2,5,"3"
"4588","15710",4,0,3,"2"
"4589","15711",2,0,4,"2"
"4590","15712",0,0,1,"1"
"4591","15713",6,2,5,"3"
"4592","15714",2,0,2,"2"
"4593","15715",2,0,4,"2"
"4594","15716",6,2,5,"3"
"4595","15717",6,2,5,"3"
"4596","15721",0,0,1,"1"
"4597","15722",2,0,2,"2"
"4598","15723",2,0,3,"2"
"4599","15724",2,0,2,"2"
"4600","15725",4,2,2,"3"
"4601","15727",4,2,3,"3"
"4602","15728",4,0,6,"2"
"4603","15729",4,0,6,"2"
"4604","15730",2,0,2,"2"
"4605","15731",6,2,5,"3"
"4606","15732",2,0,3,"2"
"4607","15733",2,0,1,"2"
"4608","15734",4,0,6,"2"
"4609","15736",6,0,5,"2"
"4610","15737",2,0,1,"2"
"4611","15738",2,0,2,"2"
"4612","15739",6,2,5,"3"
"4613","15741",0,0,1,"1"
"4614","15742",0,0,1,"1"
"4615","15744",2,0,1,"2"
"4616","15745",4,0,5,"2"
"4617","15746",0,0,1,"1"
"4618","15747",2,0,3,"2"
"4619","15748",6,2,5,"3"
"4620","15750",6,2,5,"3"
"4621","15752",6,2,5,"3"
"4622","15753",0,0,0,"0"
"4623","15754",6,2,5,"3"
"4624","15756",4,2,3,"3"
"4625","15757",6,2,5,"3"
"4626","15759",4,0,5,"2"
"4627","15760",2,0,2,"2"
