GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9E001,C9E002,C9E003,C9E004,C9E005,C67001,C67002,C67003,C67004,C67005,C67006,C67007,C67008,C67009,C67010,C67011,C67012,C67013,C67014,C67015,C67016,C67017,C67018,C67019,C67020,C67021,C67022,C67023,C67024,C67025,C67026
"G2000870","1980","A","2","4","Kansas","20","8440","Jefferson","087",,,,,,,,,,,,,"06",,,,,,,,"JEFFERSON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",15207,14997,51,110,0,0,4,1,1,3,1,11,0,0,0,28,15127,59,0,0,21,241,419,393,196,192,743,1118,280,301,351,311,229,195,185,168,569,1052,1194,1841,1516,821,293,422,1182,696,299
"G2000890","1980","A","2","4","Kansas","20",,"Jewell","089",,,,,,,,,,,,,"04",,,,,,,,"JEWELL COUNTY","0","0","1","1","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0",5241,5218,4,11,0,0,1,0,0,3,0,0,0,0,0,4,5238,2,0,0,1,82,159,126,67,55,205,271,80,92,98,75,67,57,56,58,216,342,283,450,611,285,138,189,640,398,141
"G2000910","1980","A","2","4","Kansas","20","3760","Johnson","091",,,,,,,,,,,,,"B",,,,,,,,"JOHNSON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",270269,262619,3161,661,13,2,198,534,233,387,538,200,17,9,2,1695,266234,2491,149,204,1191,4226,7804,7574,3988,3846,13064,18344,4598,4897,5240,5084,4377,3813,3783,3583,13470,25258,26048,36930,29358,14043,4475,5822,13006,5862,1776
"G2000930","1980","A","2","4","Kansas","20",,"Kearny","093",,,,,,,,,,,,,"01",,,,,,,,"KEARNY COUNTY","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",3435,3180,3,16,0,0,0,0,2,0,1,0,0,0,0,233,2978,433,0,0,24,72,150,125,76,52,173,254,63,62,73,69,52,66,60,56,160,255,251,355,359,164,71,81,216,102,18
"G2000950","1980","A","2","4","Kansas","20",,"Kingman","095",,,,,,,,,,,,,"03",,,,,,,,"KINGMAN COUNTY","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","1",8960,8870,3,15,0,0,3,0,0,1,8,4,0,0,0,56,8876,74,4,0,6,147,247,269,136,118,364,484,157,151,185,153,151,135,123,110,417,632,515,894,924,537,188,342,873,510,198
"G2000970","1980","A","2","4","Kansas","20",,"Kiowa","097",,,,,,,,,,,,,"02",,,,,,,,"KIOWA COUNTY","0","0","1","1","1","0","1","0","0","0","0","0","1","0","1","0","0","0","1","1","0",4046,4019,3,6,0,0,0,0,3,2,1,0,0,0,0,12,4031,9,2,0,4,56,141,133,56,49,163,192,50,56,66,62,73,53,53,67,203,313,234,366,444,251,87,136,432,227,83
"G2000990","1980","A","2","4","Kansas","20",,"Labette","099",,,,,,,,,,,,,"08",,,,,,,,"LABETTE COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",25682,23911,1179,250,3,0,2,1,16,9,23,9,7,0,0,272,25196,435,0,4,47,383,784,736,341,362,1167,1631,476,454,503,505,445,460,351,414,1100,1913,1714,2557,2326,1325,550,824,2425,1440,496
"G2001010","1980","A","2","4","Kansas","20",,"Lane","101",,,,,,,,,,,,,"02",,,,,,,,"LANE COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",2472,2442,0,1,0,0,0,0,0,0,0,0,1,0,0,28,2435,34,0,0,3,42,91,73,36,33,84,160,46,54,42,44,33,20,31,23,106,188,138,273,264,141,43,87,247,140,33
"G2001030","1980","A","2","4","Kansas","20",,"Leavenworth","103",,,,,,,,,,,,,"06",,,,,,,,"LEAVENWORTH COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",54809,47721,5508,272,3,0,83,24,89,166,41,42,31,24,7,798,53495,713,164,47,390,787,1605,1606,802,855,2847,3634,877,1000,970,997,899,981,1081,1001,2913,4489,4917,7404,5237,2564,911,1152,3186,1628,466
"G2001050","1980","A","2","4","Kansas","20",,"Lincoln","105",,,,,,,,,,,,,"02",,,,,,,,"LINCOLN COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0",4145,4120,0,4,1,0,0,0,0,0,1,0,0,0,0,19,4116,21,0,0,8,70,98,107,69,53,144,158,66,60,66,71,53,33,47,52,134,261,235,332,480,244,92,166,508,395,151
"G2001070","1980","A","2","4","Kansas","20",,"Linn","107",,,,,,,,,,,,,"07",,,,,,,,"LINN COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0",8234,8154,35,34,0,0,0,0,0,0,4,1,2,0,0,4,8213,20,0,1,0,119,216,234,113,102,338,495,133,129,136,158,113,88,98,90,253,521,524,813,838,468,218,285,974,601,177
"G2001090","1980","A","2","4","Kansas","20",,"Logan","109",,,,,,,,,,,,,"01",,,,,,,,"LOGAN COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0",3478,3438,25,7,0,0,0,0,0,2,0,0,0,0,0,6,3449,27,0,0,2,59,97,88,55,38,138,219,65,70,70,80,64,47,48,34,159,262,201,332,396,217,62,99,300,210,68
"G2001110","1980","A","2","4","Kansas","20",,"Lyon","111",,,,,,,,,,,,,"05",,,,,,,,"LYON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",35108,33051,764,174,0,0,15,44,16,12,36,38,6,6,0,946,33541,1388,14,23,142,651,1155,1039,517,459,1416,1700,392,467,472,555,903,1195,1292,1191,2956,3843,2511,3091,2593,1293,495,770,2209,1435,508
"G2001130","1980","A","2","4","Kansas","20",,"McPherson","113",,,,,,,,,,,,,"03",,,,,,,,"MCPHERSON COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",26855,26373,184,60,8,1,8,7,12,5,13,64,0,0,2,118,26605,180,13,1,56,410,783,748,321,330,1029,1462,335,421,461,461,555,710,635,582,1434,2089,1791,2638,2641,1333,512,796,2307,1495,576
"G2001150","1980","A","2","4","Kansas","20",,"Marion","115",,,,,,,,,,,,,"03",,,,,,,,"MARION COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",13522,13339,58,34,0,0,0,1,5,5,8,2,0,0,0,70,13382,118,0,10,12,160,320,303,149,156,489,711,202,211,221,236,241,250,241,205,575,821,754,1219,1412,788,315,504,1595,1052,392
"G2001170","1980","A","2","4","Kansas","20",,"Marshall","117",,,,,,,,,,,,,"04",,,,,,,,"MARSHALL COUNTY","0","0","1","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","1","0",12787,12750,6,5,0,0,0,4,5,2,1,1,0,0,0,13,12750,17,1,0,19,171,357,316,128,135,455,641,191,210,265,260,206,145,230,171,541,793,671,1183,1290,881,452,522,1478,818,277
"G2001190","1980","A","2","4","Kansas","20",,"Meade","119",,,,,,,,,,,,,"01",,,,,,,,"MEADE COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",4788,4676,0,12,0,0,2,1,1,0,0,1,0,0,0,95,4623,152,0,0,13,87,140,133,68,57,212,278,73,72,87,95,79,62,56,89,250,358,262,453,542,257,107,125,466,294,86
"G2001210","1980","A","2","4","Kansas","20",,"Miami","121",,,,,,,,,,,,,"07",,,,,,,,"MIAMI COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",21618,20807,617,74,0,0,5,5,25,7,11,0,1,0,0,66,21414,149,2,6,47,325,619,629,283,324,993,1402,400,428,406,499,383,289,335,277,951,1542,1442,2454,2252,1079,418,593,1847,1104,344
"G2001230","1980","A","2","4","Kansas","20",,"Mitchell","123",,,,,,,,,,,,,"02",,,,,,,,"MITCHELL COUNTY","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1","0",8117,8044,16,17,0,0,1,9,1,1,2,13,0,0,0,13,8087,27,1,0,2,122,233,254,108,107,323,459,112,160,166,163,180,159,104,108,336,592,504,690,773,392,167,238,927,529,211
"G2001250","1980","A","2","4","Kansas","20",,"Montgomery","125",,,,,,,,,,,,,"08",,,,,,,,"MONTGOMERY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",42281,38512,2742,535,0,1,14,27,18,16,26,24,0,0,0,366,41636,532,12,4,97,704,1253,1221,592,597,1896,2439,603,724,735,705,719,793,633,607,1886,3068,2710,4323,4009,2353,936,1319,4148,2529,779
"G2001270","1980","A","2","4","Kansas","20",,"Morris","127",,,,,,,,,,,,,"05",,,,,,,,"MORRIS COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",6419,6346,19,22,0,0,3,2,1,1,1,0,0,0,0,24,6355,45,0,0,19,96,152,171,83,64,240,364,99,106,108,123,85,86,73,76,251,380,342,648,634,373,169,239,792,466,199
"G2001290","1980","A","2","4","Kansas","20",,"Morton","129",,,,,,,,,,,,,"01",,,,,,,,"MORTON COUNTY","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0",3454,3274,4,8,0,0,0,0,17,0,0,0,0,0,0,151,3184,255,0,0,15,66,130,122,66,64,201,219,54,55,50,67,68,41,51,63,182,296,234,413,347,174,71,96,195,106,23
"G2001310","1980","A","2","4","Kansas","20",,"Nemaha","131",,,,,,,,,,,,,"06",,,,,,,,"NEMAHA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0",11211,11123,33,16,0,0,4,1,2,4,3,5,0,4,0,16,11178,20,0,0,13,190,346,324,165,139,465,735,193,206,260,234,191,149,164,159,497,729,566,985,1117,607,257,351,1121,774,287
"G2001330","1980","A","2","4","Kansas","20",,"Neosho","133",,,,,,,,,,,,,"08",,,,,,,,"NEOSHO COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",18967,18424,221,80,0,0,5,4,5,14,12,0,0,0,0,202,18592,336,1,0,38,314,561,607,236,231,839,1164,325,308,320,322,321,306,315,290,844,1303,1249,1942,1852,1021,364,605,1820,1131,377
"G2001350","1980","A","2","4","Kansas","20",,"Ness","135",,,,,,,,,,,,,"02",,,,,,,,"NESS COUNTY","0","0","1","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1","0",4498,4473,3,2,0,0,0,0,0,1,0,13,0,0,0,6,4488,9,0,0,1,82,122,123,58,42,175,218,67,69,102,78,75,65,69,53,219,328,237,422,458,256,100,163,521,301,95
"G2001370","1980","A","2","4","Kansas","20",,"Norton","137",,,,,,,,,,,,,"04",,,,,,,,"NORTON COUNTY","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0",6689,6645,15,2,0,0,2,0,0,9,2,1,0,0,0,13,6649,33,1,0,6,79,142,161,62,78,285,375,90,112,127,126,85,85,55,86,256,486,409,725,688,388,146,214,760,503,166
"G2001390","1980","A","2","4","Kansas","20","8440","Osage","139",,,,,,,,,,,,,"07",,,,,,,,"OSAGE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",15319,15154,18,47,0,0,5,1,9,3,6,1,1,0,0,74,15171,116,14,0,18,246,432,450,229,227,735,921,241,279,302,281,263,225,196,196,682,1082,1059,1660,1551,749,320,452,1371,854,316
"G2001410","1980","A","2","4","Kansas","20",,"Osborne","141",,,,,,,,,,,,,"02",,,,,,,,"OSBORNE COUNTY","0","0","1","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0",5959,5917,8,12,0,0,1,0,0,0,4,0,0,0,0,17,5930,16,0,4,9,103,156,157,73,68,205,328,91,98,86,103,81,44,61,75,261,377,272,501,589,379,149,230,737,520,215
"G2001430","1980","A","2","4","Kansas","20",,"Ottawa","143",,,,,,,,,,,,,"03",,,,,,,,"OTTAWA COUNTY","0","0","1","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",5971,5940,7,11,0,0,3,0,2,0,2,0,0,0,0,6,5941,19,0,3,8,81,166,148,61,77,240,326,97,108,123,124,84,68,76,60,232,378,339,661,601,320,119,206,692,421,163
"G2001450","1980","A","2","4","Kansas","20",,"Pawnee","145",,,,,,,,,,,,,"02",,,,,,,,"PAWNEE COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",8065,7616,198,34,0,0,1,2,8,7,28,23,0,6,0,142,7854,184,1,1,25,113,216,197,112,96,298,439,131,139,136,175,119,109,102,104,345,646,544,865,825,471,218,308,814,407,136
"G2001470","1980","A","2","4","Kansas","20",,"Phillips","147",,,,,,,,,,,,,"04",,,,,,,,"PHILLIPS COUNTY","0","0","0","1","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0",7406,7369,15,9,0,0,0,1,1,2,0,1,0,0,0,8,7384,6,1,1,14,115,184,214,99,86,263,436,117,136,136,147,83,80,80,91,260,489,457,755,775,421,189,261,772,532,228
"G2001490","1980","A","2","4","Kansas","20",,"Pottawatomie","149",,,,,,,,,,,,,"05",,,,,,,,"POTTAWATOMIE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",14782,14605,27,49,0,2,4,4,10,19,4,10,0,1,3,44,14648,82,9,0,43,277,461,497,204,194,703,894,220,236,284,259,243,245,247,220,834,1325,1067,1522,1317,678,283,371,1191,766,244
"G2001510","1980","A","2","4","Kansas","20",,"Pratt","151",,,,,,,,,,,,,"02",,,,,,,,"PRATT COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",10275,9982,141,39,1,0,0,0,7,0,5,2,4,4,0,90,10150,83,2,0,40,164,319,286,138,126,361,507,137,138,177,167,213,208,189,150,552,797,615,980,1071,593,218,329,982,628,230
"G2001530","1980","A","2","4","Kansas","20",,"Rawlins","153",,,,,,,,,,,,,"02",,,,,,,,"RAWLINS COUNTY","0","0","1","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0",4105,4090,1,3,0,0,0,0,1,0,0,0,0,0,0,10,4061,23,1,0,20,65,136,102,61,55,167,246,71,64,86,76,54,49,43,57,161,290,247,393,441,227,96,141,429,271,77
"G2001550","1980","A","2","4","Kansas","20",,"Reno","155",,,,,,,,,,,,,"03",,,,,,,,"RENO COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",64983,61708,1472,275,1,0,24,16,15,24,29,24,6,2,1,1386,62806,1941,20,14,202,1059,2059,1905,898,882,2848,3637,996,1020,1147,1168,1244,1378,1231,1145,3613,5702,4541,6889,6297,3368,1200,1834,5132,2831,959
"G2001570","1980","A","2","4","Kansas","20",,"Republic","157",,,,,,,,,,,,,"04",,,,,,,,"REPUBLIC COUNTY","0","0","1","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0",7569,7537,1,7,0,0,0,7,0,0,0,6,0,0,0,11,7554,6,3,0,6,111,178,175,92,85,249,369,109,111,122,115,114,79,92,87,294,441,401,686,822,470,216,280,954,658,259
"G2001590","1980","A","2","4","Kansas","20",,"Rice","159",,,,,,,,,,,,,"03",,,,,,,,"RICE COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0",11900,11549,108,78,0,0,2,0,6,3,7,4,0,1,0,142,11611,259,2,2,26,170,342,311,139,165,450,642,177,200,194,223,208,251,223,191,566,795,618,1203,1258,631,247,429,1287,691,289
"G2001610","1980","A","2","4","Kansas","20",,"Riley","161",,,,,,,,,,,,,"05",,,,,,,,"RILEY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",63505,52733,6764,365,6,2,141,261,164,437,138,80,65,76,32,2241,61006,1087,789,41,582,1198,1965,1847,876,776,2196,2394,565,582,593,752,2622,4331,4680,4295,8139,7211,4609,4571,3003,1525,552,736,1965,1102,420
"G2001630","1980","A","2","4","Kansas","20",,"Rooks","163",,,,,,,,,,,,,"02",,,,,,,,"ROOKS COUNTY","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",7006,6943,16,18,0,0,0,0,4,0,0,5,9,0,0,11,6973,25,0,0,8,103,230,192,86,97,311,427,116,117,145,138,115,93,94,94,304,438,401,600,719,418,146,235,798,440,149
"G2001650","1980","A","2","4","Kansas","20",,"Rush","165",,,,,,,,,,,,,"02",,,,,,,,"RUSH COUNTY","0","0","1","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0",4516,4494,2,3,1,0,0,0,0,0,4,0,0,0,0,12,4491,18,0,0,7,67,110,116,46,45,178,224,62,73,77,88,51,46,44,49,186,281,243,387,527,310,116,189,564,333,104
"G2001670","1980","A","2","4","Kansas","20",,"Russell","167",,,,,,,,,,,,,"02",,,,,,,,"RUSSELL COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",8868,8789,35,20,0,0,2,3,0,0,3,0,0,0,0,16,8843,19,1,0,5,135,241,219,119,95,339,453,108,156,157,143,142,90,122,112,378,648,505,850,998,570,202,344,1049,534,159
"G2001690","1980","A","2","4","Kansas","20",,"Saline","169",,,,,,,,,,,,,"03",,,,,,,,"SALINE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",48905,46307,1464,138,4,0,31,35,39,77,25,135,3,8,1,638,47860,801,62,10,172,798,1468,1409,661,672,2097,2921,789,842,855,910,1007,1160,1045,1012,2848,4324,3644,5330,4718,2356,850,1240,3430,1933,586
"G2001710","1980","A","2","4","Kansas","20",,"Scott","171",,,,,,,,,,,,,"01",,,,,,,,"SCOTT COUNTY","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0",5782,5650,9,17,0,0,3,0,10,7,0,0,0,0,0,86,5665,85,0,6,26,105,181,214,93,116,298,375,92,99,117,123,87,67,76,75,272,487,436,614,555,264,130,161,456,194,95
"G2001730","1980","A","2","4","Kansas","20","9040","Sedgwick","173",,,,,,,,,,,,,"A",,,,,,,,"SEDGWICK COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",366531,319416,31764,3280,7,4,305,705,357,271,490,2141,62,50,12,7667,355275,9066,320,186,1684,6693,11856,11441,5529,5095,16272,21653,5507,5951,6155,6471,6255,6856,7570,7736,24581,36336,28858,38792,37316,19077,6698,8714,21217,10575,3327
"G2001750","1980","A","2","4","Kansas","20",,"Seward","175",,,,,,,,,,,,,"01",,,,,,,,"SEWARD COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",17071,14864,790,95,0,0,6,18,12,7,4,63,1,0,0,1211,15505,1277,3,0,286,381,665,649,285,262,898,1058,247,270,311,319,327,375,402,355,1097,1546,1301,1746,1713,762,246,381,912,440,123
"G2001770","1980","A","2","4","Kansas","20","8440","Shawnee","177",,,,,,,,,,,,,"C",,,,,,,,"SHAWNEE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",154916,137423,11842,1403,5,2,84,144,92,85,155,123,18,8,6,3526,148766,5281,212,54,603,2492,4585,4360,2147,2121,6826,9116,2397,2703,2791,2913,2575,2721,2774,2770,9140,14328,12164,16900,16176,7987,2857,3544,10322,6132,2075
"G2001790","1980","A","2","4","Kansas","20",,"Sheridan","179",,,,,,,,,,,,,"02",,,,,,,,"SHERIDAN COUNTY","0","0","0","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","1","1","0",3544,3535,0,1,0,0,2,0,1,1,0,0,0,1,0,3,3532,3,0,0,9,65,124,108,59,51,172,242,72,71,75,74,57,43,37,44,162,232,206,330,414,185,58,102,263,227,71
"G2001810","1980","A","2","4","Kansas","20",,"Sherman","181",,,,,,,,,,,,,"02",,,,,,,,"SHERMAN COUNTY","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0",7759,7400,16,17,0,0,2,5,0,2,1,0,0,0,0,316,7341,345,0,0,73,101,236,242,113,104,356,515,131,146,147,162,173,201,138,99,325,611,504,857,801,394,139,234,566,346,118
"G2001830","1980","A","2","4","Kansas","20",,"Smith","183",,,,,,,,,,,,,"04",,,,,,,,"SMITH COUNTY","0","0","1","1","1","1","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0",5947,5925,1,5,0,0,1,0,0,2,1,0,4,0,0,8,5934,7,0,0,6,74,147,154,74,68,212,284,79,81,104,107,91,50,54,61,243,350,299,559,676,370,146,222,697,530,215
"G2001850","1980","A","2","4","Kansas","20",,"Stafford","185",,,,,,,,,,,,,"02",,,,,,,,"STAFFORD COUNTY","0","0","0","1","1","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","1",5694,5607,23,6,0,0,2,0,0,0,6,3,0,0,0,47,5614,74,0,0,6,74,155,138,85,46,214,285,74,89,103,88,83,67,56,45,218,382,263,548,570,347,137,258,745,462,162
"G2001870","1980","A","2","4","Kansas","20",,"Stanton","187",,,,,,,,,,,,,"01",,,,,,,,"STANTON COUNTY","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0",2339,2133,5,19,0,0,11,0,1,0,0,0,0,0,0,170,2089,212,1,0,37,52,94,90,46,37,119,153,35,50,51,48,38,39,32,39,119,183,154,299,259,102,32,51,119,74,24
"G2001890","1980","A","2","4","Kansas","20",,"Stevens","189",,,,,,,,,,,,,"01",,,,,,,,"STEVENS COUNTY","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",4736,4498,38,39,0,0,0,0,4,0,1,0,0,0,0,156,4449,225,1,0,61,117,177,184,86,69,245,306,65,79,74,72,72,66,72,79,247,392,314,518,417,256,104,148,366,156,55
"G2001910","1980","A","2","4","Kansas","20",,"Sumner","191",,,,,,,,,,,,,"03",,,,,,,,"SUMNER COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",24928,24191,142,155,0,0,5,3,18,6,6,8,0,0,0,394,24232,618,25,3,50,411,772,803,373,325,1074,1462,377,409,434,477,371,371,383,365,1079,1719,1626,2592,2579,1337,566,803,2322,1368,530
"G2001930","1980","A","2","4","Kansas","20",,"Thomas","193",,,,,,,,,,,,,"02",,,,,,,,"THOMAS COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",8451,8354,19,7,0,0,1,8,1,3,0,6,0,0,0,52,8360,70,0,5,16,151,296,289,120,122,393,502,125,125,165,144,247,309,225,146,472,691,547,833,739,436,123,207,577,365,102
"G2001950","1980","A","2","4","Kansas","20",,"Trego","195",,,,,,,,,,,,,"02",,,,,,,,"TREGO COUNTY","0","0","1","1","1","0","1","0","0","0","0","1","1","1","1","0","0","0","1","1","0",4165,4137,4,6,0,0,0,6,0,0,0,0,0,0,0,12,4143,14,4,0,4,75,136,132,62,52,164,231,62,66,79,84,53,50,64,45,196,310,224,350,428,239,116,136,474,269,68
"G2001970","1980","A","2","4","Kansas","20",,"Wabaunsee","197",,,,,,,,,,,,,"05",,,,,,,,"WABAUNSEE COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",6867,6753,51,11,0,0,2,0,0,2,2,0,0,0,0,46,6807,50,0,0,10,110,180,174,87,81,306,421,129,140,150,150,98,87,71,74,268,424,443,744,706,378,150,223,641,465,167
"G2001990","1980","A","2","4","Kansas","20",,"Wallace","199",,,,,,,,,,,,,"01",,,,,,,,"WALLACE COUNTY","0","0","1","1","1","0","0","1","0","0","0","0","1","1","1","0","0","0","0","1","0",2045,2009,14,5,0,0,0,0,0,1,0,3,0,0,0,13,1987,56,0,0,2,42,65,57,41,29,120,125,32,26,38,33,24,28,25,28,94,172,136,185,221,117,55,62,150,114,26
"G2002010","1980","A","2","4","Kansas","20",,"Washington","201",,,,,,,,,,,,,"04",,,,,,,,"WASHINGTON COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",8543,8514,0,12,0,0,0,2,1,1,3,0,0,0,0,10,8518,10,0,0,15,141,242,219,119,117,302,487,129,156,169,178,127,91,91,106,299,478,433,734,876,480,200,321,1126,691,231
"G2002030","1980","A","2","4","Kansas","20",,"Wichita","203",,,,,,,,,,,,,"01",,,,,,,,"WICHITA COUNTY","0","0","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0",3041,2711,1,1,0,0,1,0,0,3,0,1,0,0,0,323,2654,379,3,1,4,63,127,107,56,49,151,197,59,63,73,69,48,32,53,34,157,236,210,309,331,149,56,67,212,108,25
"G2002050","1980","A","2","4","Kansas","20",,"Wilson","205",,,,,,,,,,,,,"08",,,,,,,,"WILSON COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",12128,11970,29,48,0,0,2,0,8,2,5,1,1,0,1,61,12036,65,1,0,26,205,367,339,158,147,538,734,184,234,216,176,172,130,147,158,500,770,780,1159,1163,697,279,432,1378,811,254
"G2002070","1980","A","2","4","Kansas","20",,"Woodson","207",,,,,,,,,,,,,"07",,,,,,,,"WOODSON COUNTY","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0",4600,4506,27,31,0,0,0,0,3,3,1,0,0,0,0,29,4555,35,3,0,7,68,134,96,67,33,153,209,64,83,78,69,82,60,57,55,179,304,253,396,466,304,121,207,567,365,130
"G2002090","1980","A","2","4","Kansas","20","3760","Wyandotte","209",,,,,,,,,,,,,"B",,,,,,,,"WYANDOTTE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",172335,124664,41506,797,9,3,80,40,88,146,108,217,35,3,1,4638,164235,7130,78,162,730,3171,5694,5350,2642,2638,8367,10836,2916,3018,3198,3327,3162,3166,3152,3229,10529,15032,11905,16922,17097,9073,3200,4616,11726,6367,2002
"G2100010","1980","A","3","6","Kentucky","21",,"Adair","001",,,,,,,,,,,,,"05",,,,,,,,"ADAIR COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1",15233,14682,524,8,0,0,0,0,0,1,3,0,0,0,0,15,15132,63,6,0,32,190,418,372,204,233,683,1019,287,312,301,278,261,277,255,212,636,984,976,1743,1572,853,324,535,1440,701,167
"G2100030","1980","A","3","6","Kentucky","21",,"Allen","003",,,,,,,,,,,,,"05",,,,,,,,"ALLEN COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",14128,13942,176,2,0,0,0,0,3,1,2,0,0,0,0,2,14033,63,4,0,28,227,382,388,181,202,594,870,233,268,265,247,233,217,238,207,597,956,927,1633,1495,856,301,446,1339,678,148
