GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHM001,DHM002,DHM003,DHM004,DHM005
"G0201850","1980","A","4","9","Alaska","02",,"North Slope","185",,,,,,,,,,,,"01",,,,,"NORTH SLOPE",,,"1",,,,,,,"1",,"1","1","1",,,,,,"1",,,"1",,"1","1",,700,201,567,339,261
"G0202010","1980","S","4","9","Alaska","02",,"Prince Of Wales-Outer Ketchikan","201",,,,,,,,,,,,"01",,,,,"PRINCE OF WALES-OUTER KETCHIKAN",,,,,"1","1",,,,"1",,"1","1",,,,,,"1",,,,"1","1",,,,232,374,816,342,197
"G0202200","1980","B","4","9","Alaska","02",,"Sitka","220",,,,,,,,,,,,"01",,,,,"SITKA",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,348,430,1574,900,874
"G0202310","1980","S","4","9","Alaska","02",,"Skagway-Yakutat-Angoon","231",,,,,,,,,,,,"01",,,,,"SKAGWAY-YAKUTAT-ANGOON",,,,,"1","1",,,,,,"1","1","1",,,,"1",,,,,,"1","1","1",,227,318,771,282,275
"G0202400","1980","S","4","9","Alaska","02",,"Southeast Fairbanks","240",,,,,,,,,,,,"01",,,,,"SOUTHEAST FAIRBANKS",,,,,"1",,,,,,,"1","1",,,,"1",,,,,,,,,,,321,245,1274,512,425
"G0202610","1980","S","4","9","Alaska","02",,"Valdez-Cordova","261",,,,,,,,,,,,"01",,,,,"VALDEZ-CORDOVA",,,,,,,,,,"1",,"1","1",,,,,,"1",,,,"1",,"1",,,511,412,1910,1121,733
"G0202700","1980","S","4","9","Alaska","02",,"Wade Hampton","270",,,,,,,,,,,,"01",,,,,"WADE HAMPTON",,,,,"1","1",,,,,,,,"1",,,,,,,,,,,,"1",,1093,129,368,135,143
"G0202800","1980","S","4","9","Alaska","02",,"Wrangell-Petersburg","280",,,,,,,,,,,,"01",,,,,"WRANGELL-PETERSBURG",,,"1",,,,,,,"1",,,"1",,,,,,"1",,,,"1",,,"1",,309,475,1277,759,605
"G0202900","1980","S","4","9","Alaska","02",,"Yukon-Koyukuk","290",,,,,,,,,,,,"01",,,,,"YUKON-KOYUKUK",,,,,"1",,,,,"1",,,"1",,,,"1",,,"1",,,"1",,,,,1010,318,1446,702,539
"G0400010","1980","A","4","8","Arizona","04",,"Apache","001",,,,,,,,,,,,"01",,,,,"APACHE",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,8726,2568,5549,3113,2319
"G0400030","1980","A","4","8","Arizona","04",,"Cochise","003",,,,,,,,,,,,"02",,,,,"COCHISE",,,,,,,,,,,,,,,,,,,,,,,,,,,,9252,5753,16715,9726,6650
"G0400050","1980","A","4","8","Arizona","04",,"Coconino","005",,,,,,,,,,,,"01",,,,,"COCONINO",,,,,,,,,,,,,,,,,,,,,,,,,,,,5554,3264,10457,7158,8002
"G0400070","1980","A","4","8","Arizona","04",,"Gila","007",,,,,,,,,,,,"01",,,,,"GILA",,,,,,,,,,,,,,,,,"1",,,,,,,,,,,4086,4221,8304,3367,1694
"G0400090","1980","A","4","8","Arizona","04",,"Graham","009",,,,,,,,,,,,"02",,,,,"GRAHAM",,,,,,,,,,,,,,,,,,,,,,,,,,,,2730,1919,3820,2139,1176
"G0400110","1980","A","4","8","Arizona","04",,"Greenlee","011",,,,,,,,,,,,"02",,,,,"GREENLEE",,,"1",,,,,,,"1",,,"1",,,,"1",,"1",,,,,,,,,953,902,2394,1023,581
"G0400130","1980","A","4","8","Arizona","04","6200","Maricopa","013",,,,,,,,,,,,"A",,,,,"MARICOPA",,,,,,,,,,,,,,,,,,,,,,,,,,,,112969,107071,307465,192183,161232
"G0400150","1980","A","4","8","Arizona","04",,"Mohave","015",,,,,,,,,,,,"01",,,,,"MOHAVE",,,,,,,,,,,,,,,,,,,,,,,"1",,"1",,,4552,6658,15274,6574,3204
"G0400170","1980","A","4","8","Arizona","04",,"Navajo","017",,,,,,,,,,,,"01",,,,,"NAVAJO",,,,,,,,,,,,,,,,,,,,,,,,,,,,7987,4577,10009,5128,3501
"G0400190","1980","A","4","8","Arizona","04","8520","Pima","019",,,,,,,,,,,,"B",,,,,"PIMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,42377,36484,102314,65114,64296
"G0400210","1980","A","4","8","Arizona","04",,"Pinal","021",,,,,,,,,,,,"02",,,,,"PINAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,9293,16011,6867,4625
"G0400230","1980","A","4","8","Arizona","04",,"Santa Cruz","023",,,,,,,,,,,,"02",,,,,"SANTA CRUZ",,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,3523,1487,2748,1707,1435
"G0400250","1980","A","4","8","Arizona","04",,"Yavapai","025",,,,,,,,,,,,"01",,,,,"YAVAPAI",,,,,,,,,,,,,,,,,,,,,,,,,,,,5744,6160,17144,9116,7368
"G0400270","1980","A","4","8","Arizona","04",,"Yuma","027",,,,,,,,,,,,"02",,,,,"YUMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,12056,6908,16892,8146,5377
"G0500010","1980","A","3","7","Arkansas","05",,"Arkansas","001",,,,,,,,,,,,"07",,,,,"ARKANSAS",,,,,,,,,,,,,,,,,"1","1",,"1",,,,,,,,4710,2765,4633,1319,1176
"G0500030","1980","A","3","7","Arkansas","05",,"Ashley","003",,,,,,,,,,,,"06",,,,,"ASHLEY",,,,,"1",,,,,,"1","1",,,,,,"1","1",,,,"1","1",,,,3998,3203,5458,1261,1163
"G0500050","1980","A","3","7","Arkansas","05",,"Baxter","005",,,,,,,,,,,,"09",,,,,"BAXTER",,,,,"1",,,,,,"1","1",,,,,,,,,,,,"1","1","1",,4738,3616,7554,1896,1761
"G0500070","1980","A","3","7","Arkansas","05","2580","Benton","007",,,,,,,,,,,,"01",,,,,"BENTON",,,,,,,,,,"1",,,"1",,,,"1",,,,,,"1",,,,,10612,7833,17832,6255,5695
"G0500090","1980","A","3","7","Arkansas","05",,"Boone","009",,,,,,,,,,,,"09",,,,,"BOONE",,,,,"1",,,,,,"1","1",,,,,,"1","1",,,,,,,,,3910,2675,6157,1977,1605
"G0500110","1980","A","3","7","Arkansas","05",,"Bradley","011",,,,,,,,,,,,"06",,,,,"BRADLEY",,,,"1","1",,,,,"1","1",,,,,,"1","1",,,,,,,,,,2618,1912,2730,538,682
"G0500130","1980","A","3","7","Arkansas","05",,"Calhoun","013",,,,,,,,,,,,"06",,,,,"CALHOUN",,,"1",,"1","1",,,,"1",,"1",,"1",,,,,,"1",,,"1",,"1","1",,1081,816,1339,217,149
"G0500150","1980","A","3","7","Arkansas","05",,"Carroll","015",,,,,,,,,,,,"09",,,,,"CARROLL",,,"1",,"1",,,,,"1",,"1","1",,,,"1",,"1",,,,,"1",,"1",,2920,1698,3776,1313,1056
"G0500170","1980","A","3","7","Arkansas","05",,"Chicot","017",,,,,,,,,,,,"08",,,,,"CHICOT",,,,,,,,,,,,,,,,,"1",,"1",,,,,,,"1",,3845,1813,2522,776,649
"G0500190","1980","A","3","7","Arkansas","05",,"Clark","019",,,,,,,,,,,,"06",,,,,"CLARK",,,,,,,,,,,,"1","1",,,,"1",,,,,,,,"1",,,3380,2320,3794,1390,2048
"G0500210","1980","A","3","7","Arkansas","05",,"Clay","021",,,,,,,,,,,,"07",,,,,"CLAY",,,,"1","1",,,,,,"1","1","1",,,,,"1","1",,,,,"1",,"1",,6165,1968,3604,756,623
"G0500230","1980","A","3","7","Arkansas","05",,"Cleburne","023",,,,,,,,,,,,"09",,,,,"CLEBURNE",,,"1",,"1",,,,,"1",,,"1",,,,"1","1",,,,,,"1",,"1",,3574,1990,3438,1224,796
