G_ZCTA,ZCTA,year,totWrkE,eduP,hghRskP,hltCrP,retailP
G12122,12122,2018,2120,11.6,21.6,11.32,14.67
G12123,12123,2018,3096,10.59,20.32,9.79,10.89
G12124,12124,2018,230,0,13.04,17.83,10.43
G12125,12125,2018,715,5.59,20.56,18.18,4.34
G12130,12130,2018,349,24.36,9.46,16.62,0
G12131,12131,2018,34,14.71,26.47,14.71,5.88
G12132,12132,2018,98,13.27,14.29,0,0
G12134,12134,2018,1921,9.89,25.3,14.16,9.42
G12136,12136,2018,342,7.6,15.5,5.56,5.85
G12137,12137,2018,955,7.02,21.57,12.77,9.32
G12138,12138,2018,1526,18.09,17.82,17.23,9.11
G12139,12139,2018,82,8.54,17.07,6.1,6.1
G12140,12140,2018,826,8.96,22.76,13.2,4.48
G12143,12143,2018,2497,11.21,14.78,10.61,12.62
G12144,12144,2018,10905,10.41,12.67,14.01,14.18
G12147,12147,2018,245,6.53,22.45,24.08,4.08
G12148,12148,2018,2241,13.07,16.11,9.77,5.44
G12149,12149,2018,1039,12.42,23.68,7.31,15.01
G12150,12150,2018,553,5.79,13.74,28.03,5.61
G12151,12151,2018,466,11.16,22.1,13.73,9.87
G12153,12153,2018,525,7.24,16.19,8.95,2.48
G12154,12154,2018,1457,14.55,28.76,10.3,10.09
G12155,12155,2018,910,17.03,24.07,19.01,8.24
G12156,12156,2018,506,3.75,38.74,17.39,5.34
G12157,12157,2018,1964,14.21,23.83,12.68,10.64
G12158,12158,2018,3948,9.68,12.82,16.31,15.55
G12159,12159,2018,3914,12.24,10.4,15.05,8.18
G12160,12160,2018,363,9.92,22.59,11.29,13.22
G12161,12161,2018,155,0,0,43.23,0
G12164,12164,2018,137,8.03,8.03,48.91,7.3
G12165,12165,2018,94,34.04,17.02,9.57,0
G12166,12166,2018,531,7.16,18.46,12.81,15.07
G12167,12167,2018,1181,9.91,27.6,16.09,10.75
G12168,12168,2018,1071,7.38,26.89,23.81,12.04
G12169,12169,2018,121,13.22,36.36,0,0
G12170,12170,2018,2689,8.48,21.38,10.75,18.45
G12172,12172,2018,179,10.61,11.17,8.94,11.17
G12173,12173,2018,1088,11.12,17.56,22.89,6.62
G12174,12174,2018,178,17.42,17.98,12.92,11.8
G12175,12175,2018,286,6.99,23.43,9.09,4.9
G12176,12176,2018,321,8.72,30.53,17.76,30.53
G12177,12177,2018,174,0,45.4,27.59,4.6
G12180,12180,2018,26019,14.87,12.78,14.52,9.75
G12182,12182,2018,7010,8.35,13.64,18.57,11.83
G12183,12183,2018,1417,10.66,12.35,15.67,6.99
G12184,12184,2018,3188,16.78,17.1,16.88,8.85
G12185,12185,2018,1118,9.75,34.88,14.22,4.74
G12186,12186,2018,3239,13.74,12.72,11.21,7.41
G12187,12187,2018,312,11.54,16.67,43.59,14.74
G12188,12188,2018,6415,10.62,16.55,13.17,11.66
G12189,12189,2018,9353,9.55,14.48,12.7,13.85
G12190,12190,2018,363,3.86,42.42,8.54,1.38
G12192,12192,2018,883,9.29,21.06,17.89,18.46
G12193,12193,2018,810,8.77,22.47,12.84,7.78
G12194,12194,2018,22,13.64,9.09,13.64,9.09
G12195,12195,2018,78,6.41,21.79,0,0
G12196,12196,2018,1803,9.76,12.7,10.26,16.03
G12197,12197,2018,870,9.2,19.43,21.15,15.52
G12198,12198,2018,4355,9,14.31,15.04,9.16
G12202,12202,2018,4576,6.1,7.15,27.99,14.9
G12203,12203,2018,16780,15.23,8.47,16.23,10.42
G12204,12204,2018,4136,10.71,5.9,14.97,11.03
G12205,12205,2018,14460,9.4,10.94,16.1,10.68
G12206,12206,2018,6356,6.7,11.01,31.53,7.24
G12207,12207,2018,650,4.62,11.69,26.31,6.62
G12208,12208,2018,12261,14.79,6.27,17.91,7.5
G12209,12209,2018,4983,6.92,6.22,20.81,8.69
G12210,12210,2018,6072,10.11,7.15,18.81,10.44
G12211,12211,2018,5401,13.26,13.44,16.7,6.98
G12222,12222,2018,1736,25.06,2.25,5.13,30.82
G12302,12302,2018,13263,11.82,13.47,17.12,11.91
G12303,12303,2018,13869,11.35,12.03,13.09,11.11
G12304,12304,2018,10787,9.13,11.53,18.83,13.38
G12305,12305,2018,2189,21.33,8.5,16.81,7.86
G12306,12306,2018,13387,10.56,12.13,16.28,11.97
G12307,12307,2018,2397,3.92,5.05,27.16,22.24
G12308,12308,2018,7109,11.77,13.11,15.6,12.14
G12309,12309,2018,14546,14.07,12.18,16.65,9.4
G12401,12401,2018,17554,10.99,14.12,20.34,12.33
G12404,12404,2018,1802,10.49,11.21,17.48,12.49
G12405,12405,2018,373,1.07,20.38,20.64,16.09
G12406,12406,2018,489,9.41,37.42,5.93,8.38
G12407,12407,2018,51,27.45,11.76,5.88,11.76
G12409,12409,2018,402,22.64,9.2,20.4,1.49
G12410,12410,2018,184,4.89,30.98,0,6.52
G12411,12411,2018,235,18.72,17.87,22.13,17.45
G12412,12412,2018,123,20.33,0,22.76,0
G12413,12413,2018,1314,16.21,18.49,12.1,17.05
G12414,12414,2018,3875,8,13.94,15.61,17.03
G12416,12416,2018,79,0,11.39,0,49.37
G12417,12417,2018,271,0,32.84,39.11,17.71
G12418,12418,2018,276,10.14,20.29,1.09,9.42
G12419,12419,2018,270,22.59,25.19,0,4.44
G12420,12420,2018,226,27.43,9.73,0,0
G12421,12421,2018,141,10.64,10.64,18.44,0
G12422,12422,2018,152,11.18,9.21,8.55,38.16
G12423,12423,2018,481,12.68,22.04,16.63,10.81
G12424,12424,2018,135,7.41,5.19,20,0
G12427,12427,2018,219,4.11,40.18,11.87,0
G12428,12428,2018,3023,5.86,19.62,15.75,7.34
G12429,12429,2018,83,18.07,24.1,0,0
G12430,12430,2018,420,6.67,21.43,7.38,12.62
G12431,12431,2018,505,21.98,15.25,6.14,16.63
G12432,12432,2018,209,27.75,0,7.66,8.61
G12433,12433,2018,257,19.84,17.9,13.23,5.84
G12434,12434,2018,348,24.71,35.34,9.48,2.3
G12435,12435,2018,157,15.29,8.92,28.66,5.73
G12436,12436,2018,20,0,0,0,0
G12438,12438,2018,22,0,0,0,0
G12439,12439,2018,94,0,12.77,18.09,0
G12440,12440,2018,1030,15.15,10.19,16.6,11.55
G12441,12441,2018,8,0,0,0,0
G12442,12442,2018,302,9.6,15.23,5.3,8.28
G12443,12443,2018,1958,13.59,14.86,18.95,12.1
G12444,12444,2018,259,15.83,8.49,7.72,11.97
G12446,12446,2018,2518,5.72,10.41,15.05,27.12
G12448,12448,2018,240,21.67,8.75,13.75,11.67
G12449,12449,2018,1398,13.66,11.73,23.46,14.81
G12450,12450,2018,0,NA,NA,NA,NA
G12451,12451,2018,921,7.06,25.62,19.87,7.93
G12452,12452,2018,100,11,21,25,6
G12453,12453,2018,145,0,13.1,0,0
G12454,12454,2018,193,4.15,27.98,2.07,7.77
G12455,12455,2018,632,7.59,10.92,11.08,14.56
G12456,12456,2018,409,7.33,12.47,23.47,14.67
G12457,12457,2018,389,0,16.71,4.11,27.51
G12458,12458,2018,882,12.81,20.63,8.39,13.61
G12459,12459,2018,80,23.75,0,12.5,13.75
G12460,12460,2018,131,9.16,13.74,0,36.64
G12461,12461,2018,1004,20.62,13.75,12.85,13.25
G12463,12463,2018,899,5.67,14.02,19.58,13.46
G12464,12464,2018,310,18.39,11.29,12.9,11.29
G12465,12465,2018,38,0,28.95,0,10.53
G12466,12466,2018,1251,11.43,8.07,13.43,14.79
G12468,12468,2018,460,8.26,17.61,7.61,14.13
G12469,12469,2018,298,8.39,38.59,6.71,16.11
G12470,12470,2018,186,15.05,19.89,3.76,0
G12471,12471,2018,200,0,14,17,36.5
G12472,12472,2018,829,10.98,27.26,15.44,10.13
G12473,12473,2018,418,7.89,32.3,15.55,0
G12474,12474,2018,587,9.37,33.73,14.48,0.68
G12475,12475,2018,114,0,52.63,7.02,10.53
G12477,12477,2018,9107,9.4,19.24,14.1,12.31
G12480,12480,2018,279,17.92,26.52,3.94,20.43
G12481,12481,2018,774,17.83,27,3.88,9.3
G12482,12482,2018,108,5.56,23.15,25,0
G12483,12483,2018,192,0,0,19.79,21.35
G12484,12484,2018,1116,9.77,16.58,8.33,20.88
G12485,12485,2018,893,1.23,25.2,12.88,2.8
G12486,12486,2018,814,18.18,11.18,19.04,9.95
G12487,12487,2018,2061,7.18,22.61,19.84,18.83
G12489,12489,2018,142,2.11,24.65,13.38,9.86
G12490,12490,2018,14,0,100,0,0
G12491,12491,2018,653,25.27,8.73,10.11,9.49
G12492,12492,2018,76,26.32,32.89,11.84,0
G12493,12493,2018,109,8.26,0,91.74,0
G12494,12494,2018,371,20.22,14.56,12.4,0
G12495,12495,2018,148,9.46,25,9.46,6.08
G12496,12496,2018,654,9.02,25.84,7.8,9.17
G12498,12498,2018,2273,14.12,10.95,14.43,8.93
G12501,12501,2018,1197,15.46,30.83,4.76,20.47
G12502,12502,2018,552,13.95,26.63,17.21,8.51
G12503,12503,2018,287,8.36,26.83,10.1,7.32
G12504,12504,2018,587,49.23,4.77,1.02,7.84
G12507,12507,2018,113,26.55,15.04,6.19,24.78
G12508,12508,2018,9353,9.57,12.54,12.45,9.84
G12512,12512,2018,89,0,67.42,0,32.58
G12513,12513,2018,181,15.47,11.05,28.18,6.08
G12514,12514,2018,1492,18.23,17.16,14.88,5.76
G12515,12515,2018,698,24.5,15.33,4.44,9.03
G12516,12516,2018,662,12.24,19.03,15.56,9.82
G12517,12517,2018,257,0,28.4,26.85,8.56
G12518,12518,2018,3047,14.7,12.34,15,14.47
G12520,12520,2018,1577,20.74,18.26,15.79,11.03
G12521,12521,2018,673,9.51,21.25,10.55,4.31
G12522,12522,2018,2043,9.4,20.31,17.72,14.98
G12523,12523,2018,853,10.55,14.07,16.65,16.18
G12524,12524,2018,7072,10.07,15.03,13.5,13.6
G12525,12525,2018,1469,16,23.42,6.81,11.3
G12526,12526,2018,1890,12.38,17.57,11.9,15.29
G12527,12527,2018,0,NA,NA,NA,NA
G12528,12528,2018,6212,12.09,14.68,17.77,11.51
G12529,12529,2018,1283,6.78,21.98,15.12,19.41
G12530,12530,2018,50,50,0,50,0
G12531,12531,2018,1548,15.7,19.96,14.99,12.53
G12533,12533,2018,12614,13.5,17.46,10.96,11.82
G12534,12534,2018,8146,7.94,18.56,22.31,9.33
G12538,12538,2018,6370,14.95,12.89,15.86,11.81
G12540,12540,2018,4224,18.18,22.8,13.09,6.34
G12542,12542,2018,2790,13.76,21.43,15.13,12.97
G12543,12543,2018,1975,5.16,8.35,15.65,14.73
G12545,12545,2018,2422,14.41,19.65,12.01,5.57
G12546,12546,2018,1447,8.98,19.35,12.37,9.54
G12547,12547,2018,1698,15.55,18.9,17.26,5.77
G12548,12548,2018,608,9.87,13.49,20.56,12.66
G12549,12549,2018,5600,12.2,14.38,11.36,11.96
G12550,12550,2018,25335,10.96,15.96,13.05,12.46
G12553,12553,2018,13157,10.69,11.86,15.85,14.59
G12561,12561,2018,9114,17.51,11.29,14.93,12.68
G12563,12563,2018,4182,9.25,11.02,17.36,16.04
G12564,12564,2018,3506,14.52,15.46,11.72,11.69
G12565,12565,2018,556,6.65,10.97,16.91,19.24
G12566,12566,2018,5289,9.25,16.17,14.29,14.96
G12567,12567,2018,1469,10.62,30.29,10.89,8.51
G12569,12569,2018,5436,8.13,20.58,17.16,13.06
G12570,12570,2018,3874,16.91,16.42,14.61,10.76
G12571,12571,2018,4950,21.45,14.12,12.85,8.97
G12572,12572,2018,3783,17.82,10.65,22.6,12.98
G12574,12574,2018,161,27.33,9.94,1.24,3.73
G12575,12575,2018,1272,7.47,24.84,10.38,2.59
G12577,12577,2018,971,10.5,14.42,14.93,7.11
G12578,12578,2018,1079,13.35,17.61,12.51,14.74
G12580,12580,2018,2111,11.51,22.36,13.45,8.53
G12581,12581,2018,1358,8.54,19.96,14.06,8.25
G12582,12582,2018,2223,13.36,13.81,9.99,12.06
G12583,12583,2018,1323,21.77,12.24,12.93,10.13
G12585,12585,2018,388,11.86,14.95,15.21,11.6
G12586,12586,2018,6165,10.66,15.54,16.35,16.58
G12589,12589,2018,7317,14.16,15.5,13.48,11.17
G12590,12590,2018,18401,11.28,17.38,14.74,12.69
G12592,12592,2018,604,5.79,23.68,23.34,9.6
G12594,12594,2018,2160,8.94,22.55,13.98,11.9
G12601,12601,2018,20160,12.6,11.97,18.82,12.43
G12603,12603,2018,21599,16.74,13.09,16.99,12.13
G12604,12604,2018,236,68.22,0,0.85,0
G12701,12701,2018,4281,5.63,9.62,19.22,20.86
G12719,12719,2018,575,10.26,16.35,20.35,6.09
G12720,12720,2018,46,0,0,28.26,39.13
G12721,12721,2018,3127,6.78,17.72,17.08,15.73
G12722,12722,2018,31,0,0,100,0
G12723,12723,2018,681,12.33,14.98,19.82,10.28
G12724,12724,2018,109,11.01,22.94,14.68,0
G12725,12725,2018,58,10.34,0,22.41,0
G12726,12726,2018,594,7.41,16.33,21.04,12.46
G12729,12729,2018,759,10.41,14.89,23.19,8.43
G12732,12732,2018,327,3.67,14.37,27.22,9.48
G12733,12733,2018,406,26.85,12.81,10.59,10.1
G12734,12734,2018,435,11.26,17.7,18.85,7.82
G12736,12736,2018,24,12.5,37.5,0,16.67
G12737,12737,2018,796,13.07,12.19,16.71,17.71
G12738,12738,2018,136,0,24.26,22.06,11.76
G12740,12740,2018,892,11.88,12.89,18.27,6.05
G12741,12741,2018,86,13.95,2.33,19.77,0
G12742,12742,2018,31,0,32.26,12.9,35.48
G12743,12743,2018,112,17.86,16.07,27.68,9.82
G12745,12745,2018,73,9.59,8.22,0,5.48
G12746,12746,2018,467,16.06,16.06,14.78,4.07
G12747,12747,2018,940,10.43,10.74,17.45,11.17
G12748,12748,2018,1159,11.22,22.95,12.42,5
G12749,12749,2018,238,8.4,17.23,15.97,0
G12750,12750,2018,154,8.44,25.32,18.18,3.9
G12751,12751,2018,377,22.55,6.9,30.77,13.79
G12752,12752,2018,131,7.63,12.98,12.98,0
G12754,12754,2018,2715,10.02,19.3,21.51,11.79
G12758,12758,2018,2074,17.02,8.24,19.96,12.54
G12759,12759,2018,587,23.17,9.37,30.32,2.04
G12760,12760,2018,117,17.95,5.98,2.56,0
G12762,12762,2018,237,0,0,23.21,5.06
G12763,12763,2018,307,10.42,16.29,30.94,14.33
G12764,12764,2018,673,6.69,12.63,15.3,10.4
G12765,12765,2018,547,28.88,25.96,19.01,0
G12766,12766,2018,103,4.85,21.36,0,31.07
G12767,12767,2018,72,5.56,5.56,0,12.5
G12768,12768,2018,381,11.55,5.77,32.81,0
G12769,12769,2018,84,0,17.86,53.57,0
G12770,12770,2018,139,26.62,21.58,10.79,7.19
G12771,12771,2018,7053,8.83,18.45,19.84,13.09
G12775,12775,2018,953,19.94,9.44,13.96,15.95
G12776,12776,2018,1071,13.26,19.33,24.46,7.75
G12777,12777,2018,441,15.42,14.97,12.47,9.3
G12778,12778,2018,340,2.35,21.47,17.94,9.71
G12779,12779,2018,651,2.46,14.59,12.6,12.29
G12780,12780,2018,851,8.11,17.86,6.82,20.92
G12781,12781,2018,117,0,17.95,13.68,0
G12783,12783,2018,753,14.61,22.71,20.58,2.12
G12784,12784,2018,6,0,0,0,0
G12785,12785,2018,448,10.71,15.4,11.16,19.87
G12786,12786,2018,91,12.09,47.25,18.68,10.99
G12787,12787,2018,168,17.86,14.29,31.55,19.64
G12788,12788,2018,969,15.38,12.9,22.81,17.85
G12789,12789,2018,960,21.25,3.44,18.12,16.77
G12790,12790,2018,2104,10.46,18.87,8.56,16.92
G12791,12791,2018,243,28.4,22.22,23.46,0
G12792,12792,2018,65,0,30.77,15.38,53.85
G12801,12801,2018,7410,10.45,17.19,17.38,14.91
G12803,12803,2018,4438,9.85,19.47,18.27,15.48
G12804,12804,2018,13538,13.54,13.24,18.27,12.08
G12808,12808,2018,154,8.44,12.99,18.18,4.55
G12809,12809,2018,1810,9.83,25.64,16.63,10.99
G12810,12810,2018,374,9.09,27.81,22.73,6.42
G12811,12811,2018,12,50,0,50,0
G12812,12812,2018,51,25.49,27.45,0,0
G12814,12814,2018,615,8.29,14.96,7.15,14.31
G12815,12815,2018,502,11.35,23.11,5.98,3.59
G12816,12816,2018,1984,14.11,30.09,13.21,5.65
G12817,12817,2018,1175,12.6,14.98,10.81,13.02
G12819,12819,2018,141,3.55,18.44,12.06,10.64
G12821,12821,2018,78,0,35.9,0,10.26
G12822,12822,2018,2890,9.38,19.93,17.47,14.6
G12823,12823,2018,171,0,24.56,7.6,12.28
G12824,12824,2018,576,7.81,10.07,19.1,9.72
G12827,12827,2018,1963,9.12,25.32,12.07,12.68
G12828,12828,2018,4428,7.54,17.28,17.75,16.49
G12831,12831,2018,8939,15.89,18.95,12.85,11.05
G12832,12832,2018,2907,8.74,31.82,16.92,15.41
G12833,12833,2018,2032,8.66,20.03,12.06,13.24
G12834,12834,2018,3567,11.58,22.15,12.92,14.41
G12835,12835,2018,925,16.54,16.76,13.3,14.81
G12836,12836,2018,318,3.77,24.53,9.75,8.81
G12837,12837,2018,558,4.12,25.09,19.89,13.8
G12838,12838,2018,283,21.2,23.67,13.07,15.55
G12839,12839,2018,6600,7.36,26.92,13.97,15.42
G12841,12841,2018,48,12.5,35.42,22.92,0
G12842,12842,2018,319,19.44,34.48,9.72,3.13
G12843,12843,2018,114,21.93,24.56,18.42,0
G12844,12844,2018,102,17.65,10.78,3.92,33.33
G12845,12845,2018,2033,8.95,12.44,16.48,15.3
G12846,12846,2018,1502,7.32,22.44,12.38,12.52
G12847,12847,2018,176,30.68,5.11,3.98,12.5
G12849,12849,2018,118,0,50,0,24.58
G12850,12850,2018,1641,15.72,24.44,16.21,9.08
G12851,12851,2018,158,16.46,18.35,7.59,8.86
G12852,12852,2018,177,27.68,18.08,3.39,5.65
G12853,12853,2018,627,11.64,24.24,15.31,14.99
G12855,12855,2018,114,6.14,19.3,21.93,13.16
G12856,12856,2018,128,28.91,5.47,0,36.72
G12857,12857,2018,236,13.56,27.12,11.44,3.81
G12858,12858,2018,53,0,7.55,13.21,64.15
G12859,12859,2018,1216,6.25,22.7,17.52,16.53
G12860,12860,2018,303,1.65,28.05,21.45,14.85
G12861,12861,2018,206,9.71,26.7,7.77,11.17
G12862,12862,2018,0,NA,NA,NA,NA
G12863,12863,2018,354,11.3,21.47,7.06,19.77
G12864,12864,2018,11,0,0,0,0
G12865,12865,2018,1642,13.03,35.14,7.49,13.82
G12866,12866,2018,19858,16.62,18.29,13.79,7.82
G12870,12870,2018,558,14.16,7.71,6.63,10.22
G12871,12871,2018,2365,9.77,24.4,12.73,12.3
G12872,12872,2018,36,33.33,11.11,0,0
G12873,12873,2018,474,7.81,40.72,6.12,19.83
G12874,12874,2018,47,4.26,19.15,19.15,8.51
G12878,12878,2018,257,7.78,23.35,22.18,15.95
G12883,12883,2018,2376,11.2,27.06,17.55,14.39
G12884,12884,2018,249,3.21,16.06,17.27,16.47
G12885,12885,2018,2010,5.97,23.68,11.24,12.89
G12886,12886,2018,100,0,47,8,0
G12887,12887,2018,2041,5.98,31.46,16.36,14.36
G12901,12901,2018,15429,13.41,16.84,15.55,16.67
G12903,12903,2018,517,11.8,11.61,27.66,6.77
G12910,12910,2018,598,9.03,26.76,18.56,7.36
G12911,12911,2018,19,0,0,0,31.58
G12912,12912,2018,943,9.01,23.12,17.29,8.06
G12913,12913,2018,614,12.21,11.73,26.06,7
G12914,12914,2018,330,15.76,6.67,14.85,7.88
G12916,12916,2018,822,14.48,20.8,20.56,13.14
G12917,12917,2018,643,6.22,28.3,18.51,8.4
G12918,12918,2018,1054,13.95,16.32,26.85,4.27
G12919,12919,2018,1236,2.18,30.26,19.42,6.23
G12920,12920,2018,1063,10.91,22.58,13.26,8.28
G12921,12921,2018,1289,11.95,28.39,8.92,15.13
G12922,12922,2018,22,13.64,18.18,0,9.09
G12923,12923,2018,281,15.3,26.33,9.61,12.46
G12924,12924,2018,50,0,18,22,14
G12926,12926,2018,1040,9.33,20.38,21.83,14.9
G12927,12927,2018,78,16.67,19.23,2.56,3.85
G12928,12928,2018,808,7.3,36.51,11.51,8.91
G12929,12929,2018,282,9.22,14.89,17.02,21.28
G12930,12930,2018,311,9.97,22.19,23.15,9
G12932,12932,2018,498,15.66,9.44,22.49,13.86
G12933,12933,2018,25,16,48,0,12
G12934,12934,2018,390,13.59,23.85,14.87,7.18
G12935,12935,2018,715,6.71,26.43,16.5,8.39
G12936,12936,2018,184,15.22,16.3,23.37,3.26
G12937,12937,2018,838,14.2,18.26,13.25,9.07
G12939,12939,2018,117,23.08,27.35,15.38,5.13
G12941,12941,2018,656,11.28,20.58,17.38,8.84
G12942,12942,2018,421,19.24,11.16,5.7,24.7
G12943,12943,2018,184,16.3,18.48,3.26,15.22
G12944,12944,2018,1845,6.99,22.28,16.26,19.24
G12945,12945,2018,275,10.18,5.09,18.18,14.55
G12946,12946,2018,2568,6.54,10.9,8.49,18.65
G12950,12950,2018,402,3.98,25.87,17.41,14.93
G12952,12952,2018,138,2.9,41.3,2.9,23.91
G12953,12953,2018,4973,13.67,13.47,19.53,13.49
G12955,12955,2018,160,10,26.25,15,5.62
G12956,12956,2018,623,8.51,23.27,24.56,23.92
G12957,12957,2018,719,21.97,10.57,26.01,17.25
G12958,12958,2018,1258,6.84,22.89,5.72,13.28
G12959,12959,2018,467,5.35,7.49,15.63,20.34
G12960,12960,2018,423,4.73,43.26,38.3,1.89
G12961,12961,2018,14,0,0,100,0
G12962,12962,2018,3062,14.24,16.72,15.61,11.01
G12964,12964,2018,98,9.18,33.67,12.24,3.06
G12965,12965,2018,209,13.4,13.4,13.4,15.31
G12966,12966,2018,1195,9.54,16.07,25.1,12.22
G12967,12967,2018,521,9.4,20.54,13.05,15.16
G12969,12969,2018,144,3.47,15.97,25,4.17
G12970,12970,2018,478,33.47,11.3,8.79,14.44
G12972,12972,2018,2808,20.44,17.24,16.77,10.9
G12973,12973,2018,31,16.13,16.13,9.68,6.45
G12974,12974,2018,727,7.43,34.94,20.91,7.57
G12975,12975,2018,153,31.37,6.54,5.23,7.84
G12976,12976,2018,115,20.87,6.96,26.09,13.04
G12977,12977,2018,70,0,100,0,0
G12978,12978,2018,108,0,0,21.3,13.89
G12979,12979,2018,1058,9.83,23.35,8.88,11.06
G12980,12980,2018,387,12.4,17.57,14.21,7.75
G12981,12981,2018,1133,23.04,22.86,8.56,13.33
G12983,12983,2018,3674,14.83,5.99,20.39,11.76
G12985,12985,2018,639,16.12,25.2,2.82,10.95
G12986,12986,2018,2826,8.17,13.94,26.72,7.22
G12987,12987,2018,90,0,3.33,31.11,16.67
G12989,12989,2018,525,19.43,6.86,15.43,11.81
G12992,12992,2018,2109,8.44,24.85,15.98,10.38
G12993,12993,2018,656,12.2,23.78,19.05,8.23
G12996,12996,2018,1052,9.89,23.57,18.44,9.89
G12997,12997,2018,742,10.51,16.58,11.19,8.76
G12998,12998,2018,158,7.59,53.16,20.89,0
G13020,13020,2018,60,11.67,30,15,5
G13021,13021,2018,17971,10.97,20.93,17.87,11.74
G13024,13024,2018,0,NA,NA,NA,NA
G13026,13026,2018,1000,32.9,24.7,3.1,7
G13027,13027,2018,16861,12.96,17.44,17.1,9.14
G13028,13028,2018,513,10.92,38.6,8.97,4.09
G13029,13029,2018,3828,9.87,18.73,12.7,8.86
G13030,13030,2018,1975,8.71,24.05,8.76,12.05
G13031,13031,2018,7810,14.15,16.07,15.21,12.68
G13032,13032,2018,6016,8.03,21.41,16.07,9.97
G13033,13033,2018,1934,10.7,25.03,12.62,12.41
G13034,13034,2018,979,12.67,26.05,18.59,7.66
G13035,13035,2018,4176,16.45,18.32,12.93,9.84
G13036,13036,2018,4430,7.81,26.55,14.7,12.14
G13037,13037,2018,4754,12.83,19.04,12.92,12.68
G13039,13039,2018,8981,10.77,17.34,15.17,14.81
G13040,13040,2018,1175,13.87,33.7,10.38,11.83
G13041,13041,2018,6036,12.16,16.92,15.87,12.11
G13042,13042,2018,1107,8.22,34.78,12.38,9.67
G13044,13044,2018,1355,10.63,30.77,11.22,9.89
G13045,13045,2018,14118,20.21,17.21,17.03,10.01
G13051,13051,2018,123,9.76,44.72,45.53,0
G13052,13052,2018,599,13.19,37.56,11.85,9.35
G13053,13053,2018,2359,27,12.97,18.27,10.47
G13054,13054,2018,747,7.23,14.59,27.84,0
G13057,13057,2018,6957,11.3,14.45,15.16,11.31
G13060,13060,2018,1377,20.19,15.69,14.74,5.08
G13061,13061,2018,542,8.86,25.65,12.73,11.99
G13062,13062,2018,15,53.33,0,0,0
G13063,13063,2018,1340,14.1,27.84,13.21,10.22
G13064,13064,2018,74,51.35,0,0,17.57
G13066,13066,2018,6417,17.11,8.68,23.3,9.82
G13068,13068,2018,2762,23.97,15.93,17.49,13.14
G13069,13069,2018,10227,10.35,21.9,15.22,11.71
G13071,13071,2018,447,19.69,31.32,17.9,9.84
G13072,13072,2018,387,11.89,42.64,12.66,6.98
G13073,13073,2018,3606,22.21,18.75,8.4,6.99
G13074,13074,2018,1728,8.28,26.27,15.05,16.26
G13076,13076,2018,1213,5.69,36.11,9.56,13.19
G13077,13077,2018,3825,17.33,15.58,14.43,8.78
G13078,13078,2018,4621,19.09,13.59,19.76,7.47
G13080,13080,2018,1537,6.96,27.46,13.14,16.79
G13081,13081,2018,631,26.78,30.27,9.19,7.45
G13082,13082,2018,2299,9.96,20.31,18.4,17.31
G13083,13083,2018,1022,14.38,24.95,16.14,7.44
G13084,13084,2018,1812,13.25,25.44,14.51,5.57
G13087,13087,2018,9,33.33,33.33,0,33.33
G13088,13088,2018,11503,12.34,13.54,18.34,12.39
G13090,13090,2018,16189,12.29,14.83,16.26,12.71
G13092,13092,2018,1252,13.58,29.47,13.66,9.27
G13101,13101,2018,1170,13.25,30.26,15.3,9.91
G13102,13102,2018,8,0,0,0,0
G13103,13103,2018,130,0,14.62,10.77,7.69
G13104,13104,2018,7768,15.64,14.5,18.72,9.15
G13108,13108,2018,3132,15.52,20.98,11.56,9.42
G13110,13110,2018,1116,14.61,19.35,11.65,12.28
G13111,13111,2018,663,4.37,43.59,8.3,15.23
G13112,13112,2018,870,21.15,27.13,9.54,18.97
G13113,13113,2018,142,11.97,33.8,9.15,9.15
G13114,13114,2018,2991,9.16,33.37,13.14,9.46
G13115,13115,2018,110,6.36,24.55,25.45,3.64
G13116,13116,2018,1614,16.29,8.92,18.46,14.87
G13117,13117,2018,136,12.5,30.88,22.79,7.35
G13118,13118,2018,2504,13.74,29.27,11.82,10.7
G13120,13120,2018,1169,16.34,11.8,23.01,11.89
G13122,13122,2018,620,5.65,24.35,13.55,10.16
G13123,13123,2018,170,61.76,26.47,0,0
G13124,13124,2018,46,10.87,41.3,0,6.52
G13126,13126,2018,16112,15.88,21.61,16.59,10.95
G13131,13131,2018,1684,13.24,24.76,18.47,13
G13132,13132,2018,1576,5.77,28.24,10.09,14.85
G13134,13134,2018,97,8.25,46.39,3.09,0
G13135,13135,2018,3313,12.56,21.82,13.13,13.61
G13136,13136,2018,180,7.22,53.89,8.89,4.44
G13138,13138,2018,0,NA,NA,NA,NA
G13140,13140,2018,2321,6.94,31.54,14.26,13.7
G13141,13141,2018,300,10.33,16.67,35.67,9.33
G13142,13142,2018,2550,7.69,28.43,14.55,10.39
G13143,13143,2018,1242,10.55,39.61,7.89,8.13
G13144,13144,2018,748,18.18,26.87,5.75,17.65
G13145,13145,2018,697,10.33,21.23,17.79,15.64
G13146,13146,2018,898,9.8,39.76,10.24,13.14
G13147,13147,2018,643,8.4,39.97,11.82,11.04
G13148,13148,2018,5312,11.22,24.25,14.98,13.16
G13152,13152,2018,4000,15.4,18.73,14.68,9.7
G13153,13153,2018,260,15,13.85,20,2.31
G13155,13155,2018,327,18.35,25.69,18.04,3.36
G13156,13156,2018,798,16.67,23.31,11.9,7.52
