"","GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","ageOv65","ageOv18","age18_64","a15_24P","und45P","ovr65P","disbP"
"389","13003",2010,8332,69.53,19.89,0.05,0,0,10.53,22.42,33.3,9.2,16.8,8.1,5.9,40.8,7,5.7,5.3,5.2,9.9,69.8,59.9,0.17,0.8,0.12,17.5
"390","13005",2010,10969,77.61,16.98,0,0.24,0,5.17,5.93,27.39,7.6,14.9,6,4.9,39.3,6.2,7.3,5.6,6.2,12.9,73.7,60.8,0.1,0.56,0.12,19.1
"391","13007",2010,3657,40.25,59.12,0.63,0,0,0,0,24.93,12.2,12.9,7.5,7.1,33.9,6.5,8.8,6.6,3.9,15.3,70,54.7,0.4,1.61,0.42,21.4
"392","13009",2010,46905,55.5,42.33,0.07,1.33,0,0.77,2.01,21.99,6,10.4,8.7,13.6,46.7,7,6.9,6.6,4.6,11.8,80.1,68.3,0.05,0.13,0.03,12.4
"393","13011",2010,17840,92.76,2.68,0.1,0.99,0,3.47,5.55,27,6.5,14.9,7,5.7,39.3,7.3,7.3,6.5,6,12.2,74.1,61.9,0.07,0.34,0.07,14.8
"394","13013",2010,66359,80.68,11.48,0.18,3.43,0,4.23,8.03,21.13,8.7,15.3,7.1,6.1,44.4,6.8,6.2,4.7,4.9,9,71.6,62.6,0.02,0.1,0.01,12.4
"395","13015",2010,97423,82.14,10.07,0.42,0.8,0.06,6.51,7.15,21.65,7.4,15.1,7.1,5.9,41.7,7.9,7.1,5.8,4.8,10.2,72.7,62.5,0.01,0.07,0.01,12.2
"396","13017",2010,17631,58.91,35.95,0,0.44,0,4.7,5.82,30.12,7.4,14.4,7.3,6.4,39.6,6.1,6.9,5.9,6.2,13.5,73.3,59.8,0.08,0.35,0.08,25
"397","13019",2010,18708,84.93,11.8,0,0,0,3.27,4.2,31.1,6.6,14.3,7.3,6.4,39.8,7.2,6.5,6.4,5.4,13.8,74.1,60.3,0.07,0.32,0.07,19.9
"398","13021",2010,154810,44.47,50.94,0.24,1.59,0,2.76,2.64,18.76,7.3,14,8.6,6.2,40.7,7,7,6,5.3,12.6,74.1,61.5,0.01,0.04,0.01,14
"399","13023",2010,12937,68.52,29.56,0,1.43,0,0.49,0.18,26.78,5.5,13.6,11.4,7,40.8,7.8,6.9,4.4,6.1,14.8,76.9,62.1,0.14,0.46,0.11,14.2
"400","13025",2010,17650,94.51,4.49,0.17,0.41,0,0.42,1.13,24.31,6.9,14.9,7.6,6.3,39.4,7.3,7.5,6.9,5.2,12,73.2,61.2,0.08,0.35,0.07,21.5
"401","13027",2010,16338,59.64,36.62,0.12,0.23,0,3.39,4.76,21.83,7.3,12.3,8.7,7,39,6.5,7.2,5.9,6.6,15.2,76.3,61.1,0.1,0.36,0.09,21.7
"402","13029",2010,29039,80.35,13.05,0.29,1.35,0,4.96,4.17,11.62,7.2,16.8,8.1,5.1,41.5,8.4,7.1,5.4,5.4,8.3,70.8,62.5,0.05,0.23,0.03,10.6
"403","13031",2010,67298,67.77,27.21,0.24,1.53,0,3.25,3.33,14.8,5.8,11.3,13.9,17.8,54.3,5.7,5.3,4.8,3.8,9,79.4,70.4,0.05,0.11,0.01,11.9
"404","13033",2010,23083,47.39,51.67,0.04,0.08,0,0.82,0.73,24.89,8,16,7.9,6.4,38.5,7.3,7.2,5.3,6.2,11.5,70.9,59.4,0.06,0.27,0.05,18.8
"405","13035",2010,23401,69.76,28.23,0.23,0.71,0,1.07,2.39,23.53,6.2,12.2,6.8,7.2,43,8.1,7,7.4,4.3,11.9,77.7,65.8,0.06,0.26,0.05,13.8
"406","13037",2010,6488,34.93,60.93,0.52,0.15,0,3.47,5.15,31.71,5.6,12.7,4.8,7.2,43.9,6.8,8.6,5.6,5.4,11.3,79,67.7,0.18,0.96,0.17,14
"407","13039",2010,49293,74.8,19.59,0.48,1.52,0.28,3.33,4.97,10.9,7.8,14.8,8.1,10.1,45.7,7.3,6.4,4.9,4.4,8.7,72.7,64,0.04,0.14,0.02,9.3
"408","13043",2010,10715,68.16,24.05,0.61,0.23,0,6.95,10.89,22.53,7,13.8,8.4,7.8,40.3,4.8,7.4,5.3,6.8,14.7,74,59.3,0.15,0.57,0.14,15.4
"409","13045",2010,109227,77.68,18.02,0.2,0.78,0,3.32,5.74,21.17,7.2,14.2,8.4,8.6,44.8,7,6.1,5.6,4.7,10.4,74.2,63.8,0.02,0.06,0.01,15.1
"410","13047",2010,62951,94.13,2.13,0.23,1.04,0.02,2.45,2.31,17.93,6.3,14.5,7.2,5.4,40.1,7.4,6.7,5.9,5.9,13.2,74.7,61.5,0.02,0.1,0.02,15.6
"411","13049",2010,12310,67.79,31.26,0.39,0,0,0.56,2.45,27.41,5.9,13.2,6.6,6.4,41.3,7.7,8.9,6.5,4.4,12.2,76.8,64.6,0.11,0.49,0.1,13.4
"412","13051",2010,256428,54.32,40.78,0.09,2.39,0.08,2.34,4.88,12.63,7,12.1,7.4,9.3,44.2,6.7,6.7,5.9,5.1,12.3,77,64.7,0.01,0.02,0,11.1
"413","13053",2010,11702,66.45,23.27,0.66,2.11,0,7.51,12.26,6.79,8.2,14.3,8.3,18.5,63.8,3.5,2.9,1.8,1.6,3.9,74.2,70.3,0.23,0.74,0.03,20.7
"414","13055",2010,25985,85.49,11.74,0.2,0.13,0.09,2.35,3.75,31.62,6,13.4,6.1,6.2,40.4,7.2,6.7,6.5,5.4,14.4,77,62.6,0.05,0.23,0.06,17.4
"415","13057",2010,206283,87.25,5.53,0.41,1.63,0.02,5.16,9.08,11.06,7.8,15.5,6.7,5.3,42.5,8.1,6.9,5.8,4.7,8.7,72.4,63.7,0.01,0.03,0,8.7
"416","13059",2010,115070,64.88,26.84,0.1,4,0.03,4.15,9.87,15.73,6.2,9,13,20.5,60.3,4.4,4.5,4.1,3.3,8.3,82.2,73.9,0.03,0.07,0.01,10.7
"417","13061",2010,2981,23.21,76.32,0,0,0,0.47,0.1,21.89,8,15.2,4,5.4,29.7,4.6,7.5,8,8.1,18.9,73.6,54.7,0.32,1.77,0.63,26.1
"418","13063",2010,260156,20.85,64.77,0.21,5.1,0.06,9.01,12.79,17.39,8.5,16.1,7.9,7.4,47.2,7.1,6.2,5.2,3.4,6.4,70.5,64.1,0.01,0.03,0,10.6
"419","13065",2010,6841,67.48,31.63,0,0,0,0.89,0.58,27.11,8.6,12,8.6,5.2,39.8,6.7,8.2,8,3.9,12.6,73.7,61.1,0.2,0.88,0.18,21.4
"420","13067",2010,677402,62.83,24.19,0.22,4.45,0.06,8.25,11.73,9.85,7.4,14.1,7,6.5,45,8,7,5.9,4.3,8.3,74.1,65.8,0,0.01,0,7.6
"421","13069",2010,41647,65.61,27.17,0.4,0,0.18,6.64,9.93,26.1,7.5,14.7,7.6,7.3,42.6,7,6.7,5.7,4.9,10.9,73.3,62.4,0.04,0.16,0.03,14.4
"422","13071",2010,44712,65.32,22.73,0.36,0.67,0.02,10.9,15.87,28.24,8.2,14.7,7.7,7,41.4,6.4,6,5.7,4.8,12.7,72.4,59.7,0.03,0.14,0.03,14.7
"423","13073",2010,117858,77.83,14.72,0.21,3.98,0.1,3.16,4.55,10.06,6.8,15.7,7.7,5.5,40.5,8.2,7.5,6.4,4.8,10.1,72.4,62.3,0.01,0.05,0.01,9.6
"424","13075",2010,16976,66.62,28.75,0.63,0,0,4,5.76,27.77,7.7,14.8,6.9,6.9,40.2,6.6,6.3,5.6,5.7,13.1,72.6,59.5,0.08,0.37,0.08,14.2
"425","13077",2010,121528,77.56,17.58,0.06,1.12,0.04,3.64,6.17,12.79,7.5,15.6,6.9,5.2,41.6,7.7,6.9,5.9,5,9.8,72.3,62.5,0.01,0.05,0.01,9.7
"426","13079",2010,12821,72.67,23.27,0.8,0,0,3.26,2.1,21.25,5.9,14.6,5.7,6.3,38.6,9.2,6.8,7.2,5.2,12.6,76.5,63.9,0.09,0.46,0.1,13.9
"427","13081",2010,23182,53.77,43.44,0,1.14,0,1.65,3,26.57,7.5,14.5,7.5,6.5,37.3,7.2,7.2,6.2,6.2,13.9,73.3,59.4,0.06,0.26,0.06,19.3
"428","13083",2010,16595,96.05,0.55,0.68,0.78,0,1.94,1.65,20.93,5.7,12.1,9.2,8.4,41.2,7.3,7.5,7.3,5.1,13.8,78,64.2,0.11,0.36,0.08,19.8
"429","13085",2010,21758,95.94,0.06,0.4,0.57,0.07,2.96,3.65,15.39,6.1,13.4,5.9,6.2,38.1,7.9,7.3,7.7,6.6,12.8,76.7,63.9,0.06,0.26,0.06,12.7
"430","13087",2010,27920,54.06,41.22,0.54,0.38,0,3.8,4.65,24.37,6.8,14.6,7.7,6.4,39.5,7.4,7.1,6.5,4.5,13.7,73.9,60.2,0.05,0.22,0.05,15.6
"431","13089",2010,685371,34.26,54.98,0.22,4.96,0.04,5.54,9.27,12.14,7.4,13,6.7,7.4,47.3,7.3,6.6,5.5,4.4,8.6,75.6,67,0,0.01,0,9.5
"432","13091",2010,21402,68.17,30.14,0.17,0.23,0,1.29,2.92,23.08,6.2,11.1,11.3,6.4,44.1,6.9,6.6,6.3,5.3,13.4,76.3,62.9,0.08,0.29,0.06,16.8
"433","13093",2010,14283,44.27,51.31,0.09,0,0.3,4.03,5.35,30.29,6.8,11.9,6.7,6.5,39.8,8.1,7.2,7.4,5.4,13.5,77.2,63.7,0.09,0.41,0.09,13.5
"434","13095",2010,94514,31.43,65.92,0.22,0.8,0,1.63,2.18,19.33,7.6,14.1,8.4,8.8,42.5,6.5,6.5,6.3,4.6,12,73.9,61.9,0.02,0.07,0.01,14.9
"435","13097",2010,127800,57.56,37.67,0.35,1.58,0,2.84,7.56,13.65,7.6,15.9,7.6,5.7,44.3,7.9,6.5,5.5,4.2,8,71.5,63.5,0.01,0.05,0.01,11.1
"436","13099",2010,11286,47.69,51.26,0.18,0.12,0,0.75,0.27,22.91,6.8,14.9,8,6.4,36.5,7.1,7,4.9,7.2,15.8,73.2,57.4,0.13,0.52,0.14,20.1
"437","13101",2010,3973,68.11,2.47,0,1.41,0,28.01,30.03,32.21,6.5,19.2,8.9,5.6,47.5,7.7,3.7,2.9,2.8,9.5,67.7,58.2,0.36,1.84,0.24,16.3
"438","13103",2010,50513,83.17,13.2,0.55,0.96,0.13,1.99,2.79,15.67,7.3,16.3,8.1,5.6,42.3,8.4,7.2,5.3,4.6,8.7,71.2,62.5,0.03,0.13,0.02,12.2
"439","13105",2010,20421,66.67,30.13,0.17,0.55,0,2.48,4.5,27.01,6.3,12.9,8.2,6,38,7.3,7,5.7,6.9,16,76.2,60.2,0.07,0.28,0.08,16.1
"440","13107",2010,22348,62.78,33.8,0.43,0.18,0,2.81,4.36,27.57,7.7,13.2,7.7,6.9,39.8,7.1,6.9,5.6,6,13.6,74.4,60.8,0.07,0.27,0.06,19.5
"441","13109",2010,10966,61.14,30.49,0.37,0.45,0,7.55,11.08,26.67,7.1,14.9,7.1,7.6,40.7,6.8,6.5,4.6,5.9,13.4,73.8,60.4,0.13,0.57,0.12,17.1
"442","13111",2010,23337,96.81,0.12,0.96,0.45,0.08,1.58,1.61,22.11,5.2,10.8,4.7,5.2,31.1,7.5,8.1,9.3,7.4,20.7,80.7,60,0.04,0.2,0.09,21.2
"443","13113",2010,105344,72.91,19.26,0.18,3.94,0.09,3.62,5.7,6.41,4.9,16,8.7,4.4,35.6,9.6,8.8,7.5,6,11.7,73.1,61.4,0.01,0.05,0.01,8.8
"444","13115",2010,95810,79.27,14.39,0.37,1.38,0.08,4.51,8.73,24.06,6.9,13.4,7.7,6.7,40.4,7,6.7,6.2,5.4,14,75.5,61.5,0.02,0.06,0.01,17.2
"445","13117",2010,163885,88.06,2.61,0.21,5.46,0.04,3.62,8.86,9.37,8.3,17.7,6.1,3.8,41.3,8.5,6.3,5.2,4.2,8.6,69.8,61.2,0.01,0.04,0.01,7.1
"446","13119",2010,22121,89.02,8.6,0.28,0.58,0.11,1.41,3.34,25.7,6.1,12.4,7.5,7,38.2,6.8,7.1,6.2,6.6,16.6,77,60.4,0.07,0.26,0.08,17.7
"447","13121",2010,886982,46.05,43.9,0.17,5.31,0.05,4.52,7.56,10.35,7,13.2,6.9,7.6,47.2,7.4,6.6,5.6,4.3,8.7,75.9,67.2,0,0.01,0,8.8
"448","13123",2010,28076,92.49,0.16,0.26,0,0,7.09,9.26,24.63,6.1,12.6,6.3,4.9,35.8,7.3,7.1,8,6.9,16.3,77.2,60.9,0.04,0.19,0.06,18.9
"449","13125",2010,3007,89.32,8.81,0,0,0,1.87,0.2,27.5,5.8,15,6.3,5.4,39,9.8,5.6,5.5,5.1,14.2,73.8,59.6,0.39,1.99,0.47,11.3
"450","13127",2010,77632,69.57,25.81,0.09,1.08,0,3.45,5.91,13.89,6.7,13.3,6.8,6,38,7.4,7.1,6.6,6.2,14.6,75.7,61.1,0.02,0.07,0.02,13.9
"451","13129",2010,54059,84.9,3.99,0.45,0.87,0,9.79,13.47,26.66,7.8,14.9,7.1,6.3,41.8,7.2,6.3,5.8,5,11.2,72.7,61.5,0.02,0.12,0.02,12.7
"452","13131",2010,24738,61.52,29.41,0.7,0.13,0,8.24,9.2,25.9,7.7,14.3,7.3,6.1,39,7,6.8,7.1,4.8,13.3,73.7,60.4,0.05,0.25,0.05,15.9
"453","13133",2010,15844,56.33,40.22,0.46,0.14,0,2.85,4.87,24.7,5.3,11.9,6.9,4.3,33,6.1,7.1,9.1,8.6,19,78.4,59.4,0.07,0.32,0.12,13.8
"454","13135",2010,778022,55.43,22.16,0.29,10.41,0.06,11.65,18.94,12.71,8.2,16.2,7.3,5.9,45.4,8.1,6.7,5,3.9,6.5,70.8,64.3,0,0.01,0,7
"455","13137",2010,42212,87.49,3.87,0.22,2.31,0,6.11,11.74,25.04,6.9,12.8,10.4,5.3,42,5.3,5.7,6.7,5.7,14.9,76.1,61.2,0.04,0.15,0.04,14.4
"456","13139",2010,175001,83.04,7.28,0.35,1.78,0.02,7.53,25.42,23.55,8.4,15.2,7.1,6.6,42.6,7,6.1,5.3,4.8,10.6,72,61.4,0.01,0.04,0.01,10.4
"457","13141",2010,9649,14.32,85.16,0,0.26,0,0.26,0.53,33.87,4.9,10.5,6.7,8.5,40.8,7.7,8,5.9,8,14.2,80.1,65.9,0.16,0.58,0.15,16.6
"458","13143",2010,28574,92.41,4.26,0.08,0.54,0,2.71,1.27,30.38,6.9,14.3,7.1,6,38.7,7.3,7.1,6.1,6.1,13.5,74.3,60.8,0.05,0.21,0.05,19.8
"459","13145",2010,30807,78.47,17.57,0.22,0.99,0,2.75,2.67,11.5,5.7,13.9,7.4,4.6,36.3,8.7,8.2,7.2,7.2,12.8,75.4,62.6,0.04,0.18,0.04,14.5
"460","13147",2010,25024,78.26,19.42,0,0,0.09,2.23,2.79,24.74,6.7,12,6.1,5.5,35.8,7.2,7.3,5.8,8,17.1,77.2,60.1,0.05,0.22,0.07,17.4
"461","13149",2010,11720,86.87,10.41,0.05,0.81,0,1.86,0.92,28.16,6,14.8,7.7,5.6,38.8,8.2,7.3,6.2,6.3,12.4,73.8,61.4,0.11,0.51,0.11,22.8
"462","13151",2010,193717,58.42,34.3,0.21,2.88,0.08,4.11,5.43,10.83,7.2,17,8,5.3,43.7,8.2,6.5,5.4,4.1,7.9,70.5,62.6,0.01,0.04,0,9.7
"463","13153",2010,134880,65.11,27.68,0.2,2.21,0.03,4.77,5.72,12.73,7.3,14.8,7.7,7,42.8,8.1,6.8,5.6,4.3,10.3,73,62.7,0.01,0.05,0.01,11.8
"464","13155",2010,9642,71.26,26.65,0.99,0,0,1.1,2.57,29.67,6.3,13.8,7.9,5.8,38.9,6.5,7.6,5.1,6.6,15.2,75,59.8,0.14,0.61,0.16,18.1
"465","13157",2010,58347,88.42,7,0.14,1.68,0.1,2.66,5.75,21.07,7.5,14.5,7.3,5.3,41.1,7.4,6.9,6,5.6,11.1,73.4,62.3,0.02,0.11,0.02,12.8
"466","13159",2010,13695,74.49,22.53,0.8,0,0.15,2.03,3.37,21.73,7,14.5,6.8,6.1,38.8,7.4,7.5,7.4,5.3,12.1,74.3,62.2,0.09,0.44,0.09,12.5
"467","13161",2010,14558,77.05,15.66,0.25,0.49,0.1,6.45,9.13,24.76,8.3,15.2,6.4,7.4,38.5,6.4,7.2,5.2,6.7,12.5,72.4,59.9,0.09,0.43,0.09,14
"468","13163",2010,16919,42.43,55.92,0,0.14,0,1.51,2.53,27.38,7,14.4,7.9,6.2,38.3,6.9,6.9,5.9,6.4,14.3,73.9,59.6,0.08,0.35,0.08,13.8
"469","13165",2010,8400,60.13,36.02,0,0,0,3.85,5.51,29.42,8.4,12.8,7.1,5.5,35.7,9,5.6,5.7,7.4,15.5,76,60.5,0.15,0.68,0.18,18.3
"470","13167",2010,9967,62.07,36.41,0.08,0.61,0,0.83,0.83,34.53,5.7,12.4,6.6,6.7,39.7,8.6,7.8,7.9,4.3,13.6,77.7,64.1,0.13,0.58,0.14,21.2
"471","13169",2010,28292,73.52,25.04,0,0.72,0,0.72,0.99,14.62,6.7,14.6,7.5,4.7,39.3,7.9,7.4,6.5,5.7,12,73.7,61.7,0.04,0.21,0.04,12.6
"472","13171",2010,17837,66.42,30.93,0.19,0.47,0,1.99,1.82,23.84,6.1,12,8.8,8.5,42.1,7.2,7,7.6,4.9,13.1,78,64.9,0.1,0.34,0.07,16.3
"473","13173",2010,9404,69.85,25.33,0,1.47,0,3.35,4.13,23.19,8.9,14.5,6.6,8.1,41.7,7,7.1,6.4,3.8,10.8,72.3,61.5,0.16,0.69,0.11,18.1
"474","13175",2010,48034,61.49,35.61,0.21,1.07,0,1.62,2.16,20.38,7.2,14.3,7.3,5.9,38.9,7.1,6.9,6.2,5.5,14,74,60,0.03,0.13,0.03,13.4
"475","13177",2010,27998,78.23,17.43,0.25,2.06,0,2.03,2,16.6,6.3,16.8,8.1,5.5,42,8.5,7.7,5.9,4.7,8,71.3,63.3,0.05,0.23,0.03,11.8
"476","13179",2010,63854,47.06,42.15,0.54,1.89,0.73,7.63,9.51,11.31,10,15.7,8.3,11.4,49.1,6.4,5.4,4.3,3.2,5.9,69.7,63.8,0.03,0.12,0.01,11.6
"477","13181",2010,8111,65.48,31.76,0.33,0.42,0,2.01,0.53,22.59,5.3,11.9,8.2,5.8,34.7,8.7,7.8,8.1,7,16.5,78.1,61.6,0.17,0.64,0.2,16.4
"478","13183",2010,13142,67.59,26.46,0.3,0,0,5.65,11.43,21.28,9,16.5,9.4,9.4,44.9,6.8,6.5,5.6,3.6,7,69.9,62.9,0.14,0.54,0.05,11.1
"479","13185",2010,104916,58.72,35.37,0.24,1.35,0,4.32,4.44,17.12,7.4,13.3,9.2,12.5,48.1,6.4,5.9,4.8,4.4,9.7,75.3,65.6,0.02,0.07,0.01,13
"480","13187",2010,28875,94.12,1.43,0.97,0.68,0.02,2.78,4.76,19.14,5.8,11.8,10.3,9.4,44.6,7.3,6.8,6.8,5.4,11.7,78.5,66.8,0.07,0.22,0.04,12.9
"481","13189",2010,21719,58.78,39.9,0.61,0.17,0,0.54,2.16,29.88,7.5,14.5,7.6,5.4,37.8,7.4,7.1,6.4,6.3,13.1,73.3,60.2,0.06,0.28,0.06,17.4
"482","13191",2010,13817,61.3,37.13,0,0.63,0,0.94,1.72,24.93,5.7,12.4,8.7,6.2,35.7,7,8.5,8.1,6.7,15.8,76.9,61.1,0.11,0.39,0.11,19.6
"483","13193",2010,14553,35.92,61.38,0.05,1.22,0,1.43,3.19,32.53,5.7,14.7,7.2,6.2,40.7,7.6,7,6.3,5.9,12.1,75.8,63.7,0.09,0.42,0.08,22.4
"484","13195",2010,27798,89.61,8.12,0.21,0.24,0,1.82,3.6,27.14,6.1,14,7.1,5.5,38.8,7.9,7.9,7.1,5.2,12.9,75.3,62.4,0.05,0.21,0.05,16.1
"485","13197",2010,8403,60.35,33.58,0,1.15,0,4.92,5.99,19.84,4.3,15.9,6.9,7.3,35.1,9.9,8.1,5.9,7.5,13.2,74.4,61.2,0.17,0.66,0.16,20
"486","13199",2010,22425,58.23,40.82,0.16,0.02,0,0.77,1.5,27.17,6.5,13.9,8,5,36.7,7.4,7.3,8.2,4.9,15,75.2,60.2,0.06,0.25,0.07,17.4
"487","13201",2010,6128,69.86,28.23,0.16,0,0,1.75,0.57,26.59,6.8,13.8,5.7,4.8,35.7,7,6,7.2,4.7,18.8,76.1,57.3,0.17,0.92,0.31,17.7
"488","13205",2010,23697,47.67,47.96,0.14,0.58,0.11,3.54,4,33.96,7.3,14.1,6.9,6.6,40.8,7.2,7,5.9,4.9,12.7,74.4,61.7,0.06,0.26,0.05,16.3
"489","13207",2010,25864,72.9,24.82,0.05,0.34,0,1.89,2.03,19.3,5.7,13.2,6.7,7,38.3,8.2,8.5,8,5.3,12.9,76.7,63.8,0.05,0.22,0.05,14.9
"490","13209",2010,9138,68.87,27.07,0,0.73,0,3.33,4.48,18.72,5.7,13.1,9.5,9.3,44.3,7.1,6.1,5.5,5.9,12.2,77.2,65,0.21,0.69,0.13,12.7
"491","13211",2010,17741,73.58,25,0.18,0.32,0,0.92,2.53,21.09,5.7,14,6.1,5.1,36.7,8,7.7,7,6.2,14.7,75.8,61.1,0.06,0.32,0.08,14
"492","13213",2010,39925,93.3,0.67,0.39,0.32,0.04,5.28,12.6,33.8,7.4,15.4,7.2,6.2,42.6,7.5,6.6,5.5,5,9.9,72.6,62.7,0.03,0.16,0.02,14.6
"493","13215",2010,187629,47.27,45.25,0.31,2.15,0.2,4.82,6.03,16.18,7.4,14,8.5,8.3,43.4,6.9,6.7,5.7,4.4,11.6,74.3,62.7,0.01,0.03,0.01,18.2
"494","13217",2010,96833,56.44,38.54,0.3,1.01,0,3.71,4.39,16.56,8,16.2,8.2,5.6,43.5,7,6,5.5,4.5,9.3,70.8,61.5,0.01,0.07,0.01,12.5
"495","13219",2010,31508,89.43,5.34,0,2.76,0.02,2.45,4.16,11.3,5.9,16.9,8.5,4.8,37.9,8.8,8.2,7.1,5.2,10.2,71.4,61.2,0.04,0.19,0.03,10.1
"496","13221",2010,14556,78.48,17.84,0.16,0.56,0,2.96,3.37,24.31,5.7,14.3,8.1,5.7,37.3,8.7,8.2,5.5,7.1,13.2,75.7,62.5,0.09,0.39,0.09,18.8
"497","13223",2010,134875,79.57,16.36,0.26,0.79,0,3.02,4.81,14.13,8.3,17.4,7.4,5.2,45.4,7.7,6.2,4.9,3.6,6.7,69.5,62.8,0.01,0.05,0,9.8
"498","13225",2010,26883,49.11,45.96,0,0.66,0,4.27,6.45,19.86,6.4,12.9,12.6,8.1,44.1,7.5,7,6.9,4.1,11.1,76.4,65.3,0.08,0.24,0.04,13.1
"499","13227",2010,29155,95.96,1.2,0.47,0.44,0,1.93,2.81,20.67,5.9,13.2,6.1,4.8,36.8,7.2,7,6.6,8.2,15.1,77.1,62,0.04,0.19,0.05,12.8
"500","13229",2010,18205,86,9.99,0.1,0.36,0,3.55,4.22,22.6,6.6,14.4,7.9,5.4,39,6.5,7.5,6.8,5.6,13.5,73.7,60.2,0.07,0.33,0.07,21
"501","13231",2010,17411,86.89,10.92,0.4,0.22,0,1.57,1.14,16.97,6.1,16.5,7.5,5.2,39,8.1,6.6,5.8,6,12,72.9,60.9,0.07,0.35,0.07,13.9
"502","13233",2010,41095,82.42,12.66,0.28,0.71,0.07,3.86,11.27,28.41,8.1,14.1,6.6,7.1,39.4,7.2,6.9,6.1,5,13.2,73.7,60.5,0.03,0.15,0.03,17.9
"503","13235",2010,11632,66.29,32.88,0,0,0.53,0.3,1.35,22.85,4.5,11,6.8,6.6,42.8,7,6.9,5.5,10,12.4,79.8,67.4,0.12,0.5,0.11,15.8
"504","13237",2010,20925,69.33,27.84,0,0.28,0,2.55,5.44,19.64,5.6,12,6.2,5.8,34.5,8.2,6.8,8.7,7.5,16.7,78.7,62,0.06,0.25,0.08,14.2
"505","13239",2010,2528,42.84,55.18,0,0.36,0,1.62,1.15,33.48,6.7,10.4,10,9.9,39.1,5.1,5.7,7.2,7.4,18.4,76.2,57.8,0.79,2.22,0.73,27.7
"506","13241",2010,16266,95.75,1.22,0.07,0.85,0,2.11,7.2,19.5,5.2,12.3,5.8,4.2,32.6,6.8,7.5,7.7,7.8,20,78.9,58.9,0.06,0.31,0.12,16.6
"507","13243",2010,7724,35.89,60.71,0.16,0.54,0,2.7,0.23,29.55,6.1,11.1,11.1,7,38,6.9,8,8,5,16.9,77.8,60.9,0.23,0.71,0.22,24.2
"508","13245",2010,198170,40.71,53.86,0.26,1.64,0.18,3.35,3.92,17.68,7.4,13.2,7.9,9,43.7,7,7,6,4.6,11.1,75,63.9,0.01,0.03,0.01,17.6
"509","13247",2010,83135,50.03,43.01,0.43,1.94,0.08,4.51,9.1,15.17,6.8,14.9,8.2,6.1,41.4,8.2,7,6.2,5.3,10.2,73,62.8,0.02,0.08,0.01,10.9
"510","13249",2010,4755,66.98,23.09,0,5.28,0,4.65,4.19,28.63,7.7,17.6,7.1,4.8,39.7,7.6,8,4.6,5.2,9.5,70.1,60.6,0.25,1.37,0.2,16.5
"511","13251",2010,14799,53.85,43.81,0,0.51,0,1.83,0.37,25.35,6.5,13.3,9.9,5.9,39.4,6.5,7.1,6.5,6.2,14.4,74.3,59.9,0.11,0.4,0.1,20.8
"512","13253",2010,8797,63.06,34.96,0,0.56,0,1.42,0.68,22.98,5.6,13.3,8,5.6,33.8,7.6,8,7.9,6.3,17.6,76.7,59.1,0.15,0.6,0.2,18.4
"513","13255",2010,63304,63.45,32.92,0.26,0.77,0,2.6,3.59,25.25,7.5,13.9,7.2,6.1,40.3,7.3,6.8,6.1,5.4,12.6,74.1,61.5,0.02,0.1,0.02,15
"514","13257",2010,25876,86.04,11.46,0.19,0.79,0.02,1.5,2.42,25.16,6.1,12.7,7.7,5.7,37.4,7.1,7.3,6.2,7.2,15.9,77.1,61.2,0.05,0.22,0.06,19.4
"515","13259",2010,5831,36.22,62.7,0,0.21,0,0.87,0.62,29.62,5.2,14.3,5.8,5.7,34.3,6.2,8.5,6.3,5.7,19.4,76.8,57.4,0.2,0.92,0.33,28.8
"516","13261",2010,32865,44.7,51.77,0.27,1.27,0,1.99,4.76,24.63,7.2,14.5,8.7,8.9,42.1,6.5,6.5,5.8,5.2,12.2,73.6,61.4,0.05,0.19,0.04,16.3
"517","13263",2010,6920,38.11,60.88,0,0,0,1.01,0,21.32,5.1,12.6,8.3,3.2,34.3,7.1,10.2,9.5,6,15.3,77.5,62.2,0.17,0.75,0.22,24.8
"518","13265",2010,2041,39.05,57.28,0.34,0.73,0,2.6,1.76,41.59,4.9,11.2,7.3,6.5,38.4,5,9.2,4.3,8.8,18.3,79.2,60.9,0.68,2.67,0.9,22.3
"519","13267",2010,24263,65.53,28.97,0.16,0.52,0,4.82,9.76,25.97,6.3,11.7,7.5,7.8,45.2,7.9,6.8,5.9,4.5,11.7,78.3,66.6,0.06,0.26,0.05,19.5
"520","13269",2010,8875,58.91,40.11,0,0.6,0,0.38,1.72,36.5,6.2,14.4,7.6,4.9,38.9,7.8,6.6,6.3,5.9,14,74.4,60.4,0.14,0.67,0.16,17
"521","13271",2010,16052,58.24,37.88,0.14,0.36,0.05,3.33,11.38,31.11,6,10.5,7.2,6.2,43,8.1,7.2,6.3,5.5,13.3,80.1,66.8,0.08,0.37,0.08,17.3
"522","13273",2010,9647,36.82,61.55,0.02,0.65,0,0.96,1.28,34.16,7.4,13.8,7.7,6.6,36.8,7.5,7.6,6.4,6.3,14.3,74.2,59.9,0.15,0.6,0.15,24
