G_ZCTA,ZCTA,minDisSUT,timeDrive,countDrive
G11239,11239,0.97,5.72,220
G11351,11351,1.46,6.42,315
G11354,11354,0.61,0,312
G11355,11355,0.35,0,314
G11356,11356,1.83,7.74,290
G11357,11357,2.08,5.69,319
G11358,11358,1.06,4.3,314
G11359,11359,2.61,9.39,305
G11360,11360,2.48,8.23,307
G11361,11361,2.32,5.68,311
G11362,11362,1.35,6.78,288
G11363,11363,1.47,5.94,283
G11364,11364,1.56,3.8,315
G11365,11365,1.49,2.7,321
G11366,11366,1.16,0,314
G11367,11367,0.89,4.54,309
G11368,11368,0.71,0,311
G11369,11369,0.69,3.84,313
G11370,11370,1.84,5.12,316
G11371,11371,1.32,5.84,314
G11372,11372,0.49,0,314
G11373,11373,0.21,0,314
G11374,11374,0.44,0,305
G11375,11375,0.18,0,310
G11377,11377,0.15,0,333
G11378,11378,1.44,3.86,342
G11379,11379,1.29,5.08,309
G11385,11385,0.86,0,298
G11411,11411,2.41,6.19,298
G11412,11412,1.62,6.32,300
G11413,11413,1.27,5.29,292
G11414,11414,1.48,3.29,275
G11415,11415,0.43,0,310
G11416,11416,0.34,1.82,293
G11417,11417,0.38,0,290
G11418,11418,0.22,0,305
G11419,11419,0.77,3.24,300
G11420,11420,0.84,0,310
G11421,11421,1.09,4.43,293
G11422,11422,1.65,6.03,287
G11423,11423,1.01,3.86,314
G11424,11424,0.21,3.12,315
G11425,11425,0.03,0,160
G11426,11426,0.53,2.64,307
G11427,11427,0.81,0,326
G11428,11428,1.24,2.61,311
G11429,11429,1.94,4.22,303
G11430,11430,1.14,6.33,289
G11432,11432,0.41,0,313
G11433,11433,0.66,4.48,300
G11434,11434,0.93,0,296
G11435,11435,0.29,0,313
G11436,11436,0.48,0,309
G11451,11451,0.23,3.26,307
G11501,11501,0.28,0,117
G11507,11507,2.07,3.48,181
G11509,11509,1.68,4.63,111
G11510,11510,1.27,2.81,108
G11514,11514,1.46,4.49,89
G11516,11516,0.69,2.25,184
G11518,11518,1.58,4.83,114
G11520,11520,0.27,0,98
G11530,11530,1,0,151
G11542,11542,7.32,17.18,42
G11545,11545,3.95,11.69,61
G11547,11547,5.23,12.29,70
G11548,11548,3.67,11.2,92
G11549,11549,1.16,4.69,80
G11550,11550,0.38,0,102
G11552,11552,1.16,0,129
G11553,11553,1.25,4.75,105
G11554,11554,0.56,0,86
G11556,11556,1.62,5.79,86
G11557,11557,0.92,3.78,106
G11558,11558,1.4,3.5,75
G11559,11559,1.33,0,174
G11560,11560,6.08,18.3,27
G11561,11561,0.86,0,78
G11563,11563,1.41,5.18,142
G11565,11565,1.54,4.44,150
G11566,11566,1.69,4.18,96
G11568,11568,2.01,8.96,104
G11569,11569,4.27,8.59,53
G11570,11570,0.52,0,108
G11572,11572,0.79,0,101
G11575,11575,0.19,0,106
G11576,11576,3.93,6.85,164
G11577,11577,2.85,5.9,183
G11579,11579,5.82,15.89,50
G11580,11580,0.52,0,211
G11581,11581,1.04,4.14,168
G11590,11590,1.45,0,79
G11596,11596,1.22,2.07,155
G11598,11598,0.2,0,135
G11691,11691,0.53,0,112
G11692,11692,2.24,4.43,107
G11693,11693,3.42,6.35,121
G11694,11694,5.15,10.2,108
G11697,11697,2.99,16.2,90
G11701,11701,0.36,0,69
G11702,11702,5.06,5.17,60
G11703,11703,0.44,0,65
G11704,11704,1.66,6.22,61
G11705,11705,2.86,7.4,36
G11706,11706,1.81,0,60
G11709,11709,6.58,16.44,21
G11710,11710,1.31,4.74,88
G11713,11713,1.23,0,35
G11714,11714,1.18,0,64
G11715,11715,2.29,7.09,31
G11716,11716,1.18,0,41
G11717,11717,0.47,0,56
G11718,11718,1.86,4.1,60
G11719,11719,2.21,4.56,28
G11720,11720,2.71,9.78,33
G11721,11721,2.01,8.1,35
G11722,11722,3.12,5.02,56
G11724,11724,1.64,6.71,54
G11725,11725,0.77,0,55
G11726,11726,1.22,2.92,65
G11727,11727,2.81,12.69,32
G11729,11729,2.4,3.87,63
G11730,11730,5.12,9.97,50
G11731,11731,2.24,8.06,40
G11732,11732,2.35,7.41,52
G11733,11733,2.42,9.49,27
G11735,11735,2.52,5.32,71
G11738,11738,0.89,0,31
G11739,11739,4.31,11.48,42
G11740,11740,2.44,6.66,42
G11741,11741,1.76,8.85,35
G11742,11742,1.96,0,31
G11743,11743,0.81,0,43
G11746,11746,1.88,0,46
G11747,11747,2.31,8.35,58
G11749,11749,2.41,6.36,44
G11751,11751,2.85,6.55,53
G11752,11752,3.09,7.54,54
G11753,11753,1.58,4.02,84
G11754,11754,2.96,7.22,41
G11755,11755,2.33,8.52,38
G11756,11756,0.69,0,79
G11757,11757,2.45,4.43,60
G11758,11758,0.98,0,66
G11762,11762,1.22,3.49,66
G11763,11763,0.7,0,38
G11764,11764,4.02,8.53,31
G11765,11765,5.11,17.51,26
G11766,11766,1.89,7.64,32
G11767,11767,1.94,7.72,38
G11768,11768,4.57,12.17,25
G11769,11769,3.4,5.94,42
G11770,11770,8.94,23.61,12
G11771,11771,3.32,9.58,42
G11772,11772,0.72,0,31
G11776,11776,1.61,6.42,32
G11777,11777,0.45,0,32
G11778,11778,6.39,15.62,20
G11779,11779,0.83,0,42
G11780,11780,2.65,8.95,36
G11782,11782,2.71,7.3,36
G11783,11783,0.6,0,80
G11784,11784,2.6,7.48,33
G11786,11786,6.01,14.08,21
G11787,11787,1.15,0,42
G11788,11788,0.52,0,46
G11789,11789,4.44,12.53,24
G11790,11790,4.38,14.27,30
G11791,11791,0.42,0,70
G11792,11792,3.76,10.83,20
G11793,11793,1.67,0,86
G11794,11794,4.04,11.34,27
G11795,11795,2.2,6.45,56
G11796,11796,3.1,8.29,32
G11797,11797,1.74,3.33,68
G11798,11798,0.52,0,58
G11801,11801,0.22,0,80
G11803,11803,2.21,6.13,60
G11804,11804,2.26,6.66,64
G11901,11901,0.25,0,13
G11930,11930,3.62,9.48,4
G11931,11931,2.06,7.21,11
G11932,11932,2.76,6.2,8
G11933,11933,1.58,0,22
G11934,11934,3.11,4.92,23
G11935,11935,9.26,14.77,8
G11937,11937,1.65,0,4
G11939,11939,1.57,4.02,1
G11940,11940,5.01,8.63,20
G11941,11941,4.92,7.76,20
G11942,11942,1.68,7.93,13
G11944,11944,0.91,0,1
G11946,11946,0.28,0,16
G11947,11947,4.38,7.38,12
G11948,11948,5.62,18.13,8
G11949,11949,3.31,12.82,21
G11950,11950,0.39,0,30
G11951,11951,2.07,8.07,13
G11952,11952,7.51,14.19,12
G11953,11953,3.75,14.02,31
G11954,11954,10.93,23.44,4
G11955,11955,1.76,2.78,23
G11956,11956,7.62,17.76,8
G11957,11957,5.79,10.52,1
G11958,11958,7.35,12.3,5
G11959,11959,2.08,4.27,13
G11960,11960,3.58,7.4,15
G11961,11961,5.64,17.22,21
G11962,11962,1.49,3.04,7
G11963,11963,4.24,14.58,7
G11964,11964,4.43,23.05,2
G11965,11965,2.33,22.4,2
G11967,11967,1.3,0,27
G11968,11968,5.96,11.58,12
G11970,11970,3.94,10.04,12
G11971,11971,4.92,9.59,5
G11972,11972,3.96,6.04,18
G11973,11973,4.67,15.98,21
G11975,11975,1.08,0,7
G11976,11976,4.98,10.69,12
G11977,11977,2.49,3.65,15
G11978,11978,1.44,0,15
G11980,11980,3.13,10.13,37
G12008,12008,1.1,9.62,11
G12009,12009,6.42,13.48,20
G12010,12010,1.61,0,7
G12015,12015,2.96,20.42,4
G12017,12017,7.8,25.36,2
G12018,12018,10.95,19.85,14
G12019,12019,4.32,15.4,13
G12020,12020,1.29,0,8
G12023,12023,9.69,19.93,1
G12025,12025,9,20.8,5
G12027,12027,3.74,12.35,12
G12029,12029,9.29,23.66,11
G12031,12031,8.57,26.63,1
G12032,12032,16.29,23.54,2
G12033,12033,7.14,16.58,21
G12035,12035,2.9,12.64,1
G12037,12037,12.91,25.87,2
G12041,12041,8.62,20.03,21
G12043,12043,10.74,23.16,1
G12045,12045,11,19.96,21
G12047,12047,1.44,0,33
G12051,12051,7.15,22.98,4
G12052,12052,10.02,20.43,5
G12053,12053,6.95,17.11,7
G12054,12054,5.23,8.46,29
G12056,12056,7.77,18.08,8
G12057,12057,9.74,29.89,1
G12058,12058,9.23,27.72,2
G12060,12060,12.38,29.52,11
G12061,12061,5.22,10.55,26
G12062,12062,13.84,29.02,2
G12063,12063,7.35,15.26,25
G12065,12065,6.34,15.21,27
G12066,12066,5.41,22.29,1
G12067,12067,9.65,21.22,22
G12068,12068,7.48,18.51,5
G12069,12069,3.21,12.72,5
G12070,12070,2.81,12.42,5
G12071,12071,11.86,22.19,1
G12072,12072,8.8,24.62,5
G12074,12074,9.59,20.23,11
G12075,12075,8.51,14.51,2
G12077,12077,2.87,8.85,33
G12078,12078,4.98,0,5
G12084,12084,0.38,0,34
G12085,12085,2.96,7.93,27
G12086,12086,4.85,10.4,5
G12089,12089,5.38,13,1
G12090,12090,7.58,20.85,1
G12092,12092,3.35,16.13,1
G12094,12094,13.43,28.04,4
G12095,12095,3.48,11.1,5
G12106,12106,10.36,20.24,2
G12110,12110,1.57,0,34
G12115,12115,14.08,27.21,2
G12116,12116,9.42,22.57,1
G12117,12117,9.13,17.46,2
G12118,12118,8.24,22.74,4
G12121,12121,6.93,23.31,6
G12122,12122,10.74,14.26,1
G12123,12123,10.5,20.99,10
G12124,12124,12.91,24.79,11
G12125,12125,7.69,22.04,11
G12130,12130,14.19,26.94,4
G12132,12132,12.91,22.96,9
G12134,12134,15.83,26.2,2
G12137,12137,7.76,20.32,9
G12138,12138,12.1,28.98,5
G12140,12140,6.75,15.06,24
G12143,12143,11.13,24.45,13
G12144,12144,1.41,0,29
G12148,12148,3.97,18.63,14
G12149,12149,14.15,25.16,1
G12150,12150,7.28,13.82,9
G12151,12151,5.41,15.04,16
G12153,12153,12.69,27.64,6
G12155,12155,15.54,29.24,1
G12156,12156,10.97,21.95,17
G12157,12157,2.62,0,1
G12158,12158,7.01,14.79,27
G12159,12159,4.09,10.12,33
G12160,12160,4.85,18.23,1
G12161,12161,8.09,20.35,21
G12165,12165,9.15,27.24,2
G12168,12168,9.61,29.74,11
G12170,12170,8.14,22.64,5
G12172,12172,3.61,9.05,4
G12173,12173,9.62,25.8,2
G12174,12174,7.74,17.35,2
G12177,12177,3.56,12.84,5
G12180,12180,3.78,0,28
G12182,12182,3.79,10.59,27
G12183,12183,0.54,7,33
G12184,12184,13.6,25.71,4
G12185,12185,12.27,27.52,4
G12186,12186,6.01,12.11,26
G12187,12187,9.51,27.53,1
G12188,12188,3.04,10.46,30
G12189,12189,1.75,6.49,33
G12192,12192,10.79,23.09,12
G12195,12195,11.13,28.33,11
G12196,12196,6.45,12.24,27
G12198,12198,4.99,12.19,27
G12202,12202,0.27,0,33
G12203,12203,3.13,7.14,34
G12204,12204,1.67,0,33
G12205,12205,3.41,10.96,34
G12206,12206,0.41,0,33
G12207,12207,0.09,0,33
G12208,12208,1.24,0,33
G12209,12209,1.05,0,33
G12210,12210,0.37,0,33
G12211,12211,1.88,6.72,33
G12222,12222,1.99,9.95,34
G12302,12302,3.73,0,13
G12303,12303,1.57,0,30
G12304,12304,2.01,5.49,32
G12305,12305,0.64,0,33
G12306,12306,4.61,7.27,30
G12307,12307,0.06,0,31
G12308,12308,1.1,3.78,23
G12309,12309,3.27,8.7,32
G12401,12401,1.59,0,6
G12404,12404,4.11,17.92,5
G12405,12405,13.11,20.8,2
G12409,12409,7,25.48,5
G12411,12411,3.97,10.02,6
G12413,12413,9.9,15.66,4
G12414,12414,2.55,0,4
G12417,12417,1.12,7.66,6
G12419,12419,6.21,13.11,7
G12420,12420,3.36,17.76,2
G12423,12423,16.32,29.08,2
G12428,12428,2.08,0,5
G12429,12429,6.54,14.21,18
G12431,12431,12.24,25.6,2
G12432,12432,8.09,17.66,8
G12433,12433,4.23,18.12,5
G12435,12435,2.02,17.35,4
G12436,12436,10.56,24.4,2
G12440,12440,7.71,19.84,7
G12443,12443,2.26,0,8
G12446,12446,1.28,0,4
G12449,12449,3.82,10.86,6
G12451,12451,7.02,19.32,4
G12453,12453,9.6,21.77,8
G12456,12456,6.39,20.4,6
G12458,12458,5.39,11.62,4
G12461,12461,6.44,28.89,2
G12463,12463,7.65,16.63,4
G12466,12466,1.57,5.92,6
G12470,12470,11.69,23.55,2
G12471,12471,5.98,14.96,5
G12472,12472,6.66,13.1,7
G12473,12473,9.03,23.79,2
G12475,12475,5.01,17.1,6
G12477,12477,9.98,19.93,7
G12481,12481,5.64,25.46,5
G12482,12482,5.36,11.74,4
G12483,12483,3.26,9.28,5
G12484,12484,5.89,14.1,7
G12486,12486,6.92,15.66,5
G12487,12487,4.33,13.83,15
G12489,12489,3.03,11.24,4
G12490,12490,7.39,17.84,9
G12491,12491,1.5,12.21,6
G12493,12493,5.42,19.82,17
G12498,12498,7.08,17.14,6
G12501,12501,8.68,11.95,1
G12502,12502,13.31,27.16,2
G12504,12504,8.09,14.77,6
G12507,12507,6.66,11.65,6
G12508,12508,2.93,8.08,19
G12512,12512,4.17,12.6,19
G12513,12513,3.78,6.44,4
G12514,12514,3.47,19.07,1
G12515,12515,5.57,20.28,20
G12516,12516,13.94,26.17,4
G12517,12517,11.64,19.3,4
G12518,12518,5.44,14.34,12
G12520,12520,4.37,13.21,12
G12521,12521,8.93,23.37,2
G12522,12522,9.95,25.5,1
G12523,12523,11.18,27.28,2
G12524,12524,6.28,7.76,22
G12525,12525,8.78,19.22,1
G12526,12526,7.04,27.22,4
G12527,12527,4.05,11.38,22
G12528,12528,2,0,10
G12530,12530,5.87,10.38,4
G12531,12531,8.26,15.86,4
G12533,12533,3.84,19.36,21
G12534,12534,2.64,0,4
G12538,12538,4.13,11.92,13
G12540,12540,7.01,20.95,12
G12542,12542,6.1,14.18,19
G12543,12543,4.7,11.4,15
G12545,12545,10.77,27.47,10
G12546,12546,10.02,18.77,2
G12547,12547,3.71,17.76,19
G12548,12548,8.12,22.92,16
G12549,12549,4.13,10.93,14
G12550,12550,1.52,0,11
G12553,12553,3.56,14.77,9
G12561,12561,7.24,23.89,18
G12563,12563,6.85,15.84,11
G12564,12564,11.93,23.94,3
G12565,12565,7.16,15.57,2
G12566,12566,7.5,17.55,10
G12567,12567,9.03,26.96,1
G12569,12569,5.03,15.63,11
G12570,12570,8.23,29.18,14
G12571,12571,6.35,15.3,6
G12572,12572,3.76,0,6
G12574,12574,2.73,9.3,6
G12575,12575,5.97,15.13,16
G12577,12577,6.82,18.4,11
G12578,12578,7.39,22.97,12
G12580,12580,5.6,11.2,12
G12581,12581,5.48,22.96,1
G12582,12582,6.65,21.96,10
G12583,12583,10.75,22.51,3
G12586,12586,0.91,0,14
G12589,12589,4.89,11.82,7
G12590,12590,3.02,0,18
G12592,12592,7.47,17.6,2
G12594,12594,9.77,22.44,1
G12601,12601,0.59,0,20
G12603,12603,0.8,0,19
G12604,12604,1.03,5.27,13
G12701,12701,0.66,0,6
G12719,12719,0.91,0,1
G12720,12720,10.83,27.17,4
G12721,12721,7.93,16.36,8
G12722,12722,8.93,21,10
G12729,12729,7.82,16.22,9
G12732,12732,6.12,12.65,1
G12733,12733,0.71,0,8
G12734,12734,4.92,11.44,6
G12737,12737,5.6,24.4,1
G12738,12738,5.75,17.24,6
G12740,12740,9.35,22.7,2
G12742,12742,4.56,12.51,6
G12743,12743,5.37,15.88,1
G12746,12746,4.8,12.82,9
G12747,12747,3.1,8.51,8
G12748,12748,11.05,22.71,1
G12749,12749,7.81,18.29,6
G12751,12751,2.8,8.65,6
G12754,12754,1.38,0,6
G12758,12758,10.5,12.43,6
G12759,12759,3.16,14.38,8
G12762,12762,5.11,12.37,6
G12763,12763,4.86,15.03,7
G12764,12764,9.22,27.08,1
G12765,12765,6.17,16.72,2
G12768,12768,5.17,13.14,6
G12769,12769,5.6,18.22,2
G12770,12770,3.23,14.3,6
G12771,12771,2.99,0,9
G12775,12775,5.41,14.4,6
G12776,12776,15.79,22.2,1
G12777,12777,7.5,16.15,5
G12778,12778,6.04,18.12,6
G12779,12779,3.02,4.85,8
G12780,12780,5.02,15.87,5
G12781,12781,7.77,17.39,6
G12783,12783,7.56,17.87,5
G12784,12784,3.09,11.05,6
G12785,12785,8.61,21,16
G12786,12786,8.38,18.1,7
G12787,12787,6.43,9,6
G12788,12788,3.43,8.28,8
G12789,12789,3.02,9.57,8
G12790,12790,9.69,18.09,14
G12791,12791,9.29,15.64,1
G12792,12792,3.67,11.35,1
G12801,12801,0.26,0,7
G12803,12803,1.77,4.79,7
G12804,12804,1.51,0,7
G12809,12809,7.7,20.64,2
G12821,12821,13.07,21.85,1
G12822,12822,12.02,24.12,6
G12824,12824,12.06,29.9,2
G12827,12827,9.98,15.03,4
G12828,12828,4.04,11.51,7
G12831,12831,8.22,14.32,7
G12833,12833,4.75,11.84,5
G12834,12834,13.86,27.09,3
G12838,12838,8.75,16.95,4
G12839,12839,2.69,0,4
G12844,12844,10.05,26.22,4
G12845,12845,6.08,13.46,4
G12846,12846,7.63,23.74,3
G12850,12850,10.1,25.28,5
G12855,12855,17.63,29.06,1
G12859,12859,8.58,19.72,5
G12863,12863,6.44,16.34,5
G12866,12866,2.24,0,8
G12871,12871,8.3,17.97,3
G12884,12884,9.41,19.45,3
G12885,12885,15.01,21.72,3
G12901,12901,1.17,0,5
G12903,12903,0.26,4.81,5
G12911,12911,1.29,3.65,5
G12912,12912,12.94,23.66,1
G12913,12913,8.42,15.7,3
G12914,12914,4.7,9.92,2
G12916,12916,11.09,14,2
G12917,12917,7.15,10.18,2
G12918,12918,5.4,18.36,4
G12919,12919,19.38,28.86,4
G12920,12920,11.26,18.61,2
G12921,12921,14.19,22.68,4
G12923,12923,18.4,24.46,2
G12924,12924,5.41,16.94,1
G12926,12926,6.59,13.76,2
G12929,12929,8.1,22.38,4
G12932,12932,0.77,0,1
G12937,12937,9.18,17.03,4
G12939,12939,6.65,13.74,3
G12942,12942,10.57,19.62,1
G12943,12943,12.08,22.75,1
G12944,12944,3.99,0,5
G12945,12945,4.94,17.28,3
G12946,12946,9.54,20.16,3
G12950,12950,7.46,11.46,2
G12953,12953,7.59,0,2
G12957,12957,9.91,18.73,4
G12962,12962,5.27,11.29,4
G12964,12964,5.06,10.05,1
G12966,12966,7.33,12.06,2
G12967,12967,13.99,25.18,4
G12970,12970,13.8,22.9,3
G12972,12972,5.26,12.46,6
G12975,12975,3.04,9.29,5
G12976,12976,12.53,23.82,3
G12977,12977,3.79,11.09,3
G12978,12978,9.27,21.78,1
G12983,12983,3.18,0,3
G12985,12985,7.7,0,1
G12987,12987,11.31,28.71,1
G12989,12989,14.57,24.47,3
G12992,12992,8.94,20.18,4
G12993,12993,6.26,15.13,1
G12996,12996,10.15,20.32,1
G12998,12998,8.91,28.4,1
G13020,13020,2.37,6.74,22
G13021,13021,0.7,0,2
G13024,13024,0.42,3.56,2
G13027,13027,9.48,17.4,18
G13029,13029,7.36,17.79,17
G13030,13030,7.97,21.63,17
G13031,13031,6.81,14.76,17
G13032,13032,5.82,15.34,3
G13033,13033,12.01,21.4,1
G13034,13034,6.26,19.32,3
G13036,13036,12.55,24.23,5
G13037,13037,11.02,20.52,15
G13039,13039,5.07,15.19,17
G13041,13041,4.87,15.85,18
G13045,13045,0.84,0,7
G13051,13051,11.73,22.27,2
G13053,13053,9.14,18.98,9
G13054,13054,5.45,12.23,5
G13057,13057,2.96,15.59,17
G13060,13060,9.83,21.5,16
G13062,13062,6.56,14.06,9
G13063,13063,7.71,16.35,2
G13064,13064,7.29,19.69,1
G13066,13066,4.88,12.42,17
G13068,13068,8.2,16.76,9
G13069,13069,2.32,0,5
G13073,13073,10.95,28.91,5
G13074,13074,4.54,0,5
G13076,13076,13.78,29.05,1
G13077,13077,7.29,15.42,7
G13078,13078,6.2,13.52,19
G13080,13080,11.46,25.69,2
G13082,13082,7.32,22.88,17
G13084,13084,6.05,11.36,19
G13087,13087,6.9,12.74,7
G13088,13088,0.76,0,17
G13090,13090,2.53,8.6,18
G13092,13092,12.47,27.7,5
G13101,13101,5.68,12.25,7
G13102,13102,6.2,13.13,9
G13103,13103,14.85,27.95,1
G13104,13104,9.21,18.7,17
G13108,13108,9.71,20.29,18
G13110,13110,10.61,23.86,2
G13111,13111,8.15,12.38,5
G13112,13112,11.72,24.73,11
G13113,13113,12.53,23.84,1
G13114,13114,13.23,23.85,4
G13115,13115,3.81,9.05,5
G13116,13116,4.86,17.58,17
G13117,13117,8.84,23.22,3
G13120,13120,6.83,15.42,19
G13122,13122,13.29,24.3,2
G13126,13126,2.49,0,5
G13132,13132,9.79,21.03,3
G13134,13134,8.78,24.86,3
G13135,13135,7.06,15.08,6
G13138,13138,8.5,16.59,17
G13140,13140,10.01,22.36,2
G13141,13141,4.31,13.73,7
G13143,13143,11.86,18.8,1
G13147,13147,10.66,20.64,2
G13148,13148,2.99,9.64,4
G13152,13152,9.58,19.17,2
G13153,13153,7.25,21.46,2
G13156,13156,4.99,18.49,4
G13157,13157,8.54,21.52,3
G13158,13158,9.52,24.38,7
G13159,13159,0.17,0,22
G13160,13160,8.06,22.06,2
G13162,13162,7.18,19.65,3
G13163,13163,3.11,8.47,5
G13164,13164,6.76,14.93,17
G13165,13165,1.78,0,3
G13166,13166,9.65,21.55,2
G13167,13167,14.84,29.5,1
G13202,13202,0.27,0,19
G13203,13203,0.34,0,19
G13204,13204,0.29,0,19
G13205,13205,2.35,6.59,19
G13206,13206,1.52,4.52,19
G13207,13207,1.66,6,19
G13208,13208,1.51,5.26,19
G13209,13209,3.98,10.78,17
G13210,13210,1.23,0,19
G13211,13211,1.1,0,17
G13212,13212,2.62,7.01,17
G13214,13214,1.33,4.33,19
G13215,13215,5.41,12.04,19
G13219,13219,2.67,9.57,17
G13224,13224,0.65,0,19
G13290,13290,1.16,7.12,19
G13303,13303,10.53,20.76,2
G13304,13304,10.4,20.22,9
G13308,13308,10.54,21.43,5
G13310,13310,14.38,27.4,3
G13313,13313,14.67,27.84,7
G13318,13318,11.94,23.44,7
G13319,13319,4.54,14.24,7
G13321,13321,6.08,17.64,12
G13322,13322,9.1,23.11,7
G13323,13323,7.2,18.45,12
G13328,13328,11.51,27.62,9
G13329,13329,15.66,28.29,1
G13340,13340,6.72,17.49,8
G13341,13341,8.18,20.44,12
G13350,13350,2.6,0,8
G13352,13352,15.84,29.5,6
G13354,13354,10.23,20.46,9
G13357,13357,6.34,10.6,8
G13361,13361,10.25,29.03,1
G13362,13362,9.98,26.02,3
G13363,13363,8.27,17.04,2
G13365,13365,9.75,15.75,1
G13403,13403,4.36,11.87,9
G13406,13406,8.41,15.92,1
G13407,13407,4.37,10.8,8
G13409,13409,8.47,14.99,3
G13411,13411,12.95,26.03,1
G13413,13413,2.53,10.89,10
G13416,13416,11.38,22.06,1
G13417,13417,2.03,8.65,10
G13421,13421,1.85,0,5
G13424,13424,6.38,16.54,9
G13425,13425,12.12,28.38,3
G13431,13431,11.08,24.97,7
G13435,13435,14.64,26.48,7
G13439,13439,11.7,23.23,1
G13440,13440,0.12,0,12
G13441,13441,2.82,6.43,12
G13456,13456,6.32,15.92,7
G13460,13460,11.37,27.83,1
G13461,13461,2.98,6.63,5
G13469,13469,7.81,17.12,9
G13471,13471,16.3,25.35,2
G13476,13476,7.07,13.27,12
G13477,13477,8.04,17.53,11
G13478,13478,5.13,12.9,5
G13486,13486,10.77,18.81,2
G13490,13490,7.33,16.57,12
G13492,13492,3.83,11.42,10
G13495,13495,1.18,6.3,10
G13501,13501,1.18,0,10
G13502,13502,4.59,0,10
G13601,13601,0.27,0,7
G13602,13602,4.66,20.07,7
G13603,13603,4.15,11.24,7
G13605,13605,12.12,25.06,6
G13606,13606,7.5,17.2,7
G13608,13608,10.06,21.47,2
G13612,13612,6.68,14.75,7
G13615,13615,5.23,9.74,7
G13616,13616,4.15,8.15,7
G13617,13617,1.38,0,4
G13619,13619,14.21,28.29,1
G13621,13621,10.74,26.19,2
G13622,13622,12.53,28.06,6
G13625,13625,9.6,16.04,4
G13626,13626,12.18,28.04,6
G13628,13628,8.92,19.74,7
G13630,13630,9.35,18.38,5
G13634,13634,8.2,19.54,6
G13635,13635,11.31,26.31,1
G13637,13637,1.03,0,7
G13638,13638,6.61,16.75,7
G13642,13642,0.86,0,1
G13643,13643,7.39,17.03,7
G13647,13647,4.46,9.96,4
G13648,13648,15.17,27.67,1
G13654,13654,9.11,12.88,2
G13655,13655,0.79,0,4
G13658,13658,8.63,28.25,2
G13660,13660,10.78,27.31,4
G13662,13662,0.46,0,4
G13664,13664,10.82,22.16,2
G13667,13667,7.21,16.43,4
G13668,13668,5.38,13.6,6
G13669,13669,3.7,0,2
G13673,13673,8.38,16.22,8
G13674,13674,16.38,28.34,6
G13676,13676,3.35,0,4
G13677,13677,5.31,23.33,2
G13678,13678,8.68,14.96,4
G13680,13680,7.37,22.02,4
G13681,13681,8.1,16.14,3
G13682,13682,7.63,28.92,6
G13685,13685,13.13,21.96,6
G13687,13687,18.93,30,2
G13691,13691,10.12,27.99,1
G13694,13694,14.23,28.3,2
G13696,13696,4.85,12.03,4
G13697,13697,9.89,18.58,4
G13732,13732,8.36,18.05,11
G13734,13734,8.31,23.89,2
G13743,13743,6.42,19.38,1
G13744,13744,8.03,14.03,10
G13746,13746,11.21,19.65,7
G13748,13748,6.14,18.14,11
G13750,13750,10.99,24.27,1
G13751,13751,8.12,17.23,1
G13752,13752,5.65,19.6,1
G13753,13753,9.81,19.81,1
G13755,13755,8.23,27.64,2
G13757,13757,8.57,23.11,1
G13760,13760,7.65,12.78,11
G13775,13775,9.57,24.9,1
G13777,13777,9.68,29.54,3
G13778,13778,17.1,28.43,3
G13780,13780,7.81,23.42,1
G13782,13782,1.83,0,2
G13784,13784,11.58,28.73,5
G13787,13787,12.39,24.24,3
G13790,13790,4.5,5.75,10
G13794,13794,16.18,27.49,5
G13795,13795,6.14,13.29,10
G13796,13796,7.85,22.28,1
G13802,13802,10.19,29.69,2
G13803,13803,11.12,25.99,5
G13806,13806,7.4,24.83,2
G13807,13807,11.43,27.43,1
G13808,13808,11.18,28.88,2
G13809,13809,11.1,28.01,1
G13811,13811,7.73,22.7,1
G13812,13812,9.03,17.99,2
G13815,13815,1.07,0,1
G13820,13820,1.81,0,1
G13825,13825,7.23,20.85,1
G13827,13827,2.13,0,1
G13830,13830,8.21,16.28,1
G13832,13832,11.57,17.68,1
G13833,13833,8.14,17.13,10
G13834,13834,7.49,16.85,1
G13843,13843,7.77,13.93,1
G13844,13844,9.1,15.8,1
G13845,13845,7.6,15.63,2
G13846,13846,6.31,28.66,1
G13847,13847,8.4,22.95,1
G13849,13849,14.83,28.34,1
G13850,13850,6.34,15.74,10
G13856,13856,1.98,0,2
G13859,13859,11.11,21.54,1
G13860,13860,6.26,15.2,1
G13861,13861,5.74,11.49,1
G13862,13862,14.71,25.15,5
G13864,13864,11.64,27.09,5
G13865,13865,8.04,21.45,11
G13901,13901,4.75,0,10
G13902,13902,2.77,9.9,10
G13903,13903,2.9,0,10
G13904,13904,3.3,0,10
G13905,13905,3.88,0,10
G14001,14001,9.25,22.81,10
G14004,14004,8.93,18.32,11
G14005,14005,6.31,14.78,5
G14006,14006,4.57,10.13,2
G14008,14008,2.62,0,1
G14011,14011,10.47,22.22,6
G14012,14012,5,17.22,1
G14013,14013,12.32,24.54,5
G14020,14020,1.61,0,5
G14024,14024,12.63,29.76,1
G14025,14025,8.44,17.01,7
G14026,14026,2.94,7.11,45
G14028,14028,5.29,17.99,6
G14030,14030,9.15,25.93,1
G14031,14031,5.02,12.64,35
G14032,14032,3.58,10.69,19
G14033,14033,9.86,18.8,6
G14034,14034,7.32,20.66,2
G14035,14035,8.11,17.01,2
G14036,14036,10.53,18.58,5
