G_ZCTA,ZCTA,minDisFQHC,timeDrive,countDrive
G23303,23303,5.36,14.27,4
G23306,23306,8.22,16.06,4
G23307,23307,3.69,10.24,3
G23308,23308,4.46,11.65,5
G23310,23310,7.15,13.37,2
G23313,23313,12.2,20.92,1
G23314,23314,8.08,17.49,13
G23315,23315,9.56,15.83,1
G23316,23316,4.73,10.01,2
G23320,23320,7.25,9.37,9
G23321,23321,8.5,12.43,16
G23322,23322,16.72,14.26,9
G23323,23323,14.03,11.71,11
G23324,23324,1.94,0,11
G23325,23325,2.59,8.43,11
G23336,23336,3.33,0,2
G23337,23337,5.03,9.01,4
G23347,23347,2.23,0,2
G23350,23350,3.74,13.71,4
G23354,23354,1.91,0,3
G23356,23356,5.08,27.56,2
G23357,23357,2.87,7.38,3
G23358,23358,5.14,20.37,1
G23359,23359,8.24,19.52,4
G23389,23389,3.08,16.56,2
G23395,23395,4.59,14.79,3
G23398,23398,5.43,24.27,2
G23401,23401,2.31,4.67,4
G23405,23405,6.12,15.33,2
G23407,23407,8.19,12.27,5
G23408,23408,2.72,10.52,3
G23409,23409,8.81,20.43,2
G23410,23410,3.96,0,4
G23413,23413,1.36,6.54,3
G23414,23414,5.33,11.23,4
G23415,23415,0.38,0,4
G23416,23416,3.51,8.2,4
G23417,23417,4.44,0,3
G23418,23418,3.7,10.15,3
G23420,23420,6.13,11.65,4
G23421,23421,2.43,0,4
G23422,23422,2.68,11.35,3
G23423,23423,12.56,16.83,2
G23426,23426,10.29,26.31,1
G23430,23430,13.37,27.12,11
G23432,23432,3.7,18.7,2
G23433,23433,8.81,23.57,14
G23434,23434,2.49,0,7
G23435,23435,7.26,15.28,18
G23436,23436,7.22,23.12,14
G23437,23437,10.47,21.81,3
G23438,23438,11.56,20.12,2
G23440,23440,20.79,19.75,2
G23441,23441,2.61,6.24,3
G23442,23442,5.87,13.62,4
G23451,23451,5.21,0,11
G23452,23452,4.5,7.86,11
G23453,23453,6.23,13.75,11
G23454,23454,2.85,11.94,11
G23455,23455,4.39,10.1,11
G23456,23456,7.14,16.69,11
G23459,23459,10.25,13.79,6
G23460,23460,2.65,17.39,6
G23461,23461,3.38,20.32,3
G23462,23462,0.52,0,11
G23464,23464,4.09,8.57,11
G23480,23480,7.03,11.38,3
G23486,23486,5.62,17.89,4
G23487,23487,9.4,17.8,5
G23488,23488,5.36,17.22,2
G23502,23502,4.09,7.5,11
G23503,23503,3.22,7.55,16
G23504,23504,1.23,0,16
G23505,23505,2.7,5.96,18
G23507,23507,1.55,4.74,18
G23508,23508,1.91,6.16,16
G23509,23509,1.45,4.09,16
G23510,23510,0.66,0,18
G23511,23511,4.31,10.43,9
G23513,23513,2.03,0,17
G23517,23517,1.02,3.92,18
G23518,23518,1.93,0,17
G23523,23523,0.9,4.63,18
G23551,23551,2.91,7.1,17
G23601,23601,3.36,0,8
G23602,23602,4.07,9.02,8
G23603,23603,3.78,11.87,8
G23604,23604,2.88,9.65,8
G23605,23605,1.02,7.28,10
G23606,23606,5.78,10.39,8
G23607,23607,0.75,0,15
G23608,23608,0.77,0,8
G23651,23651,6.97,17.32,11
G23661,23661,2.45,6.55,12
G23662,23662,6.93,18.45,8
G23663,23663,5.41,14.15,11
G23664,23664,6.78,18.68,10
G23665,23665,3.4,13.06,8
G23666,23666,1.42,0,10
G23669,23669,3.34,10.87,12
G23690,23690,6.49,19.02,2
G23691,23691,8.81,23.54,1
G23692,23692,6.7,16.67,8
G23693,23693,7.32,14.18,8
G23696,23696,9.61,20.93,2
G23701,23701,4.78,5.92,16
G23702,23702,2.56,5.8,11
G23703,23703,6.14,11.94,18
G23704,23704,0.46,0,18
G23707,23707,2.95,5.75,16
G23708,23708,1.71,7.89,18
G23709,23709,1.05,6.81,18
G23801,23801,1.99,15.69,4
G23803,23803,5.47,0,6
G23805,23805,5,0,5
G23806,23806,1.37,7.02,6
G23821,23821,3.46,0,4
G23824,23824,15.13,28.6,3
G23827,23827,16.64,30,1
G23829,23829,19.65,25.36,2
G23830,23830,6.3,17.05,5
G23831,23831,6.92,10.66,16
G23832,23832,10.83,12.76,13
G23833,23833,12.53,29.57,1
G23834,23834,5.44,22.48,4
G23836,23836,7.68,17.54,17
G23837,23837,11.92,15.36,1
G23838,23838,16.25,28.73,1
G23839,23839,6.15,23.14,4
G23840,23840,5.98,16.3,2
G23841,23841,3.38,0,2
G23842,23842,10.77,15.11,5
G23843,23843,6.4,20.84,1
G23844,23844,14.07,17.06,1
G23846,23846,5.93,26.96,1
G23847,23847,2.36,0,8
G23850,23850,13.52,24.22,1
G23851,23851,1.11,0,1
G23856,23856,13.65,18.07,1
G23857,23857,13.18,29.73,1
G23860,23860,7.79,10.33,6
G23866,23866,2.99,0,3
G23867,23867,11.13,16.46,2
G23868,23868,13.18,20.6,2
G23872,23872,12.39,22.15,2
G23874,23874,11.04,28.32,1
G23875,23875,5.03,0,4
G23878,23878,10.2,26.42,1
G23879,23879,8.27,15.69,9
G23881,23881,10.93,0,2
G23882,23882,2.14,0,1
G23883,23883,6.98,28.67,1
G23884,23884,8.76,18.28,2
G23885,23885,9.06,12.68,4
G23887,23887,13,16.76,1
G23888,23888,7.24,8.96,4
G23889,23889,12.64,20.9,1
G23890,23890,3.22,0,4
G23891,23891,8.15,23.65,1
G23898,23898,7.2,14.74,4
G23899,23899,12.2,9.3,1
G23901,23901,1.4,0,1
G23909,23909,0.52,4.47,1
G23915,23915,7.62,16.47,1
G23917,23917,4.81,0,1
G23919,23919,13.51,27.93,1
G23922,23922,16.5,25.9,2
G23923,23923,3.29,0,1
G23927,23927,9.85,24.23,1
G23930,23930,16.28,25.54,4
G23934,23934,10.38,19.12,1
G23936,23936,12.54,23.81,1
G23937,23937,12.23,27.02,1
G23938,23938,8.29,11.57,8
G23943,23943,6.44,13.36,1
G23944,23944,5.3,0,8
G23947,23947,13.13,20.27,5
G23950,23950,19.45,28.34,1
G23952,23952,7.03,15.16,4
G23958,23958,18.1,26.38,2
G23959,23959,11.66,27.55,1
G23960,23960,10.97,16.99,1
G23966,23966,9.03,14.6,1
G23970,23970,15.62,25.77,2
G23974,23974,2.98,0,7
G24011,24011,0.37,1.89,3
G24012,24012,4.54,7.69,3
G24013,24013,0.99,0,3
G24014,24014,4.11,9.04,3
G24015,24015,2.44,3.68,3
G24016,24016,1.09,0,3
G24017,24017,0.43,0,3
G24018,24018,7.84,11.36,3
G24019,24019,5.56,12.43,3
G24020,24020,6.74,14.28,3
G24054,24054,10.1,14.46,7
G24055,24055,3.33,0,4
G24058,24058,7.05,21.06,2
G24059,24059,15.4,27.16,2
G24060,24060,11.08,15.45,1
G24064,24064,14.14,21.69,5
G24065,24065,12.79,21.72,3
G24067,24067,9.89,29.15,2
G24069,24069,9.72,19.2,8
G24072,24072,11.53,27.6,1
G24073,24073,1.38,0,2
G24077,24077,8.65,17.57,3
G24078,24078,3.13,8.88,4
G24079,24079,14.6,26.92,1
G24083,24083,11.06,20.97,3
G24084,24084,8.5,0,3
G24086,24086,7.45,26.53,1
G24087,24087,13.49,25.67,2
G24088,24088,4.64,0,2
G24089,24089,2.5,12.76,5
G24091,24091,1.35,0,1
G24093,24093,4.59,11.62,10
G24102,24102,7.55,19.99,3
G24112,24112,3.71,0,5
G24120,24120,6.51,12.82,1
G24121,24121,16.15,28.76,2
G24122,24122,13.5,25.43,2
G24124,24124,8.89,20.17,3
G24127,24127,5.8,0,3
G24128,24128,17.6,27.9,1
G24131,24131,9.94,26.84,3
G24134,24134,7.86,0,4
G24136,24136,8.68,16.86,3
G24138,24138,9.16,29.4,1
G24141,24141,7.27,18.63,2
G24142,24142,8.49,15.53,2
G24147,24147,2.33,7.94,9
G24148,24148,3.93,13.4,5
G24149,24149,9.46,16.61,2
G24150,24150,7.61,20.04,1
G24151,24151,11.02,24.67,2
G24153,24153,7.81,14.62,3
G24162,24162,10.02,24.05,1
G24165,24165,13.75,25.04,3
G24167,24167,6.5,16.57,2
G24168,24168,0.89,9.28,4
G24174,24174,9.49,19.93,2
G24175,24175,12.41,26.3,3
G24179,24179,9.44,11.62,3
G24185,24185,9.59,26.06,1
G24201,24201,2.34,0,3
G24202,24202,5.52,10.96,2
G24210,24210,11.19,21.61,5
G24211,24211,11.41,19.56,5
G24216,24216,3.51,0,1
G24219,24219,5.37,16.63,1
G24220,24220,6.41,18.07,2
G24224,24224,5.44,0,3
G24226,24226,5.98,28.74,1
G24236,24236,3.15,0,3
G24239,24239,6.3,29.7,1
G24243,24243,9.21,16.74,5
G24244,24244,16.86,29.04,1
G24245,24245,1.61,0,3
G24246,24246,4.09,17.62,1
G24248,24248,5.54,0,6
G24250,24250,8.82,22.41,2
G24251,24251,10.59,16.72,2
G24256,24256,1.97,0,1
G24258,24258,12.69,29.24,1
G24260,24260,4.71,0,1
G24263,24263,4.88,0,3
G24265,24265,8.55,27.86,2
G24266,24266,12.74,26.49,1
G24271,24271,8.01,25.44,2
G24277,24277,5.27,14.54,4
G24279,24279,5.44,16.15,10
G24280,24280,13.51,20.65,1
G24281,24281,7.14,20.74,2
G24282,24282,1.31,0,4
G24283,24283,4.48,18.89,1
G24290,24290,5.94,11.36,2
G24301,24301,10.15,12.6,1
G24311,24311,8.29,11.4,1
G24313,24313,20.27,26.1,1
G24314,24314,4.89,0,2
G24315,24315,5.24,0,2
G24316,24316,8.64,16.67,2
G24317,24317,15.04,29.54,1
G24319,24319,7.21,15.93,4
G24324,24324,14.28,18.12,1
G24328,24328,13.78,25.21,1
G24340,24340,6.62,8.04,6
G24347,24347,13.35,23.2,1
G24348,24348,12.95,17.39,1
G24352,24352,1.76,0,1
G24354,24354,2.15,0,4
G24361,24361,1.14,0,6
G24366,24366,6.3,22.31,8
G24368,24368,15.8,26.94,1
G24370,24370,5.31,0,4
G24375,24375,10.27,20.84,1
G24377,24377,12.22,28.71,2
G24380,24380,12.26,25.25,1
G24382,24382,12.29,29.15,1
G24415,24415,12.25,27.4,1
G24416,24416,1.19,0,2
G24422,24422,15.43,23.79,1
G24426,24426,7.55,0,1
G24435,24435,9.25,20.02,2
G24441,24441,16.82,25.23,2
G24442,24442,13.21,27.69,2
G24448,24448,12.48,26.29,1
G24450,24450,8.36,0,2
G24457,24457,3.28,18.44,1
G24458,24458,9.18,17.9,2
G24465,24465,5.25,0,2
G24467,24467,15.44,26.93,1
G24471,24471,10.43,19.48,3
G24472,24472,17.64,23.86,2
G24473,24473,9.95,28.62,1
G24474,24474,8.92,20.7,1
G24477,24477,15.03,29.34,1
G24482,24482,20.47,25.15,1
G24486,24486,11.56,15.78,2
G24501,24501,4.41,0,12
G24502,24502,5.37,7.57,11
G24503,24503,6,14.07,11
G24504,24504,7.65,0,12
G24517,24517,14.38,25.19,1
G24521,24521,5.31,0,17
G24522,24522,23.22,24.84,4
G24523,24523,0.54,0,2
G24527,24527,8.58,13.02,5
G24528,24528,16.79,28.69,1
G24529,24529,16.05,23.83,1
G24530,24530,15.04,21.96,1
G24531,24531,3.65,0,2
G24534,24534,17.67,26.55,1
G24536,24536,12.31,24.77,3
G24538,24538,10.84,14.95,12
G24540,24540,2.89,0,10
G24541,24541,7.77,0,9
G24549,24549,11.37,23.06,2
G24550,24550,11.83,26.76,8
G24551,24551,11.28,20.76,12
G24553,24553,15.64,22.84,1
G24554,24554,12.8,20.58,1
G24555,24555,10.02,18.84,2
G24556,24556,10,18.67,5
G24557,24557,13.78,24.61,1
G24558,24558,7.91,15.81,1
G24565,24565,14.61,29.85,1
G24566,24566,13.31,24.35,1
G24570,24570,7.15,17.94,2
G24572,24572,1.4,0,12
G24574,24574,13.58,15.71,11
G24578,24578,15.46,20.8,2
G24579,24579,16.59,24.27,1
G24586,24586,7.9,19.68,4
G24588,24588,1.31,0,11
G24589,24589,10.77,19.93,1
G24590,24590,7.16,18.8,1
G24592,24592,5.22,0,1
G24593,24593,13.66,21.76,11
G24595,24595,3.13,10.54,15
G24599,24599,14.7,28.24,2
G24603,24603,13.07,27.95,1
G24604,24604,7.23,19.08,2
G24605,24605,9.36,13.3,9
G24606,24606,10.14,23.99,3
G24607,24607,8.1,28.58,1
G24609,24609,11.91,23.45,2
G24613,24613,7.39,13.94,3
G24614,24614,6.28,0,2
G24620,24620,0.71,0,1
G24628,24628,9.23,26.43,1
G24630,24630,4.16,0,2
G24631,24631,6.12,20.15,2
G24634,24634,9.97,24.84,1
G24635,24635,6.67,22.72,3
G24637,24637,15.67,19.73,2
G24641,24641,18.59,29.33,2
G24649,24649,11.05,24.86,1
G24651,24651,4.32,0,2
G24656,24656,4.5,0,2
G24657,24657,12.21,18.57,1
G24701,24701,3.74,0,9
G24712,24712,9.44,13.3,5
G24714,24714,7.4,19.22,5
G24715,24715,4.31,17.45,5
G24724,24724,2.63,11.85,9
G24729,24729,9.08,20.47,6
G24731,24731,0.8,0,9
G24733,24733,6.17,12.76,6
G24736,24736,8.7,18.27,6
G24737,24737,1.33,12.24,9
G24738,24738,4.93,15.55,3
G24740,24740,3.44,0,11
G24747,24747,5.04,0,9
G24801,24801,0.87,0,5
G24808,24808,6.9,26.18,3
G24811,24811,4.17,11.1,1
G24813,24813,5.99,9.84,3
G24816,24816,8.24,18.05,4
G24817,24817,0.64,0,1
G24818,24818,6.4,20.38,1
G24822,24822,6.23,15.99,1
G24826,24826,8.64,29.56,1
G24827,24827,5.98,21.77,4
G24828,24828,5.74,22.71,2
G24830,24830,4.77,11.42,4
G24831,24831,2.46,10.81,8
G24834,24834,7.32,26.13,1
G24836,24836,2.97,0,4
G24839,24839,9.4,21.54,2
G24843,24843,9.17,25.13,2
G24844,24844,9.1,21.52,3
G24845,24845,8.81,22.15,3
G24847,24847,8.3,21.18,1
G24849,24849,4.67,12.68,2
G24850,24850,4.39,7.05,1
G24851,24851,2.43,11.35,5
G24853,24853,3.61,11.63,5
G24854,24854,6.94,8.7,1
G24857,24857,2.61,9.75,2
G24860,24860,2.14,8.85,2
G24861,24861,6.56,15.38,4
G24867,24867,6.18,13.97,1
G24868,24868,1.94,0,3
G24869,24869,5.1,20.52,2
G24870,24870,7.35,0,2
G24871,24871,5.54,14.94,5
G24873,24873,5.26,17.74,1
G24874,24874,2.35,0,2
G24878,24878,2.8,13.92,4
G24879,24879,4.11,4.33,1
G24880,24880,4.82,9.59,2
G24881,24881,7.07,14.7,4
G24882,24882,6.96,29.29,2
G24887,24887,4.15,15.85,4
G24888,24888,4.52,7.96,5
G24892,24892,8.44,17.62,3
G24894,24894,9.5,21.96,3
G24898,24898,4.93,13.19,1
G24901,24901,3.44,0,12
G24910,24910,1.58,0,4
G24915,24915,4.27,0,4
G24916,24916,6.79,15.23,11
G24918,24918,4.97,10.92,4
G24920,24920,15.87,12.62,5
G24924,24924,5.46,0,5
G24925,24925,7.11,10.72,15
G24927,24927,7.78,14.6,4
G24931,24931,3.02,0,15
G24934,24934,5.02,0,4
G24935,24935,1.61,0,8
G24938,24938,1.14,0,9
G24941,24941,13.18,20.34,3
G24944,24944,4.2,0,4
G24945,24945,5.56,16.68,8
G24946,24946,5.74,0,5
G24951,24951,1.55,0,6
G24954,24954,3.49,0,5
G24957,24957,1.82,10.75,12
G24962,24962,2.59,13.76,4
G24963,24963,2.6,0,9
G24966,24966,11.95,19.98,3
G24970,24970,2.79,10.59,17
G24974,24974,9.21,22.65,11
G24976,24976,6.56,9.17,14
G24977,24977,3.42,23.21,4
G24981,24981,2.37,0,4
G24983,24983,1.52,0,4
G24986,24986,11.03,0,10
G24991,24991,2.61,0,1
G25002,25002,6.11,6.95,6
G25003,25003,1.89,0,20
G25005,25005,9.68,25.02,2
G25007,25007,3.15,11.34,3
G25008,25008,1.79,0,2
G25009,25009,8.6,25.27,1
G25011,25011,3.75,14.55,17
G25015,25015,3.2,0,7
G25019,25019,6.45,20.18,6
G25021,25021,2.35,17.99,1
G25024,25024,2.28,8.5,2
G25028,25028,5.74,23.38,3
G25030,25030,0.5,0,3
G25031,25031,3.94,3.33,6
G25033,25033,4.37,0,6
G25035,25035,4.05,19.63,5
G25036,25036,5.05,7.93,4
G25039,25039,4.11,0,8
G25040,25040,6.8,9.27,6
G25043,25043,5.67,0,5
G25044,25044,2.63,9.58,4
G25045,25045,4.35,0,4
G25047,25047,6.53,25.88,2
G25048,25048,5.65,16.28,2
G25049,25049,3.41,0,2
G25051,25051,6.95,27.36,1
G25053,25053,3.73,8.98,5
G25054,25054,4.86,20.52,5
G25057,25057,6.48,12.26,6
G25059,25059,8.28,15.59,5
G25060,25060,5.15,13.45,2
G25061,25061,1.04,16.15,8
G25062,25062,1.97,14.19,2
G25063,25063,6.77,0,3
G25064,25064,1.5,0,25
G25067,25067,1.86,0,8
G25070,25070,0.8,0,14
G25071,25071,2.51,0,16
G25076,25076,3.42,13.39,8
G25081,25081,4.11,15.25,6
G25082,25082,2.65,18.43,14
G25083,25083,9.25,18.65,9
G25085,25085,7.41,15.83,8
G25086,25086,1.55,4.11,8
G25088,25088,4.99,24.69,1
G25090,25090,6.71,12.88,9
G25093,25093,7.46,29.38,2
G25102,25102,3.98,7.24,5
G25103,25103,4.57,7.04,7
G25106,25106,7.49,16.22,3
G25107,25107,8.61,21.71,11
G25108,25108,8.92,29.13,2
G25109,25109,1.86,11.38,16
G25110,25110,3.83,9.06,5
G25111,25111,3.96,14.12,1
G25112,25112,0.46,5.8,22
G25113,25113,2.42,0,2
G25114,25114,7.34,20.32,2
G25115,25115,6.36,14.64,6
G25118,25118,6.71,16.6,3
G25119,25119,9.17,19.32,11
G25121,25121,8.3,20.08,5
G25125,25125,1.84,0,1
G25126,25126,4.35,7.19,5
G25130,25130,4.47,0,5
G25132,25132,9.56,16.43,1
G25133,25133,3.37,19.02,7
G25134,25134,2.6,0,4
G25136,25136,2.45,4.35,4
G25139,25139,4.1,9.14,4
G25140,25140,3.1,15.11,2
G25141,25141,2.99,17.96,2
G25143,25143,2.17,11.49,23
G25148,25148,6.06,12.88,3
G25149,25149,8.37,23.01,2
G25152,25152,8.46,20.12,11
G25154,25154,5.8,14.79,4
G25156,25156,2.71,5.69,5
G25159,25159,7.34,16.12,19
G25160,25160,8.29,25.38,1
G25161,25161,11.1,20.86,2
G25162,25162,3.25,8.44,5
G25164,25164,7.23,19.06,8
G25165,25165,2.88,9.09,2
G25168,25168,2.43,12.32,13
G25169,25169,8.28,29.32,2
G25173,25173,8.26,26.32,2
G25174,25174,2.97,0,1
G25177,25177,1.72,0,22
G25180,25180,5.85,25.15,2
G25181,25181,5.92,0,2
G25183,25183,9.99,28.53,2
G25185,25185,6.76,19.08,3
G25186,25186,2.44,0,7
G25193,25193,4.68,7.62,2
G25201,25201,6.47,18.42,9
G25202,25202,5.18,16.72,6
G25203,25203,5.66,13.91,6
G25205,25205,4.62,7.74,2
G25206,25206,7.39,18.05,3
G25208,25208,4.54,0,1
G25209,25209,1.97,0,2
G25213,25213,2.46,0,13
G25214,25214,3.88,17.15,5
G25234,25234,1.96,0,8
G25235,25235,6.78,19.39,3
G25239,25239,10.07,19,3
G25241,25241,7.57,16.4,3
G25243,25243,13.21,22.02,1
G25247,25247,4.53,20.2,3
G25248,25248,15.24,22.74,2
G25260,25260,2.64,15.23,4
G25261,25261,1.87,11.9,7
G25262,25262,6.07,16.69,4
G25264,25264,10.18,24.86,3
G25265,25265,3.62,24.07,2
G25266,25266,7.67,29.13,1
G25267,25267,6.82,24.41,5
G25268,25268,5.43,12.82,8
G25270,25270,8.8,23.95,1
G25271,25271,1.93,0,3
G25275,25275,11.14,21.99,3
G25276,25276,1.7,0,2
G25285,25285,6.43,25.55,2
G25286,25286,11.91,26.67,3
G25287,25287,7.2,19.59,3
G25301,25301,0.75,0,25
G25302,25302,2.26,0,22
G25303,25303,1.3,6.65,26
G25304,25304,1.62,0,10
G25305,25305,2.29,2.63,25
G25306,25306,6.44,13.72,18
G25309,25309,4,0,19
G25311,25311,2,0,21
G25312,25312,1.87,0,18
G25313,25313,2.36,0,22
G25314,25314,3.38,0,22
G25315,25315,4.35,12.66,14
G25320,25320,6.38,17.67,16
G25401,25401,1.44,0,10
G25403,25403,2.72,7.58,8
G25404,25404,3.87,0,7
G25405,25405,5.69,10.38,4
G25411,25411,5.09,0,3
G25413,25413,13.09,19.55,6
G25414,25414,4.97,0,3
G25419,25419,10.26,17.15,7
G25420,25420,13.02,28.02,2
G25422,25422,7.1,28.44,1
G25425,25425,3.88,19.81,1
G25427,25427,9.58,29.12,2
G25428,25428,9.79,13.26,6
G25430,25430,7.37,18.66,4
G25432,25432,4,14.08,1
G25434,25434,6.82,0,1
G25437,25437,12.28,27.6,3
G25438,25438,2.15,7.79,4
G25442,25442,6.08,17.29,4
G25443,25443,10.2,16.99,8
G25444,25444,10.57,24.49,1
G25446,25446,9.44,16.35,3
G25501,25501,7.33,19.24,4
G25504,25504,3.9,0,23
G25505,25505,3.22,8.15,8
G25506,25506,5.88,0,5
G25507,25507,2.43,9.39,25
G25508,25508,0.6,0,10
G25510,25510,5.38,11.37,15
G25512,25512,9.49,27.97,3
G25514,25514,4.98,0,4
G25515,25515,2.43,0,2
G25517,25517,9.89,22.65,2
G25521,25521,1.77,0,4
G25523,25523,2.76,0,5
G25524,25524,1.85,0,5
G25526,25526,4.37,0,24
G25529,25529,8.05,12.95,8
G25530,25530,3.4,12.29,25
G25534,25534,6.63,13.35,4
G25535,25535,3.74,14.45,21
G25537,25537,6.82,18.83,9
G25540,25540,4.82,15.31,2
G25541,25541,1.88,0,14
G25545,25545,3.47,0,21
G25547,25547,4.77,10.3,5
G25550,25550,3.44,0,3
G25555,25555,8.49,27.04,1
G25557,25557,3.06,0,6
G25559,25559,0.68,0,19
G25560,25560,2.72,0,26
G25564,25564,4.24,10.21,6
G25567,25567,4.44,14.97,3
G25570,25570,1.76,0,10
G25571,25571,3.31,11.6,7
G25573,25573,3.23,9.33,4
G25601,25601,0.95,0,8
G25606,25606,3.75,16.94,3
G25607,25607,7.02,24.4,3
G25608,25608,3.4,21.57,2
G25611,25611,3.37,6.33,8
G25617,25617,5.31,6.39,4
G25621,25621,2.51,0,5
G25624,25624,4.71,12.89,7
G25625,25625,4.36,10.66,7
G25628,25628,2.9,10.66,5
G25632,25632,4.19,7.83,8
G25634,25634,0.59,0,8
G25635,25635,1.9,0,8
G25637,25637,1.07,0,8
G25638,25638,9.58,18.82,5
G25639,25639,4.2,13.61,7
G25644,25644,10.22,25.14,5
G25646,25646,5.39,9.1,8
G25647,25647,5.33,12.99,9
G25649,25649,2.64,8.78,7
G25650,25650,5.3,11.25,5
G25651,25651,7.57,28.14,2
G25652,25652,6.06,15.13,5
G25653,25653,1.85,5.99,8
G25654,25654,6.22,13.66,8
G25661,25661,2.77,0,9
G25669,25669,5.91,21.47,1
G25670,25670,3.28,0,9
G25674,25674,4.44,0,1
G25678,25678,13.26,29.34,2
G25688,25688,8.59,18.83,11
G25690,25690,5.07,7.15,8
G25692,25692,9.11,26.1,2
G25696,25696,6.09,17.72,10
G25701,25701,2.37,0,29
G25702,25702,2.27,0,24
G25703,25703,0.52,0,22
G25704,25704,2.62,0,20
G25705,25705,0.97,0,27
G25801,25801,4.44,0,31
G25810,25810,11.15,24.53,1
G25811,25811,12.6,19.76,6
G25812,25812,1.98,0,13
G25813,25813,1.58,8.36,26
G25817,25817,4.7,10.18,17
G25818,25818,3.22,5.6,27
G25820,25820,9.28,23.73,5
G25823,25823,3.56,0,19
G25825,25825,4.43,9.83,19
G25826,25826,12.26,28.14,1
G25827,25827,1.21,0,30
G25831,25831,9.83,17.84,5
G25832,25832,0.38,0,21
G25836,25836,4.28,15.17,21
G25837,25837,3.08,14.18,13
G25839,25839,2.76,5.79,18
G25840,25840,1.46,0,15
G25841,25841,11.64,26.15,2
G25843,25843,8.04,13.24,25
G25844,25844,3.73,0,4
G25845,25845,7.02,21.3,2
G25846,25846,1.98,7.2,28
G25849,25849,2.69,6.09,24
G25853,25853,7.41,12.24,16
G25854,25854,2.59,0,17
G25855,25855,0.49,7.52,26
G25857,25857,6.95,13.13,3
G25862,25862,4.62,7.94,15
G25865,25865,4.75,16.52,17
G25868,25868,0.57,0,14
G25870,25870,10.66,22.23,17
G25871,25871,0.54,0,30
G25873,25873,1.85,3.4,30
G25875,25875,9.5,19.71,1
G25876,25876,7.24,12.91,1
G25878,25878,1.37,6.36,24
G25879,25879,2.57,10.69,9
G25880,25880,2.81,0,27
G25882,25882,10.52,28.36,1
G25901,25901,3.39,0,28
G25902,25902,10.86,21.97,5
G25904,25904,5.33,18.19,23
G25906,25906,4.63,19.16,25
G25907,25907,7.07,22.49,25
G25908,25908,3.04,18.75,4
G25911,25911,2.24,9.73,26
G25913,25913,9.73,26.78,2
G25915,25915,9.66,20.6,5
G25916,25916,7.99,26.87,2
G25917,25917,6.36,0,23
G25918,25918,7.54,0,18
G25920,25920,5.86,12.61,25
G25921,25921,5.04,0,24
G25922,25922,6.42,13.75,6
G25932,25932,2.94,11.92,25
G25938,25938,3.85,9.42,8
G25942,25942,3.56,8.5,8
G25951,25951,1.95,0,5
G25958,25958,2.73,0,7
G25962,25962,2.3,0,9
G25969,25969,3.67,23.34,7
G25971,25971,11.75,20.99,4
G25972,25972,4.25,5.02,4
G25976,25976,0.76,0,6
G25977,25977,5.41,21.99,4
G25978,25978,3.25,25.92,6
G25979,25979,10,29.46,4
G25981,25981,8.23,9.1,5
G25984,25984,9.12,11.06,5
G25989,25989,2.28,7.95,19
G26003,26003,5.47,0,3
G26030,26030,5.59,10.22,14
G26031,26031,3.9,11,3
G26032,26032,8.74,16.39,8
G26034,26034,4.59,10.02,6
G26035,26035,4.25,13.35,14
G26037,26037,2.7,9.62,15
G26038,26038,7.84,19.45,1
G26040,26040,5.78,12.24,3
G26041,26041,13.76,23.47,1
G26047,26047,1.9,0,9
G26050,26050,1.54,0,6
G26056,26056,1.57,2.99,9
G26059,26059,9.32,10.69,14
G26060,26060,13.08,16.87,12
G26062,26062,1.92,0,16
G26070,26070,2.99,0,13
G26074,26074,10.58,22.02,3
G26075,26075,8.19,17.8,3
G26101,26101,1.81,0,10
G26104,26104,3.01,0,7
G26105,26105,3.73,13.51,7
G26134,26134,8.99,10.08,1
G26136,26136,4.84,18.92,5
G26137,26137,5.07,17.66,5
G26142,26142,7.27,12.14,6
G26143,26143,1.49,0,6
G26147,26147,2.03,0,7
G26150,26150,7.77,12.7,8
G26151,26151,5.84,0,7
G26160,26160,7.22,12.2,2
G26164,26164,4.57,0,4
G26169,26169,12.45,20.64,6
G26170,26170,5.84,0,2
G26178,26178,9.86,26.89,6
G26180,26180,12.28,26.29,5
G26181,26181,8.38,14.46,7
G26184,26184,12.03,25.76,6
G26187,26187,9.14,20.42,6
G26201,26201,1.5,0,16
G26202,26202,4.52,10.59,6
G26205,26205,0.23,0,12
G26206,26206,3.03,0,6
G26208,26208,6.43,0,6
G26215,26215,11.61,22.48,1
G26218,26218,4.47,0,11
G26224,26224,3.39,0,1
G26228,26228,7.78,14.3,2
G26230,26230,4.57,18.05,1
G26234,26234,6.09,0,11
G26236,26236,4.06,17.88,1
G26238,26238,7.66,19.89,12
G26241,26241,3.46,0,13
G26250,26250,1.67,0,12
G26253,26253,9.35,13.59,11
G26254,26254,8.92,12.7,9
G26257,26257,9.51,19.75,9
G26259,26259,7.87,11.26,11
G26260,26260,8.69,17.34,1
G26261,26261,1.42,0,6
G26263,26263,6.44,25.31,1
G26264,26264,12.98,17.57,3
G26266,26266,1.55,9.6,6
G26267,26267,8.46,28.77,9
G26269,26269,3.72,0,4
G26270,26270,6.39,0,9
G26271,26271,8.67,9.85,4
G26273,26273,8.45,6.84,3
G26275,26275,4.54,8.71,21
G26276,26276,9.07,16.34,11
G26280,26280,3.65,0,11
G26283,26283,9.4,19.59,11
G26285,26285,5.16,14.94,18
