"","GEOID","year","TotalPop","TotalVetPop","VetPercent","MalePop","MaleVetPop","Male18To34","MaleVet18To34","Male35To54","MaleVet35To54","Male55To64","MaleVet55To64","Male65To74","MaleVet65To74","Male75Plus","MaleVet75Plus","FemalePop","FemaleVetPop","Female18To34","FemaleVet18To34","Female35To54","FemaleVet35To54","Female55To64","FemaleVet55To64","Female65To74","FemaleVet65To74","Female75Plus","FemaleVet75Plus"
"2461","47065",2010,256801,28136,10.96,121084,26523,36985,1335,44986,6270,19839,7657,11209,5274,8065,5987,135717,1613,38218,239,47665,653,21651,413,13769,204,14414,104
"2462","47067",2010,5321,458,8.61,2628,423,651,46,992,32,502,139,291,117,192,89,2693,35,618,0,946,35,490,0,344,0,295,0
"2463","47069",2010,21641,2022,9.34,11975,1913,4148,100,4473,598,1728,469,1014,381,612,365,9666,109,2461,6,3403,60,1680,35,1107,0,1015,8
"2464","47071",2010,20221,2172,10.74,9715,2073,2344,74,3589,379,1733,655,1290,477,759,488,10506,99,2344,27,3654,42,1931,4,1372,26,1205,0
"2465","47073",2010,43760,5103,11.66,21149,4760,5099,100,8242,1144,3801,1447,2609,1183,1398,886,22611,343,5258,142,8344,125,4031,43,2760,33,2218,0
"2466","47075",2010,14016,1243,8.87,6382,1176,1788,51,2484,444,1094,301,613,206,403,174,7634,67,2029,0,2845,48,1202,19,799,0,759,0
"2467","47077",2010,20819,2169,10.42,9832,2052,2654,119,3826,490,1671,630,1022,427,659,386,10987,117,2804,20,4024,85,1864,0,1219,12,1076,0
"2468","47079",2010,24971,3460,13.86,11880,3279,2755,258,4235,589,2221,925,1668,815,1001,692,13091,181,2833,12,4476,122,2372,4,1760,0,1650,43
"2469","47081",2010,18823,1919,10.19,9965,1895,2789,115,4216,539,1498,490,924,480,538,271,8858,24,2232,0,3334,24,1509,0,980,0,803,0
"2470","47083",2010,6252,828,13.24,3085,775,789,20,1100,241,560,176,387,172,249,166,3167,53,707,12,1093,15,567,4,419,0,381,22
"2471","47085",2010,14015,1695,12.09,6818,1609,1609,48,2541,313,1273,385,883,477,512,386,7197,86,1715,4,2533,70,1282,9,892,0,775,3
"2472","47087",2010,9070,992,10.94,4463,941,1034,24,1688,227,862,333,562,253,317,104,4607,51,966,10,1733,21,861,0,589,0,458,20
"2473","47089",2010,39160,4727,12.07,18998,4421,5279,197,6969,1017,3193,1309,2380,1202,1177,696,20162,306,5229,35,7267,191,3481,14,2466,23,1719,43
"2474","47091",2010,14884,1712,11.5,7959,1627,2198,26,3068,360,1260,490,928,412,505,339,6925,85,1431,0,2385,30,1378,0,880,22,851,33
"2475","47093",2010,330402,31018,9.39,157655,29152,53239,1580,58600,8127,23424,8323,13167,5251,9225,5871,172747,1866,54187,368,60880,1010,25676,220,15909,70,16095,198
"2476","47095",2010,6549,771,11.77,4215,742,1568,104,1683,275,513,139,260,105,191,119,2334,29,562,5,770,15,407,0,314,6,281,3
"2477","47097",2010,20885,1804,8.64,10930,1763,3852,103,4241,552,1440,463,881,347,516,298,9955,41,2816,31,3617,6,1548,0,1063,0,911,4
"2478","47099",2010,30760,3194,10.38,14662,3062,3942,123,5516,591,2475,926,1686,697,1043,725,16098,132,4086,13,5758,63,2550,35,1901,0,1803,21
"2479","47101",2010,8951,1185,13.24,4311,1090,1135,112,1596,289,803,264,487,283,290,142,4640,95,1104,24,1652,0,845,35,533,18,506,18
"2480","47103",2010,25135,2822,11.23,12031,2746,3070,164,4684,703,1968,779,1392,618,917,482,13104,76,3089,25,4686,20,2183,9,1664,22,1482,0
"2481","47105",2010,37345,5526,14.8,18053,5286,3864,113,6363,1201,3471,1477,2881,1485,1474,1010,19292,240,3761,35,6501,103,3810,48,2999,26,2221,28
"2482","47107",2010,39995,4650,11.63,19022,4478,4809,298,7317,1042,3288,1180,2203,1110,1405,848,20973,172,5047,19,7702,66,3485,47,2519,12,2220,28
"2483","47109",2010,19645,2187,11.13,9473,2102,2338,101,3466,408,1750,667,1176,483,743,443,10172,85,2340,5,3605,38,1813,19,1271,13,1143,10
"2484","47111",2010,16283,1321,8.11,7939,1260,2329,116,3006,396,1376,287,767,235,461,226,8344,61,2174,0,3088,61,1386,0,920,0,776,0
"2485","47113",2010,73277,7118,9.71,33935,6643,10862,376,12656,1640,5320,2018,3015,1213,2082,1396,39342,475,11982,113,14311,232,5826,64,3605,16,3618,50
"2486","47115",2010,21929,2262,10.32,10607,2222,2828,166,3964,564,1945,619,1237,541,633,332,11322,40,2700,0,4184,3,2056,37,1354,0,1028,0
"2487","47117",2010,22301,2540,11.39,10705,2429,2966,114,4286,872,1805,678,1042,416,606,349,11596,111,2990,0,4545,90,1926,12,1090,0,1045,9
"2488","47119",2010,59619,5993,10.05,28210,5571,8500,315,10991,1508,4654,1783,2496,907,1569,1058,31409,422,8758,91,11878,168,4907,121,2975,28,2891,14
"2489","47121",2010,9035,1219,13.49,4491,1108,1061,56,1692,215,914,342,537,305,287,190,4544,111,1102,57,1655,38,898,0,523,0,366,16
"2490","47123",2010,33725,3412,10.12,16388,3229,4243,242,6068,589,3038,943,2056,824,983,631,17337,183,4196,10,6220,113,3173,32,2191,28,1557,0
"2491","47125",2010,108255,24461,22.6,48347,20066,17377,4061,18870,8329,6406,3667,3478,2198,2216,1811,59908,4395,22861,1908,22405,2104,7219,233,4264,70,3159,80
"2492","47127",2010,4826,602,12.47,2393,550,533,35,929,121,432,183,317,90,182,121,2433,52,553,0,868,52,445,0,295,0,272,0
"2493","47129",2010,16911,1873,11.08,9340,1784,2860,68,3751,467,1397,548,882,401,450,300,7571,89,1750,11,2890,38,1351,10,906,9,674,21
"2494","47131",2010,24528,2851,11.62,11656,2749,3000,264,4426,612,2063,778,1324,572,843,523,12872,102,3103,0,4543,62,2214,5,1587,25,1425,10
"2495","47133",2010,16697,1541,9.23,8095,1490,2022,54,3057,345,1445,430,1029,306,542,355,8602,51,2045,30,3047,12,1520,0,1130,9,860,0
"2496","47135",2010,6051,704,11.63,3032,682,733,39,1092,133,577,239,396,142,234,129,3019,22,675,7,1050,11,572,0,397,4,325,0
"2497","47137",2010,3961,361,9.11,2062,358,624,12,685,55,398,125,183,62,172,104,1899,3,408,0,558,0,394,0,187,0,352,3
"2498","47139",2010,12992,1314,10.11,6446,1282,1574,42,2427,264,1198,444,828,334,419,198,6546,32,1450,0,2369,8,1255,0,835,24,637,0
"2499","47141",2010,55222,5218,9.45,27004,5050,10372,354,8625,990,3735,1433,2604,1182,1668,1091,28218,168,9101,10,9150,77,4271,54,2965,14,2731,13
"2500","47143",2010,23871,2321,9.72,11408,2125,3147,38,4218,515,1992,597,1291,439,760,536,12463,196,3381,23,4286,121,2124,37,1503,15,1169,0
"2501","47145",2010,42708,6441,15.08,20629,6182,4553,390,7778,1419,4070,1879,2548,1274,1680,1220,22079,259,4625,30,7900,133,4145,37,2818,33,2591,26
"2502","47147",2010,47399,4600,9.7,23090,4254,6827,318,9432,1056,3527,1070,2135,1090,1169,720,24309,346,6676,23,9813,153,3702,128,2300,32,1818,10
"2503","47149",2010,183977,18336,9.97,89656,16747,35195,1780,34963,5683,10858,4653,5508,2443,3132,2188,94321,1589,35045,315,36299,995,11621,171,6265,47,5091,61
"2504","47151",2010,16521,1327,8.03,8031,1236,2377,38,3085,381,1331,384,785,242,453,191,8490,91,2303,17,3159,63,1370,0,915,11,743,0
"2505","47153",2010,10470,1098,10.49,5088,1033,1310,30,1962,309,885,247,624,314,307,133,5382,65,1341,0,2010,16,919,29,663,10,449,10
"2506","47155",2010,67987,7193,10.58,32649,6648,8603,356,12625,1656,5535,2011,3883,1334,2003,1291,35338,545,8454,134,13456,278,6294,40,4121,77,3013,16
"2507","47157",2010,672110,62382,9.28,312579,57253,107709,3582,122570,18631,45917,15864,21537,9153,14846,10023,359531,5129,113435,698,137739,2922,52059,867,28521,455,27777,187
"2508","47159",2010,14368,1441,10.03,6927,1322,1800,71,2850,373,1172,422,710,250,395,206,7441,119,1950,0,2858,117,1192,0,736,0,705,2
"2509","47161",2010,9678,1717,17.74,4678,1582,968,88,1853,444,911,476,599,290,347,284,5000,135,1035,35,1914,76,887,11,636,13,528,0
"2510","47163",2010,123094,15834,12.86,58403,15120,14022,816,22160,2790,10412,4132,7086,3986,4723,3396,64691,714,14214,158,23198,313,11236,157,8205,66,7838,20
"2511","47165",2010,115731,12748,11.02,55360,12171,15167,761,23110,3661,9093,3552,5083,2183,2907,2014,60371,577,15654,105,24181,286,9648,102,6026,63,4862,21
"2512","47167",2010,42972,5455,12.69,20619,4952,6084,308,8562,1545,3171,1519,1854,971,948,609,22353,503,6085,100,9236,210,3435,159,2071,6,1526,28
"2513","47169",2010,5838,647,11.08,2800,622,823,92,1029,185,494,82,337,227,117,36,3038,25,769,0,1198,0,499,25,303,0,269,0
"2514","47171",2010,14523,1855,12.77,7015,1782,1606,37,2624,529,1282,421,919,415,584,380,7508,73,1618,11,2602,41,1324,8,991,6,973,7
"2515","47173",2010,14495,1025,7.07,7056,973,1940,50,2757,190,1246,336,783,237,330,160,7439,52,1882,0,2886,23,1258,13,865,16,548,0
"2516","47175",2010,4310,418,9.7,2151,399,505,15,785,51,450,180,282,103,129,50,2159,19,464,0,794,6,433,13,281,0,187,0
"2517","47177",2010,29902,2822,9.44,14518,2647,4124,106,5612,746,2308,633,1476,545,998,617,15384,175,4075,14,5559,112,2412,11,1801,27,1537,11
"2518","47179",2010,95094,12052,12.67,45827,11226,14018,553,16817,3034,7410,3424,4545,1937,3037,2278,49267,826,14648,171,16965,343,7555,125,5173,99,4926,88
"2519","47181",2010,13560,1456,10.74,7536,1420,2413,118,2843,380,1150,418,704,241,426,263,6024,36,1344,0,2170,20,1061,7,776,9,673,0
"2520","47183",2010,27467,2749,10.01,13202,2537,4713,160,4289,468,2003,841,1307,531,890,537,14265,212,4632,140,4475,46,2192,19,1429,7,1537,0
"2521","47185",2010,19632,2283,11.63,9491,2142,2409,188,3508,432,1691,562,1118,460,765,500,10141,141,2370,12,3615,72,1759,29,1311,28,1086,0
"2522","47187",2010,123174,10935,8.88,58898,10172,13642,371,28275,2729,10068,3339,4358,2084,2555,1649,64276,763,14531,40,30674,509,10015,71,4905,7,4151,136
"2523","47189",2010,81692,9152,11.2,39516,8582,10247,333,17071,2429,6594,2631,3799,2017,1805,1172,42176,570,10500,80,17901,321,6754,53,4000,28,3021,88
"2524","48001",2010,46460,5446,11.72,28898,5217,9493,340,12636,1772,3466,1227,2088,1028,1215,850,17562,229,4726,8,6221,172,2656,33,2114,6,1845,10
"2525","48003",2010,9960,929,9.33,4807,842,1483,100,1916,125,731,223,333,167,344,227,5153,87,1533,27,2006,41,667,19,458,0,489,0
"2526","48005",2010,62158,6786,10.92,30015,6582,9115,521,11324,1643,4668,1733,2893,1299,2015,1386,32143,204,9475,93,11506,68,4728,9,3332,8,3102,26
"2527","48007",2010,18431,3259,17.68,8910,3105,1556,194,2997,553,1755,669,1596,952,1006,737,9521,154,1802,42,3099,50,1881,14,1600,26,1139,22
"2528","48009",2010,6739,858,12.73,3350,800,787,51,1346,178,551,175,408,243,258,153,3389,58,736,19,1356,5,533,0,434,30,330,4
"2529","48011",2010,1491,214,14.35,751,198,181,25,238,33,151,51,108,39,73,50,740,16,200,8,206,3,128,3,93,0,113,2
"2530","48013",2010,31243,3061,9.8,15268,2816,4390,175,5884,808,2546,904,1459,508,989,421,15975,245,4516,111,5957,87,2601,34,1594,0,1307,13
"2531","48015",2010,20752,2377,11.45,10098,2145,2584,149,3884,488,1662,559,1137,418,831,531,10654,232,2512,53,3968,99,1780,0,1243,73,1151,7
"2532","48017",2010,4909,366,7.46,2556,366,957,0,772,82,494,136,197,66,136,82,2353,0,686,0,772,0,414,0,285,0,196,0
"2533","48019",2010,16110,3218,19.98,7962,2975,1393,107,2967,836,1644,711,1223,831,735,490,8148,243,1273,0,3193,78,1766,55,1150,47,766,63
"2534","48021",2010,53076,6961,13.12,27031,6503,7553,431,11284,1894,4570,1813,2074,1354,1550,1011,26045,458,6732,48,10706,266,4303,94,2302,32,2002,18
"2535","48023",2010,2923,387,13.24,1388,387,267,22,463,78,284,102,222,94,152,91,1535,0,236,0,423,0,378,0,183,0,315,0
"2536","48025",2010,25123,2360,9.39,16013,2116,6180,68,6841,777,1520,641,834,326,638,304,9110,244,2590,55,3259,137,1410,2,949,27,902,23
"2537","48027",2010,186525,39775,21.32,83441,32367,29556,4747,30998,13233,11766,6482,6577,4313,4544,3592,103084,7408,38975,2944,36743,3521,12754,641,7651,165,6961,137
"2538","48029",2010,1177471,154071,13.08,561128,133047,203949,15460,211660,42216,75013,33032,40799,21505,29707,20834,616343,21024,207280,5742,226669,10449,85144,2754,49470,1046,47780,1033
"2539","48031",2010,7889,1112,14.1,3923,999,851,15,1449,123,776,327,537,258,310,276,3966,113,789,2,1364,45,907,26,493,5,413,35
"2540","48033",2010,434,60,13.82,250,60,48,0,121,4,28,16,17,16,36,24,184,0,23,0,72,0,16,0,36,0,37,0
"2541","48035",2010,13911,2033,14.61,6832,1946,1458,121,2361,329,1364,510,960,527,689,459,7079,87,1374,0,2387,17,1318,15,1035,31,965,24
"2542","48037",2010,68843,8661,12.58,34582,8009,10954,610,13216,2258,5201,2172,3018,1565,2193,1404,34261,652,9038,152,12390,284,5407,158,3582,10,3844,48
"2543","48039",2010,216631,21850,10.09,109812,20378,34251,1795,47574,5936,15456,6180,7978,3465,4553,3002,106819,1472,32634,402,44099,768,14602,174,8493,44,6991,84
"2544","48041",2010,147271,8510,5.78,74159,7910,44996,1203,17493,1585,6031,1985,3330,1550,2309,1587,73112,600,41010,151,18182,213,6415,70,3890,42,3615,124
"2545","48043",2010,7198,681,9.46,3584,634,971,8,1250,95,691,159,471,257,201,115,3614,47,1095,0,1116,19,620,12,396,9,387,7
"2546","48045",2010,1332,157,11.79,667,146,166,0,200,12,126,46,96,43,79,45,665,11,114,0,243,0,101,11,114,0,93,0
"2547","48047",2010,5285,349,6.6,2367,339,841,0,740,111,260,72,348,69,178,87,2918,10,717,0,991,0,468,0,361,0,381,10
"2548","48049",2010,28766,3796,13.2,14065,3620,3985,139,4882,768,2399,1027,1510,869,1289,817,14701,176,3911,13,4846,112,2412,20,1757,13,1775,18
"2549","48051",2010,12960,1412,10.9,6296,1370,1493,19,2327,292,1211,337,789,332,476,390,6664,42,1514,0,2406,12,1132,13,787,17,825,0
"2550","48053",2010,32317,4497,13.92,15633,4123,3781,75,5482,869,2848,936,2126,1091,1396,1152,16684,374,3719,56,5812,143,3059,96,2172,45,1922,34
"2551","48055",2010,27422,3019,11.01,13602,2807,4673,200,5080,696,1933,991,1042,435,874,485,13820,212,4265,75,5179,45,1915,62,1297,10,1164,20
"2552","48057",2010,15463,1865,12.06,7915,1792,2025,29,3022,454,1426,387,856,426,586,496,7548,73,2031,9,2649,58,1271,6,867,0,730,0
"2553","48059",2010,10160,1404,13.82,4932,1332,1136,16,1790,349,922,265,664,366,420,336,5228,72,1113,9,1940,57,896,0,682,3,597,3
