"","GEOID","year","totalP","totalP_hh","totalP_fhh","nonRel_fhh","nonRel_fhhP","totalP_nfhh","nonRel_nfhh","nonRel_nfhhP","groupQuar","groupQuarP"
"722","18049",2010,20684,20293,17350,466,2.69,2943,512,17.4,391,1.89
"723","18051",2010,33386,32485,27206,462,1.7,5279,795,15.06,901,2.7
"724","18053",2010,70176,65939,55044,1479,2.69,10895,1784,16.37,4237,6.04
"725","18055",2010,33084,32847,28027,937,3.34,4820,641,13.3,237,0.72
"726","18057",2010,261244,260256,232533,2272,0.98,27723,4487,16.19,988,0.38
"727","18059",2010,68011,67182,60007,941,1.57,7175,1206,16.81,829,1.22
"728","18061",2010,38616,38346,33989,556,1.64,4357,754,17.31,270,0.7
"729","18063",2010,140028,137041,123037,1860,1.51,14004,2149,15.35,2987,2.13
"730","18065",2010,48921,46125,39560,796,2.01,6565,715,10.89,2796,5.72
"731","18067",2010,83326,80855,68335,1495,2.19,12520,1609,12.85,2471,2.97
"732","18069",2010,37321,36082,31075,761,2.45,5007,752,15.02,1239,3.32
"733","18071",2010,41902,41533,36059,734,2.04,5474,858,15.67,369,0.88
"734","18073",2010,33055,31851,28414,563,1.98,3437,425,12.37,1204,3.64
"735","18075",2010,21441,21182,18187,637,3.5,2995,470,15.69,259,1.21
"736","18077",2010,32393,30353,25217,508,2.01,5136,794,15.46,2040,6.3
"737","18079",2010,28470,28069,24303,648,2.67,3766,615,16.33,401,1.41
"738","18081",2010,135994,131342,114050,2304,2.02,17292,2781,16.08,4652,3.42
"739","18083",2010,38425,35638,29773,657,2.21,5865,711,12.12,2787,7.25
"740","18085",2010,76982,76005,65984,1675,2.54,10021,1564,15.61,977,1.27
"741","18087",2010,36996,36928,33753,751,2.22,3175,595,18.74,68,0.18
"742","18089",2010,494417,488011,418403,9217,2.2,69608,10065,14.46,6406,1.3
"743","18091",2010,110937,103546,87653,2207,2.52,15893,2384,15,7391,6.66
"744","18093",2010,46192,45673,39116,710,1.82,6557,929,14.17,519,1.12
"745","18095",2010,131444,126212,104464,2978,2.85,21748,3884,17.86,5232,3.98
"746","18097",2010,890976,872726,688912,22930,3.33,183814,38022,20.69,18250,2.05
"747","18099",2010,46976,46453,40789,987,2.42,5664,788,13.91,523,1.11
"748","18101",2010,10324,10245,8808,172,1.95,1437,187,13.01,79,0.77
"749","18103",2010,37307,35588,30818,853,2.77,4770,777,16.29,1719,4.61
"750","18105",2010,134442,120060,78884,1918,2.43,41176,16637,40.4,14382,10.7
"751","18107",2010,38138,36679,31407,584,1.86,5272,971,18.42,1459,3.83
"752","18109",2010,68654,68020,61320,1526,2.49,6700,886,13.22,634,0.92
"753","18111",2010,14300,14099,12279,201,1.64,1820,317,17.42,201,1.41
"754","18113",2010,47513,46715,41206,1102,2.67,5509,836,15.18,798,1.68
"755","18115",2010,6067,6057,5311,177,3.33,746,141,18.9,10,0.16
"756","18117",2010,19820,19441,16520,320,1.94,2921,519,17.77,379,1.91
"757","18119",2010,21737,21574,18293,908,4.96,3281,668,20.36,163,0.75
"758","18121",2010,17394,15376,12910,457,3.54,2466,402,16.3,2018,11.6
"759","18123",2010,19316,17751,14842,369,2.49,2909,428,14.71,1565,8.1
"760","18125",2010,12955,12639,10836,272,2.51,1803,315,17.47,316,2.44
"761","18127",2010,162026,159177,136242,3325,2.44,22935,4328,18.87,2849,1.76
"762","18129",2010,26100,25728,22710,273,1.2,3018,361,11.96,372,1.43
"763","18131",2010,13596,13423,11912,233,1.96,1511,186,12.31,173,1.27
"764","18133",2010,38048,32927,28423,617,2.17,4504,848,18.83,5121,13.46
"765","18135",2010,26262,26013,22519,550,2.44,3494,453,12.97,249,0.95
"766","18137",2010,28570,28336,24694,438,1.77,3642,591,16.23,234,0.82
"767","18139",2010,17568,17290,15448,317,2.05,1842,172,9.34,278,1.58
"768","18141",2010,266522,253262,209735,4754,2.27,43527,7957,18.28,13260,4.98
"769","18143",2010,24109,23688,20626,638,3.09,3062,442,14.44,421,1.75
"770","18145",2010,44237,43554,37835,868,2.29,5719,755,13.2,683,1.54
"771","18147",2010,20977,20670,17830,197,1.1,2840,592,20.85,307,1.46
"772","18149",2010,23343,23105,20157,446,2.21,2948,415,14.08,238,1.02
"773","18151",2010,34092,33399,28420,715,2.52,4979,935,18.78,693,2.03
"774","18153",2010,21520,19386,16011,223,1.39,3375,658,19.5,2134,9.92
"775","18155",2010,10393,10265,8577,275,3.21,1688,363,21.5,128,1.23
"776","18157",2010,168635,153493,112564,3229,2.87,40929,13985,34.17,15142,8.98
"777","18159",2010,16132,15747,13317,240,1.8,2430,447,18.4,385,2.39
"778","18161",2010,7463,7463,6655,93,1.4,808,81,10.02,0,0
"779","18163",2010,178298,171874,137018,3393,2.48,34856,6516,18.69,6424,3.6
"780","18165",2010,16412,15881,13255,204,1.54,2626,424,16.15,531,3.24
"781","18167",2010,107151,98005,78352,2040,2.6,19653,4231,21.53,9146,8.54
"782","18169",2010,33225,31026,26517,518,1.95,4509,537,11.91,2199,6.62
"783","18171",2010,8563,8356,7401,140,1.89,955,128,13.4,207,2.42
"784","18173",2010,58393,57792,51378,1052,2.05,6414,1162,18.12,601,1.03
"785","18175",2010,28226,27946,24335,602,2.47,3611,585,16.2,280,0.99
"786","18177",2010,69187,66920,56161,1573,2.8,10759,1631,15.16,2267,3.28
"787","18179",2010,27744,27061,23585,341,1.45,3476,563,16.2,683,2.46
"788","18181",2010,24734,24334,21061,665,3.16,3273,540,16.5,400,1.62
"789","18183",2010,32991,32681,27501,373,1.36,5180,930,17.95,310,0.94
"790","19001",2010,7779,7778,6279,121,1.93,1499,256,17.08,1,0.01
"791","19003",2010,4127,3944,3220,131,4.07,724,71,9.81,183,4.43
"792","19005",2010,14331,13762,11368,235,2.07,2394,425,17.75,569,3.97
"793","19007",2010,13029,12954,10767,289,2.68,2187,175,8,75,0.58
"794","19009",2010,6186,5996,4850,57,1.18,1146,147,12.83,190,3.07
"795","19011",2010,26098,25964,23050,406,1.76,2914,324,11.12,134,0.51
"796","19013",2010,129252,123346,96195,2443,2.54,27151,7738,28.5,5906,4.57
"797","19015",2010,26424,25754,21368,431,2.02,4386,796,18.15,670,2.54
"798","19017",2010,24185,23073,19475,284,1.46,3598,894,24.85,1112,4.6
"799","19019",2010,21026,20388,17698,332,1.88,2690,443,16.47,638,3.03
"800","19021",2010,19980,19022,15887,403,2.54,3135,570,18.18,958,4.79
"801","19023",2010,14892,14540,12455,160,1.28,2085,281,13.48,352,2.36
"802","19025",2010,9846,9129,7618,140,1.84,1511,155,10.26,717,7.28
"803","19027",2010,20805,19852,16449,327,1.99,3403,351,10.31,953,4.58
"804","19029",2010,13969,13546,11183,240,2.15,2363,312,13.2,423,3.03
"805","19031",2010,18414,18321,15593,288,1.85,2728,424,15.54,93,0.51
"806","19033",2010,44324,43124,33537,656,1.96,9587,1604,16.73,1200,2.71
"807","19035",2010,12086,11885,9514,108,1.14,2371,271,11.43,201,1.66
"808","19037",2010,12499,12138,10178,200,1.97,1960,214,10.92,361,2.89
"809","19039",2010,9218,9141,7861,496,6.31,1280,172,13.44,77,0.84
"810","19041",2010,16718,16306,13368,258,1.93,2938,297,10.11,412,2.46
"811","19043",2010,18202,17754,14681,317,2.16,3073,473,15.39,448,2.46
"812","19045",2010,49274,48537,40328,1018,2.52,8209,1355,16.51,737,1.5
"813","19047",2010,16951,16317,13897,335,2.41,2420,331,13.68,634,3.74
"814","19049",2010,61714,61331,52311,925,1.77,9020,1662,18.43,383,0.62
"815","19051",2010,8687,8608,7678,47,0.61,930,59,6.34,79,0.91
"816","19053",2010,8508,7721,6355,140,2.2,1366,270,19.77,787,9.25
"817","19055",2010,17857,17769,14954,209,1.4,2815,419,14.88,88,0.49
"818","19057",2010,40266,39869,32608,829,2.54,7261,1426,19.64,397,0.99
"819","19059",2010,16665,16384,13024,311,2.39,3360,410,12.2,281,1.69
"820","19061",2010,92547,87983,73064,1053,1.44,14919,2737,18.35,4564,4.93
"821","19063",2010,10389,9868,8086,221,2.73,1782,318,17.85,521,5.01
"822","19065",2010,20992,20152,16715,423,2.53,3437,582,16.93,840,4
"823","19067",2010,16394,15937,13268,221,1.67,2669,287,10.75,457,2.79
"824","19069",2010,10697,10456,8656,183,2.11,1800,401,22.28,241,2.25
"825","19071",2010,7528,7414,6272,179,2.85,1142,122,10.68,114,1.51
"826","19073",2010,9448,9379,7667,102,1.33,1712,218,12.73,69,0.73
"827","19075",2010,12401,12250,10594,108,1.02,1656,203,12.26,151,1.22
"828","19077",2010,11040,10830,9208,156,1.69,1622,174,10.73,210,1.9
"829","19079",2010,15874,15661,12877,251,1.95,2784,437,15.7,213,1.34
"830","19081",2010,11505,11340,9839,253,2.57,1501,186,12.39,165,1.43
"831","19083",2010,17685,16747,13704,255,1.86,3043,466,15.31,938,5.3
"832","19085",2010,15073,14768,12839,184,1.43,1929,184,9.54,305,2.02
"833","19087",2010,20263,19833,17134,574,3.35,2699,353,13.08,430,2.12
"834","19089",2010,9610,9205,7449,146,1.96,1756,286,16.29,405,4.21
"835","19091",2010,9905,9741,8015,188,2.35,1726,240,13.9,164,1.66
"836","19093",2010,7172,7092,5741,97,1.69,1351,249,18.43,80,1.12
"837","19095",2010,16353,15883,13622,220,1.62,2261,315,13.93,470,2.87
"838","19097",2010,19942,19619,16588,151,0.91,3031,371,12.24,323,1.62
"839","19099",2010,37050,34576,28778,724,2.52,5798,930,16.04,2474,6.68
"840","19101",2010,16643,15726,12592,185,1.47,3134,542,17.29,917,5.51
"841","19103",2010,126994,118370,81569,1610,1.97,36801,13134,35.69,8624,6.79
"842","19105",2010,20708,18934,15778,326,2.07,3156,519,16.44,1774,8.57
"843","19107",2010,10614,10411,8528,130,1.52,1883,277,14.71,203,1.91
"844","19109",2010,15748,15417,12814,67,0.52,2603,324,12.45,331,2.1
"845","19111",2010,35991,33678,28375,1055,3.72,5303,693,13.07,2313,6.43
"846","19113",2010,207765,202389,162903,4132,2.54,39486,7945,20.12,5376,2.59
"847","19115",2010,11683,11423,9992,332,3.32,1431,234,16.35,260,2.23
"848","19117",2010,9116,9056,7705,180,2.34,1351,146,10.81,60,0.66
"849","19119",2010,11564,11170,9860,84,0.85,1310,137,10.46,394,3.41
"850","19121",2010,15488,15216,13368,287,2.15,1848,310,16.77,272,1.76
"851","19123",2010,22382,21464,18071,529,2.93,3393,593,17.48,918,4.1
"852","19125",2010,33378,31854,27763,331,1.19,4091,631,15.42,1524,4.57
"853","19127",2010,40131,38849,32611,645,1.98,6238,928,14.88,1282,3.19
"854","19129",2010,15157,14298,12599,128,1.02,1699,218,12.83,859,5.67
"855","19131",2010,10801,10530,9036,156,1.73,1494,108,7.23,271,2.51
"856","19133",2010,9346,9162,7443,226,3.04,1719,204,11.87,184,1.97
"857","19135",2010,7918,7846,6746,76,1.13,1100,103,9.36,72,0.91
"858","19137",2010,10901,10680,8885,285,3.21,1795,249,13.87,221,2.03
"859","19139",2010,42501,42103,35782,960,2.68,6321,1191,18.84,398,0.94
"860","19141",2010,14419,14110,11863,168,1.42,2247,168,7.48,309,2.14
"861","19143",2010,6576,6474,5446,83,1.52,1028,92,8.95,102,1.55
"862","19145",2010,16095,13986,11750,241,2.05,2236,173,7.74,2109,13.1
"863","19147",2010,9508,8923,7161,46,0.64,1762,224,12.71,585,6.15
"864","19149",2010,24933,24851,21748,304,1.4,3103,398,12.83,82,0.33
"865","19151",2010,7509,7222,5726,123,2.15,1496,184,12.3,287,3.82
"866","19153",2010,419301,411028,337527,7634,2.26,73501,13966,19,8273,1.97
"867","19155",2010,91928,89368,75205,2130,2.83,14163,2627,18.55,2560,2.78
"868","19157",2010,19012,17094,13808,259,1.88,3286,494,15.03,1918,10.09
"869","19159",2010,5169,5043,4306,61,1.42,737,91,12.35,126,2.44
"870","19161",2010,10480,10281,8535,87,1.02,1746,171,9.79,199,1.9
"871","19163",2010,162184,158921,129115,2946,2.28,29806,5585,18.74,3263,2.01
"872","19165",2010,12328,11998,10216,188,1.84,1782,171,9.6,330,2.68
"873","19167",2010,33377,31295,27815,540,1.94,3480,491,14.11,2082,6.24
"874","19169",2010,87594,80065,54832,1088,1.98,25233,9581,37.97,7529,8.6
"875","19171",2010,17952,17425,14912,388,2.6,2513,454,18.07,527,2.94
"876","19173",2010,6402,6374,5332,87,1.63,1042,126,12.09,28,0.44
"877","19175",2010,12409,12122,9917,343,3.46,2205,345,15.65,287,2.31
"878","19177",2010,7645,7404,6274,94,1.5,1130,167,14.78,241,3.15
"879","19179",2010,35553,35053,28931,993,3.43,6122,1024,16.73,500,1.41
"880","19181",2010,45346,43719,38077,577,1.52,5642,1070,18.96,1627,3.59
"881","19183",2010,21626,21384,18156,551,3.03,3228,434,13.44,242,1.12
"882","19185",2010,6404,6375,5257,65,1.24,1118,157,14.04,29,0.45
"883","19187",2010,38286,37209,29832,1013,3.4,7377,1202,16.29,1077,2.81
"884","19189",2010,10962,10524,8757,104,1.19,1767,156,8.83,438,4
"885","19191",2010,21031,18872,15743,231,1.47,3129,634,20.26,2159,10.27
"886","19193",2010,101217,97652,81804,2351,2.87,15848,2830,17.86,3565,3.52
"887","19195",2010,7628,7576,6431,212,3.3,1145,121,10.57,52,0.68
"888","19197",2010,13384,13134,10827,346,3.2,2307,339,14.69,250,1.87
"889","20001",2010,13473,13176,11086,208,1.88,2090,324,15.5,297,2.2
"890","20003",2010,8084,7927,7011,45,0.64,916,90,9.83,157,1.94
"891","20005",2010,16889,15628,13248,384,2.9,2380,267,11.22,1261,7.47
"892","20007",2010,4900,4807,3880,67,1.73,927,97,10.46,93,1.9
"893","20009",2010,27499,27103,22833,644,2.82,4270,445,10.42,396,1.44
"894","20011",2010,15097,14871,12848,409,3.18,2023,201,9.94,226,1.5
"895","20013",2010,10019,9948,8399,246,2.93,1549,142,9.17,71,0.71
"896","20015",2010,64853,63074,56136,898,1.6,6938,904,13.03,1779,2.74
"897","20017",2010,2834,2824,2423,31,1.28,401,29,7.23,10,0.35
"898","20019",2010,3736,3583,2966,78,2.63,617,85,13.78,153,4.1
"899","20021",2010,21740,21518,18373,557,3.03,3145,405,12.88,222,1.02
"900","20023",2010,2783,2773,2243,24,1.07,530,23,4.34,10,0.36
"901","20025",2010,2231,2221,1858,58,3.12,363,8,2.2,10,0.45
"902","20027",2010,8531,8244,6889,161,2.34,1355,162,11.96,287,3.36
"903","20029",2010,9538,9046,7437,131,1.76,1609,156,9.7,492,5.16
"904","20031",2010,8587,8189,7084,231,3.26,1105,123,11.13,398,4.63
"905","20033",2010,1865,1789,1440,3,0.21,349,18,5.16,76,4.08
"906","20035",2010,36140,34390,28824,952,3.3,5566,938,16.85,1750,4.84
"907","20037",2010,38985,37246,28743,884,3.08,8503,2138,25.14,1739,4.46
"908","20039",2010,3015,2900,2296,26,1.13,604,25,4.14,115,3.81
"909","20041",2010,19643,19559,16898,441,2.61,2661,404,15.18,84,0.43
"910","20043",2010,7957,7683,6400,125,1.95,1283,215,16.76,274,3.44
"911","20045",2010,109052,99067,68884,1747,2.54,30183,10575,35.04,9985,9.16
"912","20047",2010,3052,2976,2549,57,2.24,427,12,2.81,76,2.49
"913","20049",2010,2930,2804,2400,16,0.67,404,16,3.96,126,4.3
"914","20051",2010,28039,26236,19761,393,1.99,6475,1445,22.32,1803,6.43
"915","20053",2010,6476,5832,4704,92,1.96,1128,175,15.51,644,9.94
"916","20055",2010,36139,35668,31728,890,2.81,3940,887,22.51,471,1.3
"917","20057",2010,32727,32489,28001,1084,3.87,4488,1337,29.79,238,0.73
"918","20059",2010,25841,25384,21698,513,2.36,3686,618,16.77,457,1.77
"919","20061",2010,30537,30302,26313,479,1.82,3989,799,20.03,235,0.77
"920","20063",2010,2721,2711,2357,20,0.85,354,22,6.21,10,0.37
"921","20065",2010,2663,2651,2125,67,3.15,526,45,8.56,12,0.45
"922","20067",2010,7744,7593,6927,68,0.98,666,38,5.71,151,1.95
"923","20069",2010,5870,5858,5320,54,1.02,538,68,12.64,12,0.2
"924","20071",2010,1294,1284,1136,18,1.58,148,14,9.46,10,0.77
"925","20073",2010,6824,6769,5521,141,2.55,1248,127,10.18,55,0.81
"926","20075",2010,2643,2550,2207,44,1.99,343,13,3.79,93,3.52
"927","20077",2010,6033,5785,4804,94,1.96,981,125,12.74,248,4.11
"928","20079",2010,34150,32695,27498,564,2.05,5197,951,18.3,1455,4.26
"929","20081",2010,4196,4186,3696,35,0.95,490,88,17.96,10,0.24
"930","20083",2010,1955,1945,1690,4,0.24,255,6,2.35,10,0.51
"931","20085",2010,13360,13005,11634,260,2.23,1371,153,11.16,355,2.66
"932","20087",2010,19059,19000,16748,296,1.77,2252,461,20.47,59,0.31
"933","20089",2010,3151,3151,2606,26,1,545,61,11.19,0,0
"934","20091",2010,531228,527148,445591,7718,1.73,81557,14788,18.13,4080,0.77
"935","20093",2010,3966,3955,3482,75,2.15,473,63,13.32,11,0.28
"936","20095",2010,7949,7679,6382,105,1.65,1297,188,14.49,270,3.4
"937","20097",2010,2671,2442,2155,41,1.9,287,23,8.01,229,8.57
"938","20099",2010,21791,20660,17358,374,2.15,3302,395,11.96,1131,5.19
"939","20101",2010,1725,1653,1366,11,0.81,287,11,3.83,72,4.17
"940","20103",2010,74611,67780,59402,1006,1.69,8378,1282,15.3,6831,9.16
"941","20105",2010,3308,3156,2600,64,2.46,556,49,8.81,152,4.59
"942","20107",2010,9782,9772,8426,155,1.84,1346,131,9.73,10,0.1
"943","20109",2010,2774,2764,2167,11,0.51,597,47,7.87,10,0.36
"944","20111",2010,34974,32972,25701,869,3.38,7271,1819,25.02,2002,5.72
"945","20113",2010,29178,27389,23877,298,1.25,3512,207,5.89,1789,6.13
"946","20115",2010,12689,11573,10038,122,1.22,1535,130,8.47,1116,8.8
"947","20117",2010,10147,9870,8276,125,1.51,1594,121,7.59,277,2.73
"948","20119",2010,4523,4513,3924,55,1.4,589,63,10.7,10,0.22
"949","20121",2010,32116,31470,28227,810,2.87,3243,445,13.72,646,2.01
"950","20123",2010,6383,6309,5263,29,0.55,1046,99,9.46,74,1.16
"951","20125",2010,35453,34891,29129,683,2.34,5762,933,16.19,562,1.59
"952","20127",2010,5946,5838,4775,21,0.44,1063,107,10.07,108,1.82
"953","20129",2010,3244,3120,2756,9,0.33,364,45,12.36,124,3.82
"954","20131",2010,10253,9548,8214,105,1.28,1334,96,7.2,705,6.88
"955","20133",2010,16538,14824,12111,126,1.04,2713,343,12.64,1714,10.36
"956","20135",2010,3120,3048,2594,28,1.08,454,18,3.96,72,2.31
"957","20137",2010,5692,4782,3725,91,2.44,1057,87,8.23,910,15.99
"958","20139",2010,16426,16334,14438,364,2.52,1896,177,9.34,92,0.56
"959","20141",2010,3906,3830,3097,30,0.97,733,67,9.14,76,1.95
"960","20143",2010,6107,6025,5256,101,1.92,769,176,22.89,82,1.34
"961","20145",2010,6913,4988,4180,39,0.93,808,64,7.92,1925,27.85
"962","20147",2010,5601,5338,4474,100,2.24,864,94,10.88,263,4.7
"963","20149",2010,20781,20662,18062,154,0.85,2600,452,17.38,119,0.57
"964","20151",2010,9670,8981,7374,89,1.21,1607,153,9.52,689,7.13
"965","20153",2010,2594,2594,2106,42,1.99,488,56,11.48,0,0
"966","20155",2010,64054,60118,49879,1301,2.61,10239,1356,13.24,3936,6.14
"967","20157",2010,5069,4834,3909,29,0.74,925,51,5.51,235,4.64
"968","20159",2010,10128,9724,8179,243,2.97,1545,204,13.2,404,3.99
"969","20161",2010,69035,60877,40822,829,2.03,20055,8546,42.61,8158,11.82
"970","20163",2010,5241,5193,4274,84,1.97,919,69,7.51,48,0.92
"971","20165",2010,3290,3280,2606,51,1.96,674,77,11.42,10,0.3
"972","20167",2010,6915,6915,5532,116,2.1,1383,142,10.27,0,0
"973","20169",2010,54982,53701,44495,1293,2.91,9206,1429,15.52,1281,2.33
"974","20171",2010,4832,4822,4186,12,0.29,636,53,8.33,10,0.21
"975","20173",2010,486123,481153,401987,8880,2.21,79166,13336,16.85,4970,1.02
"976","20175",2010,22588,21980,19314,487,2.52,2666,678,25.43,608,2.69
"977","20177",2010,175537,171841,140434,4335,3.09,31407,5017,15.97,3696,2.11
"978","20179",2010,2578,2501,1996,56,2.81,505,96,19.01,77,2.99
"979","20181",2010,6002,5873,4881,185,3.79,992,125,12.6,129,2.15
"980","20183",2010,3934,3847,3312,123,3.71,535,20,3.74,87,2.21
"981","20185",2010,4433,4337,3524,48,1.36,813,80,9.84,96,2.17
"982","20187",2010,2197,2029,1810,27,1.49,219,29,13.24,168,7.65
"983","20189",2010,5533,5288,4760,4,0.08,528,60,11.36,245,4.43
"984","20191",2010,24257,24068,20584,379,1.84,3484,448,12.86,189,0.78
"985","20193",2010,7757,7138,5693,197,3.46,1445,207,14.33,619,7.98
"986","20195",2010,2979,2918,2482,30,1.21,436,21,4.82,61,2.05
"987","20197",2010,7004,6994,6190,114,1.84,804,53,6.59,10,0.14
"988","20199",2010,1440,1372,1158,10,0.86,214,7,3.27,68,4.72
"989","20201",2010,5851,5690,4659,45,0.97,1031,100,9.7,161,2.75
"990","20203",2010,2244,2234,1941,46,2.37,293,46,15.7,10,0.45
"991","20205",2010,9598,9273,7955,323,4.06,1318,163,12.37,325,3.39
"992","20207",2010,3352,3343,2505,97,3.87,838,163,19.45,9,0.27
"993","20209",2010,155462,154076,128460,4784,3.72,25616,4825,18.84,1386,0.89
"994","21001",2010,18542,17550,14967,313,2.09,2583,315,12.2,992,5.35
"995","21003",2010,19688,19274,16643,324,1.95,2631,346,13.15,414,2.1
"996","21005",2010,21080,20899,18180,421,2.32,2719,548,20.15,181,0.86
"997","21007",2010,8225,8225,7050,196,2.78,1175,220,18.72,0,0
"998","21009",2010,41685,41103,35423,565,1.6,5680,675,11.88,582,1.4
"999","21011",2010,11565,11329,9855,215,2.18,1474,224,15.2,236,2.04
"1000","21013",2010,28793,27634,23744,612,2.58,3890,563,14.47,1159,4.03
"1001","21015",2010,114723,114026,100252,1794,1.79,13774,2681,19.46,697,0.61
"1002","21017",2010,19947,19563,16656,553,3.32,2907,323,11.11,384,1.93
"1003","21019",2010,49330,46747,39497,932,2.36,7250,744,10.26,2583,5.24
"1004","21021",2010,28245,25607,21910,595,2.72,3697,453,12.25,2638,9.34
"1005","21023",2010,8479,8479,7359,173,2.35,1120,187,16.7,0,0
"1006","21025",2010,14202,14005,11824,239,2.02,2181,262,12.01,197,1.39
"1007","21027",2010,19893,19473,16975,338,1.99,2498,447,17.89,420,2.11
"1008","21029",2010,72515,72124,63801,1729,2.71,8323,1475,17.72,391,0.54
"1009","21031",2010,12763,12597,10763,230,2.14,1834,262,14.29,166,1.3
"1010","21033",2010,12934,12866,10592,154,1.45,2274,431,18.95,68,0.53
"1011","21035",2010,36763,33518,26218,562,2.14,7300,1564,21.42,3245,8.83
"1012","21037",2010,89016,84982,70126,1168,1.67,14856,2013,13.55,4034,4.53
"1013","21039",2010,5126,5038,4432,112,2.53,606,54,8.91,88,1.72
"1014","21041",2010,10703,10583,8838,244,2.76,1745,507,29.05,120,1.12
"1015","21043",2010,27821,26709,22987,401,1.74,3722,655,17.6,1112,4
"1016","21045",2010,15939,15664,13678,257,1.88,1986,189,9.52,275,1.73
"1017","21047",2010,72678,67236,58975,1054,1.79,8261,1084,13.12,5442,7.49
"1018","21049",2010,35305,35105,30134,1018,3.38,4971,801,16.11,200,0.57
"1019","21051",2010,22197,20897,18471,382,2.07,2426,398,16.41,1300,5.86
"1020","21053",2010,10161,10151,8736,87,1,1415,78,5.51,10,0.1
"1021","21055",2010,9313,9183,7634,70,0.92,1549,252,16.27,130,1.4
"1022","21057",2010,6931,6865,5862,23,0.39,1003,108,10.77,66,0.95
"1023","21059",2010,95398,92060,77814,1824,2.34,14246,1807,12.68,3338,3.5
"1024","21061",2010,12086,11530,10056,92,0.91,1474,228,15.47,556,4.6
"1025","21063",2010,7493,6468,5643,112,1.98,825,60,7.27,1025,13.68
"1026","21065",2010,14733,14599,12756,322,2.52,1843,169,9.17,134,0.91
"1027","21067",2010,288045,276491,207367,5308,2.56,69124,17953,25.97,11554,4.01
"1028","21069",2010,14318,14186,12460,167,1.34,1726,150,8.69,132,0.92
"1029","21071",2010,39949,38597,32702,636,1.94,5895,1084,18.39,1352,3.38
"1030","21073",2010,49067,47071,37632,952,2.53,9439,1312,13.9,1996,4.07
"1031","21075",2010,6858,6498,5565,139,2.5,933,67,7.18,360,5.25
"1032","21077",2010,8428,8182,6789,202,2.98,1393,385,27.64,246,2.92
"1033","21079",2010,16842,16833,14827,618,4.17,2006,239,11.91,9,0.05
"1034","21081",2010,24604,24527,21991,651,2.96,2536,528,20.82,77,0.31
"1035","21083",2010,36958,36250,31008,618,1.99,5242,743,14.17,708,1.92
"1036","21085",2010,25540,25306,21438,315,1.47,3868,718,18.56,234,0.92
"1037","21087",2010,11377,11217,9897,222,2.24,1320,115,8.71,160,1.41
"1038","21089",2010,36962,36459,31732,497,1.57,4727,415,8.78,503,1.36
"1039","21091",2010,8555,8483,7434,83,1.12,1049,176,16.78,72,0.84
"1040","21093",2010,100876,96627,84158,1719,2.04,12469,2214,17.76,4249,4.21
"1041","21095",2010,29688,29378,25804,481,1.86,3574,287,8.03,310,1.04
"1042","21097",2010,18761,18541,15629,224,1.43,2912,415,14.25,220,1.17
"1043","21099",2010,18201,17830,15367,449,2.92,2463,295,11.98,371,2.04
"1044","21101",2010,45943,45011,38302,1227,3.2,6709,676,10.08,932,2.03
"1045","21103",2010,15474,15239,13037,550,4.22,2202,433,19.66,235,1.52
"1046","21105",2010,4949,4785,3933,84,2.14,852,49,5.75,164,3.31
"1047","21107",2010,46886,46508,40075,897,2.24,6433,888,13.8,378,0.81
"1048","21109",2010,13560,13547,11694,330,2.82,1853,163,8.8,13,0.1
"1049","21111",2010,729452,715629,575715,13120,2.28,139914,24422,17.46,13823,1.89
"1050","21113",2010,47073,45439,40061,811,2.02,5378,1033,19.21,1634,3.47
"1051","21115",2010,23325,22962,20246,568,2.81,2716,267,9.83,363,1.56
"1052","21117",2010,158034,155997,129315,2736,2.12,26682,5008,18.77,2037,1.29
"1053","21119",2010,16587,15925,14145,227,1.6,1780,107,6.01,662,3.99
"1054","21121",2010,31765,30731,26073,574,2.2,4658,464,9.96,1034,3.26
"1055","21123",2010,14080,13915,12256,348,2.84,1659,216,13.02,165,1.17
"1056","21125",2010,58155,57367,50163,1346,2.68,7204,1339,18.59,788,1.35
"1057","21127",2010,15841,15667,13691,295,2.15,1976,287,14.52,174,1.1
"1058","21129",2010,7865,6860,6028,141,2.34,832,11,1.32,1005,12.78
"1059","21131",2010,11470,11395,9707,92,0.95,1688,189,11.2,75,0.65
"1060","21133",2010,24462,24237,20986,361,1.72,3251,351,10.8,225,0.92
"1061","21135",2010,13968,13772,12242,177,1.45,1530,217,14.18,196,1.4
"1062","21137",2010,24779,24611,20937,481,2.3,3674,455,12.38,168,0.68
"1063","21139",2010,9514,9463,8270,92,1.11,1193,212,17.77,51,0.54
"1064","21141",2010,26838,25571,22060,385,1.75,3511,335,9.54,1267,4.72
"1065","21143",2010,8367,6606,5602,22,0.39,1004,67,6.67,1761,21.05
"1066","21145",2010,65217,64028,53131,933,1.76,10897,1544,14.17,1189,1.82
"1067","21147",2010,18122,16543,14462,395,2.73,2081,329,15.81,1579,8.71
"1068","21149",2010,9635,9387,8213,227,2.76,1174,125,10.65,248,2.57
"1069","21151",2010,81580,75357,61074,2124,3.48,14283,3580,25.06,6223,7.63
"1070","21153",2010,13294,13218,11659,151,1.3,1559,133,8.53,76,0.57
"1071","21155",2010,19619,18113,15267,369,2.42,2846,389,13.67,1506,7.68
"1072","21157",2010,31386,30992,27074,516,1.91,3918,335,8.55,394,1.26
