G_COUNTYFP,COUNTYFP,countyArea,parkArea,cover
G08107,08107,6126853806.7996,671725580.189684,0.109636299701521
G08109,08109,8205661596.51802,2023624037.05071,0.246613147915996
G08111,08111,1005025182.51098,385470791.63154,0.383543415965429
G08113,08113,3334669346.3478,157073548.808921,0.0471031855020202
G08115,08115,1420690529.03262,170185.395620289,1.19790617409248e-4
G08117,08117,1602359469.10434,1578712623.02989,0.985242483643405
G08119,08119,1446407933.63601,803395330.9077,0.555441734122759
G08121,08121,6529121130.37936,3210991.8615719,4.91795418931879e-4
G08123,08123,10392392717.96,786750194.372617,0.0757044326291636
G08125,08125,6128605419.56172,7559386.94332241,0.00123345955985253
G09001,09001,1691140022.96333,131455163.331686,0.0777316848674312
