G_COUNTYFP,COUNTYFP,year,unempP,povP,pciE
G17167,17167,2018,6.3,15.2,34548
G17169,17169,2018,5.5,21.4,23068
G17171,17171,2018,6.7,12.9,27218
G17173,17173,2018,4.6,11.2,25320
G17175,17175,2018,3.5,16.1,30225
G17177,17177,2018,7.1,14.4,27453
G17179,17179,2018,4.3,8.6,33077
G17181,17181,2018,6.6,18.1,25416
G17183,17183,2018,7.5,19.6,24272
G17185,17185,2018,5.9,11.8,26850
G17187,17187,2018,6.7,12.4,26082
G17189,17189,2018,4.2,8.2,32394
G17191,17191,2018,3.5,14.1,26362
G17193,17193,2018,7.9,13.1,25859
G17195,17195,2018,5.3,10.6,29167
G17197,17197,2018,5.2,7,35259
G17199,17199,2018,5.9,15,26756
G17201,17201,2018,9.1,15.6,28250
G17203,17203,2018,4.1,7.2,35104
G18001,18001,2018,3.6,16.8,22514
G18003,18003,2018,5.6,14.3,28239
G18005,18005,2018,4.8,13,30515
G18007,18007,2018,4.2,16.1,23322
G18009,18009,2018,6.4,12.6,24663
G18011,18011,2018,2.5,5.4,44712
G18013,18013,2018,4.7,9.4,33617
G18015,18015,2018,4.2,10.2,28430
G18017,18017,2018,6,14.6,23918
G18019,18019,2018,5.2,10,28525
G18021,18021,2018,5.3,14,25290
G18023,18023,2018,4.8,12.5,24276
G18025,18025,2018,3.9,15.5,21021
G18027,18027,2018,4.1,12.7,22548
G18029,18029,2018,4.9,10.2,29891
G18031,18031,2018,4.4,12.7,26515
G18033,18033,2018,4.6,10.8,27036
G18035,18035,2018,6.7,21.5,24234
G18037,18037,2018,1.6,11,28932
G18039,18039,2018,4.7,13.3,25075
G18041,18041,2018,5,18.5,23627
G18043,18043,2018,4.5,9.9,32299
G18045,18045,2018,5.8,11.8,26721
G18047,18047,2018,3.9,8.4,27557
G18049,18049,2018,4.6,14,25106
G18051,18051,2018,3.2,10.1,27137
G18053,18053,2018,7.3,19.2,21739
G18055,18055,2018,5.6,14,24309
G18057,18057,2018,2.9,4.7,46597
G18059,18059,2018,2.8,7.1,32730
G18061,18061,2018,6.2,10.5,27211
G18063,18063,2018,3.9,5.3,34689
G18065,18065,2018,6.1,15.4,23851
G18067,18067,2018,5.9,15.9,27297
G18069,18069,2018,3.4,10.2,25386
G18071,18071,2018,4.6,16.1,24522
G18073,18073,2018,4.3,8.8,26415
G18075,18075,2018,5.4,16.9,22470
G18077,18077,2018,6,14.9,26060
G18079,18079,2018,4.1,14.7,23490
G18081,18081,2018,4.2,8.7,32475
G18083,18083,2018,5.1,17.2,24581
G18085,18085,2018,4,10.3,28740
G18087,18087,2018,2.5,7.3,23626
G18089,18089,2018,8,16.5,27660
G18091,18091,2018,7.8,16.5,25865
G18093,18093,2018,4.9,11.8,25590
G18095,18095,2018,6.1,17.2,24625
G18097,18097,2018,7.1,19,27251
G18099,18099,2018,5.7,11.4,25537
G18101,18101,2018,3.1,12.4,25676
G18103,18103,2018,6.6,16.4,22871
G18105,18105,2018,6.4,24.3,27461
G18107,18107,2018,4.1,10.1,26184
G18109,18109,2018,5.9,11.3,28633
G18111,18111,2018,6.6,13.4,25366
G18113,18113,2018,4.6,7.5,26063
G18115,18115,2018,2.3,6.1,29368
G18117,18117,2018,4.4,16.2,23317
G18119,18119,2018,5.5,16.2,24129
G18121,18121,2018,5.6,14.7,23052
G18123,18123,2018,2.8,14.1,24540
G18125,18125,2018,4.2,11.5,26584
G18127,18127,2018,4.7,10.2,32943
G18129,18129,2018,4.2,10.1,30572
G18131,18131,2018,5.8,13.7,24695
G18133,18133,2018,4.2,12.4,24627
G18135,18135,2018,5,15.9,23539
G18137,18137,2018,5.5,11.6,27423
G18139,18139,2018,5,17.1,24900
G18141,18141,2018,5.3,15.7,27338
G18143,18143,2018,5.4,15.6,22688
G18145,18145,2018,4.2,11.2,28491
G18147,18147,2018,4.1,9.4,29999
G18149,18149,2018,7,14.1,23282
G18151,18151,2018,3.8,11,28429
G18153,18153,2018,6.2,13.1,22976
G18155,18155,2018,5.7,20.1,23347
G18157,18157,2018,4.8,20.6,26262
G18159,18159,2018,3.2,8.1,30026
G18161,18161,2018,2.7,8.8,24040
G18163,18163,2018,4.9,17.3,28320
G18165,18165,2018,5.1,15.2,25143
G18167,18167,2018,7.9,18.8,24254
G18169,18169,2018,4.3,12.7,25228
G18171,18171,2018,3.8,10.4,29408
G18173,18173,2018,3.3,7.6,35915
G18175,18175,2018,6.1,13.1,24048
G18177,18177,2018,5.8,16.3,25460
G18179,18179,2018,2.4,9.5,27106
G18181,18181,2018,4.2,8.7,27621
G18183,18183,2018,2.9,9.2,30144
G19001,19001,2018,3.5,9.1,29984
G19003,19003,2018,2.8,11.5,27824
G19005,19005,2018,2.5,9.5,27741
G19007,19007,2018,5.4,16.1,27546
G19009,19009,2018,2.5,10.2,28957
G19011,19011,2018,2.9,9.2,32764
G19013,19013,2018,4.5,16,29100
G19015,19015,2018,3.8,8,31686
G19017,19017,2018,3.2,8.2,32512
G19019,19019,2018,3,9.5,31495
G19021,19021,2018,5.3,13,26607
G19023,19023,2018,3.3,9.4,29654
G19025,19025,2018,2.2,13.3,27908
G19027,19027,2018,2.1,8.8,30658
G19029,19029,2018,2.4,11.6,27853
G19031,19031,2018,2.7,6.4,32010
G19033,19033,2018,4.1,11.4,31304
G19035,19035,2018,2.3,9.7,32667
G19037,19037,2018,1.9,7.4,29752
G19039,19039,2018,3.2,14.4,26706
G19041,19041,2018,3.6,12.1,27811
G19043,19043,2018,2.1,9,28486
G19045,19045,2018,4.4,12.3,27942
G19047,19047,2018,7,15.8,28700
G19049,19049,2018,2.4,5.9,43583
G19051,19051,2018,2.8,12.3,26503
G19053,19053,2018,4.4,19.6,22037
G19055,19055,2018,2.3,8.5,31300
G19057,19057,2018,5.3,15.4,28234
G19059,19059,2018,2.8,8,38031
G19061,19061,2018,4.1,11.7,31096
G19063,19063,2018,3.3,12.1,30386
G19065,19065,2018,3.4,12.4,28069
G19067,19067,2018,2.5,15.7,27897
G19069,19069,2018,3.9,12.8,27480
G19071,19071,2018,3.7,9.5,29625
G19073,19073,2018,5.3,8.9,28413
G19075,19075,2018,2.1,6.1,35443
G19077,19077,2018,3.4,11.1,28953
G19079,19079,2018,3,9.7,28706
G19081,19081,2018,1.9,8.1,29537
G19083,19083,2018,1.8,7.9,28539
G19085,19085,2018,1.5,10.1,30209
G19087,19087,2018,5.2,10.8,26760
G19089,19089,2018,2.5,11.9,28828
G19091,19091,2018,3.7,11.7,29882
G19093,19093,2018,4.2,10.5,32562
G19095,19095,2018,2.7,8.2,32663
G19097,19097,2018,4.3,12.4,29207
G19099,19099,2018,4.9,9.8,27551
G19101,19101,2018,6.7,14.2,26064
G19103,19103,2018,3.3,17.8,34310
G19105,19105,2018,3.8,10.1,28879
G19107,19107,2018,4.9,10.4,28630
G19109,19109,2018,3.1,9.8,29963
G19111,19111,2018,7.2,15.2,25968
G19113,19113,2018,3.5,9.5,34289
G19115,19115,2018,5.1,11.1,27041
G19117,19117,2018,4.9,11.9,28900
G19119,19119,2018,2,4.9,29246
G19121,19121,2018,4,6.7,33069
G19123,19123,2018,5.3,14.4,27061
G19125,19125,2018,3,9.7,28832
G19127,19127,2018,5.1,10.9,26516
G19129,19129,2018,3.8,8.6,32867
G19131,19131,2018,3.1,9,28898
G19133,19133,2018,3.1,15.7,27862
G19135,19135,2018,5.9,11.7,26469
G19137,19137,2018,6.8,16.1,28780
G19139,19139,2018,2.4,10.3,28137
G19141,19141,2018,2.2,9.7,29901
G19143,19143,2018,2.5,12,28843
G19145,19145,2018,4.3,11.6,26767
G19147,19147,2018,1.1,6.6,28843
G19149,19149,2018,2.3,9,32028
G19151,19151,2018,3.2,12.3,27984
G19153,19153,2018,4.3,11.1,34474
G19155,19155,2018,4.3,11.1,29729
G19157,19157,2018,4.6,10,30711
G19159,19159,2018,4.4,10.1,29759
G19161,19161,2018,3,10.6,30750
G19163,19163,2018,4.2,12.1,31873
G19165,19165,2018,3.2,8.7,31283
G19167,19167,2018,2.6,6.8,28467
G19169,19169,2018,4.3,21.5,28034
G19171,19171,2018,3.8,12.1,27255
G19173,19173,2018,3.7,10.4,27672
G19175,19175,2018,5.2,14.3,26216
G19177,19177,2018,4.7,13.1,27468
G19179,19179,2018,6.4,15.5,24864
G19181,19181,2018,3.3,6.9,34570
G19183,19183,2018,4.2,9.3,29857
G19185,19185,2018,2.3,15.2,25560
G19187,19187,2018,4.5,15.3,25243
G19189,19189,2018,4.6,8.4,27117
G19191,19191,2018,1.9,8.6,30706
G19193,19193,2018,4.7,13.2,27430
G19195,19195,2018,4.7,9.3,29482
G19197,19197,2018,5.4,12.8,28317
G20001,20001,2018,4.6,16.5,23454
G20003,20003,2018,2.9,13.9,23210
G20005,20005,2018,4.6,17.6,24224
G20007,20007,2018,1.7,15.6,28984
G20009,20009,2018,3.9,16.7,27133
G20011,20011,2018,2.5,16.6,22822
G20013,20013,2018,3.6,14.2,25306
G20015,20015,2018,4.2,10.5,28759
G20017,20017,2018,4.5,12.6,25105
G20019,20019,2018,7.4,17,24496
G20021,20021,2018,4.7,13.8,21635
G20023,20023,2018,3,9.5,28467
G20025,20025,2018,1.2,11,27896
G20027,20027,2018,2.5,7.7,32110
G20029,20029,2018,4.7,12.1,26515
G20031,20031,2018,4.4,11.9,32112
G20033,20033,2018,2.3,6.2,30171
G20035,20035,2018,4.9,15.2,23778
G20037,20037,2018,4.5,20.9,22461
G20039,20039,2018,2.3,18.6,30208
G20041,20041,2018,5.8,12.5,26201
G20043,20043,2018,3.8,14.6,25297
G20045,20045,2018,4.4,18.7,30315
G20047,20047,2018,2.2,8.5,27309
G20049,20049,2018,6.3,14.6,22437
G20051,20051,2018,2.4,16,29810
G20053,20053,2018,3.6,11,25161
G20055,20055,2018,4.7,14.8,23637
G20057,20057,2018,5.9,14.4,23348
G20059,20059,2018,4.5,10.3,26757
G20061,20061,2018,6.6,12.2,22797
G20063,20063,2018,1.8,11.8,28247
G20065,20065,2018,3.5,9.6,26685
G20067,20067,2018,5.3,8.8,25788
G20069,20069,2018,2.9,6,28878
G20071,20071,2018,0.9,8.5,23668
G20073,20073,2018,3.1,12.2,27639
G20075,20075,2018,2.1,11.2,20723
G20077,20077,2018,3.1,16.1,26105
G20079,20079,2018,3,11.2,27305
G20081,20081,2018,2.6,12.7,25417
G20083,20083,2018,3.1,11.6,28514
G20085,20085,2018,5.8,10,27950
G20087,20087,2018,5.5,8,29258
G20089,20089,2018,2.6,15.9,26908
G20091,20091,2018,3.1,5.6,44986
G20093,20093,2018,3.5,19.9,23593
G20095,20095,2018,5.3,7.7,33203
G20097,20097,2018,2.6,8.3,25623
G20099,20099,2018,4,17.9,23524
G20101,20101,2018,2.3,12.8,28366
G20103,20103,2018,3.9,8.9,31639
G20105,20105,2018,4.8,9.2,25851
G20107,20107,2018,5.9,16.5,25771
G20109,20109,2018,1.8,7.6,27883
G20111,20111,2018,5.7,17.3,26322
G20113,20113,2018,2.3,9.9,30234
G20115,20115,2018,4.4,9.3,25756
G20117,20117,2018,4.2,9.4,27167
G20119,20119,2018,2.8,12.2,27273
G20121,20121,2018,3.2,7.7,33349
G20123,20123,2018,3.1,16.3,24732
G20125,20125,2018,5.5,18.3,24103
G20127,20127,2018,3.2,9.4,27499
G20129,20129,2018,3.6,7.4,23370
G20131,20131,2018,1.9,10,29687
G20133,20133,2018,3.8,17.5,23934
G20135,20135,2018,2.7,7.5,31912
G20137,20137,2018,1.2,12.7,26953
G20139,20139,2018,5.3,12.7,27026
G20141,20141,2018,2.5,13.4,28748
G20143,20143,2018,2.6,10.4,27610
G20145,20145,2018,2.2,8.7,22925
G20147,20147,2018,2.5,9.7,27140
G20149,20149,2018,4,9.7,28070
G20151,20151,2018,3.8,11.6,27050
G20153,20153,2018,1.5,9.2,27840
G20155,20155,2018,4.5,13.3,26190
G20157,20157,2018,2.5,10.7,28901
G20159,20159,2018,5.3,16.9,23971
G20161,20161,2018,5.5,21.6,26883
G20163,20163,2018,4,8,25072
G20165,20165,2018,3.4,9.8,25590
G20167,20167,2018,6.3,6.4,26300
G20169,20169,2018,3.8,12.2,27737
G20171,20171,2018,3.8,2.3,31132
G20173,20173,2018,5.2,14,28673
G20175,20175,2018,5.3,16.7,20352
G20177,20177,2018,4.5,12.8,29979
G20179,20179,2018,2.2,5.1,31526
G20181,20181,2018,4.2,19.1,23687
G20183,20183,2018,2.8,12.8,28598
G20185,20185,2018,4.3,14,26922
G20187,20187,2018,1.5,14.7,23542
G20189,20189,2018,4.5,18.1,24359
G20191,20191,2018,3.7,12.4,26328
G20193,20193,2018,1.9,11.1,27127
G20195,20195,2018,1.6,7.6,33555
G20197,20197,2018,3.1,5.7,28104
G20199,20199,2018,2.5,11.7,28938
G20201,20201,2018,2.9,13,27718
G20203,20203,2018,2.4,4.4,29762
G20205,20205,2018,5.1,14.4,26523
G20207,20207,2018,8.6,22,21123
G20209,20209,2018,7.5,20.1,21298
G21001,21001,2018,6.2,21.6,20166
G21003,21003,2018,5.5,19.1,21262
G21005,21005,2018,7.7,13.9,26339
G21007,21007,2018,5.5,17,25571
G21009,21009,2018,7.2,23.9,20832
G21011,21011,2018,7.1,21,21175
G21013,21013,2018,9,37.1,15279
G21015,21015,2018,4.3,7.1,34433
G21017,21017,2018,6.4,17.7,27477
G21019,21019,2018,9,19.1,25467
G21021,21021,2018,4.7,14.4,24933
G21023,21023,2018,5.5,19.1,23480
G21025,21025,2018,11.6,35.5,17729
G21027,21027,2018,8.3,17.5,22521
G21029,21029,2018,4.8,10.6,27423
G21031,21031,2018,6,19.4,22597
G21033,21033,2018,5,15.9,28500
G21035,21035,2018,5,22.8,22489
G21037,21037,2018,4.5,13.8,32225
G21039,21039,2018,5.9,18.6,24943
G21041,21041,2018,9,25.7,23546
G21043,21043,2018,7.8,25.9,17782
G21045,21045,2018,8.3,26.6,18285
G21047,21047,2018,8.3,20.2,21770
G21049,21049,2018,6,15.6,27416
G21051,21051,2018,10.5,38.6,15063
G21053,21053,2018,7.2,23,20235
G21055,21055,2018,4,16.4,24011
G21057,21057,2018,5.6,21.5,17926
G21059,21059,2018,5.4,16.1,27462
G21061,21061,2018,8.7,18.8,21459
G21063,21063,2018,4.7,30.3,14461
G21065,21065,2018,12,32.7,17658
G21067,21067,2018,5.4,17.8,32965
G21069,21069,2018,6.9,17.8,23482
G21071,21071,2018,11.7,31.7,18462
G21073,21073,2018,5.7,12.3,28801
G21075,21075,2018,6.6,29.8,19043
G21077,21077,2018,5.9,15.1,23043
G21079,21079,2018,6,16.7,25751
G21081,21081,2018,3.6,18.2,22073
G21083,21083,2018,7.7,17.7,23189
G21085,21085,2018,4.4,25.3,20721
G21087,21087,2018,4.3,18.2,24098
G21089,21089,2018,8.2,15.9,26712
G21091,21091,2018,5.8,12.8,23523
G21093,21093,2018,5.9,13.9,27666
G21095,21095,2018,9.5,36.2,15834
G21097,21097,2018,5.1,17.2,23851
G21099,21099,2018,6.9,21.4,20421
G21101,21101,2018,4.7,18.6,25376
G21103,21103,2018,5.3,19.2,24519
G21105,21105,2018,5.8,15.4,24432
G21107,21107,2018,5.7,17.9,24190
G21109,21109,2018,10,30.4,17692
G21111,21111,2018,5.9,14.8,31980
G21113,21113,2018,6.2,17.7,30215
G21115,21115,2018,9.6,22.9,21089
G21117,21117,2018,4.8,12.6,31811
G21119,21119,2018,12.4,33.2,18201
G21121,21121,2018,7.2,33.3,17498
G21123,21123,2018,5.8,15.5,21939
G21125,21125,2018,8.1,23.7,21039
G21127,21127,2018,9.1,26.7,18199
G21129,21129,2018,8.6,33.5,17179
G21131,21131,2018,10.3,35.6,15691
G21133,21133,2018,12.8,32.4,18811
G21135,21135,2018,6.9,28.1,20059
G21137,21137,2018,6.7,24.1,20212
G21139,21139,2018,5.3,13.6,27338
G21141,21141,2018,5.6,17.3,23177
G21143,21143,2018,2.7,15.4,26621
G21145,21145,2018,4.2,15.8,31850
G21147,21147,2018,15.9,37.5,12903
G21149,21149,2018,7,16.9,24557
G21151,21151,2018,6.6,19,24553
G21153,21153,2018,11.8,27.6,18233
G21155,21155,2018,9.1,22.8,21659
G21157,21157,2018,5.5,11.4,27994
G21159,21159,2018,13.7,26.3,15492
G21161,21161,2018,5.4,18.1,25658
G21163,21163,2018,7.1,11.7,28078
G21165,21165,2018,6.3,22.9,19825
G21167,21167,2018,9.2,16,25745
G21169,21169,2018,5.4,23.7,19436
G21171,21171,2018,6.2,24.3,23025
G21173,21173,2018,6.5,20.7,21877
G21175,21175,2018,5.9,24.7,17307
G21177,21177,2018,8.9,17.4,21521
G21179,21179,2018,5.7,10.9,31387
G21181,21181,2018,7.1,25.8,22472
G21183,21183,2018,9.1,20.5,24231
G21185,21185,2018,3.1,5.5,40779
G21187,21187,2018,5.1,16.4,23045
G21189,21189,2018,10.8,34.7,17766
G21191,21191,2018,3.9,17.6,22620
G21193,21193,2018,13.9,27.1,20140
G21195,21195,2018,8.9,26.5,21646
G21197,21197,2018,7,21.9,20397
G21199,21199,2018,8.4,23.6,22342
G21201,21201,2018,4.5,27.1,23467
G21203,21203,2018,8.3,21,19913
G21205,21205,2018,4.8,26,19692
G21207,21207,2018,8.4,24.6,19149
G21209,21209,2018,4,12,31505
G21211,21211,2018,4.7,12.6,30932
G21213,21213,2018,3.2,15.5,23991
G21215,21215,2018,4.9,8.4,33568
G21217,21217,2018,5.7,24.3,20966
G21219,21219,2018,7.1,18,23188
G21221,21221,2018,9.8,10.6,26893
G21223,21223,2018,10.3,19,26089
G21225,21225,2018,8.2,22.2,22027
G21227,21227,2018,5.1,17.4,27322
G21229,21229,2018,4.9,16.6,24570
G21231,21231,2018,6.2,24.6,19130
G21233,21233,2018,4.9,22.1,21880
G21235,21235,2018,8.3,26,19145
G21237,21237,2018,17.6,32.3,14113
G21239,21239,2018,3.2,14.2,31259
G22001,22001,2018,9.1,23.9,22784
G22003,22003,2018,9.6,18.7,20203
G22005,22005,2018,6,11.6,32961
G22007,22007,2018,7.3,17.4,26238
G22009,22009,2018,7.2,24,21390
G22011,22011,2018,7.9,17.2,26075
G22013,22013,2018,5.4,29.2,20866
G22015,22015,2018,5.8,16.4,27924
G22017,22017,2018,7.1,23.3,25902
G22019,22019,2018,5.7,16.9,27368
G22021,22021,2018,8.2,27.1,20574
G22023,22023,2018,4.2,10.3,29000
G22025,22025,2018,5.7,22.1,21962
G22027,22027,2018,9.4,30.5,16948
G22029,22029,2018,6.3,27.5,19172
G22031,22031,2018,10.3,24.9,24796
G22033,22033,2018,6.5,18.3,31073
G22035,22035,2018,7.8,48.6,17698
G22037,22037,2018,5.8,19.4,20927
G22039,22039,2018,13.5,27.5,18344
G22041,22041,2018,9.8,28.3,19785
G22043,22043,2018,5.6,19.7,18082
G22045,22045,2018,10.2,21.6,23156
G22047,22047,2018,6.5,18,23179
G22049,22049,2018,6,26,20942
G22051,22051,2018,5.7,15.5,29776
G22053,22053,2018,9,19.4,24582
G22055,22055,2018,4.8,16.5,30988
G22057,22057,2018,6.9,15.7,27375
G22059,22059,2018,3.8,22,20427
G22061,22061,2018,7.1,29.7,22498
G22063,22063,2018,4.7,11.9,28995
G22065,22065,2018,9.8,37.8,15795
G22067,22067,2018,5.4,28.5,19399
G22069,22069,2018,13.9,33.5,18570
G22071,22071,2018,8.4,24.6,30177
G22073,22073,2018,6.7,23.9,23663
G22075,22075,2018,3.6,19.5,26818
G22077,22077,2018,8.2,18.3,26663
G22079,22079,2018,7.2,19.4,24478
G22081,22081,2018,4.7,23.6,22626
G22083,22083,2018,4.7,28.9,20128
G22085,22085,2018,10.3,19.5,22637
G22087,22087,2018,10.3,19.7,21217
G22089,22089,2018,5.7,11.6,31567
G22091,22091,2018,13.6,20.9,23224
G22093,22093,2018,6.5,16.7,25830
G22095,22095,2018,7.2,19,25942
G22097,22097,2018,6.2,28.7,19647
G22099,22099,2018,6.8,17.6,24732
G22101,22101,2018,9,19,22364
G22103,22103,2018,5.8,11,34201
G22105,22105,2018,8.6,22,24004
G22107,22107,2018,16.7,40,14569
G22109,22109,2018,6.6,21.6,24921
G22111,22111,2018,6.3,18.5,22979
G22113,22113,2018,8,17.6,24546
G22115,22115,2018,9,17.2,23763
G22117,22117,2018,11,26.8,18971
G22119,22119,2018,5.6,26.3,18701
G22121,22121,2018,6,15.7,28482
G22123,22123,2018,10.9,22.7,22922
G22125,22125,2018,7.7,14.7,23565
G22127,22127,2018,4.6,23.8,20162
G23001,23001,2018,4.6,13.2,27231
G23003,23003,2018,5.1,17.2,24571
G23005,23005,2018,3.4,9.7,38644
G23007,23007,2018,5.7,12.2,26030
G23009,23009,2018,4.7,11.2,32491
G23011,23011,2018,4.9,13.3,29084
G23013,23013,2018,4.2,10.9,31612
G23015,23015,2018,3.8,12,32400
G23017,23017,2018,6,15.9,23770
G23019,23019,2018,5.5,15.7,27289
G23021,23021,2018,7.7,19.2,24062
G23023,23023,2018,2.6,9.8,34432
G23025,23025,2018,8.6,19.3,23557
G23027,23027,2018,5.6,13.9,28860
G23029,23029,2018,7,18.5,24647
G23031,23031,2018,4.1,8.4,35052
G24001,24001,2018,8.5,16.4,23280
G24003,24003,2018,4.6,6,44979
G24005,24005,2018,5.2,9.2,38580
G24009,24009,2018,6.4,5.1,43504
G24011,24011,2018,5.2,14.7,27866
G24013,24013,2018,3.5,5.3,40667
G24015,24015,2018,5.6,9.4,32976
G24017,24017,2018,4,6.1,39696
G24019,24019,2018,7.9,15.8,30135
G24021,24021,2018,4.6,7.1,41432
G24023,24023,2018,4,9.7,27980
G24025,24025,2018,4.8,7.6,39365
G24027,24027,2018,3.8,5.4,52586
G24029,24029,2018,4.4,12.3,34910
G24031,24031,2018,4.9,6.9,52828
G24033,24033,2018,6.7,8.9,35869
G24035,24035,2018,2.9,5.5,42077
G24037,24037,2018,3.6,8.3,39254
G24039,24039,2018,8.9,20.4,18924
G24041,24041,2018,3.3,9.5,47302
G24043,24043,2018,6.5,12.7,29802
G24045,24045,2018,7.6,15.2,27622
G24047,24047,2018,5.3,9.3,35666
G24510,24510,2018,9.1,21.8,29700
G25001,25001,2018,4.7,7,42578
G25003,25003,2018,6,11.4,34287
G25005,25005,2018,5.8,11.5,34226
G25007,25007,2018,3.2,8,43822
G25009,25009,2018,5.4,10.7,40697
G25011,25011,2018,5.2,10.4,34202
G25013,25013,2018,6.8,17.1,29020
G25015,25015,2018,5.9,13.3,33605
G25017,25017,2018,4.2,7.9,49669
G25019,25019,2018,2.8,8.6,51270
G25021,25021,2018,5,6.5,52036
G25023,25023,2018,5.4,7.6,41343
G25025,25025,2018,7,19.3,40190
G25027,25027,2018,5.5,10.4,36169
G26001,26001,2018,8.9,16,25219
G26003,26003,2018,6.5,11.6,21773
G26005,26005,2018,3.2,10.3,28073
G26007,26007,2018,6,14.4,25115
G26009,26009,2018,5.3,12,30920
G26011,26011,2018,9.6,18.2,23374
G26013,26013,2018,6.4,16.4,20698
G26015,26015,2018,5.2,8.7,28783
G26017,26017,2018,6.9,16,26644
G26019,26019,2018,5.6,9.5,27866
G26021,26021,2018,6.4,16.5,29311
G26023,26023,2018,4.5,15.5,24249
G26025,26025,2018,7,16.9,25652
G26027,26027,2018,6.7,12.1,29923
G26029,26029,2018,4.5,10.8,32559
G26031,26031,2018,8.2,14.8,25876
G26033,26033,2018,9.3,18.5,23310
G26035,26035,2018,10.1,23.5,21717
G26037,26037,2018,4,9.3,33568
G26039,26039,2018,8.2,15.4,24884
G26041,26041,2018,5.3,13.3,26852
G26043,26043,2018,4.4,13.3,28020
G26045,26045,2018,5.3,10.7,31982
G26047,26047,2018,5,9.5,32455
G26049,26049,2018,9.8,19.8,26386
G26051,26051,2018,7,18.2,24594
G26053,26053,2018,5.6,18.1,24325
G26055,26055,2018,4.9,10.1,33754
G26057,26057,2018,6.7,18.3,22027
G26059,26059,2018,5,16,24749
G26061,26061,2018,6.5,20.9,22866
G26063,26063,2018,5.4,12.9,27130
G26065,26065,2018,7.1,20.1,28366
G26067,26067,2018,5.2,12.8,23956
G26069,26069,2018,8.2,16.4,25075
G26071,26071,2018,6,14,24876
G26073,26073,2018,7.6,26.5,23164
G26075,26075,2018,6.8,14.1,26942
G26077,26077,2018,6,16.1,30555
G26079,26079,2018,7.5,17,23687
G26081,26081,2018,4.8,12.6,31005
G26083,26083,2018,6,12,31830
G26085,26085,2018,12.2,23.8,19012
G26087,26087,2018,6.4,10.1,28309
G26089,26089,2018,5.3,6.2,38074
G26091,26091,2018,5.1,12.2,26958
G26093,26093,2018,4.2,5.6,38399
G26095,26095,2018,5.7,16.6,20745
G26097,26097,2018,9.8,15.9,28941
G26099,26099,2018,5.7,11.3,31104
G26101,26101,2018,7.2,12.9,25778
G26103,26103,2018,6.1,16.4,26290
G26105,26105,2018,6.1,15.1,28812
G26107,26107,2018,7,21.3,23182
G26109,26109,2018,4.4,12.8,27609
G26111,26111,2018,6,10.8,34497
G26113,26113,2018,6.3,15.6,22850
G26115,26115,2018,4.9,10.6,30295
G26117,26117,2018,5.1,16.5,23018
G26119,26119,2018,11.6,16.6,23930
G26121,26121,2018,7.4,17.1,24101
G26123,26123,2018,6.1,17.8,24005
G26125,26125,2018,4.8,8.6,42760
G26127,26127,2018,7.4,17,23018
G26129,26129,2018,8,16.9,22527
G26131,26131,2018,7.2,15.3,23850
G26133,26133,2018,6.9,19.6,22142
G26135,26135,2018,12.1,17.3,23526
G26137,26137,2018,5.6,15,26829
G26139,26139,2018,3.9,8.5,30558
G26141,26141,2018,8.9,14.6,26503
G26143,26143,2018,11.3,18.2,23862
G26145,26145,2018,7.5,17.7,26625
G26147,26147,2018,6.7,13.3,29356
G26149,26149,2018,5.2,15.6,25136
G26151,26151,2018,7,15.6,24835
G26153,26153,2018,10.3,20.5,22931
G26155,26155,2018,5,11.4,27398
G26157,26157,2018,6.4,15.4,24968
G26159,26159,2018,6.2,15.5,26771
G26161,26161,2018,4.7,14.2,39486
G26163,26163,2018,10.2,23.1,25976
G26165,26165,2018,6.1,16.3,22760
G27001,27001,2018,5.9,13,27646
G27003,27003,2018,3.7,6.1,35806
G27005,27005,2018,3.6,12.3,29710
G27007,27007,2018,7.7,18.5,24781
G27009,27009,2018,4,12.6,28566
G27011,27011,2018,2.3,11.4,30489
G27013,27013,2018,4,18.1,28824
G27015,27015,2018,2,7.8,30373
G27017,27017,2018,4.2,12,28117
G27019,27019,2018,2.1,4,45637
G27021,27021,2018,5.4,14.6,29053
G27023,27023,2018,2.7,9.9,30168
G27025,27025,2018,4.1,5.6,33927
G27027,27027,2018,2.6,11.6,29631
G27029,27029,2018,7.9,17,26173
G27031,27031,2018,2.8,13,32703
G27033,27033,2018,4.1,12.5,27209
G27035,27035,2018,2.8,10.5,30900
G27037,27037,2018,3.6,6.4,40441
G27039,27039,2018,2.6,5.5,32795
G27041,27041,2018,3,8.3,34547
G27043,27043,2018,3.2,11.6,29748
G27045,27045,2018,2.7,11,29440
G27047,27047,2018,4.4,12.2,28459
G27049,27049,2018,3.7,9.9,33400
G27051,27051,2018,4,10.4,31940
G27053,27053,2018,4.2,11,43976
G27055,27055,2018,2,7.6,31453
G27057,27057,2018,3.5,10.9,29312
G27059,27059,2018,4.6,7.1,32008
G27061,27061,2018,5.2,13.3,28636
G27063,27063,2018,3.1,7.8,33358
G27065,27065,2018,4.6,10.7,27331
G27067,27067,2018,3,10.5,30217
G27069,27069,2018,2.6,10.6,29946
G27071,27071,2018,6.8,16.4,29051
G27073,27073,2018,2.3,8.5,31686
G27075,27075,2018,4.4,8.5,33602
G27077,27077,2018,3.1,9.2,26526
G27079,27079,2018,3.5,8.8,32120
G27081,27081,2018,2.4,10.4,28504
G27083,27083,2018,3.4,13.6,30531
