G_ZCTA,GEOID,IntSub,IntNoSub,noInt,total,IntSubPct,IntNoSubPct,NoIntPct,year,ZCTA
G4217256,4217256,49,0,0,49,100,0,0,2019,17256
G4217261,4217261,0,0,0,0,NA,NA,NA,2019,17261
G4217263,4217263,213,0,0,213,100,0,0,2019,17263
G4217272,4217272,178,0,35,213,83.57,0,16.43,2019,17272
G4217371,4217371,54,5,30,89,60.67,5.62,33.71,2019,17371
G4217408,4217408,7662,307,1670,9639,79.49,3.18,17.33,2019,17408
G4217507,4217507,51,0,14,65,78.46,0,21.54,2019,17507
G4217550,4217550,163,0,144,307,53.09,0,46.91,2019,17550
G4217606,4217606,31,110,80,221,14.03,49.77,36.2,2019,17606
G4217723,4217723,17,0,6,23,73.91,0,26.09,2019,17723
G4217727,4217727,38,0,5,43,88.37,0,11.63,2019,17727
G4217779,4217779,97,0,14,111,87.39,0,12.61,2019,17779
G4217822,4217822,0,0,0,0,NA,NA,NA,2019,17822
G4217876,4217876,621,20,204,845,73.49,2.37,24.14,2019,17876
G4217880,4217880,38,0,7,45,84.44,0,15.56,2019,17880
G4217268,4217268,10039,222,1678,11939,84.09,1.86,14.05,2019,17268
G4217271,4217271,85,0,14,99,85.86,0,14.14,2019,17271
G4217094,4217094,718,33,283,1034,69.44,3.19,27.37,2019,17094
G4217102,4217102,3107,292,675,4074,76.26,7.17,16.57,2019,17102
G4217223,4217223,83,0,35,118,70.34,0,29.66,2019,17223
G4217224,4217224,474,51,103,628,75.48,8.12,16.4,2019,17224
G4217236,4217236,2590,100,567,3257,79.52,3.07,17.41,2019,17236
G4217240,4217240,919,27,315,1261,72.88,2.14,24.98,2019,17240
G1120427,1120427,0,0,0,0,NA,NA,NA,2019,20427
G4219333,4219333,2485,113,233,2831,87.78,3.99,8.23,2019,19333
G4219341,4219341,6551,96,356,7003,93.55,1.37,5.08,2019,19341
G4219344,4219344,3094,190,1003,4287,72.17,4.43,23.4,2019,19344
G4219350,4219350,3953,19,149,4121,95.92,0.46,3.62,2019,19350
G4219403,4219403,16288,206,1496,17990,90.54,1.15,8.32,2019,19403
G4219435,4219435,47,0,0,47,100,0,0,2019,19435
G4219457,4219457,22,23,0,45,48.89,51.11,0,2019,19457
G4219137,4219137,2544,98,449,3091,82.3,3.17,14.53,2019,19137
G4219046,4219046,6410,201,663,7274,88.12,2.76,9.11,2019,19046
G4219047,4219047,11456,286,1084,12826,89.32,2.23,8.45,2019,19047
G4219063,4219063,13332,176,1509,15017,88.78,1.17,10.05,2019,19063
G4219075,4219075,2556,16,206,2778,92.01,0.58,7.42,2019,19075
