G_COUNTYFP,COUNTYFP,cntT,cntTimeDrive,avTimeDrive,pctTimeDrive
G16071,16071,1,0,55.33,0
G16073,16073,3,3,0,1
G16075,16075,4,4,4.2675,1
G16077,16077,2,1,23.96,0.5
G16079,16079,3,3,4.79666666666667,1
G16081,16081,1,0,88.27,0
G16083,16083,14,13,6.99214285714286,0.93
G16085,16085,3,0,81.09,0
G16087,16087,3,2,12.3766666666667,0.67
G17001,17001,18,16,9.08888888888889,0.89
G17003,17003,4,4,7.975,1
G17005,17005,4,1,38.265,0.25
G17007,17007,7,7,8.87142857142857,1
G17009,17009,2,0,42.27,0
G17011,17011,10,1,36.596,0.1
G17013,17013,2,0,62.415,0
G17015,17015,6,1,38.2566666666667,0.17
G17017,17017,5,4,10.068,0.8
G17019,17019,43,42,7.85813953488372,0.98
G17021,17021,10,9,17.288,0.9
G17023,17023,4,2,31.3225,0.5
G17025,17025,4,4,9.7325,1
G17027,17027,8,3,37.305,0.38
G17029,17029,12,11,8.8075,0.92
G17031,17031,1319,1319,4.27953752843063,1
G17033,17033,6,0,53.2716666666667,0
G17035,17035,3,2,16.5566666666667,0.67
G17037,17037,21,16,14.6461904761905,0.76
G17039,17039,5,3,34.336,0.6
G17041,17041,5,1,39.37,0.2
G17043,17043,216,216,9.83513888888889,1
G17045,17045,5,1,40.534,0.2
G17047,17047,3,3,11.75,1
G17049,17049,8,7,16.21125,0.88
G17051,17051,7,6,20.7285714285714,0.86
G17053,17053,5,1,37.416,0.2
G17055,17055,12,11,14.255,0.92
G17057,17057,12,0,51.7241666666667,0
G17059,17059,2,1,15.37,0.5
G17061,17061,5,1,42.91,0.2
G17063,17063,10,5,32.057,0.5
G17065,17065,3,0,35.4366666666667,0
G17067,17067,7,5,23.8828571428571,0.71
G17069,17069,2,2,0,1
G17071,17071,3,3,0,1
G17073,17073,13,5,32.74,0.38
G17075,17075,9,7,22.5833333333333,0.78
G17077,17077,14,14,8.38214285714286,1
G17079,17079,3,2,30.01,0.67
G17081,17081,11,10,11.9518181818182,0.91
G17083,17083,6,2,32.3983333333333,0.33
G17085,17085,6,2,43.3233333333333,0.33
G17087,17087,4,4,9.9275,1
G17089,17089,82,82,7.71414634146341,1
G17091,17091,29,27,12.0189655172414,0.93
G17093,17093,10,10,14.202,1
G17095,17095,16,14,14.181875,0.88
G17097,17097,154,154,9.86831168831169,1
G17099,17099,28,9,39.5925,0.32
G17101,17101,5,4,24.126,0.8
G17103,17103,9,8,23.0911111111111,0.89
G17105,17105,10,0,57.423,0
G17107,17107,8,8,11.3625,1
G17109,17109,10,0,53.164,0
G17111,17111,52,52,14.5338461538462,1
G17113,17113,41,36,13.3107317073171,0.88
G17115,17115,34,34,7.12647058823529,1
G17117,17117,13,11,14.4476923076923,0.85
G17119,17119,61,56,10.4855737704918,0.92
G17121,17121,12,11,22.8133333333333,0.92
G17123,17123,5,0,49.672,0
G17125,17125,6,0,51.62,0
G17127,17127,4,4,8.225,1
G17129,17129,3,1,39.1733333333333,0.33
G17131,17131,4,1,37.2675,0.25
G17133,17133,6,5,25.1183333333333,0.83
G17135,17135,8,3,33.5325,0.38
G17137,17137,10,9,10.546,0.9
G17139,17139,4,3,18.51,0.75
G17141,17141,11,4,34.9627272727273,0.36
G17143,17143,48,47,8.33104166666667,0.98
G17145,17145,6,4,21.835,0.67
G17147,17147,4,1,34.69,0.25
G17149,17149,5,4,21.532,0.8
G17151,17151,2,1,17.385,0.5
G17153,17153,2,2,11.86,1
G17155,17155,2,0,50.25,0
G17157,17157,9,4,30.5666666666667,0.44
G17159,17159,5,5,9.11,1
G17161,17161,40,39,6.6065,0.98
G17163,17163,60,59,7.54083333333333,0.98
G17165,17165,9,8,8.62888888888889,0.89
G17167,17167,53,52,9.32452830188679,0.98
G17169,17169,3,2,30.66,0.67
G17171,17171,2,0,33.97,0
G17173,17173,6,1,40.3966666666667,0.17
G17175,17175,2,2,11.475,1
G17177,17177,13,0,40.8284615384615,0
G17179,17179,30,27,15.1986666666667,0.9
G17181,17181,5,5,13.59,1
G17183,17183,24,21,15.4054166666667,0.88
G17185,17185,4,3,25.605,0.75
G17187,17187,5,4,26.458,0.8
G17189,17189,4,0,41.0125,0
G17191,17191,5,4,17.624,0.8
G17193,17193,5,5,14,1
G17195,17195,18,17,11.6227777777778,0.94
