G_COUNTYFP,COUNTYFP,SVIth1,SVIth2,SVIth3,SVIth4,SVIS
G26157,26157,0.57,0.46,0.2,0.38,0.4
G26159,26159,0.56,0.53,0.68,0.68,0.66
G26165,26165,0.62,0.84,0.12,0.39,0.5
G27003,27003,0.03,0.17,0.67,0.21,0.14
G27005,27005,0.19,0.68,0.32,0.44,0.3
G27015,27015,0.06,0.27,0.27,0.32,0.13
G27017,27017,0.21,0.3,0.22,0.66,0.27
G27023,27023,0.14,0.65,0.61,0.46,0.35
G27025,27025,0.04,0.12,0.11,0.29,0.06
G27029,27029,0.69,0.86,0.41,0.83,0.79
G27033,27033,0.31,0.74,0.63,0.44,0.47
G27035,27035,0.09,0.57,0.07,0.25,0.12
G27041,27041,0.03,0.22,0.08,0.21,0.04
G27043,27043,0.18,0.38,0.28,0.19,0.16
G27045,27045,0.16,0.35,0.31,0.42,0.22
G27047,27047,0.3,0.73,0.64,0.33,0.43
G27049,27049,0.08,0.2,0.38,0.43,0.17
G27051,27051,0.12,0.56,0.1,0.12,0.09
G27055,27055,0.03,0.16,0.11,0.09,0.02
G27059,27059,0.14,0.36,0.1,0.2,0.1
G27061,27061,0.28,0.41,0.19,0.69,0.33
G27063,27063,0.05,0.17,0.34,0.04,0.03
G27065,27065,0.3,0.67,0.07,0.45,0.28
G27067,27067,0.21,0.45,0.74,0.51,0.41
G27069,27069,0.1,0.18,0.02,0.46,0.1
G27071,27071,0.45,0.67,0.24,0.51,0.44
G27079,27079,0.09,0.19,0.47,0.18,0.11
G27085,27085,0.06,0.4,0.42,0.15,0.13
G27089,27089,0.16,0.25,0.32,0.2,0.14
G27091,27091,0.18,0.67,0.21,0.23,0.19
G27093,27093,0.06,0.35,0.36,0.44,0.19
G27097,27097,0.26,0.42,0.19,0.49,0.27
G27107,27107,0.19,0.32,0.5,0.61,0.32
G27111,27111,0.11,0.26,0.39,0.48,0.21
G27115,27115,0.43,0.37,0.31,0.74,0.46
G27121,27121,0.03,0.23,0.07,0.13,0.03
G27125,27125,0.11,0.39,0.18,0.32,0.15
G27127,27127,0.2,0.62,0.27,0.28,0.23
G27129,27129,0.18,0.24,0.42,0.3,0.2
G27133,27133,0.1,0.42,0.23,0.3,0.15
G27135,27135,0.13,0.27,0.38,0.57,0.25
G27137,27137,0.27,0.15,0.25,0.82,0.31
G27143,27143,0.1,0.18,0.63,0.13,0.13
G27147,27147,0.17,0.32,0.48,0.57,0.3
G27151,27151,0.24,0.7,0.46,0.3,0.32
G27153,27153,0.39,0.48,0.56,0.57,0.48
G27157,27157,0.05,0.2,0.28,0.12,0.06
G27161,27161,0.15,0.33,0.46,0.43,0.25
G27163,27163,0.01,0.15,0.56,0.13,0.07
G27167,27167,0.04,0.55,0.07,0.68,0.19
G27173,27173,0.22,0.77,0.43,0.35,0.33
G28003,28003,0.86,0.74,0.55,0.25,0.7
G28033,28033,0.31,0.41,0.73,0.14,0.3
G28045,28045,0.69,0.9,0.3,0.31,0.59
G28057,28057,0.69,0.73,0.18,0.46,0.55
G28059,28059,0.64,0.76,0.67,0.14,0.54
G28081,28081,0.66,0.81,0.65,0.77,0.8
G28089,28089,0.17,0.33,0.8,0.27,0.29
G28093,28093,0.82,0.32,0.58,0.54,0.69
G28095,28095,0.78,0.7,0.44,0.35,0.64
G28109,28109,0.77,0.8,0.37,0.52,0.71
G28121,28121,0.21,0.22,0.55,0.58,0.31
G28129,28129,0.61,0.76,0.39,0.19,0.47
G28159,28159,0.86,0.97,0.72,0.79,0.93
G28161,28161,0.66,0.81,0.4,0.77,0.73
G29003,29003,0.15,0.27,0.04,0.04,0.03
G29007,29007,0.73,0.5,0.44,0.47,0.62
G29011,29011,0.65,0.95,0.13,0.46,0.6
G29013,29013,0.4,0.88,0.08,0.4,0.39
G29021,29021,0.55,0.63,0.61,0.86,0.72
G29025,29025,0.37,0.74,0.2,0.69,0.45
G29031,29031,0.46,0.12,0.39,0.73,0.41
G29033,29033,0.7,0.78,0.15,0.37,0.53
G29037,29037,0.15,0.4,0.4,0.07,0.12
G29039,29039,0.83,0.99,0.04,0.2,0.64
G29041,29041,0.33,0.64,0.03,0.18,0.19
G29043,29043,0.25,0.4,0.24,0.12,0.15
G29045,29045,0.38,0.75,0.25,0.3,0.34
G29047,29047,0.07,0.25,0.58,0.14,0.14
G29049,29049,0.28,0.7,0.14,0.08,0.16
G29051,29051,0.2,0.27,0.38,0.51,0.26
G29057,29057,0.85,0.79,0.19,0.43,0.66
G29059,29059,0.67,0.98,0.23,0.54,0.7
G29061,29061,0.46,0.62,0.22,0.65,0.47
G29071,29071,0.31,0.31,0.1,0.17,0.15
G29073,29073,0.27,0.43,0.08,0.04,0.09
G29075,29075,0.55,0.67,0.11,0.46,0.44
G29079,29079,0.51,0.81,0.43,0.68,0.62
G29081,29081,0.66,1,0.39,0.4,0.74
G29083,29083,0.69,0.81,0.19,0.54,0.6
G29087,29087,0.34,0.51,0.02,0.26,0.2
G29089,29089,0.5,0.53,0.26,0.41,0.4
G29091,29091,0.69,0.91,0.12,0.69,0.67
G29097,29097,0.62,0.6,0.63,0.58,0.66
G29099,29099,0.35,0.35,0.21,0.15,0.19
G29103,29103,0.74,0.99,0.02,0.22,0.56
G29105,29105,0.75,0.74,0.11,0.63,0.62
G29107,29107,0.31,0.74,0.23,0.58,0.39
G29109,29109,0.75,0.9,0.58,0.53,0.79
G29113,29113,0.4,0.62,0.16,0.28,0.29
G29115,29115,0.41,0.91,0.07,0.1,0.27
G29121,29121,0.59,0.96,0.19,0.45,0.59
G29125,29125,0.69,0.65,0.16,0.41,0.51
G29127,29127,0.62,0.72,0.18,0.6,0.55
G29129,29129,0.34,0.62,0.09,0.44,0.3
G29131,29131,0.68,0.71,0.04,0.49,0.5
G29137,29137,0.41,0.87,0.21,0.31,0.39
G29139,29139,0.61,0.93,0.09,0.4,0.53
G29141,29141,0.75,0.78,0.17,0.55,0.63
G29145,29145,0.41,0.41,0.54,0.44,0.43
G29151,29151,0.2,0.09,0.02,0.17,0.05
G29157,29157,0.33,0.67,0.05,0.25,0.23
G29159,29159,0.71,0.88,0.67,0.64,0.8
G29161,29161,0.7,0.3,0.42,0.83,0.66
G29167,29167,0.56,0.79,0.14,0.82,0.6
G29171,29171,0.59,0.99,0.24,0.25,0.58
G29173,29173,0.39,0.27,0.09,0.04,0.1
G29177,29177,0.46,0.54,0.1,0.19,0.26
G29183,29183,0.02,0.08,0.38,0.12,0.04
G29186,29186,0.37,0.66,0.09,0.1,0.19
G29189,29189,0.13,0.26,0.74,0.33,0.26
G29195,29195,0.6,0.79,0.75,0.87,0.82
G29205,29205,0.42,0.85,0.17,0.37,0.4
G29217,29217,0.42,0.8,0.14,0.62,0.45
G29219,29219,0.46,0.68,0.27,0.32,0.38
G29227,29227,0.49,0.47,0.01,0.19,0.22
G30001,30001,0.24,0.12,0.45,0.51,0.25
G30007,30007,0.16,0.33,0.14,0.02,0.04
G30009,30009,0.09,0.28,0.32,0.02,0.04
G30013,30013,0.25,0.47,0.29,0.86,0.41
G30015,30015,0.43,0.27,0.6,0.62,0.48
G30017,30017,0.09,0.67,0.27,0.66,0.29
G30021,30021,0.04,0.07,0.1,0.53,0.08
G30025,30025,0.03,0.12,0.08,0.15,0.02
G30027,30027,0.17,0.32,0.09,0.73,0.24
G30029,30029,0.15,0.08,0.17,0.31,0.09
G30031,30031,0.08,0.01,0.24,0.45,0.04
G30033,30033,0.05,0.06,0,0.11,0.01
G30043,30043,0.11,0.18,0.09,0.13,0.05
G30045,30045,0.16,0.18,0.03,0.02,0.02
G30047,30047,0.59,0.86,0.57,0.43,0.65
G30049,30049,0.08,0.19,0.15,0.45,0.13
G30059,30059,0.28,0.18,0.17,0.01,0.05
G30063,30063,0.22,0.03,0.31,0.67,0.18
G30067,30067,0.1,0.06,0.27,0.26,0.07
G30069,30069,0.03,0.06,0,0.04,0
G30071,30071,0.61,0.54,0.23,0.29,0.41
G30073,30073,0.6,0.95,0.54,0.88,0.83
G30075,30075,0.05,0.24,0.09,0.12,0.04
G30081,30081,0.41,0.48,0.09,0.11,0.19
G30083,30083,0.04,0.21,0.55,0.52,0.21
G30091,30091,0.1,0.13,0.16,0.34,0.09
G30095,30095,0.05,0.16,0.22,0.09,0.04
G30099,30099,0.21,0.55,0.07,0.74,0.3
G30103,30103,0.25,0.22,0.02,0.07,0.06
G30105,30105,0.22,0.29,0.26,0.1,0.12
G30107,30107,0.67,0.59,0.43,0.34,0.54
G30111,30111,0.08,0.28,0.31,0.75,0.25
G31001,31001,0.27,0.33,0.63,0.46,0.36
G31003,31003,0.22,0.6,0.31,0.01,0.1
G31007,31007,0.02,0.23,0.3,0,0
G31011,31011,0.03,0.26,0.11,0.09,0.03
G31019,31019,0.19,0.08,0.59,0.62,0.27
G31021,31021,0.22,0.76,0.24,0.28,0.25
G31023,31023,0.12,0.41,0.38,0.09,0.12
G31025,31025,0.02,0.13,0.14,0.05,0.01
G31027,31027,0.08,0.32,0.03,0.02,0.01
G31031,31031,0.17,0.23,0.6,0.29,0.23
G31033,31033,0.07,0.39,0.19,0.27,0.12
G31035,31035,0.26,0.52,0.56,0.02,0.16
G31039,31039,0.22,0.45,0.54,0.09,0.19
G31041,31041,0.09,0.83,0.33,0.14,0.18
G31051,31051,0.33,0.68,0.7,0.19,0.38
G31053,31053,0.38,0.69,0.74,0.57,0.57
G31059,31059,0.08,0.29,0.26,0.07,0.06
G31065,31065,0.26,0.64,0.14,0.16,0.18
G31067,31067,0.22,0.36,0.12,0.13,0.11
G31075,31075,0.46,0.16,0.01,0.14,0.13
G31081,31081,0.02,0.29,0.07,0.02,0.01
G31085,31085,0.3,0.14,0.5,0,0.04
G31089,31089,0.06,0.41,0.34,0.11,0.1
G31093,31093,0.2,0.5,0.2,0.03,0.08
G31095,31095,0.23,0.75,0.44,0.08,0.22
G31099,31099,0.08,0.25,0.29,0.18,0.09
G31103,31103,0.01,0.16,0,0,0
G31107,31107,0.22,0.5,0.46,0.47,0.33
G31111,31111,0.13,0.7,0.33,0.75,0.37
G31121,31121,0.11,0.31,0.22,0.56,0.2
G31123,31123,0.41,0.81,0.7,0.12,0.42
G31125,31125,0.18,0.62,0.07,0.05,0.08
G31127,31127,0.25,0.32,0.18,0.22,0.17
G31131,31131,0.17,0.62,0.55,0.15,0.23
G31135,31135,0.07,0.42,0.22,0.04,0.05
G31137,31137,0.04,0.24,0.4,0.27,0.12
G31139,31139,0.04,0.25,0.17,0.04,0.02
G31143,31143,0.2,0.29,0.4,0.25,0.19
G31145,31145,0.22,0.38,0.23,0.44,0.24
G31147,31147,0.2,0.74,0.13,0.03,0.1
G31155,31155,0.05,0.43,0.24,0.03,0.04
G31157,31157,0.42,0.91,0.74,0.29,0.57
G31165,31165,0.14,0.11,0.12,0.03,0.02
G31167,31167,0.07,0.44,0.49,0.01,0.06
G31171,31171,0.13,0.14,0.01,0,0
G31177,31177,0.02,0.26,0.2,0.1,0.04
G31181,31181,0.19,0.67,0.11,0.06,0.11
G31183,31183,0.07,0.17,0,0.01,0
G31185,31185,0.08,0.27,0.45,0.36,0.18
G32001,32001,0.47,0.41,0.82,0.64,0.6
G32019,32019,0.56,0.61,0.74,0.34,0.58
G33001,33001,0.12,0.22,0.1,0.24,0.08
G33005,33005,0.09,0.11,0.22,0.56,0.14
G33007,33007,0.45,0.68,0.33,0.7,0.53
G33009,33009,0.07,0.1,0.38,0.69,0.19
G33013,33013,0.04,0.07,0.43,0.54,0.15
G33015,33015,0.01,0.03,0.28,0.11,0.01
G33017,33017,0.12,0.02,0.36,0.8,0.17
G33019,33019,0.17,0.35,0.1,0.33,0.15
G34005,34005,0.14,0.07,0.78,0.32,0.21
G34015,34015,0.16,0.08,0.63,0.23,0.17
G34019,34019,0.02,0.02,0.54,0.14,0.03
G34029,34029,0.23,0.44,0.62,0.38,0.34
G34033,34033,0.45,0.5,0.79,0.59,0.59
G34037,34037,0.09,0.02,0.5,0.05,0.02
G34041,34041,0.21,0.06,0.72,0.34,0.22
G35028,35028,0.01,0.05,0.59,0.06,0.02
G36017,36017,0.49,0.8,0.23,0.76,0.56
G36021,36021,0.23,0.38,0.57,0.63,0.39
G36023,36023,0.39,0.11,0.26,0.8,0.35
G36025,36025,0.5,0.5,0.44,0.9,0.63
G36027,36027,0.22,0.05,0.78,0.93,0.42
G36031,36031,0.27,0.49,0.33,0.72,0.39
G36035,36035,0.55,0.68,0.28,0.48,0.5
G36037,36037,0.24,0.24,0.32,0.28,0.19
G36039,36039,0.42,0.08,0.52,0.77,0.42
G36045,36045,0.48,0.5,0.49,0.92,0.65
G36049,36049,0.53,0.43,0.19,0.19,0.29
G36053,36053,0.24,0.06,0.21,0.53,0.17
G36063,36063,0.32,0.28,0.47,0.46,0.33
G36069,36069,0.09,0.18,0.47,0.63,0.23
G36073,36073,0.52,0.49,0.52,0.85,0.64
G36075,36075,0.65,0.46,0.18,0.94,0.65
G36079,36079,0.09,0.02,0.75,0.18,0.08
G36083,36083,0.23,0.17,0.52,0.75,0.34
G36091,36091,0.02,0.05,0.33,0.26,0.05
G36095,36095,0.4,0.53,0.24,0.6,0.4
G36097,36097,0.45,0.42,0.14,0.57,0.37
G36101,36101,0.45,0.61,0.29,0.61,0.47
G36103,36103,0.13,0.04,0.85,0.43,0.21
G36107,36107,0.3,0.36,0.14,0.27,0.2
G36111,36111,0.34,0.14,0.67,0.8,0.47
G36113,36113,0.16,0.25,0.26,0.37,0.17
G36115,36115,0.44,0.23,0.35,0.64,0.4
G36117,36117,0.36,0.4,0.37,0.42,0.34
G36121,36121,0.39,0.16,0.38,0.47,0.31
G37001,37001,0.61,0.55,0.86,0.8,0.78
G37009,37009,0.64,0.37,0.39,0.42,0.5
G37021,37021,0.21,0.07,0.66,0.88,0.38
G37023,37023,0.84,0.64,0.65,0.79,0.85
G37025,37025,0.32,0.36,0.81,0.36,0.42
G37027,37027,0.78,0.51,0.57,0.37,0.65
G37031,37031,0.32,0.59,0.49,0.52,0.43
G37035,37035,0.58,0.34,0.79,0.66,0.65
G37037,37037,0.28,0.41,0.83,0.28,0.38
G37049,37049,0.58,0.65,0.82,0.91,0.81
G37053,37053,0.27,0.26,0.3,0.06,0.12
G37055,37055,0.13,0.11,0.62,0.19,0.14
G37057,37057,0.7,0.51,0.7,0.5,0.68
G37059,37059,0.44,0.38,0.67,0.34,0.44
G37069,37069,0.56,0.36,0.81,0.61,0.64
G37071,37071,0.65,0.53,0.68,0.57,0.67
G37077,37077,0.58,0.52,0.81,0.52,0.66
G37087,37087,0.37,0.54,0.34,0.19,0.28
G37097,37097,0.34,0.33,0.71,0.31,0.37
G37101,37101,0.52,0.63,0.82,0.24,0.54
G37109,37109,0.53,0.28,0.54,0.19,0.36
G37115,37115,0.64,0.27,0.25,0.52,0.46
G37121,37121,0.54,0.45,0.4,0.32,0.42
G37123,37123,0.75,0.69,0.88,0.82,0.87
G37125,37125,0.28,0.44,0.67,0.34,0.36
G37127,37127,0.59,0.77,0.83,0.87,0.83
G37139,37139,0.68,0.44,0.73,0.83,0.77
G37141,37141,0.58,0.23,0.7,0.53,0.55
G37145,37145,0.72,0.8,0.62,0.62,0.77
G37151,37151,0.66,0.61,0.76,0.48,0.7
G37157,37157,0.74,0.59,0.67,0.74,0.79
G37159,37159,0.71,0.59,0.77,0.81,0.81
G37161,37161,0.83,0.77,0.47,0.5,0.76
G37167,37167,0.62,0.58,0.59,0.55,0.63
G37169,37169,0.63,0.37,0.16,0.16,0.31
G37171,37171,0.67,0.54,0.66,0.7,0.73
G37197,37197,0.67,0.54,0.7,0.42,0.64
G38001,38001,0.01,0.11,0.12,0.22,0.03
G38003,38003,0.1,0.12,0.09,0.58,0.12
G38007,38007,0.13,0.05,0.1,0.17,0.03
G38009,38009,0.13,0.24,0.11,0.14,0.07
G38011,38011,0.07,0.24,0.33,0.48,0.18
G38021,38021,0.08,0.16,0.15,0.44,0.12
G38025,38025,0.1,0.15,0.64,0.44,0.22
G38027,38027,0.17,0.94,0.26,0.26,0.29
G38031,38031,0.03,0.13,0.05,0.12,0.02
G38033,38033,0.03,0.32,0.05,0.38,0.09
G38041,38041,0.18,0.29,0.13,0.04,0.06
G38043,38043,0.11,0.16,0.06,0.08,0.03
G38049,38049,0.07,0.39,0.06,0.04,0.03
G38055,38055,0.04,0.15,0.34,0.23,0.08
G38057,38057,0.01,0.06,0.45,0.44,0.1
G38059,38059,0.05,0.03,0.42,0.48,0.1
G38065,38065,0.18,0.6,0.52,0.12,0.21
G38067,38067,0.1,0.12,0.12,0.14,0.04
G38069,38069,0.28,0.25,0.1,0.41,0.19
G38073,38073,0.02,0.55,0.04,0.28,0.09
G38075,38075,0.01,0.22,0.32,0.05,0.03
G38081,38081,0.02,0.1,0.1,0.19,0.02
G38091,38091,0,0.13,0.05,0.01,0
G38095,38095,0.15,0.33,0.59,0.17,0.19
G38097,38097,0.04,0.14,0.23,0.35,0.09
G38099,38099,0.22,0.65,0.55,0.43,0.37
G39003,39003,0.52,0.78,0.42,0.6,0.58
G39005,39005,0.41,0.33,0.31,0.74,0.43
G39007,39007,0.79,0.7,0.34,0.84,0.79
G39011,39011,0.1,0.36,0.08,0.08,0.05
G39013,39013,0.46,0.38,0.13,0.57,0.36
G39015,39015,0.56,0.73,0.07,0.37,0.4
G39017,39017,0.31,0.28,0.61,0.45,0.36
G39019,39019,0.36,0.28,0.07,0.17,0.15
G39021,39021,0.39,0.63,0.2,0.27,0.3
G39023,39023,0.63,0.9,0.53,0.58,0.73
G39025,39025,0.17,0.18,0.19,0.21,0.1
G39027,39027,0.48,0.73,0.15,0.52,0.44
G39029,39029,0.58,0.41,0.14,0.7,0.49
G39033,39033,0.49,0.84,0.09,0.16,0.32
G39037,39037,0.31,0.58,0.04,0.08,0.13
G39039,39039,0.24,0.44,0.39,0.2,0.22
G39043,39043,0.26,0.57,0.43,0.28,0.29
G39045,39045,0.15,0.47,0.45,0.3,0.24
G39051,39051,0.24,0.5,0.41,0.07,0.18
G39053,39053,0.77,0.64,0.11,0.78,0.66
G39055,39055,0.05,0.12,0.24,0.35,0.09
G39057,39057,0.21,0.11,0.49,0.38,0.21
G39059,39059,0.76,0.87,0.13,0.61,0.67
G39063,39063,0.2,0.17,0.35,0.47,0.21
G39065,39065,0.63,0.21,0.18,0.71,0.47
G39067,39067,0.65,0.58,0.26,0.48,0.52
G39069,39069,0.18,0.68,0.23,0.11,0.16
G39071,39071,0.79,0.89,0.21,0.49,0.69
G39073,39073,0.51,0.8,0.07,0.59,0.47
G39077,39077,0.47,0.6,0.46,0.32,0.43
G39081,39081,0.64,0.61,0.27,0.56,0.55
G39083,39083,0.44,0.3,0.2,0.37,0.29
G39085,39085,0.12,0.18,0.52,0.15,0.13
G39089,39089,0.25,0.48,0.3,0.26,0.23
G39091,39091,0.33,0.47,0.37,0.33,0.32
G39093,39093,0.41,0.66,0.61,0.45,0.51
G39099,39099,0.58,0.61,0.62,0.44,0.59
G39103,39103,0.02,0.08,0.18,0.06,0.01
G39107,39107,0.11,0.27,0.13,0.08,0.05
G39109,39109,0.24,0.35,0.29,0.07,0.12
G39111,39111,0.62,0.84,0.02,0.33,0.44
G39113,39113,0.54,0.7,0.69,0.64,0.67
G39117,39117,0.32,0.25,0.08,0.36,0.19
G39119,39119,0.66,0.77,0.2,0.63,0.6
G39123,39123,0.17,0.35,0.18,0.27,0.15
G39125,39125,0.34,0.66,0.3,0.22,0.29
G39127,39127,0.79,0.82,0.03,0.38,0.55
G39133,39133,0.35,0.05,0.38,0.54,0.25
G39135,39135,0.36,0.49,0.14,0.08,0.17
G39137,39137,0.06,0.17,0.27,0.01,0.02
G39139,39139,0.61,0.57,0.37,0.73,0.62
G39141,39141,0.74,0.71,0.23,0.84,0.73
G39143,39143,0.41,0.79,0.45,0.23,0.4
G39147,39147,0.41,0.58,0.3,0.39,0.38
G39149,39149,0.24,0.54,0.25,0.19,0.19
G39151,39151,0.39,0.49,0.39,0.38,0.37
G39153,39153,0.29,0.22,0.66,0.4,0.33
G39155,39155,0.53,0.61,0.34,0.39,0.46
G39157,39157,0.44,0.44,0.33,0.32,0.34
G39159,39159,0.03,0.13,0.27,0.29,0.08
G39161,39161,0.29,0.78,0.22,0.04,0.17
G39165,39165,0.02,0.09,0.42,0.13,0.05
G39167,39167,0.33,0.73,0.1,0.56,0.35
G39169,39169,0.4,0.25,0.43,0.83,0.48
G39171,39171,0.41,0.53,0.17,0.24,0.27
G39175,39175,0.23,0.66,0.4,0.15,0.23
G40013,40013,0.65,0.83,0.62,0.85,0.81
G40015,40015,0.81,0.95,0.9,0.84,0.95
G40017,40017,0.15,0.32,0.68,0.31,0.26
G40019,40019,0.59,0.91,0.67,0.73,0.79
G40021,40021,0.84,0.58,0.79,0.98,0.93
G40027,40027,0.22,0.16,0.67,0.64,0.34
G40031,40031,0.58,0.82,0.78,0.92,0.84
G40033,40033,0.76,0.89,0.29,0.41,0.67
G40035,40035,0.73,0.96,0.61,0.72,0.85
G40037,40037,0.47,0.62,0.46,0.44,0.49
G40045,40045,0.56,0.63,0.35,0.05,0.3
G40047,40047,0.48,0.73,0.79,0.39,0.59
G40049,40049,0.55,0.71,0.61,0.23,0.51
G40051,40051,0.27,0.49,0.51,0.29,0.31
G40053,40053,0.18,0.94,0.25,0.03,0.16
G40065,40065,0.68,0.79,0.85,0.69,0.82
G40071,40071,0.69,0.98,0.59,0.7,0.84
G40075,40075,0.75,0.88,0.6,0.18,0.65
G40081,40081,0.56,0.75,0.36,0.28,0.48
G40083,40083,0.32,0.23,0.49,0.38,0.3
G40085,40085,0.58,0.84,0.82,0.23,0.63
G40087,40087,0.18,0.34,0.6,0.07,0.16
G40093,40093,0.27,0.66,0.62,0.18,0.32
G40103,40103,0.31,0.79,0.29,0.32,0.34
G40105,40105,0.71,0.74,0.52,0.25,0.59
G40113,40113,0.65,0.7,0.41,0.56,0.62
G40117,40117,0.5,0.89,0.37,0.41,0.54
G40123,40123,0.52,0.75,0.63,0.64,0.65
G40125,40125,0.66,0.84,0.55,0.78,0.78
G40129,40129,0.59,0.89,0.35,0.05,0.4
G40131,40131,0.19,0.5,0.59,0.28,0.28
G40133,40133,0.86,0.98,0.61,0.78,0.93
G40137,40137,0.59,0.93,0.61,0.21,0.61
G40145,40145,0.34,0.76,0.66,0.25,0.42
G40147,40147,0.31,0.81,0.58,0.33,0.44
G40149,40149,0.38,0.56,0.52,0.35,0.4
G40153,40153,0.38,0.61,0.74,0.65,0.57
G41007,41007,0.31,0.48,0.63,0.76,0.52
G41009,41009,0.4,0.52,0.44,0.4,0.4
G41017,41017,0.17,0.15,0.52,0.22,0.16
G41029,41029,0.5,0.73,0.68,0.85,0.74
G41035,41035,0.76,0.8,0.7,0.86,0.87
G41037,41037,0.68,0.76,0.41,0.86,0.76
G41043,41043,0.57,0.78,0.58,0.64,0.68
G41053,41053,0.5,0.39,0.77,0.57,0.58
G41061,41061,0.45,0.74,0.41,0.93,0.67
G41065,41065,0.46,0.85,0.8,0.97,0.84
G41071,41071,0.41,0.43,0.78,0.89,0.66
G42001,42001,0.24,0.15,0.52,0.28,0.21
G42005,42005,0.45,0.42,0.06,0.26,0.25
G42007,42007,0.21,0.37,0.31,0.42,0.25
G42009,42009,0.46,0.37,0.1,0.31,0.27
G42013,42013,0.4,0.62,0.16,0.62,0.4
G42015,42015,0.36,0.68,0.12,0.51,0.35
G42017,42017,0.04,0.05,0.63,0.2,0.08
G42019,42019,0.05,0.06,0.11,0.54,0.08
G42025,42025,0.48,0.32,0.33,0.22,0.3
G42029,42029,0.05,0.05,0.73,0.34,0.14
G42031,42031,0.6,0.2,0.19,0.77,0.48
G42033,42033,0.66,0.39,0.36,0.73,0.61
G42035,42035,0.61,0.2,0.25,0.73,0.49
G42037,42037,0.43,0.09,0.24,0.52,0.28
G42039,42039,0.5,0.64,0.15,0.74,0.51
G42041,42041,0.06,0.06,0.57,0.47,0.16
G42047,42047,0.18,0.43,0.06,0.2,0.12
G42051,42051,0.65,0.67,0.24,0.75,0.62
G42055,42055,0.34,0.55,0.49,0.26,0.34
G42057,42057,0.46,0.47,0.02,0.21,0.22
G42063,42063,0.62,0.07,0.38,0.92,0.55
G42065,42065,0.41,0.51,0.13,0.46,0.33
G42067,42067,0.47,0.36,0.43,0.53,0.45
G42073,42073,0.45,0.71,0.3,0.53,0.47
G42075,42075,0.37,0.52,0.69,0.61,0.53
G42077,42077,0.4,0.51,0.87,0.72,0.64
G42081,42081,0.42,0.41,0.26,0.67,0.42
G42083,42083,0.56,0.68,0.2,0.7,0.55
G42085,42085,0.44,0.56,0.3,0.84,0.54
G42089,42089,0.46,0.15,0.78,0.12,0.31
G42095,42095,0.21,0.13,0.73,0.45,0.29
G42099,42099,0.24,0.2,0.16,0.16,0.11
G42103,42103,0.27,0.33,0.64,0,0.13
G42105,42105,0.6,0.69,0.23,0.29,0.44
G42107,42107,0.49,0.57,0.31,0.47,0.45
G42109,42109,0.33,0.07,0.25,0.57,0.23
G42111,42111,0.47,0.26,0.21,0.76,0.42
G42115,42115,0.39,0.46,0.14,0.15,0.21
G42117,42117,0.48,0.43,0.04,0.43,0.32
G42121,42121,0.52,0.7,0.08,0.49,0.42
G42123,42123,0.31,0.42,0.13,0.29,0.21
G42125,42125,0.14,0.16,0.23,0.49,0.17
G42127,42127,0.42,0.3,0.29,0.23,0.26
G42129,42129,0.11,0.22,0.19,0.4,0.14
G42131,42131,0.27,0.26,0.05,0.17,0.11
G42133,42133,0.26,0.33,0.61,0.39,0.33
G44001,44001,0.09,0.05,0.46,0.39,0.12
G44005,44005,0.07,0.1,0.51,0.49,0.18
G44009,44009,0.15,0.04,0.35,0.27,0.09
G45003,45003,0.62,0.53,0.77,0.52,0.67
G45007,45007,0.6,0.72,0.57,0.7,0.7
G45015,45015,0.37,0.46,0.79,0.51,0.51
G45023,45023,0.86,0.69,0.53,0.38,0.74
G45035,45035,0.36,0.42,0.71,0.34,0.42
G45045,45045,0.33,0.19,0.82,0.73,0.5
G45055,45055,0.67,0.79,0.58,0.07,0.5
G45057,45057,0.53,0.48,0.69,0.32,0.51
G45063,45063,0.35,0.34,0.71,0.47,0.44
G45073,45073,0.65,0.79,0.6,0.63,0.73
G45077,45077,0.66,0.09,0.43,0.92,0.6
G45083,45083,0.57,0.57,0.79,0.85,0.76
G45091,45091,0.33,0.32,0.67,0.35,0.37
G46015,46015,0.39,0.89,0.22,0.83,0.57
G46019,46019,0.29,0.91,0.12,0.45,0.36
G46025,46025,0.23,0.48,0.26,0.16,0.17
G46029,46029,0.16,0.36,0.21,0.62,0.24
G46039,46039,0.14,0.29,0.27,0.07,0.08
G46043,46043,0.16,0.28,0.08,0.4,0.15
G46045,46045,0.08,0.21,0.06,0.1,0.03
G46051,46051,0.07,0.3,0.22,0.07,0.06
G46053,46053,0.28,0.85,0.17,0.26,0.28
G46055,46055,0.33,0.9,0.07,0.45,0.36
G46059,46059,0.02,0.3,0.01,0.17,0.03
G46063,46063,0.06,0.05,0.41,0.3,0.08
G46067,46067,0.3,0.65,0.16,0.26,0.25
G46077,46077,0.07,0.23,0.03,0.07,0.02
G46079,46079,0.2,0.06,0.37,0.59,0.2
G46081,46081,0.1,0.15,0.32,0.86,0.26
G46093,46093,0.05,0.11,0.22,0.38,0.09
G46097,46097,0.24,0.42,0.1,0.09,0.11
G46101,46101,0.33,0.56,0.62,0.32,0.39
G46105,46105,0.1,0.27,0.03,0.4,0.11
G46111,46111,0.12,0.13,0.3,0.04,0.04
G46115,46115,0.09,0.61,0.26,0.28,0.18
G46117,46117,0.01,0.62,0.23,0.24,0.11
G46119,46119,0,0.26,0.03,0.06,0.01
G46123,46123,0.44,0.6,0.29,0.27,0.34
