origin,count within 60,count within 30,minutes
4294,1,1,0.0
4330,31,31,0.0
4343,1,0,35.54
4344,2,1,0.0
4345,2,2,0.0
4346,2,0,59.16
4347,2,1,0.0
4351,1,1,0.0
4353,1,1,0.0
4355,2,2,0.0
4357,2,2,0.0
4364,3,3,0.0
4401,58,58,0.0
4412,7,7,0.0
4416,3,3,0.0
4424,1,1,0.0
4426,4,4,0.0
4427,1,1,0.0
4430,1,0,55.4
4457,4,4,0.0
4459,1,1,0.0
4460,1,1,0.0
4463,3,3,0.0
4468,13,13,0.0
4469,1,1,0.0
4473,1,0,42.32
4489,1,0,40.58
4496,1,1,0.0
4538,1,1,0.0
4543,2,2,0.0
4575,1,0,31.83
4578,3,3,0.0
4605,6,6,0.0
4609,7,7,0.0
4614,1,1,0.0
4619,4,4,0.0
4643,3,3,0.0
4644,7,7,28.02
4645,3,0,38.41
4649,3,3,0.0
4652,2,2,0.0
4654,5,5,0.0
4658,1,1,0.0
4667,2,2,0.0
4668,4,4,0.0
4681,3,3,0.0
4693,1,1,0.0
4730,2,2,0.0
4736,10,10,0.0
4742,1,1,0.0
4743,2,2,0.0
4756,1,1,0.0
4769,1,1,0.0
4776,1,1,0.0
4785,2,2,0.0
4841,3,3,0.0
4843,3,3,0.0
4856,7,7,0.0
4863,2,2,0.0
4864,1,1,0.0
4901,17,17,0.0
4910,5,5,0.0
4915,13,13,0.0
4917,1,1,0.0
4921,1,1,0.0
4930,1,1,0.0
4938,4,4,0.0
4943,1,1,0.0
4947,2,2,0.0
4950,2,2,0.0
4953,2,2,0.0
4957,1,1,0.0
4963,1,1,0.0
4967,1,1,0.0
4976,6,6,0.0
4983,1,1,0.0
4988,2,2,0.0
4992,4,0,52.31
5001,8,8,0.0
5032,1,1,0.0
5033,4,4,0.0
5036,1,1,0.0
5060,9,9,0.0
5081,3,3,0.0
5089,2,2,0.0
5101,2,2,0.0
5156,5,5,0.0
5201,9,9,0.0
5250,2,2,0.0
5254,2,1,0.0
5255,2,1,0.0
5261,1,1,0.0
5301,15,15,0.0
5346,2,2,0.0
5353,1,1,0.0
5401,50,39,0.0
5403,49,10,0.0
5404,40,1,0.0
5405,50,39,0.0
5408,1,1,0.0
5439,1,0,31.27
5443,7,7,0.0
5446,5,5,0.0
5450,2,2,0.0
5452,1,1,0.0
5454,1,1,0.0
5461,2,2,0.0
5468,3,3,0.0
5478,8,8,0.0
5488,8,8,0.0
5491,2,2,0.0
5495,2,2,0.0
5602,11,11,0.0
5641,3,3,0.0
5661,7,7,0.0
5667,1,1,0.0
5672,2,2,0.0
5677,2,2,0.0
5701,10,10,0.0
5733,3,3,0.0
5735,1,1,0.0
5753,7,7,0.0
5775,1,1,0.0
5819,14,14,0.0
5824,2,2,0.0
5843,3,3,0.0
5855,3,3,0.0
5860,1,1,0.0
5905,1,1,0.0
6001,6,6,0.0
6002,6,6,0.0
6010,14,14,0.0
6018,2,2,0.0
6019,1,1,0.0
6020,1,1,28.37
6024,2,2,0.0
6029,5,5,0.0
6032,11,11,0.0
6033,7,7,0.0
6037,3,3,0.0
6039,2,2,0.0
6040,19,11,0.0
6042,19,8,0.0
6051,29,13,0.0
6052,29,12,0.0
6053,29,4,0.0
6062,4,4,0.0
6066,4,4,0.0
6067,11,11,0.0
6069,1,1,0.0
6070,1,1,0.0
6071,1,1,0.0
6073,2,2,0.0
6074,2,2,0.0
6076,1,1,0.0
6078,2,2,0.0
6082,10,10,0.0
6093,1,1,0.0
6095,3,3,0.0
6103,81,6,0.0
6105,61,14,0.0
6106,60,21,0.0
6107,12,8,0.0
6108,11,11,0.0
6109,9,9,0.0
6110,53,1,0.0
6111,1,1,0.0
6112,37,17,0.0
