origin,count within 60,count within 30,minutes
3907,6,0,45.8
3908,34,1,0.0
3909,5,5,0.0
3910,5,5,24.57
3911,5,5,17.45
4001,9,0,53.36
4002,8,0,57.25
4005,18,12,0.0
4006,10,0,51.74
4008,2,0,50.48
4009,4,4,0.0
4010,1,0,57.17
4011,11,8,0.0
4015,1,1,0.0
4020,3,0,54.96
4021,12,1,29.41
4027,5,0,49.76
4030,1,1,0.0
4032,11,3,0.0
4037,1,1,0.0
4038,10,4,0.0
4039,9,2,0.0
4040,4,0,41.92
4041,1,1,0.0
4042,1,0,39.34
4043,16,5,0.0
4046,17,5,0.0
4047,3,0,45.41
4050,18,0,57.52
4055,1,0,41.33
4057,4,4,27.25
4061,1,1,29.16
4062,7,5,0.0
4063,23,1,12.44
4064,23,1,0.0
4068,3,3,0.0
4069,4,0,33.07
4071,3,1,0.0
4072,24,12,0.0
4073,11,11,0.0
4074,79,10,0.0
4076,8,0,48.74
4079,8,0,55.16
4083,11,11,0.0
4084,4,0,53.45
4086,8,8,29.03
4087,1,0,35.11
4090,5,1,0.0
4091,1,0,55.98
4092,87,15,0.0
4093,4,0,44.31
4096,13,0,32.19
4097,3,1,0.0
4101,94,67,0.0
4102,94,67,0.0
4103,84,57,0.0
4105,60,9,0.0
4106,85,60,0.0
4107,69,18,0.0
4109,69,0,31.36
4110,37,0,36.97
4210,21,21,0.0
4222,3,0,58.12
4227,1,0,46.44
4228,6,0,34.17
4234,5,1,18.22
4236,23,0,45.21
4239,7,0,42.94
4240,21,21,0.0
4250,19,0,48.65
4254,6,6,0.0
4258,2,0,58.2
4259,5,1,0.0
4260,2,0,41.98
4263,2,1,0.0
4265,5,0,32.68
4276,3,3,0.0
4280,19,0,44.85
4284,4,0,45.92
4294,1,1,0.0
4330,34,31,0.0
4342,2,0,41.12
4343,39,1,12.12
4344,36,4,0.0
4345,4,3,0.0
4346,35,3,21.38
4347,36,2,0.0
4348,1,0,46.08
4349,8,0,54.7
4350,1,0,53.89
4351,39,1,0.0
4352,2,0,55.96
4353,1,1,0.0
4355,6,2,0.0
4357,2,2,0.0
4359,4,0,36.58
4363,1,0,47.05
4364,7,3,0.0
4401,65,65,0.0
4411,14,0,42.8
4412,65,65,0.0
4414,3,0,53.59
4416,3,3,0.0
4422,1,0,45.04
4424,1,1,0.0
4426,4,4,0.0
4427,1,1,0.0
4429,7,0,46.45
4430,1,1,18.73
4438,1,0,56.7
4444,1,0,51.71
4450,1,0,40.95
4457,4,4,0.0
4459,1,1,0.0
4460,1,1,0.0
4461,14,13,24.89
4463,3,3,0.0
4468,14,13,0.0
4469,14,1,0.0
4472,3,0,47.3
4473,14,1,18.27
4474,65,0,39.09
4476,1,0,56.01
4481,7,0,53.68
4489,14,14,14.67
4495,1,0,41.83
4496,1,1,0.0
4530,8,0,53.94
4535,2,0,56.56
4537,1,1,22.44
4538,1,1,0.0
4539,2,0,43.97
4543,2,2,0.0
4544,1,1,24.88
4551,2,0,41.84
4553,2,2,22.32
4555,2,0,44.51
4556,1,0,54.81
4570,1,0,31.72
4571,1,0,36.05
4573,2,0,49.58
4575,1,1,12.57
4576,1,1,27.07
4578,3,3,0.0
4579,3,0,34.1
4605,6,6,0.0
4606,3,0,40.71
4607,1,0,49.4
4609,7,7,0.0
4611,3,3,27.02
4613,1,1,21.15
4614,1,1,0.0
4619,4,4,0.0
4622,1,0,59.98
4623,3,0,41.44
4624,1,0,47.59
4627,3,0,39.1
4629,1,0,33.28
4630,5,0,46.01
4631,2,0,42.3
4643,4,3,0.0
4644,7,7,11.38
4645,3,3,12.99
4648,5,0,50.9
4649,3,3,0.0
4652,2,2,0.0
4654,5,5,0.0
4655,5,0,55.46
4658,4,1,0.0
4660,7,0,56.53
4666,2,0,58.11
4667,2,2,0.0
4668,4,4,0.0
4669,1,0,32.34
4671,2,0,58.05
4676,1,0,49.74
4680,1,0,30.88
4681,3,3,0.0
4683,3,0,39.56
4684,1,0,44.7
4693,1,1,0.0
4730,2,2,0.0
4733,1,0,57.01
4736,10,10,0.0
4740,1,0,55.1
4742,1,1,0.0
4743,2,2,0.0
4745,1,0,53.8
